"","PAK1","TGFR","CDC42","TGF","GSK3","AXIN2","Destcompl","SOSGRB2","AKT","TWIST1","cateninnuc","IKK","TCFLEF","MEK","ERK","cfos","NFB","Csn","Ecadherin","Wnt","RAS","RAF","PI3K","TrCP","SUFU","ILK","FUS","SMO","LIV1","KLF4","Csl","SNAI1","cateninmemb","Jagged","NOTCHic","NOTCH","FOXC2","ZEB2","RKIP","SHH","Patched","SNAI2","miR200","DSH","SMAD","STAT","HEY1","DELTA","Frizzled","SRC","GLI","EGR1","cMet","CD44","ZEB1"
"cateninmemb",0.0607272727272727,0.0453126385809313,0.0487272727272727,0.0433234884905154,0.313579164488951,0.364855509491734,0.311258572624488,-0.112583882519334,0.307089947089947,0.156234588186609,0.300300754330879,0.292804232804233,0.299927271604456,0.0794204017127001,0.0798125585754452,0.0890909090909091,0.274285714285714,0.26,0.128145715532153,0.299389908329009,0.334716667930602,0.331644042232278,0.331644042232278,0.2,-0.233333333333333,0.0197101449275362,-0.266666666666667,-0.266666666666667,0.266666666666667,0.247257383966245,-0.33177033492823,-0.291007981298082,-0.13944404695981,-0.284179154441918,-0.341048685443694,-0.342907421503173,0.261782583367186,-0.302751651920434,0.286264502396124,0.255778511557023,0.261290322580645,-0.146236905259914,-0.229932628927042,-0.284313725490196,-0.0301217672035653,-0.284313725490196,0.0155226849739286,-0.331644042232278,-0.29594163246694,-0.29594163246694,-0.300723241662343,-0.0890909090909091,-0.298550328119114,-0.29955367260072,0.122816090267486
"SRC",-0.288888888888889,-0.288888888888889,-0.288888888888889,-0.290707070707071,0.135497835497835,0.141372349016108,0.138946886446886,-0.158571428571429,0.19957264957265,-0.0768056081849185,0.0996951376049133,0.171794871794872,0.0985765693722511,-0.0438345721364589,-0.0494949494949495,-0.0606060606060606,0.133333333333333,0.1,-0.0156855671561554,0.09,0.250986839610119,0.246441385064664,0.246441385064664,0.1,-0.0333333333333333,0.132675438596491,0.0166666666666667,0.0366666666666667,0,0.394961240310078,-0.11,-0.207385167003724,-0.00802537045352492,0.0446594918842625,-0.114761904761905,-0.104047619047619,0.109929971988796,-0.297619047619048,0.27921146953405,-0.0684749455337691,-0.0625925925925926,0.00983158831828229,-0.241469770165422,-0.1,-0.144387150308203,0,-0.109955312810328,-0.246441385064664,-0.1,-0.1,-0.0949180327868852,0.0333333333333333,-0.09,-0.0949180327868852,-0.0179619646600779
"TWIST1",0.155151515151515,0.138556687565308,0.144806687565308,0.134228669342074,0.289098103225393,0.353901313740023,0.311763723388697,0.0460658334800211,0.0693735642888185,0.138017235116777,0.294949994553132,0.0575091575091575,0.294202438486427,0.0727721802884889,0.0762547673531655,0.0736231884057971,0.0384615384615385,0,0.258964115719443,0.29015037593985,0.218575764436023,0.212411380874379,0.212411380874379,-0.1,-0.3,-0.108426608426608,-0.333333333333333,-0.345333333333333,0.233333333333333,0.253502188868042,-0.260740740740741,-0.302743847754341,0.0506850989016526,-0.278699109983444,-0.276125356125356,-0.288389507068752,0.3180208201401,-0.297393885113183,0.305809655809656,0.350488876892278,0.354922374429224,-0.154382934251255,-0.232843517451001,-0.261904761904762,0.0995157173374995,-0.261904761904762,0.13868504376979,-0.212411380874379,-0.278571428571429,-0.278571428571429,-0.29415037593985,-0.0866666666666667,-0.289209726443769,-0.292824184275094,0.147389494757916
"KLF4",0.0727272727272727,0.0487272727272727,0.0607272727272727,0.0453126385809313,0.310267906210806,0.360937983718538,0.309953819595597,-0.103373356203545,0.292804232804233,0.157538126361656,0.299927271604456,0.274285714285714,0.29955367260072,0.0798125585754452,0.0890909090909091,0.0890909090909091,0.26,0.2,0.211655032274622,0.29594163246694,0.331644042232278,0.322820512820513,0.322820512820513,0.1,-0.2,0.00666666666666667,-0.233333333333333,-0.266666666666667,0.233333333333333,0.233333333333333,-0.305454545454545,-0.289109247120867,-0.0502092792031816,-0.287611648721094,-0.33177033492823,-0.341048685443694,0.25926542089579,-0.29422084623323,0.281395588538446,0.261290322580645,0.266666666666667,-0.145935881780082,-0.221180301180301,-0.266666666666667,-0.0197101449275362,-0.266666666666667,0.0242475171886937,-0.322820512820513,-0.284313725490196,-0.284313725490196,-0.299389908329009,-0.08,-0.29594163246694,-0.298550328119114,0.125185758513932
"HEY1",0.0727272727272727,0.0487272727272727,0.0607272727272727,0.0453126385809313,0.310267906210806,0.360937983718538,0.309953819595597,-0.103373356203545,0.292804232804233,0.157538126361656,0.299927271604456,0.274285714285714,0.29955367260072,0.0798125585754452,0.0890909090909091,0.0890909090909091,0.26,0.2,0.211655032274622,0.29594163246694,0.331644042232278,0.322820512820513,0.322820512820513,0.1,-0.2,0.00666666666666667,-0.233333333333333,-0.266666666666667,0.233333333333333,0.233333333333333,-0.305454545454545,-0.289109247120867,-0.0502092792031816,-0.287611648721094,-0.33177033492823,-0.341048685443694,0.25926542089579,-0.29422084623323,0.281395588538446,0.261290322580645,0.266666666666667,-0.145935881780082,-0.221180301180301,-0.266666666666667,-0.0197101449275362,-0.266666666666667,0.0242475171886937,-0.322820512820513,-0.284313725490196,-0.284313725490196,-0.299389908329009,-0.08,-0.29594163246694,-0.298550328119114,0.125185758513932
"FOXC2",0.0727272727272727,0.0487272727272727,0.0607272727272727,0.0453126385809313,0.310267906210806,0.360937983718538,0.309953819595597,-0.103373356203545,0.292804232804233,0.157538126361656,0.299927271604456,0.274285714285714,0.29955367260072,0.0798125585754452,0.0890909090909091,0.0890909090909091,0.26,0.2,0.211655032274622,0.29594163246694,0.331644042232278,0.322820512820513,0.322820512820513,0.1,-0.2,0.00666666666666667,-0.233333333333333,-0.266666666666667,0.233333333333333,0.233333333333333,-0.305454545454545,-0.289109247120867,-0.0502092792031816,-0.287611648721094,-0.33177033492823,-0.341048685443694,0.25926542089579,-0.29422084623323,0.281395588538446,0.261290322580645,0.266666666666667,-0.145935881780082,-0.221180301180301,-0.266666666666667,-0.0197101449275362,-0.266666666666667,0.0242475171886937,-0.322820512820513,-0.284313725490196,-0.284313725490196,-0.299389908329009,-0.08,-0.29594163246694,-0.298550328119114,0.125185758513932
"cateninnuc",-0.0548571428571428,-0.0544681066060376,-0.0533186813186813,-0.0549047878287451,0.268760872356615,0.299927271604456,0.262472558457085,-0.0706090379492692,0.274357954545455,0.0425995604886968,0.0478502687359196,0.266545454545455,0.147712185333545,0.0693043685035728,0.069763084099903,0.0646997929606625,0.254545454545455,0.233333333333333,-0.0160145429269283,0.148746687102851,0.277734882734883,0.276051381051381,0.276051381051381,0.233333333333333,-0.133333333333333,0.0604040404040404,-0.113333333333333,-0.105136612021858,0.142424242424242,0.207760744593485,-0.283490269930948,-0.243493244625332,-0.134499590677365,-0.127847329542833,-0.281164688535599,-0.28207377944469,0.201800374488899,-0.26443470640473,0.242568271265542,0.0940999268163748,0.0995465499100567,-0.0364866580736921,-0.191368258862031,-0.15011655011655,-0.0629961277164552,-0.15011655011655,-0.0259378261067633,-0.276051381051381,-0.148746687102851,-0.147338772338772,-0.148746687102851,-0.0789855072463768,-0.147338772338772,-0.147338772338772,0.0563310122649402
"STAT",-0.140909090909091,-0.144527511961722,-0.147159090909091,-0.145010603749162,0.175919003115265,0.139933791698498,0.146646373945435,-0.277380952380952,0.171638418079096,0.00352832241887714,0.0970290804201912,0.173333333333333,0.0954796167729922,-0.162858950031626,-0.168235294117647,-0.18,0.14,0.1,0.00191135782127318,0.0902597402597403,0.184335148080935,0.180603804797353,0.180603804797353,0,0.05,0.186876006441224,0.075,0.108333333333333,0,0.349079025549614,0.00588235294117647,-0.0869090506535582,0.00394928524389514,0.0621849042975803,0.00858505564387917,0.00567243428465587,0.0275310156782549,-0.259772279003048,0.0489752252252252,-0.108662619194622,-0.106007751937984,-0.0100352416761085,-0.234135679728694,-0.0857142857142857,-0.18802543172858,-0.0857142857142857,-0.186,-0.180603804797353,-0.0857142857142857,-0.0857142857142857,-0.0944614209320092,0.2,-0.0902597402597403,-0.0945332445332445,-0.069885242962166
"SMAD",-0.142857142857143,-0.136420759192024,-0.141448692152917,-0.134428727319514,-0.109125230102674,-0.0292360542256432,-0.072447122249308,-0.175931677018634,5.60224089635568e-06,-0.079609426652779,-0.0249493559676437,-0.00266106442577031,-0.0254559415806123,-0.15421537389842,-0.157099989283035,-0.161751152073733,0.00714285714285714,-0.0166666666666667,-0.0111692138159888,-0.00680708180708181,-0.066967012608934,-0.066967012608934,-0.066967012608934,-0.05,0.025,0.0630839480154549,0.05,0.05,-0.02,0.185983215236947,-0.00476190476190477,0.0046442406160148,0.00322566569421205,0.00366527021365731,-0.00591133004926109,-0.00591133004926109,-0.0581062470985772,-0.18266314659769,-0.0253602034089839,-0.0460847174380137,-0.0509174311926605,0.0746009657539144,-0.187453189618679,0.0142857142857143,-0.162131567063074,0.0342857142857143,-0.0200233027232532,0.066967012608934,0.00873015873015873,0.0287301587301587,0.00752650626751346,0.171428571428571,0.0267693744164332,0.0264057380527969,-0.0814215452595136
"TrCP",-0.180952380952381,-0.165087853323147,-0.171148459383754,-0.161262716711126,-0.0453998917748918,-0.214678253864981,-0.188510141189766,-0.161922442244224,0.141325536062378,-0.0997847731978167,-0.170886334610473,0.139473684210526,-0.171851851851852,-0.134481945467944,-0.138481945467944,-0.14695652173913,0.15,0.125,-0.133777164800015,-0.173703703703704,-0.0310858223555498,-0.0306312769010043,-0.0306312769010043,0.1,0.142857142857143,0.185347328895716,0.192857142857143,0.202534562211982,-0.15,0.190986729117877,0.156410256410256,0.0621805255357112,-0.0692966699539189,0.176608512269939,0.167179487179487,0.168278388278388,-0.0874547026548214,-0.181934602823635,-0.0941377223145179,-0.202238265915685,-0.206238265915685,0.118189997812099,-0.184867852694069,0.17,-0.179540877282813,0.17,-0.195084810535909,0.0306312769010043,0.173703703703704,0.173703703703704,0.17516711833785,0.16,0.173703703703704,0.173703703703704,-0.106449757405824
"EGR1",-0.180952380952381,-0.165087853323147,-0.171148459383754,-0.161262716711126,-0.0453998917748918,-0.214678253864981,-0.188510141189766,-0.161922442244224,0.141325536062378,-0.0997847731978167,-0.170886334610473,0.139473684210526,-0.171851851851852,-0.134481945467944,-0.138481945467944,-0.14695652173913,0.15,0.125,-0.133777164800015,-0.173703703703704,-0.0310858223555498,-0.0306312769010043,-0.0306312769010043,0.1,0.142857142857143,0.185347328895716,0.192857142857143,0.202534562211982,-0.15,0.190986729117877,0.156410256410256,0.0621805255357112,-0.0692966699539189,0.176608512269939,0.167179487179487,0.168278388278388,-0.0874547026548214,-0.181934602823635,-0.0941377223145179,-0.202238265915685,-0.206238265915685,0.118189997812099,-0.184867852694069,0.17,-0.179540877282813,0.17,-0.195084810535909,0.0306312769010043,0.173703703703704,0.173703703703704,0.17516711833785,0.16,0.173703703703704,0.173703703703704,-0.106449757405824
"RAS",-0.14,-0.131764705882353,-0.12,-0.124834012813046,0.0851033591731266,0.0814492753623188,0.145937375007142,0.0251082251082251,0.0644444444444444,-0.0131805782869613,0.060964904649007,0.0533333333333333,0.0595484740541061,0.0327760577915377,0.0347368421052632,0.04,0.0333333333333333,0,-0.0792129482447349,0.0558823529411765,0.113717948717949,0.204102564102564,0.204102564102564,0.1,-0.1,-0.0393939393939394,-0.1,-0.0833333333333333,0,0.181785714285714,-0.15,-0.119567354965585,-0.0765115929215011,-0.0868716735659373,-0.123684210526316,-0.121797418073486,0.0996825396825397,-0.180754786450663,0.211899371069182,0.0514689265536723,0.0633333333333333,0.00969421127446562,-0.156892307692308,-0.1,0.0373531230674088,-0.1,0.0456521739130435,-0.204102564102564,-0.05,-0.05,-0.0600490196078431,-0.04,-0.0558823529411765,-0.0580100125156446,0.0589359351988218
"RKIP",-0.133333333333333,-0.145714285714286,-0.126666666666667,-0.154125500667557,0.406501182033097,0.142440225035162,0.390163173283251,-0.137269841269841,0.260497835497835,-0.0855793226381462,0.111970572617419,0.239285714285714,0.111207213838793,-0.0771900220102715,-0.066551724137931,-0.07,0.214285714285714,0.2,0.0309846328420996,0.1,0.316477966477966,0.301948051948052,0.301948051948052,0.2,0.1,0.117458279845956,0.1,0.08,0,0.111142993782879,-0.0333333333333333,-0.273171460046067,0.019090014384132,0.0782258064516129,-0.0515151515151515,-0.0630536130536131,0.0742263483642794,-0.125142993782879,0.0967086834733893,-0.0921967213114754,-0.084,-0.104667774086379,-0.0795261839228491,-0.1,-0.124388972915263,-0.1,-0.118544328300426,-0.301948051948052,-0.1,-0.1,-0.103846153846154,0.07,-0.105263157894737,-0.109109311740891,0.0425327594452415
"TCFLEF",0.0153846153846154,0.0363583167538829,0.0270125223613596,0.0426497074823598,-0.318479069329214,0.408484004884005,-0.401247496971761,-0.0269817288499923,0.0133310504362398,0.0575772559161672,-0.0474427885758366,0.0263745286971093,-0.0467555033524689,0.0702223328355732,0.0688617886178862,0.0679094076655052,0.036051948051948,0.048051948051948,0.159691250933019,0.0646606334841629,-0.0771331158300731,-0.0691173471047117,-0.0691173471047117,0.0571428571428571,-0.116666666666667,0.0273852813852814,-0.0966666666666667,-0.0919047619047619,0.1,0.0376941685765215,-0.149992029332058,0.0924377667892312,0.15650466554831,-0.075722055319665,-0.142148892077156,-0.127198725964199,-0.0238095344711441,-0.122198298777246,0.00744363319098131,0.0869077304383063,0.0838402457757297,0.0159582443707375,-0.103062640171074,-0.0823529411764706,-0.0233699850181686,-0.075,0.0114850128461319,0.0691173471047117,-0.0723529411764706,-0.065,-0.0634183974593182,-0.0557142857142857,-0.0573076923076923,-0.0554208998548621,-0.0696949317738792
"CD44",-0.133333333333333,-0.0883333333333333,-0.113333333333333,-0.0883333333333333,-0.180952380952381,0.07,-0.15512386772891,0.102380952380952,-0.18,-0.0715018315018315,0.0410077519379845,-0.2,0.0410077519379845,-0.025,-0.025,-0.025,-0.2,-0.1,0.028462164802953,0.05,-0.122857142857143,-0.114285714285714,-0.114285714285714,0,-0.1,-0.0555555555555556,-0.1,-0.1,-0.1,0.219047619047619,0,-0.0261297182349814,0.0381684981684982,-0.0724475524475524,-0.0142857142857143,0.0120300751879699,0.0408333333333333,-0.10952380952381,0.141481481481481,0.0618181818181818,0.08,0.0221511821511822,-0.104945103205973,0,0.0494331065759637,0.1,0.0614035087719298,0.114285714285714,-0.1,0,-0.0433333333333333,0,0.05,-0.0433333333333333,0.0365079365079365
"cMet",-0.113333333333333,-0.0883333333333333,-0.0883333333333333,-0.0819503546099291,-0.1857910906298,0.0652380952380952,-0.159177921782964,0.122380952380952,-0.18,-0.0681310449849776,0.0415727236893969,-0.18,0.0410077519379845,-0.0231818181818182,-0.025,-0.025,-0.2,-0.2,0.0307522411388308,0.0433333333333333,-0.126630727762803,-0.122857142857143,-0.122857142857143,-0.1,-0.1,-0.0494331065759637,-0.1,-0.08,-0.1,0.20952380952381,-0.0142857142857143,-0.0193500572180322,0.0392361138268612,-0.0680997263605959,0.0120300751879699,0.0226683730603103,0.0345042194092827,-0.102453102453102,0.13037037037037,0.0555681818181818,0.0618181818181818,0.0206913281365836,-0.0986951032059728,-0.1,0.0548876520305092,0,0.0515995872033024,0.122857142857143,-0.05,0.05,-0.0433333333333333,0.025,-0.0433333333333333,-0.0410077519379845,0.0314574314574315
"TGF",0.12,0.151746031746032,0.142222222222222,0.0517460317460317,-0.231084397229211,-0.00590828924162257,-0.096042539170073,0.105263157894737,-0.22280701754386,0.0205555555555556,-0.00218651259366254,-0.233333333333333,-0.00170804369414101,-0.0479699248120301,-0.0546365914786967,-0.080952380952381,-0.233333333333333,-0.233333333333333,0.0266273297028309,0.00428571428571428,-0.206547619047619,-0.206547619047619,-0.206547619047619,-0.2,-0.133333333333333,-0.0778787878787879,-0.0733333333333333,-0.0733333333333333,0,0.0409356725146199,0.0266666666666667,0.0785187539732994,0.0150312240781892,-0.0902307314678449,0.0266666666666667,0.0301149425287356,0.0570496894409938,-0.0318447634237108,0.016017316017316,0.0761350574712644,0.0698850574712644,0.045840558586973,-0.0762713340299547,0,0.0794916911045943,0,0.0967117988394584,0.206547619047619,-0.0142857142857143,0,-0.00994609164420485,0.0666666666666667,0.01,0.00433962264150943,-0.00344497607655502
"TGFR",0.142222222222222,0.0517460317460317,0.151746031746032,0.0552921310368119,-0.23181789356173,-0.00376236649484146,-0.097050603686202,0.118843404808317,-0.239086087311302,0.0223349149861605,-0.00192079071589461,-0.22280701754386,-0.00218651259366254,-0.0479699248120301,-0.0479699248120301,-0.0546365914786967,-0.233333333333333,-0.233333333333333,0.0267976874541085,0.00994609164420485,-0.207132414369257,-0.206547619047619,-0.206547619047619,-0.233333333333333,-0.0733333333333333,-0.0794916911045943,-0.0733333333333333,-0.0698850574712644,0,0.0320071010860485,0.0266666666666667,0.0799936802269867,0.0157240647248405,-0.0924046445113231,0.0301149425287356,0.029395518068304,0.0592330955545309,-0.0299579709708806,0.0188744588744589,0.0789599162283265,0.0761350574712644,0.04537759562401,-0.0724590173144122,-0.0142857142857143,0.0869650007131352,0,0.0937267242125927,0.206547619047619,-0.00428571428571428,0.01,-0.0131718980958178,0.080952380952381,0.00433962264150943,0.00170804369414101,-0.00231290060485691
"NFB",0.172222222222222,0.173022222222222,0.172222222222222,0.173022222222222,-0.201223874165051,0.217107396149949,-0.0822477856053377,0.0905440070765148,-0.194916344916345,0.238342670401494,0.177009112659857,-0.194916344916345,0.177087544032406,-0.00923996265172736,-0.0125079365079365,-0.0102857142857143,-0.197619047619048,-0.114285714285714,0.239490570750693,0.173418803418803,-0.0902935413675723,-0.0912885662431942,-0.0912885662431942,-0.1,-0.12,-0.109220297029703,-0.14,-0.143703703703704,0.15,0.00256410256410256,-0.0233766233766234,-0.0162977680179395,0.116505760702636,-0.144244458229106,-0.0281385281385281,-0.0326546571707862,0.157969219801889,-0.00917886670699738,0.0133179206949699,0.154214713259167,0.150600255427842,-0.117310572890848,-0.00706685931958492,-0.161111111111111,0.108105055394015,-0.161111111111111,0.110072976559045,0.0912885662431942,-0.168803418803419,-0.168803418803419,-0.176789589935657,0.0142857142857143,-0.173418803418803,-0.176243662175866,0.00517886670699738
