"","KLF4","PAK1","CDC42","TGF","TGFR","SOSGRB2","ERK","MEK","RKIP","TrCP","SUFU","HEY1","Wnt","NFB","GLI","Frizzled","ILK","DSH","CD44","FUS","AKT","miR200","Ecadherin","Csl","NOTCHic","NOTCH","TWIST1","cateninmemb","ZEB1","RAF","PI3K","DELTA","RAS","GSK3","FOXC2","Jagged","AXIN2","SHH","LIV1","Patched","SMO","STAT","SNAI1","TCFLEF","cateninnuc","SRC","cMet","IKK","SMAD","SNAI2","Csn","Destcompl","EGR1","cfos","ZEB2"
"SMAD",0.0824583537106289,-0.119047619047619,-0.109188464118042,-0.109747123335919,-0.109747123335919,-0.180013309671695,-0.218368877933769,-0.219330416395308,-0.0346638253404579,-0.05,0.025,0.0152570202821246,-0.0128205128205128,-0.0246031746031746,-0.0113816638996495,-0.0166666666666667,0.0606597055912124,-0.0333333333333333,0.000951871657754009,0.0625,-0.0226423902894491,0.181966850109089,0.0229047379671962,-0.0438095238095238,-0.0495566502463054,-0.051143951833607,-0.0302427427670928,0.0104273175254966,0.175478467369731,-0.139123839770128,-0.139123839770128,-0.139123839770128,-0.140110681875391,-0.0773454379093477,-0.0375124302656702,0.0131716240748499,0.000919981023770626,-0.047684509395996,0.02,-0.0547477064220183,-0.0575,0.02,-0.0149138406396471,-0.00163029770931439,-0.000617126483377205,0.00333333333333334,-0.000588235294117645,0.0226423902894491,-0.158754943686451,0.112195384024721,0.0388888888888889,0.0501532034163853,0.228571428571429,0.225345622119816,-0.0834002456322049
"PI3K",0.0864035087719298,-0.05,-0.0205882352941176,-0.00689717838354854,-0.0125882352941176,-0.111923076923077,-0.0417366946778711,-0.0302612848418056,0.0784906270200388,0.2,0,0.112400363232772,0.0797101449275362,0.166666666666667,0.0997101449275362,0.0666666666666667,0.107515006002401,0.1,0.0997101449275362,0.05,0.180241327300151,0.0886038049972476,-0.0670880293973998,0.05,0.0653846153846154,0.0653846153846154,-0.0414780119698153,-0.0896838634318292,0.0976635506434913,-0.105194805194805,-0.105194805194805,-0.105194805194805,-0.113413983276997,-0.0904641654641654,-0.137751451800232,-0.0286842105263158,-0.0722857142857143,-0.0653846153846154,-0.1,-0.0820512820512821,-0.0666666666666667,-0.1,-0.0971175523349437,-0.101405060181774,-0.100374132346722,-0.0666666666666667,-0.0797101449275362,-0.172549019607843,-0.105115006002401,0.049724971280167,-0.166666666666667,-0.217409975630929,0.0333333333333333,0.0476190476190476,-0.0801053280750442
"ILK",0.0864035087719298,-0.05,-0.0205882352941176,-0.00689717838354854,-0.0125882352941176,-0.111923076923077,-0.0417366946778711,-0.0302612848418056,0.0784906270200388,0.2,0,0.112400363232772,0.0797101449275362,0.166666666666667,0.0997101449275362,0.0666666666666667,0.107515006002401,0.1,0.0997101449275362,0.05,0.180241327300151,0.0886038049972476,-0.0670880293973998,0.05,0.0653846153846154,0.0653846153846154,-0.0414780119698153,-0.0896838634318292,0.0976635506434913,-0.105194805194805,-0.105194805194805,-0.105194805194805,-0.113413983276997,-0.0904641654641654,-0.137751451800232,-0.0286842105263158,-0.0722857142857143,-0.0653846153846154,-0.1,-0.0820512820512821,-0.0666666666666667,-0.1,-0.0971175523349437,-0.101405060181774,-0.100374132346722,-0.0666666666666667,-0.0797101449275362,-0.172549019607843,-0.105115006002401,0.049724971280167,-0.166666666666667,-0.217409975630929,0.0333333333333333,0.0476190476190476,-0.0801053280750442
"Wnt",0.0725490196078431,-0.1,-0.0666666666666667,-0.0379710144927536,-0.0466666666666667,-0.124242424242424,-0.0533333333333333,-0.0474509803921569,0.0533333333333333,0.1,0,0.127692307692308,0.075,0.0666666666666667,0.0907894736842105,0.2,0.118803418803419,0.2,0.0907894736842105,0,0.0866666666666667,0.113131313131313,-0.07105391330411,0.05,0.0642857142857143,0.0726190476190476,-0.0623529411764706,-0.0909745762711864,0.141702534672406,-0.109022556390977,-0.109022556390977,-0.109022556390977,-0.113568010936432,-0.103448275862069,-0.127692307692308,-0.0380637254901961,-0.0709090909090909,-0.0733766233766234,0,-0.0590909090909091,-0.05,-0.1,-0.0813146997929606,-0.105075187969925,-0.104412936314296,-0.1,-0.075,-0.0866666666666667,-0.111826674617372,-0.00456896551724138,-0.1,-0.235908093214402,0,0.0333333333333333,-0.0798660927785748
"Frizzled",0.0820728291316527,-0.0666666666666667,-0.0466666666666667,-0.031304347826087,-0.0379710144927536,-0.115151515151515,-0.0474509803921569,-0.0400435729847495,0.0569047619047619,0.1,0,0.117054009819967,0.0907894736842105,0.0866666666666667,0.105075187969925,0.075,0.111826674617372,0.2,0.105075187969925,0.05,0.0929166666666667,0.110006313131313,-0.0717532140034107,0.0642857142857143,0.0726190476190476,0.0706582633053221,-0.0652100840336134,-0.0900221953188055,0.132791643583297,-0.113568010936432,-0.113568010936432,-0.113568010936432,-0.12065462510966,-0.108902821316614,-0.132343470483005,-0.026952614379085,-0.0755602536997886,-0.0636992040217847,-0.1,-0.0733766233766234,-0.0590909090909091,-0.1,-0.0765527950310559,-0.104412936314296,-0.104412936314296,-0.075,-0.0907894736842105,-0.0866666666666667,-0.11089209517812,-0.00930082671597955,-0.0666666666666667,-0.238295361118912,0.0333333333333333,0.0533333333333333,-0.0788759937686739
"DSH",0.0811019553452449,-0.0466666666666667,-0.0379710144927536,-0.0316527798818361,-0.031304347826087,-0.112712490761271,-0.0400435729847495,-0.0377879338870051,0.0534082584082584,0.0666666666666667,0.05,0.117054009819967,0.105075187969925,0.0866666666666667,0.104421593198683,0.0907894736842105,0.11089209517812,0.075,0.104412936314296,0.0590909090909091,0.0871695402298851,0.108786800936191,-0.0737725291921728,0.0726190476190476,0.0706582633053221,0.061567354214413,-0.0673377436080815,-0.0903755522092649,0.1335790451581,-0.12065462510966,-0.12065462510966,-0.12065462510966,-0.122615409423386,-0.110062914124039,-0.131044769184304,-0.026952614379085,-0.0734505490584384,-0.0581777316291466,-0.1,-0.0636992040217847,-0.0733766233766234,-0.075,-0.0768426501035196,-0.104412936314296,-0.105214361069416,-0.0907894736842105,-0.105075187969925,-0.0929166666666667,-0.105231717819629,-0.0105813855052694,-0.0866666666666667,-0.238677040508225,0.0533333333333333,0.0474509803921569,-0.0749389858946581
"AKT",0.0821300044984256,-0.0205882352941176,-0.0125882352941176,-0.00901198200892618,-0.00689717838354854,-0.109700854700855,-0.0302612848418056,-0.0251979937025651,0.0716583288833928,0.166666666666667,0.05,0.110144724135027,0.0997101449275362,0.172549019607843,0.101386122581168,0.0797101449275362,0.105115006002401,0.0666666666666667,0.101405060181774,0.0666666666666667,0.0711504182092417,0.0869995269223813,-0.0695122718216422,0.0653846153846154,0.0653846153846154,0.0519699812382739,-0.046065167933118,-0.0899896738293827,0.100403276670889,-0.113413983276997,-0.113413983276997,-0.113413983276997,-0.116546513397479,-0.0932867461093267,-0.136247692401736,-0.0266974555594284,-0.0704806601340897,-0.0569635627530364,-0.1,-0.0653846153846154,-0.0820512820512821,-0.0666666666666667,-0.0958644195028634,-0.100374132346722,-0.100681824654414,-0.0797101449275362,-0.0997101449275362,-0.180241327300151,-0.0973708982582932,0.048619443641976,-0.166666666666667,-0.218154392504378,0.0476190476190476,0.0417366946778711,-0.0746258760202497
"GSK3",0.0765218026734892,-0.0379710144927536,-0.031304347826087,-0.0324220106510669,-0.0316527798818361,-0.111317141924062,-0.0377879338870051,-0.041197024796096,0.0546613912403386,0.0866666666666667,0.0590909090909091,0.112555739923773,0.104421593198683,0.0929166666666667,0.104893291311891,0.105075187969925,0.105231717819629,0.0907894736842105,0.104412936314296,0.0733766233766234,0.0828960359563808,0.107731701287891,-0.0742664376544711,0.0706582633053221,0.061567354214413,0.0592296918767507,-0.0672097026349701,-0.0917902294860111,0.13283610310758,-0.122615409423386,-0.122615409423386,-0.122615409423386,-0.122615409423386,-0.210728471528365,-0.132161196616521,-0.0247628333571872,-0.0742115840660487,-0.0548284493324959,-0.075,-0.0581777316291466,-0.0636992040217847,-0.0907894736842105,-0.0758459723626559,-0.105214361069416,-0.104424887385205,-0.105075187969925,-0.104412936314296,-0.0871695402298851,-0.102383142107485,-0.0110127918900839,-0.0866666666666667,-0.238782711519144,0.0474509803921569,0.0400435729847495,-0.0744932206643461
"GLI",0.0653745173745174,-0.116666666666667,-0.0994252873563218,-0.0958914360799622,-0.0975384949034916,-0.00670076236447918,-0.0906277056277056,-0.0900752194398603,-0.072331944784775,0.0666666666666667,0.00952380952380953,0.152301023820548,-0.0209487666034156,0.115789473684211,-0.117118979369373,-0.0174193548387097,0.147396340670476,-0.04,-0.107272172332402,0.0470238095238095,0.129118555316864,0.225042016806723,-0.0525640561319272,0.108576480990274,0.106076480990274,0.108933623847417,-0.0589823334560177,-0.0521609998334067,0.241641747738522,0.125643197634827,0.125643197634827,0.125643197634827,0.125049138228886,0.123349241837586,0.00528014275885793,-0.109110991386045,0.0926585144927536,-0.0506240800413733,0.15,-0.054327783745077,-0.0522869674185464,0.13,0.049051503861044,0.102402042462272,0.103179089682834,0.10741935483871,0.109858379228954,-0.125993555316864,-0.144153097427233,0.22490530028646,-0.1,0.116368712067818,0.102857142857143,0.0945238095238095,-0.0725733060249189
"SRC",-0.0375322997416021,-0.0666666666666667,-0.0416666666666667,-0.0350865800865801,-0.0369047619047619,-0.262857142857143,-0.338383838383838,-0.325176291214027,-0.097979797979798,-0.1,0.0333333333333333,0.13512909632572,-0.225,-0.0666666666666667,-0.216803278688525,-0.225,0.165789473684211,-0.2,-0.216803278688525,0.133333333333333,-0.00598290598290599,0.114372712633582,-0.156609300285771,-0.03,0.00333333333333333,0.0176190476190476,0.0719022356953391,-0.0336278251758719,0.140670859538784,-0.137538589904047,-0.137538589904047,-0.137538589904047,-0.137538589904047,-0.00796536796536796,-0.061797385620915,-0.174435426958363,0.134850609885673,-0.185969498910675,0.2,-0.191851851851852,-0.173333333333333,0.3,-0.0596595440104527,0.215583766493403,0.218044616605259,0.225,0.225,0.0282051282051282,-0.163086770981508,0.072915314336585,0.1,0.234485188724319,0.333333333333333,0.360606060606061,-0.0665693321353699
"IKK",0.0465201465201465,-0.1,-0.1,-0.0775636363636364,-0.0863636363636364,-0.0369747899159664,-0.0628571428571429,-0.0428571428571429,-0.0617486338797814,0,-0.1,0.0334365325077399,0.0290598290598291,-0.114285714285714,0.0367521367521367,0.0444444444444444,0.0361111111111111,0.1,0.0367521367521367,-0.12,0.0325611325611326,0.166399108138239,-0.0712533423608653,-0.00909090909090909,0.0337662337662338,0.0480519480519481,-0.048921568627451,-0.00965191233347658,0.208781954887218,0.0594676346037508,0.0594676346037508,0.0594676346037508,0.0622845360122015,-0.0661904761904762,0.0668398268398268,0.0099375195251484,-0.0561904761904762,0.0133844189016603,-0.1,0.0340740740740741,0.06,-0.1,0.0532654792196777,-0.0395769955091989,-0.040420877365739,-0.0444444444444444,-0.0290598290598291,-0.019047619047619,-0.0390814081408141,-0.252805682394723,0.1,-0.169654558148377,0,0.0428571428571429,-0.0523609022556391
"SUFU",0.0125751229780875,-0.0616666666666667,-0.0562612612612613,-0.051808703453548,-0.0520059421123251,0.0857992884308674,0.0261811751466924,0.0249045794020115,-0.126792201416649,0.1,0.0266666666666667,0.123323873611983,-0.047542735042735,0.191428571428571,-0.0486579766784228,-0.0513888888888889,0.109656938044035,-0.0625,-0.14339481389558,0.0516666666666667,0.198630429972712,0.182038503399269,0.00189181021936659,0.278636363636364,0.276363636363636,0.277157287157287,0.00278396494405562,0.117289015395973,0.255503300566278,0.272640241854216,0.272640241854216,0.272640241854216,0.271057963373203,0.245587821796802,0.116712564117576,-0.163736018613533,0.0415778059448028,-0.0672627822627823,0.15,-0.0637878787878788,-0.0627777777777778,0.156666666666667,0.126736911650919,0.141764379112972,0.14007639957333,0.145555555555556,0.142642934196332,-0.195274725274725,-0.106654628575213,0.262927237456527,-0.171428571428571,0.222748988650587,0.00307692307692308,-0.0181351981351981,-0.0254280614190149
"FUS",0.011976320582878,-0.0533333333333333,-0.0616666666666667,-0.0520059421123251,-0.0562612612612613,0.0809041835357625,0.0181351981351981,0.0261811751466924,-0.128016691212568,0.1,0.0666666666666667,0.111275680840898,-0.0513888888888889,0.171428571428571,-0.047542735042735,-0.0625,0.101269841269841,-0.05,-0.142642934196332,0.0266666666666667,0.195274725274725,0.181666756187373,0.00261271650154991,0.263636363636364,0.278636363636364,0.276363636363636,0.00422726391312779,0.117561866692017,0.253570933416519,0.273076923076923,0.273076923076923,0.273076923076923,0.272640241854216,0.246359030023023,0.115471869328494,-0.160173073245362,0.041343613907332,-0.0637878787878788,0.1,-0.0627777777777778,-0.0516666666666667,0.15,0.130995855432861,0.14339481389558,0.141764379112972,0.156666666666667,0.145555555555556,-0.191428571428571,-0.109656938044035,0.263520513659559,-0.1,0.223652763238572,-0.02,0.00307692307692308,-0.0254280614190149
"SNAI2",0.0403846153846154,0.00588235294117647,0.015406162464986,0.020921902763335,0.0196796667384903,-0.181879648411089,-0.205882352941176,-0.213990461049285,0.0259871794871795,-0.1,-0.2,-0.026416515973478,0.234825315529541,-0.25,0.234290556171252,0.236233766233766,0.00617035546613011,0.229090909090909,0.234825315529541,-0.22,-0.273265475695887,-0.0281847560794697,0.188445946531385,-0.276315789473684,-0.28859649122807,-0.291193893825473,-0.207328066357046,0.0250833431991335,-0.0398216907908538,-0.283826188343838,-0.283826188343838,-0.283826188343838,-0.285196051357537,-0.261224205606563,-0.176272462403617,0.232410243930242,-0.139687130285143,0.226514718563482,-0.22,0.227923169267707,0.225882352941176,-0.229090909090909,-0.046192601961068,-0.236268614498613,-0.236268614498613,-0.236233766233766,-0.234825315529541,0.267241379310345,-0.00377801096852246,0.116699062398366,0.2,-0.249410196324251,0.166666666666667,0.196078431372549,-0.0199641283826306
"KLF4",0.037037037037037,0.00909090909090909,0.0210909090909091,0.0219364375461936,0.0224242424242424,-0.140537449971412,-0.169090909090909,-0.17630740393627,0.0292723149866007,-0.1,-0.2,-0.0219862490450726,0.165572275421797,-0.22,0.165572275421797,0.172549019607843,0.00666666666666667,0.166666666666667,0.166441840639188,-0.166666666666667,-0.224761904761905,-0.0274114774114774,-0.0133888126504107,-0.229090909090909,-0.234354066985646,-0.231261283480491,-0.161185185185185,-0.0868540075552271,-0.0396078431372549,-0.227307692307692,-0.227307692307692,-0.227307692307692,-0.228042986425339,-0.213222336049224,-0.132679079563532,0.164724001635546,-0.0870160946126416,0.163440860215054,-0.166666666666667,0.166666666666667,0.166666666666667,-0.166666666666667,-0.0502456552424328,-0.168782977762934,-0.167911246754216,-0.172549019607843,-0.165572275421797,0.224761904761905,-0.00231884057971014,-0.199873139900594,0.2,-0.199947988104273,0.16,0.169090909090909,-0.0186842105263158
"Ecadherin",0.0357712142522269,0.0210909090909091,0.0224242424242424,0.022478933025398,0.0219364375461936,-0.137905871024044,-0.17630740393627,-0.175915247073525,0.0303959104922187,-0.2,-0.166666666666667,-0.0266842356222538,0.165572275421797,-0.224761904761905,0.167572275421797,0.165572275421797,0.00231884057971014,0.172549019607843,0.168782977762934,-0.166666666666667,-0.223463203463203,-0.0283425761079392,-0.113680925600751,-0.234354066985646,-0.231261283480491,-0.230889536268595,-0.161743844403062,-0.086725802427022,-0.0410296440851222,-0.228042986425339,-0.228042986425339,-0.228042986425339,-0.228601645643217,-0.213222336049224,-0.133365578419367,0.167698830010832,-0.0876346513136726,0.165803064939463,-0.166666666666667,0.163440860215054,0.166666666666667,-0.172549019607843,-0.0489798324576227,-0.167911246754216,-0.167164281301369,-0.165572275421797,-0.166441840639188,0.224761904761905,-0.00159244832789416,-0.20041498216429,0.22,-0.199947988104273,0.169090909090909,0.169090909090909,-0.0186842105263158
"cateninmemb",0.0186122831692452,0.0130909090909091,0.00909090909090909,0.0101212094481622,0.00957871396895787,-0.067639402967109,-0.103764264843707,-0.0986662256280207,0.018879230275699,-0.1,0.0333333333333333,-0.0135772478607062,-0.00768668333411953,-0.0847619047619048,-0.00768668333411953,-0.012859097127223,-0.000231884057971015,-0.00588235294117647,-0.00710658876601897,0.0166666666666667,-0.0810582010582011,-0.014148334595262,-0.099947170225378,-0.0890909090909091,-0.0839362699156514,-0.0865385003989227,0.0121513613514928,0.00598782678009345,-0.0222636567722624,-0.0843853695324284,-0.0843853695324284,-0.0843853695324284,-0.0838267103145513,-0.0852272763538765,-0.0674120054982255,-0.00510333350071376,-0.022985006409551,-0.0200549276098552,0,-0.023991935483871,-0.0229166666666667,0.00588235294117647,-0.0256346402127046,0.00872551778220826,0.00853877641899631,0.012859097127223,0.00677214060548385,0.0810582010582011,-0.00146303119626627,-0.0779050229823387,0.08,-0.0791621680343577,0.0927272727272727,0.0986096256684492,-0.0103929394157264
"ERK",0.00626716937484012,-0.206666666666667,-0.198255451713396,-0.188028452435302,-0.190226254633104,0.0479734936045616,0.0948862802641233,0.0946077287320898,0.158144367554968,-0.0428571428571429,-0.0933333333333333,-0.025188184180942,0.140955710955711,-0.00232683982683982,0.141206337522127,0.124871794871795,-0.00827432622945301,0.113333333333333,0.145929596050126,-0.0813333333333333,-0.000751016837093467,0.186857352227681,0.114068785213017,-0.0296814296814297,-0.0347909187325246,-0.0395000600067628,-0.245197464189469,0.0531385206825225,0.224700841376177,-0.0511421911421911,-0.0511421911421911,-0.0511421911421911,-0.0547725541784948,-0.0366484077191944,-0.0516800089213882,0.10671255017246,-0.104798982372307,0.0685223167908171,-0.133333333333333,0.0665899496410586,0.0698579234972677,-0.117543859649123,0.078739212454935,-0.147044837685814,-0.149683726574703,-0.129082321187584,-0.1451662372715,0.00350331041507512,0.0107059371717023,0.364669933950852,0.00535714285714285,-0.301383137395244,-0.192758620689655,-0.194886280264123,-0.00407622504862645
