"","HEY1","SMAD","ILK","SHH","Patched","SMO","FUS","NOTCH","NOTCHic","AKT","Csl","SUFU","NFB","ZEB1","CDC42","TGF","TGFR","PAK1","RKIP","Csn","TrCP","Ecadherin","cateninmemb","FOXC2","SOSGRB2","Destcompl","GSK3","DSH","STAT","GLI","Wnt","Frizzled","CD44","SRC","LIV1","TCFLEF","cMet","cateninnuc","RAS","RAF","PI3K","DELTA","AXIN2","TWIST1","SNAI2","miR200","EGR1","cfos","ERK","MEK","SNAI1","ZEB2","IKK","Jagged","KLF4"
"RKIP",0.288501742160279,0.318341192270703,0.299529311082585,0.288306010928962,0.286666666666667,0.266666666666667,0.166666666666667,0.136169386169386,0.132323232323232,0.27732683982684,0.0777777777777778,0.1,0.242857142857143,0.245598278335725,0.193333333333333,0.216875834445928,0.202857142857143,0.2,0.192787114845938,0.2,0.2,0.225644772835321,0.138508087919853,0.0235779546124374,-0.0104761904761905,0.0557853106399354,0.00898345153664303,-0.1,-0.1,-0.107179487179487,-0.103333333333333,-0.133333333333333,-0.110863697705803,-0.133333333333333,0,-0.126947613789719,-0.107017543859649,-0.122621914044172,-0.05500888000888,-0.049025974025974,-0.049025974025974,-0.049025974025974,-0.147562119081106,-0.124872251931075,-0.44437255930524,-0.134105259958704,-0.12,-0.17,-0.201034482758621,-0.215928099779897,-0.172508489698559,-0.245598278335725,-0.280357142857143,-0.250842832888673,-0.239598278335725
"DSH",0.243763746518506,0.245976055842246,0.244089263389416,0.227454094820016,0.218251640832286,0.195670995670996,0.190909090909091,0.0629346144052026,0.048249299719888,0.19742816091954,0.0345238095238095,0.2,0.180833333333333,0.232687248774358,0.13768115942029,0.131177094379639,0.132919254658385,0.133333333333333,0.0972460872460872,0.193333333333333,0.133333333333333,0.121515878926102,0.0103038826478666,-0.0062261687720684,0.0308943089430894,0.0137010938274859,-0.0787463845592496,-0.075,-0.075,-0.0952712664012974,-0.105075187969925,-0.0907894736842105,-0.096465916446746,-0.0907894736842105,-0.1,-0.0940849640657936,-0.105075187969925,-0.099160654181555,-0.0227092057483808,-0.0280313345999214,-0.0280313345999214,-0.0280313345999214,-0.141271175101025,-0.0642681327850289,-0.160095173201455,-0.110109478935698,-0.0733333333333333,-0.0792156862745098,-0.0755119825708061,-0.0852864186610317,-0.127208419599724,-0.232687248774358,-0.187083333333333,-0.177969278973041,-0.23038263849229
"Frizzled",0.234991816693944,0.244089263389416,0.237547207314649,0.218251640832286,0.195670995670996,0.190909090909091,0.2,0.048249299719888,0.0345238095238095,0.187083333333333,0.0428571428571429,0.1,0.193333333333333,0.227962839325539,0.133333333333333,0.132919254658385,0.13768115942029,0.1,0.0909523809523809,0.133333333333333,0.1,0.117916230111352,0.00476795803066989,-0.011853874399774,0.0333333333333333,0.0129377350488599,-0.0826907001044932,0,-0.1,-0.105075187969925,-0.0907894736842105,-0.075,-0.105075187969925,-0.075,-0.1,-0.096465916446746,-0.0907894736842105,-0.0940849640657936,-0.0280313345999214,-0.0240943267259057,-0.0240943267259057,-0.0240943267259057,-0.142536997885835,-0.0578851540616246,-0.161608560861525,-0.107670454545455,-0.0333333333333333,-0.0733333333333333,-0.0792156862745098,-0.0755119825708061,-0.125759144237405,-0.227962839325539,-0.180833333333333,-0.18029486036839,-0.229411764705882
"Wnt",0.203076923076923,0.237547207314649,0.211965811965812,0.195670995670996,0.190909090909091,0.2,0.1,0.0345238095238095,0.0428571428571429,0.180833333333333,0,0,0.133333333333333,0.226972740315638,0.1,0.13768115942029,0.133333333333333,0.1,0.0766666666666667,0.1,0.1,0.109291521486643,0.00572033898305085,-0.0234817813765182,0.0242424242424242,0.0169165148897087,-0.078448275862069,0,-0.1,-0.0907894736842105,-0.075,0,-0.0907894736842105,-0.1,0,-0.105075187969925,-0.075,-0.096465916446746,-0.0240943267259057,-0.0195488721804511,-0.0195488721804511,-0.0195488721804511,-0.130909090909091,-0.0626470588235294,-0.161293103448276,-0.104545454545455,0,-0.0333333333333333,-0.0733333333333333,-0.0792156862745098,-0.119409937888199,-0.226972740315638,-0.193333333333333,-0.161102941176471,-0.229411764705882
"SHH",0.2,0.2,0.2,0.16,0.2,0.1,0,0.233333333333333,0.2,0,0.1,0,0,0.225,0.166666666666667,0.186666666666667,0.166666666666667,0.2,0.16,0,0,0.146388888888889,-0.0701075268817204,0.125,0.05,0.0397402597402597,-0.0871794871794872,0,-0.1,-0.1,0,0,-0.2,-0.1,0,-0.18,-0.1,-0.168888888888889,-0.0730769230769231,-0.05,-0.05,-0.05,-0.304761904761905,0.025,-0.285900383141762,-0.116666666666667,0,-0.1,-0.2,-0.18,-0.183333333333333,-0.225,0.1,-0.26,-0.2
"TCFLEF",0.144470327021283,0.209806295970531,0.207703045492519,0.0878074317001687,0.0804454685099846,0.0723809523809524,0.0533333333333333,-0.0821027522372155,-0.0910728519049896,0.147642811606346,-0.0910728519049896,0.0333333333333333,0.121766233766234,0.212716905901116,0.220512820512821,0.221271005819499,0.22425113826983,0.220512820512821,0.0889236350277816,0.133766233766234,0.142857142857143,-0.0172498188234248,-0.0763854384547056,-0.150582334369496,0.194067864271457,-0.0930152083075437,0.11560701250909,0.0607843137254902,0.0666666666666667,0.0560693909670892,0.0529638009049774,0.0657843137254902,0.060732946298984,0.0716666666666667,0.0666666666666667,-0.0366324603447731,0.0588461538461539,-0.0399829758086906,0.0126247493967386,0.00618585320751387,0.00618585320751387,0.00618585320751387,0.410468376068376,-0.173810923151768,-0.307331288307168,-0.0992711973434865,-0.154285714285714,-0.161602787456446,-0.158745644599303,-0.159425916708147,-0.0630828306978935,-0.212716905901116,-0.141121072475911,-0.0323610701419192,-0.110679271708683
"TGFR",0.302746422625749,0.280176787969234,0.274838709677419,0.272342684589908,0.258218390804598,0.233218390804598,0.236666666666667,0.33691639791615,0.303103448275862,0.147556390977444,0.31,0.22,0.110714285714286,0.136323992919131,0.188571428571429,0.0757801418439716,0.085,0.16,0.201168831168831,0.125,0.1,0.11711495562269,0.0805092281718535,0.170831118283653,0.0639051332033788,0.0110531265804714,-0.116201512925899,-0.0285714285714286,-0.0333333333333333,-0.0595817754977828,-0.0744204851752021,-0.0385714285714286,-0.0660244952002648,-0.0433333333333333,-0.1,-0.0612398062050495,-0.0791823899371069,-0.0700086281713914,-0.0859649122807018,-0.1,-0.1,-0.1,-0.0980276055741006,-0.0330400685382892,-0.197250573444119,-0.106030528611174,-0.280952380952381,-0.296741854636592,-0.276741854636592,-0.289070621759879,-0.100051561471513,-0.136323992919131,-0.147556390977444,-0.261091011931442,-0.132449329846355
"TGF",0.296776273372018,0.274838709677419,0.27,0.258218390804598,0.233218390804598,0.236666666666667,0.22,0.303103448275862,0.31,0.147556390977444,0.32,0.2,0.125,0.130663615560641,0.16,0.085,0.188571428571429,0.16,0.188311688311688,0.1,0,0.111663507581804,0.0724260872942554,0.154673913043478,0.0552631578947368,0.00883538464498754,-0.132093933463796,-0.1,-0.1,-0.0744204851752021,-0.0385714285714286,-0.0285714285714286,-0.0791823899371069,-0.0333333333333333,0,-0.0660244952002648,-0.0433333333333333,-0.0612398062050495,-0.1,-0.0875,-0.0875,-0.0875,-0.0984567901234568,-0.0212962962962963,-0.200722795666342,-0.101631701631702,-0.266666666666667,-0.280952380952381,-0.296741854636592,-0.276741854636592,-0.097396694214876,-0.130663615560641,-0.110714285714286,-0.266163475699558,-0.130663615560641
"Destcompl",0.132789432789433,0.140029239766082,0.139444444444444,0.0173031564194003,0.0171097328217214,0.00933771209633279,0.000766283524904214,-0.034505140323734,-0.0343047395221308,0.126890027298548,-0.0430003916960439,0.0111111111111111,0.124223602484472,0.114463533177687,0.136600985221675,0.137552501944516,0.136074669432201,0.141428571428571,0.0349551647073835,0.128571428571429,0.1,-0.0427398838490117,-0.00649771886222707,0.0413002852153302,0.10778802764308,-0.0977924353149948,0.00354336624403875,0.0261904761904762,0.0261904761904762,0.0233621754683156,0.021321359141785,0.019341161121983,0.0233212606244706,0.019341161121983,0.0333333333333333,0.0216774250080322,0.0218287233110378,0.02137145866433,0.0683414963886183,0.0686554681311614,0.0686554681311614,0.0686554681311614,0.120247862594829,-0.0302927590461047,0.0849494160248716,-0.0816666663007473,-0.0143589743589744,-0.0082983682983683,-0.0164950896098437,-0.0177609123946538,-0.0430505255875886,-0.114463533177687,-0.121520899781769,-0.0322454786300784,-0.107606841417092
"cateninnuc",0.0310541041910116,0.0656984973492477,0.0639249639249639,-0.0879252586438868,-0.0890145832626232,-0.0896357012750455,-0.101111111111111,-0.211538648872114,-0.211084103417568,0.0481524621212121,-0.207595731324545,-0.111111111111111,0.0371212121212121,0.0388907003150114,0.150065934065934,0.155020007247684,0.155238347859038,0.153142857142857,0.0967491425034849,0.0583333333333333,0.0333333333333333,-0.208780711681481,0.0568786651573294,-0.114978027437044,0.237536604195156,-0.0486362324085409,0.0482240409373307,0.175524475524476,0.175524475524476,0.179975176699417,0.185113516620366,0.185113516620366,0.181476856476856,0.186635586635587,0.190909090909091,0.1830451910549,0.186635586635587,0.083790841427725,0.0219170869170869,0.0220854370854371,0.0220854370854371,0.0220854370854371,0.321383444050004,-0.186576570117198,0.242155240354282,-0.0172875046104797,0.0297101449275362,0.0090752242926156,0.00401193315337509,0.00814037352034757,-0.0984642639313534,-0.0388907003150114,-0.0411212121212121,0.16581948676919,-0.00299069258143991
"Csn",0.0355758582502769,0.0373330080048114,0.033476966873706,0.0148095749364919,0.00989154214960667,0.010966810966811,0.00793650793650794,0.0816239316239316,0.0777777777777778,-0.0599666666666667,0.0868686868686869,-0.0142857142857143,-0.0716666666666667,0.031010752688172,0.126356852103121,0.129814412839918,0.131485057231326,0.115909090909091,0.121946850458205,-0.08,0.02,-0.00625166225320967,0.020457683498977,0.072701649434969,0.0897105961028479,-0.00755046940603239,0.0773562148692397,0.0666666666666667,0.0666666666666667,0.0703402678625963,0.0733970364215483,0.0770114942528736,0.0702859253104372,0.0770114942528736,0.0666666666666667,0.0712505555355175,0.0733970364215483,0.0716714815727996,-0.000802212955431434,-0.00137802869439497,-0.00137802869439497,-0.00137802869439497,0.104683663833805,-0.0911843540595294,0.01762953935514,-0.0216362561659168,-0.0266666666666667,-0.0448484848484848,-0.0461471861471861,-0.0451055194805195,-0.104586666699845,-0.031010752688172,0.0591666666666667,-0.00576866048664716,-0.0298972922502334
"cateninmemb",0.0303205992586174,0.0657938730392673,0.0631304347826087,-0.153839641012615,-0.156989247311828,-0.166666666666667,-0.166666666666667,-0.180064088023755,-0.18415330735461,0.0949110149110149,-0.199617224880383,-0.166666666666667,0.103809523809524,0.0284488821719758,0.167575757575758,0.163837390354834,0.162209903917221,0.160909090909091,0.0348210377102833,0.08,0.1,-0.234083315855448,0.0483118990815127,-0.123063882288875,0.230660377358491,-0.110742773934556,0.115328606198046,0.217647058823529,0.217647058823529,0.206034655722754,0.201367989056088,0.201367989056088,0.207254276681506,0.201367989056088,0.2,0.203891885647882,0.202237554273479,0.202958178831822,0.0828877962874019,0.083446455505279,0.083446455505279,0.083446455505279,0.270385631502228,-0.218923795961588,0.21524543867592,-0.0159514146106325,0.0345454545454546,0.040427807486631,0.0352731683113733,0.026253560468236,-0.0361928398779631,-0.0284488821719758,-0.10010582010582,0.188102216834167,-0.00126582278481013
"KLF4",0.0138579067990833,0.0310144927536232,0.0266666666666667,0.0304435483870968,0.0229166666666667,0.0166666666666667,0.0333333333333333,-0.0626656143639323,-0.0801913875598086,0.0215873015873016,-0.0854545454545454,0,0.02,0.0161042311661507,0.0689090909090909,0.0551855136733185,0.0595757575757576,0.0409090909090909,0.023294166151309,0,0.1,-0.0953888002460141,-0.0327151743920037,-0.0607565369362103,0.113993710691824,-0.02644248971834,0.0323539402759294,0.0333333333333333,0.0333333333333333,0.0114761702596034,-0.000592795257637943,0.0156862745098039,0.0124506830032316,0.0156862745098039,-0.0333333333333333,0.0121162348426965,-0.000592795257637943,0.00701038179163797,0.0249170437405732,0.0175641025641026,0.0175641025641026,0.0175641025641026,0.101714647611967,-0.0184880174291939,0.0861513035123193,-0.00846967846967847,0.04,0.0309090909090909,0.0544385026737968,0.0389745851480236,-0.0193019743762343,-0.0161042311661507,-0.0438095238095238,0.0103402844032529,0
"SNAI2",0.0180831826401447,0.0428529710961142,0.0395036887994634,-0.0782077337977445,-0.0838415366146459,-0.0858823529411765,-0.08,-0.115487582592846,-0.125877192982456,0.0754743110372525,-0.124122807017544,-0.1,0.0666666666666667,0.0151550241241871,0.108403361344538,0.104443070427725,0.107548660489837,0.0941176470588235,0.0166794871794872,0.0666666666666667,0.1,-0.278954987796235,-0.134170220534197,-0.093159487217254,0.153448275862069,-0.0791859050427521,0.0817144286850769,0.107272727272727,0.107272727272727,0.101156887851171,0.0974135723431498,0.107272727272727,0.101714647611967,0.107272727272727,0.08,0.103157946581039,0.0974135723431498,0.100518195028244,0.0697116888850721,0.0656020998439762,0.0656020998439762,0.0656020998439762,0.153431744706158,-0.105956869388944,0.367391609434214,-0.00942961970133896,0.0666666666666667,0.0490196078431373,0.0588235294117647,0.052066772655008,-0.0165462837421422,-0.0151550241241871,-0.0839080459770115,0.0954184575661981,0
"NFB",-0.10061919504644,-0.100677472487026,-0.103279702970297,-0.102665066395852,-0.100255427841635,-0.103703703703704,-0.1,0.0605716147651632,0.0663780663780664,-0.173972543972544,0.0584415584415584,-0.08,-0.169047619047619,0.00361685823754789,-0.123232323232323,-0.121201943485488,-0.125632323232323,-0.127777777777778,-0.000210172341319882,-0.0857142857142857,-0.1,0.0416187886730418,0.0655676994442753,0.116488274894649,-0.0955860238832375,0.0716595033169572,0.013939883645766,-0.0388888888888889,-0.0388888888888889,-0.0423806779986555,-0.0435042735042735,-0.0542735042735043,-0.0418093582500362,-0.0542735042735043,-0.05,-0.0460287675327366,-0.0435042735042735,-0.0445385714543053,-0.0365293620850529,-0.0315542377069434,-0.0315542377069434,-0.0315542377069434,-0.0631155015197568,0.158403361344538,0.247644125326561,-0.00156634905879619,0.0142857142857143,0.0262857142857143,0.0240634920634921,0.0181811391223156,-0.00276869570605846,-0.00361685823754789,0.171750321750322,0.0318541080912215,-0.00448717948717949
"IKK",0.10061919504644,0.103279702970297,0.10625,0.100255427841635,0.103703703703704,0.1,0.08,-0.0663780663780664,-0.0584415584415584,0.171750321750322,-0.0727272727272727,0.1,0.0857142857142857,-0.004,0.127777777777778,0.125632323232323,0.123232323232323,0.15,-0.00491803278688525,0.1,0,-0.0443475206152568,-0.0673628419997135,-0.123261183261183,0.0966386554621849,-0.0699983737488509,-0.0166849816849817,0.05,0.05,0.0435042735042735,0.0542735042735043,0.0388888888888889,0.0435042735042735,0.0388888888888889,0.1,0.0418093582500362,0.0542735042735043,0.0460287675327366,0.0315542377069434,0.0385964912280702,0.0385964912280702,0.0385964912280702,0.065952380952381,-0.157450980392157,-0.249473393619244,0.00307692307692308,0,-0.0142857142857143,-0.0262857142857143,-0.0240634920634921,0.00359061351427764,0.004,-0.169047619047619,-0.0318541080912215,0.00256410256410256
"ZEB1",0.130312813266181,0.126817983119039,0.123933367734424,0.0831513533915669,0.0685606060606061,0.0685606060606061,0.0958333333333333,0.0893797601685302,0.0678921568627451,0.0864242573647233,0.0875,0.0833333333333333,0.0736842105263158,-0.00794953202131966,0.179860069965018,0.166981857406562,0.180367684178215,0.149425287356322,0.0586462022825659,0.1,0.1,-0.0640658697836935,0.0142048933161226,-0.036245500804261,0.0973879142300195,-0.00892261578863651,-0.000342697683699315,0.00476190476190477,0.00256410256410257,-0.0139453413906519,-0.0225364066827481,0.0120789779326365,-0.0151188242651657,0.00988117573483427,-0.0666666666666667,-0.0068741434141019,-0.0234521575984991,-0.0134299164082311,-0.00127736529354372,-0.0146631920651973,-0.0146631920651973,-0.0146631920651973,0.0704166132032839,-0.105873536170509,0.0271620557890071,0.077843550902512,-0.1,-0.12,-0.0929411764705882,-0.0986680487172843,-0.0433166786510743,0.00794953202131966,-0.0949956859361519,-0.117591178366196,0.00980755545764658
"Ecadherin",-0.0145290477386806,-0.0302881005018072,-0.0310144927536232,-0.0272939420878842,-0.0304435483870968,-0.0229166666666667,-0.0166666666666667,0.0704723058137464,0.0626656143639323,-0.0254834054834055,0.0801913875598086,-0.0333333333333333,-0.0438095238095238,-0.0156302975168616,-0.0595757575757576,-0.0604296366389605,-0.0551855136733185,-0.0689090909090909,-0.0176761886232191,-0.02,0,-0.00207955418436564,0.035022866699696,0.0673926925426176,-0.110046342270771,0.0249513433996074,-0.0274974281346491,-0.0156862745098039,-0.0156862745098039,-0.0114761702596034,-0.0114761702596034,0.000592795257637943,-0.0121162348426965,0.000592795257637943,-0.0333333333333333,-0.00701038179163797,-0.0124506830032316,-0.00925127815018139,-0.0193304515618022,-0.0249170437405732,-0.0249170437405732,-0.0249170437405732,-0.103157946581039,0.0168120397755626,-0.0835625015857691,0.00716614029463191,-0.0309090909090909,-0.0544385026737968,-0.0389745851480236,-0.0377981145597883,0.0189855186800318,0.0156302975168616,0.0215873015873016,-0.00873845373963736,0.00126582278481013
"HEY1",-0.0138579067990833,-0.0310144927536232,-0.0266666666666667,-0.0304435483870968,-0.0229166666666667,-0.0166666666666667,-0.0333333333333333,0.0626656143639323,0.0801913875598086,-0.0215873015873016,0.0854545454545454,0,-0.02,-0.0161042311661507,-0.0689090909090909,-0.0551855136733185,-0.0595757575757576,-0.0409090909090909,-0.023294166151309,0,-0.1,0.0953888002460141,0.0327151743920037,0.0607565369362103,-0.113993710691824,0.02644248971834,-0.0323539402759294,-0.0333333333333333,-0.0333333333333333,-0.0114761702596034,0.000592795257637943,-0.0156862745098039,-0.0124506830032316,-0.0156862745098039,0.0333333333333333,-0.0121162348426965,0.000592795257637943,-0.00701038179163797,-0.0249170437405732,-0.0175641025641026,-0.0175641025641026,-0.0175641025641026,-0.101714647611967,0.0184880174291939,-0.0861513035123193,0.00846967846967847,-0.04,-0.0309090909090909,-0.0544385026737968,-0.0389745851480236,0.0193019743762343,0.0161042311661507,0.0438095238095238,-0.0103402844032529,0
