"","GSK3","AXIN2","DSH","TCFLEF","cateninnuc","CD44","GLI","Destcompl","Frizzled","Wnt","Csl","Ecadherin","SNAI2","ZEB2","ZEB1","Csn","NOTCHic","SUFU","NOTCH","SOSGRB2","cateninmemb","TWIST1","MEK","RAF","PI3K","DELTA","ERK","RKIP","cfos","miR200","Patched","KLF4","TGFR","ILK","HEY1","TGF","IKK","SHH","SMAD","FOXC2","FUS","NFB","AKT","EGR1","SMO","RAS","CDC42","PAK1","SNAI1","Jagged","TrCP","cMet","SRC","STAT","LIV1"
"Wnt",0.0735109717868339,0.0690909090909091,0.2,0.037781954887218,0.027848180052781,0.00921052631578947,0.00921052631578947,0.048637120752191,0.1,0.025,-0.15,-0.0475347495410438,0.144568965517241,-0.0896700143472023,-0.0896700143472023,0.1,-0.192857142857143,0,-0.192857142857143,0.139393939393939,-0.0427542372881356,0.0791176470588235,-0.11921568627451,-0.113533834586466,-0.113533834586466,-0.113533834586466,-0.113333333333333,0.146666666666667,-0.133333333333333,0.00898989898989899,0.154545454545455,0.0823529411764706,0.24,0.112820512820513,0.106153846153846,0.235652173913043,0.0333333333333333,0.130735930735931,0.096541443053071,0.215627530364372,-0.1,-0.0666666666666667,-0.0166666666666667,-0.1,-0.2,0.149897470950103,-0.3,-0.3,-0.0998447204968944,0.091421568627451,-0.1,-0.025,0,-0.1,0
"ZEB1",0.0109302277408205,0.176180902514951,0.119047619047619,0.139052101686416,0.139834880551387,0.145966995303437,0.151640476697052,0.0876922751797459,0.15075493612079,0.162293397659251,0.0541666666666667,0.0683198909516451,0.194035622000738,-0.0848740594150242,-0.0848740594150242,-0.1,0.0718137254901961,-0.1,0.0767724031761465,0.12495126705653,-0.0348320897237411,0.1251588398533,0.00413716852379718,0.083841915369192,0.083841915369192,0.083841915369192,0.0107450980392157,-0.0199795691091629,0.0213333333333333,-0.00624990155656912,0.0283868092691622,0.0919157003718316,0.152075231419823,0.0112028473517776,0.021442322789473,0.15876814480565,0.0201035375323555,0.0394188377389131,0.0184143858133161,0.116431659888397,-0.025,0.0315789473684211,0.0315321089609269,0.0333333333333333,-0.00681818181818182,-0.0811647500148613,-0.126186906546727,-0.12183908045977,0.032023333590821,-0.0517160618523308,0.1,-0.155689217525659,-0.141963727329581,-0.11025641025641,-0.133333333333333
"CD44",0.180357142857143,0.18,0,0.168294573643411,0.174448419797257,0.156666666666667,0.156666666666667,0.139277529193496,0.1,0.15,-0.2,0.146507979589621,-0.152625152625153,-0.073015873015873,-0.073015873015873,-0.1,-0.214285714285714,-0.1,-0.230075187969925,0.285714285714286,0.0695238095238095,0.104835164835165,0.135,-0.128571428571429,-0.128571428571429,-0.128571428571429,0.135,-0.0637037037037037,0.075,-0.0474967061923584,0.21,0.168253968253968,0.113333333333333,0.172222222222222,0.152046783625731,0.113333333333333,0.0333333333333333,0.191818181818182,0.149773242630385,0.100416666666667,-0.1,0,0.0666666666666667,0.1,-0.15,0.125714285714286,-0.113333333333333,-0.133333333333333,-0.0443115364167996,0.121864801864802,0,-0.25,-0.2,-0.1,-0.1
"Destcompl",0.0304628191134967,0.124864480188329,0.0301587301587302,0.0215091697416375,0.0135540448053805,0.0124680738512266,0.0117682833421726,-0.0478217341653633,0.00687105892585345,0.0256829401139723,-0.00772424598511555,-0.0134391567068212,0.153472446298345,-0.0707552530725519,-0.0707552530725519,-0.0238095238095238,0.00314531923227575,-0.166666666666667,-0.00226550241101082,0.0941419239860372,-0.01948459553682,0.00224468923094986,-0.0254696178829817,-0.0487839753787653,-0.0487839753787653,-0.0487839753787653,-0.00774809889563988,0.0170771545867221,-0.0257808857808858,-0.0209209412091192,0.140471000621081,0.0785596782578999,0.123354198303641,0.0976984126984127,0.0988512342358496,0.128378828845513,0.00720161154943763,0.148014520930559,0.101791979949875,0.116870112067445,-0.142528735632184,-0.0153209109730849,-0.0136037575780791,-0.00153846153846154,-0.14824302134647,0.0677792658026271,-0.124933145672062,-0.11734693877551,-0.00351404486106604,0.0247090414847424,-0.0333333333333333,-0.0262740440004803,-0.00687105892585345,-0.0301587301587302,0.00555555555555556
"CDC42",-0.0467721861471861,-0.0856650246305419,-0.1,-0.0592921634505793,-0.0681810523394682,-0.0513713713713714,-0.0540740740740741,-0.0745544185498324,-0.08,-0.0540740740740741,-0.183333333333333,-0.0340362127135621,0.127611463961829,-0.0545293823744187,-0.0545293823744187,-0.2,-0.137179487179487,-0.2,-0.123333333333333,0.0180555555555556,-0.0515214731860774,0.0247186147186147,0.00683861459100958,-0.0697712418300654,-0.0697712418300654,-0.0697712418300654,0.0356521739130435,0.0208857808857809,0.04,0.0280281809693575,0.058678955453149,0.0502222222222222,0.0285714285714286,0.0338624338624339,0.0184907546226887,0.0528138528138528,0.0875,0.0771974739716675,0.0580559822495307,0.0545125367220059,-0.128571428571429,0.125,0.0769736842105263,0.02,-0.0619047619047619,0.0685517296349434,0.00476190476190476,0.1,0.0210597840977588,0.0882986111111111,0.1,0.0540740740740741,0.08,0.1,0.1
"TrCP",-0.0474994588744589,-0.087551817083372,-0.08,-0.0681810523394682,-0.0658362247532613,-0.0592921634505793,-0.0633423667570009,-0.0787649448656219,-0.0540740740740741,-0.0540740740740741,-0.137179487179487,-0.0306452092533545,0.12526065021861,-0.045204623531975,-0.045204623531975,-0.125,-0.123333333333333,-0.128571428571429,-0.123333333333333,0.0408278327832783,-0.0441954658600701,0.0176533973273104,0.00950528125767625,-0.0685517296349434,-0.0685517296349434,-0.0685517296349434,0.00683861459100958,0.019228322322245,0.0356521739130435,0.0300586378221493,0.0771974739716675,0.0518615664845173,0.0528138528138528,0.0580559822495307,0.0420201663873946,0.0544531970761479,0.0769736842105263,0.0921974739716675,0.0645075951527565,0.0565815022392473,-0.0619047619047619,0.0875,0.0899366471734893,0.04,-0.058678955453149,0.0690062750894889,-0.0285714285714286,0.00476190476190476,0.0303676599927468,0.102409040558964,0.2,0.0513713713713714,0.0540740740740741,0.08,0.1
"PAK1",-0.0474994588744589,-0.087551817083372,-0.08,-0.0681810523394682,-0.0658362247532613,-0.0592921634505793,-0.0633423667570009,-0.0787649448656219,-0.0540740740740741,-0.0540740740740741,-0.137179487179487,-0.0306452092533545,0.12526065021861,-0.045204623531975,-0.045204623531975,-0.125,-0.123333333333333,-0.128571428571429,-0.123333333333333,0.0408278327832783,-0.0441954658600701,0.0176533973273104,0.00950528125767625,-0.0685517296349434,-0.0685517296349434,-0.0685517296349434,0.00683861459100958,0.019228322322245,0.0356521739130435,0.0300586378221493,0.0771974739716675,0.0518615664845173,0.0528138528138528,0.0580559822495307,0.0420201663873946,0.0544531970761479,0.0769736842105263,0.0921974739716675,0.0645075951527565,0.0565815022392473,-0.0619047619047619,0.0875,0.0899366471734893,0.04,-0.058678955453149,0.0690062750894889,-0.0285714285714286,0.00476190476190476,0.0303676599927468,0.102409040558964,0.2,0.0513713713713714,0.0540740740740741,0.08,0.1
"Jagged",-0.0632183908045977,-0.142857142857143,0,-0.0696503496503496,-0.0707492507492507,-0.0969230769230769,-0.0969230769230769,-0.0814980694980695,-0.1,-0.12,-0.2,-0.02,0.0508044243338361,-0.0193236714975845,-0.0193236714975845,0,-0.3,0,-0.3,0.04,-0.0182604719224438,-0.03,0.02,-0.08,-0.08,-0.08,0.02,-0.0256410256410256,0,0.00787878787878789,0.125,-0.0111111111111111,0,0.0333333333333333,-0.0666666666666667,-0.012,0.2,0.0557692307692308,0.0190476190476191,-0.01,-0.1,0.1,0.122222222222222,-0.1,-0.2,0.08,-0.1,-0.2,0.0333333333333333,0.12034632034632,0,0.12,0.1,0,0
"RKIP",-0.28892828999212,-0.192194092827004,-0.1,-0.16209667525457,-0.160315504771109,-0.155802968960864,-0.149487179487179,-0.12634154707179,-0.133333333333333,-0.153333333333333,0.211111111111111,-0.160062648295528,0.277045812204931,-0.01724725011956,-0.01724725011956,0,0.202020202020202,0.1,0.186635586635587,-0.254920634920635,-0.0807787619552326,-0.0266369578134284,-0.199266324284666,0.202272727272727,0.202272727272727,0.202272727272727,-0.175862068965517,0.0964985994397759,-0.2,0.0126479867945423,-0.129333333333333,0.01324725011956,-0.0142857142857143,-0.119373127941806,-0.103019744483159,-0.0226969292389853,0.0107142857142857,-0.15392349726776,-0.124323622991311,-0.00660182729148247,0.133333333333333,-0.0142857142857143,0.0198051948051948,-0.25,0.133333333333333,-0.220221445221445,0,-0.0333333333333333,0.00982984185944883,-0.06435443447328,0,0.159649122807018,0.133333333333333,0.1,0
"Csn",0.1017637952821,0.107404686024551,0.0833333333333333,0.0745244664951709,0.0698942800850687,0.0693797719614088,0.0695117467309382,0.0555155837004151,0.0660919540229885,0.0769353275169644,-0.0964646464646465,-0.00573080076083533,0.057082222186262,-0.0103937138130687,-0.0103937138130687,0.095,-0.0925685425685426,-0.0142857142857143,-0.093530081030081,0.0685944886429148,-0.0294367613914371,0.0695808009973508,-0.0818885281385281,-0.108568064486912,-0.108568064486912,-0.108568064486912,-0.0714718614718615,0.10241783447839,-0.0857575757575758,-0.00467688511836053,0.0136992040217847,0.0108137614019967,0.109288348467453,-0.000411490683229814,-0.00560354374307863,0.111913646796809,-0.0825,0.0136992040217847,0.00190213399543342,0.101801044307261,-0.0142857142857143,-0.103333333333333,-0.0977,-0.0766666666666667,-0.0233766233766234,0.11950856352722,-0.114416553595658,-0.115909090909091,-0.0843784110242493,-0.00736359114745495,-0.22,-0.0769353275169644,-0.0660919540229885,-0.0833333333333333,-0.0666666666666667
"SNAI2",-0.17932227053715,-0.286496906257711,-0.210909090909091,-0.220672156610694,-0.221448554126222,-0.223352568981828,-0.222812059522913,-0.169117377143245,-0.218051948051948,-0.222277300164624,-0.219736842105263,-0.202778826513146,0.0664008752542358,-0.00984518565135305,-0.00984518565135305,0.133333333333333,-0.214473684210526,0.2,-0.213174982911825,-0.261629479377958,-0.0393590751964602,-0.21339452500508,-0.169978802331744,-0.1098351329582,-0.1098351329582,-0.1098351329582,-0.168627450980392,0.0265128205128205,-0.162745098039216,-0.00253306797720103,-0.23608643457383,-0.0126923076923077,-0.172060619119443,-0.0518443997317237,-0.0741862567811935,-0.174545091169132,-0.129885057471264,-0.240311786686506,-0.0561506198274175,-0.152137011937751,0.22,-0.133333333333333,-0.131089876748373,-0.133333333333333,0.225882352941176,0.108465269944502,0.167787114845938,0.172549019607843,-0.0142207978963803,0.210519985850725,-0.1,0.222277300164624,0.218051948051948,0.210909090909091,0.22
"miR200",-0.0602174926867298,0.0794123038245025,0.02,0.0445398243010688,0.0378731576344022,0.05565093541218,0.0622002785946448,0.0404920932937136,0.016,0.0512112676056338,-0.0200985221674877,-0.0214306268398641,0.119099468583368,0.00672491039426523,0.00672491039426523,-0.1,-0.0132019704433497,-0.1,0.00996187136455986,0.0382624113475177,-0.00931424520210836,0.0968049537374691,-0.00565244279529994,0.0757864523536165,0.0757864523536165,0.0757864523536165,0.00727272727272727,-0.0157494369210182,0.03,-0.0161688273510304,-0.0114873417721519,-0.0143719806763285,0.0648244781783681,-0.00693730392845437,0.0011864406779661,0.0933128502713914,0.0233082706766917,0.0102517886626307,0.00466144215305034,0.0669792538085221,-0.0875,0.0947368421052632,0.0119875159597106,0,-0.0075,-0.0785295944982549,-0.0551470588235294,-0.104166666666667,0.0347335997335997,-0.0128586749780229,0,-0.0421677893447642,-0.00695652173913043,-0.02,-0.1
"cateninmemb",0.027848099447306,0.0785395672601582,-0.00392156862745098,-0.0151089462871197,-0.0187504028697528,-0.0222073273581035,-0.0227523625328239,0.0314380515092367,-0.0202006383948928,-0.0167523625328239,0.0490909090909091,-0.0767298444942843,0.0967676174021654,0.0083671053854318,0.0083671053854318,-0.02,0.0521836925960637,0.0333333333333333,0.0466074844176251,0.10564307423791,0.01915254932208,-0.0157464490451674,0.087923626807799,0.0131410256410256,0.0131410256410256,0.0131410256410256,0.0930216660234853,-0.0199756102645348,0.0837433155080214,0.000141586119239752,-0.0157930107526882,0.00487576183778715,0.0386947524020695,0.020231884057971,0.0267476069134182,0.038513920575668,0.0226455026455026,-0.0126434044534756,0.0180527073025231,0.0572911156507516,0.0166666666666667,0.0152380952380952,0.0122558922558923,0.107272727272727,0.0104166666666667,-0.00336448932817648,-0.0440606060606061,-0.0347272727272727,0.00653617432342192,0.0306313828731567,0,0.0158528123079363,0.0202006383948928,0.00392156862745098,0.0333333333333333
"KLF4",0.130732511864071,0.223352568981828,0.133333333333333,0.147419685926794,0.150283944955436,0.15243640833482,0.151581835621177,0.117234627684147,0.150980392156863,0.153305973552212,0.152727272727273,0.0051994329498286,0.248615600825621,0.00955108359133127,0.00955108359133127,-0.1,0.147464114832536,-0.2,0.148495042667587,0.212478559176672,-0.0675495078543859,0.166518518518519,0.140359446496499,0.052948717948718,0.052948717948718,0.052948717948718,0.141390374331551,-0.0318387961245104,0.147272727272727,0.00154660154660154,0.179166666666667,0.0148148148148148,0.120060606060606,0.04,0.0586860198624904,0.121524020694752,0.0752380952380952,0.180241935483871,0.0443478260869565,0.111201295063969,-0.166666666666667,0.08,0.0789417989417989,0.12,-0.166666666666667,-0.0551546003016591,-0.110727272727273,-0.122727272727273,0.0184140063430835,-0.137075098814229,0.1,-0.153305973552212,-0.150980392156863,-0.133333333333333,-0.166666666666667
"HEY1",0.130732511864071,0.223352568981828,0.133333333333333,0.147419685926794,0.150283944955436,0.15243640833482,0.151581835621177,0.117234627684147,0.150980392156863,0.153305973552212,0.152727272727273,0.0051994329498286,0.248615600825621,0.00955108359133127,0.00955108359133127,-0.1,0.147464114832536,-0.2,0.148495042667587,0.212478559176672,-0.0675495078543859,0.166518518518519,0.140359446496499,0.052948717948718,0.052948717948718,0.052948717948718,0.141390374331551,-0.0318387961245104,0.147272727272727,0.00154660154660154,0.179166666666667,0.0148148148148148,0.120060606060606,0.04,0.0586860198624904,0.121524020694752,0.0752380952380952,0.180241935483871,0.0443478260869565,0.111201295063969,-0.166666666666667,0.08,0.0789417989417989,0.12,-0.166666666666667,-0.0551546003016591,-0.110727272727273,-0.122727272727273,0.0184140063430835,-0.137075098814229,0.1,-0.153305973552212,-0.150980392156863,-0.133333333333333,-0.166666666666667
"FOXC2",0.130732511864071,0.223352568981828,0.133333333333333,0.147419685926794,0.150283944955436,0.15243640833482,0.151581835621177,0.117234627684147,0.150980392156863,0.153305973552212,0.152727272727273,0.0051994329498286,0.248615600825621,0.00955108359133127,0.00955108359133127,-0.1,0.147464114832536,-0.2,0.148495042667587,0.212478559176672,-0.0675495078543859,0.166518518518519,0.140359446496499,0.052948717948718,0.052948717948718,0.052948717948718,0.141390374331551,-0.0318387961245104,0.147272727272727,0.00154660154660154,0.179166666666667,0.0148148148148148,0.120060606060606,0.04,0.0586860198624904,0.121524020694752,0.0752380952380952,0.180241935483871,0.0443478260869565,0.111201295063969,-0.166666666666667,0.08,0.0789417989417989,0.12,-0.166666666666667,-0.0551546003016591,-0.110727272727273,-0.122727272727273,0.0184140063430835,-0.137075098814229,0.1,-0.153305973552212,-0.150980392156863,-0.133333333333333,-0.166666666666667
"Ecadherin",0.126979752482173,0.220672156610694,0.150980392156863,0.150283944955436,0.150377315637042,0.147419685926794,0.146248502287844,0.120589706901295,0.153305973552212,0.151581835621177,0.147464114832536,-0.0948005670501714,0.249277852481251,0.0123946854870659,0.0123946854870659,-0.08,0.148495042667587,-0.166666666666667,0.144405823336732,0.216425927597725,-0.0685751488800269,0.162235464514794,0.138398662182774,0.0551546003016591,0.0551546003016591,0.0551546003016591,0.140359446496499,-0.0337114553005404,0.141390374331551,0.00210526076447864,0.180241935483871,0.0122831692451946,0.121524020694752,0.0443478260869565,0.0606994426812824,0.119896534257139,0.0789417989417989,0.181816738633477,0.0445899568375619,0.109599464400353,-0.166666666666667,0.0752380952380952,0.0724482924482924,0.147272727272727,-0.179166666666667,-0.0509646561675809,-0.120060606060606,-0.110727272727273,0.0158823607734632,-0.132269606823383,0.1,-0.15243640833482,-0.153305973552212,-0.150980392156863,-0.133333333333333
"MEK",0.297036398100228,0.199401300034211,0.133333333333333,0.160315504771109,0.161988367224641,0.16209667525457,0.155780885780886,0.120693011506937,0.153333333333333,0.149487179487179,-0.202020202020202,0.160973395107914,-0.2746127221806,0.0164535993259092,0.0164535993259092,-0.0142857142857143,-0.186635586635587,-0.133333333333333,-0.188825367657484,0.259365079365079,0.0805348595162082,0.0313988625753332,0.109266324284666,-0.220221445221445,-0.220221445221445,-0.220221445221445,0.199266324284666,-0.0899196520713549,0.175862068965517,-0.0160535595499603,0.15392349726776,-0.0152080344332855,0.0226969292389853,0.124323622991311,0.106656108119523,0.0226969292389853,-0.0198051948051948,0.155884281581485,0.121002589780979,0.00750272819238337,-0.133333333333333,-0.0107142857142857,0.00490068754774637,0.2,-0.129333333333333,0.214189699189699,-0.0142857142857143,0,-0.00277855980816678,0.0627150902109849,0,-0.155802968960864,-0.159649122807018,-0.133333333333333,-0.1
"RAF",0.28892828999212,0.192194092827004,0.1,0.16209667525457,0.160315504771109,0.155802968960864,0.149487179487179,0.12634154707179,0.133333333333333,0.153333333333333,-0.211111111111111,0.160062648295528,-0.277045812204931,0.01724725011956,0.01724725011956,0,-0.202020202020202,-0.1,-0.186635586635587,0.254920634920635,0.0807787619552326,0.0266369578134284,0.199266324284666,-0.202272727272727,-0.202272727272727,-0.202272727272727,0.175862068965517,-0.0964985994397759,0.2,-0.0126479867945423,0.129333333333333,-0.01324725011956,0.0142857142857143,0.119373127941806,0.103019744483159,0.0226969292389853,-0.0107142857142857,0.15392349726776,0.124323622991311,0.00660182729148247,-0.133333333333333,0.0142857142857143,-0.0198051948051948,0.25,-0.133333333333333,0.220221445221445,0,0.0333333333333333,-0.00982984185944883,0.06435443447328,0,-0.159649122807018,-0.133333333333333,-0.1,0
