"","FOXC2","SNAI1","ERK","MEK","TWIST1","TrCP","SUFU","ZEB2","Jagged","SOSGRB2","IKK","NOTCHic","Csl","FUS","SMO","HEY1","Patched","SMAD","ILK","SHH","miR200","KLF4","TGFR","Ecadherin","STAT","LIV1","DELTA","SNAI2","cateninmemb","cateninnuc","TCFLEF","SRC","GLI","CD44","Wnt","cMet","Destcompl","Frizzled","AXIN2","DSH","RAF","PI3K","RAS","TGF","PAK1","CDC42","GSK3","ZEB1","AKT","NFB","NOTCH","EGR1","Csn","cfos","RKIP"
"NOTCH",-0.264897959183673,-0.140641025641026,-0.253333333333333,-0.274761904761905,-0.246593220338983,0,0,-0.304347826086957,-0.0738720538720539,-0.154736842105263,0.111111111111111,-0.134285714285714,-0.12,0.0333333333333333,0.108333333333333,-0.00434782608695653,0.131410256410256,0.0985714285714286,0.0952380952380952,0.149057315233786,-0.205194805194805,-0.293236714975845,0.0675555555555556,-0.229747028862479,0.1,0,0.109090909090909,0.0266094471976825,-0.293721318869907,-0.31305266162409,-0.288971028971029,0.16,-0.259300699300699,-0.259300699300699,-0.213846153846154,0.213846153846154,0.287434633565475,-0.16,-0.282371967654987,-0.1,-0.109090909090909,-0.109090909090909,-0.119235836627141,-0.0836845878136201,0,-0.0555555555555556,0.225383141762452,-0.0869565217391304,-0.111111111111111,-0.0333333333333333,0.0568663594470046,0.2,0,0.22,0.147214854111406
"CDC42",-0.246765047482408,-0.117246972436846,-0.25304347826087,-0.261518054532056,-0.212831168831169,0,0.0333333333333333,-0.299727122487413,-0.0355555555555555,-0.155555555555556,0.108333333333333,-0.0153846153846154,0,0.104761904761905,0.121428571428571,0.0956521739130435,0.13110599078341,0.0936251920122888,0.0952380952380952,0.142217101894521,-0.200946439181733,-0.284126984126984,0.0669467787114846,-0.199092745474668,0.15,0.1,0.113289760348584,0.0190400353904004,-0.254538213555747,-0.273389131705963,-0.260796539113371,0.19,-0.244385964912281,-0.244954954954955,-0.223333333333333,0.223333333333333,0.267370171625468,-0.19,-0.272348111658457,-0.15,-0.113289760348584,-0.113289760348584,-0.11694829693395,-0.0730073847720906,0.0571428571428571,-0.0571428571428571,0.215113636363636,-0.0876705484453668,-0.108333333333333,-0.108333333333333,0.0323076923076923,0.22,-0.0333333333333333,0.24,0.147808857808858
"DELTA",-0.234285714285714,-0.108333333333333,-0.22,-0.253333333333333,-0.211,0,0,-0.293236714975845,-0.0442424242424242,-0.16,0.0333333333333333,-0.12,-0.1,0,0.0333333333333333,-1.11022302462516e-17,0.108333333333333,0.0952380952380952,0.1,0.131410256410256,-0.190909090909091,-0.288888888888889,0.0555555555555556,-0.219263157894737,0,0,0.1,0.0207893413775767,-0.272255350283519,-0.288971028971029,-0.259300699300699,0.1,-0.213846153846154,-0.213846153846154,-0.16,0.16,0.261266409266409,-0.1,-0.231428571428571,0,-0.1,-0.1,-0.109090909090909,-0.0675555555555556,0,0,0.200383141762452,-0.0980676328502415,-0.111111111111111,0,0.134285714285714,0.1,0,0.2,0.123076923076923
"RKIP",-0.23219864426761,-0.203344349456932,-0.377241379310345,-0.400645634629494,-0.135311942959002,-0.1,-0.1,-0.26848493543759,-0.158753739186676,-0.385269841269841,-0.142857142857143,-0.111111111111111,-0.111111111111111,-0.133333333333333,-0.113333333333333,-0.105962059620596,-0.0693333333333333,-0.0796535077127738,-0.0885643988018827,-0.0709726775956284,-0.209809383245101,-0.24648493543759,-0.0952380952380952,-0.0460474307605238,0,0,-0.11461038961039,-0.08406219035962,-0.0517838847250612,-0.174432304002412,-0.153821616979512,0.0666666666666667,-0.127435897435897,-0.123751686909582,-0.0966666666666667,0.0929824561403509,0.426208741336256,-0.0666666666666667,-0.114978902953587,0,0.11461038961039,0.11461038961039,0.117174492174492,0.0961726746773476,0.1,0.133333333333333,0.474940898345154,-0.0141080822572932,0.10952380952381,0.142857142857143,0.114957264957265,0.31,0.1,0.36,0.424299719887955
"SNAI2",-0.280848479947553,-0.212280165845833,-0.168627450980392,-0.174032856385798,-0.27197973103656,0.1,0.1,-0.235347598070065,-0.232656209713242,-0.10446247464503,0.102011494252874,-0.196929824561403,-0.184649122807018,0.16,0.189411764705882,0.0307414104882459,0.207779111644658,0.0673559699504844,0.0592219986586184,0.231722773616489,-0.22377521236124,-0.188653846153846,0.120663650075415,-0.188307646874681,0.187272727272727,0.16,0.102038589139165,0.0429474554673297,-0.284558050222647,-0.293305206906389,-0.279485331129991,0.215844155844156,-0.261321296764545,-0.261959557934115,-0.242604719224438,0.242604719224438,0.263317564760244,-0.215844155844156,-0.30393020732502,-0.187272727272727,-0.102038589139165,-0.102038589139165,-0.102951831148298,-0.127495948212061,-0.107843137254902,-0.107843137254902,0.246777246716032,0.093154814348647,-0.103216313529982,-0.0916666666666667,0.208618136249715,0.133333333333333,-0.0666666666666667,0.13921568627451,0.205230769230769
"ZEB2",-0.374477078477078,-0.25161794556567,-0.228692699490662,-0.22747318729554,-0.223516917036319,-0.2,-0.2,-0.191804069537579,-0.180267779047458,-0.171575091575092,-0.167777777777778,-0.160307692307692,-0.158974358974359,-0.157142857142857,-0.148571428571429,-0.141466275659824,-0.131498257839721,-0.122647712415833,-0.120208688025589,-0.119680076021539,-0.114532359601306,-0.0829003459377103,-0.0727272727272727,-0.0555970097894547,-0.05,-0.05,-0.0444805194805195,-0.0369784405543212,-0.0352159310223826,-0.0326714691837005,-0.0237104302226615,-0.0233333333333333,-0.0216785355317465,-0.010682261208577,-0.00883449883449884,-0.00228070175438597,0.00919347319263814,0.0142424242424242,0.0169451733411809,0.0409090909090909,0.0444805194805195,0.0444805194805195,0.0455511832920826,0.069023569023569,0.0779220779220779,0.087012987012987,0.119902196129866,0.135765497331342,0.157497403946002,0.161111111111111,0.168504413619168,0.2,0.211111111111111,0.215789473684211,0.270708534621578
"miR200",-0.321637387003241,-0.208306138306138,-0.176493506493506,-0.194860853432282,-0.330042043845725,-0.1,-0.08,-0.139740143369176,-0.171718021257892,-0.130138620245003,-0.042406015037594,-0.151527093596059,-0.137733990147783,-0.0675,-0.0208333333333333,-0.0583050847457627,-0.00437763713080169,-0.0314077579198116,-0.0411256262583696,0.00757888460832874,-0.183517946908898,-0.124568668046929,0.0497311827956989,-0.160108697212238,0.16,0.1,0.0866666666666667,0.106056863575465,-0.279941278891863,-0.293635668431694,-0.276969001765028,0.199130434782609,-0.262148893360161,-0.257921382717408,-0.233577464788732,0.228707899571341,0.293771011629918,-0.204,-0.297431441051707,-0.16,-0.0866666666666667,-0.0866666666666667,-0.092402327514547,-0.0584521130282571,-0.00833333333333333,-0.0416666666666667,0.261762461647613,0.131751792114695,0.0405192225847638,0.0852631578947368,0.162261556872895,0.142857142857143,0.08,0.162857142857143,0.203906967101109
"Csn",-0.245217876473575,-0.226046876100277,0.0205194805194805,0.0101028138528138,-0.230185444911953,-0.22,0.0142857142857143,-0.119801488833747,-0.0769103192226804,-0.0852323302202237,-0.128333333333333,0.0818181818181818,0.0909090909090909,0.0253968253968254,0.0405483405483405,0.0356672203765227,0.0588279104408137,0.040486396078494,0.0320031055900621,0.0727623366703219,-0.102551292846566,-0.104009193420958,-0.0651088960790453,-0.0711493513697724,0.166666666666667,0.133333333333333,-0.240333839862868,0.0665056196634926,-0.139228228136076,-0.277443232859189,-0.262710821554318,0.197701149425287,-0.245273096602643,-0.245669020911231,-0.223002354244564,0.223002354244564,0.517571865915496,-0.197701149425287,-0.273604225684608,-0.166666666666667,0.240333839862868,0.240333839862868,0.238990269805286,0.0567556741220048,0.0840909090909091,0.0676729986431479,0.556160874004444,0.0244449958643507,0.122733333333333,0.128333333333333,-0.076048951048951,-0.04,0.12,-0.0218181818181818,0.18782388343364
"CD44",-0.06125,-0.0260499734183945,0.295,0.325,-0.0643956043956044,-0.1,0.1,-0.0603174603174603,0.124662004662005,0.383333333333333,0,0.242857142857143,0.2,0.1,0.15,0.21578947368421,0.19,0.192403628117914,0.194444444444444,0.208181818181818,-0.0572683355292051,-0.165079365079365,-0.0125,-0.197629464770383,-0.1,-0.1,-0.152380952380952,0.0903496503496503,-0.229505494505494,-0.192468694096601,-0.19093023255814,0,-0.17,-0.17,-0.15,0.05,-0.0227818400087308,-0.1,-0.19,0,0.152380952380952,0.152380952380952,0.160952380952381,0.0180555555555556,0,0.1,-0.0976190476190476,0.00952380952380952,-0.0333333333333333,0,-0.237593984962406,-0.2,0,-0.275,-0.165925925925926
"RAS",-0.0957142857142857,-0.105535889872173,0.311315789473684,0.31327657378741,-0.122945990180033,-0.1,0.1,-0.0473784977908689,0.0670057165385374,0.195670995670996,-0.113333333333333,0.205263157894737,0.2,0.1,0.133333333333333,0.126284584980237,0.153333333333333,0.132034632034632,0.117748917748918,0.134689265536723,-0.0569538461538462,-0.0442857142857143,-0.0423529411764706,-0.0572562305554633,0.1,0,-0.321538461538461,0.0377535745915609,-0.0837103633400592,-0.16135433237941,-0.159371329546549,0.15,-0.152450980392157,-0.154755944931164,-0.144117647058824,0.144117647058824,0.218161426882357,-0.15,-0.179235836627141,-0.1,0.321538461538461,0.321538461538461,0.213846153846154,0.0512638322655795,0.1,0.06,0.172764857881137,0.0600736377025037,0.102222222222222,0.133333333333333,-0.210923535253227,-0.26,0.1,-0.285,-0.114339622641509
"IKK",0.0444733044733045,-0.0211832061068702,-0.120857142857143,-0.118634920634921,-0.0220915032679739,0.2,-0.1,-0.0222857142857143,-0.114726647922524,-0.135504201680672,0.0428571428571429,-0.232034632034632,-0.227272727272727,-0.08,-0.08,-0.115789473684211,-0.0837037037037037,-0.105851210121012,-0.104861111111111,-0.0768071519795658,-0.0158862876254181,-0.0117216117216117,-0.0474747474747475,-0.135372710157018,0.1,0.1,0.222686025408348,0.0837772704211061,-0.162026409344845,-0.125562505386577,-0.124296682601767,0.111111111111111,-0.12034188034188,-0.12034188034188,-0.118803418803419,0.118803418803419,-0.124295466957877,-0.111111111111111,-0.149047619047619,-0.1,-0.222686025408348,-0.222686025408348,-0.225502926816799,0.0514747474747475,0.05,0.0611111111111111,-0.223260073260073,0.0077593984962406,-0.0455598455598456,-0.142857142857143,0.243145743145743,0.05,-0.1,0.0928571428571429,0.036976320582878
"NFB",-0.0432780853497985,0.0225530691205689,0.118634920634921,0.131053221288515,0.0217740429505135,-0.1,0.08,0.021136288998358,0.117604345764251,0.138662096417514,-0.0455598455598456,0.243145743145743,0.232034632034632,0.08,0.0837037037037037,0.119360902255639,0.0768071519795658,0.104735968485324,0.105851210121012,0.0768071519795658,0.0180010912507957,0.0194139194139194,0.0514747474747475,0.135693737444337,-0.111111111111111,-0.1,-0.225502926816799,-0.0823545061934638,0.164666324867548,0.127209564210107,0.125562505386577,-0.118803418803419,0.124836262364352,0.124296682601767,0.12034188034188,-0.12034188034188,0.124295466957877,0.118803418803419,0.153302938196555,0.111111111111111,0.225502926816799,0.225502926816799,0.228488001443665,-0.047044367727912,-0.0611111111111111,-0.0474747474747475,0.222475759534583,-0.00507740615907585,0.0522265122265122,0.0428571428571429,-0.245081227016711,-0.0928571428571429,0.142857142857143,-0.120857142857143,-0.0382583718649292
"TCFLEF",-0.0177558784542767,-0.209838673646205,0.133646922183508,0.11868093578895,-0.0918284668475335,-0.171428571428571,-0.116666666666667,0.0461943558390927,-0.074679162935868,0.025612160294795,-0.200015081692501,0.145321217918062,0.15904670811414,-0.123333333333333,-0.109047619047619,-0.00666438290988676,-0.0800153609831029,-0.0401735644517168,-0.0510722260195944,-0.0585429683450661,0.00690676124411064,-0.0268668831168831,-0.177159368922029,-0.162218633485406,0.0708333333333333,0.0333333333333333,-0.229310831718774,0.134399155425572,-0.266632843631225,-0.326634841902786,-0.304899446713782,0.115833333333333,-0.183277919863598,-0.17935534591195,-0.152843137254902,0.149166666666667,0.548214443258431,-0.119509803921569,0.187131135531136,-0.0745098039215686,0.229310831718774,0.229310831718774,0.23023067403152,0.163583209981632,0.18974358974359,0.182766845557543,0.450013562828872,0.130576776537303,0.192406386040327,0.190337662337662,-0.1396733773865,-0.161428571428571,0.162337662337662,-0.134599303135888,0.0449846167975387
"cMet",0.0675791139240506,0.0226601429099199,-0.325,-0.334090909090909,0.0790023459686381,0,-0.1,0.0492063492063492,-0.113792439444613,-0.43,-0.0333333333333333,-0.237593984962406,-0.242857142857143,-0.15,-0.19,-0.213828689370485,-0.208181818181818,-0.205130900845187,-0.192403628117914,-0.211306818181818,0.0588308355292051,0.16031746031746,0.0180555555555556,0.200428446958678,0,0.1,0.160952380952381,-0.0815905262620591,0.230573110163857,0.195293552853663,0.192468694096601,-0.05,0.188181818181818,0.19093023255814,0.17,-0.17,0.0214304886573794,0.15,0.213809523809524,0.1,-0.160952380952381,-0.160952380952381,-0.14774483378257,-0.0180555555555556,-0.1,-0.0125,0.0943932411674347,-0.0287157287157287,0.0458333333333333,0,0.231211006239002,0.275,0,0.295,0.162222222222222
"SOSGRB2",0.187106227106227,0.164212508884151,0.483998283998284,0.508240708240708,0.132405797101449,0,0.2,0.210250626566416,0.249606247511247,0.484722222222222,0.0280701754385965,0.309090909090909,0.309090909090909,0.233333333333333,0.216666666666667,0.230492424242424,0.197747747747748,0.202842318971351,0.216129032258065,0.204724491933794,0.186499722495522,0.195964912280702,0.0769230769230769,0.0286828546728888,0,0,-0.162523540489642,0.0893171042131146,0.0191517491517491,0.114878646445693,0.100538302277433,-0.0428571428571429,0.0841614906832298,0.0805383022774327,0.0595238095238095,-0.0559006211180124,-0.245124189755062,0.0428571428571429,0.0748556105610561,0,0.162523540489642,0.162523540489642,0.167651745617847,-0.0818876159301691,-0.1,-0.1,-0.267381834310306,-0.0181453634085213,-0.0114035087719298,-0.0333333333333333,-0.313316261203585,-0.40952380952381,0,-0.465079365079365,-0.37437865497076
"GLI",0.199868958548332,0.0874842453359955,0.0727489177489178,0.0799312381909067,0.169150081195922,-0.0333333333333333,-0.238095238095238,0.26768424645844,-0.00571731911966242,-0.0838769490096924,-0.0921112304570951,-0.0381808134394341,-0.0506808134394341,-0.250595238095238,-0.255858395989975,-0.137005453516489,-0.259940028643036,-0.132425394962708,-0.130803773341087,-0.265289822881719,0.178337019018134,0.256030888030888,-0.173572977662112,0.175750126270673,-0.19,-0.15,0.0603526168053549,-0.0212659394550154,0.23713951367768,0.256773878776298,0.24930227088628,-0.21258064516129,0.20851306068069,0.240860712444722,0.297874762808349,-0.229653815892998,-0.271070260232525,0.28258064516129,0.273976449275362,0.26,-0.0603526168053549,-0.0603526168053549,-0.0601545970033747,0.179925918838583,0.161666666666667,0.175459770114943,-0.295110696001107,0.093663082437276,0.0889862304570951,0.0941520467836257,0.0305617658203865,-0.0657142857142857,0.0888888888888889,-0.0740476190476191,-0.0998120515697477
"RAF",0.23219864426761,0.203344349456932,0.377241379310345,0.400645634629494,0.135311942959002,0.1,0.1,0.26848493543759,0.158753739186676,0.385269841269841,0.142857142857143,0.111111111111111,0.111111111111111,0.133333333333333,0.113333333333333,0.105962059620596,0.0693333333333333,0.0796535077127738,0.0885643988018827,0.0709726775956284,0.209809383245101,0.24648493543759,0.0952380952380952,0.0460474307605238,0,0,0.11461038961039,0.08406219035962,0.0517838847250612,0.174432304002412,0.153821616979512,-0.0666666666666667,0.127435897435897,0.123751686909582,0.0966666666666667,-0.0929824561403509,-0.426208741336256,0.0666666666666667,0.114978902953587,0,-0.11461038961039,-0.11461038961039,-0.117174492174492,-0.0961726746773476,-0.1,-0.133333333333333,-0.474940898345154,0.0141080822572932,-0.10952380952381,-0.142857142857143,-0.114957264957265,-0.31,-0.1,-0.36,-0.424299719887955
"MEK",0.258324770393736,0.219369990482573,0.400645634629494,0.313978967962827,0.16351707116413,0.1,0.133333333333333,0.284357951310606,0.172688165416185,0.378603174603175,0.10952380952381,0.114957264957265,0.111111111111111,0.113333333333333,0.0693333333333333,0.0986893323478689,0.0709726775956284,0.0674763859415561,0.0796535077127738,0.0546328083145827,0.226218051975751,0.26805356288857,0.0961726746773476,0.0562477950592488,-0.0666666666666667,0,0.117174492174492,0.0816291003352891,0.0673936408226222,0.192647917385312,0.174432304002412,-0.0929824561403509,0.157505827505827,0.153821616979512,0.127435897435897,-0.123751686909582,-0.446920038407385,0.0966666666666667,0.145609533584217,0.0666666666666667,-0.117174492174492,-0.117174492174492,-0.112412587412587,-0.0917931126335519,-0.133333333333333,-0.0952380952380952,-0.497791021195277,0.00537792352713443,-0.127170868347339,-0.142857142857143,-0.125906170066754,-0.36,-0.142857142857143,-0.377241379310345,-0.447983930414271
"Jagged",0.234285714285714,0.108333333333333,0.22,0.253333333333333,0.211,0,0,0.293236714975845,0.0442424242424242,0.16,-0.0333333333333333,0.12,0.1,0,-0.0333333333333333,1.11022302462516e-17,-0.108333333333333,-0.0952380952380952,-0.1,-0.131410256410256,0.190909090909091,0.288888888888889,-0.0555555555555556,0.219263157894737,0,0,-0.1,-0.0207893413775767,0.272255350283519,0.288971028971029,0.259300699300699,-0.1,0.213846153846154,0.213846153846154,0.16,-0.16,-0.261266409266409,0.1,0.231428571428571,0,0.1,0.1,0.109090909090909,0.0675555555555556,0,0,-0.200383141762452,0.0980676328502415,0.111111111111111,0,-0.134285714285714,-0.1,0,-0.2,-0.123076923076923
