"","LIV1","TrCP","STAT","EGR1","DSH","SUFU","SRC","Frizzled","Csn","cfos","Wnt","RAF","PI3K","PAK1","NFB","FUS","ERK","DELTA","Csl","cMet","SOSGRB2","SMO","RAS","NOTCHic","MEK","IKK","GLI","CDC42","CD44","AXIN2","TWIST1","TGFR","TCFLEF","SNAI2","RKIP","Patched","NOTCH","GSK3","Destcompl","AKT","TGF","SNAI1","SHH","Jagged","ILK","HEY1","FOXC2","cateninnuc","cateninmemb","ZEB2","ZEB1","SMAD","miR200","KLF4","Ecadherin"
"SMO",0.1,0,0.2,0.2,0.3,0.3,0.3,0.4,0.1,0.3,0.5,0.5,0.5,0.4,0.2,0.4,0.4,0.5,0.3,0.4,0.5,0.4,0.6,0.4,0.5,0.3,0.6,0.5,0.5,0.6,0.5,0.6,0.6,0.7,0.5,0.5,0.5,0.6,0.7,0.4,0.7,0.6,0.6,0.5,0.4,0.4,0.6,0.7,0.6,0.6,0.6,0.5,0.6,0.5,0.6
"RKIP",0,0.2,0.1,0.4,0.1,0.1,0.2,0.2,0.2,0.5,0.3,0.5,0.5,0.3,0.3,0.2,0.6,0.5,0.3,0.3,0.6,0.3,0.6,0.4,0.7,0.4,0.4,0.4,0.4,0.4,0.6,0.5,0.5,0.8,0.7,0.4,0.5,0.7,0.7,0.5,0.6,0.7,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.7
"RAS",0,0.2,0.1,0.4,0.1,0.1,0.2,0.2,0.3,0.5,0.3,0.7,0.7,0.3,0.4,0.2,0.6,0.7,0.4,0.3,0.5,0.3,0.7,0.5,0.7,0.5,0.4,0.4,0.4,0.4,0.6,0.5,0.5,0.7,0.7,0.4,0.6,0.8,0.7,0.6,0.6,0.7,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.5,0.6
"RAF",0,0.2,0.1,0.4,0.1,0.1,0.2,0.2,0.2,0.5,0.3,0.5,0.5,0.3,0.3,0.2,0.6,0.5,0.3,0.3,0.6,0.3,0.6,0.4,0.7,0.4,0.4,0.4,0.4,0.4,0.6,0.5,0.5,0.8,0.7,0.4,0.5,0.7,0.7,0.5,0.6,0.7,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.7
"Jagged",0,0,0,0.1,0,0,0.1,0.1,0,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.3,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.4,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.4,0.3,0.4,0.3,0.4,0.3,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.6,0.5,0.6
"IKK",0.1,0.2,0.2,0.1,0.2,0.1,0.3,0.3,0.3,0.2,0.4,0.5,0.5,0.4,0.4,0.2,0.3,0.5,0.3,0.4,0.5,0.3,0.6,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.7,0.6,0.6,0.8,0.5,0.4,0.5,0.7,0.7,0.5,0.7,0.6,0.5,0.5,0.5,0.5,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.5,0.8
"Ecadherin",0.4,0.2,0.5,0.3,0.5,0.3,0.6,0.6,0.3,0.4,0.7,0.7,0.7,0.4,0.4,0.4,0.5,0.7,0.5,0.7,0.6,0.5,0.8,0.6,0.6,0.5,0.8,0.5,0.8,0.8,0.8,0.6,0.9,0.9,0.6,0.6,0.7,0.8,0.9,0.6,0.7,0.7,0.7,0.8,0.4,0.4,0.7,1,1,0.6,0.6,0.5,0.6,0.5,0.9
"DELTA",0,0,0,0.1,0,0,0.1,0.1,0,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.3,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.4,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.4,0.3,0.4,0.3,0.4,0.3,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.6,0.5,0.6
"cMet",0.1,0.2,0.2,0.5,0.1,0.1,0.3,0.2,0.3,0.6,0.3,0.6,0.6,0.3,0.4,0.2,0.7,0.6,0.4,0.3,0.7,0.3,0.7,0.5,0.8,0.5,0.4,0.4,0.4,0.4,0.6,0.5,0.5,0.7,0.7,0.4,0.6,0.7,0.6,0.6,0.6,0.7,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7
"cateninmemb",0.4,0.2,0.5,0.3,0.5,0.3,0.6,0.6,0.3,0.4,0.7,0.7,0.7,0.4,0.4,0.4,0.5,0.7,0.5,0.7,0.6,0.5,0.8,0.6,0.6,0.5,0.8,0.5,0.8,0.8,0.8,0.6,0.9,0.9,0.6,0.6,0.7,0.8,0.9,0.6,0.7,0.7,0.7,0.8,0.4,0.4,0.7,1,0.9,0.6,0.6,0.5,0.6,0.5,0.9
"TGF",0,0.2,0.1,0.4,0.1,0.2,0.2,0.2,0.3,0.5,0.3,0.5,0.5,0.5,0.4,0.3,0.6,0.5,0.4,0.3,0.7,0.4,0.6,0.5,0.7,0.5,0.4,0.6,0.4,0.4,0.6,0.7,0.5,0.6,0.6,0.5,0.6,0.6,0.5,0.6,0.7,0.7,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.7,0.7,0.7,0.7,0.6,0.7
"SRC",0.2,0.1,0.3,0.4,0.2,0.1,0.3,0.3,0.2,0.5,0.4,0.6,0.6,0.4,0.3,0.2,0.6,0.6,0.3,0.4,0.6,0.3,0.7,0.4,0.7,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.4,0.5,0.7,0.6,0.5,0.7,0.7,0.5,0.5,0.5,0.5,0.7,0.7,0.7,0.7,0.7,0.6,0.7,0.7,0.8
"PI3K",0.1,0.2,0.2,0.2,0.2,0.1,0.3,0.3,0.3,0.3,0.4,0.6,0.6,0.4,0.4,0.2,0.4,0.6,0.3,0.4,0.5,0.3,0.7,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.4,0.5,0.8,0.8,0.6,0.7,0.7,0.5,0.5,0.5,0.5,0.7,0.7,0.6,0.7,0.7,0.6,0.7,0.6,0.7
"NOTCH",0,0,0.1,0.2,0.1,0.1,0.2,0.2,0.1,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.4,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.5,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.5,0.4,0.4,0.4,0.5,0.4,0.6,0.6,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.6,0.7,0.6,0.7
"NFB",0.2,0.3,0.3,0.2,0.3,0.2,0.4,0.4,0.4,0.3,0.5,0.6,0.6,0.5,0.4,0.3,0.4,0.6,0.4,0.5,0.6,0.4,0.7,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.8,0.7,0.7,0.9,0.6,0.5,0.6,0.8,0.8,0.6,0.8,0.7,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.6,0.9
"MEK",0.1,0.2,0.2,0.5,0.2,0.2,0.3,0.3,0.3,0.6,0.4,0.6,0.6,0.4,0.4,0.3,0.7,0.6,0.4,0.4,0.7,0.4,0.7,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.7,0.6,0.6,0.9,0.8,0.5,0.6,0.8,0.8,0.6,0.7,0.8,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.8
"ILK",0.1,0.2,0.2,0.2,0.2,0.1,0.3,0.3,0.3,0.3,0.4,0.6,0.6,0.4,0.4,0.2,0.4,0.6,0.3,0.4,0.5,0.3,0.7,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.4,0.5,0.8,0.8,0.6,0.7,0.7,0.5,0.5,0.5,0.5,0.7,0.7,0.6,0.7,0.7,0.6,0.7,0.6,0.7
"FUS",0.2,0.1,0.3,0.3,0.4,0.4,0.4,0.5,0.2,0.4,0.6,0.6,0.6,0.5,0.3,0.4,0.5,0.6,0.4,0.5,0.6,0.5,0.7,0.5,0.6,0.4,0.7,0.6,0.6,0.7,0.6,0.7,0.7,0.8,0.6,0.6,0.6,0.7,0.8,0.5,0.8,0.7,0.7,0.6,0.5,0.5,0.7,0.8,0.7,0.7,0.7,0.6,0.7,0.6,0.7
"Frizzled",0.1,0.1,0.2,0.2,0.3,0.1,0.3,0.3,0.2,0.3,0.4,0.6,0.6,0.4,0.3,0.2,0.4,0.6,0.3,0.4,0.5,0.3,0.7,0.4,0.5,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.4,0.5,0.8,0.8,0.5,0.7,0.7,0.5,0.5,0.5,0.5,0.7,0.7,0.6,0.7,0.7,0.6,0.7,0.6,0.7
"cateninnuc",0.4,0.3,0.5,0.4,0.5,0.3,0.6,0.6,0.4,0.5,0.7,0.8,0.8,0.5,0.5,0.4,0.6,0.8,0.6,0.7,0.7,0.5,0.9,0.7,0.7,0.6,0.8,0.6,0.8,0.9,0.8,0.7,0.9,1,0.7,0.6,0.8,0.9,1,0.7,0.8,0.8,0.7,0.8,0.5,0.5,0.8,0.9,0.9,0.7,0.7,0.6,0.7,0.6,0.9
"AXIN2",0.3,0.2,0.4,0.3,0.4,0.2,0.5,0.5,0.3,0.4,0.6,0.7,0.7,0.4,0.4,0.3,0.5,0.7,0.4,0.6,0.5,0.4,0.8,0.5,0.6,0.5,0.7,0.5,0.7,1,0.7,0.6,0.8,0.8,0.7,0.5,0.6,0.9,1,0.6,0.7,0.8,0.6,0.7,0.5,0.5,0.7,0.9,0.8,0.7,0.7,0.6,0.7,0.6,0.7
"TGFR",0.1,0.3,0.2,0.5,0.2,0.3,0.3,0.3,0.4,0.6,0.4,0.6,0.6,0.6,0.5,0.4,0.7,0.6,0.5,0.4,0.8,0.5,0.7,0.6,0.8,0.6,0.5,0.7,0.5,0.5,0.7,0.7,0.6,0.7,0.7,0.6,0.7,0.7,0.6,0.7,0.8,0.8,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.8,0.8,0.8,0.8,0.7,0.8
"TCFLEF",0.3,0.2,0.4,0.5,0.4,0.3,0.5,0.5,0.3,0.6,0.6,0.7,0.7,0.6,0.4,0.4,0.7,0.7,0.5,0.6,0.8,0.5,0.8,0.6,0.8,0.5,0.7,0.7,0.7,1,0.8,0.8,0.7,0.9,0.7,0.6,0.7,0.8,0.9,0.6,0.9,0.8,0.7,0.7,0.6,0.6,0.9,0.8,0.8,0.8,0.8,0.7,0.8,0.7,0.9
"SUFU",0.3,0.2,0.4,0.4,0.5,0.4,0.5,0.6,0.3,0.5,0.7,0.7,0.7,0.6,0.4,0.5,0.6,0.7,0.5,0.6,0.7,0.6,0.8,0.6,0.7,0.5,0.8,0.7,0.7,0.8,0.7,0.8,0.8,0.9,0.7,0.7,0.7,0.8,0.9,0.6,0.9,0.8,0.8,0.7,0.6,0.6,0.8,0.9,0.8,0.8,0.8,0.7,0.8,0.7,0.8
"STAT",0.3,0.1,0.3,0.3,0.3,0.2,0.4,0.4,0.2,0.4,0.5,0.5,0.5,0.4,0.3,0.3,0.5,0.5,0.3,0.5,0.6,0.4,0.6,0.4,0.6,0.4,0.6,0.5,0.6,0.6,0.7,0.6,0.7,0.7,0.6,0.5,0.5,0.6,0.7,0.5,0.7,0.7,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.7,0.8,0.8,0.9
"NOTCHic",0.1,0.1,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.5,0.4,0.4,0.4,0.5,0.4,0.5,0.4,0.6,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.6,0.5,0.5,0.5,0.6,0.5,0.7,0.7,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.7,0.8,0.7,0.8
"ERK",0.2,0.3,0.3,0.6,0.3,0.3,0.4,0.4,0.4,0.7,0.5,0.7,0.7,0.5,0.5,0.4,0.7,0.7,0.5,0.5,0.8,0.5,0.8,0.6,0.8,0.6,0.6,0.6,0.6,0.6,0.8,0.7,0.7,1,0.9,0.6,0.7,0.9,0.9,0.7,0.8,0.9,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.9
"DSH",0.2,0.2,0.3,0.3,0.3,0.2,0.4,0.4,0.3,0.4,0.5,0.7,0.7,0.5,0.4,0.3,0.5,0.7,0.4,0.5,0.6,0.4,0.8,0.5,0.6,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.5,0.6,0.9,0.9,0.6,0.8,0.8,0.6,0.6,0.6,0.6,0.8,0.8,0.7,0.8,0.8,0.7,0.8,0.7,0.8
"Destcompl",0.4,0.3,0.5,0.4,0.5,0.3,0.6,0.6,0.4,0.5,0.7,0.8,0.8,0.5,0.5,0.4,0.6,0.8,0.5,0.7,0.6,0.5,0.9,0.6,0.7,0.6,0.8,0.6,0.8,0.8,0.8,0.7,0.9,0.9,0.8,0.6,0.7,1,1,0.7,0.8,0.9,0.7,0.8,0.6,0.6,0.8,1,0.9,0.8,0.8,0.7,0.8,0.7,0.8
"Csn",0.2,0.3,0.3,0.3,0.3,0.2,0.4,0.4,0.3,0.4,0.5,0.7,0.7,0.5,0.4,0.3,0.5,0.7,0.4,0.5,0.6,0.4,0.8,0.5,0.6,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.5,0.6,0.9,0.9,0.6,0.8,0.8,0.6,0.6,0.6,0.6,0.8,0.8,0.7,0.8,0.8,0.7,0.8,0.7,0.8
"cfos",0.1,0.1,0.2,0.4,0.2,0.2,0.3,0.3,0.2,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.5,0.4,0.3,0.4,0.5,0.4,0.5,0.4,0.6,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.6,0.5,0.5,0.5,0.6,0.5,0.7,0.7,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.7,0.8,0.7,0.8
"CDC42",0.1,0.1,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.4,0.4,0.4,0.4,0.5,0.3,0.3,0.5,0.4,0.3,0.4,0.5,0.4,0.5,0.4,0.6,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.6,0.5,0.5,0.5,0.6,0.5,0.7,0.7,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.7,0.8,0.7,0.8
"AKT",0.2,0.3,0.3,0.3,0.3,0.2,0.4,0.4,0.4,0.4,0.5,0.7,0.7,0.5,0.5,0.3,0.5,0.7,0.4,0.5,0.6,0.4,0.8,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.5,0.6,0.9,0.9,0.6,0.8,0.8,0.6,0.6,0.6,0.6,0.8,0.8,0.7,0.8,0.8,0.7,0.8,0.7,0.8
"ZEB2",0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9
"ZEB1",0.3,0.3,0.4,0.3,0.4,0.4,0.5,0.5,0.4,0.4,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.7,0.6,0.7,0.7,0.8,0.7,0.8,0.8,0.7,0.7,0.7,0.7,0.8,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.9
"TrCP",0.2,0.2,0.3,0.4,0.3,0.3,0.4,0.4,0.3,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.6,0.5,0.4,0.5,0.6,0.5,0.6,0.5,0.7,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.7,0.6,0.6,0.6,0.7,0.6,0.8,0.8,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,0.8,0.9,0.8,0.9
"SMAD",0.2,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.6,0.6,0.7,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.8,0.9,0.8,0.9
"PAK1",0.2,0.2,0.3,0.4,0.3,0.3,0.4,0.4,0.3,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.6,0.5,0.4,0.5,0.6,0.5,0.6,0.5,0.7,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.7,0.6,0.6,0.6,0.7,0.6,0.8,0.8,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,0.8,0.9,0.8,0.9
"miR200",0.2,0.2,0.3,0.2,0.3,0.3,0.4,0.4,0.3,0.3,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.6,0.5,0.6,0.6,0.7,0.6,0.7,0.7,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.8,0.8,0.8,0.9
"LIV1",0.2,0.2,0.3,0.4,0.3,0.3,0.4,0.4,0.3,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.6,0.5,0.4,0.5,0.6,0.5,0.6,0.5,0.7,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.7,0.6,0.6,0.6,0.7,0.6,0.8,0.8,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,0.8,0.9,0.8,0.9
"GSK3",0.3,0.3,0.4,0.4,0.4,0.3,0.5,0.5,0.4,0.5,0.6,0.8,0.8,0.6,0.5,0.4,0.6,0.8,0.5,0.6,0.7,0.5,0.9,0.6,0.7,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.6,0.7,0.9,1,0.7,0.9,0.9,0.7,0.7,0.7,0.7,0.9,0.9,0.8,0.9,0.9,0.8,0.9,0.8,0.9
"GLI",0.2,0.2,0.3,0.5,0.4,0.4,0.4,0.5,0.3,0.6,0.6,0.6,0.6,0.6,0.4,0.5,0.7,0.6,0.4,0.5,0.8,0.6,0.7,0.5,0.8,0.5,0.6,0.7,0.6,0.6,0.7,0.8,0.7,0.8,0.7,0.7,0.6,0.7,0.7,0.6,0.9,0.8,0.8,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,0.8,0.9,0.8,0.9
"EGR1",0.2,0.2,0.3,0.4,0.3,0.3,0.4,0.4,0.3,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.6,0.5,0.4,0.5,0.6,0.5,0.6,0.5,0.7,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.7,0.6,0.6,0.6,0.7,0.6,0.8,0.8,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,0.8,0.9,0.8,0.9
"Csl",0.2,0.2,0.3,0.4,0.3,0.3,0.4,0.4,0.3,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.6,0.5,0.4,0.5,0.6,0.5,0.6,0.5,0.7,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.7,0.6,0.6,0.6,0.7,0.6,0.8,0.8,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.8,0.9,0.8,0.9
"SNAI1",0.3,0.3,0.4,0.5,0.4,0.4,0.5,0.5,0.4,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.7,0.6,0.5,0.6,0.7,0.6,0.7,0.6,0.8,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.8,0.7,0.7,0.7,0.8,0.7,0.9,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,1,1,0.9,1,0.9,1
