"","SUFU","Csn","SHH","RAF","DELTA","RAS","Destcompl","TGFR","AKT","CDC42","TWIST1","miR200","TGF","KLF4","PAK1","NFB","cateninnuc","CD44","TCFLEF","AXIN2","Ecadherin","cateninmemb","ZEB2","ZEB1","SNAI2","GSK3","RKIP","Csl","NOTCH","NOTCHic","EGR1","SNAI1","Jagged","MEK","SOSGRB2","ERK","cfos","STAT","SRC","cMet","Frizzled","DSH","IKK","SMAD","Wnt","GLI","SMO","ILK","HEY1","PI3K","TrCP","LIV1","Patched","FUS","FOXC2"
"Csl",0.175,0.166666666666667,0.218228398572572,0.0559603315225504,0.0559603315225504,0.0611073903460798,-0.0517543243641246,-0.103377394242404,0.201291989664083,-0.104014336917563,0.156972744967675,-0.147875660803236,-0.101336577915873,0.300493443754313,-0.0911111111111111,0.188888888888889,-0.0287391253219117,-0.0341762998905856,-0.0300541624860055,-0.016636659837659,-0.0673961199859085,-0.0245311155897966,-0.296411330860046,-0.296411330860046,-0.16963421230016,-0.114053115818459,-0.191842495605675,-0.16184331797235,-0.17227393998192,-0.175001212709192,-0.253333333333333,-0.261359759403238,-0.194760925241058,-0.238581780538302,-0.160237289454234,-0.246190476190476,-0.246190476190476,0.0276923076923077,0.0307226107226107,0.0362171162171162,0.0307226107226107,0.0276923076923077,-0.209819121447028,-0.262245061093982,0.0339484171742236,0.0307226107226107,-0.227488687782805,-0.257800616649538,-0.166230135309419,-0.0559603315225504,-0.2,0.02,-0.224262881331193,-0.198076923076923,-0.354508940394845
"CDC42",0.2,0.2,0.208058826876031,0.0553376906318083,0.0553376906318083,0.0602157394122961,-0.223571532565854,-0.128851540616247,0.215789473684211,-0.119047619047619,0.127134199134199,-0.136936592818946,-0.12279093455564,0.279269841269841,-0.0428571428571429,0.175,-0.131844517785112,-0.138888888888889,-0.135918591859186,-0.110295566502463,-0.171354285343267,-0.105604570976576,-0.27528921172989,-0.27528921172989,-0.258102821752457,-0.242895021645022,-0.155337995337995,-0.2,-0.22,-0.215384615384615,-0.22,-0.224559153926243,-0.235763888888889,-0.249786293294031,-0.156944444444444,-0.258260869565217,-0.28,0.15,0.15,0.138888888888889,0.15,0.15,-0.2,-0.243898276156341,0.138888888888889,0.13625730994152,-0.173809523809524,-0.261640211640212,-0.273188405797101,-0.0553376906318083,-0.1,0.1,-0.209293394777266,-0.157142857142857,-0.32303887408622
"TrCP",0.157142857142857,0.175,0.198058826876031,0.0602157394122961,0.0602157394122961,0.0674884666850234,-0.2255264197839,-0.12279093455564,0.199122807017544,-0.128851540616247,0.124416807829851,-0.13338329332656,-0.117872901768755,0.279269841269841,-0.119047619047619,0.2,-0.130879000543733,-0.135918591859186,-0.131844517785112,-0.107779843232023,-0.172115531018008,-0.107436072808078,-0.270466060604488,-0.270466060604488,-0.255752008009238,-0.247258658008658,-0.150365619647388,-0.215384615384615,-0.21010989010989,-0.22,-0.28,-0.211909989248438,-0.227174931833674,-0.236452959960698,-0.159914741474147,-0.249786293294031,-0.258260869565217,0.15,0.138888888888889,0.138888888888889,0.138888888888889,0.15,-0.215789473684211,-0.245833760027308,0.13625730994152,0.131867066039081,-0.209293394777266,-0.243898276156341,-0.257011935208866,-0.0602157394122961,-0.2,0.15,-0.208058826876031,-0.173809523809524,-0.318900943051737
"PAK1",0.157142857142857,0.175,0.198058826876031,0.0602157394122961,0.0602157394122961,0.0674884666850234,-0.2255264197839,-0.12279093455564,0.199122807017544,-0.128851540616247,0.124416807829851,-0.13338329332656,-0.117872901768755,0.279269841269841,-0.119047619047619,0.2,-0.130879000543733,-0.135918591859186,-0.131844517785112,-0.107779843232023,-0.172115531018008,-0.107436072808078,-0.270466060604488,-0.270466060604488,-0.255752008009238,-0.247258658008658,-0.150365619647388,-0.215384615384615,-0.21010989010989,-0.22,-0.28,-0.211909989248438,-0.227174931833674,-0.236452959960698,-0.159914741474147,-0.249786293294031,-0.258260869565217,0.15,0.138888888888889,0.138888888888889,0.138888888888889,0.15,-0.215789473684211,-0.245833760027308,0.13625730994152,0.131867066039081,-0.209293394777266,-0.243898276156341,-0.257011935208866,-0.0602157394122961,-0.2,0.15,-0.208058826876031,-0.173809523809524,-0.318900943051737
"IKK",0.1,0.1,0.198722860791826,-0.147610405323654,-0.147610405323654,-0.134934348985626,0.024712533836444,-0.235858585858586,0.32998712998713,-0.222222222222222,-0.115326797385621,-0.133835005574136,-0.222258585858586,0.274725274725275,-0.2,0.171428571428571,-0.180059687862734,-0.186410256410256,-0.181325510647545,-0.131428571428571,-0.225466254890124,-0.092614564206743,-0.256431077694236,-0.256431077694236,0.112820903094876,0.0915750915750916,-0.156739526411658,-0.263636363636364,-0.314430014430014,-0.316017316017316,-0.1,-0.202014418999152,-0.244278350515464,-0.182095238095238,-0.256932773109244,-0.175428571428571,-0.171428571428571,0.15,0.183333333333333,0.191025641025641,0.183333333333333,0.15,-0.338095238095238,-0.333319581958196,0.191025641025641,0.186410256410256,-0.2,-0.326388888888889,-0.335913312693498,0.147610405323654,0,0.1,-0.181481481481481,-0.16,-0.133304473304473
"Ecadherin",0.166666666666667,-0.04,0.183939230378461,-0.0107164404223228,-0.0107164404223228,-0.0073644851150602,0.240587099149607,0.0263858093126386,0.0357575757575758,0.0327272727272727,0.206335998831562,-0.160029490476418,0.0305449413198719,0.206422878574777,0.0447272727272727,-0.00666666666666667,0.0755585376231989,0.0756205134305414,0.0764922444392587,0.0501743317581011,-0.0356546470201194,0.0130817026243855,-0.24555852273561,-0.24555852273561,0.118968310730391,0.240154604361414,-0.225217897850322,0.0847846889952153,0.0618513352221727,0.0651970601292359,-0.00545454545454545,-0.234490932974569,0.0460740921405326,-0.0369847657901024,-0.0731756492431766,-0.0303180991234357,-0.0231016042780749,-0.0705882352941176,-0.0682626538987688,-0.0726104799857253,-0.0682626538987688,-0.0705882352941176,-0.0266666666666667,-0.139001298382286,-0.0734350676918722,-0.0767684010252056,-0.16875,-0.132463768115942,-0.0972940048502623,0.0107164404223228,0.1,-0.1,-0.178427419354839,-0.15,-0.261420215818017
"cateninmemb",0.166666666666667,-0.04,0.183939230378461,-0.0107164404223228,-0.0107164404223228,-0.0073644851150602,0.240587099149607,0.0263858093126386,0.0357575757575758,0.0327272727272727,0.206335998831562,-0.160029490476418,0.0305449413198719,0.206422878574777,0.0447272727272727,-0.00666666666666667,0.0755585376231989,0.0756205134305414,0.0764922444392587,0.0501743317581011,0.00649077915616059,-0.0722291953027694,-0.24555852273561,-0.24555852273561,0.118968310730391,0.240154604361414,-0.225217897850322,0.0847846889952153,0.0618513352221727,0.0651970601292359,-0.00545454545454545,-0.234490932974569,0.0460740921405326,-0.0369847657901024,-0.0731756492431766,-0.0303180991234357,-0.0231016042780749,-0.0705882352941176,-0.0682626538987688,-0.0726104799857253,-0.0682626538987688,-0.0705882352941176,-0.0266666666666667,-0.139001298382286,-0.0734350676918722,-0.0767684010252056,-0.16875,-0.132463768115942,-0.0972940048502623,0.0107164404223228,0.1,-0.1,-0.178427419354839,-0.15,-0.261420215818017
"KLF4",0.2,-0.1,0.178427419354839,-0.0151282051282051,-0.0151282051282051,-0.0107164404223228,0.240680295794528,0.0327272727272727,0.0266666666666667,0.0447272727272727,0.204287581699346,-0.16021571021571,0.0263858093126386,0.196296296296296,0.0727272727272727,-0.04,0.0764922444392587,0.0726104799857253,0.0756205134305414,0.0491434039230495,0.0657085467481376,0.0147483692910522,-0.243188854489164,-0.243188854489164,0.118306059074762,0.243245112087683,-0.227839620696764,0.116363636363636,0.0651970601292359,0.0847846889952153,0.04,-0.235440300063176,0.0458452591885875,-0.0303180991234357,-0.0639651229273871,-0.0231016042780749,-0.00545454545454545,-0.1,-0.0705882352941176,-0.0682626538987688,-0.0705882352941176,-0.1,0.00666666666666667,-0.132463768115942,-0.0682626538987688,-0.0734350676918722,-0.15,-0.126666666666667,-0.0872268907563025,0.0151282051282051,0.1,-0.166666666666667,-0.16875,-0.166666666666667,-0.257987721538841
"HEY1",0.2,-0.1,0.178427419354839,-0.0151282051282051,-0.0151282051282051,-0.0107164404223228,0.240680295794528,0.0327272727272727,0.0266666666666667,0.0447272727272727,0.204287581699346,-0.16021571021571,0.0263858093126386,0.196296296296296,0.0727272727272727,-0.04,0.0764922444392587,0.0726104799857253,0.0756205134305414,0.0491434039230495,0.0657085467481376,0.0147483692910522,-0.243188854489164,-0.243188854489164,0.118306059074762,0.243245112087683,-0.227839620696764,0.116363636363636,0.0651970601292359,0.0847846889952153,0.04,-0.235440300063176,0.0458452591885875,-0.0303180991234357,-0.0639651229273871,-0.0231016042780749,-0.00545454545454545,-0.1,-0.0705882352941176,-0.0682626538987688,-0.0705882352941176,-0.1,0.00666666666666667,-0.132463768115942,-0.0682626538987688,-0.0734350676918722,-0.15,-0.126666666666667,-0.0872268907563025,0.0151282051282051,0.1,-0.166666666666667,-0.16875,-0.166666666666667,-0.257987721538841
"FOXC2",0.2,-0.1,0.178427419354839,-0.0151282051282051,-0.0151282051282051,-0.0107164404223228,0.240680295794528,0.0327272727272727,0.0266666666666667,0.0447272727272727,0.204287581699346,-0.16021571021571,0.0263858093126386,0.196296296296296,0.0727272727272727,-0.04,0.0764922444392587,0.0726104799857253,0.0756205134305414,0.0491434039230495,0.0657085467481376,0.0147483692910522,-0.243188854489164,-0.243188854489164,0.118306059074762,0.243245112087683,-0.227839620696764,0.116363636363636,0.0651970601292359,0.0847846889952153,0.04,-0.235440300063176,0.0458452591885875,-0.0303180991234357,-0.0639651229273871,-0.0231016042780749,-0.00545454545454545,-0.1,-0.0705882352941176,-0.0682626538987688,-0.0705882352941176,-0.1,0.00666666666666667,-0.132463768115942,-0.0682626538987688,-0.0734350676918722,-0.15,-0.126666666666667,-0.0872268907563025,0.0151282051282051,0.1,-0.166666666666667,-0.16875,-0.166666666666667,-0.257987721538841
"Destcompl",-0.0111111111111111,0.309523809523809,0.00759691759984469,-0.251066917111952,-0.251066917111952,-0.249968016013051,0.169334068263482,-0.170972628615875,0.315655298468254,-0.171498944405348,0.0249101258582018,-0.148873080194678,-0.172056372458239,0.249830850676054,-0.176326530612245,0.313871635610766,-0.196417815859243,-0.197351711760831,-0.1974886980622,-0.0991500579592533,0.0270322412035043,0.209483697282825,-0.242008098027987,-0.242008098027987,-0.233950337487199,0.234394156168569,-0.196210647609201,-0.264441833137485,-0.268134000080066,-0.265528789659224,-0.235384615384615,-0.238043347779885,-0.278100889971065,-0.241397430818473,-0.0876950024768977,-0.243929076388093,-0.244475524475524,0.188888888888889,0.192998477929985,0.19548604011904,0.192998477929985,0.188888888888889,-0.312970734709865,-0.224624060150376,0.195968774959688,0.197638533772304,-0.00209085933223864,-0.228015873015873,-0.24609766302074,0.251066917111952,-0.266666666666667,0.188888888888889,-0.00779034119752361,0.00076628352490422,-0.165822227985497
"cateninnuc",-0.0111111111111111,0.125,0.0419234049840733,-0.111491436491436,-0.111491436491436,-0.109471234471234,0.187265403031446,-0.0681606669192876,0.147302083333333,-0.0785054945054945,0.054405906843149,-0.114169228989281,-0.0677239856965802,0.161182589652341,-0.0754285714285714,0.158333333333333,-0.186523653353753,-0.0835958727263075,-0.0856123028980775,-0.0512380247304706,-0.0948314989149238,-0.0462826851705168,-0.200012027661542,-0.200012027661542,0.0596382681870925,0.188550178752184,-0.183912216815443,-0.0303829252981795,-0.0195689718098074,-0.0245689718098074,-0.0376811594202899,-0.189056576786739,-0.125880598481279,-0.0405517033720091,-0.0359221112964266,-0.0455975749316421,-0.0392684610075914,0.0937062937062937,0.0853729603729604,0.0831990473294821,0.0841172526104033,0.0937062937062937,-0.154333333333333,-0.134976128464532,0.081943339566925,0.0827338534009171,-0.0338069216757741,-0.135112554112554,-0.111751211196937,0.111491436491436,-0.1,0.109090909090909,-0.0369125117378859,-0.0288888888888889,-0.197025488173029
"RKIP",0.1,0.2,0.188699453551913,-0.195454545454545,-0.195454545454545,-0.186052836052836,0.234176667182552,-0.124761904761905,0.27521645021645,-0.12,0.0408288770053476,-0.10494961525238,-0.108874054294615,0.179818268770923,-0.1,0.271428571428571,-0.0411449070549111,-0.04527665317139,-0.0403815482762851,-0.0249062353492733,0.0578547606726391,0.0852989123577359,-0.165818268770923,-0.165818268770923,-0.385695051582444,0.15090622537431,-0.242156862745098,-0.255555555555556,-0.275135975135975,-0.282828282828283,0.02,-0.126936334088985,-0.194158784056916,-0.0940865737344094,-0.0453968253968254,-0.083448275862069,-0.08,0,0.0333333333333333,0.0491228070175439,0.0333333333333333,0,-0.296428571428571,-0.224403165605392,0.0433333333333333,0.0394871794871795,-0.206666666666667,-0.211531878476679,-0.230120015485869,0.195454545454545,-0.2,0,-0.170666666666667,-0.166666666666667,-0.171220159151194
"RAF",0.1,0.2,0.188699453551913,-0.195454545454545,-0.195454545454545,-0.186052836052836,0.234176667182552,-0.124761904761905,0.27521645021645,-0.12,0.0408288770053476,-0.10494961525238,-0.108874054294615,0.179818268770923,-0.1,0.271428571428571,-0.0411449070549111,-0.04527665317139,-0.0403815482762851,-0.0249062353492733,0.0578547606726391,0.0852989123577359,-0.165818268770923,-0.165818268770923,-0.385695051582444,0.15090622537431,-0.242156862745098,-0.255555555555556,-0.275135975135975,-0.282828282828283,0.02,-0.126936334088985,-0.194158784056916,-0.0940865737344094,-0.0453968253968254,-0.083448275862069,-0.08,0,0.0333333333333333,0.0491228070175439,0.0333333333333333,0,-0.296428571428571,-0.224403165605392,0.0433333333333333,0.0394871794871795,-0.206666666666667,-0.211531878476679,-0.230120015485869,0.195454545454545,-0.2,0,-0.170666666666667,-0.166666666666667,-0.171220159151194
"MEK",0.166666666666667,0.271428571428571,0.19850337512054,-0.186052836052836,-0.186052836052836,-0.177481407481407,0.231457001910586,-0.108874054294615,0.288157626687038,-0.124761904761905,0.0485211846976553,-0.107735992961358,-0.116903251374907,0.166092778574845,-0.12,0.296428571428571,-0.0398437918132754,-0.0403815482762851,-0.0411449070549111,-0.0231044335474715,0.0560332670478668,0.0882257416260286,-0.16264366559632,-0.16264366559632,-0.38374857956298,0.15016912463721,-0.247420020639835,-0.282828282828283,-0.281705318201668,-0.275135975135975,-0.08,-0.123090180242831,-0.196617800450359,-0.179086573734409,-0.0453968253968254,-0.0940865737344094,-0.083448275862069,0.0333333333333333,0.0491228070175439,0.04527665317139,0.0433333333333333,0.0333333333333333,-0.27521645021645,-0.214440065974396,0.0394871794871795,0.0345920745920746,-0.170666666666667,-0.224403165605392,-0.246483651849505,0.186052836052836,-0.2,0,-0.188699453551913,-0.206666666666667,-0.168517456448491
"ERK",0.206666666666667,0.296428571428571,0.193672457246144,-0.177481407481407,-0.177481407481407,-0.177811440484708,0.231043623481424,-0.116903251374907,0.289075057879699,-0.108874054294615,0.0469955258904431,-0.106265404726064,-0.111408745880402,0.163767197179496,-0.124761904761905,0.27521645021645,-0.0386632362577198,-0.0411449070549111,-0.0398437918132754,-0.0242426449295853,0.0568228310712104,0.0866618041835263,-0.162171224651438,-0.162171224651438,-0.38311738028435,0.145718625091342,-0.242684644595267,-0.275135975135975,-0.280320276650422,-0.281705318201668,-0.083448275862069,-0.11984943950209,-0.193003342619034,-0.178250919138309,-0.0405424564647866,-0.179086573734409,-0.0940865737344094,0.0491228070175439,0.04527665317139,0.0403815482762851,0.0394871794871795,0.0433333333333333,-0.288157626687038,-0.208664989986554,0.0345920745920746,0.0343414480256586,-0.188699453551913,-0.214440065974396,-0.239316416354625,0.177481407481407,-0.271428571428571,0.0333333333333333,-0.19850337512054,-0.170666666666667,-0.170055917986952
"AXIN2",-0.05,0.166666666666667,-0.0221865429652315,-0.143878282632608,-0.143878282632608,-0.142828413866204,0.126477890030076,-0.122360564842128,0.178260869565217,-0.125015432098765,0.0112818861703243,-0.107152965702648,-0.123020630848729,0.15078614529974,-0.12625,0.179710144927536,-0.0989338884823834,-0.0983294248994643,-0.0991500579592533,-0.0995399788657978,0.0232501684207133,0.105750668153239,-0.14617981192019,-0.14617981192019,-0.144168009719038,0.112504068141368,-0.0985529166174327,-0.145263157894737,-0.145938833570413,-0.145263157894737,-0.126666666666667,-0.117357012130684,-0.139560410212584,-0.135408167810328,-0.0447388329295763,-0.136787478155155,-0.133983739837398,0.0933333333333333,0.0956589147286822,0.0973830526597167,0.0956589147286822,0.0933333333333333,-0.178260869565217,-0.148130894870025,0.0973830526597167,0.0986409142949368,0.0269230769230769,-0.149321371060502,-0.158573569222656,0.143878282632608,-0.133333333333333,0.1,0.0251373626373626,0.0269230769230769,-0.114604115634561
"CD44",-0.1,-0.2,-0.0381818181818182,0.0190476190476191,0.0190476190476191,0.00476190476190477,-0.112932445705555,-0.15,-0.18,-0.1,0.0241758241758242,-0.108313570487484,-0.133333333333333,0.0365079365079365,0,-0.3,-0.152766845557543,-0.156666666666667,-0.14968992248062,-0.12,-0.213462164802953,-0.123424908424908,-0.146031746031746,-0.146031746031746,0.0992607392607393,0.0517857142857143,-0.123703703703704,0.3,0.173684210526316,0.2,-0.1,-0.161988304093567,-0.00466200466200466,-0.15,-0.0833333333333333,-0.11,-0.05,-0.1,0,0.05,0.1,0,0.2,-0.0369614512471655,0.15,0.156666666666667,0,0.0222222222222222,0.0935672514619883,-0.0190476190476191,0.1,-0.1,0.02,0.1,-0.139583333333333
"SOSGRB2",0,0.2,0.0443641315734339,-0.0282485875706215,-0.0282485875706215,-0.0218383311603651,0.0750100384328572,-0.00417582417582417,0.196929824561404,-0.0157142857142857,0.0348405797101449,-0.0445782562627715,0.0121362325617645,0.0700877192982456,0.0142857142857143,0.233333333333333,-0.00312884630730538,-0.00848861283643892,-0.00217282336275471,-0.00418041804180418,0.0729119463842779,0.0772351312351312,-0.0500877192982456,-0.0500877192982456,-0.224417210431316,-0.0820886827057935,-0.00175438596491228,-0.227272727272727,-0.208204471584753,-0.234965034965035,-0.0238095238095238,0.0612181947405828,-0.0385818132524506,0.00212550212550213,-0.0861111111111111,-0.00999570999571,-0.0126984126984127,0,0.0142857142857143,0.0186335403726708,0.0142857142857143,0,-0.23859649122807,-0.0493044589818783,0.0142857142857143,0.0041407867494824,-0.0833333333333333,-0.043010752688172,-0.156439393939394,0.0282485875706215,-0.3,0,-0.0373873873873874,-0.0666666666666667,-0.0473992673992674
