"","KLF4","GSK3","TGFR","CDC42","ERK","cfos","Csl","TrCP","FUS","AKT","RAF","PI3K","RKIP","SMO","Destcompl","RAS","SUFU","SOSGRB2","ILK","Wnt","Frizzled","GLI","CD44","cateninnuc","DSH","cateninmemb","Ecadherin","LIV1","STAT","TCFLEF","SRC","cMet","AXIN2","SNAI2","SNAI1","SMAD","SHH","Patched","HEY1","DELTA","NFB","TWIST1","IKK","Jagged","NOTCHic","NOTCH","Csn","MEK","EGR1","FOXC2","TGF","PAK1","ZEB2","ZEB1","miR200"
"SNAI2",0.0484615384615385,-0.0751685129255369,0.023543776484953,0.0226890756302521,-0.0490196078431373,-0.0627450980392157,-0.0614035087719298,-0.1,0.02,-0.0695748511286526,-0.0661377628325363,-0.0661377628325363,0.0476923076923077,0.0141176470588235,-0.0725530592101225,-0.0665943838371025,0,0.0737322515212982,-0.00898725687458082,-0.0209694530821291,-0.0251948051948052,-0.0182956562906853,-0.0188189154477205,-0.0193993726418039,-0.0109090909090909,-0.10212765525878,-0.081047920607308,0.02,0.0109090909090909,0.0161385030765865,0.0251948051948052,0.0209694530821291,0.0352952341184733,-0.0313504205018247,-0.0482402728131805,0.0056379745779301,-0.0160147439257393,-0.0202400960384154,0.0180831826401447,0.0661377628325363,0.0666666666666667,0.000390524583983138,0.0563218390804598,0.0201107786895998,0.0631578947368421,0.0683526999316473,0.0666666666666667,0.0571277159512454,0.0333333333333333,0.0204744150136196,-0.0247860125097977,-0.0274509803921569,-0.0564891965596811,-0.0564891965596811,0.052672616151639
"cateninmemb",0.0581809657759025,-0.103276666226139,0.0481966001478197,0.0457575757575758,-0.0483631953249904,-0.0432085561497326,-0.0709090909090909,-0.1,-0.0333333333333333,-0.0857239057239057,-0.0803242835595777,-0.0803242835595777,0.0542121513229058,-0.0270833333333333,-0.0996316485494876,-0.0766929986433766,-0.0333333333333333,0.0831467605549036,-0.011768115942029,0.020257244838593,0.0133606931144551,0.0255905781719263,0.0251332683652912,0.0212416992843587,0.0156862745098039,0.12466177464295,0.126886928406375,-0.0333333333333333,-0.0156862745098039,-0.0215218113291766,-0.0133606931144551,-0.0194476496361942,0.0161385030765865,-0.0148546763158798,-0.0534026788183849,0.0120102466926343,0.0318839429345525,0.0303091397849462,0.0222669079834496,0.0803242835595777,0.0657142857142857,-0.037712686067599,0.0805291005291005,-0.0234652530194233,0.0801874414245548,0.0805591886364507,0.08,0.0479710384622453,0.0490909090909091,-0.0068426069616264,-0.0483774319742211,-0.0470909090909091,-0.0550261177057503,-0.0550261177057503,0.0424161726955023
"SHH",0.1,-0.207692307692308,0.333333333333333,0.233333333333333,0.1,0.1,-0.1,0,0,-0.15,-0.15,-0.15,0.22,0.1,-0.203376623376623,-0.126923076923077,0,0.2,-0.0666666666666667,-0.1,-0.2,-0.1,0,-0.0144444444444444,-0.2,-0.10078853046595,-0.07,0,0.1,0.02,0.1,0,-0.019047619047619,-0.0152490421455939,-0.166666666666667,0.0833333333333333,-0.106666666666667,-0.0666666666666667,0.0666666666666667,0.15,0,-0.1,0.1,0.0942857142857143,0.2,0.2,0,-0.16,0,-0.25,-0.353333333333333,-0.2,-0.05,-0.05,0.0333333333333333
"TCFLEF",0.0206391647568118,0.0676018819971519,0.0804206443415311,0.0822898032200358,0.0335191637630662,0.0306620209059233,-0.203395504543281,-0.0571428571428571,0.106666666666667,-0.0818859401468097,-0.015517297854843,-0.015517297854843,0.00843688294990127,0.101904761904762,0.114349423546925,-0.0174883885250138,0.1,0.137005988023952,-0.0302788790157211,-0.13158371040724,-0.129019607843137,-0.133447064444507,-0.138617561683599,-0.039448031328502,-0.149019607843137,0.0298488574843965,0.0292698137227514,0.166666666666667,0.154166666666667,0.0405648698164746,0.134166666666667,0.136730769230769,0.0453479853479853,-0.01112278033518,0.0183887892674504,0.0289404468933502,-0.0956807365732757,-0.0938402457757296,0.0691430202683414,0.015517297854843,0.0862337662337662,0.0607874026068961,0.0862337662337662,0.13321066830495,0.195552367288379,0.193891237720272,0.0662337662337662,-0.0335191637630662,-0.0428571428571429,0.0308670193557319,-0.0774405118912,-0.0846153846153846,-0.0207910685805423,-0.0207910685805423,0.0166404144717398
"STAT",-0.161269558328382,-0.106025812194036,-0.162858851674641,-0.160227272727273,-0.193333333333333,-0.193333333333333,0.0176470588235294,0,0.05,0.0230669895076675,-0.106084574028122,-0.106084574028122,-0.0680968468468468,0.0433333333333333,-0.0717002256060031,-0.106830842684839,0.05,0.0127257799671593,0.0689210950080515,-0.0141233766233766,-0.0232142857142857,-0.0183250572956455,-0.0183968808968809,-0.0136300524282593,0.0142857142857143,-0.0953361914019599,-0.0470539333789378,0.1,-0.0142857142857143,0.0130341048716443,0.0232142857142857,0.0141233766233766,0.030907915613798,0.0413208816389227,0.0277468582216198,-0.0643233938586262,-0.0551876243397133,-0.0596124031007752,-0.068,0.106084574028122,-0.02,0.128261518591354,-0.0247619047619048,-0.0285600368131036,-0.0041335453100159,-0.0070461666692392,0,0.196559139784946,0.233333333333333,0.161908657123381,0.157544842012805,0.172727272727273,0.0480634749865519,0.0480634749865519,-0.0289613418893843
"IKK",-0.0498168498168498,0.317783882783883,-0.302020202020202,-0.311111111111111,-0.0922857142857143,-0.0642857142857143,0.172727272727273,0,0.08,0.227799227799228,0.105263157894737,0.105263157894737,-0.0983606557377049,0.14,0.214335041274488,0.110896960711638,0.1,-0.176050420168067,0.155555555555556,0.0333333333333333,0.0333333333333333,0.0194871794871795,0.0194871794871795,0.0185145698898113,0,0.063387766795588,0.0762022391016697,-0.1,0,-0.0223120382442416,-0.0333333333333333,-0.0333333333333333,-0.0361904761904762,0.0784461455815203,0.0933064744133447,-0.158525852585259,-0.143703703703704,-0.143703703703704,-0.165531475748194,-0.105263157894737,-0.114285714285714,0.150228758169935,-0.214285714285714,-0.0831458919087785,-0.187012987012987,-0.194949494949495,-0.1,0.0678412698412698,0.05,0.2804329004329,0.294820202020202,0.3,0.0523809523809524,0.0523809523809524,-0.0307803790412486
"GLI",-0.0420514800514801,0.0993635101313544,-0.218375623509,-0.226551724137931,-0.287251082251082,-0.285952380952381,0.0591688770999116,0.0333333333333333,-0.00654761904761906,0.0626823755818117,-0.0848065839520322,-0.0848065839520322,-0.0781753698139001,0.00924185463659147,0.107658965926406,-0.078667970090646,-0.0190476190476191,-0.0501873347891047,0.103800903423046,0.126148007590133,0.129677419354839,0.0342331139731116,0.0525579912640061,0.0489947135375484,0.12,0.0923857936308489,0.060874383731142,-0.1,-0.04,-0.0483372120432269,-0.0496774193548387,-0.0447993705743509,-0.0630163043478261,0.0896161581414055,0.0127401676337847,-0.102719822341965,-0.00392565408229568,-0.00516022198353024,-0.11056232957761,0.0848065839520322,-0.0719298245614035,0.0441438150606232,-0.0658073755818117,-0.0843297736654579,-0.0591688770999116,-0.0553593532903878,-0.0666666666666667,0.276753844682021,0.294285714285714,0.113377192982456,0.217669741156059,0.23,0.0539888206178529,0.0539888206178529,-0.0462046519012463
"SMO",-0.0611111111111111,0.225769052953519,-0.336666666666667,-0.353333333333333,-0.183076923076923,-0.16,0.2,0,-0.0666666666666667,0.131714285714286,0.139423076923077,0.139423076923077,-0.191428571428571,-0.106666666666667,0.208998908068676,0.148725402504472,-0.1,-0.194736842105263,0.0933333333333333,0.1125,0.1,0.106944444444444,0.0144444444444444,0.00100550729574746,0.1,0.0946936005846122,0.0544086984559166,-0.1,0,-0.0115318230852211,0,-0.02,0.0168532616808479,0.00420142309797482,0.164132104454685,-0.101269841269841,0.0941666666666667,0.0941666666666667,-0.104029304029304,-0.139423076923077,-0.15,0.0711328976034858,-0.135714285714286,-0.112804232804233,-0.190909090909091,-0.195909090909091,-0.1,0.18004662004662,0.1,0.212758620689655,0.325855855855856,0.333333333333333,0.0548022598870056,0.0548022598870056,-0.0336949969861362
"Ecadherin",-0.0581809657759025,0.103276666226139,-0.0481966001478197,-0.0457575757575758,0.0483631953249904,0.0432085561497326,0.0709090909090909,0.1,0.0333333333333333,0.0857239057239057,0.0803242835595777,0.0803242835595777,-0.0542121513229058,0.0270833333333333,0.0996316485494876,0.0766929986433766,0.0333333333333333,-0.0831467605549036,0.011768115942029,-0.020257244838593,-0.0133606931144551,-0.0255905781719263,-0.0251332683652912,-0.0212416992843587,-0.0156862745098039,0.203262278597644,0.138067601973761,0.0333333333333333,0.0156862745098039,0.0215218113291766,0.0133606931144551,0.0194476496361942,-0.0161385030765865,0.0148546763158798,0.0534026788183849,-0.0120102466926343,-0.0318839429345525,-0.0303091397849462,-0.0222669079834496,-0.0803242835595777,-0.0657142857142857,0.037712686067599,-0.0805291005291005,0.0234652530194233,-0.0801874414245548,-0.0805591886364507,-0.08,-0.0479710384622453,-0.0490909090909091,0.0068426069616264,0.0483774319742211,0.0470909090909091,0.0550261177057503,0.0550261177057503,-0.0424161726955023
"NFB",-0.0536630036630037,0.319352510234863,-0.294820202020202,-0.302020202020202,-0.0678412698412698,-0.0922857142857143,0.187012987012987,0.1,0.14,0.227799227799228,0.110896960711638,0.110896960711638,-0.107335014712064,0.143703703703704,0.213504476490435,0.108409398522584,0.08,-0.164471472799646,0.158525852585259,0.0194871794871795,0.0333333333333333,0.0228579660040334,0.0223120382442416,0.0193773149878505,0.0333333333333333,0.0620150107237823,0.0755601845270309,0,-0.0333333333333333,-0.0185145698898113,-0.0333333333333333,-0.0194871794871795,-0.0383181357649443,0.077023381353878,0.0881009949612899,-0.159641094220946,-0.150932619366354,-0.143703703703704,-0.165531475748194,-0.110896960711638,-0.214285714285714,0.150546218487395,-0.227799227799228,-0.0860235897505051,-0.194949494949495,-0.189143043336592,-0.114285714285714,0.0698020541549953,0.0642857142857143,0.285612183301426,0.296086024805012,0.311111111111111,0.0558292282430213,0.0558292282430213,-0.0328951826666262
"CDC42",-0.0755238095238095,-0.00727272727272727,-0.169467787114846,-0.171428571428571,-0.195652173913043,-0.2,0.0666666666666667,0,0.0476190476190476,0.0478070175438596,-0.0294117647058824,-0.0294117647058824,-0.0752680652680653,0.0476190476190476,0.0907393483709273,-0.0281922525107604,0.0333333333333333,-0.0652777777777778,0.0714285714285714,0.0659259259259259,0.04,0.0606627680311891,0.0605205205205205,0.0613969414959514,0.1,0.106617651245646,0.0814943097814821,-0.1,-0.1,-0.0654710155700255,-0.04,-0.0659259259259259,-0.0614449917898194,0.096603785508895,0.0341213217162584,-0.0682027649769585,-0.061557717471696,-0.0701996927803379,-0.0744627686156921,0.0294117647058824,-0.0583333333333333,0.0528051948051948,-0.0583333333333333,-0.0502083333333333,-0.0435897435897436,-0.0482051282051282,-0.0333333333333333,0.20412675018423,0.22,0.143119491699119,0.160376878023937,0.0857142857142857,0.0575521734117376,0.0575521734117376,-0.0292335115864528
"SUFU",-0.0630940305181986,0.223635118931801,-0.32691968564309,-0.325855855855856,-0.174299493609838,-0.18004662004662,0.195909090909091,0.15,-0.0941666666666667,0.151977579467512,0.14741535883635,0.14741535883635,-0.196217126025668,-0.0941666666666667,0.20670365434046,0.142984979089515,-0.106666666666667,-0.180750828119249,0.100624679979519,0.103098290598291,0.106944444444444,0.093061115877101,0.00100550729574746,0.00554195230853518,0.1125,0.0921731557912704,0.0520828939611858,0,-0.02,-0.0050815942522692,-0.0144444444444444,-0.0115318230852211,0.0230237127550766,0.00327973247973912,0.159244765571332,-0.0985461580395649,0.0859376584376585,0.0870959595959596,-0.11007086156379,-0.14741535883635,-0.131714285714286,0.0787153448426503,-0.143252747252747,-0.107120691036211,-0.200454545454545,-0.204422799422799,-0.135714285714286,0.173022897865158,0.183076923076923,0.214645782763574,0.32553901503165,0.336666666666667,0.0579853309281722,0.0579853309281722,-0.0354175484234361
"KLF4",-0.0518518518518519,0.104159668433645,-0.0457575757575758,-0.0470909090909091,0.0432085561497326,0.0490909090909091,0.0709090909090909,0.1,0.0333333333333333,0.0805291005291005,0.0817948717948718,0.0817948717948718,-0.0545866831581117,0.0333333333333333,0.0989792720350421,0.0803242835595777,0,-0.0844625500285878,0.0146666666666667,-0.0133606931144551,-0.0156862745098039,-0.020257244838593,-0.0194476496361942,-0.0215218113291766,-0.0333333333333333,0.202236637572003,0.236801779188951,0.0333333333333333,0.0333333333333333,0.0251332683652912,0.0156862745098039,0.0133606931144551,-0.0188189154477205,0.011302599253869,0.0543520459069925,-0.011768115942029,-0.0303091397849462,-0.0270833333333333,-0.0256226126814362,-0.0817948717948718,-0.08,0.0349193899782135,-0.0657142857142857,0.0186597610285766,-0.0709090909090909,-0.0801874414245548,-0.1,-0.0483631953249904,-0.04,0.00478311039412068,0.0481966001478197,0.0590909090909091,0.058343653250774,0.058343653250774,-0.0466992266992267
"HEY1",-0.0518518518518519,0.104159668433645,-0.0457575757575758,-0.0470909090909091,0.0432085561497326,0.0490909090909091,0.0709090909090909,0.1,0.0333333333333333,0.0805291005291005,0.0817948717948718,0.0817948717948718,-0.0545866831581117,0.0333333333333333,0.0989792720350421,0.0803242835595777,0,-0.0844625500285878,0.0146666666666667,-0.0133606931144551,-0.0156862745098039,-0.020257244838593,-0.0194476496361942,-0.0215218113291766,-0.0333333333333333,0.202236637572003,0.236801779188951,0.0333333333333333,0.0333333333333333,0.0251332683652912,0.0156862745098039,0.0133606931144551,-0.0188189154477205,0.011302599253869,0.0543520459069925,-0.011768115942029,-0.0303091397849462,-0.0270833333333333,-0.0256226126814362,-0.0817948717948718,-0.08,0.0349193899782135,-0.0657142857142857,0.0186597610285766,-0.0709090909090909,-0.0801874414245548,-0.1,-0.0483631953249904,-0.04,0.00478311039412068,0.0481966001478197,0.0590909090909091,0.058343653250774,0.058343653250774,-0.0466992266992267
"SNAI1",-0.0704934229245551,-0.00925412541254125,-0.159283981849073,-0.160376878023937,-0.189460083517563,-0.20412675018423,0.0482051282051282,0.0583333333333333,0.0701996927803379,0.0471125730994152,-0.0227377070562149,-0.0227377070562149,-0.081077261042355,0.061557717471696,0.0897947994987469,-0.0260217793058044,0.0476190476190476,-0.0642839425451979,0.0675576036866359,0.0660286216897257,0.0606627680311891,0.0621894992034368,0.0613969414959514,0.0621220585450675,0.0659259259259259,0.104541126733888,0.0812583963550844,-0.04,-0.0659259259259259,-0.0626383208062962,-0.0605205205205205,-0.0654710155700255,-0.0640266868243446,0.0944631440560328,-0.0646938542237445,-0.0666965950765498,-0.0590334456270358,-0.061557717471696,-0.0706112279994456,0.0227377070562149,-0.0478070175438596,0.0544155626981714,-0.0478070175438596,-0.0492252947191146,-0.046007326007326,-0.0476399790685505,-0.0583333333333333,0.192599096970478,0.195652173913043,0.14273829728997,0.160090433461977,0.169467787114846,0.0634783805837771,0.0634783805837771,-0.035981220983411
"FUS",-0.0529143897996357,0.225434604792984,-0.325855855855856,-0.336666666666667,-0.18004662004662,-0.183076923076923,0.190909090909091,0.1,-0.106666666666667,0.143252747252747,0.148725402504472,0.148725402504472,-0.200706921944035,-0.0941666666666667,0.206225185440938,0.14741535883635,-0.0666666666666667,-0.187044534412955,0.101269841269841,0.106944444444444,0.1125,0.103098290598291,0.0115318230852211,0.0050815942522692,0.1,0.0919003044952267,0.0508470546203002,0,0,-0.00100550729574746,-0.02,-0.0144444444444444,0.0162321436684255,-0.00100504009771638,0.15941512332261,-0.100624679979519,0.0870959595959596,0.0941666666666667,-0.111275680840898,-0.148725402504472,-0.135714285714286,0.0747978190694544,-0.131714285714286,-0.114009052081341,-0.195909090909091,-0.200454545454545,-0.15,0.174299493609838,0.16,0.215390199637024,0.32691968564309,0.353333333333333,0.0652317077397664,0.0652317077397664,-0.0435959870851461
"NOTCHic",-0.0774327122153209,0.028777587790127,-0.184888888888889,-0.184888888888889,-0.193809523809524,-0.186666666666667,-0.0257142857142857,0,0.0333333333333333,0.0550387596899225,0.00171277997364954,0.00171277997364954,-0.0871969215825457,0.041025641025641,0.0926911196911197,0.00614627751059535,0.0333333333333333,-0.0905741626794258,0.0714285714285714,0.0473659673659674,0.0261538461538462,0.0462906985487631,0.0462670662670663,0.0463293812694031,0.08,0.125698347479258,0.111606339986705,-0.1,-0.08,-0.0507568621854336,-0.0261538461538462,-0.0473659673659674,-0.0495642407906559,0.112424907273428,0.0494098494098494,-0.0692702980472765,-0.0570281710699168,-0.0645550527903469,0.0243701226309922,-0.00171277997364954,-0.0666666666666667,0.056701630956188,-0.0666666666666667,-0.0499101389167614,-0.051705069124424,-0.0543366480717924,-0.0333333333333333,0.19952380952381,0.22,0.1536866359447,0.1753347487615,0.188888888888889,0.0658454106280193,0.0658454106280193,-0.0335705527613042
"SMAD",-0.0558882846178077,-0.114363343423494,-0.149735470551428,-0.158115358819584,-0.207876969242311,-0.203225806451613,-0.0723809523809524,-0.1,-0.0541666666666667,-0.0838991596638655,-0.0983209512467154,-0.0983209512467154,-0.0872227656452676,-0.0391666666666667,0.00595018156143619,-0.0940446354572418,-0.0666666666666667,-0.0802795031055901,-0.0337816521378165,0.0423992673992674,0.0404761904761905,0.047435238622289,0.060497580850522,0.0564903992949124,0.0238095238095238,0.127011574579638,0.109040986061147,-0.08,-0.0371428571428572,-0.0554772280689752,-0.0538095238095238,-0.0557703081232493,-0.0588523957489585,0.112713185268148,0.0434690466343692,-0.0662183478621835,0.045612558689449,0.0437538226299694,0.0634278575301134,0.0983209512467154,0.0714285714285714,0.0766832961023391,0.0812324929971989,0.0422446585672392,0.0712315270935961,0.0720251778872469,0.0666666666666667,0.199223123088464,0.2,0.138743231554657,0.148540251427922,0.15952380952381,0.0691131766746539,0.0691131766746539,-0.0511412506648431
