"","CD44","cMet","GLI","Frizzled","TGF","SOSGRB2","SUFU","FUS","SMO","cateninmemb","EGR1","SNAI1","ZEB1","ZEB2","MEK","ERK","TWIST1","cfos","miR200","SNAI2","RKIP","SHH","Patched","TrCP","KLF4","RAS","FOXC2","RAF","PI3K","DELTA","GSK3","SMAD","ILK","Csn","HEY1","LIV1","AKT","Csl","NFB","NOTCHic","IKK","NOTCH","DSH","TGFR","STAT","CDC42","Wnt","Ecadherin","SRC","PAK1","Jagged","TCFLEF","cateninnuc","AXIN2","Destcompl"
"DELTA",0.143076923076923,0.12,0.143076923076923,0.1,-0.231111111111111,-0.08,0,0,-0.0333333333333333,0.0559045180171941,-0.1,-0.175,0.444685990338164,-0.444685990338164,0.0533333333333333,0.02,-0.203,0,-0.458787878787879,-0.151181498240322,0.18974358974359,0.091025641025641,0.0833333333333333,0,-0.405555555555556,-0.0333333333333333,0.272857142857143,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.104597701149425,0.0619047619047619,0.0666666666666667,0,-0.0333333333333333,0,0.0444444444444444,-0.1,0,-0.12,0.0333333333333333,-0.105714285714286,0,0.211111111111111,0,0.2,-0.12,-0.158526315789474,-0.1,0.2,-0.0251948051948052,-0.164289044289044,-0.176376956376956,-0.172857142857143,-0.208586872586873
"cateninmemb",0.333070045004857,0.320026566743988,0.334094532760979,0.305243958048336,-0.192158584032002,0.12372558755379,-0.233333333333333,-0.25,-0.26875,-0.174001120260309,-0.187272727272727,-0.376962741117555,0.410877608713727,-0.410877608713727,0.21341382288623,0.208315783670544,-0.419187497717895,0.19903743315508,-0.420541515178387,-0.182999416476351,0.362288558596745,0.29884059351452,0.287029569892473,-0.1,-0.376371308016878,-0.00890111394794274,0.425259762906071,-0.0175603318250377,-0.0175603318250377,-0.0175603318250377,-0.455541175267707,0.0502646594378356,0.044695652173913,-0.08,0.0221288857214637,-0.266666666666667,-0.0329100529100529,-0.163062200956938,-0.0657142857142857,-0.176464262812608,-0.0471957671957672,-0.185014448686214,-0.284313725490196,0.176787878787879,-0.284313725490196,0.156787878787879,-0.320761199427646,-0.100217879152945,-0.305243958048336,0.131454545454545,-0.301688007670806,-0.344153482115692,-0.352930326186653,-0.391300752282031,-0.495996254700616
"STAT",-0.110594960594961,-0.10974025974026,-0.110580595874714,-0.114285714285714,-0.167852581882902,-0.214285714285714,0,-0.025,-0.0183333333333333,0.00805585419492471,0,-0.0398931601032126,0.37660928814775,-0.37660928814775,-0.0291081593927894,-0.0258823529411765,0.0309562751091986,-0.02,-0.395827690234676,0.016517833731456,0.0717953667953668,0.0168927076901969,0.0160077519379845,0,-0.278035254505843,0.0707000049380887,0.123473755964554,0.0744313482216708,0.0744313482216708,0.0744313482216708,0.202200712060525,0.0592148370259315,0.0615136876006441,0.05,0.0653333333333333,0.2,0.0567635189669088,0.0509803921568627,0.07,0.0536830948595654,0.0652380952380952,0.0546539686459732,0.114285714285714,0.174132775119617,0.114285714285714,0.184659090909091,0.10974025974026,-0.0231949569868574,0.114285714285714,0.190909090909091,0.0721849042975804,0.110279503181711,0.110875450738326,0.16156040038393,0.20704477654024
"RAS",0.26883604505632,0.241176470588235,0.266176470588235,0.2,-0.268281887012231,-0.25974025974026,0.1,0.1,0.1,0.00413766095933591,0.22,-0.369862340216322,0.358696612665685,-0.358696612665685,-0.27061919504644,-0.264736842105263,-0.258581560283688,-0.27,-0.366307692307692,-0.129160075382515,0.106635220125786,-0.0647457627118644,-0.08,0.1,-0.316428571428571,0.361538461538462,0.313650793650794,0.446153846153846,0.446153846153846,0.446153846153846,-0.579857881136951,-0.0995670995670996,-0.0995670995670996,0.2,-0.113438735177866,0,0.243333333333333,-0.35,0.233333333333333,-0.376315789473684,0.226666666666667,-0.397070506454816,-0.1,0.243529411764706,-0.1,0.22,-0.241176470588235,-0.174644255594201,-0.2,0.18,-0.194815690912675,-0.290374506594782,-0.307088387614612,-0.290777338603426,-0.532850775874032
"TGFR",0.00267957629923867,-0.00389937106918239,0.0209546995913399,0.00571428571428572,-0.0429652144545762,-0.394493177387914,-0.0866666666666667,-0.0866666666666667,-0.0694252873563218,-0.00661479546283133,0.314285714285714,-0.0752938788216343,0.204592734477454,-0.204592734477454,-0.358561929939003,-0.35171261487051,-0.0216455779623039,-0.340601503759398,-0.215648236018091,-0.0680201987994939,0.0153246753246753,0.078500146113384,0.0756752873563218,0.166666666666667,-0.19273228360757,0.285066833751044,0.050621999511785,0.282142857142857,0.282142857142857,0.282142857142857,-0.287876778023621,0.0674172328264855,0.0684848484848485,0.216666666666667,0.0691070758393718,0,0.230952380952381,-0.0533333333333333,0.230952380952381,-0.0740229885057471,0.230952380952381,-0.0776201108079054,0.0142857142857143,0.0358730158730159,0.0333333333333333,0.135873015873016,-0.0151482479784367,-0.00866693915962548,0.0133333333333333,0.131111111111111,0.0656269343237071,-0.00842120309349704,-0.0122298833415041,0.00191903020944509,-0.105561702928721
"SRC",-0.153196721311475,-0.145,-0.153196721311475,-0.125,-0.0350577200577201,0.0585714285714286,-0.0333333333333333,-0.0333333333333333,-0.0533333333333333,0.0002312528064661,-0.266666666666667,0.123220782085434,0.189068583408206,-0.189068583408206,0.281208309510196,0.286868686868687,0.0144183402804092,0.275757575757576,-0.198134972917582,0.0571177028872342,0.0513522319973933,0.0408061002178649,0.0496296296296296,-0.1,-0.10594315245478,-0.28594038002048,0.000676937441643327,-0.278364622444723,-0.278364622444723,-0.278364622444723,0.436796536796537,0.0900604551920341,0.0927631578947369,-0.1,0.1154832836809,0.2,-0.0923076923076923,0.185,-0.1,0.208809523809524,-0.0923076923076923,0.21952380952381,0.1,0.0496031746031746,0.2,0.0638888888888889,0.145,0.0418698186345245,0.125,0.0888888888888889,0.110572806398494,0.161733306677329,0.167773575133705,0.19623018402822,0.287017040930084
"SHH",-0.1,-0.1,0,0,0.106666666666667,0,-0.2,-0.2,-0.1,0.134336917562724,0,0.05,0.175,-0.175,0.04,0.1,0.075,0.1,-0.183333333333333,0.0261302681992337,-0.02,-0.0133333333333333,0.0666666666666667,0,-0.2,-0.0576923076923077,-0.05,-0.05,-0.05,-0.05,0.271794871794872,0.0166666666666667,0,0,0,0,0.05,0.1,0,0,0.1,0,0,-0.0666666666666667,0.1,0.0333333333333333,0,-0.07,0.1,0,0.0942857142857143,0.106666666666667,0.117777777777778,0.247619047619048,0.331168831168831
"Patched",-0.106666666666667,-0.1,0,0,0.115,0.0333333333333333,-0.2,-0.1,-0.0666666666666667,0.148225806451613,-0.1,0.0661290322580645,0.166666666666667,-0.166666666666667,0.0476923076923077,0.04,0.0787037037037037,0.1,-0.169047619047619,0.0274636015325671,-0.02,-0.00083333333333333,-0.0133333333333333,0,-0.166666666666667,-0.0701923076923077,-0.06,-0.0576923076923077,-0.0576923076923077,-0.0576923076923077,0.3003663003663,0.00666666666666667,0.0166666666666667,0,0.0230769230769231,0.1,0.0357142857142857,0,0.1,0,0.05,0.0272727272727273,0,-0.106666666666667,0.1,-0.0666666666666667,0,-0.0690291262135922,0.1,0.0333333333333333,0.105396825396825,0.117777777777778,0.120690399137001,0.256709956709957,0.352047952047952
"RAF",0.178879892037787,0.159649122807018,0.172564102564103,0.133333333333333,-0.190066755674232,-0.272190476190476,0.1,0.133333333333333,0.113333333333333,0.0550478209301739,0.31,-0.307505530822386,0.150899091343855,-0.150899091343855,-0.332010271460015,-0.334137931034483,-0.275879382055853,-0.31,-0.146447766070408,-0.182090400419654,0.0112044817927171,-0.104415300546448,-0.109333333333333,0,-0.120899091343855,0.287992562992563,0.226333628057766,0.271753246753247,0.271753246753247,0.271753246753247,-0.481914893617021,-0.140045416608413,-0.141035515618314,0,-0.161169183120403,0,0.00730519480519481,-0.255555555555556,-0.0142857142857143,-0.273737373737374,-0.00178571428571429,-0.292968142968143,-0.1,0.168571428571429,-0.1,0.14,-0.153333333333333,-0.1505080986397,-0.133333333333333,0.133333333333333,-0.191903144959172,-0.1921666053245,-0.205652610413559,-0.207383966244726,-0.474457378770323
"TWIST1",0.210853545895843,0.204829449510301,0.210042439431913,0.192063492063492,0.0460686572741792,0.242089616460326,-0.0333333333333333,-0.0666666666666667,-0.0706666666666667,0.0360242521340975,-0.193333333333333,-0.122009639628559,0.0661047011924205,-0.0661047011924205,0.233061466124754,0.22559877955759,-0.225912562202608,0.215072463768116,-0.0478426440275303,-0.0560995773335846,0.114858910511084,0.0915857570236408,0.0802557077625571,-0.2,-0.0498332291015218,-0.0788970832928186,0.0557637786069894,-0.0847190011010378,-0.0847190011010378,-0.0847190011010378,-0.261358002117886,-0.0515878614888516,-0.0565383565383566,-0.2,-0.0717452039485938,-0.166666666666667,-0.185528031290743,-0.103703703703704,-0.192307692307692,-0.111396011396011,-0.192307692307692,-0.117999784980917,-0.180952380952381,-0.0563192267502612,-0.180952380952381,-0.0688192267502612,-0.203642439431913,-0.187550715641447,-0.192063492063492,-0.0860606060606061,-0.190897882622271,-0.217132259525245,-0.222250143366534,-0.255133522391587,-0.309354374448792
"ZEB2",-0.218635477582846,-0.211228070175439,-0.205637817839653,-0.190606060606061,-0.172437298151584,-0.168827838827839,-0.1,-0.1,-0.0914285714285714,-0.0828361006316787,-0.0666666666666667,-0.053486834926846,-0.015456917232107,0.015456917232107,0.0181242839593082,0.0242218449349179,0.0261326719527413,0.0403508771929825,0.0489910087011208,0.0682681696662309,0.0793075684380032,0.08291415901172,0.0865505226480836,0.1,0.103851665944876,0.12050784689971,0.12443512043512,0.1254329004329,0.1254329004329,0.1254329004329,0.126816146327398,0.129218726996123,0.132877263581489,0.133333333333333,0.146173020527859,0.15,0.155882658359294,0.156410256410256,0.158333333333333,0.160410256410256,0.160555555555556,0.166421185372005,0.177272727272727,0.180902906617192,0.19,0.192467532467532,0.198298368298368,0.198864296757957,0.203333333333333,0.205194805194805,0.206611582538608,0.223565055047635,0.227591029073609,0.25495298275444,0.257363276995429
"IKK",0.10957264957265,0.111111111111111,0.10957264957265,0.111111111111111,0.1508,0.173739495798319,0.1,0.08,0.08,0.0802276959539529,-0.05,0.0899279050042409,-0.045859649122807,0.045859649122807,0.0989523809523809,0.0922857142857143,0.0179084967320261,0.0642857142857143,0.053835005574136,-0.00396454472199839,-0.0761384335154827,-0.0723371647509578,-0.0688888888888889,0,0.041025641025641,-0.225502926816799,-0.131486291486291,-0.222686025408348,-0.222686025408348,-0.222686025408348,0.237948717948718,-0.0941487898789879,-0.0951388888888889,-0.1,-0.0959752321981424,-0.1,-0.245559845559846,0.0272727272727273,-0.142857142857143,0.0225108225108225,-0.242857142857143,0.0304473304473304,-0.1,-0.15,-0.1,-0.15,-0.111111111111111,-0.139261464859832,-0.111111111111111,-0.15,-0.103152139956264,-0.111267564826887,-0.109157860185537,-0.140238095238095,0.109417940769088
"NFB",0.111267564826887,0.10957264957265,0.110696245078268,0.111111111111111,0.15206582278481,0.181107916850951,0.08,0.08,0.0688888888888889,0.0818116452675749,-0.0642857142857143,0.0907498228124601,-0.0508404920346844,0.0508404920346844,0.103527544351074,0.0989523809523809,0.0175910364145658,0.0922857142857143,0.0565540388067644,-0.00294828455939676,-0.0748563822334314,-0.0723371647509578,-0.0723371647509578,-0.1,0.0429487179487179,-0.226497951692421,-0.133478323358801,-0.225502926816799,-0.225502926816799,-0.225502926816799,0.239125188536953,-0.0915465593957165,-0.0941487898789879,-0.142857142857143,-0.0924038036267138,-0.1,-0.252226512226512,0.0225108225108225,-0.242857142857143,0.0304473304473304,-0.245559845559846,0.0323828143182982,-0.111111111111111,-0.1508,-0.111111111111111,-0.15,-0.10957264957265,-0.137014273848596,-0.111111111111111,-0.15,-0.103871564416695,-0.109157860185537,-0.108451977832595,-0.141656534954407,0.110082392596331
"SUFU",0.124449797633242,0.120690399137001,0.01904648428812,0.0111111111111111,-0.141044236355202,-0.0459391485707275,-0.0133333333333333,-0.00083333333333333,-0.00638888888888889,-0.152919042611979,0.0476923076923077,-0.101363086665402,-0.12329233809493,0.12329233809493,-0.0529094090062542,-0.0533349409211478,-0.108479484043367,-0.0567832167832168,0.128430730197659,-0.0332773059406578,0.0650120391799331,0.0194305019305019,0.0175,-0.05,0.129806779882857,0.0931172684527012,0.0963079985408889,0.0883704330096632,0.0883704330096632,0.0883704330096632,-0.339014374207165,0.0057824463814183,0.00508960573476703,-0.0357142857142857,0.000148899467914658,-0.1,-0.0167664282026698,-0.0372727272727273,-0.0397142857142857,-0.0440909090909091,-0.0281758241758242,-0.0464718614718615,0,0.133746405980449,-0.106666666666667,0.123108108108108,-0.014957264957265,0.0668763379771902,-0.117777777777778,0.115,-0.10869638263494,-0.129069362850633,-0.132291869244495,-0.277094495119909,-0.383995751568409
"FUS",0.120690399137001,0.117777777777778,0.014957264957265,0,-0.133746405980449,-0.042442645074224,0.0666666666666667,-0.0133333333333333,-0.00083333333333333,-0.150872657891652,0.04,-0.0950598498681274,-0.137301999930678,0.137301999930678,-0.0533349409211478,-0.0567832167832168,-0.101262989198006,-0.0476923076923077,0.141813629825912,-0.0312337990191021,0.0556242840778923,0.0175,0.00638888888888889,-0.1,0.143579234972678,0.0883704330096632,0.0861343012704174,0.0818202146690519,0.0818202146690519,0.0818202146690519,-0.329245736675032,0.00508960573476703,0.00444444444444445,-0.05,0.00135371874502309,-0.1,-0.0281758241758242,-0.0272727272727273,-0.0357142857142857,-0.0372727272727273,-0.0397142857142857,-0.0440909090909091,0,0.123108108108108,-0.1,0.115,-0.0111111111111111,0.0681121773180759,-0.106666666666667,0.106666666666667,-0.106558615414037,-0.124449797633242,-0.129069362850633,-0.272644846407965,-0.376074433120775
"Csn",-0.189195863915432,-0.178084752804321,-0.189001783372006,-0.167241379310345,0.195769763844961,0.0402605788077943,0.0142857142857143,0.0142857142857143,0.0233766233766234,0.0676441854650733,-0.04,0.244960448665952,-0.145285359801489,0.145285359801489,0.0285687229437229,0.0296103896103896,0.200138694093813,0.0309090909090909,0.145890275192514,0.0750955194681179,-0.202208119886842,-0.0366412100150863,-0.0309035050970535,-0.02,0.124550743374273,-0.283099942853095,-0.24343216218786,-0.275998215405878,-0.275998215405878,-0.275998215405878,0.576369883259593,-0.00766773047097457,-0.0043258281573499,-0.12,0.0054125138427464,0.133333333333333,-0.149633333333333,0.159090909090909,-0.128333333333333,0.170779220779221,-0.140833333333333,0.178471528471528,0.15,-0.184075253105104,0.15,-0.168690637720488,0.178084752804321,0.0158305366351427,0.167241379310345,-0.152272727272727,0.060165474134386,0.197234449124435,0.203909133429907,0.221243803116147,0.520059249111049
"RKIP",-0.178879892037787,-0.159649122807018,-0.172564102564103,-0.133333333333333,0.190066755674232,0.272190476190476,-0.1,-0.133333333333333,-0.113333333333333,-0.0550478209301739,-0.31,0.307505530822386,-0.150899091343855,0.150899091343855,0.332010271460015,0.334137931034483,0.275879382055853,0.31,0.146447766070408,0.182090400419654,-0.0112044817927171,0.104415300546448,0.109333333333333,0,0.120899091343855,-0.287992562992563,-0.226333628057766,-0.271753246753247,-0.271753246753247,-0.271753246753247,0.481914893617021,0.140045416608413,0.141035515618314,0,0.161169183120403,0,-0.00730519480519481,0.255555555555556,0.0142857142857143,0.273737373737374,0.00178571428571429,0.292968142968143,0.1,-0.168571428571429,0.1,-0.14,0.153333333333333,0.1505080986397,0.133333333333333,-0.133333333333333,0.191903144959172,0.1921666053245,0.205652610413559,0.207383966244726,0.474457378770323
"SMO",0.117777777777778,0.106666666666667,0.0111111111111111,0,-0.123108108108108,-0.0385964912280702,0.1,0.0666666666666667,-0.0133333333333333,-0.149196680238021,0.1,-0.0827956989247312,-0.151412429378531,0.151412429378531,-0.0567832167832168,-0.0476923076923077,-0.0934095860566449,-0.04,0.157655213984328,-0.0274636015325671,0.0422222222222222,0.00638888888888889,0.00083333333333333,0,0.158333333333333,0.0818202146690519,0.0703448275862069,0.0701923076923077,0.0701923076923077,0.0701923076923077,-0.316871154735232,0.00444444444444445,-0.00666666666666667,-0.1,-0.00879120879120879,-0.1,-0.0397142857142857,0,-0.05,-0.0272727272727273,-0.0357142857142857,-0.0372727272727273,0,0.115,-0.1,0.106666666666667,0,0.0686601225235553,-0.1,0.0666666666666667,-0.108968253968254,-0.120690399137001,-0.124449797633242,-0.267054784296164,-0.366001440420045
"MEK",-0.1921666053245,-0.178879892037787,-0.185850815850816,-0.153333333333333,0.204665295820218,0.287746031746032,-0.133333333333333,-0.113333333333333,-0.109333333333333,-0.0489502599545641,-0.31,0.328018351335206,-0.178676869121632,0.178676869121632,0.227010271460015,0.332010271460015,0.29309549927197,0.334137931034483,0.173382750590531,0.18890305248778,-0.0243623765295592,0.097225758062788,0.104415300546448,0,0.152271640363462,-0.296563991563992,-0.248856150580289,-0.287992562992563,-0.287992562992563,-0.287992562992563,0.508696220398348,0.138200398158229,0.140045416608413,0.0142857142857143,0.164805546756766,0.1,-0.0155404889228419,0.273737373737374,0.00178571428571429,0.292968142968143,-0.00730519480519481,0.306836756106829,0.133333333333333,-0.190066755674232,0.133333333333333,-0.168571428571429,0.172564102564103,0.154879683339154,0.159649122807018,-0.14,0.1992801941395,0.205652610413559,0.214760417105008,0.224501083361843,0.496842316008817
