"","ZEB2","miR200","NOTCH","NOTCHic","NFB","TrCP","Csl","Csn","IKK","cfos","ERK","EGR1","SNAI1","Destcompl","MEK","SOSGRB2","CDC42","PI3K","RAS","FOXC2","TGFR","RAF","DELTA","TGF","GSK3","PAK1","Frizzled","DSH","STAT","SRC","RKIP","TWIST1","cateninnuc","Wnt","cMet","TCFLEF","Ecadherin","GLI","CD44","AKT","SMO","Patched","ILK","SHH","SMAD","AXIN2","HEY1","cateninmemb","SUFU","LIV1","FUS","SNAI2","Jagged","KLF4","ZEB1"
"cateninnuc",-0.148767939161032,-0.0828677367687699,0.111617820565396,0.107072366019942,-0.126136363636364,-0.166666666666667,0.098932831136221,-0.129166666666667,-0.140136363636364,-0.0878191856452726,-0.0966799451389435,-0.086231884057971,-0.125212388808689,-0.153730445987179,-0.0980560919279343,-0.128030658730598,-0.0866813186813187,0.14471586971587,-0.143200718200718,-0.092371011502159,-0.0895548818997095,-0.14471586971587,-0.14471586971587,0.0821313011136833,-0.14654759806751,0.0651428571428571,-0.0256729571798065,-0.0160839160839161,-0.0160839160839161,-0.0244172494172494,0.12543953482415,0.0344154786919926,-0.133223496044112,-0.0430642615276326,-0.0418085537650755,-0.0344662466654868,-0.0711394957675424,-0.0422737476936405,-0.0414117283682501,0.144823863636364,-0.0242440801457195,-0.0211384900836077,-0.0433679653679654,-0.0274565728722787,-0.0473243091605984,0.123668149011389,-0.0403361581352282,-0.0110106391685585,-0.0555555555555556,-0.0545454545454545,-0.0455555555555556,0.117117933010644,-0.0718677721469498,0.102489582382821,0.148767939161032
"GLI",-0.129672725721113,-0.0639993649281575,0.0628126184160667,0.0590030946065429,0.0497076023391813,0.0333333333333333,0.0615030946065429,0.0444444444444444,0.0395035207065282,0.134047619047619,0.127554112554113,0.125714285714286,0.00197199963157409,0.114342244325476,0.122581736863505,-0.185876719151055,-0.0404597701149425,0.0620214426893883,-0.0594471852636457,0.0442834107327141,-0.0498937323790935,-0.0620214426893883,-0.0620214426893883,0.0482466735555641,0.107743836668374,0.0266666666666667,0.0296774193548387,0.02,-0.06,-0.0503225806451613,0.0213975762734452,0.0457192863729366,-0.0598052021616462,0.0237950664136622,-0.057639653815893,-0.0623754352758124,-0.104254587118653,-0.0817368484799548,-0.0636741365745137,-0.0332535207065282,0.0348370927318296,0.0409595417114214,-0.0434236429229817,0.0405480190776766,-0.0450452645446033,-0.0908454106280193,-0.0514259745159575,-0.119162342121765,0.0190476190476191,-0.1,0.0190476190476191,0.102717329009043,-0.0556267586355176,0.125958815958816,0.129672725721113
"TWIST1",-0.115598054194545,-0.0939363448974601,-0.0595758748588937,-0.0586324786324786,-0.00769230769230769,0,-0.0688888888888889,0,-0.0124542124542125,-0.0797101449275362,-0.0823417238749047,-0.0666666666666667,-0.0921356568886702,0.0830767407937675,-0.078859136810228,0.178859355747228,0.102612330198537,-0.0870194312446052,0.0842797052172079,0.094811527557214,0.111362330198537,0.0870194312446052,0.0870194312446052,-0.116601510152979,0.0825729592383402,-0.106060606060606,-0.0555555555555556,-0.0333333333333333,-0.0333333333333333,-0.0555555555555556,0.0797617254138993,0.0877090824888308,-0.0505576372606973,-0.0608187134502924,-0.0598108747044917,-0.0478549345579945,-0.113094257665267,-0.0520187134502924,-0.0513771397647327,0.00906438194573788,0.0484444444444444,0.038855403348554,0.0729047229047229,0.0334366841367314,0.0712545578882213,-0.085430644624193,0.0804929533743093,-0.108319817103194,0.0333333333333333,-0.0333333333333333,0.0444444444444444,0.255203943180981,0.0478023010406046,0.119282885136544,0.115598054194545
"Ecadherin",-0.0719967328413031,-0.0599282178611788,0.0178271281028826,0.00630296453410941,-0.0161904761904762,-0.1,0.00114832535885168,-0.04,-0.031005291005291,-0.0568983957219251,-0.0703004575775952,-0.0745454545454545,-0.0145365004072321,-0.0579802243311983,-0.0777514379697521,-0.0810019259125515,-0.0288484848484848,0.047262443438914,-0.041117192042266,-0.0645471854715917,-0.0429948263118995,-0.047262443438914,-0.047262443438914,0.0355807214294402,-0.0541715163472152,-0.00181818181818182,-0.0236662106703146,-0.0352941176470588,-0.0352941176470588,-0.0236662106703146,0.0170905338642096,0.0422265064933484,-0.0442202398625388,-0.0478041417047974,-0.0471444715398798,-0.0499158514405034,-0.123239878583284,-0.0578041417047974,-0.0575123645164685,0.043992303992304,-0.0854166666666667,-0.0714381720430108,-0.0167536231884058,-0.0785247862162391,-0.0208698459486963,0.0428033282177368,-0.0141170318035695,0.0613553632456071,-0.1,-0.1,-0.116666666666667,0.0450638912934658,-0.0702936569992516,0.0569151429910924,0.0719967328413031
"TCFLEF",-0.0634138312954103,-0.0126072254385508,-0.0247730478086489,-0.0164673999681173,-0.0440519480519481,-0.0571428571428571,-0.000781125458313405,-0.048051948051948,-0.0376003351487222,0.074808362369338,0.0890940766550523,0.0528571428571429,0.110942901821563,0.318857659270561,0.09249543719927,-0.25116904652234,-0.00280262373285629,0.0480605378457364,-0.0479291318010584,0.00622077424979875,-0.00841010036837031,-0.0480605378457364,-0.0480605378457364,0.0147014910968471,0.297786840794372,0.00512820512820513,0.209117647058824,0.194117647058824,0.2,0.215,-0.0720861459337833,-0.18081986966854,0.131634829433896,0.22535696329814,0.231239316239316,0.13197847204558,0.0555654724556034,0.229083671372674,0.234383970327367,0.0365133786269831,0.0614285714285714,0.0678801843317972,-0.0730725298093719,0.074628650589466,-0.0709692793313604,0.582164102564103,-0.053663082437276,0.131500557940659,0.05,0.2,0.0566666666666667,-0.137785979637922,0.110760708209064,-0.0363811433664375,0.0634138312954103
"HEY1",-0.0625180598555211,-0.0549002849002849,0.00630296453410941,0.00114832535885168,-0.04,-0.1,0.0327272727272727,-0.1,-0.0161904761904762,-0.0745454545454545,-0.0568983957219251,-0.12,-0.0170681459768524,-0.0570482578819904,-0.0703004575775952,-0.05863350485992,0.00181818181818182,0.0546153846153846,-0.047262443438914,-0.0675220138468777,-0.0288484848484848,-0.0546153846153846,-0.0546153846153846,0.0429948263118995,-0.0603525317997538,0.0181818181818182,-0.0352941176470588,-0.1,-0.1,-0.0352941176470588,0.00473098330241188,0.0308671023965142,-0.0499158514405034,-0.0236662106703146,-0.0236662106703146,-0.0575123645164685,-0.0245057013680946,-0.0478041417047974,-0.0471444715398798,0.031005291005291,-0.116666666666667,-0.0854166666666667,-0.024,-0.0714381720430108,-0.0167536231884058,0.0520816787332008,-0.0228418640183346,0.05417587606612,0,-0.1,-0.1,0.0425954987588481,-0.0654881650084049,0.0518518518518519,0.0625180598555211
"FOXC2",-0.0625180598555211,-0.0549002849002849,0.00630296453410941,0.00114832535885168,-0.04,-0.1,0.0327272727272727,-0.1,-0.0161904761904762,-0.0745454545454545,-0.0568983957219251,-0.12,-0.0170681459768524,-0.0570482578819904,-0.0703004575775952,-0.05863350485992,0.00181818181818182,0.0546153846153846,-0.047262443438914,-0.0675220138468777,-0.0288484848484848,-0.0546153846153846,-0.0546153846153846,0.0429948263118995,-0.0603525317997538,0.0181818181818182,-0.0352941176470588,-0.1,-0.1,-0.0352941176470588,0.00473098330241188,0.0308671023965142,-0.0499158514405034,-0.0236662106703146,-0.0236662106703146,-0.0575123645164685,-0.0245057013680946,-0.0478041417047974,-0.0471444715398798,0.031005291005291,-0.116666666666667,-0.0854166666666667,-0.024,-0.0714381720430108,-0.0167536231884058,0.0520816787332008,-0.0228418640183346,0.05417587606612,0,-0.1,-0.1,0.0425954987588481,-0.0654881650084049,0.0518518518518519,0.0625180598555211
"SOSGRB2",-0.05234335839599,-0.0288790711168294,0.0363931842805082,0.0321678321678322,0.0888888888888889,0.2,0.00909090909090909,0.1,0.0730994152046784,-0.0476190476190476,-0.0665379665379665,-0.0142857142857143,-0.0816652452025586,-0.255939884127804,-0.0665379665379665,0.0111111111111111,-0.0242857142857143,0.0615819209039548,-0.0641460234680574,-0.00385836385836386,-0.00505494505494505,-0.0615819209039548,-0.0615819209039548,-0.0013280336684592,-0.300906965871903,0.0142857142857143,-0.0428571428571429,0,0,-0.0428571428571429,-0.00233918128654972,0.11031884057971,-0.0551195554769374,-0.0511904761904762,-0.0559006211180124,-0.0533987141767462,0.0883040942311858,-0.0497412008281573,-0.0544513457556936,-0.0730994152046784,0,-0.00810810810810811,-0.0032258064516129,-0.0127592708988058,-0.0067223099481164,-0.0570338283828383,-0.0122159090909091,0.0722139542139542,0,0,0,-0.211405733520359,-0.0240707949606459,0.0537719298245614,0.05234335839599
"NFB",-0.0515347564313082,-0.035778139282671,0.0967155425219941,0.0909090909090909,-0.185714285714286,-0.1,0.0861471861471862,-0.0857142857142857,-0.183011583011583,-0.0682857142857143,-0.0705079365079365,-0.0642857142857143,-0.105719807436842,-0.139194366597091,-0.0737759103641457,0.147686864219372,0.106565656565657,0.0739696497192471,-0.0719795999680033,0.077056966937445,0.104165656565657,-0.0739696497192471,-0.0739696497192471,-0.107963124920087,-0.225457875457875,-0.111111111111111,-0.0888888888888889,-0.0888888888888889,-0.0888888888888889,-0.0888888888888889,0.0862547288776797,0.235387488328665,-0.099326002086783,-0.0996581196581197,-0.0996581196581197,-0.100659335420116,-0.101599504278699,-0.104152501680592,-0.103612921918007,0.185233805233805,0.0762962962962963,0.0762962962962963,0.0898789878987899,0.072681838464971,0.0887637462631021,-0.131631205673759,0.0859962406015038,-0.134747799183447,0.08,-0.1,0.08,0.206903217165398,-0.00725355610544367,0.0521062271062271,0.0515347564313082
"IKK",-0.0496190476190476,-0.0348717948717949,0.0909090909090909,0.0861471861471862,-0.0857142857142857,0,0.0909090909090909,-0.1,-0.185714285714286,-0.0642857142857143,-0.0682857142857143,-0.05,-0.105993780039582,-0.137367124072174,-0.0705079365079365,0.148739495798319,0.111111111111111,0.0753781004234725,-0.0739696497192471,0.0750649350649351,0.106565656565657,-0.0753781004234725,-0.0753781004234725,-0.104165656565657,-0.225457875457875,-0.1,-0.0888888888888889,-0.1,-0.1,-0.0888888888888889,0.0849726775956284,0.231895424836601,-0.100659335420116,-0.0888888888888889,-0.0888888888888889,-0.103612921918007,-0.102081045209678,-0.0996581196581197,-0.0996581196581197,0.183011583011583,0.08,0.0762962962962963,0.0888888888888889,0.0762962962962963,0.0898789878987899,-0.126666666666667,0.0842105263157895,-0.13738771470615,0.1,-0.1,0.08,0.206293461067837,-0.0050952827241487,0.0501831501831502,0.0496190476190476
"Csn",-0.0370537634408602,-0.0231677821838227,0.146607559107559,0.143722943722944,-0.111666666666667,-0.02,0.142424242424242,-0.12,-0.111666666666667,-0.0809090909090909,-0.0848051948051948,-0.09,-0.112245029186596,-0.272817732471179,-0.0879301948051948,0.0601475844575118,-0.0583107191316147,0.198063111567323,-0.197871172987669,-0.0743161097087744,-0.0595927704136659,-0.198063111567323,-0.198063111567323,0.0603087608671266,-0.339252722431517,0.0568181818181818,-0.129885057471264,-0.133333333333333,-0.133333333333333,-0.129885057471264,0.0843321354843642,0.117360137135733,-0.13727459518358,-0.13349951530259,-0.13349951530259,-0.137575256638781,0.0099313355066995,-0.136556283861542,-0.136610626413701,0.114066666666667,-0.0284271284271284,-0.0273518596099241,-0.00956521739130435,-0.0273518596099241,-0.00930814798256399,-0.170963369531004,-0.0189562569213732,-0.041668502075841,-0.0142857142857143,-0.133333333333333,-0.0253968253968254,-0.0752071722389188,-0.0378919005713972,0.0377591036414566,0.0370537634408602
"RAF",-0.00636920133907221,0.00603860962790318,-0.129292929292929,-0.129292929292929,-0.0857142857142857,-0.1,-0.111111111111111,-0.1,-0.0732142857142857,0.13,0.147241379310345,0.08,0.0282038255992862,0.280109047103162,0.145113719735877,-0.092952380952381,0.0733333333333333,-0.125,0.129273504273504,0.0620984379605069,0.0590476190476191,0.125,0.125,-0.0581130396083667,0.30311268715524,-0.0666666666666667,0.0333333333333333,0,0,0.0333333333333333,0.0126750700280112,0.0312448009506833,0.0429844696618501,0.0333333333333333,0.0385964912280702,0.0406943933259723,-0.116306163482319,0.0333333333333333,0.0385964912280702,0.0701839826839827,0.1,0.104,0.0971758664955071,0.105639344262295,0.10014616352521,0.0399085794655415,0.10878823073945,-0.0929270446917506,0.1,0,0.1,0.351434982805852,0.115360983102919,0.00836920133907221,0.00636920133907221
"MEK",-0.00557555054542142,0.00634820715112299,-0.130022856300229,-0.129292929292929,-0.0732142857142857,-0.1,-0.129292929292929,-0.0857142857142857,-0.0701839826839827,0.147241379310345,0.145113719735877,0.13,0.0288448512403119,0.281155072207764,0.0467803864025434,-0.106285714285714,0.0590476190476191,-0.129273504273504,0.130225885225885,0.0620984379605069,0.0581130396083667,0.129273504273504,0.129273504273504,-0.0581130396083667,0.306306790349344,-0.0733333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0385964912280702,0.0153066489753796,0.0301458998517822,0.043542090479694,0.0333333333333333,0.0385964912280702,0.0429844696618501,-0.116488312844796,0.0354312354312354,0.0406943933259723,0.071360453272218,0.104,0.105639344262295,0.10014616352521,0.107600128576021,0.0997771598351731,0.0426112821682442,0.112424594375814,-0.0917075324966286,0.1,0,0.1,0.353138145822883,0.117819999496361,0.00640841702534672,0.00557555054542142
"ERK",-0.00510310960053953,0.00659330519033868,-0.133069947712971,-0.130022856300229,-0.0701839826839827,-0.0857142857142857,-0.129292929292929,-0.0732142857142857,-0.071360453272218,0.145113719735877,0.0467803864025434,0.147241379310345,0.0293078142032748,0.282019408923285,0.0504015563189779,-0.106285714285714,0.0581130396083667,-0.130225885225885,0.129455808218184,0.0619274977895668,0.0581130396083667,0.130225885225885,0.130225885225885,-0.0575635890589162,0.30730588208413,-0.0590476190476191,0.0333333333333333,0.0333333333333333,0.0385964912280702,0.0385964912280702,0.0144709943792793,0.0288976335549722,0.0434726460352496,0.0354312354312354,0.0406943933259723,0.043542090479694,-0.117003245903498,0.0376868745289798,0.0429844696618501,0.0704430220795574,0.105639344262295,0.107600128576021,0.0997771598351731,0.10808322036346,0.099473208467392,0.0450503065584881,0.113448485160797,-0.0915235398563342,0.1,0.0333333333333333,0.104,0.353859516427031,0.11902481877347,0.0048580294284475,0.00510310960053953
"RKIP",0.00636920133907221,-0.00603860962790318,0.129292929292929,0.129292929292929,0.0857142857142857,0.1,0.111111111111111,0.1,0.0732142857142857,-0.13,-0.147241379310345,-0.08,-0.0282038255992862,-0.280109047103162,-0.145113719735877,0.092952380952381,-0.0733333333333333,0.125,-0.129273504273504,-0.0620984379605069,-0.0590476190476191,-0.125,-0.125,0.0581130396083667,-0.30311268715524,0.0666666666666667,-0.0333333333333333,0,0,-0.0333333333333333,-0.0126750700280112,-0.0312448009506833,-0.0429844696618501,-0.0333333333333333,-0.0385964912280702,-0.0406943933259723,0.116306163482319,-0.0333333333333333,-0.0385964912280702,-0.0701839826839827,-0.1,-0.104,-0.0971758664955071,-0.105639344262295,-0.10014616352521,-0.0399085794655415,-0.10878823073945,0.0929270446917506,-0.1,0,-0.1,-0.351434982805852,-0.115360983102919,-0.00836920133907221,-0.00636920133907221
"KLF4",0.0625180598555211,0.0549002849002849,-0.00630296453410941,-0.00114832535885168,0.04,0.1,-0.0327272727272727,0.1,0.0161904761904762,0.0745454545454545,0.0568983957219251,0.12,0.0170681459768524,0.0570482578819904,0.0703004575775952,0.05863350485992,-0.00181818181818182,-0.0546153846153846,0.047262443438914,0.0675220138468777,0.0288484848484848,0.0546153846153846,0.0546153846153846,-0.0429948263118995,0.0603525317997538,-0.0181818181818182,0.0352941176470588,0.1,0.1,0.0352941176470588,-0.00473098330241188,-0.0308671023965142,0.0499158514405034,0.0236662106703146,0.0236662106703146,0.0575123645164685,0.0245057013680946,0.0478041417047974,0.0471444715398798,-0.031005291005291,0.116666666666667,0.0854166666666667,0.024,0.0714381720430108,0.0167536231884058,-0.0520816787332008,0.0228418640183346,-0.05417587606612,0,0.1,0.1,-0.0425954987588481,0.0654881650084049,-0.0518518518518519,-0.0625180598555211
"Patched",0.0916666666666667,0.0333333333333333,0.0242424242424242,0.0333333333333333,-0.1,0,0,0,-0.15,0,-0.06,0.1,-0.0274193548387097,-0.168991008991009,-0.0369230769230769,0.0333333333333333,0,0.126923076923077,-0.139423076923077,-0.055,0.04,-0.126923076923077,-0.126923076923077,-0.065,-0.166300366300366,-0.1,-0.1,0,0.1,0,0.0457142857142857,0.0314814814814815,-0.00873786407766991,-0.15,-0.05,-2.77555756156289e-18,-0.00595738942826321,-0.1125,-0.0166666666666667,0.135714285714286,0.133333333333333,0.0133333333333333,0.05,-0.0116666666666667,0.03,0.132900432900433,0.058974358974359,0.0625806451612903,0,0.1,0.1,0.119019157088123,0.0768253968253968,-0.116666666666667,-0.0916666666666667
"miR200",0.0982706093189964,0.000792985860011171,-0.0108758453702931,-0.0159605911330049,0.0147368421052632,0,-0.0263054187192118,0.02,0.00616541353383459,0.0142857142857143,0.00064935064935065,0.0142857142857143,0.00708458208458209,0.0549319689340091,-3.09214594928878e-05,-0.00153449387491941,0.00318627450980392,-0.068955223880597,0.0697033535564075,0.0101640365054999,0.00641208096141682,0.068955223880597,0.068955223880597,-0.0145516158451378,-0.00639250217593122,-0.0208333333333333,0.008,0.02,0.02,0.00695652173913044,0.00334963670803766,0.0707702318131766,0.00148658716174215,-0.00749295774647887,-0.00853643600734844,0.00118355685871185,0.010808914721291,-0.00419625444977557,-0.0051656494904945,-0.0042786210810044,-0.000833333333333335,-0.00209915611814346,0.00281874795149131,-0.00862089524857824,-2.56866292874872e-06,-0.0556245033864316,0.00336158192090395,-0.0674587915195945,-0.02,0,-0.0075,-0.0651318574824528,0.00920813553903939,-0.099223602484472,-0.0982706093189964
