"","TGF","NOTCHic","TrCP","Csl","FUS","IKK","Csn","EGR1","NFB","Destcompl","LIV1","AXIN2","DELTA","ZEB1","SOSGRB2","FOXC2","GSK3","RAF","PI3K","RAS","STAT","SRC","DSH","cMet","Frizzled","CD44","Wnt","TCFLEF","cateninnuc","GLI","Ecadherin","ERK","cfos","MEK","cateninmemb","TWIST1","SNAI1","RKIP","AKT","ILK","SMAD","SNAI2","HEY1","Jagged","SHH","Patched","SUFU","SMO","NOTCH","TGFR","CDC42","PAK1","miR200","ZEB2","KLF4"
"FUS",0.0578138777074947,0.206060606060606,-0.1,0.206060606060606,0.28,0.00228571428571429,0,0.02,0.0142857142857143,0.184948026567446,0.1,0.0393829059496226,-0.0260286225402504,0.0381581227687082,-0.0690958164642375,0.0112341197822142,-0.20729106267308,0.0260286225402504,0.0260286225402504,0.0229718539812985,-0.1,-0.106666666666667,-0.2,-0.123333333333333,-0.2125,-0.134012944983819,-0.229166666666667,-0.139276102878556,-0.143080450704643,-0.240705128205128,-0.0814990722423516,-0.0554312354312354,-0.0584615384615385,-0.0519829595691665,-0.160522826644178,-0.141592524153349,-0.147213285801235,-0.152128947799051,-0.0138241758241758,-0.0752380952380952,-0.0642703533026114,-0.34474894535292,-0.0908584169453735,-0.168258430547587,-0.292752525252525,-0.289722222222222,-0.4,-0.2675,-0.21969696969697,-0.0535585585585586,-0.0616666666666667,-0.0533333333333333,-0.225613366038231,-0.285932896606703,-0.290027322404372
"Frizzled",0.0893995859213251,0.00357142857142857,-0.1,0.0285714285714286,0.05,0.0075,0,0.0333333333333333,0.02,0.0827061516750507,-0.1,-0.138083157152925,-0.0803144224196856,0.06501460763006,0.133333333333333,-0.0360644007155635,-0.0227272727272727,0.0803144224196856,0.0803144224196856,0.0811018239944887,0.2,0.225,0.3,0.219736842105263,0.225,0.219736842105263,0.219736842105263,0.225697107005925,0.23045901176783,0.219736842105263,0.165096796725436,-0.0674509803921569,-0.0733333333333333,-0.0600435729847495,0.186711729889696,0.0378851540616246,-0.00985162180814355,-0.0080952380952381,-0.0075,-0.0447823494335122,-0.0363711344802412,0.114128412922876,-0.0591052918712493,0.0486289364230541,-0.0028557464041335,-0.00930735930735931,-0.1,-0.00454545454545455,-0.017296918767507,-0.0846376811594203,-0.0933333333333333,-0.1,-0.144390782828283,-0.209359300348973,-0.206162464985994
"DSH",0.0904448820885725,0.017296918767507,0,0.00357142857142857,0.00454545454545455,0.0075,0.02,0.0733333333333333,0.0075,0.0794618768658904,-0.2,-0.141036743650815,-0.0811018239944887,0.0665894107796663,0.128455284552846,-0.0390947037458665,-0.0224952541657878,0.0811018239944887,0.0811018239944887,0.0892250732942086,0.225,0.219736842105263,0.225,0.219736842105263,0.219736842105263,0.225697107005925,0.219736842105263,0.23045901176783,0.233397569203271,0.224312005503956,0.168169667664856,-0.0600435729847495,-0.0674509803921569,-0.0607954526839976,0.19177651198628,0.0421404732105608,-0.00376466528640442,-0.005997335997336,0.00744252873563218,-0.0363711344802412,-0.044295662782128,0.117737260419966,-0.0468245901168634,0.0556056806091006,0.00266572598850453,-0.0028557464041335,-0.05,-0.00930735930735931,-0.0193948208654091,-0.0893995859213251,-0.0846376811594203,-0.0933333333333333,-0.14865907551121,-0.209359300348973,-0.205191591199587
"Wnt",0.0846376811594203,0.0285714285714286,-0.1,0.1,0.1,0.02,-0.1,0,0,0.0829714036644406,0,-0.135757575757576,-0.0984962406015037,0.0798660927785748,0.142424242424242,-0.0476923076923077,-0.0136363636363636,0.0984962406015037,0.0984962406015037,0.0803144224196856,0.1,0.2,0.2,0.225,0.3,0.219736842105263,0.225,0.219736842105263,0.225697107005925,0.219736842105263,0.15973549136413,-0.0733333333333333,-0.0333333333333333,-0.0674509803921569,0.182584745762712,0.0426470588235294,-0.0114389233954451,0.0133333333333333,-0.0075,-0.0564102564102564,-0.0447823494335122,0.109396551724138,-0.0697435897435898,0.043578431372549,-0.00930735930735931,-0.00454545454545455,0,-0.05,-0.00357142857142857,-0.0933333333333333,-0.1,-0.1,-0.142828282828283,-0.208369201339072,-0.215686274509804
"GSK3",0.0871115487552391,0.0193948208654091,0.02,0.017296918767507,0.00930735930735931,-0.00744252873563218,0.0075,0.0674509803921569,0.0075,0.0773836803178101,-0.225,-0.143015434670602,-0.0892250732942086,0.0717900051333067,0.132641331064473,-0.0405301104444311,-0.120332192601728,0.0892250732942086,0.0892250732942086,0.0915359976639565,0.219736842105263,0.219736842105263,0.219736842105263,0.225697107005925,0.219736842105263,0.23045901176783,0.224312005503956,0.233397569203271,0.234910727098008,0.229500684749239,0.16991481089831,-0.0607954526839976,-0.0600435729847495,-0.0590909072294521,0.194782701199366,0.0471340711619053,-0.00520431091209655,0.000268328163065003,0.0108613321544356,-0.044295662782128,-0.0435460375947217,0.121188511498482,-0.0520149015355485,0.0554596952076407,-0.000683556308146183,0.00266572598850453,-0.00454545454545455,-0.0028557464041335,-0.0144597559303442,-0.0904448820885725,-0.0893995859213251,-0.0846376811594203,-0.14572824315482,-0.208319181478245,-0.204428232420961
"TWIST1",-0.0324607912444689,0.0414245014245014,0.1,0.0362962962962963,0.177777777777778,0.178937728937729,0.15,-0.0466666666666667,0.188461538461538,0.0505005693665825,0.0333333333333333,0.0355373121502154,-0.0524297074771458,-0.0729633141913844,-0.0466036887089519,0.134818688438343,-0.0435747167222577,0.0524297074771458,0.0524297074771458,0.0548269677511184,-0.0190476190476191,-0.0134920634920635,-0.0190476190476191,-0.00710908476865925,-0.0134920634920635,-0.00108498838311708,-0.00822890559732666,0.00366233167813866,0.00659505163213521,-0.00262890559732666,0.0840896605108768,0.0257284515636918,0.0336231884057971,0.0252309391258809,0.0291868562656202,-0.0735066833751044,-0.151128710308919,-0.120439646526603,-0.17215806792078,-0.206688506688507,-0.205038341672005,0.280668083854272,-0.215570869808158,-0.0278507440007024,-0.167637012543956,-0.164188736681887,-0.166666666666667,-0.173777777777778,-0.037650916518841,0.0313218390804598,0.0363218390804598,0.0466666666666667,-0.18824092513014,-0.197112024305007,-0.194423598082135
"PI3K",-0.0425820181731229,0.00961538461538461,0,0.025,0.05,0.127450980392157,0.1,0.0333333333333333,0.133333333333333,0.0826960245991654,-0.1,-0.13047619047619,-0.0801038961038961,0.0787886459905546,0.0823076923076923,0.0293914053426249,-0.017989417989418,0.0801038961038961,0.0801038961038961,0.0814737591175947,0.2,0.211111111111111,0.2,0.206763285024155,0.211111111111111,0.205224823485693,0.206763285024155,0.20917962574558,0.213921893786817,0.205224823485693,0.13949532525525,-0.0417366946778711,-0.0476190476190476,-0.0335399733663957,0.156108551202672,0.150689565443664,0.0382367149758454,0.0275210084033613,-0.114630467571644,-0.0346618647458984,-0.0338618647458984,0.152807525713749,-0.0460330272760905,0.0442105263157895,-0.0061965811965812,-0.00897435897435898,-0.1,-0.0166666666666667,-0.0160669975186104,0.0466470588235294,0.0426470588235294,0.025,-0.1172332541185,-0.1722488112047,-0.169517543859649
"AXIN2",0.117655586600941,0.116140350877193,-0.133333333333333,0.116140350877193,0.142307692307692,-0.0971014492753623,-0.1,-0.0133333333333333,-0.0956521739130435,-0.064936734507383,0.1,-0.0332342833514557,0.113748591646516,-0.0462216483945979,0.0124286341677646,0.0480840860934538,0.0619316434899959,-0.113748591646516,-0.113748591646516,-0.114273526029718,-0.0933333333333333,-0.0956589147286822,-0.0933333333333333,-0.100831328521786,-0.0956589147286822,-0.104301360067527,-0.100831328521786,-0.105825392892849,-0.106819772486451,-0.104604913427446,-0.0490321120287558,0.00695083960185397,0.00601626016260163,0.00901980511909535,-0.120906165487719,-0.101664766505875,-0.0956954732774115,-0.0958997991256056,0.0982125603864734,-0.0818725557855993,-0.0798884288014723,-0.178961144437655,-0.0908848721221946,-0.121273902360859,-0.140315108388879,-0.139331501831502,-0.15,-0.137545787545788,-0.119518729255571,-0.116995520594341,-0.118765432098765,-0.12,-0.14626377826991,-0.149502013355867,-0.153129102957349
"RAS",-0.0127548048922539,-0.226315789473684,0,-0.2,0,0.193333333333333,0.1,0.12,0.2,0.0333647182484392,0,-0.0727536231884058,-0.23051282051282,-0.0372974963181149,-0.117316017316017,0.0823809523809524,-0.0987596899224806,0.23051282051282,0.23051282051282,0.126666666666667,0.1,0.1,0.1,0.0941176470588235,0.1,0.0834793491864831,0.0941176470588235,0.0788639645710985,0.0791472506900786,0.0857843137254902,-0.0152651662333796,-0.125263157894737,-0.12,-0.111537667698658,0.0161832567594443,0.1316421167485,0.0431465093411996,-0.106553459119497,-0.182222222222222,0.0367965367965368,0.0429189857761286,-0.189748755270615,0.0403162055335968,0.0840646560220777,0.0402485875706215,0.0453333333333333,0.1,0.0333333333333333,0.228202581926514,0.0117647058823529,-5.55111512312578e-18,-0.02,-0.0467076923076923,-0.0376215022091311,-0.0407142857142857
"cateninnuc",0.0137110016420361,-0.207514708243916,-0.0333333333333333,-0.197049591964846,-0.121111111111111,-0.00974242424242424,-0.0208333333333333,0.104347826086957,-0.0117424242424242,-0.216028001298274,-0.160606060606061,-0.069918385338107,-0.00433323433323434,-0.0163716251143187,0.110900431143888,0.134322480797891,0.216787086545627,0.00433323433323434,0.00433323433323434,0.00517498517498518,0.183682983682984,0.197571872571873,0.183682983682984,0.206267524745786,0.198751476833669,0.212616731094992,0.207447129007582,0.217471100027031,0.120923185086407,0.213771239679518,0.221593904499471,-0.117347625162705,-0.112284334023464,-0.118265056355366,0.270275454837099,0.150777903887641,-0.0895173432125877,-0.103956453802608,0.00817992424242424,-0.00444877344877345,-0.00267524002448968,0.38443635783239,0.0194079675728705,0.186798898233126,0.145158975287272,0.141455271583568,0.111111111111111,0.135865209471767,0.21115107188028,-0.0137110016420361,-0.0142857142857143,-0.0142857142857143,-0.0254010820453833,-0.0373509777153005,-0.00185311920187365
"KLF4",0.0149120473022912,-0.24488038277512,0.1,-0.229090909090909,-0.233333333333333,0.0847619047619048,0.1,0.12,0.08,-0.252503894900663,-0.233333333333333,-0.160762660026631,-0.102051282051282,-0.012156862745098,0.151858204688393,0.181348726221684,0.24912856813078,0.102051282051282,0.102051282051282,0.105727752639517,0.266666666666667,0.296078431372549,0.266666666666667,0.321659826721386,0.296078431372549,0.339920696286604,0.321659826721386,0.352295278226403,0.360888055312331,0.340625343962766,0.495930522996246,-0.134973262032086,-0.129090909090909,-0.142189756877446,0.508884988092305,0.274100217864924,-0.0364210114242339,-0.0500206143063286,-0.0921693121693122,-0.00266666666666667,-0.00266666666666667,0.421263339725934,0.0256226126814362,0.319586570351188,0.276478494623656,0.2625,0.2,0.25,0.25828244463079,-0.0144242424242424,-0.0130909090909091,-0.00909090909090909,-0.0274114774114774,-0.0330804953560372,-0.0037037037037037
"HEY1",0.0149120473022912,-0.24488038277512,0.1,-0.229090909090909,-0.233333333333333,0.0847619047619048,0.1,0.12,0.08,-0.252503894900663,-0.233333333333333,-0.160762660026631,-0.102051282051282,-0.012156862745098,0.151858204688393,0.181348726221684,0.24912856813078,0.102051282051282,0.102051282051282,0.105727752639517,0.266666666666667,0.296078431372549,0.266666666666667,0.321659826721386,0.296078431372549,0.339920696286604,0.321659826721386,0.352295278226403,0.360888055312331,0.340625343962766,0.495930522996246,-0.134973262032086,-0.129090909090909,-0.142189756877446,0.508884988092305,0.274100217864924,-0.0364210114242339,-0.0500206143063286,-0.0921693121693122,-0.00266666666666667,-0.00266666666666667,0.421263339725934,0.0256226126814362,0.319586570351188,0.276478494623656,0.2625,0.2,0.25,0.25828244463079,-0.0144242424242424,-0.0130909090909091,-0.00909090909090909,-0.0274114774114774,-0.0330804953560372,-0.0037037037037037
"FOXC2",0.0149120473022912,-0.24488038277512,0.1,-0.229090909090909,-0.233333333333333,0.0847619047619048,0.1,0.12,0.08,-0.252503894900663,-0.233333333333333,-0.160762660026631,-0.102051282051282,-0.012156862745098,0.151858204688393,0.181348726221684,0.24912856813078,0.102051282051282,0.102051282051282,0.105727752639517,0.266666666666667,0.296078431372549,0.266666666666667,0.321659826721386,0.296078431372549,0.339920696286604,0.321659826721386,0.352295278226403,0.360888055312331,0.340625343962766,0.495930522996246,-0.134973262032086,-0.129090909090909,-0.142189756877446,0.508884988092305,0.274100217864924,-0.0364210114242339,-0.0500206143063286,-0.0921693121693122,-0.00266666666666667,-0.00266666666666667,0.421263339725934,0.0256226126814362,0.319586570351188,0.276478494623656,0.2625,0.2,0.25,0.25828244463079,-0.0144242424242424,-0.0130909090909091,-0.00909090909090909,-0.0274114774114774,-0.0330804953560372,-0.0037037037037037
"Ecadherin",0.0147312154758898,-0.25828244463079,0.1,-0.24488038277512,-0.25,0.0921693121693122,0.08,0.129090909090909,0.0847619047619048,-0.255952170762732,-0.266666666666667,-0.165504928067868,-0.105727752639517,-0.0107350617972307,0.158437152056814,0.185238886404751,0.254426581375813,0.105727752639517,0.105727752639517,0.107403730293149,0.296078431372549,0.321659826721386,0.296078431372549,0.339920696286604,0.321659826721386,0.352295278226403,0.340625343962766,0.360888055312331,0.367143890979931,0.353292010629432,0.404207056589236,-0.142189756877446,-0.134973262032086,-0.148072109818623,0.519269603476921,0.281362787697326,-0.0364210114242339,-0.0496460824711226,-0.0960654160654161,-0.00266666666666667,-0.00242453591606134,0.432280799087764,0.0262937536210335,0.328053389573156,0.285139911946491,0.276478494623656,0.233333333333333,0.2625,0.269806608199563,-0.0149120473022912,-0.0144242424242424,-0.0130909090909091,-0.027225257672185,-0.0330804953560372,-0.0037037037037037
"cateninmemb",0.0147312154758898,-0.25828244463079,0.1,-0.24488038277512,-0.25,0.0921693121693122,0.08,0.129090909090909,0.0847619047619048,-0.255952170762732,-0.266666666666667,-0.165504928067868,-0.105727752639517,-0.0107350617972307,0.158437152056814,0.185238886404751,0.254426581375813,0.105727752639517,0.105727752639517,0.107403730293149,0.296078431372549,0.321659826721386,0.296078431372549,0.339920696286604,0.321659826721386,0.352295278226403,0.340625343962766,0.360888055312331,0.367143890979931,0.353292010629432,0.396244761809369,-0.142189756877446,-0.134973262032086,-0.148072109818623,0.42176070642379,0.281362787697326,-0.0364210114242339,-0.0496460824711226,-0.0960654160654161,-0.00266666666666667,-0.00242453591606134,0.432280799087764,0.0262937536210335,0.328053389573156,0.285139911946491,0.276478494623656,0.233333333333333,0.2625,0.269806608199563,-0.0149120473022912,-0.0144242424242424,-0.0130909090909091,-0.027225257672185,-0.0330804953560372,-0.0037037037037037
"SNAI2",0.0144505962920285,-0.295614035087719,0.1,-0.276315789473684,-0.26,0.136781609195402,0.133333333333333,0.133333333333333,0.133333333333333,-0.297865152750819,-0.26,-0.210091357134271,-0.151361687986166,-0.0125118523180197,0.188776200135227,0.220985262766741,0.292697260882789,0.151361687986166,0.151361687986166,0.156384519036395,0.305454545454545,0.341168831168831,0.305454545454545,0.370746295957564,0.341168831168831,0.393326941118854,0.370746295957564,0.409615600912668,0.421106284142482,0.393740948363981,0.65120703587779,-0.16078431372549,-0.150980392156863,-0.168892421833598,0.566612611381106,0.318158888206102,-0.0332701318513676,-0.0441923076923077,-0.142805705580944,-0.00335345405767941,-0.00287498515815788,0.675299197761503,0.0289481615430983,0.373336958104938,0.323272069391137,0.307779111644658,0.2,0.289411764705882,0.311198450672135,-0.0132083602671838,-0.0106442577030812,-0.00588235294117647,-0.0281847560794697,-0.0323694147262429,-0.0025
"miR200",-0.00196078431372549,0.0308374384236453,0,0.0308374384236453,0.02,-0.0118796992481203,-0.02,-0.0142857142857143,-0.0147368421052632,0.132390019591652,0.1,0.0782153442556787,0.07867202449292,-0.0993906810035842,-0.0190973565441651,-0.0232604252116447,-0.0667720455989529,-0.07867202449292,-0.07867202449292,-0.0799189072859375,-0.1,-0.104347826086957,-0.1,-0.108573178199633,-0.104,-0.111943964716487,-0.108225352112676,-0.113928091700613,-0.115140212912735,-0.111522055409379,-0.0386959221064664,0.0142857142857143,0.0142857142857143,0.0149659863945578,-0.12956238498205,-0.104917413874469,0.00364302364302364,0.0053754016944201,0.0137664917009505,0.000884955752212389,-5.54831192609649e-05,-0.148676659838423,-0.00169491525423729,-0.0264437944537681,-0.0223527793065493,-0.0212658227848101,-0.02,-0.02,-0.0336622971807075,0.00196078431372549,0.00196078431372549,0,0.00188317605902931,0.102916666666667,0.1
"ILK",0.0425820181731229,-0.00961538461538461,0,-0.025,-0.05,-0.127450980392157,-0.1,-0.0333333333333333,-0.133333333333333,-0.0826960245991654,0.1,0.13047619047619,0.0801038961038961,-0.0787886459905546,-0.0823076923076923,-0.0293914053426249,0.017989417989418,-0.0801038961038961,-0.0801038961038961,-0.0814737591175947,-0.2,-0.211111111111111,-0.2,-0.206763285024155,-0.211111111111111,-0.205224823485693,-0.206763285024155,-0.20917962574558,-0.213921893786817,-0.205224823485693,-0.13949532525525,0.0417366946778711,0.0476190476190476,0.0335399733663957,-0.156108551202672,-0.150689565443664,-0.0382367149758454,-0.0275210084033613,0.114630467571644,0.0346618647458984,0.0338618647458984,-0.152807525713749,0.0460330272760905,-0.0442105263157895,0.0061965811965812,0.00897435897435898,0.1,0.0166666666666667,0.0160669975186104,-0.0466470588235294,-0.0426470588235294,-0.025,0.1172332541185,0.1722488112047,0.169517543859649
"AKT",0.0416756737622468,-0.0160669975186104,-0.1,-0.00961538461538461,-0.0166666666666667,-0.114630467571644,-0.133333333333333,-0.0476190476190476,-0.127450980392157,-0.0799664960631852,0.2,0.133003266288465,0.0814737591175947,-0.0801585090042532,-0.0800854700854701,-0.0278876459441286,0.0196023212152244,-0.0814737591175947,-0.0814737591175947,-0.0874978555031369,-0.211111111111111,-0.206763285024155,-0.211111111111111,-0.205224823485693,-0.206763285024155,-0.20917962574558,-0.205224823485693,-0.213921893786817,-0.216844970709894,-0.208018119575078,-0.142222597982523,0.0335399733663957,0.0417366946778711,0.0310083277967755,-0.160695707165975,-0.153441859021645,-0.0399911009407577,-0.0281421264157837,0.00351935646053293,0.0338618647458984,0.0389123697964034,-0.156124108628322,0.0407698693813537,-0.046859532938306,0.0061965811965812,0.0061965811965812,0.05,0.00897435897435898,0.0197255341039763,-0.0425820181731229,-0.0466470588235294,-0.0426470588235294,0.120441810268233,0.173618674218399,0.168662843004948
