"","CDC42","ZEB2","ZEB1","TGFR","FOXC2","TGF","SOSGRB2","GSK3","SNAI1","MEK","ERK","cfos","miR200","TWIST1","SMAD","RKIP","NFB","IKK","AKT","STAT","SHH","Patched","Csn","SMO","CD44","TrCP","FUS","TCFLEF","GLI","AXIN2","Csl","RAS","RAF","PI3K","DELTA","Ecadherin","cateninmemb","NOTCHic","Destcompl","SNAI2","NOTCH","Wnt","cateninnuc","SUFU","Jagged","cMet","Frizzled","SRC","DSH","ILK","LIV1","HEY1","EGR1","KLF4","PAK1"
"Frizzled",-0.0866666666666667,-0.191646424326794,-0.191646424326794,-0.0997101449275362,-0.113396102061953,-0.0987577639751553,-0.181818181818182,-0.0860188087774295,-0.0436680469289165,-0.0840087145969499,-0.0654901960784314,-0.106666666666667,-0.0862152777777778,-0.0525910364145658,-0.0585396708630788,0.00571428571428572,0.0866666666666667,0.0366666666666667,0.0491666666666667,0,-0.0670786203044268,-0.0638528138528139,0.0666666666666667,-0.0590909090909091,0.0548872180451128,0.1,-0.05,0.0595229796345167,0.0548872180451128,0.0477801268498943,-0.114285714285714,0.0512685615255031,0.0489063568010936,0.0489063568010936,0.0489063568010936,-0.0280977545926405,0.0199663707290826,0.114285714285714,-0.0230959460367313,0.00795659741107364,0.128011204481793,-0.0513157894736842,-0.054761074872612,0,0.0542349970291147,-0.0513157894736842,-0.025,-0.025,0.1,0.0519976147883125,-0.1,0.0592580469176214,0.0666666666666667,0.184593837535014,0.0666666666666667
"Ecadherin",-0.258787878787879,-0.186740935835546,-0.186740935835546,-0.25830007390983,-0.269466582498225,-0.257395914777823,-0.00161897023863259,-0.114196354770043,-0.160712856917796,0.0382023999852987,0.0401631842990242,0.047379679144385,-0.127656814528323,-0.269236766835847,-0.070411060813419,-0.160231528770855,-0.115238095238095,-0.118941798941799,-0.122837902837903,-0.227450980392157,0.192702777072221,0.196639784946237,-0.12,0.204166666666667,-0.214690616388112,-0.1,0.216666666666667,-0.212324489364451,-0.215952985203705,-0.104831534784181,0.213301435406699,-0.0961419441003733,-0.0967006033182504,-0.0967006033182504,-0.0967006033182504,0.0525297251493153,-0.0307884854531196,-0.208146796231441,0.103306981277741,0.126814456132228,-0.203314082476794,0.219952985203705,0.211390782548391,-0.233333333333333,-0.201624355286472,0.219038442475069,0.225125398996808,0.225125398996808,0.227450980392157,0.068231884057971,0.233333333333333,0.0312723991365918,-0.0709090909090909,0.149413970932958,0.257454545454545
"cateninmemb",-0.258787878787879,-0.186740935835546,-0.186740935835546,-0.25830007390983,-0.269466582498225,-0.257395914777823,-0.00161897023863259,-0.114196354770043,-0.160712856917796,0.0382023999852987,0.0401631842990242,0.047379679144385,-0.127656814528323,-0.269236766835847,-0.070411060813419,-0.160231528770855,-0.115238095238095,-0.118941798941799,-0.122837902837903,-0.227450980392157,0.192702777072221,0.196639784946237,-0.12,0.204166666666667,-0.214690616388112,-0.1,0.216666666666667,-0.212324489364451,-0.215952985203705,-0.104831534784181,0.213301435406699,-0.0961419441003733,-0.0967006033182504,-0.0967006033182504,-0.0967006033182504,0.0589490144846086,-0.119909026370398,-0.208146796231441,0.103306981277741,0.126814456132228,-0.203314082476794,0.219952985203705,0.211390782548391,-0.233333333333333,-0.201624355286472,0.219038442475069,0.225125398996808,0.225125398996808,0.227450980392157,0.068231884057971,0.233333333333333,0.0312723991365918,-0.0709090909090909,0.149413970932958,0.257454545454545
"FUS",-0.1,-0.18621538248241,-0.18621538248241,-0.110810810810811,-0.0464246823956443,-0.110810810810811,-0.203441295546559,-0.0196203402619612,-0.0873605193751268,-0.182885620126999,-0.172540792540793,-0.187692307692308,-0.0826702833031947,-0.00801537601660792,-0.0708858166922683,-0.0411912943871707,0.0357142857142857,0.0157142857142857,0.0234065934065934,0.05,-0.0438636363636364,-0.0408333333333333,0.05,-0.0408333333333333,0.0687486515641856,0.1,-0.0533333333333333,0.0672448921656893,-0.036965811965812,0.00927912667043102,-0.190909090909091,-0.0205791885072377,-0.0236359570661896,-0.0236359570661896,-0.0236359570661896,0.00168323259905028,0.0914483964864948,0.180909090909091,-0.00644257570076616,-0.0040678275891549,0.19,0.0388888888888889,-0.0669731530352545,-0.0666666666666667,0.116560846560847,-0.0677777777777778,0.05,-0.0566666666666667,0.05,0.0650793650793651,-0.1,0.0776716037585603,0.18,0.192531876138434,0.0666666666666667
"HEY1",-0.257454545454545,-0.18484520123839,-0.18484520123839,-0.258787878787879,-0.269237749546279,-0.25830007390983,0.00495997712978846,-0.114196354770043,-0.160712856917796,0.0401631842990242,0.047379679144385,0.0709090909090909,-0.126353276353276,-0.270540305010893,-0.068231884057971,-0.160606060606061,-0.12,-0.115238095238095,-0.118941798941799,-0.233333333333333,0.196639784946237,0.204166666666667,-0.1,0.216666666666667,-0.219038442475069,-0.1,0.233333333333333,-0.214690616388112,-0.219952985203705,-0.106274833753253,0.229090909090909,-0.0967006033182504,-0.0974358974358974,-0.0974358974358974,-0.0974358974358974,0.152529725149315,-0.0316859213505555,-0.213301435406699,0.103866161147265,0.128199164139452,-0.208146796231441,0.225125398996808,0.212324489364451,-0.2,-0.205514515469538,0.225125398996808,0.227450980392157,0.227450980392157,0.233333333333333,0.0653333333333333,0.233333333333333,0.0292589763177998,-0.08,0.148148148148148,0.245454545454545
"FOXC2",-0.257454545454545,-0.18484520123839,-0.18484520123839,-0.258787878787879,-0.269237749546279,-0.25830007390983,0.00495997712978846,-0.114196354770043,-0.160712856917796,0.0401631842990242,0.047379679144385,0.0709090909090909,-0.126353276353276,-0.270540305010893,-0.068231884057971,-0.160606060606061,-0.12,-0.115238095238095,-0.118941798941799,-0.233333333333333,0.196639784946237,0.204166666666667,-0.1,0.216666666666667,-0.219038442475069,-0.1,0.233333333333333,-0.214690616388112,-0.219952985203705,-0.106274833753253,0.229090909090909,-0.0967006033182504,-0.0974358974358974,-0.0974358974358974,-0.0974358974358974,0.152529725149315,-0.0316859213505555,-0.213301435406699,0.103866161147265,0.128199164139452,-0.208146796231441,0.225125398996808,0.212324489364451,-0.2,-0.205514515469538,0.225125398996808,0.227450980392157,0.227450980392157,0.233333333333333,0.0653333333333333,0.233333333333333,0.0292589763177998,-0.08,0.148148148148148,0.245454545454545
"DSH",-0.0997101449275362,-0.184559810153566,-0.184559810153566,-0.0987577639751553,-0.104305192971044,-0.0907438266929253,-0.18669623059867,-0.084394678847035,-0.0474361628709455,-0.0877681130931905,-0.0840087145969499,-0.0654901960784314,-0.08133722899729,-0.0447896179748495,-0.0581623123725128,0.012007992007992,0.0366666666666667,0.0491666666666667,0.0549137931034483,0.025,-0.0726000926970648,-0.0670786203044268,0.0866666666666667,-0.0638528138528139,0.0595229796345167,0.0666666666666667,-0.0590909090909091,0.054761074872612,0.0594623814438056,0.0498898314912445,-0.114285714285714,0.0526691217495927,0.0512685615255031,0.0512685615255031,0.0512685615255031,-0.0276587730298661,0.012545876029436,0.128011204481793,-0.0223325872581053,0.00993564281270344,0.128710505181093,-0.0548872180451128,-0.0552063108476788,0.05,0.059661353618262,-0.0548872180451128,-0.0513157894736842,-0.0513157894736842,-0.025,0.0585396708630788,0,0.0662755907772705,0.106666666666667,0.191389954039868,0.0866666666666667
"Wnt",-0.0666666666666667,-0.182735533237685,-0.182735533237685,-0.0866666666666667,-0.108744939271255,-0.0997101449275362,-0.154545454545455,-0.080564263322884,-0.0563664596273292,-0.0654901960784314,-0.106666666666667,-0.0666666666666667,-0.0877777777777778,-0.0573529411764706,-0.0519976147883125,-0.005,0.0666666666666667,0.0866666666666667,0.0366666666666667,0.1,-0.0638528138528139,-0.0590909090909091,0.1,-0.05,0.0513157894736842,0.1,0,0.0548872180451128,0.0513157894736842,0.0454545454545455,-0.1,0.0489063568010936,0.0443609022556391,0.0443609022556391,0.0443609022556391,-0.0180744445693305,0.00822033898305085,0.114285714285714,-0.0233611980261212,0.00637931034482758,0.114285714285714,-0.025,-0.0595229796345167,0,0.0552450980392157,-0.025,0.1,0,0,0.058974358974359,0,0.0656410256410257,0.1,0.16078431372549,0.1
"SMO",-0.0666666666666667,-0.181920903954802,-0.181920903954802,-0.1,-0.0437931034482759,-0.110810810810811,-0.184210526315789,-0.0192858921014261,-0.089247311827957,-0.172540792540793,-0.187692307692308,-0.18,-0.0826702833031947,-0.00958605664488017,-0.0650793650793651,-0.0422222222222222,0.05,0.0357142857142857,0.0157142857142857,0.1,-0.0408333333333333,-0.0408333333333333,0.1,-0.0533333333333333,0.0677777777777778,0,0.0666666666666667,0.0687486515641856,-0.0388888888888889,0.00865800865800866,-0.2,-0.0236359570661896,-0.0259615384615385,-0.0259615384615385,-0.0259615384615385,0.00661473944836535,0.0897724188328635,0.190909090909091,-0.00746447351098514,-0.00604269293924467,0.180909090909091,0.05,-0.0672448921656893,-0.1,0.116560846560847,-0.0566666666666667,0.05,-0.05,0,0.0666666666666667,-0.1,0.0791208791208791,0.2,0.177777777777778,0.0666666666666667
"Patched",-0.0666666666666667,-0.166666666666667,-0.166666666666667,-0.0666666666666667,-0.03,-0.1,-0.2,-0.0183150183150183,-0.089247311827957,-0.187692307692308,-0.18,-0.2,-0.0738095238095238,-0.0037037037037037,-0.0666666666666667,-0.02,0.1,0.05,0.0357142857142857,0.1,-0.0408333333333333,-0.0533333333333333,0,0.0666666666666667,0.0566666666666667,0,0.1,0.0677777777777778,-0.05,0.00865800865800866,-0.2,-0.0259615384615385,-0.0384615384615385,-0.0384615384615385,-0.0384615384615385,0.00181769147788565,0.0936559139784946,0.2,-0.00591408591408592,-0.00413793103448276,0.190909090909091,0.05,-0.0687486515641856,-0.2,0.109417989417989,-0.05,0,-0.1,0,0.0666666666666667,-0.1,0.0743589743589744,0.1,0.161111111111111,0.166666666666667
"SHH",-0.166666666666667,-0.15,-0.15,-0.0666666666666667,0,-0.0666666666666667,-0.2,-0.0230769230769231,-0.0666666666666667,-0.18,-0.2,-0.1,-0.0666666666666667,0,-0.0666666666666667,-0.02,0,0.1,0.05,0.1,-0.0533333333333333,0.0666666666666667,0,0.1,0.05,0,0.2,0.0566666666666667,-0.05,-0.00952380952380952,-0.1,-0.0384615384615385,0,0,0,0.0105555555555556,0.076989247311828,0.2,-0.00701298701298702,-0.0108045977011494,0.2,0,-0.0677777777777778,-0.2,0.105714285714286,-0.1,0,-0.1,0,0.0666666666666667,0,0.0666666666666667,0,0.15,0.2
"cateninnuc",-0.194461538461538,-0.134431587737087,-0.134431587737087,-0.193312113174182,-0.205692651610684,-0.191783728894706,-0.0515282026420188,-0.0109428177915475,-0.0125338301865226,0.0210421949744252,0.0224183417634161,0.0211525189786059,-0.0864487494927067,-0.0904601108307741,-0.0521520506172621,-0.0111095827249673,-0.0299242424242424,-0.0339242424242424,-0.0323617424242424,-0.0575757575757576,0.0474887656812943,0.0498852798425144,-0.0208333333333333,0.0517486338797814,-0.0447910784867307,-0.0333333333333333,0.0566666666666667,-0.0447163958877762,-0.0462798021910589,0.00174816770789066,0.142435655994978,-0.00122750122750122,-0.00156420156420156,-0.00156420156420156,-0.00156420156420156,-0.120266283845475,-0.116139615795838,-0.13778449320428,-0.00212052433870601,0.0117346728608448,-0.136420856840644,0.047465572942047,-0.0547036538222486,-0.0666666666666667,-0.0348685950451828,0.0459815546772069,0.0507264425072644,0.0492424242424242,0.0575757575757576,0.0525613275613276,0.0575757575757576,0.0266578804344947,-0.0195652173913043,0.102491103202847,0.196
"SNAI2",-0.150980392156863,-0.124392909586742,-0.124392909586742,-0.151835093011564,-0.170617662249396,-0.151213974999141,0.0335023664638269,-0.0812438094701476,-0.0990007091856512,0.0562533121356651,0.0549019607843137,0.0725490196078431,-0.0981661275720058,-0.133322938522292,-0.0446590227168433,-0.099974358974359,-0.0916666666666667,-0.0813218390804598,-0.0873459354660019,-0.110909090909091,0.0960867727372639,0.10031212484994,-0.0666666666666667,0.102352941176471,-0.106274833753253,-0.1,0.12,-0.104831534784181,-0.106826843413422,-0.0782124464605437,0.13859649122807,-0.0744261315854592,-0.073969510580893,-0.073969510580893,-0.073969510580893,0.0463050962478645,0.0223189785505591,-0.126315789473684,0.0762851484275798,0.0113105975466447,-0.127614490772385,0.109500640204866,0.103899857765547,-0.1,-0.0985726692824128,0.109500640204866,0.110909090909091,0.110909090909091,0.110909090909091,0.0451374916163649,0.12,0.0206148282097649,-0.0666666666666667,0.107692307692308,0.150980392156863
"Destcompl",-0.139824067558058,-0.118593674287476,-0.118593674287476,-0.138245120189637,-0.135842556370941,-0.136176154672395,-0.0568122701857147,-0.016937282547702,-0.0372575982874149,-0.0436522100020751,-0.0449180327868852,-0.04,-0.0875900244075564,-0.0145713469900111,-0.0344778613199666,-0.0265498199879773,0.010351966873706,0.0148564713782105,0.0135141894990159,0.00317460317460317,0.0412660892104667,0.0426200543942191,0.019047619047619,0.0452107279693487,0.00914645623805305,0.0333333333333333,0.0452107279693487,0.00777659322435442,0.00881346451670607,-0.0189266435751784,0.00687034860947904,0.0415522325749106,0.041395246703639,0.041395246703639,0.041395246703639,-0.0341623483811875,-0.0139694656095003,-0.00795730513121817,-0.0859065675126167,0.0231583085531835,-0.0057528963135829,-0.00751476321800477,-0.00843952030237584,-0.0555555555555556,0.0183073239838782,-0.00802705325297842,-0.0045444661883018,-0.0045444661883018,-0.00317460317460317,0.0341269841269841,0.0111111111111111,0.0316860916860917,0.04,0.115561533062694,0.137755102040816
"RAS",-0.06,-0.0037739322533137,-0.0037739322533137,-0.0364705882352941,-0.0355555555555555,-0.043401281304601,-0.171861471861472,-0.0374418604651163,-0.0554572271386431,-0.0920175438596491,-0.0586842105263158,-0.085,0.0395076923076923,-0.134566284779051,-0.116759431045145,0.0917547169811321,0.0333333333333333,0.0133333333333333,0.0355555555555555,-0.1,-0.105028248587571,-0.103333333333333,0,-0.0833333333333333,-0.0433041301627034,0,-0.1,-0.0309964378550111,-0.0411764705882353,-0.0386034255599473,-0.1,-0.0714102564102564,0.0266666666666667,0.0266666666666667,0.0266666666666667,-0.0774139888717894,-0.0533548947388887,0.0947368421052632,0.033551379481612,0.0108486982954588,0.100397219463754,0.0411764705882353,0.0290134350221499,0.1,0.078742361521782,0.0411764705882353,0,0,0.1,0.114718614718615,0,0.113438735177866,0.06,0.00892857142857143,0.06
"miR200",-0.0884803921568627,0.0736335125448029,0.0736335125448029,-0.0949320050600885,-0.0745468082053448,-0.096094795757763,0.00239845261121857,-0.0731091854143536,-0.0473672623672624,0.0036178107606679,0.00974025974025974,0.0142857142857143,-0.0155173883646412,-0.163962703962704,-0.0109497990791857,-0.0425778179864861,-0.0252631578947368,-0.0281203007518797,-0.0281203007518797,-0.22,0.0346399743166391,0.0379008438818565,-0.02,0.0391666666666667,-0.221815779877113,0,0.0325,-0.220228478289812,-0.221492648196874,-0.139740184393406,0.0732019704433498,-0.119586061635044,-0.119835438193647,-0.119835438193647,-0.119835438193647,0.212639785259861,0.0792890099405678,-0.0766502463054187,0.137507866344997,0.135663812150183,-0.0738253875483566,0.222591549295775,0.21871332677466,-0.02,-0.0591867497802286,0.222939375382731,0.224,0.224347826086957,0.22,0.00812848246476565,0.2,0.00336158192090395,-0.0142857142857143,-0.0797964113181504,0.0708333333333333
"TWIST1",0.0159456635318704,0.0820074460425338,0.0820074460425338,0.0196956635318704,0.0611388236669557,0.0212901965614832,0.189655577069765,-0.0955875437109767,0.0544811460959761,0.13092546421212,0.132418001525553,0.13768115942029,0.0740628166160081,-0.134574071047183,0.115654132980866,0.0329442916399438,0.0923076923076923,0.0970695970695971,0.0970695970695971,-0.166666666666667,0.255108801763502,0.258557077625571,0.1,0.262666666666667,-0.159385057962346,0.1,0.266666666666667,-0.158006803751014,-0.160858479532164,-0.111112382241415,0.151111111111111,-0.00763292069657037,-0.00592059192944709,-0.00592059192944709,-0.00592059192944709,0.168211899721144,0.0578955606068543,-0.143418803418803,0.11112248448636,0.0343661139136485,-0.141532010965973,0.160058479532164,0.157144239058662,-0.233333333333333,-0.162475404324471,0.158983451536643,0.161111111111111,0.161111111111111,0.166666666666667,-0.115984165984166,0.166666666666667,-0.137635810517166,-0.133333333333333,-0.0941421721909527,-0.0193939393939394
"AXIN2",0.108348765432099,0.0829506020507305,0.0829506020507305,0.110118676936524,0.101376157020185,0.108468511920022,0.0315375352402,0.0333240235482798,0.0418339144174649,0.0464599954410759,0.0464599954410759,0.0380487804878049,0.0723741873768979,0.02963025430233,0.0190878766965723,0.0379648666745441,-0.0251207729468599,-0.0294685990338164,-0.0305797101449275,0.0266666666666667,-0.0487891070677956,-0.0517399267399267,-0.0555555555555556,-0.0481684981684982,0.0185749436924117,0,-0.0576923076923077,0.0189266435751784,0.0188983371412144,-0.064601809169385,-0.0105263157894737,-0.0454398850160096,-0.0454398850160096,-0.0454398850160096,-0.0454398850160096,0.0122746349316323,0.0220716203894249,-0.00018796992481203,-0.0317724133562087,-0.0338302042138337,0.0045417598049177,-0.0214140604116546,-0.019661619796536,0.05,0.00824995803256673,-0.0214140604116546,-0.0196899224806202,-0.0196899224806202,-0.0266666666666667,-0.0210720036806993,-0.0333333333333333,-0.0206824761591496,-0.06,-0.0832184440890372,-0.109583333333333
