"","cMet","Frizzled","CD44","DSH","Wnt","PI3K","DELTA","Csl","EGR1","ZEB2","SOSGRB2","SNAI2","SMAD","SMO","FOXC2","cfos","TGFR","SNAI1","RKIP","FUS","TGF","Patched","MEK","CDC42","SHH","ERK","PAK1","AKT","NFB","IKK","HEY1","KLF4","ILK","SUFU","TWIST1","GSK3","Csn","ZEB1","NOTCH","TrCP","NOTCHic","miR200","Ecadherin","Jagged","RAS","RAF","Destcompl","LIV1","cateninmemb","GLI","cateninnuc","TCFLEF","STAT","SRC","AXIN2"
"RKIP",0.180701754385965,0.133333333333333,0.19608636977058,0.1,0.173333333333333,0.0331168831168831,0.0331168831168831,0.255555555555556,0.22,-0.0576805356288857,0.090984126984127,-0.0580206329777933,0.130719971868817,0.106666666666667,0.215030946065429,0.22,0.020952380952381,0.148387549049063,0.197899159663866,0.166666666666667,0.0443168669336894,0.102666666666667,0.20958180484226,0.04,0.117420765027322,0.237241379310345,0.0333333333333333,-0.208766233766234,-0.242857142857143,-0.217857142857143,-0.147812620983353,-0.0476805356288857,-0.16339323919555,-0.1,0.0963814616755793,0.0421985815602837,-0.2,0.0576805356288857,-0.258003108003108,-0.2,-0.246464646464646,-0.12742901971511,-0.176145454327411,-0.213911795618077,-0.0425185925185925,-0.0331168831168831,-0.0971441538287789,0,-0.231105054634466,-0.188717948717949,-0.207463796415182,-0.210771684455895,-0.1,-0.133333333333333,-0.224730426629161
"RAF",0.180701754385965,0.133333333333333,0.19608636977058,0.1,0.173333333333333,0.0331168831168831,0.0331168831168831,0.255555555555556,0.22,-0.0576805356288857,0.090984126984127,-0.0580206329777933,0.130719971868817,0.106666666666667,0.215030946065429,0.22,0.020952380952381,0.148387549049063,0.197899159663866,0.166666666666667,0.0443168669336894,0.102666666666667,0.20958180484226,0.04,0.117420765027322,0.237241379310345,0.0333333333333333,-0.208766233766234,-0.242857142857143,-0.217857142857143,-0.147812620983353,-0.0476805356288857,-0.16339323919555,-0.1,0.0963814616755793,0.0421985815602837,-0.2,0.0576805356288857,-0.258003108003108,-0.2,-0.246464646464646,-0.12742901971511,-0.176145454327411,-0.213911795618077,-0.0425185925185925,-0.0331168831168831,-0.0971441538287789,0,-0.231105054634466,-0.188717948717949,-0.207463796415182,-0.210771684455895,-0.1,-0.133333333333333,-0.224730426629161
"MEK",0.19608636977058,0.173333333333333,0.210771684455895,0.133333333333333,0.188717948717949,0.0425185925185925,0.0425185925185925,0.246464646464646,0.22,-0.0576805356288857,0.115428571428571,-0.0645899760434868,0.142897093640035,0.102666666666667,0.21593184696633,0.237241379310345,0.0443168669336894,0.132361908023422,0.204478107032287,0.106666666666667,0.0501562829920835,0.117420765027322,0.11958180484226,0.020952380952381,0.0906233794064073,0.20958180484226,-0.04,-0.226413292589763,-0.217857142857143,-0.208766233766234,-0.113267166437898,-0.0594452415112386,-0.130719971868817,-0.166666666666667,0.0916195569136746,0.037530276891979,-0.242857142857143,0.0576805356288857,-0.274791429170991,-0.2,-0.258003108003108,-0.128977007331209,-0.172502467077866,-0.208993762831192,-0.0561693861693862,-0.0425185925185925,-0.0944244885568124,-0.1,-0.230129444878369,-0.203403263403263,-0.209322532474662,-0.207463796415182,-0.133333333333333,-0.180701754385965,-0.24364934554808
"SHH",-0.2,-0.2,-0.1,-0.2,-0.3,-0.25,-0.25,-0.1,0,-0.05,0.1,-0.0517241379310345,0.0666666666666667,0.3,0.375,0.1,0,0.25,0.26,0.2,-0.04,0.4,0.2,-0.1,0.28,0.1,0,-0.2,0,-0.1,0,-0.05,0,-0.2,0.175,0.0102564102564103,0,0.05,-0.0333333333333333,0,0,-0.166666666666667,-0.165833333333333,0.0657142857142857,0.226923076923077,0.25,0.0345454545454545,0,-0.00458781362007168,0.2,0.0511111111111111,0.106666666666667,0.1,0.1,0.285714285714286
"ERK",0.210771684455895,0.188717948717949,0.207463796415182,0.173333333333333,0.203403263403263,0.0561693861693862,0.0561693861693862,0.258003108003108,0.237241379310345,-0.0490191183060511,0.100865464632455,-0.0600814097675625,0.137122017652193,0.117420765027322,0.205162616197099,0.20958180484226,0.0501562829920835,0.132361908023422,0.186929360514181,0.102666666666667,0.0479584807942813,0.0906233794064073,0.113175119605491,0.0443168669336894,0.093521930131045,0.11958180484226,-0.020952380952381,-0.206229806351231,-0.208766233766234,-0.226413292589763,-0.125212558929366,-0.0602204353096883,-0.142897093640035,-0.106666666666667,0.0859330104504291,0.0399825929682733,-0.217857142857143,0.0490191183060511,-0.268420238035257,-0.242857142857143,-0.274791429170991,-0.122849556350817,-0.171644245313362,-0.212005811023963,-0.0553993091616854,-0.0561693861693862,-0.0970174987033738,-0.133333333333333,-0.229209481676897,-0.199142611774191,-0.206614199141329,-0.209322532474662,-0.180701754385965,-0.19608636977058,-0.248364792702551
"FUS",-0.0511111111111111,-0.2125,-0.0559654800431499,-0.2,-0.156944444444444,-0.219219588550984,-0.219219588550984,0.0606060606060606,0.2,-0.048883054313542,0.0902159244264507,-0.00496069431301277,0.0626676907322068,0.305,0.363185117967332,0.207692307692308,-0.0177027027027027,0.250036228733733,0.288006872852234,0.28,0.00782921219091431,0.305,0.204975484285829,-0.015,0.289848484848485,0.210722610722611,0.04,-0.205714285714286,-0.185714285714286,-0.205714285714286,-0.0592928810320115,-0.0289162112932605,-0.0646031746031746,-0.4,0.162180759447467,0.0213698922436786,-0.2,0.048883054313542,-0.0933333333333333,-0.1,-0.0706060606060606,-0.172882984500982,-0.163825607763326,0.00764550264550266,0.216162819992032,0.219219588550984,0.00504384315961298,0.2,-0.0272775438123782,0.162713675213675,0.0458008020438038,0.0379203672611951,0.1,0.106666666666667,0.241914756907261
"SMO",-0.106666666666667,-0.2,-0.0511111111111111,-0.3,-0.2125,-0.233173076923077,-0.233173076923077,0.0333333333333333,0.1,-0.043361581920904,0.101754385964912,-0.025247947454844,0.0646031746031746,0.28,0.368448275862069,0.2,-0.015,0.265130568356375,0.276666666666667,0.4,-0.0177027027027027,0.305,0.210722610722611,-0.04,0.305,0.207692307692308,0,-0.205714285714286,-0.2,-0.185714285714286,-0.054945054945055,-0.0305555555555556,-0.0566666666666667,-0.3,0.15223311546841,0.013677584551371,-0.1,0.043361581920904,-0.0706060606060606,0,-0.0606060606060606,-0.167932489451477,-0.15944204611949,0.00764550264550266,0.219219588550984,0.233173076923077,0.0148248650574232,0.1,-0.0259740056373317,0.156944444444444,0.0379203672611951,0.0559654800431499,0.2,0.1,0.251231527093596
"TCFLEF",0.00502136752136752,-0.00245098039215687,0.0125685373326883,-0.0274509803921569,-0.00159627953745601,-0.136516654354199,-0.136516654354199,0.0922843934321696,0.172857142857143,-0.0420637515505937,0.0641191463227391,-0.00763200536293307,0.108724203753488,0.178095238095238,0.433436231296336,0.160662020905923,0.0447673025373525,0.242534248643035,0.249628507140561,0.173333333333333,0.0384759118088757,0.160353302611367,0.159029367844699,0.0326177698270722,0.163420787273944,0.159709639953542,-0.0256410256410256,-0.176875721753702,-0.184519480519481,-0.187745286971093,-0.0919308529197196,-0.0506541252864782,-0.108532999164578,-0.166666666666667,0.212567692275528,0.122821932633076,-0.180519480519481,0.0420637515505937,-0.0977368069557186,-0.171428571428571,-0.104049099314523,-0.156483683652358,-0.194455419555791,-0.0358353960746552,0.135333999952097,0.136516654354199,0.0674361157764641,0.0333333333333333,-0.216997418578824,-0.00461490058676759,-0.112024436530856,-0.110392134125357,0.0208333333333333,-0.00416666666666666,0.340131868131868
"Patched",-0.1,-0.3,-0.106666666666667,-0.2,-0.2,-0.226923076923077,-0.226923076923077,0,0.1,-0.0416666666666667,0.0333333333333333,-0.00239080459770115,0.0566666666666667,0.4,0.365,0.1,-0.04,0.253225806451613,0.26,0.3,-0.015,0.28,0.207692307692308,0,0.305,0.2,0.1,-0.185714285714286,-0.1,-0.2,-0.0692307692307692,-0.0388888888888889,-0.0666666666666667,-0.2,0.178703703703704,0.0340659340659341,0,0.0416666666666667,-0.0606060606060606,0,-0.0333333333333333,-0.166666666666667,-0.174571197411003,0.0397883597883598,0.233173076923077,0.226923076923077,0.00707292707292707,0.1,-0.0240322580645161,0.2125,0.0559654800431499,0.0511111111111111,0.1,0.2,0.285714285714286
"cateninnuc",-0.0634024188372015,-0.0884950665772584,-0.072926228361011,-0.0734265734265734,-0.0645820230989975,-0.228001683001683,-0.228001683001683,0.05969868173258,0.205797101449275,-0.0368215085151322,0.00126954265724808,-0.016652643984025,0.0624332213186238,0.228087431693989,0.277506706408346,0.191511387163561,-0.0217163066818239,0.0693031947476364,0.0948007187188329,0.213333333333333,-0.0107992761141383,0.218770661507654,0.194519167909119,-0.0136703296703297,0.215938417498939,0.199106323872422,0.0382857142857143,-0.264650568181818,-0.255681818181818,-0.271681818181818,-0.0605145242986288,-0.0322672384949965,-0.0696637806637807,-0.233333333333333,0.120465076572891,0.047740729767035,-0.270833333333333,0.0368215085151322,-0.0690961447346942,-0.233333333333333,-0.0631870538256033,-0.120061869046186,-0.145598361812544,0.0457680463881112,0.228843433843434,0.228001683001683,0.0190964151016075,0.127272727272727,-0.0028395166995071,0.0744634460238987,-0.0305041799760503,0.0638896338875233,0.0734265734265734,0.0873154623154623,0.276519530036957
"Destcompl",0.00784450221170728,0.0172972385301152,0.0167997260923043,-0.00873015873015873,0.00739624843110534,-0.102310665656913,-0.102310665656913,0.045789267528398,0.0912820512820513,-0.0302271192164809,-0.0258603149892634,-0.0289607845041589,0.04421888053467,0.115566502463054,0.150930104728258,0.10037296037296,0.0690499648135116,0.0580091880129562,0.0738647035688025,0.124137931034483,0.0616608022519353,0.111939559457873,0.0991555570389353,0.0590499648135116,0.113680371836983,0.0987336161106653,-0.0638775510204082,-0.120654248812988,-0.126501035196687,-0.121996530692183,-0.0357814834737912,-0.0310684841386968,-0.0426984126984127,-0.1,0.0187229222333011,0.0276743912023996,-0.104761904761905,0.0302271192164809,-0.0487887447436981,-0.133333333333333,-0.0533979631805719,-0.0932950138870075,-0.0886454070569435,-0.0266598943518895,0.100583821072925,0.102310665656913,-0.0846216725810724,-0.00555555555555556,-0.0439142516466149,-0.0161161000080998,-0.01523084524454,-0.0114572603388796,0.00873015873015873,-0.0172972385301152,0.0949471659326093
"cateninmemb",0.0176323876365511,0.0341541267669859,0.0313447622184909,0.00392156862745098,0.016912747456641,-0.0777450980392157,-0.0777450980392157,0.00727272727272727,0.0963636363636364,-0.0291346920409471,-0.0123070325900515,-0.0265484162288355,0.04323669158157,0.025,0.123136872109754,0.119893048128342,-0.0121566888396157,0.0320831864616641,0.0412047556509836,0.05,-0.0199324573748779,0.0368279569892473,0.113650881158462,-0.0263030303030303,0.0305287443908221,0.108552841942775,0.00363636363636364,-0.0956806156806157,-0.103809523809524,-0.0852910052910053,-0.0310447546926031,-0.0346929207688701,-0.0352463768115942,-0.0333333333333333,-0.00302041114397342,0.0245292065525267,-0.08,0.0291346920409471,-0.00925026914219418,-0.1,-0.0103655107778819,-0.0724979138386959,-0.0945594593362541,-0.0418556272103183,0.0729964946872604,0.0777450980392157,0.0216951993994499,-0.0333333333333333,-0.123970552892423,-0.030912747456641,-0.0282295767503642,-0.0222538531275818,-0.00392156862745098,-0.0341541267669859,0.081874123681128
"AKT",-0.185522110739502,-0.168599033816425,-0.173657703959841,-0.155555555555556,-0.185522110739502,-0.0695966316788235,-0.0695966316788235,-0.123076923076923,-0.0523809523809524,-0.0287135988755994,-0.0548717948717949,-0.0165484410582861,-0.0209544019628053,-0.0166666666666667,-0.0462376673390794,-0.0112044817927171,0.0451028216164515,0.0270923686026661,0.0150852983333802,-0.0166666666666667,0.0441964772055753,0.00833333333333333,-0.0173260837848317,0.0394117647058824,0.000964912280701756,-0.0325159572025532,-0.0794117647058824,0.0672654143242379,0.172549019607843,0.190497737556561,0.0282317133768737,-0.0207602339181287,0.0387995198079232,0,0.0367185048660524,0.000932520287358999,0.166666666666667,0.0287135988755994,0.131888882164256,0.233333333333333,0.139205955334988,0.0600951525734554,0.129118532934997,0.0946578366445916,0.0664641015583415,0.0695966316788235,0.056442739508283,0.1,0.156905069139901,0.172672948728329,0.169562541390452,0.175101002928913,0.155555555555556,0.168599033816425,0.228686608217294
"STAT",-0.0220779220779221,-0.0357142857142857,-0.0126762126762127,-0.0857142857142857,-0.0220779220779221,-0.0749638130686518,-0.0749638130686518,0.0176470588235294,0.233333333333333,-0.0263492917339071,-0.0572660098522168,-0.0448204205339021,0.0825059692376034,0.095,0.30345466939332,0.233333333333333,0.0151614832535885,0.199623610769254,0.206657014157014,0.075,0.00791510644199431,0.0647674418604651,0.239721695129665,-0.00852272727272727,0.0709621321259518,0.245098039215686,0.0272727272727273,-0.0751654560129136,-0.07,-0.0938095238095238,-0.0833333333333333,0.0632204396910279,-0.0836553945249597,-0.05,0.201448626336183,0.0937716955941255,-0.05,0.0263492917339071,-0.0479278250266257,-0.1,-0.0527821939586645,-0.131062238671391,-0.100697319080969,-0.0607219329209334,0.0734712757552189,0.0749638130686518,0.0420731859789635,0.2,-0.00203615354071752,0.0145148968678381,0.0131807941405517,0.0142534997424587,0.0857142857142857,0.0357142857142857,0.0691951186068833
"NFB",-0.121111111111111,-0.138034188034188,-0.10924670433145,-0.161111111111111,-0.121111111111111,-0.136410964273238,-0.136410964273238,-0.00519480519480519,0.0857142857142857,-0.0252277244836229,-0.0965745245466608,-0.0328665688349067,-0.0246364320446915,-0.0288888888888889,0.149998907688151,0.129714285714286,0.0228606060606061,0.102708200200619,0.118313016673672,-0.04,0.0329871883390871,0.0021455938697318,0.13415873015873,0.00606060606060606,-0.0207459723953284,0.123047619047619,-0.0333333333333333,-0.0631874731874732,-0.0261904761904762,-0.0342985842985843,0.0432662538699691,-0.0175824175824176,0.0406215621562156,0,0.133734827264239,0.125516052574876,0.0571428571428571,0.0252277244836229,-0.0329618768328446,0.1,-0.00909090909090909,-0.113608638395188,0.031091151829316,0.0695606476393393,0.12695822795483,0.136410964273238,-0.00415260535132547,0.15,0.116330744592795,0.108751560549313,0.105235783507424,0.10798088154664,0.161111111111111,0.138034188034188,0.159133738601824
"PI3K",-0.168599033816425,-0.155555555555556,-0.185522110739502,-0.1,-0.168599033816425,-0.0545281385281385,-0.0545281385281385,-0.1,-0.0666666666666667,-0.0225492153139556,-0.0815384615384615,-0.00901075261607506,-0.0387995198079232,-0.0166666666666667,-0.0612752613240418,-0.0523809523809524,0.0394117647058824,0.0273429951690821,-0.00416936005171299,0,0.0451028216164515,-0.0166666666666667,-0.0325159572025532,0.0794117647058824,0.00833333333333333,-0.0112044817927171,-0.05,0.190497737556561,0.166666666666667,0.172549019607843,0.00642720209867824,-0.00964912280701754,0.0187995198079232,0.1,0.0345778320831778,0.00657768157768158,0.233333333333333,0.0225492153139556,0.139205955334988,0.2,0.123076923076923,0.0665122648729206,0.1271488359653,0.0933333333333333,0.0695966316788235,0.0545281385281385,0.0527206551410373,0.1,0.158841868324407,0.185522110739502,0.175101002928913,0.173657703959841,0.1,0.155555555555556,0.229047619047619
"ILK",-0.168599033816425,-0.155555555555556,-0.185522110739502,-0.1,-0.168599033816425,-0.0545281385281385,-0.0545281385281385,-0.1,-0.0666666666666667,-0.0225492153139556,-0.0815384615384615,-0.00901075261607506,-0.0387995198079232,-0.0166666666666667,-0.0612752613240418,-0.0523809523809524,0.0394117647058824,0.0273429951690821,-0.00416936005171299,0,0.0451028216164515,-0.0166666666666667,-0.0325159572025532,0.0794117647058824,0.00833333333333333,-0.0112044817927171,-0.05,0.190497737556561,0.166666666666667,0.172549019607843,0.00642720209867824,-0.00964912280701754,0.0187995198079232,0.1,0.0345778320831778,0.00657768157768158,0.233333333333333,0.0225492153139556,0.139205955334988,0.2,0.123076923076923,0.0665122648729206,0.1271488359653,0.0933333333333333,0.0695966316788235,0.0545281385281385,0.0527206551410373,0.1,0.158841868324407,0.185522110739502,0.175101002928913,0.173657703959841,0.1,0.155555555555556,0.229047619047619
"IKK",-0.138034188034188,-0.161111111111111,-0.121111111111111,-0.15,-0.138034188034188,-0.142044767090139,-0.142044767090139,0.00909090909090909,0.1,-0.0217794486215539,-0.127100840336134,-0.0300210403796222,-0.0406215621562156,-0.04,0.144819624819625,0.0857142857142857,0.00606060606060606,0.116680802940345,0.100364298724954,0,0.0228606060606061,-0.0288888888888889,0.123047619047619,0.0333333333333333,0.0021455938697318,0.129714285714286,0,-0.0342985842985843,0.0571428571428571,-0.0261904761904762,0.0182662538699691,-0.00989010989010989,0.0138888888888889,0.1,0.134052287581699,0.126300366300366,0.1,0.0217794486215539,-0.00909090909090909,0,0.00519480519480519,-0.108472686733556,0.029967556323698,0.0674023742580444,0.136410964273238,0.142044767090139,-0.004817057178568,0.1,0.118125887148234,0.121111111111111,0.10798088154664,0.10924670433145,0.15,0.161111111111111,0.171190476190476
"GLI",0.231007081038552,0.0961290322580645,0.226696736210966,0.08,0.0973055028462998,0.046272028169482,0.046272028169482,0.125623342175066,0.0628571428571429,-0.0160124594640724,-0.00108646515726161,0.0212403037880863,0.0197987060843664,0.0761278195488722,0.219499161506708,0.0795238095238095,-0.00898612014747343,0.101773614168947,0.114307767703994,0.139285714285714,0.00442564455840893,0.0944951664876477,0.047780966731243,0.00925287356321839,0.0899684175164543,0.0704329004329004,0.0183333333333333,-0.024515902852369,-0.0652046783625731,-0.018265902852369,-0.0379465280993295,-0.0062968682968683,-0.0425014087870691,-0.114285714285714,0.041749531359039,-0.120475572030487,-0.0388888888888889,0.0160124594640724,-0.108837627889352,-0.05,-0.103123342175066,-0.111510677145352,-0.157430663526466,-0.13333965431679,-0.0492423251991849,-0.046272028169482,-0.142185740955499,-0.15,-0.21484788542473,-0.194326779442044,-0.22036760509104,-0.223774658288888,-0.21,-0.226129032258065,-0.266719504830918
