"","KLF4","SHH","TGFR","SMO","NOTCHic","FUS","SNAI2","cateninnuc","NFB","cateninmemb","Destcompl","Ecadherin","SUFU","CD44","Csn","cMet","TrCP","SRC","STAT","DSH","cfos","LIV1","RAF","PI3K","DELTA","RAS","SOSGRB2","EGR1","ERK","MEK","Frizzled","Wnt","GLI","AXIN2","TCFLEF","Csl","PAK1","IKK","GSK3","TWIST1","AKT","NOTCH","CDC42","RKIP","Patched","SNAI1","Jagged","TGF","FOXC2","ILK","HEY1","SMAD","ZEB2","ZEB1","miR200"
"DELTA",0.477777777777778,0.227564102564103,0.288888888888889,0.133333333333333,-0.02,0.1,0.0566867772750126,-0.0582550782550783,0.1,-0.0354966160599963,-0.110177606177606,0.0816491228070175,0,-0.0876923076923077,0,-0.08,0,-0.1,0,0,0,0,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0224242424242424,-0.2,-0.1,-0.06,-0.0933333333333333,0.1,0.08,0.0876923076923077,0.124285714285714,0.0725407925407925,0,-0.2,-0.133333333333333,0.0256704980842912,-0.129,-0.166666666666667,-0.00857142857142857,-0.3,-0.241025641025641,-0.158333333333333,-0.291666666666667,-0.158787878787879,-0.308888888888889,-0.334285714285714,-0.3,-0.2,-0.352380952380952,-0.5256038647343,-0.5256038647343,-0.535151515151515
"STAT",0.405258467023173,0.208299718734993,0.169108851674641,0.171666666666667,0.0365659777424483,0.125,-0.114435434472023,-0.199773284595844,0.14,-0.156432501266047,-0.241555399346264,-0.0492057510738007,0.1,-0.217384004884005,0.1,-0.226785714285714,0.1,-0.226785714285714,-0.214285714285714,-0.214285714285714,0.0466666666666667,-0.1,0.0847808105872622,0.0847808105872622,0.0847808105872622,0.0855270792439786,-0.221305418719212,-0.0666666666666667,-0.0349019607843137,-0.0510309930423782,0.226785714285714,0.226785714285714,0.21922268907563,0.268974554856908,0.208235739899778,-0.0176470588235294,-0.172727272727273,-0.182857142857143,0.169612817089453,0.010904828970796,-0.198111380145278,-0.0453038418201182,-0.166477272727273,-0.202240990990991,-0.187945736434109,-0.216474401174862,-0.0923658826407577,-0.17055812703696,-0.226729379686435,-0.366666666666667,-0.361333333333333,-0.385057471264368,-0.512892235969159,-0.512892235969159,-0.525254829176571
"Ecadherin",0.345569620253165,0.457580327660655,0.463349593495935,0.39375,0.349296108124106,0.35,0.581024793430535,0.496330600442715,0.124761904761905,0.462283156094132,0.425492365228286,0.106146095323309,0.3,0.479302950860674,0.12,0.466928368920875,0.1,0.445189238486092,0.419607843137255,0.419607843137255,-0.0132620320855615,0.366666666666667,-0.115897435897436,-0.115897435897436,-0.115897435897436,-0.116456095115313,-0.00928575727483373,0.0309090909090909,-0.000140029770108607,-0.00915963761324586,-0.445189238486092,-0.465878893658506,-0.477878893658506,-0.534744111188886,-0.489141057959055,-0.33177033492823,-0.376,-0.135873015873016,-0.410521206818717,-0.521078127091929,-0.15015873015873,-0.366768227083214,-0.430666666666667,-0.374379312501303,-0.429233870967742,-0.414202634840983,-0.49001460991992,-0.490293535629751,-0.497291802441859,-0.145449275362319,-0.165058628698581,-0.173778573183142,-0.442277669361583,-0.442277669361583,-0.451708082937133
"cateninmemb",0.345569620253165,0.457580327660655,0.463349593495935,0.39375,0.349296108124106,0.35,0.581024793430535,0.496330600442715,0.124761904761905,0.365198586275074,0.425492365228286,0.125031987953392,0.3,0.479302950860674,0.12,0.466928368920875,0.1,0.445189238486092,0.419607843137255,0.419607843137255,-0.0132620320855615,0.366666666666667,-0.115897435897436,-0.115897435897436,-0.115897435897436,-0.116456095115313,-0.00928575727483373,0.0309090909090909,-0.000140029770108607,-0.00915963761324586,-0.445189238486092,-0.465878893658506,-0.477878893658506,-0.534744111188886,-0.489141057959055,-0.33177033492823,-0.376,-0.135873015873016,-0.410521206818717,-0.521078127091929,-0.15015873015873,-0.366768227083214,-0.430666666666667,-0.374379312501303,-0.429233870967742,-0.414202634840983,-0.49001460991992,-0.490293535629751,-0.497291802441859,-0.145449275362319,-0.165058628698581,-0.173778573183142,-0.442277669361583,-0.442277669361583,-0.451708082937133
"Patched",0.355555555555556,0.330833333333333,0.48,0.133333333333333,0.233333333333333,0.1,0.437946360153257,0.278166127292341,0.1,0.186129032258065,0.329470529470529,0.0393015102481122,0,0.246666666666667,0,0.2,0,0.2,0.1,0.2,0,0.1,-0.0423076923076923,-0.0423076923076923,-0.0423076923076923,-0.0548076923076923,-0.183333333333333,-0.1,-0.06,-0.0523076923076923,-0.3,-0.3,-0.3375,-0.388311688311688,-0.257777777777778,-0.2,-0.3,-0.1,-0.286080586080586,-0.273148148148148,-0.142857142857143,-0.260606060606061,-0.4,-0.288571428571429,-0.293333333333333,-0.335483870967742,-0.222433862433862,-0.513333333333333,-0.415,-0.116666666666667,-0.120512820512821,-0.156666666666667,-0.441666666666667,-0.441666666666667,-0.447619047619048
"cateninnuc",0.348411503482678,0.346351535624941,0.444706075533662,0.30448087431694,0.314491452429963,0.273333333333333,0.534542362063238,0.231434750836909,0.0484848484848485,0.21308247155912,0.378193555401663,-0.00369739748531526,0.233333333333333,0.320779703388399,0.0333333333333333,0.312446370055066,0.0333333333333333,0.305924630924631,0.286480186480187,0.286480186480187,-0.000483091787439613,0.278787878787879,-0.021029106029106,-0.021029106029106,-0.021029106029106,-0.0217025067025067,-0.0674530541481241,0.0115942028985507,-0.00584602213661102,-0.0122680404852349,-0.304288405658269,-0.310810144788703,-0.318715283128624,-0.489141057959055,-0.326380898309982,-0.297049591964846,-0.401142857142857,-0.0644848484848485,-0.369250576589356,-0.372175779291704,-0.0746410984848485,-0.323127816066326,-0.421142857142857,-0.356743046862154,-0.328704476801412,-0.387464666767062,-0.345987106286614,-0.458024852826238,-0.470421261798311,-0.169874458874459,-0.184516109210606,-0.191838988205973,-0.436947830148004,-0.436947830148004,-0.447848654098339
"KLF4",0.3,0.429233870967742,0.430666666666667,0.35,0.33177033492823,0.3,0.564588911431739,0.489141057959055,0.12,0.456129309940286,0.417570650410019,0.202543368935773,0.2,0.466928368920875,0.1,0.445189238486092,0.1,0.419607843137255,0.366666666666667,0.366666666666667,-0.0309090909090909,0.3,-0.115897435897436,-0.115897435897436,-0.115897435897436,-0.115897435897436,0.00650371640937679,0.04,0.0132620320855615,-0.000140029770108607,-0.419607843137255,-0.445189238486092,-0.465878893658506,-0.515981224590947,-0.479302950860674,-0.305454545454545,-0.3,-0.124761904761905,-0.399262928673022,-0.501525054466231,-0.135873015873016,-0.349296108124106,-0.376,-0.346289424860853,-0.39375,-0.393633014587819,-0.470563809004589,-0.463349593495935,-0.468687683448724,-0.110666666666667,-0.129488158899924,-0.145449275362319,-0.402941176470588,-0.402941176470588,-0.410553520553521
"SRC",0.279263565891473,0.0946840958605664,0.251190476190476,0.0733333333333333,0.103809523809524,0.0333333333333333,-0.0249899855902346,-0.205763010232149,0.133333333333333,-0.185734919922167,-0.0864592291766205,-0.110428727046374,0.0333333333333333,-0.211803278688525,0.1,-0.22,0.1,-0.2,-0.1,-0.2,-0.0757575757575758,0,-0.037363370880267,-0.037363370880267,-0.037363370880267,-0.04039367391057,-0.277142857142857,0.0666666666666667,0.097979797979798,0.0923194206213074,0.2,0.22,0.211803278688525,0.252027285477496,0.211803278688525,-0.08,-0.266666666666667,-0.171794871794872,0.0646753246753247,-0.0296362258431224,-0.182905982905983,-0.103809523809524,-0.241666666666667,-0.100619094167481,-0.077037037037037,-0.214116499150886,-0.0290737473535639,-0.243917748917749,-0.268034547152194,-0.180263157894737,-0.191898378020523,-0.197380275011854,-0.388701707097934,-0.388701707097934,-0.404096032791685
"RAF",0.322812051649928,0.342491803278689,0.266666666666667,0.22,0.0686868686868687,0.2,-0.149123972722504,0.332265043112773,0.0714285714285714,0.314883286647992,0.519010252184497,0.268249313750765,0.1,0.258434547908232,0,0.212280701754386,0,0.133333333333333,0.1,0.1,0.36,0,0.24025974025974,0.24025974025974,0.24025974025974,0.24966144966145,0.146412698412698,-0.36,-0.432413793103448,-0.447307410124725,-0.133333333333333,-0.203333333333333,-0.249487179487179,-0.274800750117206,-0.296896086369771,-0.0777777777777778,-0.133333333333333,-0.0464285714285714,-0.510795902285264,-0.265261437908497,-0.0858225108225108,-0.122533022533023,-0.233333333333333,-0.51078431372549,-0.272,-0.330570198199182,-0.339696014229121,-0.325545171339564,-0.322988505747126,-0.328626444159178,-0.324699961285327,-0.351398721386901,-0.380812051649928,-0.380812051649928,-0.389107092994763
"cMet",0.23015873015873,0.259431818181818,0.253333333333333,0.21,0.0406015037593985,0.15,-0.212574287026842,-0.0259951689356498,0.0333333333333333,-0.0478578598151552,0.166065050098664,0.0198778330367801,0.1,-0.0631007751937984,0,-0.0933333333333333,0.1,0,0,-0.1,0.37,0.1,0.153333333333333,0.153333333333333,0.153333333333333,0.155220125786164,0.204285714285714,-0.35,-0.39,-0.424545454545455,0.1,0.0933333333333333,0.0660606060606061,0.0993650793650794,0.04463923673226,-0.0142857142857143,-0.22,-0.0666666666666667,-0.22215821812596,-0.234558999053381,-0.0666666666666667,-0.0427291633338666,-0.22,-0.365555555555556,-0.228181818181818,-0.282422350174357,-0.223780277693321,-0.266099290780142,-0.278090717299578,-0.288775510204082,-0.270760233918129,-0.323320964749536,-0.357431457431457,-0.357431457431457,-0.36982803579271
"CD44",0.187301587301587,0.228181818181818,0.22,0.15,0.0142857142857143,0.1,-0.227172827172827,-0.04463923673226,0,-0.066007326007326,0.147146131179745,0.00435620453805233,0.1,-0.0933333333333333,0.1,0,0,0,0.1,0,0.35,0.1,0.161904761904762,0.161904761904762,0.161904761904762,0.153333333333333,0.197619047619048,-0.3,-0.37,-0.39,0.1,0.1,0.0933333333333333,0.12,0.0631007751937984,0,-0.2,-0.0333333333333333,-0.201190476190476,-0.215457875457875,-0.0666666666666667,-0.0406015037593985,-0.22,-0.358148148148148,-0.21,-0.251913875598086,-0.188997668997669,-0.253333333333333,-0.264166666666667,-0.25,-0.237426900584795,-0.288775510204082,-0.33015873015873,-0.33015873015873,-0.34014053579271
"SOSGRB2",0.243333333333333,0.395537397862979,0.238241758241758,0.3,0.0300699300699301,0.3,-0.208412201567544,0.277431678789625,0.0333333333333333,0.283703287703288,0.328044513279413,0.251729589678711,0.2,0.215734989648033,0,0.188198757763975,-0.1,0.114285714285714,0.1,0.1,0.46984126984127,0,0.24180790960452,0.24180790960452,0.24180790960452,0.246936114732725,0.232222222222222,-0.414285714285714,-0.532003432003432,-0.532003432003432,-0.114285714285714,-0.180952380952381,-0.208488612836439,-0.234447194719472,-0.250471831753296,-0.0454545454545455,-0.142857142857143,-0.00701754385964912,-0.32915884489517,-0.283246376811594,-0.0445175438596491,-0.0793657047178174,-0.222857142857143,-0.435672514619883,-0.351351351351351,-0.256589907604833,-0.391453092831544,-0.290014807887148,-0.284908424908425,-0.375483870967742,-0.278409090909091,-0.394364989848861,-0.287619047619048,-0.287619047619048,-0.303214952445824
"TGF",0.239460971268752,0.274432471264368,0.0333333333333333,0.213333333333333,0.11,0.18,0.0536575752596503,0.162995546327225,0.05,0.153138789709787,0.18153001445875,0.155179457537205,0.2,0.117421383647799,0.1,0.0966666666666667,0,0.0666666666666667,0,0,0.219047619047619,0,0.17202380952381,0.17202380952381,0.17202380952381,0.166666666666667,0.167105263157895,-0.133333333333333,-0.203258145363409,-0.21436925647452,-0.0428571428571429,-0.0728571428571429,-0.0936118598382749,-0.111640211640212,-0.147684541542536,-0.06,0,-0.0928571428571429,-0.166436803031715,-0.124444444444444,-0.119172932330827,-0.137586206896552,0,-0.267099567099567,-0.265057471264368,-0.151398601398601,-0.289911634756996,-0.172619047619048,-0.172732919254658,-0.274545454545455,-0.288201160541586,-0.310029325513197,-0.274006425814206,-0.274006425814206,-0.285132826943172
"IKK",0.0516483516483516,-0.0281992337164751,0.230808080808081,-0.06,-0.0584415584415584,-0.08,0.463767869400424,0.233508216020552,-0.285714285714286,0.180892747848055,0.373311399257177,0.0715822863634493,-0.1,0.22025641025641,-0.3,0.206410256410256,-0.2,0.183333333333333,0.15,0.15,-0.0142857142857143,0.1,0.0753781004234725,0.0753781004234725,0.0753781004234725,0.0796034525361485,-0.103361344537815,0,-0.00571428571428572,-0.0212698412698413,-0.183333333333333,-0.206410256410256,-0.22025641025641,-0.252857142857143,-0.227601043024772,0.0727272727272727,-0.15,0.185714285714286,-0.423772893772894,-0.321732026143791,0.188416988416988,0.0505050505050505,-0.194444444444444,-0.0846994535519126,0.0488888888888889,-0.127692960135708,-0.0741002811621368,-0.255608080808081,-0.238585858585859,0.08125,0.0876160990712074,0.0703589108910891,-0.0808872180451128,-0.0808872180451128,-0.0750501672240803
"TWIST1",-0.00809881175734834,-0.0525198131527843,-0.247580982236155,-0.0422222222222222,-0.0865527065527066,-0.0222222222222222,-0.483186880540232,-0.18867043027499,0.0230769230769231,-0.153670297427207,-0.213114633857327,-0.0377112832747947,-0.0333333333333333,-0.190337438914727,0,-0.189935832489024,0,-0.192063492063492,-0.180952380952381,-0.180952380952381,0.16695652173913,-0.166666666666667,0.099974591435692,0.099974591435692,0.099974591435692,0.100317057189117,0.140213968589255,-0.18,-0.177482837528604,-0.171015175837062,0.192063492063492,0.191010860484545,0.191010860484545,0.239094722481819,0.189878020844283,0.0762962962962963,0.218787878787879,-0.0135531135531136,0.19379463181199,0.197674575932585,-0.0152480288073508,0.0846659140998764,0.232580982236155,0.0121004664482925,0.0490715372907154,0.0771901712686797,0.0774355803715022,0.251453419593786,0.227855096891106,-0.162617162617163,-0.158924691128081,-0.149085809481849,0.0368350806947298,0.0368350806947298,0.0205446668762883
"RAS",-0.0542857142857143,0.0283050847457627,-0.0505882352941176,0.05,-0.113157894736842,0,-0.254832551751056,-0.049653183825609,-0.133333333333333,0.0464541058779183,-0.132859174138244,0.117444778526255,0.1,-0.0560075093867334,-0.1,-0.0794117647058824,0,-0.05,-0.1,-0.1,0.225,0,0.0623076923076923,0.0623076923076923,0.0623076923076923,-0.0415384615384615,0.201298701298701,-0.2,-0.188157894736842,-0.225412796697626,0.05,0.0794117647058824,0.058578431372549,0.0880368906455863,0.0544690478482719,0.15,0.02,0.1,0.0464728682170543,-0.00256410256410256,0.127777777777778,0.141459781529295,0.08,-0.0812452830188679,-0.03,0.114257620452311,-0.0452749852158486,0.0674199184624345,0.0631746031746032,-0.0398268398268398,0.0535573122529644,-0.0561533704390847,0.059440353460972,0.059440353460972,0.0686153846153846
"NFB",-0.0747252747252747,0.0161510409453908,-0.255608080808081,0.0488888888888889,0.0505050505050505,0.06,-0.474336975091481,-0.237821941510748,0.185714285714286,-0.183532663370758,-0.379789804572791,-0.0725453682254076,0.08,-0.227601043024772,0.285714285714286,-0.22025641025641,0.3,-0.206410256410256,-0.183333333333333,-0.183333333333333,-0.00571428571428572,-0.15,-0.0796034525361485,-0.0796034525361485,-0.0796034525361485,-0.0805984774117704,0.108624502432552,-0.0142857142857143,0.0212698412698413,0.0258450046685341,0.206410256410256,0.22025641025641,0.228121578795736,0.264913880445795,0.233508216020552,-0.0584415584415584,0.194444444444444,-0.188416988416988,0.433184658478776,0.334747899159664,-0.183972543972544,-0.042117953730857,0.230808080808081,0.106494325346784,-0.0281992337164751,0.140021727258996,0.0827333746873167,0.274595422580233,0.25890458368546,-0.0703589108910891,-0.0751160990712074,-0.0551172752033568,0.104258865554691,0.104258865554691,0.0995214663177359
"Csn",-0.114244056596998,-0.0935212211256632,-0.234678008558606,-0.0577200577200577,0.0677489177489178,-0.0365079365079365,-0.169424610941837,-0.231422953266521,0.111666666666667,-0.0901099544845158,-0.483862476529108,-0.00840512941759572,-0.0142857142857143,-0.213980335133638,0.12,-0.201980335133638,0.22,-0.183908045977011,-0.166666666666667,-0.166666666666667,-0.121515151515152,-0.133333333333333,-0.229902685948334,-0.229902685948334,-0.229902685948334,-0.232014010324534,-0.00350974288020293,0.103333333333333,0.140995670995671,0.152454004329004,0.183908045977011,0.201980335133638,0.213770728146738,0.247271108750393,0.223305093976082,-0.0742424242424242,0.177272727272727,-0.111666666666667,0.498661869118376,0.220458937198068,-0.106066666666667,-0.0571719946719947,0.211601085481682,0.231563848262755,0.0738490899781222,0.243678098184485,0.105587881208903,0.254487077771016,0.248365930933274,0.0704076086956522,0.0608388704318937,0.0850605649938527,0.141098428453267,0.141098428453267,0.140485782708136
"TCFLEF",-0.0833874458874459,-0.0715022664518014,-0.116072871560809,-0.0923809523809524,-0.228184281842818,-0.106666666666667,-0.198643860225367,0.101205064198159,-0.177558441558442,-0.0635972648920909,0.425748141567315,-0.135726816316694,-0.1,-0.0145738590549911,-0.141558441558442,-0.0246367521367521,-0.114285714285714,-0.0391666666666667,-0.0541666666666667,-0.0490196078431373,0.213135888501742,-0.0666666666666667,0.241213746753458,0.241213746753458,0.241213746753458,0.242922025334273,0.0969095654844158,-0.181428571428571,-0.227421602787456,-0.238986228637797,0.0340196078431373,0.0194896933132227,0.00955180511446496,0.370490354090354,-0.0949335865349287,0.234066634783995,0.148717948717949,0.177558441558442,-0.32981344566607,0.0707444041084851,0.17973235460192,0.223865344965742,0.134764460345856,-0.0910809569729531,0.0794777265745008,-0.109488549572232,0.0489411241849431,0.0985232026866368,0.0945956833045117,0.00512235133287765,0.0481160909696451,-0.00883558365756212,0.164211678185362,0.164211678185362,0.172074358038213
"TGFR",-0.273389542697323,-0.305505917592051,-0.172619047619048,-0.265057471264368,-0.137586206896552,-0.213333333333333,-0.0733335011855763,-0.177787397522973,-0.0928571428571429,-0.165840868231727,-0.198465498329718,-0.162675198593423,-0.18,-0.147684541542536,-0.05,-0.117421383647799,-0.1,-0.0966666666666667,-0.0666666666666667,-0.0428571428571429,-0.203258145363409,0,-0.166666666666667,-0.166666666666667,-0.166666666666667,-0.170760233918129,-0.153525016244314,0.219047619047619,0.21436925647452,0.251355557844383,0.0728571428571429,0.0936118598382749,0.121353795322146,0.140395576447079,0.162995546327225,0.11,0,0.119172932330827,0.18624120400971,0.146152629497825,0.114521769540129,0.142622178119573,0.0333333333333333,0.272813852813853,0.274432471264368,0.184731934731935,0.322520330409169,0.191058763931104,0.190636849385663,0.310029325513197,0.318051906810243,0.331025766794335,0.298534727700999,0.298534727700999,0.31064602342411
