"","miR200","ILK","AKT","IKK","NFB","TWIST1","GSK3","Destcompl","Ecadherin","PI3K","DELTA","cMet","DSH","TCFLEF","cateninnuc","CD44","Frizzled","GLI","Wnt","LIV1","AXIN2","SRC","SOSGRB2","RAF","STAT","RAS","cateninmemb","SNAI2","CDC42","PAK1","TGFR","TGF","cfos","EGR1","ERK","MEK","TrCP","Csl","NOTCHic","NOTCH","SNAI1","RKIP","Csn","SUFU","Jagged","FUS","FOXC2","SMO","Patched","SHH","HEY1","ZEB2","ZEB1","SMAD","KLF4"
"RAF",0.527284694243887,0.464313222079589,0.408333333333333,0.375,0.3,0.346782531194296,-0.29688731284476,-0.299061575849852,-0.209696628704332,-0.271428571428571,-0.271428571428571,0.00350877192982456,0,0.00350877192982456,0.00987009508504085,0.0112010796221323,-0.0333333333333333,-0.00435897435897436,0.00333333333333333,0,-0.0020042194092827,0.0333333333333333,0.206984126984127,0.271428571428571,0,0.277411477411477,0.175949731243849,-0.470137844611529,-0.113333333333333,-0.0666666666666667,-0.122857142857143,-0.121922563417891,-0.4,-0.4,-0.472413793103448,-0.50432868672047,-0.2,-0.277777777777778,-0.341414141414141,-0.349106449106449,-0.509637924598731,-0.589145658263305,-0.2,-0.1,-0.300814536340852,-0.2,-0.460801650456823,-0.28,-0.332,-0.399213114754098,-0.466318234610917,-0.52096700143472,-0.52096700143472,-0.528669657723154,-0.45896700143472
"SUFU",0.431628364339556,0.296615463389657,0.0968493251714728,0.076043956043956,0.0414285714285714,0.0672440339971352,-0.283882551353017,-0.2758690644202,-0.103942449054971,-0.0806766117755505,-0.0806766117755505,-0.108748651564186,-0.0375,-0.102208524071541,-0.101850467805556,-0.105741132767193,-0.0152777777777778,0.0126755472945064,0.0152777777777778,0.15,0.0226017712880839,0.107777777777778,0.0926757453073243,0.0806766117755505,0.13,0.0825753459527657,-0.036722352736764,-0.25191415849321,-0.081036036036036,-0.0783333333333333,-0.0735892275253977,-0.0761533300895003,-0.167552447552448,-0.158461538461538,-0.193989229161643,-0.202925399374409,0.05,-0.101969696969697,-0.113333333333333,-0.126031746031746,-0.255418176855569,-0.251267269794516,-0.0214285714285714,-0.0933333333333333,-0.228636468734342,-0.118333333333333,-0.205448744218723,-0.146111111111111,-0.177424242424242,-0.199431964431964,-0.295298921438261,-0.427319940684748,-0.427319940684748,-0.317631629671412,-0.38725581623638
"TCFLEF",0.438192423373146,0.24214794562163,0.233119833882807,0.215728529534981,0.189922077922078,0.331449650654808,-0.106596372308803,-0.116622909022918,0.00931495882541437,-0.19297040593972,-0.19297040593972,0.170897435897436,0.150980392156863,0.0701626026397472,0.0693894067634585,0.165237058538945,0.160980392156863,-0.157954432609164,-0.163544494720965,-0.133333333333333,-0.0553474969474969,-0.168333333333333,0.0475430677107324,0.19297040593972,-0.158333333333333,0.190736503180193,-0.0215431121890307,-0.267703895063152,0.0144305307096005,0.00512820512820513,0.0134959512703481,0.0138270770981627,-0.275052264808362,-0.262857142857143,-0.300766550522648,-0.306208727393396,-0.114285714285714,-0.0511557468515862,-0.0629204527339391,-0.0725550042289557,-0.277738231085511,-0.283210726913716,-0.177922077922078,-0.2,0.0190953101954829,-0.206666666666667,-0.479904083799056,-0.235238095238095,-0.256205837173579,-0.272770254351493,-0.22156982903543,-0.423111908559277,-0.423111908559277,-0.258400335678991,-0.409055895085307
"FUS",0.410810520473386,0.25984126984127,0.076043956043956,0.0414285714285714,0.0214285714285714,0.0592027968837331,-0.285939106622939,-0.277304471118764,-0.102500636490605,-0.0828600178890877,-0.0828600178890877,-0.107777777777778,-0.05,-0.105741132767193,-0.102208524071541,-0.108748651564186,-0.0375,0.0152777777777778,0.0152777777777778,0.1,0.0256462677752033,0.13,0.0975708502024291,0.0828600178890877,0.15,0.0806766117755505,-0.0374044809768731,-0.251452721446407,-0.0783333333333333,-0.0533333333333333,-0.081036036036036,-0.0735892275253977,-0.158461538461538,-0.12,-0.167552447552448,-0.193989229161643,0.1,-0.096969696969697,-0.101969696969697,-0.113333333333333,-0.245367069530186,-0.239430535100638,0.05,0.0666666666666667,-0.216997513864984,-0.0933333333333333,-0.195771324863884,-0.118333333333333,-0.146111111111111,-0.177424242424242,-0.256744704570792,-0.407030085612284,-0.407030085612284,-0.296615463389657,-0.362704918032787
"SMO",0.382097649186257,0.223333333333333,0.0414285714285714,0.0214285714285714,-0.05,0.05239651416122,-0.284266865820264,-0.277450456520224,-0.104692417312523,-0.0735576923076923,-0.0735576923076923,-0.13,0,-0.108748651564186,-0.105741132767193,-0.107777777777778,-0.05,0.0152777777777778,0.0375,0.1,0.0225406777130915,0.15,0.105263157894737,0.0735576923076923,0.1,0.0828600178890877,-0.0357285033232418,-0.24840065681445,-0.0533333333333333,-0.0333333333333333,-0.0783333333333333,-0.081036036036036,-0.12,-0.1,-0.158461538461538,-0.167552447552448,0,-0.0333333333333333,-0.096969696969697,-0.101969696969697,-0.23310291858679,-0.221904761904762,0.1,0.1,-0.202539682539683,0.0666666666666667,-0.176034482758621,-0.0933333333333333,-0.118333333333333,-0.146111111111111,-0.220512820512821,-0.380649717514124,-0.380649717514124,-0.25984126984127,-0.325
"SOSGRB2",0.370758280985898,0.46494623655914,0.472368421052632,0.447368421052632,0.4,0.246057971014493,-0.173244386904976,-0.178669764240234,-0.225465096432838,-0.256873822975518,-0.256873822975518,-0.0124223602484472,0,-0.0191347935055029,-0.0132074512492887,-0.013871635610766,-0.0428571428571429,0.0193064182194617,0.0178571428571429,0,0.0129744224422442,0.0428571428571429,0.2925,0.256873822975518,0,0.254309720411415,0.172932217932218,-0.477967046338583,-0.0942857142857143,-0.0642857142857143,-0.101978021978022,-0.10410568155249,-0.476190476190476,-0.442857142857143,-0.543758043758044,-0.555879255879256,-0.3,-0.381818181818182,-0.427972027972028,-0.435014281493155,-0.303408670931059,-0.445869883040936,-0.3,-0.2,-0.370113148240716,-0.3,-0.312344322344322,-0.35,-0.385135135135135,-0.429321181646763,-0.469886363636364,-0.358558897243108,-0.358558897243108,-0.509002180615084,-0.315701754385965
"Patched",0.342857142857143,0.183333333333333,0.0214285714285714,-0.05,-0.1,0.0259259259259259,-0.287179487179487,-0.275124875124875,-0.11096548004315,-0.0423076923076923,-0.0423076923076923,-0.15,0,-0.107777777777778,-0.108748651564186,-0.13,0,0.0375,0.05,0.1,0.0294372294372294,0.1,0.1,0.0423076923076923,0.1,0.0735576923076923,-0.0376702508960573,-0.247448275862069,-0.0333333333333333,-0.0333333333333333,-0.0533333333333333,-0.0783333333333333,-0.1,-0.1,-0.12,-0.158461538461538,0,0,-0.0333333333333333,-0.096969696969697,-0.218817204301075,-0.188571428571429,0,0,-0.202539682539683,0.1,-0.145,0.0666666666666667,-0.0933333333333333,-0.118333333333333,-0.187179487179487,-0.341666666666667,-0.341666666666667,-0.223333333333333,-0.283333333333333
"SHH",0.3,0.133333333333333,-0.05,-0.1,0,0,-0.287179487179487,-0.274025974025974,-0.106111111111111,-0.05,-0.05,-0.1,0,-0.13,-0.107777777777778,-0.15,0,0.05,0,0,0.0476190476190476,0.1,0.1,0.05,0.1,0.0423076923076923,-0.054336917562724,-0.256781609195402,-0.0333333333333333,0,-0.0333333333333333,-0.0533333333333333,-0.1,0,-0.1,-0.12,0,-0.1,0,-0.0333333333333333,-0.183333333333333,-0.16,0,0,-0.191428571428571,0,-0.125,0.1,0.0666666666666667,-0.0933333333333333,-0.133333333333333,-0.3,-0.3,-0.183333333333333,-0.25
"KLF4",0.0367399267399267,0.0346666666666667,0.0189417989417989,0.0152380952380952,0.02,0.0233376906318083,-0.0978991109791995,-0.0995857965044511,-0.0814617356769416,-0.0134615384615385,-0.0134615384615385,0.026812585499316,0,0.0179831540611889,0.0203492810848502,0.0189864985427943,0.00588235294117647,-0.0199160337751781,-0.026812585499316,-0.0333333333333333,0.0206910475561089,-0.00588235294117647,0.0178387650085763,0.0134615384615385,0,0.0105203619909502,0.0433263382958505,-0.069709721758452,-0.0529090909090909,-0.0409090909090909,-0.0542424242424242,-0.0439985218033998,0.0490909090909091,0.04,0.060855614973262,0.0453916974474888,0.1,-0.0472727272727273,-0.0420095693779904,-0.0347930745326296,-0.0448656192463093,-0.0388682745825603,0,0,0.00501476534460043,-0.0333333333333333,0.0338604333310927,-0.0333333333333333,-0.0333333333333333,-0.0473118279569892,-0.0343009931245225,-0.0383178534571723,-0.0383178534571723,-0.0433623188405797,-0.0222222222222222
"CD44",0.0459552042160738,-0.105555555555556,-0.186666666666667,-0.166666666666667,-0.2,-0.0162637362637363,0.188690476190476,0.178778784240969,0.157763543589187,0.157142857142857,0.157142857142857,0.15,0,0.0583720930232558,0.0506797853309481,0.07,0.1,-0.07,-0.05,-0.1,-0.07,-0.2,-0.242857142857143,-0.157142857142857,-0.1,-0.131428571428571,-0.113809523809524,0.262413142413142,-0.02,0,-0.02,-0.0144444444444444,0.15,0.1,0.21,0.18,0,0.2,0.185714285714286,0.190977443609023,0.0576289207868155,0.123333333333333,0.1,0.1,0.108904428904429,0.1,0.00541666666666666,0.05,0.07,0.0972727272727273,0.126315789473684,-0.026984126984127,-0.026984126984127,0.11984126984127,-0.141269841269841
"cMet",0.0334552042160738,-0.11984126984127,-0.224166666666667,-0.186666666666667,-0.166666666666667,-0.028623286825534,0.193529185867896,0.178103108565293,0.160053619925065,0.131428571428571,0.131428571428571,0.07,0.1,0.0506797853309481,0.0523747005851854,0.0583720930232558,0.05,-0.0609090909090909,-0.07,-0.1,-0.0525396825396825,-0.15,-0.256190476190476,-0.131428571428571,-0.2,-0.152183288409703,-0.120571089645823,0.263872996427741,-0.02,-0.02,-0.0144444444444444,-0.0101891252955083,0.21,0.15,0.18,0.221818181818182,0.1,0.185714285714286,0.190977443609023,0.222892337226044,0.0711882428207138,0.141851851851852,0.2,0.1,0.111078341947907,0.05,0.0142774261603375,0.07,0.0972727272727273,0.103522727272727,0.143962848297214,-0.0138528138528139,-0.0138528138528139,0.136204906204906,-0.126984126984127
"NFB",0.0112897978154776,-0.0882081958195819,0.053037323037323,0.0397039897039897,0.0261904761904762,0.194453781512605,-0.245432018961431,-0.155153758266832,-0.0264389617698264,-0.203777169976909,-0.203777169976909,0.0857264957264957,0.0611111111111111,0.0883868690369441,0.087837849429101,0.0829016369694336,0.0841880341880342,-0.0834793047152598,-0.0857264957264957,-0.05,-0.0712006079027356,-0.0841880341880342,0.155245466607696,0.203777169976909,-0.0611111111111111,0.205269707290342,0.00457747043542823,-0.228166469765692,0.132323232323232,0.127777777777778,0.136323232323232,0.138854877892853,-0.0968571428571429,-0.0928571428571429,-0.112412698412698,-0.127445378151261,-0.1,-0.0311688311688312,-0.0295815295815296,-0.036678303775078,-0.0191398174290572,-0.0359815048339639,-0.142857142857143,0.08,0.0895338125001405,0.1,-0.140641934426795,0.0888888888888889,0.0819923371647509,0.0771730600563172,0.0852609464838567,-0.011448275862069,-0.011448275862069,0.0826319876411433,-0.00833333333333333
"IKK",0.00615384615384615,-0.0951388888888889,0.0397039897039897,0.0261904761904762,0.142857142857143,0.194771241830065,-0.245824175824176,-0.155984323050885,-0.0245127980459098,-0.20659407138536,-0.20659407138536,0.0841880341880342,0.05,0.0829016369694336,0.0883868690369441,0.0857264957264957,0.0611111111111111,-0.0857264957264957,-0.0841880341880342,-0.1,-0.0726190476190476,-0.0611111111111111,0.158403361344538,0.20659407138536,-0.05,0.203777169976909,0.00257113463817374,-0.228776225863252,0.127777777777778,0.15,0.132323232323232,0.136323232323232,-0.0928571428571429,-0.05,-0.0968571428571429,-0.112412698412698,-0.2,-0.0454545454545455,-0.0311688311688312,-0.0295815295815296,-0.0155781735934408,-0.0346994535519126,-0.1,0.1,0.0938503592627304,0.08,-0.137056277056277,0.1,0.0888888888888889,0.0819923371647509,0.0959752321981424,-0.008,-0.008,0.0882081958195819,-0.00256410256410256
"SNAI2",-0.0359736441329995,-0.0451374916163649,0.0346039329732724,0.0382183908045977,0.0416666666666667,0.0719769767686684,0.145808761426404,0.147042263555937,0.265270877099053,-0.0379694091935766,-0.0379694091935766,0.0764148527528809,0.0890909090909091,0.0770334094539119,0.0757911734290671,0.0764148527528809,0.0890909090909091,-0.0758800933945922,-0.0764148527528809,-0.08,-0.0656540829173547,-0.0890909090909091,-0.04394861392833,0.0379694091935766,-0.0890909090909091,0.0379694091935766,-0.14248204409847,0.352103215035127,0.0988795518207283,0.0941176470588235,0.101443654384831,0.0958535922730296,-0.0607843137254902,-0.0666666666666667,-0.0666666666666667,-0.0585585585585586,-0.1,0.0824561403508772,0.0842105263157895,0.0803144224196856,0.0403501983754825,0.0342051282051282,-0.0666666666666667,-0.1,0.0882231351500013,-0.08,-0.0685134537361007,-0.0741176470588235,-0.0720768307322929,-0.0622176758027155,0.0491862567811935,0.0367981959303545,0.0367981959303545,0.0532714629082309,0.0176923076923077
"HEY1",-0.0367399267399267,-0.0346666666666667,-0.0189417989417989,-0.0152380952380952,-0.02,-0.0233376906318083,0.0978991109791995,0.0995857965044511,0.0814617356769416,0.0134615384615385,0.0134615384615385,-0.026812585499316,0,-0.0179831540611889,-0.0203492810848502,-0.0189864985427943,-0.00588235294117647,0.0199160337751781,0.026812585499316,0.0333333333333333,-0.0206910475561089,0.00588235294117647,-0.0178387650085763,-0.0134615384615385,0,-0.0105203619909502,-0.0433263382958505,0.069709721758452,0.0529090909090909,0.0409090909090909,0.0542424242424242,0.0439985218033998,-0.0490909090909091,-0.04,-0.060855614973262,-0.0453916974474888,-0.1,0.0472727272727273,0.0420095693779904,0.0347930745326296,0.0448656192463093,0.0388682745825603,0,0,-0.00501476534460043,0.0333333333333333,-0.0338604333310927,0.0333333333333333,0.0333333333333333,0.0473118279569892,0.0343009931245225,0.0383178534571723,0.0383178534571723,0.0433623188405797,0.0222222222222222
"FOXC2",-0.0367399267399267,-0.0346666666666667,-0.0189417989417989,-0.0152380952380952,-0.02,-0.0233376906318083,0.0978991109791995,0.0995857965044511,0.0814617356769416,0.0134615384615385,0.0134615384615385,-0.026812585499316,0,-0.0179831540611889,-0.0203492810848502,-0.0189864985427943,-0.00588235294117647,0.0199160337751781,0.026812585499316,0.0333333333333333,-0.0206910475561089,0.00588235294117647,-0.0178387650085763,-0.0134615384615385,0,-0.0105203619909502,-0.0433263382958505,0.069709721758452,0.0529090909090909,0.0409090909090909,0.0542424242424242,0.0439985218033998,-0.0490909090909091,-0.04,-0.060855614973262,-0.0453916974474888,-0.1,0.0472727272727273,0.0420095693779904,0.0347930745326296,0.0448656192463093,0.0388682745825603,0,0,-0.00501476534460043,0.0333333333333333,-0.0338604333310927,0.0333333333333333,0.0333333333333333,0.0473118279569892,0.0343009931245225,0.0383178534571723,0.0383178534571723,0.0433623188405797,0.0222222222222222
"Ecadherin",-0.0395332228293122,-0.0433623188405797,-0.0254353054353054,-0.0189417989417989,-0.0152380952380952,-0.0242687893282701,0.0981198615310759,0.0983742401204809,-0.0157145058030973,0.0105203619909502,0.0105203619909502,-0.0189864985427943,-0.00588235294117647,-0.0203492810848502,-0.0204426517664562,-0.0179831540611889,-0.026812585499316,0.0185827004418447,0.0199160337751781,0,-0.0180106351849749,0.026812585499316,-0.00862823869278685,-0.0105203619909502,0.00588235294117647,-0.00968237316413459,-0.0435827485522607,0.0688066513189577,0.0542424242424242,0.0529090909090909,0.0439985218033998,0.0481576538106331,-0.060855614973262,-0.0490909090909091,-0.0453916974474888,-0.0457838543102339,0,0.0420095693779904,0.0347930745326296,0.0418562715586519,0.0458149863349169,0.0399918700881783,0.02,0.0333333333333333,-0.00158227106542423,0.0333333333333333,-0.0340892662830378,0.0333333333333333,0.0473118279569892,0.0488866311065955,0.0443681072184823,0.0421093226514851,0.0421093226514851,0.0445729725936063,0.0234880450070323
"cateninmemb",-0.0735610716616303,-0.0812753623188406,0.00791726791726792,0.0183068783068783,0.0257142857142857,0.137587857986149,0.24052068237051,0.243209984974361,0.203819519011307,-0.0182126696832579,-0.0182126696832579,0.143792700093182,0.172549019607843,0.143177115558598,0.141589813971296,0.144796044574787,0.151618787049704,-0.143664764061198,-0.142998097394531,-0.166666666666667,-0.0770334094539119,-0.151618787049704,-0.0208916373265926,0.0182126696832579,-0.172549019607843,0.0190506585100736,0.0278708429714652,0.180637132120676,0.151575757575758,0.144909090909091,0.144258684405026,0.141907870661807,-0.0586096256684492,-0.0527272727272727,-0.0493312751529853,-0.040311667309848,-0.1,0.117799043062201,0.112644403886943,0.115246634370215,0.0872016657951559,0.0734148409108281,-0.04,-0.166666666666667,0.173267959321775,-0.15,-0.0632171974441629,-0.14375,-0.127620967741935,-0.115022542545085,0.0863736342615142,0.0761409622467096,0.0761409622467096,0.0907184615924483,0.0410220346929208
"Csn",-0.096530719117835,-0.0705952380952381,-0.1897,-0.1825,-0.161666666666667,-0.166768739286271,0.313188451025674,0.242644976548852,-0.0228974384913588,0.336241349582532,0.336241349582532,-0.166368923971749,-0.15,-0.166170281599473,-0.166230413890514,-0.166813368416194,-0.160344827586207,0.166805605194456,0.166368923971749,0.133333333333333,0.116997363865282,0.160344827586207,0.0514908336215842,-0.336241349582532,0.15,-0.337201042480805,-0.0477687648694778,-0.0703924405235613,0.0644165535956581,0.0659090909090909,0.0618524510315555,0.0601818066401474,0.116666666666667,0.116666666666667,0.136147186147186,0.145522186147186,0.22,0.114646464646465,0.123737373737374,0.125660450660451,0.166715229535743,0.174143774644195,0.145,0.0142857142857143,-0.0156671092155918,0.0365079365079365,0.193964133669894,0.0577200577200577,0.069548014709305,0.0810234245453706,0.0741915836101883,0.0950620347394541,0.0950620347394541,0.0806209450361121,0.0865704230410113
