"","PAK1","TGF","TGFR","FOXC2","RKIP","ERK","cfos","SNAI1","Destcompl","SOSGRB2","TWIST1","SUFU","Jagged","ZEB2","SHH","SMO","Patched","SMAD","FUS","Wnt","HEY1","SNAI2","KLF4","Ecadherin","cateninmemb","Frizzled","LIV1","miR200","GLI","SRC","CD44","cateninnuc","RAF","PI3K","DSH","DELTA","TCFLEF","ILK","cMet","RAS","ZEB1","Csn","AXIN2","STAT","IKK","TrCP","Csl","NFB","NOTCHic","NOTCH","AKT","MEK","EGR1","GSK3","CDC42"
"IKK",-0.1,-0.111745454545455,-0.104545454545455,-0.0708802308802309,-0.129143897996357,-0.0388571428571429,-0.0428571428571429,-0.13279615493356,-0.325171932610046,0.00336134453781513,0.121535947712418,0.1,0.1946735395189,-0.215263157894737,0.158033205619413,0.18,0.161481481481482,0.223212321232123,0.16,-0.141025641025641,0.22218782249742,0.357080311576686,-0.207692307692308,0.0960576150469546,0.0330101183732469,0.133333333333333,0.1,-0.110501672240803,0.157948717948718,0.133333333333333,0.157948717948718,0.175284053713575,0.126134301270417,0.126134301270417,0.1,0.126134301270417,0.166423294219904,-0.222222222222222,0.141025641025641,0.123317399861967,0.215263157894737,0.1,0.179761904761905,0.1,-0.0714285714285714,0.2,-0.0454545454545455,0.0285714285714286,-0.0597402597402597,-0.054978354978355,-0.0579150579150579,0.0366349206349206,0,0.402252747252747,0.1
"SNAI2",-0.0509803921568627,-0.0864159710707025,-0.0777203188967895,0.0185827909817779,-0.192512820512821,-0.123529411764706,-0.117647058823529,-0.191450829497121,-0.236478024436412,0.116531440162272,0.124368048533873,-0.1,0.23507705655277,-0.200084749318229,-0.149596401941058,-0.142352941176471,-0.156638655462185,0.102611522403961,-0.16,-0.209030546917871,0.0651145268233876,0.506222431519469,-0.195769230769231,0.43519055569937,0.141389249375636,0.204805194805195,0.16,-0.146210623981546,0.2266776057414,0.204805194805195,0.227310116810344,0.237914906462646,-0.0786620535437683,-0.0786620535437683,0.169090909090909,-0.0786620535437683,0.228753415779416,-0.0992622401073105,0.209030546917871,-0.082315021580298,0.200084749318229,-0.0666666666666667,0.273923516870069,0.169090909090909,-0.0951149425287356,-0.1,-0.174122807017544,-0.0916666666666667,-0.193421052631579,-0.201213260423787,-0.105958316022712,0.130286168521463,0.1,0.228411661586987,0.0700280112044818
"GLI",-0.238333333333333,-0.245786048707056,-0.243668401648232,-0.168086515307878,-0.110458478958975,-0.241818181818182,-0.245714285714286,-0.0516132300552342,0.118150899341041,-0.0879895031222465,-0.11523473602421,-0.0476190476190476,-0.0241454401208695,-0.166064430790237,-0.054340933904426,-0.0601190476190476,-0.0621598639455782,0.000137083552915786,-0.0601190476190476,0.0609108159392789,0.00148128140488073,-0.303824190144731,-0.162271986271986,-0.227213070416347,-0.131361811628487,-0.0503225806451613,-0.1,-0.0832923938806292,-0.158783156364811,-0.130322580645161,-0.140793564665346,-0.145091776913349,0.210257112960287,0.210257112960287,-0.06,0.210257112960287,-0.145988369860152,0.000403456987624755,-0.142517702596381,0.208078895138505,0.166064430790237,0.0222222222222222,-0.169278381642512,-0.14,0.052297410192147,-0.0333333333333333,0.0492661361626879,0.0380116959064328,0.0542661361626879,0.0552185171150688,0.046047410192147,0.24679055750879,0.245714285714286,0.0954843030966559,0.241781609195402
"Ecadherin",-0.0790909090909091,-0.0898733669335707,-0.0896925351071693,-0.00746222892452409,-0.133050871012348,-0.114489222118088,-0.107272727272727,-0.140528770339523,-0.190342666742246,0.081429237759923,0.0188535436520977,-0.1,0.126692299783123,-0.164162521581344,-0.0771436584539836,-0.08125,-0.0629704301075269,0.0841267501842299,-0.05,-0.12919084233533,0.0486404397024215,0.231975702197445,-0.173089545241444,0.160755693270704,0.0472120675169456,0.103328773369813,0.0666666666666667,-0.116653115144735,0.120524175668664,0.103328773369813,0.121255194774495,0.130409823832428,-0.0403544494720965,-0.0403544494720965,0.119607843137255,-0.0403544494720965,0.135078357912727,-0.0756521739130435,0.130285295108943,-0.0302985835503088,0.164162521581344,-0.06,0.228753415779416,0.119607843137255,-0.0700529100529101,0,-0.150143540669856,-0.0552380952380952,-0.151174468504908,-0.15823766553093,-0.0622607022607023,0.113312751529853,0.107272727272727,0.180481991193776,0.0804242424242424
"KLF4",-0.0590909090909091,-0.0896925351071693,-0.0804242424242424,-0.0140983845309314,-0.140166975881262,-0.107272727272727,-0.107272727272727,-0.128819909580029,-0.184564474757158,0.0866923956546598,0.0209019607843137,0,0.13424378719731,-0.163214654282766,-0.0629704301075269,-0.05,-0.08125,0.0756521739130435,-0.1,-0.103328773369813,0.0533384262796027,0.224450115201659,-0.162962962962963,0.25578977311491,0.0573402726451507,0.119607843137255,0.1,-0.12019129019129,0.12919084233533,0.119607843137255,0.130285295108943,0.135078357912727,-0.0285897435897436,-0.0285897435897436,0.0666666666666667,-0.0285897435897436,0.121255194774495,-0.08,0.103328773369813,-0.0403544494720965,0.163214654282766,0,0.227310116810344,0.0666666666666667,-0.0552380952380952,-0.1,-0.129090909090909,-0.06,-0.150143540669856,-0.151174468504908,-0.0700529100529101,0.114489222118088,0.08,0.180923492297529,0.0790909090909091
"HEY1",-0.0590909090909091,-0.0896925351071693,-0.0804242424242424,-0.0140983845309314,-0.140166975881262,-0.107272727272727,-0.107272727272727,-0.128819909580029,-0.184564474757158,0.0866923956546598,0.0209019607843137,0,0.13424378719731,-0.163214654282766,-0.0629704301075269,-0.05,-0.08125,0.0756521739130435,-0.1,-0.103328773369813,0.0533384262796027,0.224450115201659,-0.162962962962963,0.25578977311491,0.0573402726451507,0.119607843137255,0.1,-0.12019129019129,0.12919084233533,0.119607843137255,0.130285295108943,0.135078357912727,-0.0285897435897436,-0.0285897435897436,0.0666666666666667,-0.0285897435897436,0.121255194774495,-0.08,0.103328773369813,-0.0403544494720965,0.163214654282766,0,0.227310116810344,0.0666666666666667,-0.0552380952380952,-0.1,-0.129090909090909,-0.06,-0.150143540669856,-0.151174468504908,-0.0700529100529101,0.114489222118088,0.08,0.180923492297529,0.0790909090909091
"TrCP",-0.0523809523809524,-0.0574962324721245,-0.0558568882098294,-0.0775442961036391,-0.0374150343211117,-0.110567428150332,-0.115652173913043,0.0362111867770307,0.161538614863577,-0.0531765676567657,-0.0803849049501223,0.119047619047619,0.0266438735514656,-0.114910208456373,0.0892539113614382,0.0824884792626728,0.0812539113614383,0.0347328895715993,0.0857142857142857,0.142046783625731,0.0303664344298439,-0.298643849298012,-0.111904761904762,-0.204865612255986,-0.114538733051268,-0.128888888888889,-0.1,-0.0595246928182133,-0.139607759235487,-0.128888888888889,-0.143124907085303,-0.150997193164486,0.0934613953982677,0.0934613953982677,-0.14,0.0934613953982677,-0.151273055233451,-0.0347328895715993,-0.145105105105105,0.0893704863073586,0.114910208456373,-0.0833333333333333,-0.17330885770053,-0.14,-0.0425438596491228,-0.133333333333333,-0.0358974358974359,-0.0583333333333333,-0.0312820512820513,-0.0312820512820513,-0.0536549707602339,0.118567428150332,0.12,-0.0700995670995671,0.0543417366946779
"PAK1",-0.0523809523809524,-0.0574962324721245,-0.0558568882098294,-0.0775442961036391,-0.0374150343211117,-0.110567428150332,-0.115652173913043,0.0362111867770307,0.161538614863577,-0.0531765676567657,-0.0803849049501223,0.119047619047619,0.0266438735514656,-0.114910208456373,0.0892539113614382,0.0824884792626728,0.0812539113614383,0.0347328895715993,0.0857142857142857,0.142046783625731,0.0303664344298439,-0.298643849298012,-0.111904761904762,-0.204865612255986,-0.114538733051268,-0.128888888888889,-0.1,-0.0595246928182133,-0.139607759235487,-0.128888888888889,-0.143124907085303,-0.150997193164486,0.0934613953982677,0.0934613953982677,-0.14,0.0934613953982677,-0.151273055233451,-0.0347328895715993,-0.145105105105105,0.0893704863073586,0.114910208456373,-0.0833333333333333,-0.17330885770053,-0.14,-0.0425438596491228,-0.133333333333333,-0.0358974358974359,-0.0583333333333333,-0.0312820512820513,-0.0312820512820513,-0.0536549707602339,0.118567428150332,0.12,-0.0700995670995671,0.0543417366946779
"EGR1",-0.0523809523809524,-0.0574962324721245,-0.0558568882098294,-0.0775442961036391,-0.0374150343211117,-0.110567428150332,-0.115652173913043,0.0362111867770307,0.161538614863577,-0.0531765676567657,-0.0803849049501223,0.119047619047619,0.0266438735514656,-0.114910208456373,0.0892539113614382,0.0824884792626728,0.0812539113614383,0.0347328895715993,0.0857142857142857,0.142046783625731,0.0303664344298439,-0.298643849298012,-0.111904761904762,-0.204865612255986,-0.114538733051268,-0.128888888888889,-0.1,-0.0595246928182133,-0.139607759235487,-0.128888888888889,-0.143124907085303,-0.150997193164486,0.0934613953982677,0.0934613953982677,-0.14,0.0934613953982677,-0.151273055233451,-0.0347328895715993,-0.145105105105105,0.0893704863073586,0.114910208456373,-0.0833333333333333,-0.17330885770053,-0.14,-0.0425438596491228,-0.133333333333333,-0.0358974358974359,-0.0583333333333333,-0.0312820512820513,-0.0312820512820513,-0.0536549707602339,0.118567428150332,0.12,-0.0700995670995671,0.0543417366946779
"Jagged",-0.2,-0.0546666666666667,-0.0666666666666667,-0.0657142857142857,-0.0256410256410257,-0.18,-0.2,0.0416666666666667,0.14769111969112,-0.08,-0.095,0,0.0185281385281385,-0.103623188405797,0.0948717948717949,0.133333333333333,0.133333333333333,0.0261904761904762,0.1,0.08,-0.05,-0.277677224736048,-0.116666666666667,-0.205122807017544,-0.112376074629596,-0.1,0,-0.0509090909090909,-0.133846153846154,-0.1,-0.133846153846154,-0.141771561771562,0.08,0.08,0,0.08,-0.118694638694639,-0.05,-0.08,0.0981818181818182,0.103623188405797,0,-0.154285714285714,0,-0.133333333333333,0,-0.2,-0.1,-0.18,-0.151428571428571,-0.0777777777777778,0.113333333333333,0.1,-0.0908045977011494,0.1
"SHH",-0.2,-0.0933333333333334,-0.133333333333333,-0.075,0.02,-0.1,-0.1,0.1,0.336883116883117,-0.2,-0.1,0,-0.134285714285714,-0.1,0.0933333333333333,0.1,0.133333333333333,0.0166666666666667,0,0.1,0.0666666666666667,-0.429501915708812,-0.15,-0.1225,0.125017921146953,0,0,-0.0333333333333333,-0.15,-0.1,-0.25,-0.313333333333333,0.05,0.05,0,0.05,-0.296666666666667,-0.0666666666666667,-0.2,0.0576923076923077,0.1,0,-0.371428571428571,-0.1,0.1,0,0.1,0,0.2,0.2,0.05,0.12,0,-0.256410256410256,0.233333333333333
"ZEB2",-0.305194805194805,-0.300949632378204,-0.300420531849103,-0.291098679098679,-0.207616747181965,-0.187436332767402,-0.184210526315789,-0.173838960115372,-0.132248602946674,-0.127948717948718,-0.122351566563182,-0.1,-0.0960556566597069,-0.0870519162105281,-0.0833037694013304,-0.08,-0.0751219512195122,-0.0750026613716068,-0.0714285714285714,-0.0644522144522145,-0.0643164899616513,-0.0458921448454729,0.0133286895239487,0.0338293434310093,0.0411476788283602,0.0439393939393939,0.05,0.0516205969437392,0.0534430401402878,0.0566666666666667,0.0683138401559454,0.0737199129563844,0.0772727272727273,0.0772727272727273,0.0772727272727273,0.0772727272727273,0.0785251077615792,0.0786611979569726,0.0803508771929825,0.0869087015767958,0.0870519162105281,0.0888888888888889,0.0890843149596859,0.09,0.0991666666666667,0.1,0.1,0.101388888888889,0.112,0.113639344262295,0.118792834890966,0.177680235206427,0.2,0.256166981524649,0.29974025974026
"Patched",-0.233333333333333,-0.06,-0.0933333333333334,-0.045,0.0628571428571429,-0.12,-0.1,0.103225806451613,0.353366633366633,-0.2,-0.103703703703704,0,-0.182433862433862,-0.0666666666666667,0.0683333333333333,0.133333333333333,0.0933333333333333,-0.0133333333333333,0.1,0.15,0.0282051282051282,-0.457501915708812,-0.0944444444444444,-0.121529126213592,0.125017921146953,-0.1,-0.1,-0.0119047619047619,-0.2,-0.2,-0.296666666666667,-0.333721682847896,0.0576923076923077,0.0576923076923077,0,0.0576923076923077,-0.313333333333333,-0.0166666666666667,-0.25,0.0701923076923077,0.0666666666666667,0,-0.425974025974026,-0.1,0.05,0,0.2,0.1,0.2,0.227272727272727,0.0642857142857143,0.0969230769230769,0.1,-0.28974358974359,0.133333333333333
"SMO",-0.133333333333333,-0.0491891891891892,-0.06,-0.045,0.0628571428571429,-0.0969230769230769,-0.12,0.122273425499232,0.368095315537176,-0.184210526315789,-0.10958605664488,0.1,-0.203862433862434,-0.0548022598870057,0.0738888888888889,0.0933333333333333,0.0683333333333333,-0.033968253968254,0.133333333333333,0.2,0.00439560439560439,-0.478454296661193,-0.0611111111111111,-0.128540196324293,0.135697532797439,-0.15,-0.1,-0.0106389391199518,-0.216666666666667,-0.25,-0.313333333333333,-0.338984840742633,0.0701923076923077,0.0701923076923077,-0.1,0.0701923076923077,-0.333721682847896,0.0133333333333333,-0.296666666666667,0.0585644007155635,0.0548022598870057,0.1,-0.457008508732647,-0.2,0.0642857142857143,0,0.2,0.05,0.227272727272727,0.262272727272727,0.0922857142857143,0.0757109557109557,0.1,-0.302364948966891,0.0933333333333334
"TCFLEF",-0.0487179487179487,-0.00516745364849218,-0.016094605966373,0.0851049367979815,0.0115456674473068,-0.09732868757259,-0.102090592334495,0.142235625833952,0.477309973071287,0.0941673575925073,0.0169071151475737,-0.05,0.00332054513594629,-0.0538603136629453,-0.0532355130851074,-0.0576190476190476,-0.0495545314900154,-0.0482758443126764,-0.0433333333333333,0.0404248366013072,-0.0917807593491293,0.0650162095763366,-0.0663149350649351,0.0898931713940156,0.174965879019392,-0.0293137254901961,0.0333333333333333,-0.0052578278481893,-0.0615428490236674,-0.0241666666666667,-0.05729035639413,-0.176505705764119,-0.206094222897472,-0.206094222897472,0.0156862745098039,-0.206094222897472,-0.164735946313947,0.0408188653451811,-0.0352777777777778,-0.206488441031506,0.0538603136629453,-0.17012987012987,0.303635164835165,0.0208333333333333,-0.15012987012987,-0.142857142857143,-0.21037780966045,-0.15012987012987,-0.19273075083692,-0.187082910305359,-0.147955957086392,0.0918865107018417,0.114285714285714,-0.405643702440634,0.030113297555158
"FUS",-0.0933333333333334,-0.0396147211040828,-0.0491891891891892,-0.0371052631578947,0.0824447717231222,-0.0757109557109557,-0.0969230769230769,0.124160217952062,0.374956629405789,-0.188056680161943,-0.113250978110849,0.133333333333333,-0.224344361573277,-0.0443728120342449,0.0668181818181818,0.0683333333333333,0.0738888888888889,-0.0359037378392217,0.0933333333333333,0.216666666666667,-0.0144449753145405,-0.48904675626622,-0.0463570127504554,-0.128540196324293,0.134766434100977,-0.2,-0.2,-0.00271814704074386,-0.235897435897436,-0.296666666666667,-0.333721682847896,-0.349854405960025,0.0585644007155635,0.0585644007155635,-0.15,0.0585644007155635,-0.338984840742633,0.033968253968254,-0.313333333333333,0.0598744443836858,0.0443728120342449,0.05,-0.481232111217119,-0.25,0.0922857142857143,0.1,0.227272727272727,0.0642857142857143,0.262272727272727,0.280454545454545,0.111516483516484,0.0676649786994614,0.12,-0.31407063458562,0.06
"RAS",0.02,-0.0164006988934188,-0.00352941176470589,-0.000317460317460322,0.0705660377358491,0.175789473684211,0.16,-0.0643854473942969,-0.242148470636843,-0.0813852813852814,0.129514457174032,0.1,0.188074117878967,-0.0405449189985272,0.132915254237288,0.15,0.138,0.170871985157699,0.2,-0.152941176470588,0.155138339920949,0.368552483711638,-0.0271428571428571,0.103585093237998,-0.00567264763926307,0.1,0,-0.0593846153846154,0.152941176470588,0.1,0.15081351689612,0.176522821755567,0.296923076923077,0.296923076923077,0.1,0.296923076923077,0.178505824588428,-0.154545454545455,0.152941176470588,0.206538461538462,0.0405449189985272,0.1,0.178498023715415,0.1,0.1,0.1,0.05,0.0666666666666667,0.0763157894736842,0.0706554121151936,0.116666666666667,-0.173828689370485,-0.16,0.213062015503876,-0.02
"SUFU",-0.06,-0.0362616639048718,-0.0396147211040828,-0.0378496800313439,0.0869345676414896,-0.0676649786994614,-0.0757109557109557,0.132167032262113,0.381495704365917,-0.191553183658447,-0.115106648213942,0.0933333333333333,-0.228382366323871,-0.0395418941598488,0.0733818883818884,0.0738888888888889,0.0668181818181818,-0.0402917286013464,0.0683333333333333,0.235897435897436,-0.0144449753145405,-0.498209577624164,-0.0349797672414733,-0.131938754511729,0.14022346002185,-0.216666666666667,-0.25,-0.00197465261695204,-0.240730149652083,-0.313333333333333,-0.338984840742633,-0.352053894451073,0.0598744443836858,0.0598744443836858,-0.2,0.0598744443836858,-0.349854405960025,0.0359037378392217,-0.333721682847896,0.0557605203330529,0.0395418941598488,0.0642857142857143,-0.493644289203067,-0.296666666666667,0.111516483516484,0.05,0.262272727272727,0.0922857142857143,0.280454545454545,0.289978354978355,0.113529906335275,0.0646862552952061,0.0969230769230769,-0.320240300395389,0.0491891891891892
"miR200",-0.2,-0.190908756600915,-0.188583175205566,-0.17441452856087,-0.11723219586667,-0.114675324675325,-0.132857142857143,-0.0988981388981389,-0.155580903384224,-0.0705867182462927,0.00870951134754816,-0.04,-0.0179407016702629,-0.0294444444444444,-0.0376064024949551,-0.0341666666666667,-0.0354324894514768,-0.0114845301174261,-0.0275,-0.0769577464788732,-0.00836158192090396,0.0641197327358832,-0.0289855072463768,0.130059644173197,0.0566213167319602,0.084,0.1,-0.0323332451421348,0.0846500541711809,0.0930434782608696,0.0938663932790686,0.0953454697581451,-0.00218905472636816,-0.00218905472636816,0.08,-0.00218905472636816,0.0930727424854179,0.0136788874841972,0.0860012247397428,-0.00443344375379958,0.0294444444444444,0,0.132252492001631,0.08,0.0309774436090226,0.1,0.0189162561576355,0.00526315789473684,0.0292610837438424,0.0320859425009045,0.0309774436090226,0.118076685219542,0.142857142857143,0.157489753273182,0.190196078431373
