"","GSK3","cateninmemb","RAF","PI3K","DSH","cateninnuc","Ecadherin","NFB","Csn","ZEB2","ZEB1","SUFU","LIV1","IKK","AKT","FUS","SMO","Patched","SHH","TrCP","SNAI2","SMAD","KLF4","MEK","CDC42","TGFR","cfos","PAK1","FOXC2","ERK","TGF","EGR1","SNAI1","RKIP","HEY1","ILK","TWIST1","miR200","SOSGRB2","Jagged","NOTCH","Csl","NOTCHic","TCFLEF","STAT","CD44","Destcompl","GLI","cMet","SRC","Wnt","DELTA","RAS","Frizzled","AXIN2"
"PI3K",0.0144781144781145,-0.150452625759399,-0.0618874458874459,-0.0618874458874459,-0.2,-0.196470822909222,-0.117407226085541,-0.0666666666666667,-0.0333333333333333,-0.096734829673629,-0.096734829673629,-0.1,-0.1,-0.0607843137254902,-0.0582202111613876,-0.2,-0.183333333333333,-0.16025641025641,-0.13525641025641,0,-0.0281882814141333,-0.0715649459783914,-0.0798245614035088,0.0253202920512467,-0.139705882352941,-0.147705882352941,-0.0571428571428571,-0.075,0.115867595818815,-0.0630252100840336,0.132258727881396,0,0.0493719806763285,0.0612475759534583,0.0657552214710927,0.0723649459783914,0.173685639615789,0.0390321021468563,0.0561538461538462,0.146929824561404,0.204466501240695,0.2,0.207692307692308,0.203274946620562,0.2,0.215139353400223,-0.0466727327873825,0.215139353400223,0.228985507246377,0.233333333333333,0.228985507246377,0.0618874458874459,0.0591477198600486,0.233333333333333,0.260285714285714
"Frizzled",0.010067920585162,-0.19969464622007,-0.112952836637047,-0.112952836637047,-0.3,-0.222070158840811,-0.168653664719754,-0.193333333333333,-0.133333333333333,-0.0712359901700357,-0.0712359901700357,-0.1,-0.1,-0.193333333333333,-0.193333333333333,-0.2,-0.190909090909091,-0.167099567099567,-0.141293115486664,-0.1,-0.0832502991406505,-0.0532281165187055,-0.05406162464986,0.0451416122004357,-0.0733333333333333,-0.0907246376811594,-0.08,0,0.0634780152528011,-0.0858823529411765,0.078343685300207,0,0.0905797101449275,0.0892857142857143,0.0503436988543372,0.0579010137149672,0.118081232492997,0.0281628787878788,0.0909090909090909,0.157650029708853,0.240056022408964,0.221428571428571,0.238095238095238,0.230641587412239,0.2,0.244548872180451,-0.0328543404080823,0.244548872180451,0.255263157894737,0.25,0.255263157894737,0.112952836637047,0.11374023821185,0.25,0.292628611698379
"TWIST1",0.18344991449138,0.206423316034632,0.206911111471516,0.206911111471516,0.166666666666667,0.159367006662415,0.197343669668203,0.273076923076923,0.25,-0.0671179951881706,-0.0671179951881706,0.233333333333333,0.166666666666667,0.277838827838828,0.279533743093065,0.244444444444444,0.232444444444444,0.233814307458143,0.231351253270951,0.2,0.0862493868350872,0.0475788569847976,-0.0807171148634563,0.0111653403463233,0.0221943573667712,0.0171943573667712,-0.00376811594202898,0.0290909090909091,0.00300099375493224,-0.0116628527841342,-0.0142330817403475,-0.0266666666666667,-0.038130521903122,-0.034302171258693,-0.0217483081889862,-0.043948493948494,-0.142411372634485,0.0655710442651015,-0.0856793600500694,-0.150304429064138,-0.211788421222383,-0.211111111111111,-0.213675213675214,-0.15861945059571,-0.166666666666667,-0.159078868666154,-0.19914417504246,-0.157698245614035,-0.160283687943262,-0.166666666666667,-0.159298245614035,-0.206911111471516,-0.205883714211242,-0.166666666666667,-0.21079393724555
"TGF",-0.110440157798279,-0.0321698723017042,0.00892857142857144,0.00892857142857144,0,-0.031631609039752,-0.0300155919909863,0.141666666666667,0.166666666666667,-0.0626244134710954,-0.0626244134710954,0.0666666666666667,0,0.141666666666667,0.13640350877193,0.0466666666666667,0.0633333333333333,0.0529885057471264,0.0561135057471264,0.2,0.00089705534014353,0.0663734115347019,-0.0589880498347318,0.0326315789473684,-0.131111111111111,-0.135873015873016,-0.1,-0.12,0.0252950310559006,-0.0526315789473684,0.0323015873015873,0.1,-0.00247933884297521,-0.0367965367965368,-0.0488072211476467,-0.0712121212121212,0.035,0.0644723092998955,-0.025,-0.0534118802160039,-0.133218390804598,-0.146666666666667,-0.136666666666667,0.0325885468387951,0,0.0352201257861635,0.0136381113472893,0.044743935309973,0.0333333333333333,0.0333333333333333,0.0428571428571429,-0.00892857142857144,-0.0107142857142857,0.0428571428571429,0.0358465608465608
"Wnt",0.0179467084639498,-0.211440677966102,-0.0902255639097744,-0.0902255639097744,-0.2,-0.230641587412239,-0.169352965419055,-0.133333333333333,-0.1,-0.0563845050215208,-0.0563845050215208,0,0,-0.193333333333333,-0.193333333333333,-0.1,-0.2,-0.190909090909091,-0.167099567099567,-0.1,-0.0848275862068966,-0.0579010137149672,-0.0588235294117647,0.0858823529411765,0,-0.0733333333333333,0,0.1,0.0797570850202429,-0.08,0.0907246376811594,-0.1,0.109627329192547,0.125,0.0907692307692308,0.0974358974358975,0.136176470588235,0.0187878787878788,0.136363636363636,0.180882352941176,0.238095238095238,0.15,0.221428571428571,0.244548872180451,0.1,0.255263157894737,-0.027284048630894,0.255263157894737,0.25,0.2,0.25,0.0902255639097744,0.112952836637047,0.3,0.29030303030303
"ZEB1",0.12832093565155,0.213817705881548,0.159657236523506,0.159657236523506,0.204761904761905,0.181978737777936,0.0733321468220068,0.14140350877193,0.146666666666667,-0.0521280730029297,-0.0521280730029297,0.141666666666667,0.233333333333333,0.133206787460454,0.134635358889026,0.129166666666667,0.106439393939394,0.106439393939394,0.104660034508789,0.166666666666667,0.0598847786256197,0.0213380573765403,-0.0610962823516846,-0.0219908439146584,0.308145927036482,0.294440343280137,0.0306666666666667,0.329885057471264,-0.272903462587061,0.0224313725490196,-0.286960028319507,-0.0666666666666667,-0.130585849457288,-0.124510370351763,0.00284466828508279,-0.0126842112226941,-0.24483227555472,-0.0674557085696492,0.180818713450292,-0.106943313651838,-0.17191095446443,-0.1875,-0.177696078431373,-0.179434706466782,-0.21025641025641,-0.178902791573165,-0.233648793571948,-0.172166306997838,-0.182375013795387,-0.198061288305191,-0.175259090502993,-0.159657236523506,-0.154460386129805,-0.192566782810685,-0.229478001765866
"KLF4",-0.249625381506623,-0.322083069369655,-0.293974358974359,-0.293974358974359,-0.233333333333333,-0.21932078572568,-0.223467963905177,-0.26,-0.2,-0.0474509803921569,-0.0474509803921569,-0.2,-0.233333333333333,-0.274285714285714,-0.274285714285714,-0.233333333333333,-0.216666666666667,-0.210416666666667,-0.211491935483871,-0.1,-0.0879259347378771,0.0262028985507246,-0.0185185185185185,-0.186194387783229,-0.147090909090909,-0.137757575757576,0.165454545454545,-0.159090909090909,0.104729896260447,0.183101604278075,0.134342941611234,-0.12,-0.0548414467831846,-0.0398165326736755,-0.0586860198624904,-0.032,0.187464052287582,0.0273137973137973,0.079874213836478,0.213999363954386,0.28944310166231,0.287272727272727,0.292535885167464,0.218199988714472,0.233333333333333,0.217865540553936,0.264777397939516,0.217025960344041,0.22047423620611,0.227450980392157,0.22047423620611,0.293974358974359,0.291768476621418,0.227450980392157,0.290856596076951
"HEY1",-0.249625381506623,-0.322083069369655,-0.293974358974359,-0.293974358974359,-0.233333333333333,-0.21932078572568,-0.223467963905177,-0.26,-0.2,-0.0474509803921569,-0.0474509803921569,-0.2,-0.233333333333333,-0.274285714285714,-0.274285714285714,-0.233333333333333,-0.216666666666667,-0.210416666666667,-0.211491935483871,-0.1,-0.0879259347378771,0.0262028985507246,-0.0185185185185185,-0.186194387783229,-0.147090909090909,-0.137757575757576,0.165454545454545,-0.159090909090909,0.104729896260447,0.183101604278075,0.134342941611234,-0.12,-0.0548414467831846,-0.0398165326736755,-0.0586860198624904,-0.032,0.187464052287582,0.0273137973137973,0.079874213836478,0.213999363954386,0.28944310166231,0.287272727272727,0.292535885167464,0.218199988714472,0.233333333333333,0.217865540553936,0.264777397939516,0.217025960344041,0.22047423620611,0.227450980392157,0.22047423620611,0.293974358974359,0.291768476621418,0.227450980392157,0.290856596076951
"IKK",0.0640659340659341,0.184177963563438,0.206775559588627,0.206775559588627,0.15,0.166867845020602,0.133395467573,0.314285714285714,0.3,-0.0416190476190476,-0.0416190476190476,0.1,0.1,0.230952380952381,0.233655083655084,0.12,0.14,0.136296296296296,0.12250319284802,0.2,0.0964383561643836,0.0478272827282728,-0.0501831501831502,0.00526984126984127,0.0333333333333333,0.046969696969697,0.0142857142857143,0,-0.0300721500721501,0.0102857142857143,-0.041369696969697,0,-0.0789652247667515,-0.0885245901639344,-0.0442724458204334,-0.0527777777777778,-0.0737581699346405,0.0287179487179487,-0.0775210084033613,-0.124568884723524,-0.252669552669553,-0.227272727272727,-0.251082251082251,-0.170243372446762,-0.15,-0.178717948717949,0.00588512834673822,-0.178717948717949,-0.183333333333333,-0.183333333333333,-0.183333333333333,-0.206775559588627,-0.209592460997077,-0.183333333333333,-0.220714285714286
"NFB",0.0621051497522086,0.181326854798919,0.209592460997077,0.209592460997077,0.183333333333333,0.165691374432367,0.135482144940576,0.230952380952381,0.314285714285714,-0.0343393541324576,-0.0343393541324576,0.12,0.15,0.233655083655084,0.233655083655084,0.14,0.136296296296296,0.12250319284802,0.117683915739587,0.3,0.0970481122619445,0.0496860187877524,-0.0463369963369963,0.017688141923436,0.046969696969697,0.041369696969697,0.0102857142857143,0.0333333333333333,-0.0209088034586043,-0.00526984126984127,-0.0331418488684311,-0.0142857142857143,-0.0775953617530528,-0.0808322824716267,-0.0371295886775763,-0.0478272827282728,-0.0645518207282913,0.0247904562708188,-0.0722578505086245,-0.117374640119207,-0.250734068798585,-0.251082251082251,-0.252669552669553,-0.166867845020602,-0.183333333333333,-0.170243372446762,0.00837682269889769,-0.169729184673005,-0.178717948717949,-0.183333333333333,-0.178717948717949,-0.209592460997077,-0.207104898808023,-0.183333333333333,-0.21645896656535
"Csn",-0.0642201486429355,0.0165098573722605,0.0221678793184997,0.0221678793184997,0.133333333333333,0.105340078390816,-0.0256062141617517,0.0716666666666667,0.08,-0.0310901571546733,-0.0310901571546733,0.0142857142857143,0.133333333333333,0.0675,0.0651,0.00317460317460317,-0.011976911976912,-0.0216543313317507,-0.0241133477251933,0.18,0.0145598199859176,-0.044380295736267,-0.038915463621346,-0.00832521645021645,0.16370420624152,0.152165744703058,0.0366666666666667,0.168181818181818,-0.133047714131427,0.0197835497835498,-0.143335195777044,-0.0366666666666667,-0.100499727320049,-0.0997523292519087,0.056218161683278,0.0513211697722567,-0.0982351566152408,0.0192790711152352,0.0276190476190476,0.00879475520778259,-0.0912726162726163,-0.103535353535354,-0.097041847041847,-0.104438094025212,-0.133333333333333,-0.106367354475373,0.119618982335594,-0.106468276357954,-0.112145132253151,-0.122988505747126,-0.112145132253151,-0.0221678793184997,-0.017369414827137,-0.122988505747126,-0.145949697041234
"SNAI2",-0.151162036310365,-0.143438538506232,-0.16815100514259,-0.16815100514259,-0.110909090909091,-0.107511042375848,-0.0759784783606987,-0.158333333333333,-0.133333333333333,-0.0252974617159639,-0.0252974617159639,-0.1,-0.12,-0.161781609195402,-0.160576789918294,-0.12,-0.102352941176471,-0.104393757503001,-0.104393757503001,-0.1,-0.0586777072321071,0.0219537319611449,-0.0101923076923077,-0.132723900370959,-0.096358543417367,-0.0937944408532644,0.129411764705882,-0.105882352941176,0.0865533877538054,0.131372549019608,0.0925522048284197,-0.1,-0.0256157499950875,-0.0171794871794872,-0.0415913200723327,-0.0243460764587525,0.0956176231524983,0.0149202620953513,0.0711291413116971,0.104020140099533,0.16275347459558,0.16359649122807,0.165350877192982,0.106889924363425,0.110909090909091,0.106683738796415,0.158035778865702,0.106148979438126,0.106683738796415,0.110909090909091,0.106683738796415,0.16815100514259,0.166781142128891,0.110909090909091,0.163371340811459
"MEK",0.0394617054191522,0.0576943165752348,0.0814213564213564,0.0814213564213564,-0.0333333333333333,-0.0292119660698284,0.0532346120909443,-0.0571428571428571,-0.0571428571428571,-0.00454961171460454,-0.00454961171460454,-0.0666666666666667,0,-0.0662337662337662,-0.0721161191749427,-0.0866666666666667,-0.0986666666666667,-0.0937486338797814,-0.0852519018536376,-0.1,-0.0863228198658248,-0.0714402330318249,0.00334768053562889,0.00752506725360724,-0.0104761904761905,-0.0132799287939475,-0.127241379310345,0.0133333333333333,0.00730597971977283,-0.120858400586941,0.00744051273555333,0.11,0.0177783392055645,0.0316747751732272,0.0643135184598599,0.074761266242157,-0.0441872180107474,-0.00522184635068864,-0.0466031746031746,0.0971035799440431,0.0885593725009784,0.0757575757575758,0.0834498834498835,0.0314424493412039,0.0333333333333333,0.0347503373819163,-0.144171554295183,0.0294871794871795,0.042442645074224,0.0385964912280702,0.0371794871794872,-0.0814213564213564,-0.083008658008658,0.0333333333333333,0.039737522332459
"miR200",-0.00801954728123719,-0.0530578128165014,-0.0581783390738615,-0.0581783390738615,-0.1,-0.052696431186389,0.0528439455752282,-0.00315789473684211,-0.04,0.00021505376344086,0.00021505376344086,-0.04,-0.1,-0.000300751879699252,0.00158604057313094,-0.0025,-0.0025,0.00636075949367088,0.00418684645019262,-0.1,-0.0388133356729309,0.0216929015220135,0.00560731538992409,0.0196289424860853,-0.203186274509804,-0.183831435800127,-0.0271428571428571,-0.220833333333333,0.162384444823469,-0.0135064935064935,0.176273296265243,0.0571428571428571,0.0464722314722315,0.0368039731229915,-0.0349717514124294,-0.0276490143746781,0.138588528036381,-0.0144058852926478,-0.161337846550613,0.00611062095420762,0.0329971333945618,0.0530049261083744,0.0392118226600985,0.0498176433076011,0.1,0.0490239925139503,0.119070683647506,0.0436316359696641,0.0568891610532762,0.0695652173913043,0.0513239436619718,0.0581783390738615,0.0529414313431882,0.064,0.100164844173698
"RKIP",0.0357762017336486,0.0523284629166982,0.0925324675324675,0.0925324675324675,0,-0.0314424493412039,0.0559668525281028,-0.0571428571428571,-0.1,0.0033868962219034,0.0033868962219034,-0.1,0,-0.0571428571428571,-0.0662337662337662,-0.0666666666666667,-0.0866666666666667,-0.0986666666666667,-0.0937486338797814,-0.1,-0.0843763478463601,-0.074761266242157,0.0013868962219034,0.120858400586941,0.0133333333333333,-0.0104761904761905,-0.11,0.0333333333333333,0.0154140878278809,-0.127241379310345,0.0132799287939475,0.06,0.0261116725388978,0.0461484593837535,0.0752226093689509,0.0896127513906718,-0.0350297088532383,-0.0104850042454255,-0.031047619047619,0.107759317648961,0.0834498834498835,0.0666666666666667,0.0757575757575758,0.0347503373819163,0,0.042442645074224,-0.140824273960455,0.0371794871794872,0.0385964912280702,0.0333333333333333,0.0333333333333333,-0.0925324675324675,-0.0814213564213564,0.0333333333333333,0.0424402250351617
"RAF",0.0357762017336486,0.0523284629166982,0.0925324675324675,0.0925324675324675,0,-0.0314424493412039,0.0559668525281028,-0.0571428571428571,-0.1,0.0033868962219034,0.0033868962219034,-0.1,0,-0.0571428571428571,-0.0662337662337662,-0.0666666666666667,-0.0866666666666667,-0.0986666666666667,-0.0937486338797814,-0.1,-0.0843763478463601,-0.074761266242157,0.0013868962219034,0.120858400586941,0.0133333333333333,-0.0104761904761905,-0.11,0.0333333333333333,0.0154140878278809,-0.127241379310345,0.0132799287939475,0.06,0.0261116725388978,0.0461484593837535,0.0752226093689509,0.0896127513906718,-0.0350297088532383,-0.0104850042454255,-0.031047619047619,0.107759317648961,0.0834498834498835,0.0666666666666667,0.0757575757575758,0.0347503373819163,0,0.042442645074224,-0.140824273960455,0.0371794871794872,0.0385964912280702,0.0333333333333333,0.0333333333333333,-0.0925324675324675,-0.0814213564213564,0.0333333333333333,0.0424402250351617
"ERK",-0.0431855927942658,-0.0574183276147932,-0.083008658008658,-0.083008658008658,0.0333333333333333,0.0299064105142728,-0.0525823635499213,0.0662337662337662,0.0571428571428571,0.0113212652579116,0.0113212652579116,0.0866666666666667,0.0333333333333333,0.0721161191749427,0.0711986879822822,0.0986666666666667,0.0937486338797814,0.0852519018536376,0.0804209839792415,0.0571428571428571,0.0855112779361584,0.0766074062841045,0.00362906365041762,0.00612395781603064,0.0132799287939475,0.00744051273555333,0.120858400586941,0.0104761904761905,0.00141196899817589,0.00752506725360724,0.00107597078093019,-0.127241379310345,-0.017546857724083,-0.0252680899364584,-0.0605592522482558,-0.0714402330318249,0.0495963719635907,0.00203557184088472,0.0456323008167668,-0.0937903269319949,-0.0849582644677374,-0.0834498834498835,-0.0885593725009784,-0.0292119660698284,-0.0385964912280702,-0.0314424493412039,0.145937807583421,-0.026730287256603,-0.0347503373819163,-0.042442645074224,-0.0294871794871795,0.083008658008658,0.0875191090537625,-0.0371794871794872,-0.0366480914381501
"SOSGRB2",0.0765641744884382,0.0838263718263718,0.0103578154425612,0.0103578154425612,0,0.00783279172242686,0.0768531606323371,-0.0666666666666667,-0.1,0.0347869674185464,0.0347869674185464,0,0,-0.0614035087719298,-0.0655701754385965,0.0333333333333333,0.0333333333333333,0.036036036036036,0.0430127802220825,-0.2,0.0142184177256493,0.0513467177983307,0.0419298245614035,0.0141804141804142,-0.0342857142857143,-0.041978021978022,-0.0380952380952381,-0.0142857142857143,0.0337728937728938,-0.0353925353925354,0.0327581638219936,0.00476190476190476,0.0423439943141436,0.00241228070175438,-0.0517992424242424,-0.0464516129032258,-0.000144927536231884,-0.018209181614067,0.0258333333333333,-0.0316482534249477,0.0741357234314981,0.0727272727272727,0.0727272727272727,-0.00572954124441539,0,0.00269151138716356,-0.0459043193942523,-0.00129399585921325,0.00993788819875776,0.0142857142857143,0.00595238095238095,-0.0103578154425612,-0.0103578154425612,0.0142857142857143,0.00616061606160616
