"","TCFLEF","cateninmemb","CD44","FOXC2","SRC","STAT","TWIST1","LIV1","ILK","RKIP","TGFR","CDC42","SNAI1","AKT","SMO","Patched","MEK","ZEB2","ZEB1","ERK","cfos","SNAI2","SHH","IKK","FUS","miR200","PAK1","NFB","EGR1","TGF","SUFU","Csn","GSK3","SMAD","TrCP","SOSGRB2","RAF","PI3K","DELTA","HEY1","KLF4","RAS","Csl","NOTCHic","NOTCH","Ecadherin","DSH","Jagged","Frizzled","cMet","Wnt","GLI","cateninnuc","Destcompl","AXIN2"
"cfos",0.4995331965629,0.514298777560829,0.448048048048048,-0.0748514039762246,0.3,0.2,0.147186147186147,0.1,0.0322751322751323,-0.0704195804195804,0.0927170868347339,0.0476190476190476,-0.0233503205655104,-0.0462719298245614,-0.0142857142857143,-0.0497695852534562,-0.0539425202652911,-0.396604404473654,-0.396604404473654,0.0217391304347826,0,-0.243804468038045,0.073226375376913,0.00416666666666667,-0.019047619047619,-0.416254986843222,-0.0142857142857143,-0.0333333333333333,0.12,-0.119989814107461,-0.0333333333333333,-0.0333333333333333,-0.387459415584416,-0.0371138419525516,0,0.0263888888888889,-0.233605664488017,-0.233605664488017,-0.233605664488017,-0.0358820589705147,-0.396095238095238,-0.294581274244115,-0.0833333333333333,-0.0987179487179487,-0.106410256410256,-0.454267823666134,-0.2,-0.229409722222222,-0.3,-0.377777777777778,-0.377777777777778,-0.446198830409357,-0.543236900266603,-0.531341320105242,-0.461576354679803
"PAK1",0.543236900266603,0.542137605399657,0.4995331965629,-0.0451962315624315,0.377777777777778,0.3,0.183599190664408,0.2,0.0371138419525516,-0.0566074257234478,0.119989814107461,0.0927170868347339,-0.0021092704461787,-0.0796052631578947,-0.0497695852534562,-0.073226375376913,-0.0779425202652911,-0.388565819264651,-0.388565819264651,0.0539425202652911,0.0217391304347826,-0.25573936858054,0.096226375376913,0.0462719298245614,0.0142857142857143,-0.407625545218857,-0.0476190476190476,0.00416666666666667,0,-0.141301289517297,-0.019047619047619,-0.0333333333333333,-0.450368506493507,-0.0461461000170678,-0.0333333333333333,0.0333195819581958,-0.294581274244115,-0.294581274244115,-0.294581274244115,-0.0432350001469853,-0.391177205308353,-0.348217637880479,-0.0987179487179487,-0.106410256410256,-0.115201465201465,-0.460288584911809,-0.3,-0.263152053510566,-0.377777777777778,-0.448048048048048,-0.446198830409357,-0.497418342604479,-0.579650693370051,-0.590288688526295,-0.521953713170369
"EGR1",0.543236900266603,0.542137605399657,0.4995331965629,-0.0451962315624315,0.377777777777778,0.3,0.183599190664408,0.2,0.0371138419525516,-0.0566074257234478,0.119989814107461,0.0927170868347339,-0.0021092704461787,-0.0796052631578947,-0.0497695852534562,-0.073226375376913,-0.0779425202652911,-0.388565819264651,-0.388565819264651,0.0539425202652911,0.0217391304347826,-0.25573936858054,0.096226375376913,0.0462719298245614,0.0142857142857143,-0.407625545218857,-0.0476190476190476,0.00416666666666667,0,-0.141301289517297,-0.019047619047619,-0.0333333333333333,-0.450368506493507,-0.0461461000170678,-0.0333333333333333,0.0333195819581958,-0.294581274244115,-0.294581274244115,-0.294581274244115,-0.0432350001469853,-0.391177205308353,-0.348217637880479,-0.0987179487179487,-0.106410256410256,-0.115201465201465,-0.460288584911809,-0.3,-0.263152053510566,-0.377777777777778,-0.448048048048048,-0.446198830409357,-0.497418342604479,-0.579650693370051,-0.590288688526295,-0.521953713170369
"DELTA",0.381818181818182,0.441951710261569,0.3,-0.117142857142857,0.1,0,0.085,0,0.0333333333333333,-0.0769230769230769,0.0333333333333333,0,-0.05,0.0222222222222222,0.0333333333333333,0.00833333333333333,-0.02,-0.38768115942029,-0.38768115942029,0.02,0,-0.23255404725993,0.0301282051282051,-0.0333333333333333,0,-0.407272727272727,0,0,0.1,-0.0693333333333333,0,0,-0.257088122605364,-0.0285714285714286,0,0.04,-0.113333333333333,-0.113333333333333,-0.113333333333333,-0.133333333333333,-0.383333333333333,-0.204242424242424,-0.1,-0.16,-0.188571428571429,-0.429368421052632,0,-0.167359307359307,-0.1,-0.2,-0.2,-0.3,-0.453246753246753,-0.389189189189189,-0.3
"SOSGRB2",-0.110868475536668,-0.0388515658515658,-0.117184265010352,-0.269120879120879,-0.114285714285714,-0.1,-0.242434782608696,0,-0.176774193548387,-0.0559576023391813,0.0567032967032967,0.0528571428571429,-0.227191897654584,0.0582602339181287,-0.166666666666667,-0.163963963963964,0.190725790725791,-0.312380952380952,-0.312380952380952,-0.172543972543973,-0.16984126984127,0.0685495792527564,0.156987219777917,-0.0374269005847953,0.2,-0.332012664295265,-0.0928571428571429,-0.0111111111111111,-0.180952380952381,-0.0517387576962045,0.2,0,0.465267978087052,0.181669298443492,0,-0.0916666666666667,0.337476459510358,0.337476459510358,0.337476459510358,0.0877840909090909,-0.296666666666667,0.347732869766768,0.00909090909090909,-0.00629370629370629,-0.0161528612232838,-0.0739065186350788,0.1,0.217907795409681,0.114285714285714,0.127329192546584,0.130952380952381,0.120807453416149,0.101499450680071,0.405285951930247,0.151093234323432
"SMO",-0.299288025889968,-0.136478929602951,-0.286666666666667,-0.252241379310345,-0.25,-0.2,-0.206699346405229,-0.1,0.04,-0.116825396825397,0.0433333333333333,0.06,-0.155913978494624,0.241428571428571,0.0933333333333333,0.0933333333333333,0.094965034965035,-0.310310734463277,-0.310310734463277,-0.0676923076923077,-0.06,0.0398533114395183,-0.0988888888888889,-0.221428571428571,-0.133333333333333,-0.3166063893912,-0.1,-0.15,0,-0.0433333333333333,-0.1,-0.1,0.438671361001458,-0.0288888888888889,0,0.123684210526316,0.385096153846154,0.385096153846154,0.385096153846154,-0.0388278388278388,-0.3,0.417654293381038,0,-0.0272727272727273,-0.0322727272727273,-0.0997440459841492,0.1,0.167089947089947,0.15,0.27,0.175,0.191666666666667,0.310566221378689,0.511519178495923,0.431930138826691
"SMAD",0.241462151934496,0.239450256383167,0.221245055597997,-0.0372328086266198,0.161587301587302,0.117142857142857,0.0954116502487748,0.06,-0.0723830507392151,-0.00334427942610476,0.0222144786784019,0.00489604292421194,0.0380926680846036,-0.162110177404295,-0.104166666666667,-0.117928134556575,-0.0127696759354674,-0.298863235982077,-0.298863235982077,-0.002614939449148,-0.0188940092165899,-0.156459624492949,0.130939286972932,0.142110177404295,0.0791666666666667,-0.31767473162048,0.019047619047619,0.112698412698413,-0.0285714285714286,-0.0325730444154537,0.0666666666666667,0.0888888888888889,-0.343555768931709,-0.0323788540226896,0.1,0.0469461697722567,-0.236258681638594,-0.236258681638594,-0.236258681638594,0.103083738268662,-0.304965600673646,-0.263561313217542,0.0628571428571429,0.0617077175697865,0.0593267651888342,-0.22379179936607,-0.0904761904761905,-0.0397841083647535,-0.134920634920635,-0.19688141923436,-0.16953601953602,-0.193996451190696,-0.257774208672085,-0.284835294918987,-0.212183074850852
"cMet",0.210781156827668,0.283382998970188,0.181550387596899,-0.196877637130802,0,0,-0.127296374037947,-0.1,-0.0798185941043084,-0.0425925925925926,0.0927777777777778,0.0983333333333333,-0.161728795537895,-0.0870833333333333,-0.1,-0.0909090909090909,-0.0104545454545455,-0.297546897546898,-0.297546897546898,0.005,0.005,-0.06021882416043,0.103409090909091,0.0933333333333333,0.1,-0.312240338164251,-0.0733333333333333,0.1,0.025,-0.105543735224586,0.1,0.1,0.0804723502304147,0.0780004122861266,0.1,0.0757142857142857,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,0.0855865153078775,-0.39047619047619,-0.0388140161725067,0.0857142857142857,0.0804511278195489,0.0613021916493361,-0.277273846708894,-0.1,0.0298175737306172,-0.1,-0.146666666666667,-0.146666666666667,-0.178484848484848,-0.23450997038699,0.0340446743808088,-0.196507936507937
"Patched",-0.286666666666667,-0.133566308243728,-0.27,-0.235,-0.2,-0.1,-0.186111111111111,-0.1,0.05,-0.105714285714286,0.06,0.1,-0.12258064516129,0.221428571428571,0.133333333333333,0.0933333333333333,0.0676923076923077,-0.291666666666667,-0.291666666666667,-0.06,0,0.0369961685823755,-0.0933333333333333,-0.15,-0.1,-0.297619047619048,-0.1,-0.1,0.1,-0.0433333333333333,0,0,0.393040293040293,-0.04,0,0.15,0.353846153846154,0.353846153846154,0.353846153846154,-0.0435897435897436,-0.283333333333333,0.385096153846154,0,0,-0.0272727272727273,-0.0956850053937433,0,0.152804232804233,0.1,0.25,0.15,0.175,0.299288025889968,0.478961038961039,0.407792207792208
"TGF",0.227083747103608,0.242459322696895,0.187610062893082,-0.13138198757764,0.0666666666666667,0,-0.0205555555555555,0,-0.0357575757575758,-0.124675324675325,-0.144126984126984,-0.148888888888889,-0.0631754609027336,-0.168170426065163,-0.03,-0.0403448275862069,-0.116006683375104,-0.289892055567113,-0.289892055567113,0.113784461152882,0.119047619047619,-0.162794471320562,0.0684698275862069,0.152380952380952,0.0466666666666667,-0.303039010797631,0.16,0.166666666666667,0.133333333333333,0.0155555555555556,0.0666666666666667,0.166666666666667,-0.403227409685335,0.0357575757575758,0.2,0.0894736842105263,-0.223214285714286,-0.223214285714286,-0.223214285714286,0.0639587362991618,-0.298982964658022,-0.273214285714286,0.166666666666667,0.136666666666667,0.122873563218391,-0.234284564104972,0,-0.0421637211585665,-0.0428571428571429,-0.136666666666667,-0.112857142857143,-0.163800539083558,-0.253878005476814,-0.280103017027259,-0.16984126984127
"MEK",-0.0901294366541454,-0.0469407899393552,-0.0954729481045271,-0.156508630646562,-0.105263157894737,-0.1,-0.0951166480578245,-0.1,-0.0847548265737999,-0.0798687896211116,0.0657320872274143,0.0666666666666667,-0.115125915063096,-0.0420333587980647,-0.064,-0.0590819672131148,0.0366226461237466,-0.251831340666348,-0.251831340666348,-0.13995597945708,-0.116551724137931,0.0851444793446866,0.0662715096967749,0.0455627705627706,0.06,-0.26802258654217,-0.0666666666666667,0.0607142857142857,-0.12,-0.073031357300407,0.1,0.0857142857142857,0.31918204471396,0.084385822883763,0.1,-0.00673015873015873,0.180094905094905,0.180094905094905,0.180094905094905,0.098484496533277,-0.242563366810139,0.182317127317127,0.0929292929292929,0.0852369852369852,0.0801274961858904,-0.0407002908354533,0.1,0.112240443785296,0.11,0.0975708502024291,0.102307692307692,0.10020979020979,0.0886424478065617,0.373232778889988,0.133043486524499
"RKIP",-0.0954729481045271,-0.0515749362808186,-0.0975708502024291,-0.152004126142057,-0.1,-0.1,-0.0910873440285205,0,-0.0778241335044929,-0.0706582633053221,0.0666666666666667,0.0666666666666667,-0.107433607370788,-0.0455627705627706,-0.06,-0.064,0.13995597945708,-0.240720229555237,-0.240720229555237,-0.116551724137931,-0.12,0.0868476423617182,0.0590819672131148,0.0607142857142857,0.1,-0.260282648461674,-0.1,0.0857142857142857,-0.07,-0.0657320872274143,0.1,0.1,0.312056737588652,0.0847548265737999,0.1,-0.00895238095238096,0.172402597402597,0.172402597402597,0.172402597402597,0.0912117692605497,-0.234720229555237,0.180094905094905,0.111111111111111,0.0929292929292929,0.0852369852369852,-0.0359644074110453,0.1,0.110601099523001,0.1,0.105263157894737,0.11,0.102307692307692,0.0901294366541454,0.371349933701704,0.134845288326301
"RAF",-0.0954729481045271,-0.0515749362808186,-0.0975708502024291,-0.152004126142057,-0.1,-0.1,-0.0910873440285205,0,-0.0778241335044929,-0.0706582633053221,0.0666666666666667,0.0666666666666667,-0.107433607370788,-0.0455627705627706,-0.06,-0.064,0.13995597945708,-0.240720229555237,-0.240720229555237,-0.116551724137931,-0.12,0.0868476423617182,0.0590819672131148,0.0607142857142857,0.1,-0.260282648461674,-0.1,0.0857142857142857,-0.07,-0.0657320872274143,0.1,0.1,0.312056737588652,0.0847548265737999,0.1,-0.00895238095238096,0.172402597402597,0.172402597402597,0.172402597402597,0.0912117692605497,-0.234720229555237,0.180094905094905,0.111111111111111,0.0929292929292929,0.0852369852369852,-0.0359644074110453,0.1,0.110601099523001,0.1,0.105263157894737,0.11,0.102307692307692,0.0901294366541454,0.371349933701704,0.134845288326301
"cateninnuc",-0.577757340684736,-0.380318190664736,-0.551693113649635,-0.397325002865986,-0.475174825174825,-0.425174825174825,-0.479998879677815,-0.363636363636364,-0.0687301587301587,-0.24418879466274,-0.21352936718454,-0.199736263736264,-0.321437717369657,0.456110795454545,0.259143897996357,0.27839855638145,0.216130727072495,-0.222804721766767,-0.222804721766767,-0.204204121567908,-0.191545893719807,0.134033639743459,-0.292124046577529,-0.420954545454545,-0.241111111111111,-0.213479451711104,0.187428571428571,-0.382954545454545,-0.180434782608696,0.22357303530681,-0.211111111111111,-0.3375,0.741490306732,0.0718679486346608,-0.3,0.0213074664565839,0.617871992871993,0.617871992871993,0.617871992871993,0.0681999489353227,-0.211510326367978,0.658949433949434,0.0387319522912743,0.0375691615935999,0.0348418888663272,0.0228269631897432,0.425174825174825,0.493982555663082,0.473120030654277,0.517566129522651,0.515511335002103,0.549108172946767,0.497613733946266,0.791891765077803,0.687488170179646
"Ecadherin",-0.687488170179646,-0.641019338610802,-0.648260274787367,-0.388191917686381,-0.54391244870041,-0.476470588235294,-0.55416893660009,-0.4,-0.0780289855072464,-0.154706547242663,-0.270218773096822,-0.254121212121212,-0.230888765012762,0.442087542087542,0.364583333333333,0.387163978494624,0.248720069096055,-0.166792633241872,-0.166792633241872,-0.234210265174486,-0.21668449197861,0.229544342639744,-0.407636419439506,-0.400529100529101,-0.333333333333333,-0.160075874880344,0.231454545454545,-0.352380952380952,-0.187272727272727,0.284866151035339,-0.3,-0.3,0.713865948003118,0.0845665157735902,-0.2,0.060778339502272,0.591285822021116,0.591285822021116,0.591285822021116,0.0855926702590737,-0.150445382090952,0.644917106937317,0.134354066985646,0.137446850490801,0.137818597702696,0.267652182972216,0.476470588235294,0.600101336891363,0.54391244870041,0.600434187830845,0.599084862493514,0.646418195826847,0.71848723647283,0.775409021505688,0.677617466242974
"KLF4",-0.648260274787367,-0.622429595021058,-0.600434187830845,-0.34356949205709,-0.476470588235294,-0.4,-0.510034858387799,-0.3,-0.0693333333333333,-0.125118532261389,-0.254121212121212,-0.231454545454545,-0.198293828303901,0.400529100529101,0.333333333333333,0.364583333333333,0.234210265174486,-0.127456140350877,-0.127456140350877,-0.21668449197861,-0.187272727272727,0.220453433548835,-0.387163978494624,-0.352380952380952,-0.3,-0.12041107041107,0.195454545454545,-0.3,-0.16,0.270218773096822,-0.2,-0.2,0.649406786855215,0.0780289855072464,-0.1,0.0594625500285878,0.53025641025641,0.53025641025641,0.53025641025641,0.0768678380443086,-0.107407407407407,0.591285822021116,0.129090909090909,0.134354066985646,0.137446850490801,0.374273409846608,0.4,0.564632229339876,0.476470588235294,0.54391244870041,0.54391244870041,0.599084862493514,0.687488170179646,0.718279478169248,0.623803033253283
"HEY1",-0.648260274787367,-0.622429595021058,-0.600434187830845,-0.34356949205709,-0.476470588235294,-0.4,-0.510034858387799,-0.3,-0.0693333333333333,-0.125118532261389,-0.254121212121212,-0.231454545454545,-0.198293828303901,0.400529100529101,0.333333333333333,0.364583333333333,0.234210265174486,-0.127456140350877,-0.127456140350877,-0.21668449197861,-0.187272727272727,0.220453433548835,-0.387163978494624,-0.352380952380952,-0.3,-0.12041107041107,0.195454545454545,-0.3,-0.16,0.270218773096822,-0.2,-0.2,0.649406786855215,0.0780289855072464,-0.1,0.0594625500285878,0.53025641025641,0.53025641025641,0.53025641025641,0.0768678380443086,-0.107407407407407,0.591285822021116,0.129090909090909,0.134354066985646,0.137446850490801,0.374273409846608,0.4,0.564632229339876,0.476470588235294,0.54391244870041,0.54391244870041,0.599084862493514,0.687488170179646,0.718279478169248,0.623803033253283
"FOXC2",-0.648260274787367,-0.622429595021058,-0.600434187830845,-0.34356949205709,-0.476470588235294,-0.4,-0.510034858387799,-0.3,-0.0693333333333333,-0.125118532261389,-0.254121212121212,-0.231454545454545,-0.198293828303901,0.400529100529101,0.333333333333333,0.364583333333333,0.234210265174486,-0.127456140350877,-0.127456140350877,-0.21668449197861,-0.187272727272727,0.220453433548835,-0.387163978494624,-0.352380952380952,-0.3,-0.12041107041107,0.195454545454545,-0.3,-0.16,0.270218773096822,-0.2,-0.2,0.649406786855215,0.0780289855072464,-0.1,0.0594625500285878,0.53025641025641,0.53025641025641,0.53025641025641,0.0768678380443086,-0.107407407407407,0.591285822021116,0.129090909090909,0.134354066985646,0.137446850490801,0.374273409846608,0.4,0.564632229339876,0.476470588235294,0.54391244870041,0.54391244870041,0.599084862493514,0.687488170179646,0.718279478169248,0.623803033253283
"TCFLEF",0.117452036336008,-0.0433640208397551,0.209090066118368,0.170736509661914,0.1675,0.1375,0.180073585719499,0.1,0.0900429862535126,0.0386347981815677,-0.0149226199432676,-0.027072152653548,0.175263362857505,-0.138307808600936,-0.0290476190476191,-0.0419508448540707,-0.0782329517172723,-0.0812728601807549,-0.0812728601807549,0.0653077816492451,0.0586411149825784,-0.0344416441415345,0.0542207835043774,0.117655634687893,0.01,-0.0892612006467429,0.041025641025641,0.0886233766233766,0.0757142857142857,0.00763785173134709,0.0166666666666667,0.0766233766233766,-0.451799535101194,-0.0909990091980633,0.0857142857142857,0.0337571011822509,-0.274957422094606,-0.274957422094606,-0.274957422094606,-0.0723454816506487,-0.00111885663356251,-0.295850983198417,-0.0243105372230193,-0.0184281842818428,-0.016102602886494,0.0998016045758752,-0.129411764705882,-0.216012702507024,-0.159411764705882,-0.193995726495726,-0.185907491201609,-0.201435441512168,-0.123208050081713,-0.483922075332099,-0.548747741147741
