"","ZEB2","TrCP","RAF","DELTA","STAT","Csn","cateninmemb","DSH","EGR1","TGF","cfos","LIV1","SNAI1","NFB","MEK","KLF4","NOTCHic","SNAI2","SMO","Csl","miR200","NOTCH","RKIP","FUS","Patched","Jagged","IKK","SMAD","HEY1","ERK","ILK","PAK1","SHH","AKT","TWIST1","CDC42","AXIN2","GLI","Destcompl","Frizzled","SUFU","TGFR","CD44","Wnt","TCFLEF","FOXC2","cateninnuc","SRC","cMet","PI3K","RAS","ZEB1","Ecadherin","SOSGRB2","GSK3"
"cfos",-0.101979322802567,-0.1,-0.0447712418300654,-0.0447712418300654,0,-0.133333333333333,0.0252130390863167,0,0.04,-0.135306850012732,-0.08,0.1,0.0666885856759274,-0.0583333333333333,-0.0343109801031688,-0.114539682539683,0.058974358974359,-0.145336366796221,-5.55111512312578e-18,0.0666666666666667,0.0333290892114422,-0.0605128205128205,0.127738927738928,-0.0333333333333333,0.0096774193548387,-0.0557291666666667,0.0333333333333333,0.0463901689708141,0.0292853573213393,0.0495652173913044,0.0238095238095238,0.0571428571428571,0.060294703305456,0.0491228070175439,0.0902510822510822,0.0904761904761905,-0.0405090311986864,-0.017270955165692,-0.021383853825435,-0.02,0.133333333333333,0.127731092436975,-0.0204004004004004,-0.00148148148148148,-0.0154499053508955,0.153788344606135,-0.0165610164620066,-0.02,-0.00148148148148148,0.0447712418300654,0.0508688028056751,0.101979322802567,0.0329604979853462,0.0986111111111111,-0.065487012987013
"CDC42",-0.101979322802567,-0.1,-0.0447712418300654,-0.0447712418300654,0,-0.133333333333333,0.0252130390863167,0,-0.06,-0.135306850012732,-0.08,0.1,0.0666885856759274,-0.0583333333333333,-0.0343109801031688,-0.114539682539683,0.058974358974359,-0.145336366796221,-5.55111512312578e-18,0.0666666666666667,0.0333290892114422,-0.0605128205128205,0.127738927738928,-0.0333333333333333,0.0096774193548387,-0.0557291666666667,0.0333333333333333,0.0463901689708141,0.0292853573213393,0.0495652173913044,0.0238095238095238,0.157142857142857,0.060294703305456,0.0491228070175439,0.0902510822510822,0.0904761904761905,-0.0405090311986864,-0.017270955165692,-0.021383853825435,-0.02,0.133333333333333,0.127731092436975,-0.0204004004004004,-0.00148148148148148,-0.0154499053508955,0.153788344606135,-0.0165610164620066,-0.02,-0.00148148148148148,0.0447712418300654,0.0508688028056751,0.101979322802567,0.0329604979853462,0.0986111111111111,-0.065487012987013
"AKT",-0.10184373597306,-0.1,0.00771511593429401,0.00771511593429401,-0.0555555555555556,-0.1,0.0595315417609888,-0.0555555555555556,0,0.00927177328819672,-0.0176470588235294,0,-0.00298735970360684,-0.0588235294117647,0.00343615346117696,-0.110233918128655,-0.0711538461538462,0.0545055245316443,0.058974358974359,-0.0711538461538462,0.0469500117282181,0.0662757973733583,0.0231773980495208,-0.0666666666666667,0.0700854700854701,-0.0364993609852446,0.051131221719457,0.0694233507544432,0.0611827722873929,0.00289296046287368,0.0610058423369348,-0.0426470588235294,0.0890328385065227,-0.0377576671694319,-0.0035657743537974,-0.0266470588235294,0.0402128244799725,0.0420995289491767,0.0342484315454991,0.042512077294686,0.15,-0.00957388809182209,0.0409127726445339,0.0471274619100706,0.0427684427476267,0.00359202885261936,0.0419992119783959,0.042512077294686,0.0471274619100706,-0.00771511593429401,-0.00313680268128197,0.10184373597306,-0.0563383051389773,0.103376068376068,-0.0749396809880681
"ZEB2",-0.101335747566121,-0.1,-0.0983766233766234,-0.0983766233766234,-0.09,-0.0888888888888889,-0.0798368223536763,-0.0772727272727273,-0.075,-0.0702219473648045,-0.0592105263157895,-0.05,-0.0370957043836349,-0.0263888888888889,-0.0229398732866785,-0.0204037157432095,-0.0168205128205128,-0.0142272652625065,-0.0135714285714286,-0.0128205128205128,-0.00638036117143298,0.00425220680958386,0.00558776167471819,0.0107142857142857,0.0108188153310105,0.0136110699640728,0.0152777777777778,0.0183730274077234,0.0196097450936161,0.0205008488964346,0.0208120517979673,0.0285714285714286,0.0380915426037377,0.0405114226375909,0.0612141108726638,0.0631168831168831,0.0664312398329124,0.0682066251791022,0.0691520175669168,0.0706060606060606,0.075,0.0760420531849103,0.0774853801169591,0.0782983682983683,0.0803022815254098,0.0814188034188034,0.0816009828241111,0.0833333333333333,0.0885964912280702,0.0983766233766234,0.098590756138936,0.101335747566121,0.102859868744273,0.109468864468864,0.157559887627168
"RKIP",-0.100188426590148,0.1,-0.103896103896104,-0.103896103896104,0,0.1,0.111302394831807,0,0.17,-0.159768580329328,0.07,0,0.093431659064631,0.0285714285714286,0.039479090242113,-0.0661884265901483,-0.00808080808080808,0.27203794369645,0.00666666666666667,-0.0444444444444444,-0.00498597205047403,0.0542346542346542,0.127871148459384,0.0333333333333333,-0.0613333333333333,0.0733325248605385,-0.00357142857142857,-0.100921253871215,-0.118002322880372,-0.0458620689655172,-0.107851946940522,0.2,-0.0859234972677596,-0.049025974025974,0.150641711229947,0.166666666666667,-0.0208391936240038,-0.0305128205128205,-0.000499851508547668,-0.0666666666666667,-0.1,0.147619047619048,-0.0231443994601889,-0.0266666666666667,-0.018249294565084,0.152343059239611,-0.0261373352775522,-0.0666666666666667,-0.0192982456140351,0.103896103896104,0.10987900987901,0.100188426590148,-0.122493034429784,0.230539682539683,-0.0277383766745469
"RAF",-0.100188426590148,0.1,-0.103896103896104,-0.103896103896104,0,0.1,0.111302394831807,0,0.17,-0.159768580329328,0.07,0,0.093431659064631,0.0285714285714286,0.039479090242113,-0.0661884265901483,-0.00808080808080808,0.27203794369645,0.00666666666666667,-0.0444444444444444,-0.00498597205047403,0.0542346542346542,0.127871148459384,0.0333333333333333,-0.0613333333333333,0.0733325248605385,-0.00357142857142857,-0.100921253871215,-0.118002322880372,-0.0458620689655172,-0.107851946940522,0.2,-0.0859234972677596,-0.049025974025974,0.150641711229947,0.166666666666667,-0.0208391936240038,-0.0305128205128205,-0.000499851508547668,-0.0666666666666667,-0.1,0.147619047619048,-0.0231443994601889,-0.0266666666666667,-0.018249294565084,0.152343059239611,-0.0261373352775522,-0.0666666666666667,-0.0192982456140351,0.103896103896104,0.10987900987901,0.100188426590148,-0.122493034429784,0.230539682539683,-0.0277383766745469
"SHH",-0.1,0,-0.2,-0.2,-0.1,0,0.120573476702509,-0.2,0,-0.0133333333333333,0.1,0,0.0333333333333333,0,0.04,-0.15,0,0.233026819923372,0.3,-0.1,0.0333333333333333,-0.0333333333333333,0.08,-0.2,0.4,0.0371428571428572,0.1,0.0833333333333333,0.133333333333333,-0.1,0.133333333333333,0,0.36,0.2,0.1,0.0333333333333333,0.0285714285714286,0.25,0.0574025974025974,0.2,0.2,0.0333333333333333,0.15,0.3,0.21,0.2,0.193333333333333,0.1,0.2,0.2,0.223076923076923,0.1,0.0516666666666667,0.05,-0.0205128205128205
"Patched",-0.1,0,-0.223076923076923,-0.223076923076923,-0.1,0,0.112240143369176,-0.2,0.1,0.00333333333333334,0.1,-0.1,0.0688172043010753,-0.1,0.0169230769230769,-0.116666666666667,0.0333333333333333,0.239693486590038,0.4,0,0.0119047619047619,-0.0606060606060606,0.0657142857142857,-0.3,0.36,0.0926984126984127,0.2,0.0433333333333333,0.0794871794871795,-0.04,0.0833333333333333,0.0333333333333333,0.31,0.214285714285714,0.125925925925926,0.0333333333333333,0.0922077922077922,0.3125,0.0365234765234765,0.3,0.2,0.0133333333333333,0.21,0.25,0.193333333333333,0.17,0.213721682847896,0.2,0.15,0.223076923076923,0.235576923076923,0.1,0.0468122977346278,0.0833333333333333,0.0032967032967033
"NOTCHic",-0.0955877616747182,-0.1,-0.0689855072463768,-0.0689855072463768,-0.06,-0.133333333333333,-0.0382521503596421,-0.06,-0.06,-0.132657215259229,-0.0933333333333333,0,0.0548107448107448,-0.0777777777777778,-0.0547619047619048,-0.108471359558316,0.0531797235023041,-0.0920803612540027,0.0198717948717949,0.162857142857143,0.030131871981583,-0.0558113024496726,0.113988617825432,-0.0583333333333333,0.0316365007541478,-0.0383535130554998,0.0555555555555555,0.0394450154162384,0.120691192865106,0.0719047619047619,0.0171428571428571,0.0666666666666667,0.0735719846251155,0.0671834625322997,0.118115659311374,0.0946666666666667,0.0249535789158431,0.0538717196781713,0.0352567387146826,0.0523076923076923,0.133333333333333,0.126924731182796,0.0515084915084915,0.0613986013986014,0.0527329813044099,0.155595786701777,0.0534963400830358,0.0523076923076923,0.0613986013986014,0.0689855072463768,0.0724337831084458,0.0955877616747182,0.112976585365008,0.133301435406699,-0.0201703555935531
"Wnt",-0.0924438067910091,0.1,-0.0406015037593985,-0.0406015037593985,-0.1,0.1,0.0259745762711864,-0.2,0.1,-0.0684057971014493,0,0,0.0201345755693582,0,-0.0376470588235294,-0.0509803921568628,-0.00714285714285715,0.00422413793103448,0.15,-0.05,0.00535353535353535,0.0654761904761905,0.0283333333333333,-0.1,0.05,0.00740196078431372,0.02,0.00506857483601669,-0.0205128205128205,0.02,-0.0205128205128205,0.1,0.0452380952380952,-0.03,0.0894117647058823,0.0666666666666667,0.0418181818181818,0.0592105263157895,0.0315182365852519,0.1,0,0.0466666666666667,0.0592105263157895,0.075,0.0663533834586466,0.0836437246963563,0.0577441119354678,0,0.075,0.0406015037593985,0.045146958304853,0.0924438067910091,0.00553744707953992,0.136363636363636,-0.0921630094043887
"TrCP",-0.0740050462752362,-0.133333333333333,-0.0508688028056751,-0.0508688028056751,0.02,-0.0583333333333333,0.0193522332255108,0.02,-0.08,-0.120006303564645,-0.0495652173913044,0,0.0583353637188869,-0.0333333333333333,-0.0329776467698354,-0.103064272703617,0.0605128205128205,-0.146059694101827,0.0096774193548387,0.058974358974359,0.0378976171302239,-0.0846886446886447,0.101772076910198,5.55111512312578e-18,0.060294703305456,-0.0612506390593047,0.0491228070175439,0.0263901689708141,0.0425206514389864,0.0343109801031688,0.0463901689708141,0.0904761904761905,0.068294703305456,0.0769005847953216,0.0799249952945605,0.127731092436975,-0.0291882764817052,-0.0119051015071554,-0.0240906207427282,-0.00148148148148148,0.0333333333333333,0.135306850012732,-0.0154499053508955,-0.017270955165692,-0.0165610164620066,0.130340068744066,-0.011181706117179,-0.00148148148148148,-0.0204004004004004,0.0508688028056751,0.0481415300784024,0.0740050462752362,0.038012401099533,0.129304180418042,-0.0636688311688312
"PAK1",-0.0740050462752362,-0.133333333333333,-0.0508688028056751,-0.0508688028056751,0.02,-0.0583333333333333,0.0193522332255108,0.02,-0.08,-0.120006303564645,-0.0495652173913044,0,0.0583353637188869,-0.0333333333333333,-0.0329776467698354,-0.103064272703617,0.0605128205128205,-0.146059694101827,0.0096774193548387,0.058974358974359,0.0378976171302239,-0.0846886446886447,0.101772076910198,5.55111512312578e-18,0.060294703305456,-0.0612506390593047,0.0491228070175439,0.0263901689708141,0.0425206514389864,0.0343109801031688,0.0463901689708141,0.0904761904761905,0.068294703305456,0.0769005847953216,0.0799249952945605,0.127731092436975,-0.0291882764817052,-0.0119051015071554,-0.0240906207427282,-0.00148148148148148,0.0333333333333333,0.135306850012732,-0.0154499053508955,-0.017270955165692,-0.0165610164620066,0.130340068744066,-0.011181706117179,-0.00148148148148148,-0.0204004004004004,0.0508688028056751,0.0481415300784024,0.0740050462752362,0.038012401099533,0.129304180418042,-0.0636688311688312
"EGR1",-0.0740050462752362,-0.133333333333333,-0.0508688028056751,-0.0508688028056751,0.02,-0.0583333333333333,0.0193522332255108,0.02,-0.08,-0.120006303564645,-0.0495652173913044,0,0.0583353637188869,-0.0333333333333333,-0.0329776467698354,-0.103064272703617,0.0605128205128205,-0.146059694101827,0.0096774193548387,0.058974358974359,0.0378976171302239,-0.0846886446886447,0.101772076910198,5.55111512312578e-18,0.060294703305456,-0.0612506390593047,0.0491228070175439,0.0263901689708141,0.0425206514389864,0.0343109801031688,0.0463901689708141,0.0904761904761905,0.068294703305456,0.0769005847953216,0.0799249952945605,0.127731092436975,-0.0291882764817052,-0.0119051015071554,-0.0240906207427282,-0.00148148148148148,0.0333333333333333,0.135306850012732,-0.0154499053508955,-0.017270955165692,-0.0165610164620066,0.130340068744066,-0.011181706117179,-0.00148148148148148,-0.0204004004004004,0.0508688028056751,0.0481415300784024,0.0740050462752362,0.038012401099533,0.129304180418042,-0.0636688311688312
"Csl",-0.0712783694095248,-0.133333333333333,-0.0724337831084458,-0.0724337831084458,-0.0523076923076923,-0.0777777777777778,-0.0426864011241681,-0.0523076923076923,-0.0933333333333333,-0.120185559930431,-0.0719047619047619,-0.06,0.0469056064708239,-0.0555555555555555,-0.056935817805383,-0.0970427881297447,0.0558113024496726,-0.0924532173315567,0.0316365007541478,0.0531797235023041,0.0329641159902976,-0.0749022115405817,0.0932512906364917,-0.0198717948717949,0.0735719846251155,-0.0456451797221665,0.0671834625322997,0.0216672376384606,0.135723872603668,0.0547619047619048,0.0394450154162384,0.0946666666666667,0.0839168122113224,0.0927648578811369,0.108409113035979,0.126924731182796,0.0298378976819099,0.0554846229039777,0.0347082926452128,0.0613986013986014,0.0583333333333333,0.132657215259229,0.0527329813044099,0.0538717196781713,0.0534963400830358,0.137779694747754,0.0570983984020753,0.0613986013986014,0.0515084915084915,0.0724337831084458,0.0709631948731517,0.0712783694095248,0.116813794667334,0.156878671179056,-0.0206121818085752
"GLI",-0.068416026625704,-0.1,0.0781703124221436,0.0781703124221436,0.02,-0.0222222222222222,0.0198251533435904,-0.08,0.0571428571428571,-0.022247604832434,0.0904761904761905,0,0.0798867164635867,0.0146198830409357,0.111614168520246,-0.0977511797511798,0.0131432360742706,-0.129074064494624,0.10109649122807,0.0181432360742706,0.0559827169734291,-0.0407622836933182,0.129627284334335,-0.0958333333333334,0.152116899391335,-0.0457617243409531,-0.00441580140828261,0.0191791397345903,0.0323759667987172,-0.10995670995671,0.0353953559508065,-0.015,0.162404965234957,0.0252716985917174,0.0791999794206925,0.0263793103448276,-0.0250090579710145,-0.00288263555250515,-0.0253691154621584,0.109032258064516,0.133333333333333,0.0370711342441987,-0.00759936514826772,0.0890322580645161,-0.0111707937196963,0.144955602855177,-0.00393827728215893,0.00903225806451613,-0.0153579858379229,-0.0781703124221436,-0.0811406094518466,0.068416026625704,0.0432715575418881,0.131088380645903,-0.180873045928321
"SNAI1",-0.0674859810845842,-0.0583333333333333,-0.0481415300784024,-0.0481415300784024,0.00148148148148148,-0.0333333333333333,0.0195249447971862,0.00148148148148148,-0.0495652173913044,-0.111538561629161,-0.0343109801031688,0.02,-0.0354368782739957,-0.0491228070175439,-0.0527085884738713,-0.0753384160057977,0.0846886446886447,-0.142137468154793,0.060294703305456,0.0605128205128205,0.0245450715010212,-0.0904029304029304,0.0963327463662654,-0.0096774193548387,0.068294703305456,-0.0546624037651871,0.0769005847953216,0.00265093157844019,0.0234730323913673,0.0329776467698354,0.0263901689708141,0.127731092436975,0.0583917906840968,0.0900950292397661,0.0761301234996887,0.135306850012732,-0.0340833813768101,-0.0142817011415247,-0.0202529014444826,-0.017270955165692,-5.55111512312578e-18,0.120006303564645,-0.0165610164620066,-0.0119051015071554,-0.011181706117179,0.121064338121449,-0.0120593519612678,-0.0204004004004004,-0.0154499053508955,0.0481415300784024,0.0514256023279919,0.0674859810845842,0.0332777496947463,0.131190972870872,-0.0680912734130556
"RAS",-0.0585972017673049,-0.1,-0.0746153846153846,-0.0746153846153846,-0.1,-0.1,0.00674497012917859,-0.1,-0.02,-0.0128712871287129,-0.07,0,-0.00178957718780727,-0.2,-0.052249742002064,-0.0410714285714286,0.144736842105263,-0.175360733780479,0.2,0.15,-0.0720923076923077,-0.10888778550149,-0.0453522012578616,-0.2,0.148,-0.0974807806031934,0.18,0.165058750773037,0.143083003952569,0.0542105263157895,0.138528138528139,0.02,0.163254237288136,0.152222222222222,-0.0593344244408074,5.55111512312578e-18,0.0641106719367589,0.0862745098039216,0.056895822593497,0.05,0.1,5.55111512312578e-18,0.0837922403003755,0.102941176470588,0.0868691633772985,0.0284126984126984,0.082619871592596,0.05,0.102941176470588,0.0746153846153846,-0.0292307692307692,0.0585972017673049,0.0312659943204335,-0.116017316017316,0.0120284237726098
"cMet",-0.0396825396825397,-0.2,0.0104761904761905,0.0104761904761905,0,-0.2,0.0287869070431348,0.1,-0.125,-0.021193853427896,-0.105,-0.1,0.0186197388695159,-0.233333333333333,-0.106818181818182,-0.128571428571429,0.216541353383459,-0.296013378349145,0.16,0.242857142857143,-0.0508086297760211,-0.188881778915374,-0.0851851851851852,-0.2,0.132727272727273,-0.148859835816358,0.2,0.144910327767471,0.146233230134159,0.105,0.139455782312925,0.0466666666666667,0.151477272727273,0.1875,-0.0375338519158744,0.0216666666666667,-0.0733333333333333,-0.0672727272727273,-0.0527010066926033,-0.1,0.1,0.0105555555555556,-0.0702325581395349,-0.04,-0.0548479427549195,0.0248839662447257,-0.0638874907775184,0,-0.04,-0.0104761904761905,-0.0180233602875112,0.0396825396825397,-0.0202941139908225,-0.101904761904762,0.0196620583717358
"cateninnuc",-0.0327448407491352,-0.233333333333333,-0.286966141966142,-0.286966141966142,-0.196736596736597,-0.258333333333333,0.146103828260542,-0.196736596736597,-0.180434782608696,-0.0161725401035746,-0.175672877846791,-0.212121212121212,0.0964352604668636,-0.267424242424242,-0.183964597739951,-0.0554118380630836,0.00583512168060848,0.284043417723983,0.223970856102004,0.00816070307595731,-0.0017685862512738,-0.0076533034987903,0.0707732391677801,-0.228888888888889,0.232045390263494,0.185891577234831,0.275424242424242,0.0371449596333635,0.0285041969443829,0.185799460125272,0.0372813852813853,0.0182857142857143,0.230520335797263,0.274642992424242,0.17366490253444,0.0167472527472527,0.073920975558896,0.215038887060924,0.0424368156047674,0.214544815914679,0.188888888888889,0.0161725401035746,0.213524036350123,0.209110033305983,0.211507606178353,0.165722457869999,0.113689323935879,0.213403263403263,0.207968480794568,0.286966141966142,0.28545099045099,0.0327448407491352,0.0119905551991361,0.1176580692588,0.0316100476497739
