"","TGFR","CDC42","SUFU","Csn","RKIP","NFB","ILK","SMO","IKK","FUS","TWIST1","Patched","Csl","NOTCHic","SNAI2","EGR1","ZEB2","cfos","MEK","ERK","LIV1","PI3K","DELTA","RAS","KLF4","cMet","CD44","cateninmemb","SRC","TCFLEF","Wnt","GLI","Frizzled","DSH","cateninnuc","AXIN2","STAT","Destcompl","RAF","GSK3","Ecadherin","NOTCH","AKT","SHH","Jagged","SMAD","HEY1","SNAI1","TrCP","SOSGRB2","PAK1","TGF","FOXC2","miR200","ZEB1"
"Wnt",-0.326666666666667,-0.333333333333333,0,0.1,-0.211666666666667,0.0666666666666667,-0.0854700854700855,-0.1,0.0466666666666667,-0.1,-0.174117647058824,-0.0909090909090909,0.1,0.0571428571428571,-0.113793103448276,0,-0.0505499760879962,0.0333333333333333,0.0309803921568627,0.0133333333333333,0,-0.119548872180451,-0.119548872180451,-0.133185235816815,0.0627450980392157,-0.025,-0.0407894736842105,0.0890254237288136,0,-0.0515037593984962,-0.025,-0.0407894736842105,0.1,0.2,0.0481925011203505,0.0193939393939394,-0.1,-0.0505160416569374,0.119548872180451,0.119435736677116,0.200691244239631,-0.0488095238095238,-0.0466666666666667,0.0861471861471862,0.0834803921568627,0.0738421784933413,0.0743589743589744,0.245186335403727,-0.1,0.160606060606061,0.3,0.331014492753623,0.338218623481781,0.268484848484848,0.351410808225729
"DSH",-0.341490683229814,-0.331014492753623,-0.1,0.0466666666666667,-0.228050283050283,0.0466666666666667,-0.0822533934466123,-0.0861471861471862,0.0466666666666667,-0.0909090909090909,-0.187207819297932,-0.0732439603407345,0.0488095238095238,0.0429271708683473,-0.120902096004362,0.0133333333333333,-0.049536488912507,0.0309803921568627,0.0317322718561109,0.0309803921568627,0,-0.138697046840437,-0.138697046840437,-0.137856710705983,0.0455467623942781,-0.0515037593984962,-0.0481925011203505,0.0912016534668808,-0.0407894736842105,-0.0439067868346363,-0.0515037593984962,-0.0469285959998034,-0.0407894736842105,-0.025,0.043105362079516,0.00248686452395608,0.025,-0.0504416293622039,0.138697046840437,0.123446142358055,0.196870774396334,-0.0464236743648508,-0.0593103448275862,0.0750844511382806,0.086040880763863,0.0871590538239708,0.0742469922761076,0.255455486542443,-0.0666666666666667,0.172135994087214,0.326666666666667,0.346020299954552,0.362722801474331,0.286472653362897,0.367002918617871
"GSK3",-0.346020299954552,-0.341490683229814,-0.0909090909090909,0.0466666666666667,-0.232812187812188,0.0466666666666667,-0.0871590538239708,-0.0732439603407345,0.0593103448275862,-0.0861471861471862,-0.187335860271043,-0.0750844511382806,0.0429271708683473,0.0464236743648508,-0.121247221112214,0.0309803921568627,-0.049387900502403,0.0309803921568627,0.0334368173106563,0.0317322718561109,0.025,-0.137856710705983,-0.137856710705983,-0.135335702302622,0.0501269150660338,-0.0481925011203505,-0.0439067868346363,0.0912016534668808,-0.0515037593984962,-0.043105362079516,-0.0469285959998034,-0.0426833129809355,-0.0515037593984962,-0.0407894736842105,0.0429079936584634,0.00416114154069885,0.0407894736842105,-0.0502655110106717,0.137856710705983,0.0224478062515661,0.198747626553068,-0.0472028951440716,-0.0584556439728854,0.0798691401334959,0.0853109537565637,0.0873089788614521,0.0794373036947927,0.256009196398479,-0.0466666666666667,0.1800429708314,0.331014492753623,0.349610043544296,0.366072083770982,0.29010688548482,0.372500689791719
"Frizzled",-0.331014492753623,-0.326666666666667,-0.1,0.0666666666666667,-0.225952380952381,0.0466666666666667,-0.0738421784933413,-0.0909090909090909,0.0466666666666667,-0.1,-0.186498599439776,-0.0861471861471862,0.0571428571428571,0.0488095238095238,-0.119155879473512,0.0333333333333333,-0.0455994810384912,0.0133333333333333,0.0309803921568627,0.0309803921568627,-0.1,-0.133185235816815,-0.133185235816815,-0.138697046840437,0.0484593837535014,-0.0407894736842105,-0.0515037593984962,0.0906127253161152,-0.025,-0.0481925011203505,-0.0407894736842105,-0.0515037593984962,-0.025,0.1,0.0439067868346363,0.00544045102184638,0,-0.0502507896675474,0.133185235816815,0.12367816091954,0.197660941209328,-0.0429271708683473,-0.0466666666666667,0.0732439603407345,0.0844904931669637,0.0822533934466123,0.0637206764866339,0.249948240165631,-0.1,0.16969696969697,0.333333333333333,0.341490683229814,0.354497693249223,0.280984848484849,0.358341501295036
"IKK",-0.187878787878788,-0.183333333333333,-0.1,0.1,-0.247085610200364,0.0857142857142857,-0.185416666666667,-0.14,0.00238095238095238,-0.16,-0.185065359477124,-0.128888888888889,-0.00909090909090909,-0.0138528138528139,0.10141970334557,-0.05,-0.0433634085213033,-0.00714285714285715,-3.17460317460355e-05,-0.0111428571428571,0.1,-0.205263157894737,-0.205263157894737,-0.206671608598962,0.0472527472527473,-0.148717948717949,-0.15025641025641,0.112662812048287,-0.133333333333333,-0.155341156019122,-0.148717948717949,-0.15025641025641,-0.133333333333333,-0.1,0.154919215090852,-0.177142857142857,0.1,-0.140015058408778,0.205263157894737,0.216245421245421,0.243895319501932,0.0186147186147186,-0.00508365508365508,0.132337164750958,0.172974070602937,0.17848597359736,0.184932920536636,0.265154085383093,-0.2,0.114075630252101,0.15,0.191878787878788,0.266233766233766,0.289453734671126,0.372646616541353
"SMO",-0.165,-0.173333333333333,0.3,0.1,-0.225873015873016,0.05,-0.0933333333333333,0.08,0.0357142857142857,0.2,-0.10942265795207,0.0675,0,-0.00909090909090909,-0.242900930487137,-0.1,-0.043361581920904,-0.08,-0.10004662004662,-0.103076923076923,0.1,-0.108173076923077,-0.108173076923077,-0.115149821109123,0.0527777777777778,0.00666666666666667,-0.00444444444444444,-0.0724739882381599,0,-0.0209492988133765,-0.1,-0.111111111111111,-0.1,-0.1,0.0247086973096171,-0.146738319152112,0,-0.0145772057399964,0.108173076923077,-0.0201643017176998,0.00761984658681538,0.0190909090909091,-0.0157142857142857,-0.0619444444444444,0.120132275132275,0.0758730158730159,0.0945054945054945,0.220583717357911,0,0.0657894736842105,0.133333333333333,0.156891891891892,0.304655172413793,0.288607594936709,0.356638418079096
"Patched",-0.173333333333333,-0.133333333333333,0.2,0,-0.231428571428571,0.1,-0.0833333333333333,0.2,0.05,0.3,-0.106481481481481,0.08,0,0,-0.234329501915709,-0.1,-0.0416666666666667,-0.1,-0.103076923076923,-0.08,0.1,-0.126923076923077,-0.126923076923077,-0.108173076923077,0.0111111111111111,0,0.00666666666666667,-0.0666487455197133,0,-0.00444444444444444,-0.1,-0.1,-0.1,-0.2,0.0209492988133765,-0.143290043290043,0.1,-0.00915084915084915,0.126923076923077,-0.0230769230769231,0.00429881337648328,0.00909090909090909,-0.0357142857142857,-0.0675,0.109417989417989,0.0933333333333333,0.0897435897435898,0.213440860215054,0,0.05,0.0333333333333333,0.165,0.315,0.3,0.358333333333333
"NFB",-0.191878787878788,-0.187878787878788,-0.16,0.0857142857142857,-0.257342020456775,0.00238095238095238,-0.17848597359736,-0.128888888888889,0.00508365508365508,-0.14,-0.193001867413632,-0.132337164750958,-0.0138528138528139,-0.0186147186147186,0.0975579147276834,-0.00714285714285715,-0.0391488491343301,-0.0111428571428571,0.000621848739495795,-3.17460317460355e-05,0.1,-0.206671608598962,-0.206671608598962,-0.208164145912395,0.0453296703296703,-0.15025641025641,-0.155341156019122,0.113401988394644,-0.148717948717949,-0.154919215090852,-0.15025641025641,-0.154750792278882,-0.148717948717949,-0.133333333333333,0.152958430777127,-0.183525835866261,0.133333333333333,-0.139848945451968,0.206671608598962,0.218598362421892,0.244055833145592,0.0231308476469767,0.00158301158301158,0.127517887642524,0.173693495063368,0.183318687352007,0.179575777679493,0.265976003191312,-0.1,0.121444051304732,0.183333333333333,0.199473724587649,0.276193925596316,0.298819293583513,0.379926310027943
"SUFU",-0.15901955146636,-0.156891891891892,0.08,0.0357142857142857,-0.233926876592561,0.0157142857142857,-0.0739375320020481,0.0619444444444444,0.000329670329670328,0.0675,-0.124367333290765,0.0770959595959596,-0.0190909090909091,-0.0327272727272727,-0.250187351645783,-0.103076923076923,-0.0356084032954927,-0.10004662004662,-0.102472641078657,-0.101196045333976,0,-0.12257340189515,-0.12257340189515,-0.127320237338188,0.042156397587339,-0.0209492988133765,-0.0247086973096171,-0.0730694849215177,-0.00444444444444444,-0.0225347842661388,-0.128418803418803,-0.131021033902075,-0.111111111111111,-0.1,0.0211537100973409,-0.165331130474788,-0.00666666666666667,-0.0158396185736732,0.12257340189515,-0.0127815090325711,0.00141356299272371,0.0327272727272727,-0.0117390663028247,-0.0852040677040677,0.12540944080208,0.0783255227641728,0.0773586462428788,0.225602842426215,-0.05,0.0636915715863084,0.165,0.160005744760246,0.315625526338307,0.29244652901599,0.35528101906899
"FUS",-0.156891891891892,-0.165,0.2,0.05,-0.23515136638848,0.0357142857142857,-0.0758730158730159,0.0675,0.0157142857142857,0.08,-0.122511663187672,0.0619444444444444,-0.00909090909090909,-0.0190909090909091,-0.24774832725554,-0.08,-0.0341591279331739,-0.103076923076923,-0.101196045333976,-0.10004662004662,0,-0.115149821109123,-0.115149821109123,-0.12257340189515,0.0511384335154827,-0.00444444444444444,-0.0209492988133765,-0.0726602079774522,0.00666666666666667,-0.0247086973096171,-0.111111111111111,-0.128418803418803,-0.1,-0.1,0.0225347842661388,-0.158539561388137,0,-0.0147231911414563,0.115149821109123,-0.0138097866675326,0.0046061479566784,0.0327272727272727,-0.000329670329670328,-0.0770959595959596,0.1237467329636,0.0739375320020481,0.0785634655199873,0.219640321131496,-0.1,0.0657894736842105,0.173333333333333,0.15901955146636,0.30991833030853,0.290587792956511,0.35479792728155
"RKIP",-0.157142857142857,-0.166666666666667,-0.1,0,-0.067296918767507,-0.0428571428571429,-0.143881044073599,-0.146666666666667,-0.0303571428571429,-0.166666666666667,0.00306595365418895,-0.142666666666667,-0.0111111111111111,-0.0111111111111111,-0.356074488546949,0.12,-0.0305069344811095,0.17,0.163396918561996,0.152758620689655,0,-0.169805194805195,-0.169805194805195,-0.174078699078699,0.0405069344811095,0.0508771929824561,0.0508771929824561,-0.0478118454589043,0.0666666666666667,0.0403876824929457,0.0566666666666667,0.0566666666666667,0.0666666666666667,0.1,-0.0421688529764062,0.0850914205344585,-0.1,-0.0149604092508083,0.169805194805195,0.18274231678487,-0.0275324128150641,0.0226495726495726,0.0394480519480519,0.154142076502732,0.130918020858598,0.123088964865678,0.150522648083624,0.120723604548475,0,0.000952380952380955,0.133333333333333,0.156208277703605,0.152004126142057,0.164123476348136,0.218329985652798
"RAF",-0.157142857142857,-0.166666666666667,-0.1,0,-0.067296918767507,-0.0428571428571429,-0.143881044073599,-0.146666666666667,-0.0303571428571429,-0.166666666666667,0.00306595365418895,-0.142666666666667,-0.0111111111111111,-0.0111111111111111,-0.356074488546949,0.12,-0.0305069344811095,0.17,0.163396918561996,0.152758620689655,0,-0.169805194805195,-0.169805194805195,-0.174078699078699,0.0405069344811095,0.0508771929824561,0.0508771929824561,-0.0478118454589043,0.0666666666666667,0.0403876824929457,0.0566666666666667,0.0566666666666667,0.0666666666666667,0.1,-0.0421688529764062,0.0850914205344585,-0.1,-0.0149604092508083,0.169805194805195,0.18274231678487,-0.0275324128150641,0.0226495726495726,0.0394480519480519,0.154142076502732,0.130918020858598,0.123088964865678,0.150522648083624,0.120723604548475,0,0.000952380952380955,0.133333333333333,0.156208277703605,0.152004126142057,0.164123476348136,0.218329985652798
"ERK",-0.163507547776597,-0.156208277703605,-0.146666666666667,-0.0303571428571429,-0.0725307554483456,-0.0394480519480519,-0.129362027596305,-0.154142076502732,-0.0453304048892284,-0.142666666666667,-0.00436674309889615,-0.140416586306654,-0.0226495726495726,-0.026299207686069,-0.358985640172994,0.152758620689655,-0.0293420800879087,0.163396918561996,0.0631137245044283,0.0650635852286623,-0.0666666666666667,-0.178840603840604,-0.178840603840604,-0.178730592839504,0.0217654844127101,0.0403876824929457,0.0421688529764062,-0.0453364713031388,0.0508771929824561,0.0455145778834694,0.0461771561771562,0.0489340484077326,0.0566666666666667,0.0566666666666667,-0.0453756889945805,0.0751946945401715,-0.0508771929824561,-0.0141022834321885,0.178840603840604,0.185482287372252,-0.030832861716634,0.0232521162733266,0.0334037993846413,0.140899678094093,0.129965028561541,0.133617346745241,0.138142877683375,0.12156049913537,0.0428571428571429,0.0024842040376021,0.157142857142857,0.163507547776597,0.163577237715169,0.174082196678374,0.221485841170858
