"","cateninmemb","Ecadherin","Jagged","cateninnuc","TCFLEF","CDC42","CD44","TGFR","TGF","STAT","RAS","PI3K","DELTA","SMAD","FOXC2","AXIN2","LIV1","SHH","Csn","SNAI2","miR200","RKIP","SNAI1","ERK","MEK","TWIST1","cfos","ZEB2","ZEB1","EGR1","AKT","IKK","Patched","TrCP","SUFU","NFB","SMO","HEY1","FUS","KLF4","ILK","DSH","Destcompl","RAF","Frizzled","SOSGRB2","Csl","NOTCHic","NOTCH","Wnt","GLI","SRC","cMet","PAK1","GSK3"
"miR200",-0.161373847665594,-0.0608583838994243,-0.036602557340366,-0.139441185014783,-0.138835124408722,0.0183823529411765,-0.13645417202777,0.0216081593927894,0.023352345439301,-0.12,-0.147217032046749,-0.145970149253731,-0.145970149253731,0.00484922462340833,0.0562932460493436,-0.090844863176393,-0.1,0.0333672720601724,0.02,-0.176774356140553,0.22139327395126,0.0355079961927379,0.0404889554889555,0.0433766233766234,0.0467779839208411,0.134078253035308,-0.0342857142857143,-0.287284946236559,-0.287284946236559,-0.0142857142857143,-0.0338345864661654,-0.0338345864661654,-0.0279324894514768,0,-0.02,-0.0252631578947368,-0.0266666666666667,-0.00336158192090395,-0.02,-0.28932022084196,-0.00265486725663717,0.12,0.149955626047018,0.145970149253731,0.124,0.0251579626047711,0.00916256157635468,0.00571428571428572,0.00966908797417272,0.133859154929577,0.13605695712738,0.124347826086957,0.134206981016534,-0.0125,0.0774104097155779
"cateninnuc",0.193019651215427,0.108164935389,0.140902285800047,0.0690330636813934,0.169171147083768,-0.147472527472527,0.167901542901543,-0.153219653909309,-0.155184719411493,0.168298368298368,0.229715174715175,0.230388575388575,0.230388575388575,-0.0565615362354789,-0.293843631778058,0.0494895567183564,0.160606060606061,-0.155832732712947,-0.220833333333333,0.360686226393909,0.293757293655157,-0.243192936096162,-0.211310988717742,-0.245967974421469,-0.249637699192111,-0.223957700456739,0.234575569358178,-0.284984041517783,-0.284984041517783,0.220289855072464,0.250328598484849,0.247984848484849,0.156486327484189,0.233333333333333,0.111111111111111,0.235984848484848,0.155865209471767,0.052865099200022,0.141111111111111,-0.278551875171092,0.0545151515151515,-0.168298368298368,-0.197553388199134,-0.230388575388575,-0.16692850528467,-0.109782004024244,0.0198995605775267,0.0280390954612476,0.029402731824884,-0.16692850528467,-0.169300046786646,-0.165520590520591,-0.165520590520591,0.142857142857143,-0.185739531243944
"SRC",-0.412081275258195,-0.40154486036839,-0.1807010115267,-0.339957158076367,-0.329890043982407,-0.101388888888889,-0.316475409836066,-0.0918650793650794,-0.0773196248196248,-0.3,-0.144540144878067,-0.133934084272007,-0.133934084272007,-0.0912991939307729,-0.0211437908496732,-0.188535424369926,-0.2,-0.000108932461873637,-0.1,-0.261604049823084,0.279651588347241,-0.114173998044966,0.0296292369900954,-0.231313131313131,-0.191690489803697,0.0913414172034862,0.209090909090909,-0.273008385744235,-0.273008385744235,0.2,0.0854700854700855,0.107692307692308,0.0148148148148148,0.1,0.0333333333333333,0.1,0.0333333333333333,0.0541625289639192,0.0333333333333333,-0.178229974160207,0.0885964912280702,0.2,0.139614588310241,0.133934084272007,0.275,-0.00142857142857143,0.145,0.178333333333333,0.174761904761905,0.305,0.316475409836066,0.275,0.305,0.0888888888888889,0.0967965367965368
"Frizzled",-0.0826869787463008,-0.187790396071277,-0.0270224301841949,0.0364353765207721,0.0397687098541055,-0.0733333333333333,0.037781954887218,-0.0863768115942029,-0.085424430641822,0.1,-0.0178206791136754,-0.00915926179084074,-0.00915926179084074,-0.0501501903153718,-0.0883043027963469,0.0417195207892882,0.1,-0.0405599776567518,-0.0666666666666667,0.0988812139671489,0.280694444444444,-0.0461904761904762,0.013440303657695,-0.0494117647058824,-0.0494117647058824,-0.0644957983193277,0.02,-0.273004057938075,-0.273004057938075,0,0.105416666666667,0.111666666666667,0.0534632034632035,0.1,0,0.0866666666666667,0.0772727272727273,0.0392580469176214,0.05,-0.270028011204482,0.0473464519976148,0,0.164960649477789,0.00915926179084074,-0.05,-0.0151515151515151,0.0642857142857143,0.0976190476190476,0.0995798319327731,-0.0342105263157895,-0.037781954887218,-0.05,-0.0342105263157895,0.0666666666666667,0.0862591431556949
"DSH",-0.0856316195001288,-0.186649044008064,-0.0270224301841949,0.0331406303052779,0.0364353765207721,-0.0863768115942029,0.0397687098541055,-0.085424430641822,-0.0767136292480937,0.05,-0.0164201188895857,-0.0178206791136754,-0.0178206791136754,-0.0543011337115982,-0.0783475928396369,0.0421414617175583,0.1,-0.0436274623193285,-0.0866666666666667,0.0959708530823992,0.27764566395664,-0.0357009657009657,0.0143098688750863,-0.0494117647058824,-0.0381335692171606,-0.0581128195959235,0.0494117647058824,-0.268279648489256,-0.268279648489256,0.02,0.0904741379310345,0.105416666666667,0.0405599776567518,0.0666666666666667,0.05,0.111666666666667,0.0534632034632035,0.0410124328825337,0.0772727272727273,-0.274882380136521,0.0501501903153718,-0.05,0.164578970088476,0.0178206791136754,-0.0342105263157895,-0.0102734663710273,0.0976190476190476,0.0995798319327731,0.0890903214432626,-0.037781954887218,-0.0397427392009435,-0.0342105263157895,-0.037781954887218,0.0733333333333333,0.0809227162415418
"Wnt",-0.0791949152542373,-0.185226293507175,-0.034093137254902,0.0397687098541055,0.037781954887218,-0.0666666666666667,0.0342105263157895,-0.0733333333333333,-0.0863768115942029,0.1,-0.00915926179084074,0.00902255639097744,0.00902255639097744,-0.0473464519976148,-0.0929554655870445,0.0393939393939394,0,-0.0534632034632035,-0.1,0.0998275862068966,0.274444444444444,-0.0533333333333333,-0.00243271221532091,-0.02,-0.0494117647058824,-0.0673529411764706,0,-0.26805356288857,-0.26805356288857,0.1,0.111666666666667,0.0866666666666667,0.0772727272727273,0.1,0,0.0666666666666667,0.05,0.0456410256410256,0,-0.250980392156863,0.058974358974359,0,0.168939429318638,-0.00902255639097744,0,-0.0242424242424242,0.05,0.0642857142857143,0.0976190476190476,-0.05,-0.0342105263157895,-0.1,-0.05,0.1,0.0832288401253919
"TCFLEF",-0.190866263651965,-0.202242417089742,0.0279283860946327,-0.0742832383203906,-0.0723932039561294,-0.0920691711389386,0.0295541041767457,-0.0902000122604339,-0.0868887539822882,0.0416666666666667,-0.0458151163401309,-0.0454208982060968,-0.0454208982060968,-0.0752411020598602,-0.171459090316705,-0.00871648351648352,0.0666666666666667,-0.124024577572965,-0.0662337662337662,0.186032029972636,0.258470331542621,-0.110224548835928,0.00581511468540757,-0.158037166085947,-0.153275261324042,-0.127785159638913,0.164703832752613,-0.25280679603048,-0.25280679603048,0.167142857142857,0.0572604142001056,0.0637821533305404,0.124024577572965,0.0571428571428571,0.133333333333333,0.0702337662337662,0.13047619047619,0.0673731087639166,0.14,-0.254187356760886,0.0750498974709501,-0.0490196078431373,0.120209542693715,0.0454208982060968,-0.0390196078431373,-0.132423767848918,-0.00349115255858441,-0.00349115255858441,-0.00714563760841829,-0.0381649069884364,-0.0369226709635917,-0.0316666666666667,-0.0308119658119658,0.0897435897435897,0.13689181729433
"Patched",-0.255698924731183,-0.190676914778857,-0.156190476190476,-0.218187702265372,-0.213333333333333,0.0666666666666667,-0.196666666666667,0.106666666666667,0.106666666666667,-0.1,-0.261057692307692,-0.242307692307692,-0.242307692307692,-0.00666666666666667,0.06,-0.0748917748917749,-0.1,0.0133333333333333,0,-0.328827586206897,0.176190476190476,0.00571428571428572,0.0365591397849462,0,0.0230769230769231,0.118518518518519,0.1,-0.175,-0.175,0.1,-0.164285714285714,-0.15,-0.0133333333333333,0,0.2,-0.1,0.0666666666666667,0.00769230769230769,0.1,-0.166666666666667,0.0166666666666667,0,0.223376623376623,0.242307692307692,0,-0.0333333333333333,0,-0.0333333333333333,-0.0242424242424242,0.05,0.0875,0.1,0.15,0.0333333333333333,0.201831501831502
"SMO",-0.264436788808853,-0.199902007029779,-0.163333333333333,-0.221195221062365,-0.218187702265372,0.106666666666667,-0.213333333333333,0.106666666666667,0.106666666666667,-0.1,-0.275011180679785,-0.261057692307692,-0.261057692307692,0.00761904761904762,0.0703448275862069,-0.0748917748917749,-0.1,0.0355555555555555,0.1,-0.34216091954023,0.174924653405666,0.0223809523809524,0.0484639016897081,0.0230769230769231,0.00792540792540793,0.127342047930283,0,-0.169915254237288,-0.169915254237288,0.1,-0.152285714285714,-0.164285714285714,-0.0133333333333333,0,0.1,-0.15,-0.0133333333333333,0.00293040293040293,0.0666666666666667,-0.166666666666667,0.00666666666666667,0,0.226477398570422,0.261057692307692,0.05,-0.0175438596491228,-0.0333333333333333,-0.0242424242424242,0.00075757575757576,0.0875,0.104166666666667,0.15,0.196666666666667,-0.0666666666666667,0.218336356200434
"FUS",-0.270582040205501,-0.202915705659916,-0.160923694779116,-0.225814786279756,-0.221195221062365,0.106666666666667,-0.218187702265372,0.106666666666667,0.111985815602837,-0.15,-0.282434761465811,-0.275011180679785,-0.275011180679785,0.00955453149001536,0.0808711433756806,-0.0779973649538867,-0.1,0.0507070707070707,0.15,-0.349162714872366,0.167003861326458,0.0357830142366225,0.0616714488595195,0.00792540792540793,0.0251667872357528,0.134148330652796,-0.0230769230769231,-0.163166787979619,-0.163166787979619,0,-0.16767032967033,-0.152285714285714,-0.0355555555555555,-0.1,0.0666666666666667,-0.164285714285714,-0.0133333333333333,-0.00721452460582895,-0.0133333333333333,-0.161748633879781,-0.00761904761904762,0.05,0.226331413168962,0.275011180679785,0.0875,0.00168690958164643,-0.0242424242424242,0.00075757575757576,-0.00151515151515151,0.104166666666667,0.109935897435897,0.196666666666667,0.213333333333333,-0.106666666666667,0.22268418228739
"SUFU",-0.274401958350112,-0.203636611942099,-0.162111343235173,-0.228628085512493,-0.225814786279756,0.106666666666667,-0.221195221062365,0.111985815602837,0.118889168660036,-0.196666666666667,-0.283067672858217,-0.282434761465811,-0.282434761465811,0.00839979707892991,0.091044840646152,-0.0786999410662989,-0.15,0.0541819741819742,0.164285714285714,-0.355161396480804,0.15771018102906,0.0451707693386633,0.0655896771389062,0.0251667872357528,0.0400604042570294,0.141364825498157,-0.00792540792540793,-0.152538768655948,-0.152538768655948,-0.0230769230769231,-0.181764289401873,-0.16767032967033,-0.0507070707070707,-0.15,-0.0133333333333333,-0.152285714285714,-0.0355555555555555,-0.00962416316004582,-0.0133333333333333,-0.153964202742057,-0.00955453149001536,0.0875,0.227128861334831,0.282434761465811,0.104166666666667,0.00238621028094713,0.00075757575757576,-0.00151515151515151,-0.00786435786435786,0.109935897435897,0.113281622342961,0.213333333333333,0.218187702265372,-0.106666666666667,0.220370557608727
"TWIST1",0.163571699998567,0.115503420553747,0.130801906599898,0.137937773701427,0.13914536427072,0.0757157784743992,0.141136175909311,0.0732157784743992,0.073443568907201,0.133333333333333,0.0638654442858909,0.0635229785324662,0.0635229785324662,0.0558014810490058,0.00058638848023694,0.10289506192732,0.133333333333333,-0.0529284177219935,0.05,-0.144298933636997,0.00928274464591412,-0.0637757202974594,-0.0589720804378574,-0.174469870327994,-0.177952457392671,-0.158059551051542,0.177101449275362,-0.025114588272483,-0.025114588272483,0.146666666666667,-0.033379896939219,-0.0316849816849817,0.0445540334855403,-0.1,0.0333333333333333,-0.0269230769230769,0.0404444444444444,-0.0440429626870305,0.0444444444444444,-0.0246925161559308,-0.0600919100919101,-0.133333333333333,-0.142851922583599,-0.0635229785324662,-0.138888888888889,-0.224455788300182,-0.0888888888888889,-0.094017094017094,-0.0968472826963393,-0.142046783625731,-0.140446783625731,-0.138888888888889,-0.143144208037825,-0.0860606060606061,-0.157759877324005
"cMet",-0.157184831775579,-0.097725665711674,0.0258518293300902,-0.16473454413147,-0.16247465712582,0.0458333333333333,-0.171705426356589,0.0347222222222222,0.0432328605200946,-0.2,-0.0228032345013477,-0.0171428571428571,-0.0171428571428571,0.0781426509997939,0.063539029535865,-0.125714285714286,-0.1,0.0915909090909091,0,0.10587453098402,0.0150089207290294,0.0859259259259259,0.0943002730246263,0.045,0.025,0.106497098407211,-0.075,0.00519480519480519,0.00519480519480519,0.025,-0.000416666666666667,-0.00666666666666667,-0.0790909090909091,0,-0.1,0,-0.07,-0.111730306157551,-0.05,0.0920634920634921,-0.0672335600907029,0.1,-0.109346785397206,0.0171428571428571,0.15,0.14047619047619,0.0142857142857143,0.0195488721804511,0.0344424892017277,0.183333333333333,0.174242424242424,0.25,0.183333333333333,-0.0333333333333333,0.128052995391705
"CD44",0.156117216117216,0.100015742047552,-0.0171561771561772,0.16247465712582,0.171705426356589,-0.0333333333333333,0.183333333333333,-0.0458333333333333,-0.0347222222222222,0.1,0.0171428571428571,-0.0142857142857143,-0.0142857142857143,-0.0672335600907029,-0.0470833333333333,0.14,0.1,-0.0790909090909091,0,-0.102954822954823,-0.0259464207290294,-0.0488888888888889,-0.0841307814992026,-0.075,-0.045,-0.100879120879121,-0.025,0.00793650793650795,0.00793650793650795,0,0.00666666666666667,0,0.07,-0.1,0.1,0,0.05,0.105847953216374,0.1,-0.0873015873015873,0.0611111111111111,0,0.101238677289097,0.0142857142857143,-0.1,-0.107142857142857,0,-0.0142857142857143,-0.0195488721804511,-0.15,-0.183333333333333,-0.2,-0.25,-0.0666666666666667,-0.123214285714286
"ZEB2",-0.193053140609139,-0.186173600404304,-0.182843172178019,-0.168012749543513,-0.166324437855201,-0.165714285714286,-0.163859649122807,-0.162312925170068,-0.156492819349962,-0.14,-0.133971096711996,-0.132900432900433,-0.132900432900433,-0.124994696131762,-0.117661227661228,-0.115878504494636,-0.1,-0.0920335761799177,-0.0888888888888889,-0.0767192565121025,-0.066042899923393,-0.0606602254428341,-0.0290624061073529,-0.0226513865308432,-0.0128952889698676,0.00632307181641806,0.0258771929824561,0.0291002870014139,0.0291002870014139,0.0416666666666667,0.0881801661474559,0.0947222222222222,0.098397212543554,0.1,0.1,0.101388888888889,0.105714285714286,0.111319648093842,0.114285714285714,0.12041493393442,0.126214208326884,0.127272727272727,0.128451103579682,0.132900432900433,0.140606060606061,0.144102564102564,0.148717948717949,0.150051282051282,0.150597730138714,0.150862470862471,0.150862470862471,0.153333333333333,0.163859649122807,0.167532467532468,0.21963076237301
"TGFR",-0.00101751712230237,-0.0202089421604204,0.0833029177605601,0.0164724561800654,0.0170924738948572,0.00666666666666667,0.0209202250910295,-0.0951190476190476,-0.100792806484296,0.0333333333333333,-0.0654030910609858,-0.0613095238095238,-0.0613095238095238,0.0720641265136731,-0.109081274241232,0.0117955734193216,0,0.0770170952659264,0.166666666666667,-0.0894164163801027,-0.0723848068258524,-0.0674025974025974,-0.086514326381583,-0.225730994152047,-0.227100857165745,-0.0752576776064321,0.236842105263158,0.0588081846049982,0.0588081846049982,0.2,-0.16577490237221,-0.170426065162907,-0.0798419540229885,-0.166666666666667,-0.0866666666666667,-0.180952380952381,-0.0860919540229885,-0.0467151669120548,-0.103333333333333,0.0683720169990193,-0.07455522971652,-0.0142857142857143,0.0629760350129763,0.0613095238095238,-0.0142857142857143,-0.273115659519168,-0.186666666666667,-0.179770114942529,-0.17617299264037,-0.0123989218328841,-0.00272150247804539,-0.0333333333333333,-0.0314465408805031,-0.00666666666666667,-0.150003049304481
"TGF",0.00152289858208562,-0.0157796406272006,0.0912739322533137,0.0170924738948572,0.0209202250910295,0.00666666666666667,0.0314465408805031,0.00666666666666667,-0.0951190476190476,0,-0.0613095238095238,-0.0666666666666667,-0.0666666666666667,0.07455522971652,-0.102531055900621,0.0190917107583774,0,0.0798419540229885,0.166666666666667,-0.085712712676399,-0.0803026953889023,-0.0545454545454545,-0.0856293706293706,-0.236842105263158,-0.225730994152047,-0.077037037037037,0.2,0.0682421468691492,0.0682421468691492,0.2,-0.170426065162907,-0.180952380952381,-0.0860919540229885,-0.2,-0.0666666666666667,-0.166666666666667,-0.103333333333333,-0.0511927788523533,-0.0866666666666667,0.0755148741418764,-0.0793939393939394,0,0.0591453898516859,0.0666666666666667,-0.0142857142857143,-0.264473684210526,-0.166666666666667,-0.186666666666667,-0.179770114942529,-0.0142857142857143,-0.0123989218328841,-0.0333333333333333,-0.0333333333333333,-0.04,-0.154648526077098
"RAS",-0.0474523617712666,-0.0316538104042671,-0.134322885866351,-0.106876617126824,-0.103760469818042,0.06,-0.092991239048811,0.0658823529411765,0.0688526499708794,-0.1,-0.0655128205128205,0.0325641025641026,0.0325641025641026,-0.112492269635127,0.0777777777777778,-0.0810540184453228,0,-0.099864406779661,-0.1,-0.352309941544647,-0.1024,-0.0967672955974843,-0.00129793510324483,-0.183157894736842,-0.173353973168215,0.054151663938898,0.22,0.0888070692194404,0.0888070692194404,0.12,0.11,0.126666666666667,0.088,0.1,0.1,0.133333333333333,0.1,0.00513833992094862,0.1,0.0857142857142857,0.104329004329004,0.1,-0.042704906658395,-0.0325641025641026,0.1,-0.194805194805195,0.15,0.144736842105263,0.127755710029791,0.0823529411764706,0.0906862745098039,0.1,0.0823529411764706,-0.06,-0.0603100775193799
"AXIN2",0.166013609973,0.139380089790425,0.123812474247257,0.130670005315572,0.129416222349726,0.0895987654320987,0.12906452246696,0.0904837211843111,0.0891635891711098,0.106666666666667,-0.0337074523486397,-0.0363321242646502,-0.0363321242646502,0.0158902691511387,0.0559956982907803,-0.0223242466473702,0.1,-0.101392391761244,0.0555555555555556,0.178650571257889,-0.13874993273859,0.0602315963606286,0.0481529601795199,0.0470313805941798,0.0435831047321108,-0.0391958095744438,-0.0442276422764228,0.121564765214706,0.121564765214706,-0.0466666666666667,-0.0540096618357488,-0.0584541062801932,0.096474358974359,-0.0666666666666667,0.1,-0.051207729468599,0.0875457875457875,-0.0111097188176296,0.0923076923076923,0.120344744995326,-0.0162870945479641,-0.106666666666667,0.0555818205103919,0.0363321242646502,-0.122945736434109,-0.0920092934959695,-0.0733333333333333,-0.0840476190476191,-0.0833719433719434,-0.128118150227212,-0.129376011862432,-0.122945736434109,-0.128118150227212,-0.0908333333333333,0.0559223923800583
