"","PAK1","FOXC2","CDC42","TGFR","ERK","MEK","SNAI2","SOSGRB2","AXIN2","TrCP","GLI","Csn","TCFLEF","cateninnuc","Ecadherin","HEY1","NFB","IKK","AKT","ZEB2","LIV1","Destcompl","Patched","Csl","ZEB1","NOTCHic","NOTCH","miR200","RAF","DELTA","GSK3","PI3K","RAS","TWIST1","KLF4","cateninmemb","Jagged","SHH","SMO","ILK","SMAD","FUS","STAT","SUFU","SRC","DSH","cMet","SNAI1","Frizzled","CD44","Wnt","RKIP","EGR1","TGF","cfos"
"DELTA",-0.2,-0.165714285714286,-0.2,-0.188888888888889,-0.26,-0.226666666666667,-0.182051282051282,-0.22,-0.0242857142857143,0,-0.0276923076923077,0,-0.0186013986013986,-0.0175024975024975,-0.0265964912280702,-0.0333333333333333,0,0.0333333333333333,0.0444444444444444,-0.275845410628019,0,-0.0128803088803089,0.0583333333333333,-0.1,0.115458937198068,-0.08,-0.0657142857142857,-0.177575757575758,0.0533333333333333,0.0533333333333333,-0.0187739463601533,-0.0533333333333333,-0.0442424242424242,0.063,0.288888888888889,0.00366563014450339,-0.052034632034632,-0.066025641025641,-0.0333333333333333,-0.0666666666666667,-0.0619047619047619,0,0,0,0,0,0.02,0.0416666666666667,0,0.0276923076923077,0.02,0.0923076923076923,0.1,0.168888888888889,0.2
"cfos",-0.214285714285714,-0.185848192935711,-0.20952380952381,-0.199719887955182,-0.195652173913043,-0.210906411201179,-0.130991247195627,-0.258333333333333,0.126715927750411,0,0.101637426900585,0.0333333333333333,0.100931822912021,0.0972281192083172,0.0852467179249279,0.0519740129935033,0.0333333333333333,0.00833333333333333,0.0135964912280702,-0.274614704638918,0.1,0.0798704402777344,0.0508448540706605,0,0.106003305276913,-0.00769230769230769,-0.00923076923076923,-0.178910958322723,0.139760348583878,0.139760348583878,-0.0919507575757576,-0.139760348583878,-0.153174982730219,0.117593073593074,0.276126984126984,-0.0579054553463975,-0.0118402777777778,-0.0397337429595494,-0.0476190476190476,-0.0507936507936508,-0.0507936507936508,-0.0476190476190476,-0.1,-0.0333333333333333,-0.08,-0.1,-0.0911111111111111,0.0691084442983177,-0.08,-0.101921921921922,-0.0911111111111111,0.106783216783217,0.36,0.201235039470334,0.2
"CDC42",-0.114285714285714,-0.185848192935711,-0.20952380952381,-0.199719887955182,-0.195652173913043,-0.210906411201179,-0.130991247195627,-0.258333333333333,0.126715927750411,0,0.101637426900585,0.0333333333333333,0.100931822912021,0.0972281192083172,0.0852467179249279,0.0519740129935033,0.0333333333333333,0.00833333333333333,0.0135964912280702,-0.274614704638918,0.1,0.0798704402777344,0.0508448540706605,0,0.106003305276913,-0.00769230769230769,-0.00923076923076923,-0.178910958322723,0.139760348583878,0.139760348583878,-0.0919507575757576,-0.139760348583878,-0.153174982730219,0.117593073593074,0.276126984126984,-0.0579054553463975,-0.0118402777777778,-0.0397337429595494,-0.0476190476190476,-0.0507936507936508,-0.0507936507936508,-0.0476190476190476,-0.1,-0.0333333333333333,-0.08,-0.1,-0.0911111111111111,0.0691084442983177,-0.08,-0.101921921921922,-0.0911111111111111,0.106783216783217,0.26,0.201235039470334,0.2
"SNAI2",-0.241176470588235,-0.302361629957156,-0.25546218487395,-0.276829706241471,0.0647058823529412,0.0660572337042925,0.483173518421446,-0.295368492224476,0.338230493290565,-0.1,0.280393376300584,-0.2,0.280733450293116,0.285702394392495,0.370091138134819,-0.0557263411693791,-0.225,-0.242241379310345,-0.265132945575405,-0.238418292427103,0.22,0.161962523277603,-0.256014405762305,-0.265789473684211,-0.0954648625970212,-0.28859649122807,-0.310674413305992,-0.225628211631597,0.286352844759121,0.286352844759121,-0.165626257103262,-0.286352844759121,-0.290919054804783,0.314263741348538,0.190576923076923,-0.0816434040108212,0.27472666296952,0.261648208579206,0.237647058823529,0.0282360831656606,0.026800676467096,0.22,-0.229090909090909,0.2,-0.257662337662338,-0.229090909090909,-0.278789098225718,0.203672581310725,-0.257662337662338,-0.280939635860127,-0.278789098225718,0.192717948717949,-0.1,0.294842128601719,-0.0705882352941176
"Wnt",-0.1,-0.0824291497975708,-0.0666666666666667,-0.0866666666666667,-0.0533333333333333,-0.012156862745098,-0.105948275862069,-0.0424242424242424,-0.0709090909090909,-0.1,-0.0263157894736842,-0.1,-0.0263157894736842,-0.0150575113279888,0.0519276160503541,0.0456410256410256,-0.0666666666666667,-0.0466666666666667,-0.0466666666666667,-0.218125298900048,0,-0.016114821214527,0.0590909090909091,-0.05,0.0701099952175992,-0.0642857142857143,-0.0642857142857143,-0.15010101010101,0.0586466165413534,0.0586466165413534,-0.103369905956113,-0.0586466165413534,-0.0313738892686261,0.0323529411764706,0.215686274509804,-0.0517796610169492,-0.0434803921568627,-0.0543290043290043,-0.05,-0.058974358974359,-0.0566487775790101,0,0.1,0,0,0.2,0,0.00439958592132505,0.1,0.0263157894736842,0,0.00333333333333333,0,0.0823188405797101,0.0333333333333333
"Frizzled",-0.0666666666666667,-0.0731268242161755,-0.0866666666666667,-0.0823188405797101,-0.012156862745098,-0.012156862745098,-0.101216414663331,-0.0575757575757576,-0.0755602536997886,-0.1,-0.0263157894736842,-0.0666666666666667,-0.0150575113279888,-0.0155337018041793,0.0465663106890487,0.0477686852154937,-0.0466666666666667,-0.0466666666666667,-0.0591666666666667,-0.211194605830741,-0.1,-0.0142580572887976,0.0543290043290043,-0.0642857142857143,0.0711000942275002,-0.0642857142857143,-0.0623249299719888,-0.14853851010101,0.0313738892686261,0.0313738892686261,-0.11003657262278,-0.0313738892686261,-0.0321612908434293,0.0294957983193277,0.220448179271709,-0.040668549905838,-0.0424702911467617,-0.0607806172322301,-0.0590909090909091,-0.0566487775790101,-0.0519758803827484,-0.05,0,0,0,0.1,0.0263157894736842,-0.0019496204278813,0,0.0263157894736842,0.0263157894736842,-0.000238095238095237,0.0333333333333333,0.0699378881987578,0.0533333333333333
"ILK",0.025,0.0298141695702671,0.00735294117647059,0.0193529411764706,0.00784313725490196,0.00620379299260688,-0.00649114043439585,-0.0126923076923077,-0.080952380952381,-0.2,-0.025157933853586,-0.166666666666667,-0.0155534140795747,-0.0178214553166881,0.0600606902807173,0.0566105001177143,-0.166666666666667,-0.16078431372549,-0.163348416289593,-0.207590113118133,-0.1,-0.029668507420539,0.0666666666666667,-0.075,0.0815212522518136,-0.0673076923076923,-0.0608560794044665,-0.145324982210228,0.0521904761904762,0.0521904761904762,-0.10026455026455,-0.0521904761904762,-0.0576699282452707,-0.0907692133636538,0.217543859649123,-0.046610139107988,-0.0443859649122807,-0.0722222222222222,-0.0666666666666667,-0.0654101640656262,-0.0630101640656262,-0.05,0,0,0.0111111111111111,0,0.0328502415458937,-0.0209219001610306,0.0111111111111111,0.025157933853586,0.0328502415458937,-0.0165966386554622,0.0333333333333333,-0.0315480631276901,0.0333333333333333
"DSH",-0.0866666666666667,-0.0683649194542707,-0.0823188405797101,-0.0699378881987578,-0.012156862745098,-0.0234350582338198,-0.0985388826493611,-0.0405025868440502,-0.070075021632278,-0.0666666666666667,-0.0152046783625731,-0.0466666666666667,-0.0155337018041793,-0.0200751087498605,0.0510439226293472,0.0425055273207569,-0.0466666666666667,-0.0591666666666667,-0.0465229885057471,-0.207257597956725,0,-0.0165481336246754,0.0607806172322301,-0.0642857142857143,0.0734622989519097,-0.0623249299719888,-0.0546326222796811,-0.143660461320522,0.0321612908434293,0.0321612908434293,-0.110268591184264,-0.0321612908434293,-0.0414049883224209,0.0330418976101079,0.211710315194039,-0.0381950516726225,-0.033943159363816,-0.0577131325696534,-0.0543290043290043,-0.0519758803827484,-0.0531079558544466,-0.0590909090909091,0,-0.05,0.0263157894736842,0,0.0263157894736842,0.0035576259489303,0.0263157894736842,0.0150575113279888,0.0263157894736842,-0.0107276057276057,0.0533333333333333,0.0661051355855174,0.012156862745098
"Ecadherin",-0.205090909090909,-0.254874049330111,-0.230424242424242,-0.246521803399852,0.0455824466618888,0.0397000937207123,0.215933964765729,-0.270635099756252,0.280733450293116,-0.2,0.211777379436137,-0.18,0.22097939390931,0.223407031631066,0.0909390638001716,-0.0380256458898385,-0.194285714285714,-0.22021164021164,-0.224107744107744,-0.206638201301973,0.166666666666667,0.117071762321574,-0.201008064516129,-0.237224880382775,-0.0510710949383495,-0.258874364918858,-0.257015628859378,-0.193867845376225,0.234177978883861,0.234177978883861,-0.122228239237179,-0.234177978883861,-0.23641261575537,0.264914545830747,0.16938584153774,0.0248879304976866,0.204397944568386,0.197858458216916,0.202083333333333,0.0135652173913043,0.0162286556479629,0.183333333333333,-0.207843137254902,0.166666666666667,-0.224122207022344,-0.207843137254902,-0.214556989631039,0.146586392599952,-0.224122207022344,-0.212884748828364,-0.213777379436137,0.14327938870475,-0.0345454545454546,0.243085998698225,-0.040427807486631
"cateninnuc",-0.264571428571429,-0.27332981772326,-0.275340659340659,-0.271317670834912,0.0186191262415808,0.0158668326635992,0.24400298612087,-0.298926347203888,0.342159376302085,-0.166666666666667,0.190329880562162,-0.204166666666667,0.191696345959748,0.0893489281193726,0.209086499309193,-0.0266259703083268,-0.225378787878788,-0.227378787878788,-0.228941287878788,-0.204110492315473,0.178787878787879,0.0522612634694917,-0.141072871058616,-0.28932831136221,0.00556655405677586,-0.287002729966861,-0.289730002694134,-0.188079742899937,0.262042372042372,0.262042372042372,-0.0619887397777957,-0.262042372042372,-0.269281429281429,0.20450780258711,0.164741308513551,0.0573587663474657,0.17390840223892,0.142162195677352,0.141693989071038,-0.00284415584415584,-0.00543624315657058,0.143333333333333,-0.186480186480186,0.133333333333333,-0.178146853146853,-0.186480186480186,-0.18249467923381,0.0577389965039076,-0.176891145384296,-0.191621663360794,-0.181238971471253,0.0441328101179218,-0.0297101449275362,0.273719417559803,-0.0249482401656315
"KLF4",-0.209090909090909,-0.256475879993726,-0.205090909090909,-0.230424242424242,0.040427807486631,0.0455824466618888,0.213585981623044,-0.254845626072041,0.280939635860127,-0.1,0.213777379436137,-0.2,0.212884748828364,0.22097939390931,0.196197096906306,-0.0360122230710466,-0.18,-0.194285714285714,-0.22021164021164,-0.201898864809082,0.166666666666667,0.114928239488396,-0.202083333333333,-0.210909090909091,-0.0591279669762642,-0.237224880382775,-0.258874364918858,-0.19032967032967,0.238589743589744,0.238589743589744,-0.11847547985528,-0.238589743589744,-0.234177978883861,0.266962962962963,0.159259259259259,0.0193751099848661,0.204626777520331,0.201008064516129,0.183333333333333,0.0106666666666667,0.0135652173913043,0.166666666666667,-0.166666666666667,0.2,-0.207843137254902,-0.166666666666667,-0.224122207022344,0.147852215384762,-0.207843137254902,-0.214556989631039,-0.224122207022344,0.146650175221604,-0.08,0.246521803399852,-0.0345454545454546
"HEY1",-0.209090909090909,-0.256475879993726,-0.205090909090909,-0.230424242424242,0.040427807486631,0.0455824466618888,0.213585981623044,-0.254845626072041,0.280939635860127,-0.1,0.213777379436137,-0.2,0.212884748828364,0.22097939390931,0.196197096906306,-0.0360122230710466,-0.18,-0.194285714285714,-0.22021164021164,-0.201898864809082,0.166666666666667,0.114928239488396,-0.202083333333333,-0.210909090909091,-0.0591279669762642,-0.237224880382775,-0.258874364918858,-0.19032967032967,0.238589743589744,0.238589743589744,-0.11847547985528,-0.238589743589744,-0.234177978883861,0.266962962962963,0.159259259259259,0.0193751099848661,0.204626777520331,0.201008064516129,0.183333333333333,0.0106666666666667,0.0135652173913043,0.166666666666667,-0.166666666666667,0.2,-0.207843137254902,-0.166666666666667,-0.224122207022344,0.147852215384762,-0.207843137254902,-0.214556989631039,-0.224122207022344,0.146650175221604,-0.08,0.246521803399852,-0.0345454545454546
"FOXC2",-0.209090909090909,-0.256475879993726,-0.205090909090909,-0.230424242424242,0.040427807486631,0.0455824466618888,0.213585981623044,-0.254845626072041,0.280939635860127,-0.1,0.213777379436137,-0.2,0.212884748828364,0.22097939390931,0.196197096906306,-0.0360122230710466,-0.18,-0.194285714285714,-0.22021164021164,-0.201898864809082,0.166666666666667,0.114928239488396,-0.202083333333333,-0.210909090909091,-0.0591279669762642,-0.237224880382775,-0.258874364918858,-0.19032967032967,0.238589743589744,0.238589743589744,-0.11847547985528,-0.238589743589744,-0.234177978883861,0.266962962962963,0.159259259259259,0.0193751099848661,0.204626777520331,0.201008064516129,0.183333333333333,0.0106666666666667,0.0135652173913043,0.166666666666667,-0.166666666666667,0.2,-0.207843137254902,-0.166666666666667,-0.224122207022344,0.147852215384762,-0.207843137254902,-0.214556989631039,-0.224122207022344,0.146650175221604,-0.08,0.246521803399852,-0.0345454545454546
"AXIN2",-0.182916666666667,-0.19248939195075,-0.191558641975309,-0.19952324374522,-0.000775017095965352,-0.00284398261320673,0.13750887822177,-0.159675294317651,0.511937072147266,-0.133333333333333,0.130998976159134,-0.144444444444444,0.134243281919884,0.136102339420965,0.115180779821899,0.0145205332832108,-0.140096618357488,-0.15024154589372,-0.155797101449275,-0.194924185944255,0.1,0.134694990484091,-0.0988553113553114,-0.131929824561404,-0.0566595423627392,-0.142644110275689,-0.146022488654068,-0.186264695837871,0.178724399139624,0.178724399139624,-0.13980258757261,-0.178724399139624,-0.18029920228923,0.136183687346635,0.188454880024312,0.0780985095716148,0.112393059349581,0.0978717047979343,0.0970695970695971,-0.0239245456636761,-0.0223372440763745,0.0923076923076923,-0.12,0.1,-0.131627906976744,-0.12,-0.131627906976744,0.143685948751421,-0.131627906976744,-0.131312449563495,-0.131627906976744,0.144025365315688,0,0.200843375758421,0.00731707317073171
"TGF",-0.16,-0.0641925465838509,-0.182222222222222,-0.163174603174603,-0.23859649122807,-0.249707602339181,-0.166891664941711,-0.355263157894737,-0.0451940035273369,-0.2,-0.0496495956873315,-0.233333333333333,-0.040125786163522,-0.0487382263549096,-0.0503740434721375,-0.140296582849774,-0.258333333333333,-0.258333333333333,-0.258333333333333,-0.181274067910223,0,-0.0620115788410616,-0.100114942528736,-0.253333333333333,0.00730971037607193,-0.243333333333333,-0.236436781609195,-0.137208624708625,0.220238095238095,0.220238095238095,-0.186639952784767,-0.220238095238095,-0.232738095238095,0.00574074074074074,0.179455886092042,0.0207828976388438,0.0992022582228768,0.0907399425287356,0.0966666666666667,0.106969696969697,0.0972922776148583,0.113333333333333,0,0.133333333333333,0.0333333333333333,0,0.0533333333333333,0.0680197075651621,0.0428571428571429,0.040125786163522,0.0628571428571429,0.158874458874459,0.233333333333333,0.0542460317460317,0.233333333333333
"Patched",-0.166666666666667,0.01,-0.0666666666666667,-0.0666666666666667,-0.18,-0.187692307692308,-0.265685823754789,-0.1,-0.274891774891775,0,-0.0375,0,-0.144444444444444,-0.133764832793959,-0.0856742179072276,0.0384615384615385,0.1,0.1,0.0857142857142857,-0.175,-0.1,-0.0387612387612388,-0.0133333333333333,0.2,0.0583333333333333,0.2,0.190909090909091,-0.133333333333333,-0.173076923076923,-0.173076923076923,0.041025641025641,0.173076923076923,0.191826923076923,-0.0583333333333333,0.211111111111111,-0.0794623655913979,-0.127619047619048,-0.0116666666666667,-0.0666666666666667,-0.0333333333333333,-0.0133333333333333,-0.1,0.1,0,0.1,0,0.1,-0.00591397849462365,0,0.133333333333333,0,0.0457142857142857,0.1,0.0583333333333333,0.2
"ZEB2",-0.287012987012987,-0.276860916860917,-0.267012987012987,-0.258169449598021,-0.255263157894737,-0.254043645699615,-0.23360502515576,-0.226080586080586,-0.224338774854016,-0.2,-0.197324479801544,-0.188888888888889,-0.188687916975537,-0.188428176715797,-0.18542464353404,-0.164046920821114,-0.163888888888889,-0.161666666666667,-0.1551246105919,-0.151303069288359,-0.15,-0.147678548520866,-0.122386759581882,-0.120512820512821,-0.119838970183164,-0.11651282051282,-0.111594787725935,-0.0802480441999211,-0.033961038961039,-0.033961038961039,-0.00802902618694127,0.033961038961039,0.0388860924942295,0.0621603413050463,0.0627583879894044,0.0875532717453703,0.100149939807761,0.119659486854609,0.132142857142857,0.144434040138265,0.146263308430948,0.146428571428571,0.17,0.175,0.176666666666667,0.177272727272727,0.179298245614035,0.180418440874654,0.183939393939394,0.187631578947368,0.189067599067599,0.219967793880837,0.25,0.251820243248815,0.255263157894737
"Destcompl",-0.145918367346939,-0.142797960540367,-0.15350457424349,-0.150872995296122,0.00138102334823646,-0.00115062222138379,0.0955769552585439,-0.123336383749347,0.134243281919884,-0.1,0.0376460528356442,-0.0857142857142857,0.0392129859508719,0.0374791766698928,0.078806997851945,0.0140254617177694,-0.103105590062112,-0.105808292764814,-0.101781447127231,-0.141214667488951,0.0333333333333333,-0.0709269571240619,-0.0633097095666329,-0.0845280062671367,-0.00150944158113446,-0.0834410497453976,-0.0808358393245559,-0.14274166433759,0.122488504831355,0.122488504831355,-0.0351736879091314,-0.122488504831355,-0.126727123355688,0.0363436221780955,0.136829427855514,-0.011526282600105,0.0164017240378476,0.0650505219457432,0.0659003831417625,-0.0212698412698413,-0.0232581453634085,0.0659003831417625,-0.0404761904761905,0.0555555555555556,-0.0336268754076973,-0.0404761904761905,-0.0331293629698864,0.0375760060998447,-0.0336268754076973,-0.0379801092385431,-0.0326367763977963,0.0380694266317823,0.00666666666666667,0.149395162783807,-0.00848484848484848
