"","TGFR","TGF","PAK1","ZEB2","RKIP","IKK","AKT","FUS","SMO","NFB","SUFU","Csn","TrCP","STAT","LIV1","CD44","DSH","cMet","Jagged","Wnt","SRC","TWIST1","Frizzled","SNAI2","KLF4","MEK","cfos","PI3K","EGR1","miR200","FOXC2","GSK3","RAF","DELTA","RAS","ERK","NOTCH","Csl","NOTCHic","GLI","cateninnuc","TCFLEF","Ecadherin","AXIN2","SNAI1","Patched","SHH","ILK","SMAD","cateninmemb","HEY1","Destcompl","ZEB1","SOSGRB2","CDC42"
"cfos",-0.246218487394958,-0.244703335879806,-0.214285714285714,-0.12328875052846,-0.185501165501165,-0.0958333333333333,-0.0905701754385965,-0.0476190476190476,-0.080952380952381,-0.0583333333333333,-0.0333333333333333,-0.0333333333333333,0,0,0.1,0.0538138138138138,0,0.0511111111111111,-0.0579513888888889,0.0511111111111111,0.04,-0.134415584415584,0.04,-0.045724397257244,-0.138888888888889,0.00309506263817244,0,-0.0543028322440087,0.12,0.0321364909600204,0.0137555510008882,0.00908008658008658,0.0543028322440087,0.0543028322440087,0.048205271268399,-0.0217391304347826,0.0302564102564103,0.0333333333333333,0.0256410256410256,-0.0537426900584795,-0.0434141071764834,-0.0419326256950019,-0.0372242410341343,-0.0613628899835796,0.16523973916379,0.0648233486943164,0.0611196449906127,0.0619047619047619,0.0651305683563748,-0.0441174542702608,0.0657671164417791,-0.0572847402045917,0.12328875052846,0.197222222222222,0.228571428571429
"CDC42",-0.246218487394958,-0.244703335879806,-0.314285714285714,-0.12328875052846,-0.185501165501165,-0.0958333333333333,-0.0905701754385965,-0.0476190476190476,-0.080952380952381,-0.0583333333333333,-0.0333333333333333,-0.0333333333333333,0,0,0.1,0.0538138138138138,0,0.0511111111111111,-0.0579513888888889,0.0511111111111111,0.04,-0.134415584415584,0.04,-0.045724397257244,-0.138888888888889,0.00309506263817244,0,-0.0543028322440087,0.02,0.0321364909600204,0.0137555510008882,0.00908008658008658,0.0543028322440087,0.0543028322440087,0.048205271268399,-0.0217391304347826,0.0302564102564103,0.0333333333333333,0.0256410256410256,-0.0537426900584795,-0.0434141071764834,-0.0419326256950019,-0.0372242410341343,-0.0613628899835796,0.16523973916379,0.0648233486943164,0.0611196449906127,0.0619047619047619,0.0651305683563748,-0.0441174542702608,0.0657671164417791,-0.0572847402045917,0.12328875052846,0.197222222222222,0.228571428571429
"Csl",-0.244055429993379,-0.238840010492246,-0.231111111111111,-0.121571605234829,-0.185501227897317,-0.0930232558139535,-0.086046511627907,-0.0814102564102564,-0.063763197586727,-0.1,-0.0583333333333333,-0.0666666666666667,-0.0333333333333333,-0.0215384615384615,-0.06,-0.0251320108462966,-0.0215384615384615,-0.0157442557442557,-0.031748063455431,-0.0156733588991653,-0.0124475524475524,-0.108468130554459,-0.0124475524475524,-0.0811285406727376,-0.126114561766736,0.0193788819875776,0.0271428571428571,-0.0677506701194857,0.02,0.0237547541933805,0.0231836583354143,0.0392641972748944,0.0677506701194857,0.0677506701194857,0.0717947877665445,-0.0128571428571429,0.0104789098846824,0.00248847926267281,0.00775163715740966,0.0245443266411008,0.0215281194186978,0.0237579650447698,0.0408447980456467,0.0274327492876506,0.16931874084048,0.0605373911351141,0.0639856669971831,0.0655018842069202,0.0677241064291424,0.0417649306117657,0.165818086431897,0.0288172858154577,0.121571605234829,0.195880888473957,0.247240143369176
"SNAI1",-0.239785303092921,-0.238172399867115,-0.246218487394958,-0.120802622773292,-0.1795740751847,-0.0831627680311891,-0.0810794346978558,-0.0648233486943164,-0.0611196449906127,-0.0905701754385965,-0.080952380952381,-0.0958333333333333,-0.0583333333333333,0.0511111111111111,0.04,0.0434141071764834,0.0511111111111111,0.0419326256950019,-0.0532281842696179,0.0425231778633576,0.0538138138138138,-0.124868761673109,0.0537426900584795,-0.0410888464354988,-0.11906865498868,0.0106705484378735,0.00309506263817244,-0.0527507258138535,0.0217391304347826,0.0236435834179752,0.0174404302893253,0.0145634349149201,0.0527507258138535,0.0527507258138535,0.0537359474887304,-0.00842839597150577,0.0337100994243851,0.0302564102564103,0.0357509157509158,-0.0441685160717671,-0.0466866402439714,-0.0449313485557938,-0.0432773359576028,-0.0545370114595879,0.0676051406025654,0.0621196449906127,0.0673623634372147,0.06642089093702,0.0675279020071307,-0.0498313603986747,0.0678329427723113,-0.0559861813073486,0.120802622773292,0.208303858687756,0.244703335879806
"LIV1",-0.244703335879806,-0.239785303092921,-0.228571428571429,-0.118465599403058,-0.178318845059177,-0.0905701754385965,-0.0831627680311891,-0.080952380952381,-0.0648233486943164,-0.0958333333333333,-0.0476190476190476,-0.0583333333333333,-0.0333333333333333,0.04,0,0.0419326256950019,0.04,0.0538138138138138,-0.0518164195637355,0.0537426900584795,0.0511111111111111,-0.125176453980802,0.0511111111111111,-0.0419269289028136,-0.122495446265938,0.00842839597150577,0.0217391304347826,-0.048205271268399,0,0.0260451204016447,0.0137555510008882,0.0119891774891775,0.048205271268399,0.048205271268399,0.0527507258138535,-0.00309506263817244,0.0357509157509158,0.0256410256410256,0.0302564102564103,-0.0425231778633576,-0.0449313485557938,-0.0434141071764834,-0.0442138604112969,-0.0557025126250891,0.164046421741355,0.0611196449906127,0.0621196449906127,0.0651305683563748,0.06642089093702,-0.0455826557354623,0.0672377046770732,-0.0559313567459451,0.118465599403058,0.204152915291529,0.246218487394958
"EGR1",-0.244703335879806,-0.239785303092921,-0.228571428571429,-0.118465599403058,-0.178318845059177,-0.0905701754385965,-0.0831627680311891,-0.080952380952381,-0.0648233486943164,-0.0958333333333333,-0.0476190476190476,-0.0583333333333333,-0.0333333333333333,0.04,0,0.0419326256950019,0.04,0.0538138138138138,-0.0518164195637355,0.0537426900584795,0.0511111111111111,-0.125176453980802,0.0511111111111111,-0.0419269289028136,-0.122495446265938,0.00842839597150577,0.0217391304347826,-0.048205271268399,0,0.0260451204016447,0.0137555510008882,0.0119891774891775,0.048205271268399,0.048205271268399,0.0527507258138535,-0.00309506263817244,0.0357509157509158,0.0256410256410256,0.0302564102564103,-0.0425231778633576,-0.0449313485557938,-0.0434141071764834,-0.0442138604112969,-0.0557025126250891,0.164046421741355,0.0611196449906127,0.0621196449906127,0.0651305683563748,0.06642089093702,-0.0455826557354623,0.0672377046770732,-0.0559313567459451,0.118465599403058,0.204152915291529,0.246218487394958
"SMAD",-0.201912218188086,-0.198326560817568,-0.188095238095238,-0.112162824937572,-0.17829658645945,-0.16078431372549,-0.155450980392157,-0.170833333333333,-0.155833333333333,-0.166666666666667,-0.158333333333333,-0.133333333333333,-0.1,-0.0314285714285714,-0.06,-0.0351849588320177,-0.00476190476190476,-0.0239122315592904,-0.122692640692641,0.00271672771672772,-0.0258730158730159,-0.0882033571249874,0.000793650793650794,-0.0820568913647509,-0.115583035794175,-0.00263286975590051,0.0032258064516129,0.0209247055709938,0,0.0343022132491018,0.0162856115937311,-0.0394746245122185,-0.0209247055709938,-0.0209247055709938,-0.0163194424130991,0.00840210052513128,0.11480021893815,0.11047619047619,0.111625615763547,0.0080746391897471,0.0320061856627713,0.0342351623598331,0.0427628050980335,0.0356782095225892,0.15793907302375,0.153081039755352,0.154939775814831,0.161846920203085,0.064227872584037,0.0476877533550361,0.180249595064672,0.0760579431140988,0.112162824937572,0.18114463176575,0.203588195841717
"STAT",-0.212948564593301,-0.21439783995562,-0.190909090909091,-0.104115115653577,-0.143610038610039,-0.0533333333333333,-0.051638418079096,-0.025,-0.0583333333333333,-0.02,0,0,0,0.0285714285714286,0.2,0.0726079476079476,0.0285714285714286,0.0717532467532467,-0.0567822318526544,0.0717532467532467,0.0535714285714286,-0.193800394175207,0.0535714285714286,-0.0161397560440623,-0.212022182610418,0.0156356736242884,0.02,0.0579818031430935,0,0.0306991773931091,-0.0192215405589639,-0.090057854917668,-0.0579818031430935,-0.0579818031430935,-0.062459415083392,-0.0317647058823529,0.0477076162398835,0.0490196078431372,0.0409114997350291,-0.0725935828877005,-0.0636488066748103,-0.0647215122767173,-0.116630707010462,-0.109574738986504,0.119009987975801,0.0467054263565891,0.0387408245866776,0.0615136876006441,0.0615136876006441,-0.124115018766112,0.068,-0.111996245040969,0.104115115653577,0.267610837438424,0.197159090909091
"Ecadherin",-0.0418876570583888,-0.046046789065622,-0.0470909090909091,-0.0859448838153371,-0.0503853022312091,-0.0826455026455026,-0.0865416065416065,0.0333333333333333,0.0145833333333333,-0.0752380952380952,0.0333333333333333,-0.08,-0.1,0.00392156862745098,0.0333333333333333,0.0128023339692881,0.00392156862745098,0.00711671524019112,-0.0210476101662088,0.0079712879538343,0.00624715002279981,-0.0294022224656467,0.00624715002279981,-0.0174533690139103,-0.0669479606188467,0.0629740706029366,0.060855614973262,-0.0873604826546003,0.0490909090909091,-0.0330674415590617,0.093199063236413,0.0841510838050299,0.0873604826546003,0.0873604826546003,0.0851258457830919,-0.0680721098186229,-0.0813510928979284,-0.0814354066985646,-0.0824663345336161,-0.0133046212871676,-0.00956482476884579,-0.0106852729481175,-0.127595536467702,0.0874026426195309,0.052331361662378,-0.0113575268817204,-0.0137197316061299,0.011768115942029,0.00958893918658104,0.0835117705239657,-0.00132587507242067,0.0911165169852337,0.0859448838153371,-0.045729138455057,0.0404242424242424
"KLF4",-0.0404242424242424,-0.0418876570583888,-0.0590909090909091,-0.0769401444788442,-0.0455163883735312,-0.0752380952380952,-0.0826455026455026,0.0333333333333333,0.0333333333333333,-0.08,0,-0.1,-0.1,0.0333333333333333,0.0333333333333333,0.00711671524019112,0.0333333333333333,0.00624715002279981,-0.0180727817909227,0.00624715002279981,0.00392156862745098,-0.0228845315904139,0.00392156862745098,-0.0147441576954274,-0.0555555555555556,0.0680721098186229,0.0490909090909091,-0.082948717948718,0.04,-0.0366056166056166,0.0911395666689073,0.0870208409794229,0.082948717948718,0.082948717948718,0.0873604826546003,-0.060855614973262,-0.0824663345336161,-0.0709090909090909,-0.0814354066985646,-0.0079712879538343,-0.0106852729481175,-0.0128023339692881,-0.031003520888345,0.0904954261246856,0.052331361662378,-0.0145833333333333,-0.0113575268817204,0.0146666666666667,0.011768115942029,0.0813322833444785,0.000687547746371277,0.0913029102750753,0.0769401444788442,-0.0404659805603202,0.0470909090909091
"HEY1",-0.0404242424242424,-0.0418876570583888,-0.0590909090909091,-0.0769401444788442,-0.0455163883735312,-0.0752380952380952,-0.0826455026455026,0.0333333333333333,0.0333333333333333,-0.08,0,-0.1,-0.1,0.0333333333333333,0.0333333333333333,0.00711671524019112,0.0333333333333333,0.00624715002279981,-0.0180727817909227,0.00624715002279981,0.00392156862745098,-0.0228845315904139,0.00392156862745098,-0.0147441576954274,-0.0555555555555556,0.0680721098186229,0.0490909090909091,-0.082948717948718,0.04,-0.0366056166056166,0.0911395666689073,0.0870208409794229,0.082948717948718,0.082948717948718,0.0873604826546003,-0.060855614973262,-0.0824663345336161,-0.0709090909090909,-0.0814354066985646,-0.0079712879538343,-0.0106852729481175,-0.0128023339692881,-0.031003520888345,0.0904954261246856,0.052331361662378,-0.0145833333333333,-0.0113575268817204,0.0146666666666667,0.011768115942029,0.0813322833444785,0.000687547746371277,0.0913029102750753,0.0769401444788442,-0.0404659805603202,0.0470909090909091
"FOXC2",-0.0404242424242424,-0.0418876570583888,-0.0590909090909091,-0.0769401444788442,-0.0455163883735312,-0.0752380952380952,-0.0826455026455026,0.0333333333333333,0.0333333333333333,-0.08,0,-0.1,-0.1,0.0333333333333333,0.0333333333333333,0.00711671524019112,0.0333333333333333,0.00624715002279981,-0.0180727817909227,0.00624715002279981,0.00392156862745098,-0.0228845315904139,0.00392156862745098,-0.0147441576954274,-0.0555555555555556,0.0680721098186229,0.0490909090909091,-0.082948717948718,0.04,-0.0366056166056166,0.0911395666689073,0.0870208409794229,0.082948717948718,0.082948717948718,0.0873604826546003,-0.060855614973262,-0.0824663345336161,-0.0709090909090909,-0.0814354066985646,-0.0079712879538343,-0.0106852729481175,-0.0128023339692881,-0.031003520888345,0.0904954261246856,0.052331361662378,-0.0145833333333333,-0.0113575268817204,0.0146666666666667,0.011768115942029,0.0813322833444785,0.000687547746371277,0.0913029102750753,0.0769401444788442,-0.0404659805603202,0.0470909090909091
"PI3K",-0.0453529411764706,-0.0510439980870397,-0.075,-0.0730420176250061,0.0429056237879767,0.0392156862745098,0.0315233785822021,0,0,0.0333333333333333,0,0.0333333333333333,0,0.2,0.1,0.173875882571535,0.2,0.166183574879227,-0.0892982456140351,0.166183574879227,0.144444444444444,-0.087303850026587,0.144444444444444,0.00749176400119797,-0.0741228070175439,0.0532121045139367,0.0476190476190476,0.062008658008658,0.0333333333333333,0.0415968502034076,-0.114090592334495,-0.0774891774891775,-0.062008658008658,-0.062008658008658,-0.0702278360908498,-0.0417366946778711,0,0,0,-0.173875882571535,-0.171133731019319,-0.176700741328597,-0.0141228225225016,-0.199904761904762,-0.0464694041867955,0.0153846153846154,0.00427350427350427,0.041328531412565,0.037328531412565,-0.0645245532977094,0.0346550970302358,-0.27419718029975,0.0730420176250061,0.117307692307692,0.0573529411764706
"AKT",-0.0510439980870397,-0.0513461128906651,-0.0573529411764706,-0.0709872231044581,0.048495685899778,0.0315233785822021,-0.0634261163672928,0,-0.0153846153846154,0.0392156862745098,0,0.0333333333333333,0.0333333333333333,0.144444444444444,0.2,0.176700741328597,0.144444444444444,0.173875882571535,-0.0892982456140351,0.173875882571535,0.166183574879227,-0.0857747980388194,0.166183574879227,0.00317015596099696,-0.0766869095816464,0.0405538766658355,0.0417366946778711,0.0702278360908498,0.0476190476190476,0.0448054063531402,-0.12386502842472,-0.0799085323278872,-0.0702278360908498,-0.0702278360908498,-0.0748061493438618,-0.0532121045139367,0.0024390243902439,0,0,-0.17666917866092,-0.172364500250088,-0.171133731019319,-0.0129107013103804,-0.204597902698986,-0.0502288026830361,0.00427350427350427,-0.000989653621232567,0.037328531412565,0.0356450297290633,-0.0605490181295137,0.0339032173309876,-0.272956485510668,0.0709872231044581,0.117307692307692,0.0453529411764706
"SNAI2",-0.0201249730661495,-0.0219883271034166,-0.0274509803921569,-0.0677509964338158,-0.044,-0.0632183908045977,-0.0692424871901399,-0.02,-0.0141176470588235,-0.0666666666666667,0,-0.0666666666666667,-0.1,-0.0109090909090909,-0.02,-0.0257043138596978,-0.0109090909090909,-0.0224785074080849,0.0210278127338046,-0.0224785074080849,-0.0323376623376623,0.00628392339952553,-0.0323376623376623,-0.0327092387033002,-0.0571153846153846,0.0661897191308956,0.0627450980392157,-0.0675656342058275,0.0333333333333333,-0.0456713276822732,0.0810533388976413,0.0670674735892127,0.0675656342058275,0.0675656342058275,0.070761981237791,-0.0607843137254902,-0.0675780359990887,-0.0614035087719298,-0.0701754385964913,0.0251523041995287,0.0240676358805725,0.0209620458184607,-0.00550571109805082,0.0716626808637172,0.047881035446778,0.0284033613445378,0.0255864599360871,0.00898725687458082,0.0056379745779301,0.0592428720538527,-0.00215491259795057,0.0686546686528551,0.0677509964338158,-0.0531778228532792,0.0226890756302521
"CD44",-0.0591666666666667,-0.0647222222222222,-0.0666666666666667,-0.0650793650793651,0.00629629629629629,0.2,0.193333333333333,0.1,0.1,0.2,0.1,0.1,0,0.1,0.1,0.04,0,0.2,0.0995804195804196,0.1,0.2,-0.021025641025641,0.1,-0.00881340881340881,-0.146031746031746,-0.01,0,0.0857142857142857,0,-0.0510408432147563,0.0533333333333333,-0.0273809523809524,-0.0857142857142857,-0.0857142857142857,-0.0542857142857143,0,0.0195488721804511,0,0.0142857142857143,-0.04,-0.0686940966010734,-0.0702325581395349,-0.162599609162957,-0.08,0.0542530568846358,-0.1,-0.1,-0.0888888888888889,-0.0909297052154195,-0.15489010989011,-0.0941520467836257,0.0983520680999672,0.0650793650793651,0.0333333333333333,0.0466666666666667
