"","FOXC2","TGF","SNAI1","IKK","Csn","SUFU","NOTCH","NFB","TrCP","ERK","EGR1","MEK","cfos","SNAI2","RAF","STAT","Wnt","Ecadherin","cMet","AXIN2","SRC","CD44","cateninmemb","Destcompl","LIV1","cateninnuc","TCFLEF","GLI","Frizzled","RAS","DSH","PI3K","DELTA","GSK3","ZEB1","TWIST1","SOSGRB2","FUS","NOTCHic","Csl","AKT","Jagged","Patched","SMO","RKIP","SHH","ILK","SMAD","HEY1","PAK1","CDC42","TGFR","miR200","ZEB2","KLF4"
"DELTA",0.215714285714286,0.223111111111111,0.15,0.0333333333333333,0,0,0.108571428571429,0,0,-0.02,0.1,-0.0533333333333333,0,0.190020110608346,-0.04,0,-0.04,0.0823859649122807,-0.04,-0.0857142857142857,-0.1,-0.0476923076923077,0.115363087616609,-0.113822393822394,0,0.0688711288711289,0.0567832167832168,0.0476923076923077,0.1,0.0490909090909091,0,0.04,0.04,-0.106130268199234,-0.0519323671497584,-0.104,-0.08,0,-0.08,-0.1,0.0222222222222222,-0.00337662337662337,0.0166666666666667,-0.0333333333333333,-0.123076923076923,-0.0371794871794872,-0.05,-0.0547619047619048,-0.15,-0.2,-0.2,-0.211111111111111,-0.252121212121212,-0.291545893719807,-0.261111111111111
"GLI",0.178183264533884,0.285909615114751,0.109770610309389,-0.0295023272466881,-0.0666666666666667,-0.142857142857143,-0.00349406340785651,-0.0192982456140351,-0.0333333333333333,-0.124350649350649,-0.142857142857143,-0.118273301284351,-0.117857142857143,0.201191077267236,-0.107369574966366,-0.07,-0.209715370018975,0.0949801642946269,-0.0789693154996066,-0.0933680555555556,-0.0667741935483871,-0.0729348327409859,0.103038170259307,-0.140149974664423,-0.05,0.0778647354742359,0.0778049626111158,0.103332391295571,0.196774193548387,0.0988547234812175,0.2,0.107369574966366,0.107369574966366,-0.20234412538426,-0.060320873869261,-0.0816650836430123,-0.301154656552887,0.105357142857143,0.0015893015030946,0.0090893015030946,0.0138773272466881,0.0132879989233078,0.0963345864661654,0.11062030075188,-0.112916510831109,0.103330471239828,-0.0277267288414086,-0.0320510531657329,-0.0254158735058565,-0.275,-0.278448275862069,-0.282850791585339,-0.235272570566688,-0.253227513227513,-0.251046761046761
"SRC",0.10905695611578,0.111576479076479,0.0109823953687542,-0.156410256410256,-0.1,0.0333333333333333,0.177142857142857,-0.133333333333333,-0.1,-0.116161616161616,-0.1,-0.114274823708786,-0.127272727272727,0.155827867430158,-0.296971214017522,0,-0.06,0.184444020032255,-0.06,-0.109356538739428,-0.05,-0.0714754098360656,0.168487876066457,0.0485897435897436,0,0.0601096653061371,0.0665973610555778,0.0714754098360656,0.05,0.309092426138734,0.1,0.296971214017522,0.296971214017522,0.216017316017316,-0.051392632524708,-0.0911203738789946,-0.204285714285714,-0.0333333333333333,-0.184285714285714,-0.17,0.134188034188034,-0.0323118089861209,-0.0392592592592593,-0.0133333333333333,-0.107885304659498,-0.0422004357298475,-0.0657894736842105,-0.0720957799905168,-0.0835567692816948,-0.111111111111111,-0.123611111111111,-0.118849206349206,-0.154390279607671,-0.197117400419287,-0.105103359173127
"TWIST1",-0.0180224033281048,-0.0341205283928754,0.14287109495111,0.181684981684982,0.2,0.1,0.0169682309304951,0.176923076923077,0.1,0.162875667429443,0.213333333333333,0.163373179867254,0.165507246376812,-0.281600780581703,0.0800527993570372,-0.0285714285714286,-0.0217878028404344,-0.0648053011324619,-0.022661263086795,-0.0386140203882139,-0.0396825396825397,-0.0214564438096866,-0.00121078114504614,-0.0521142526362029,0,0.0272176186236782,0.0277351574390893,0.0209878028404344,0.0396825396825397,-0.0821075938775851,0.0285714285714286,-0.0800527993570372,-0.0800527993570372,-0.0699972364504669,0.0978970198268444,-0.000992018088700014,0.145414539693716,-0.0888888888888889,-0.00376068376068376,-0.00888888888888889,-0.173210405413795,-0.0746613474039933,-0.072779299847793,-0.0768888888888889,-0.0889122041295954,-0.0752423540349851,-0.0673491673491674,-0.0769201244448769,-0.0703234618488856,0.0357575757575758,0.0426541274817137,0.0389041274817137,-0.162282779582853,-0.194720158755246,-0.191223681467584
"SNAI2",-0.00460429635812194,0.0687114533661848,0.158666480885035,-0.0313218390804598,-0.0666666666666667,-0.1,-0.0969469127363864,-0.0416666666666667,-0.1,-0.0137254901960784,-0.0333333333333333,-0.0137254901960784,-0.0156862745098039,0.3857872857479,-0.0282345370260847,-0.0890909090909091,-0.114744832632157,0.243821687113393,-0.114744832632157,-0.165254158204744,-0.110519480519481,-0.114744832632157,0.229905484181795,-0.217253076609455,-0.08,0.125072040162412,0.120724214075456,0.115279591990445,0.110519480519481,0.0213852219575916,0.0890909090909091,0.0282345370260847,0.0282345370260847,-0.207275503756433,0.0918699391650934,0.0602435507287181,0.0805949966193374,0.08,0.0982456140350877,0.0824561403508772,0.0301170198033513,0.108683493206267,0.0920048019207683,0.0858823529411765,-0.145833333333333,0.0976386047376697,-0.00724346076458752,-0.00963580526219518,0.00394816154309825,-0.0509803921568627,-0.0557422969187675,-0.0600158011922718,-0.146396246530019,-0.175965806586952,-0.167692307692308
"Ecadherin",0.0261594592567264,0.0733845623348556,0.102500817374957,0.0210582010582011,0.02,0.0333333333333333,-0.0565547085260176,0.0247619047619048,0,-0.0160041898671371,-0.00909090909090909,-0.00306301339654887,-0.0149732620320856,0.109940818006334,0.0303619909502262,-0.0294117647058824,-0.0207108825888014,-0.0512500122616606,-0.0198263248676619,-0.120724214075456,-0.0224350205198358,-0.0295253215231803,0.138618626179602,-0.176316506958214,0,0.0340081607360759,0.0328877125568042,0.0300442159221347,0.0224350205198358,-0.0306413205591648,0.0294117647058824,-0.0303619909502262,-0.0303619909502262,-0.168369485083685,0.0491286028005615,-0.0215125911320456,0.048110198308808,-0.0166666666666667,0.0517219947713708,0.0630622009569378,-0.0210582010582011,0.0187724319658353,-0.00504032258064516,-0.0104166666666667,-0.0909847153025323,-0.00976473202946406,-0.0112463768115942,-0.0114885075621995,-0.00346040063371291,-0.0550909090909091,-0.0590909090909091,-0.070310421286031,-0.121724681277754,-0.147162169432502,-0.147257383966245
"KLF4",0.0218116331697699,0.070310421286031,0.0977539819319193,0.0247619047619048,0,0,-0.0517219947713708,0.02,-0.1,-0.0149732620320856,0,-0.0160041898671371,-0.00909090909090909,0.10530505641693,0.0215384615384615,0,-0.0224350205198358,0.0508921493741719,-0.0224350205198358,-0.114744832632157,-0.0294117647058824,-0.0198263248676619,0.13682375438473,-0.17100429819773,0.0333333333333333,0.0328877125568042,0.0295253215231803,0.0207108825888014,0.0294117647058824,-0.0303619909502262,0,-0.0215384615384615,-0.0215384615384615,-0.161526217975518,0.0557636738906089,-0.0272854030501089,0.0533733562035449,-0.0333333333333333,0.0630622009569378,0.0472727272727273,-0.0210582010582011,0.0144246058788787,-0.0104166666666667,-0.0166666666666667,-0.0906101834673263,-0.00504032258064516,-0.004,-0.0112463768115942,0.00123758594346829,-0.0590909090909091,-0.0550909090909091,-0.0590909090909091,-0.121538461538462,-0.141001031991744,-0.133333333333333
"FOXC2",0.0218116331697699,0.070310421286031,0.0977539819319193,0.0247619047619048,0,0,-0.0517219947713708,0.02,-0.1,-0.0149732620320856,0,-0.0160041898671371,-0.00909090909090909,0.10530505641693,0.0215384615384615,0,-0.0224350205198358,0.0508921493741719,-0.0224350205198358,-0.114744832632157,-0.0294117647058824,-0.0198263248676619,0.13682375438473,-0.17100429819773,0.0333333333333333,0.0328877125568042,0.0295253215231803,0.0207108825888014,0.0294117647058824,-0.0303619909502262,0,-0.0215384615384615,-0.0215384615384615,-0.161526217975518,0.0557636738906089,-0.0272854030501089,0.0533733562035449,-0.0333333333333333,0.0630622009569378,0.0472727272727273,-0.0210582010582011,0.0144246058788787,-0.0104166666666667,-0.0166666666666667,-0.0906101834673263,-0.00504032258064516,-0.004,-0.0112463768115942,0.00123758594346829,-0.0590909090909091,-0.0550909090909091,-0.0590909090909091,-0.121538461538462,-0.141001031991744,-0.133333333333333
"SHH",0.05,0.0933333333333334,-0.0666666666666667,0.1,0,-0.2,0,0,0,0.1,0,0,0.1,-0.19992337164751,-0.05,0.1,0,-0.0211111111111111,0.1,0.247619047619048,0.1,0.1,-0.135913978494624,0.348311688311688,0,-0.152222222222222,-0.146666666666667,0,0,0.0884615384615385,0,0.05,0.05,0.256410256410256,-0.075,-0.025,-0.2,0.2,0,-0.1,-0.05,-0.0942857142857143,0.133333333333333,0.1,0.06,0.0133333333333333,0,0.0166666666666667,0,-0.2,-0.233333333333333,-0.133333333333333,-0.0833333333333333,-0.125,-0.15
"Patched",0.03,0.0766666666666667,-0.0827956989247312,0.05,0,-0.2,0.0272727272727273,0.1,0,0,0.1,-0.0384615384615385,0.1,-0.217256704980843,-0.0884615384615385,0.1,0,-0.0220819848975189,0.1,0.283982683982684,0.1,0.146666666666667,-0.135913978494624,0.371388611388611,0.1,-0.159018338727077,-0.152222222222222,-0.0375,0,0.0759615384615385,0,0.0884615384615385,0.0884615384615385,0.299267399267399,-0.075,-0.0435185185185185,-0.166666666666667,0.1,0,0,-0.0357142857142857,-0.112804232804233,0.0133333333333333,0.133333333333333,0.0742857142857143,0.0258333333333333,0.0166666666666667,0.00666666666666667,0.00769230769230769,-0.233333333333333,-0.133333333333333,-0.0933333333333334,-0.0761904761904762,-0.108333333333333,-0.116666666666667
"ERK",0.162779490365697,0.164846598134339,0.245793062658998,0.0222001527883881,0.0142857142857143,-0.1,-0.236132769397019,0.0233766233766234,0.0142857142857143,0.127190022010271,0.216551724137931,0.135825119503308,0.227190022010271,-0.292499758584032,0.242735042735043,-0.0263157894736842,-0.0359440559440559,-0.133387538363371,-0.0322598454177402,-0.0359488231671004,-0.0301619433198381,-0.0360766393108699,-0.105047741515954,-0.331506430080077,0,0.0427822878032285,0.0403517322476729,0.0397034544402965,0.0338461538461538,-0.246145383769146,0.03,-0.242735042735043,-0.242735042735043,-0.34430221070606,0.0300282375033107,-0.13439357203492,0.109116350747419,0.104,0.232531661363778,0.23034188034188,-0.0277047399443514,0.121039771544079,0.116129004607307,0.115475409836066,-0.0427563357845704,0.115162821032428,0.104129057444821,0.10382510607704,0.125446771288776,-0.14952380952381,-0.152327547841567,-0.159626817914559,-0.0693413533946323,-0.107984486515943,-0.0999288200816345
"SOSGRB2",0.0935164835164835,0.097471748110046,0.162590618336887,0.13859649122807,0.1,-0.2,-0.450457992711514,0.133333333333333,0.1,0.312226512226512,0.276190476190476,0.324347724347724,0.30952380952381,-0.309195257660978,0.435028248587571,0,-0.0476190476190476,-0.145168714103936,-0.0447204968944099,-0.04502200220022,-0.0142857142857143,-0.0461697722567288,-0.110060528060528,-0.369342626054035,0,0.058700717209934,0.0535381933093604,0.0490683229813665,0.0142857142857143,-0.451694915254237,0,-0.435028248587571,-0.435028248587571,-0.458685702640822,0.0380075187969925,-0.0396811594202899,0.218055555555556,0.2,0.434965034965035,0.427272727272727,-0.146929824561403,0.222906694004118,0.202702702702703,0.2,0.0718201754385965,0.216656191074796,0.206451612903226,0.201556508008121,0.224715909090909,-0.0642857142857143,-0.0742857142857143,-0.0896703296703297,-0.0694298859708873,-0.106203007518797,-0.0976315789473684
"MEK",0.156796584382791,0.159626817914559,0.23977454414048,0.0233766233766234,0.0142857142857143,-0.1,-0.232531661363778,0.0142857142857143,0,0.227190022010271,0.22,0.127190022010271,0.216551724137931,-0.295836097628216,0.237973137973138,0,-0.0338461538461538,-0.133284551751631,-0.0301619433198381,-0.0318837825166939,-0.0263157894736842,-0.0322598454177402,-0.107899627440517,-0.324929955070682,0,0.0403517322476729,0.0360766393108699,0.0359440559440559,0.03,-0.242735042735043,0,-0.237973137973138,-0.237973137973138,-0.336945262477177,0.0314455603379563,-0.133700090758914,0.107174603174603,0.1,0.23034188034188,0.211111111111111,-0.0222001527883881,0.119834952266971,0.115475409836066,0.104,-0.038578062804069,0.116129004607307,0.10671208327508,0.104129057444821,0.127835849787069,-0.14,-0.14952380952381,-0.152327547841567,-0.065664882806397,-0.100267951082872,-0.0906264945002391
"SMO",0.03,0.0685585585585586,-0.108986175115207,0.0357142857142857,0.1,-0.1,0.0522727272727273,0.05,0,-0.0384615384615385,0.1,-0.0536130536130536,0,-0.222018609742748,-0.0759615384615385,0.1,0.0375,-0.0313070771484414,0.146666666666667,0.301224063293029,0.1,0.152222222222222,-0.139797473640255,0.392318843946751,0.1,-0.167289015418806,-0.159018338727077,-0.0430555555555556,0,0.0922406082289803,0,0.0759615384615385,0.0759615384615385,0.325480991500409,-0.0800847457627119,-0.037636165577342,-0.171929824561404,0.133333333333333,-0.0272727272727273,0,-0.00771428571428571,-0.11994708994709,0.0258333333333333,0.0133333333333333,0.0742857142857143,0.00361111111111111,0.00666666666666667,-0.00126984126984127,0.00293040293040293,-0.133333333333333,-0.0933333333333334,-0.0766666666666667,-0.0647980711271851,-0.0964689265536723,-0.1
"RAF",0.148688476274683,0.152327547841567,0.233364287730223,0.0142857142857143,0,-0.1,-0.23034188034188,0.0142857142857143,0,0.216551724137931,0.17,0.227190022010271,0.22,-0.298025878650114,0.228571428571429,0,-0.03,-0.134741746651448,-0.0263157894736842,-0.0273792780121894,0,-0.0301619433198381,-0.11082645670881,-0.316770959254782,0,0.0360766393108699,0.0322598454177402,0.0338461538461538,0,-0.237973137973138,0,-0.228571428571429,-0.228571428571429,-0.326871552403467,0.0258900047824008,-0.128205585264409,0.107174603174603,0.1,0.211111111111111,0.211111111111111,-0.0233766233766234,0.119015280135823,0.104,0.1,-0.0254201680672269,0.115475409836066,0.107702182284981,0.10671208327508,0.127835849787069,-0.133333333333333,-0.14,-0.14952380952381,-0.0566865546330224,-0.0907441415590627,-0.0847441415590627
