"","TGF","cfos","ERK","EGR1","HEY1","Patched","SHH","SMAD","SMO","ILK","TWIST1","IKK","SRC","TCFLEF","cateninnuc","TrCP","STAT","LIV1","Frizzled","GLI","Wnt","DSH","Csl","NOTCHic","RAS","PI3K","DELTA","FOXC2","SNAI2","GSK3","RAF","RKIP","Jagged","NOTCH","Destcompl","Csn","SNAI1","cMet","CD44","NFB","AKT","SUFU","AXIN2","FUS","MEK","PAK1","CDC42","TGFR","cateninmemb","SOSGRB2","Ecadherin","miR200","ZEB2","ZEB1","KLF4"
"DELTA",0.223111111111111,0.2,0.22,0.1,0.166666666666667,0.0583333333333333,0.066025641025641,0.0714285714285714,0.0333333333333333,0.0666666666666667,0.129,0.0333333333333333,0,0.0153379953379953,0.0164368964368964,0,0,0,0,0.0123076923076923,0.02,0,0.1,0.12,-0.0624242424242424,-0.0533333333333333,-0.0533333333333333,-0.0142857142857143,0.158019105077929,-0.0409961685823755,0.0533333333333333,-0.107692307692308,-0.0338528138528138,-0.12,-0.0156911196911197,0,-0.15,-0.02,-0.0123076923076923,0,-0.0666666666666667,0,-0.0142857142857143,0,-0.22,-0.2,-0.2,-0.211111111111111,-0.0404591183464423,-0.22,-0.0645964912280702,0.0521212121212121,-0.092512077294686,-0.092512077294686,-0.105555555555556
"CD44",0.13,0.1,0.1,0.1,-0.0274853801169591,-0.03,-0.03,-0.0409297052154195,-0.05,-0.0388888888888889,0.113699633699634,-0.233333333333333,0,0.0736434108527132,0.0751818723911747,-0.1,-0.1,-0.1,0.1,0.0666666666666667,0.1,0,0.1,0.0857142857142857,0.0152380952380952,0.0238095238095238,0.0238095238095238,-0.0729166666666667,-0.150866910866911,-0.0922619047619048,-0.0238095238095238,-0.185925925925926,0.0571561771561772,-0.0804511278195489,0.0175488377169049,0.2,-0.121185539606592,0,-0.0666666666666667,0.3,0.213333333333333,0.1,-0.1,0.1,-0.11,-0.0666666666666667,-0.0466666666666667,-0.0966666666666667,-0.122893772893773,0.0666666666666667,-0.107599609162957,0.0760386473429952,-0.0888888888888889,-0.0888888888888889,-0.16031746031746
"PI3K",0.29781731229077,0.0476190476190476,0.065266106442577,0.0333333333333333,0.0501933878182491,0.0333333333333333,0.0361111111111111,0.0636565026010404,0.0333333333333333,0.0612565026010404,0.111577232461053,0.0392156862745098,-0.0111111111111111,-0.0030257795917339,-0.00240722289070297,0,0,-0.1,-0.0111111111111111,0.000929022668153104,-0.00676328502415459,0,-0.1,-0.0846153846153846,-0.156211587499259,-0.153471861471861,-0.153471861471861,-0.0850638792102207,0.135132949359224,-0.0882034632034632,0.153471861471861,-0.189447317388494,-0.0256140350877193,0.0878411910669975,-0.0178044303598883,-0.0333333333333333,-0.189641706924316,0.00676328502415459,-0.000929022668153104,-0.0333333333333333,-0.0469079939668175,0,0.0578095238095238,0,-0.0603480736556918,-0.3,-0.305882352941176,-0.301882352941176,-0.0562617560071248,-0.178076923076923,-0.145826569295532,0.0598202897383225,-0.0862305857149812,-0.0862305857149812,-0.0723684210526316
"AKT",0.297515197487145,0.065266106442577,0.0603480736556918,0.0476190476190476,0.0524490269159934,0.0361111111111111,0.0403216374269006,0.0639932029377408,0.0333333333333333,0.0636565026010404,0.110048180473285,0.0469079939668175,-0.00676328502415459,-0.00240722289070297,-0.00271491519839528,0.0333333333333333,-0.0111111111111111,0,-0.00676328502415459,-0.00298159185698656,0.000929022668153104,-0.0111111111111111,-0.0846153846153846,-0.0878411910669975,-0.158862189908897,-0.156211587499259,-0.156211587499259,-0.0850638792102207,0.135836466947163,-0.08739701159056,0.156211587499259,-0.188826199376072,-0.028925293365865,0.0878411910669975,-0.0190451251489702,-0.0333333333333333,-0.190393586623564,-0.000929022668153104,0.0030257795917339,-0.0392156862745098,-0.143877690936514,0,0.0581705346398487,-0.0333333333333333,-0.0616138964405019,-0.305882352941176,-0.301882352941176,-0.29781731229077,-0.0561598192079403,-0.180299145299145,-0.146887175356138,0.0501946212891247,-0.0786963391396388,-0.0786963391396388,-0.0868983355825461
"cMet",0.136382978723404,0.1,0.11,0.1,-0.0255245958032336,-0.03,-0.039375,-0.0336569779426922,-0.03,-0.0409297052154195,0.117070420216488,-0.213333333333333,0,0.0751818723911747,0.0774417593968244,-0.2,0,-0.1,0.1,0.0757575757575758,0.0666666666666667,0.1,0.0857142857142857,0.0804511278195489,0.0171248876909254,0.0152380952380952,0.0152380952380952,-0.066587552742616,-0.146487348823115,-0.0874231950844854,-0.0152380952380952,-0.182222222222222,0.0615040032431337,-0.0783234682450808,0.0175488377169049,0.3,-0.127965200623541,-0.0666666666666667,-0.0736434108527132,0.233333333333333,0.194583333333333,0.1,-0.0984126984126984,0.05,-0.111818181818182,-0.0466666666666667,-0.0966666666666667,-0.13,-0.126808363641104,0.04,-0.113452026465756,0.0557261473429952,-0.0757575757575758,-0.0757575757575758,-0.188888888888889
"TWIST1",0.131362847904066,0.0797101449275362,0.0797101449275362,0.0666666666666667,0.146886446886447,0.0640365296803653,0.06255869716805,0.14005157272484,0.0626666666666667,0.13972153972154,-0.0468782917438524,0.157692307692308,-0.0420634920634921,-0.0443239954173657,-0.0444965083558361,0.2,-0.0476190476190476,-0.0333333333333333,-0.0420634920634921,-0.0460213868003342,-0.0452213868003342,-0.0476190476190476,0.0511111111111111,0.0511111111111111,-0.050491250757252,-0.0511761822641013,-0.0511761822641013,0.0426951705458832,0.317332183776662,0.0625961669317503,0.0511761822641013,-0.0613198721894374,-0.0504564274954744,-0.0511111111111111,0.0610780918796605,-0.15,-0.0745159302420925,0.0441911516379602,0.0453959709150686,-0.157692307692308,-0.157692307692308,-0.0333333333333333,0.0774110835401158,-0.0666666666666667,-0.0812026822409691,-0.133333333333333,-0.129885057471264,-0.131135057471264,0.0783527740676954,-0.136812767705216,0.0510148265973509,0.0562837578171401,-0.0695713257116766,-0.0695713257116766,-0.0793308317698562
"SMO",0.253333333333333,0.12,0.143076923076923,0.1,0.084981684981685,-0.0941666666666667,-0.0886111111111111,0.0880952380952381,-0.106666666666667,0.0833333333333333,0.0712962962962963,0.114285714285714,0,0.000140237324703344,0.000892117023951465,0,0,-0.1,-0.1,-0.0930555555555556,-0.0875,-0.1,0,0.00909090909090909,-0.00786001788908766,0.00144230769230769,0.00144230769230769,-0.0868965517241379,0.181860974274767,-0.0114833386678047,-0.00144230769230769,-0.111269841269841,-0.101560846560847,-0.0140909090909091,0.00760046155394993,-0.1,-0.143010752688172,-0.00666666666666667,-0.00111111111111111,-0.1,-0.118285714285714,0.1,0.143290043290043,0.0666666666666667,-0.146107226107226,-0.233333333333333,-0.253333333333333,-0.253333333333333,-0.00301075268817204,-0.199122807017544,-0.113466773745407,0.0299879445449066,-0.0584745762711864,-0.0584745762711864,-0.0611111111111111
"SHH",0.253333333333333,0.1,0.1,0,0.0666666666666667,-0.0666666666666667,-0.106666666666667,0.0833333333333333,-0.1,0.0666666666666667,0.075,0.1,-0.1,0.00666666666666667,0.00111111111111111,0,-0.1,0,-0.2,-0.1,-0.1,-0.2,0.1,0,0.00769230769230769,0,0,-0.1,0.172337164750958,-0.00769230769230769,0,-0.12,-0.0942857142857143,0,0.00805194805194805,0,-0.133333333333333,0,0,0,-0.1,0,0.152380952380952,0,-0.12,-0.2,-0.233333333333333,-0.233333333333333,-0.00301075268817204,-0.15,-0.111388888888889,0.0333333333333333,-0.05,-0.05,-0.05
"Patched",0.253333333333333,0.1,0.12,0.1,0.0897435897435897,-0.106666666666667,-0.0941666666666667,0.0833333333333333,-0.0666666666666667,0.0833333333333333,0.0712962962962963,0.1,0,0.00111111111111111,0.000140237324703344,0,-0.1,-0.1,-0.1,-0.0875,-0.1,-0.2,0,0,0.00144230769230769,0.00769230769230769,0.00769230769230769,-0.08,0.179003831417625,-0.0124542124542125,-0.00769230769230769,-0.105714285714286,-0.097989417989418,-0.00909090909090909,0.00915084915084915,0,-0.143010752688172,0,-0.00666666666666667,-0.1,-0.114285714285714,0,0.143290043290043,0.1,-0.143076923076923,-0.233333333333333,-0.233333333333333,-0.253333333333333,-0.00301075268817204,-0.183333333333333,-0.112359762675297,0.0261904761904762,-0.05,-0.05,-0.0611111111111111
"Ecadherin",-0.0022443942802078,-0.0709090909090909,-0.0678163074039363,-0.0709090909090909,0.00142205997713301,0.0218413978494624,0.0210539962746592,-0.00387381127838018,0.0229166666666667,-0.00411594202898551,0.00548883290125486,0.00571428571428572,0.0106703146374829,0.010430494897961,0.0108039776243849,0,0.0176470588235294,0,0.0106703146374829,0.0113369813041496,0.0106703146374829,0.0176470588235294,0.0290909090909091,0.0301218369259606,-0.00651295111942499,-0.00567496229260935,-0.00567496229260935,-0.0591201475285749,0.0718671587207588,0.0310803033542796,0.00567496229260935,-0.0121728636977433,0.00892118534034418,-0.0297500897140647,0.0292363667122098,-0.02,-0.00531924849888744,-0.0098007494200916,-0.0108040939016969,-0.00571428571428572,-0.00961038961038961,-0.0333333333333333,0.0842255859024713,-0.0166666666666667,0.0713457191686422,0.00290909090909091,0.00157575757575757,0.00206356245380636,0.188858856816174,0.0660956636875207,0.0919345443074724,0.00108437186649477,-0.00610797274759243,-0.00610797274759243,-0.00712611345522738
"NFB",0.10493164556962,0.0397142857142857,0.0419365079365079,0.0357142857142857,0.118100398053958,0.107662835249042,0.107662835249042,0.110492759313106,0.111111111111111,0.11012101210121,0.0396125116713352,0.00572715572715573,-0.0465811965811966,-0.0467376502969723,-0.0461886306891292,-0.1,-0.0388888888888889,-0.05,-0.0465811965811966,-0.047289926053971,-0.045042735042735,-0.0388888888888889,0.177489177489178,0.182251082251082,0.0869791275213107,0.0884716648347435,0.0884716648347435,0.0787871889067108,0.301420343910664,0.173539107950873,-0.0884716648347435,0.00790248003362757,-0.0771127390496225,-0.180315598380115,0.0870869117670339,0.0857142857142857,-0.00877324255134566,0.045042735042735,0.0467376502969723,0.00238095238095238,-0.00794937794937795,-0.08,0.0654711246200608,-0.1,-0.0425901027077498,-0.1,-0.1,-0.1024,0.098575202688486,-0.138233082706767,0.0825595030089537,0.00244480594933767,-0.00391570881226054,-0.00391570881226054,-0.00256410256410256
"KLF4",-0.00206356245380636,-0.0709090909090909,-0.0709090909090909,-0.08,0.00209320091673033,0.0229166666666667,0.0218413978494624,-0.00411594202898551,0.0166666666666667,-0.00266666666666667,0.00455773420479303,0.00571428571428572,0.0176470588235294,0.0108040939016969,0.010430494897961,0.1,0,0.0333333333333333,0.0176470588235294,0.0106703146374829,0.0106703146374829,0,0.0290909090909091,0.0290909090909091,-0.00567496229260935,-0.00641025641025641,-0.00641025641025641,-0.0575183168649593,0.0719273634167251,0.0310803033542796,0.00641025641025641,-0.0110492681921253,0.00777702058061878,-0.0301218369259606,0.0292363667122098,0,-0.00500279280268491,-0.0106703146374829,-0.0098007494200916,-0.02,-0.00571428571428572,0,0.0844317714694816,-0.0333333333333333,0.0678163074039363,-0.00909090909090909,0.00290909090909091,0.00157575757575757,0.189115267072584,0.0647798742138365,0.191252947423344,-0.00692307692307692,0.00100103199174406,0.00100103199174406,-0.0185185185185185
"HEY1",-0.00206356245380636,-0.0709090909090909,-0.0709090909090909,-0.08,0.00209320091673033,0.0229166666666667,0.0218413978494624,-0.00411594202898551,0.0166666666666667,-0.00266666666666667,0.00455773420479303,0.00571428571428572,0.0176470588235294,0.0108040939016969,0.010430494897961,0.1,0,0.0333333333333333,0.0176470588235294,0.0106703146374829,0.0106703146374829,0,0.0290909090909091,0.0290909090909091,-0.00567496229260935,-0.00641025641025641,-0.00641025641025641,-0.0575183168649593,0.0719273634167251,0.0310803033542796,0.00641025641025641,-0.0110492681921253,0.00777702058061878,-0.0301218369259606,0.0292363667122098,0,-0.00500279280268491,-0.0106703146374829,-0.0098007494200916,-0.02,-0.00571428571428572,0,0.0844317714694816,-0.0333333333333333,0.0678163074039363,-0.00909090909090909,0.00290909090909091,0.00157575757575757,0.189115267072584,0.0647798742138365,0.191252947423344,-0.00692307692307692,0.00100103199174406,0.00100103199174406,-0.0185185185185185
"FOXC2",-0.00206356245380636,-0.0709090909090909,-0.0709090909090909,-0.08,0.00209320091673033,0.0229166666666667,0.0218413978494624,-0.00411594202898551,0.0166666666666667,-0.00266666666666667,0.00455773420479303,0.00571428571428572,0.0176470588235294,0.0108040939016969,0.010430494897961,0.1,0,0.0333333333333333,0.0176470588235294,0.0106703146374829,0.0106703146374829,0,0.0290909090909091,0.0290909090909091,-0.00567496229260935,-0.00641025641025641,-0.00641025641025641,-0.0575183168649593,0.0719273634167251,0.0310803033542796,0.00641025641025641,-0.0110492681921253,0.00777702058061878,-0.0301218369259606,0.0292363667122098,0,-0.00500279280268491,-0.0106703146374829,-0.0098007494200916,-0.02,-0.00571428571428572,0,0.0844317714694816,-0.0333333333333333,0.0678163074039363,-0.00909090909090909,0.00290909090909091,0.00157575757575757,0.189115267072584,0.0647798742138365,0.191252947423344,-0.00692307692307692,0.00100103199174406,0.00100103199174406,-0.0185185185185185
"SNAI2",0.000355370687851506,0.0941176470588235,0.092156862745098,0.1,-0.00721820373719108,0.0838415366146459,0.0838415366146459,0.00383192295720094,0.0858823529411765,0.00335345405767941,0.0892821031344793,-0.0563218390804598,0.081948051948052,0.0842255859024713,0.0843808654055769,-0.1,0.0890909090909091,0.08,0.081948051948052,0.0838912620105661,0.0833565026522773,0.0890909090909091,-0.0719298245614035,-0.0736842105263158,0.0516022012312926,0.0516022012312926,0.0516022012312926,0.0924981480385092,0.229528332254225,-0.0864277367934565,-0.0516022012312926,0.00867948717948718,0.0843758713248299,0.0749829118250171,-0.0848563861860857,0.0666666666666667,0.00209218698921216,-0.0833565026522773,-0.0844317714694816,0.0666666666666667,0.0527073812491345,-0.1,-0.137126726390444,-0.08,-0.0894541600423953,0.00588235294117647,0.00112044817927171,0.000265747324570854,-0.276733231031234,-0.0988505747126437,-0.379058613788909,0.00149903746470248,0.00122550870568492,0.00122550870568492,0.0171153846153846
"Csn",-0.0874978421642476,0.0309090909090909,0.0322077922077922,0.04,0.00890088593576966,0.010180142438207,0.010180142438207,0.00329708814340534,0.0112554112554113,0.00252587991718427,0.00876110331930809,-0.1075,0.0632183908045977,0.0633469048608226,0.0637678308981046,-0.22,0.0666666666666667,0.0666666666666667,0.0632183908045977,0.0633236151956116,0.0620135715274893,0.0666666666666667,0.109090909090909,0.105194805194805,0.17437192407701,0.173412231178738,0.173412231178738,0.0836535011472848,-0.0225212561929445,0.0779888335262716,-0.173412231178738,0.0923421406180027,0.00502304779136756,-0.104233266733267,0.0180403193484039,0.12,0.0700106881129335,-0.0620135715274893,-0.0633469048608226,0.111666666666667,0.1051,-0.0142857142857143,-0.096498563896758,-0.0142857142857143,-0.0311661255411255,0.1,0.0925373134328358,0.088691159586682,-0.0148331300209171,-0.0170690649141012,0.0108712256635631,-0.00480072002140685,0.00134160463192721,0.00134160463192721,0.00828844358256123
"IKK",-0.1024,-0.0357142857142857,-0.0397142857142857,-0.05,-0.121671826625387,-0.111111111111111,-0.107662835249042,-0.11012101210121,-0.1,-0.111111111111111,-0.0386601307189543,0.00238095238095238,0.0388888888888889,0.0467376502969723,0.0467376502969723,0.2,0.05,0.1,0.0388888888888889,0.045042735042735,0.0465811965811966,0.05,-0.172727272727273,-0.177489177489178,-0.0884716648347435,-0.0912885662431942,-0.0912885662431942,-0.0807792207792208,-0.300607335780583,-0.172362637362637,0.0912885662431942,-0.0117486338797814,0.0763933145891909,0.182251082251082,-0.0875852506374658,-0.1,0.00904721515408538,-0.0465811965811966,-0.045042735042735,-0.0857142857142857,0.00572715572715573,0.1,-0.0647619047619048,0.08,0.0419365079365079,0.1,0.1,0.1,-0.0988919925512104,0.139285714285714,-0.083522584870912,-0.00153846153846154,0.002,0.002,0.00256410256410256
"cateninmemb",0.0022443942802078,0.0709090909090909,0.0678163074039363,0.0709090909090909,-0.00142205997713301,-0.0218413978494624,-0.0210539962746592,0.00387381127838018,-0.0229166666666667,0.00411594202898551,-0.00548883290125486,-0.00571428571428572,-0.0106703146374829,-0.010430494897961,-0.0108039776243849,0,-0.0176470588235294,0,-0.0106703146374829,-0.0113369813041496,-0.0106703146374829,-0.0176470588235294,-0.0290909090909091,-0.0301218369259606,0.00651295111942499,0.00567496229260935,0.00567496229260935,0.0591201475285749,-0.0718671587207588,-0.0310803033542796,-0.00567496229260935,0.0121728636977433,-0.00892118534034418,0.0297500897140647,-0.0292363667122098,0.02,0.00531924849888744,0.0098007494200916,0.0108040939016969,0.00571428571428572,0.00961038961038961,0.0333333333333333,-0.0842255859024713,0.0166666666666667,-0.0713457191686422,-0.00290909090909091,-0.00157575757575757,-0.00206356245380636,0.138311732002112,-0.0660956636875207,0.182295668611192,-0.00108437186649477,0.00610797274759243,0.00610797274759243,0.00712611345522738
"cateninnuc",0.00413803142097074,0.0575569358178054,0.0613544041722358,0.0623188405797102,0.00358662613981763,0.0113351208860831,0.0111172559623358,0.00820832767353913,0.00947176684881603,0.00861760461760462,0.06237469470888,0.0489242424242424,0.0297979797979798,0.0283376102814685,-0.0713586062333065,0.0333333333333333,0.0242424242424242,0.0242424242424242,0.0283520132835201,0.027660313678777,0.027265056761781,0.0242424242424242,-0.00539861895794099,-0.00539861895794099,-0.0515462815462816,-0.0518829818829819,-0.0518829818829819,0.0613296648706485,-0.134599398041182,-0.0217078843739299,0.0518829818829819,0.0744319460522934,0.0284030709088789,0.00448952804885008,-0.0183562253857766,-0.0458333333333333,0.0626299400486814,-0.0287110232762407,-0.0287110232762407,-0.0549242424242424,-0.0481429924242424,-0.0111111111111111,-0.161526409144096,-0.0111111111111111,-0.0627305509612266,-0.004,-0.004,-0.00457471264367816,-0.0272607209508646,-0.0781616530490541,0.100258353147839,0.00513870075640875,0.0109673145438806,0.0109673145438806,0.0232883170605591
