"","HEY1","Patched","SMO","NFB","RKIP","Csn","NOTCHic","Csl","TrCP","cateninmemb","AXIN2","TCFLEF","CD44","Wnt","cMet","Frizzled","SRC","TWIST1","MEK","Destcompl","RAS","RAF","PI3K","cfos","GSK3","EGR1","SNAI2","DELTA","ERK","LIV1","STAT","DSH","GLI","cateninnuc","Ecadherin","SOSGRB2","NOTCH","Jagged","PAK1","SUFU","CDC42","SNAI1","TGFR","FOXC2","IKK","TGF","FUS","AKT","SHH","ILK","ZEB2","ZEB1","miR200","SMAD","KLF4"
"ILK",0.304298254464736,0.264102564102564,0.233333333333333,0.0666666666666667,0.114511958629606,0.0333333333333333,0.00769230769230769,0,0,0.182058592459112,0.188,0.162767668751457,0.149773318468971,0.132850241545894,0.132850241545894,0.111111111111111,0.111111111111111,-0.0338514973582686,0.0482022317123571,0.0343682867392509,0.0355457510526004,0.02595670995671,0.02595670995671,-0.0142857142857143,-0.00860990860990861,0,-0.120644352362178,-0.02595670995671,-0.026890756302521,-0.1,-0.1,-0.1,-0.149773318468971,-0.1716336481329,-0.209573074865688,-0.0523076923076923,-0.00769230769230769,-0.119385964912281,-0.025,-0.1,-0.0661764705882353,-0.162657004830918,-0.0901764705882353,-0.0957816492450639,-0.096078431372549,-0.100745576279292,-0.2,-0.119155354449472,-0.29465811965812,-0.315870348139256,-0.398083808039989,-0.398083808039989,-0.399501215074986,-0.350270348139256,-0.372368421052632
"TCFLEF",0.221950455165414,0.335806451612903,0.31,-0.0931948051948052,0.198241263718602,-0.105194805194805,0.0308464849354376,0.0347680535628886,-0.114285714285714,0.384725279859321,0.709632722832723,0.281348759844189,0.367030317690695,0.352574157868275,0.348162393162393,0.326078431372549,0.321666666666667,-0.11908116869204,-0.0220225651236104,-0.0556667160878006,0.262601330154908,0.256162433965683,0.256162433965683,-0.0406620209059233,0.02653374480901,0.0528571428571429,-0.423302734565347,-0.256162433965683,0.0206620209059233,-0.266666666666667,-0.291666666666667,-0.296078431372549,-0.371828816253369,-0.292603055376835,-0.400463913207473,0.0674644557039767,-0.0331720663307864,0.126277774751988,-0.141025641025641,-0.216666666666667,-0.161955873583781,-0.148304684622676,-0.174105406294061,-0.0469164241847715,0.0770657729367407,-0.180727922850352,-0.276666666666667,0.0759788164150016,-0.363413813576093,-0.24359474443685,-0.387788720538721,-0.387788720538721,-0.389613258227716,-0.265583272161515,-0.372210020371785
"SMO",0.246886446886447,0.16,0.16,0.15,0.108412698412698,0.1,0.0939393939393939,0.0666666666666667,0,-0.243240073772488,-0.340140319450664,-0.218176914778857,-0.205555555555556,-0.075,-0.183333333333333,-0.05,-0.15,0.174564270152505,0.0685314685314685,-0.0147452547452547,-0.116346153846154,-0.116346153846154,-0.116346153846154,0,0.0127671681069739,-0.1,0.391503010399562,0.116346153846154,-0.0230769230769231,0.1,0.1,0,0.0972222222222222,0.230206989966826,0.178472227198,-0.21140350877193,-0.0939393939393939,-0.282354497354497,-0.133333333333333,-0.1,-0.153333333333333,-0.137941628264209,-0.195,-0.198793103448276,-0.221428571428571,-0.200405405405405,-0.2,-0.257428571428571,-0.165555555555556,-0.246666666666667,-0.310310734463277,-0.310310734463277,-0.304852320675105,-0.273650793650794,-0.275
"Patched",0.223076923076923,0.16,0.2,0.1,0.102857142857143,0,0.0666666666666667,0,0,-0.227706093189964,-0.312554112554113,-0.205555555555556,-0.183333333333333,-0.05,-0.15,0,-0.1,0.165740740740741,0.0230769230769231,-0.0147452547452547,-0.116346153846154,-0.103846153846154,-0.103846153846154,0.1,0.00402930402930403,-0.1,0.367693486590038,0.103846153846154,0,0.1,0.1,0,0.075,0.218176914778857,0.160391046386192,-0.216666666666667,-0.0939393939393939,-0.257354497354497,-0.233333333333333,-0.2,-0.133333333333333,-0.140322580645161,-0.153333333333333,-0.185,-0.15,-0.195,-0.1,-0.221428571428571,-0.16,-0.216666666666667,-0.291666666666667,-0.291666666666667,-0.283333333333333,-0.246666666666667,-0.233333333333333
"cateninmemb",0.136138555483206,0.385483870967742,0.35,-0.134285714285714,0.206921427065889,-0.12,-0.145102352883145,-0.14200956937799,-0.1,0.54576202036828,0.493714141020098,0.469460362369388,0.448663351161418,0.423510542950139,0.422910842800214,0.392476060191518,0.392476060191518,-0.267694161463468,-0.0432114964073727,0.123597641940313,0.219720859981294,0.209106334841629,0.209106334841629,-0.0485561497326203,-0.128690256042981,0.0309090909090909,-0.508121508578949,-0.209106334841629,0.0475252218975688,-0.3,-0.352941176470588,-0.352941176470588,-0.449510542950139,-0.485986973013646,-0.553034679588084,0.144028918780657,0.146961088942625,0.358962480482247,-0.0812727272727273,-0.233333333333333,-0.0986060606060606,-0.23075270670411,-0.113728011825573,0.0357391236155801,0.134285714285714,-0.125120416888864,-0.3,0.132987012987013,-0.415405130810262,-0.17431884057971,-0.27799492807849,-0.27799492807849,-0.290621823862047,-0.196352738884795,-0.26615096108767
"FOXC2",0.111306340718105,0.35,0.3,-0.12,0.188569367140796,-0.1,-0.14200956937799,-0.147272727272727,-0.1,0.616788177946714,0.463817233803604,0.448663351161418,0.422910842800214,0.392476060191518,0.392476060191518,0.352941176470588,0.352941176470588,-0.261176470588235,-0.0475252218975688,0.12089493923761,0.209106334841629,0.198076923076923,0.198076923076923,-0.0309090909090909,-0.126261999972341,0.04,-0.487471297862513,-0.198076923076923,0.0485561497326203,-0.233333333333333,-0.3,-0.3,-0.423510542950139,-0.469460362369388,-0.631001466428909,0.137449971412236,0.145102352883145,0.350495661260279,-0.0772727272727273,-0.2,-0.0812727272727273,-0.215562833286389,-0.0986060606060606,0.0419176133180973,0.134285714285714,-0.113728011825573,-0.233333333333333,0.134285714285714,-0.385483870967742,-0.145333333333333,-0.254298245614035,-0.254298245614035,-0.266971916971917,-0.17431884057971,-0.237037037037037
"MEK",0.24590293175659,0.245530054644809,0.237333333333333,0.201785714285714,-0.0190255049388176,0.214285714285714,0.0628593628593629,0.0474747474747475,0.2,0.223300151965862,0.191622635293521,0.168609480783044,0.15817691080849,0.151025641025641,0.146288798920378,0.143333333333333,0.13859649122807,-0.0742051412639648,-0.0460858400586941,0.0609128607633918,0.0674619824619825,0.0582556332556333,0.0582556332556333,0.00827586206896552,0.0205142279610365,-0.06,-0.352323613736429,-0.0582556332556333,-0.0189141599413059,-0.1,-0.133333333333333,-0.133333333333333,-0.162913752913753,-0.175115056991223,-0.206572269047771,-0.123428571428571,-0.0548301657790709,-0.134263077047457,-0.0266666666666667,-0.133333333333333,-0.0457142857142857,0.0144589073378028,-0.0746862483311081,-0.0683645183645184,-0.229058441558442,-0.0827154454114001,-0.193333333333333,-0.2443525592055,-0.259255544840887,-0.254850510725013,-0.246838605360843,-0.246838605360843,-0.261667446792746,-0.274407706296969,-0.230750836920134
"RKIP",0.229539295392954,0.237333333333333,0.193333333333333,0.214285714285714,-0.0295518207282913,0.2,0.0474747474747475,0.0111111111111111,0.2,0.213056249526838,0.17991092358181,0.15817691080849,0.146288798920378,0.143333333333333,0.13859649122807,0.133333333333333,0.133333333333333,-0.0687106357694593,0.0189141599413059,0.0588208105541868,0.0582556332556333,0.0522727272727273,0.0522727272727273,0.06,0.0187943262411348,-0.16,-0.3484306696975,-0.0522727272727273,-0.00827586206896552,0,-0.1,-0.1,-0.151025641025641,-0.168609480783044,-0.201289937535932,-0.13231746031746,-0.0628593628593629,-0.134263077047457,-0.0333333333333333,-0.1,-0.0266666666666667,0.017664035542931,-0.0457142857142857,-0.0602564102564102,-0.201785714285714,-0.0746862483311081,-0.133333333333333,-0.229058441558442,-0.245530054644809,-0.238018827556697,-0.229378287900526,-0.229378287900526,-0.242781997876338,-0.254850510725013,-0.199378287900526
"SOSGRB2",0.212594696969697,0.12972972972973,0.1,0.0888888888888889,-0.0224780701754386,0.1,0.0657342657342657,0.0272727272727273,0.1,0.199500955500956,0.173006050605061,0.150484907921979,0.139958592132505,0.142857142857143,0.138509316770186,0.142857142857143,0.142857142857143,0.000608695652173924,-0.0732069732069732,-0.0329088510296564,0.0515283210198464,0.0489642184557439,0.0489642184557439,-0.0285714285714286,-0.0768780043394349,-0.0714285714285714,-0.229255985794774,-0.0489642184557439,0.0853281853281853,0,-0.1,-0.1,-0.144306418219462,-0.159471523600755,-0.181295722955833,-0.0230555555555556,-0.0784103220722939,-0.0338648321203752,-0.0785714285714286,0,-0.0585714285714286,-0.077137882018479,-0.0816483516483516,-0.0968620268620269,-0.083625730994152,-0.107889486400125,-0.0333333333333333,-0.100292397660819,-0.12972972972973,-0.12,-0.193583959899749,-0.193583959899749,-0.20659703827039,-0.126293706293706,-0.169298245614035
"Destcompl",0.137554240631164,0.00414156109707298,0.00362342638204707,0.137267080745342,-0.0141352964311975,0.128571428571429,0.012659616137877,0.00831179005092049,0.1,-0.0681528273525691,-0.147990400025064,-0.0555722853443156,-0.0524216004128088,-0.0495362745667913,-0.0490633914575849,-0.0445857795172864,-0.0445857795172864,0.034607635569094,0.0387867082077499,-0.0941910803758641,-0.10138130640178,-0.0990265183327066,-0.0990265183327066,0.0418648018648019,-0.00221812135390477,-0.0297435897435898,0.166144953410492,0.0990265183327066,-0.0413183537773702,0.0333333333333333,0.0404761904761905,0.0404761904761905,0.0523192059211512,0.0580200160939331,0.0880246980358263,-0.103012423558027,-0.0148640249555123,-0.0800860201642404,-0.0873469387755102,-0.0111111111111111,-0.0838986629134412,-0.0130112802305306,-0.0838986629134412,-0.109710759109596,-0.139969783448044,-0.0826178747361013,-0.000766283524904214,-0.141983206266836,-0.00510867908546756,-0.137619047619048,-0.119965346607345,-0.119965346607345,-0.141637207226967,-0.13937343358396,-0.114576244348411
"RAS",0.0555335968379447,-0.02,0,-0.166666666666667,0.108660377358491,-0.2,0.155263157894737,0.15,-0.1,0.00294384934982569,0.060368906455863,0.0433513045152595,0.0387359198998748,0.0323529411764706,0.0323529411764706,0.05,0.05,-0.0690234588106929,-0.0141124871001032,-0.0252926677345282,0.0667948717948718,0.145641025641026,0.145641025641026,-0.075,0.0542248062015504,0,0.177155922563402,-0.145641025641026,0.0592105263157895,0,-0.1,-0.1,-0.0365196078431373,-0.0425014461583189,0.0157093351174462,0.0961038961038961,-0.142055610724926,0.0723595505617978,0.02,0.1,-0.02,-0.0461061946902655,-0.0376470588235294,-0.0423809523809524,0.173333333333333,-0.0366569598136284,0,0.162222222222222,0.0386440677966102,0.0424242424242424,-0.0446833578792342,-0.0446833578792342,-0.0578461538461538,0.0363017934446506,-0.0457142857142857
"IKK",-0.10061919504644,-0.0414814814814815,-0.06,-0.314285714285714,0.036976320582878,-0.3,-0.0233766233766234,-0.00909090909090909,-0.2,0.390058079722884,0.288571428571429,0.285642474286542,0.262478632478632,0.236324786324786,0.236324786324786,0.205555555555556,0.205555555555556,-0.28218954248366,-0.0116190476190476,0.137469717083955,0.206885474979338,0.192800967937084,0.192800967937084,-0.0142857142857143,-0.0465018315018315,0,-0.497310561972125,-0.192800967937084,0.0182857142857143,-0.1,-0.15,-0.15,-0.262478632478632,-0.303363993273884,-0.416246497887599,0.156932773109244,0.0313131313131313,0.194040924711028,0.1,0.1,0.1,-0.0454339836019225,0.0909090909090909,0.147445887445887,0.230952380952381,0.0821090909090909,0.08,0.239060489060489,0.0276883780332056,0.1,-0.0225263157894737,-0.0225263157894737,-0.0210033444816054,0.0930693069306931,-0.0128205128205128
"TWIST1",0.128242379089837,-0.195579908675799,-0.161333333333333,0.273076923076923,-0.0331940158027115,0.25,0.183874643874644,0.165925925925926,0.2,-0.642494815477426,-0.498755223271352,-0.48781340461355,-0.459788902316459,-0.422522974101921,-0.424045930428909,-0.379365079365079,-0.379365079365079,0.307786858450474,-0.0184735362091146,-0.178016230117209,-0.255721259483747,-0.241337697839912,-0.241337697839912,-0.0104347826086957,0.195979157882726,-0.02,0.731261261633881,0.241337697839912,0.0209610983981693,0.266666666666667,0.323809523809524,0.323809523809524,0.458522974101921,0.509952565050582,0.733036452349517,-0.21476852666784,-0.19047841745955,-0.41074025192341,-0.106060606060606,0.1,-0.0888192267502612,0.0794740227128303,-0.0788192267502612,-0.229037494763301,-0.292124542124542,-0.0694798190053865,0.133333333333333,-0.307378779412678,0.227599613109297,-0.106688506688507,0.00192473174929314,0.00192473174929314,-0.0159529050064633,-0.0845762954673846,-0.00504481967896602
"Csn",-0.021281838316722,0.00121956896150445,0.000144300144300144,0.08,-0.0928050418883051,0.08,-0.10036075036075,-0.0964646464646465,0.18,0.0399954281477056,0.112341241737488,0.082367796202365,0.0804385357522042,0.078216313529982,0.078216313529982,0.0770114942528736,0.0770114942528736,-0.0782780115318685,-0.00749188311688312,0.00216334019537377,-0.00131441359147687,-0.00304186080836746,-0.00304186080836746,-0.00515151515151515,-0.0921617908046762,0.0233333333333333,-0.0581684544675397,0.00304186080836746,0.00645021645021645,-0.0666666666666667,-0.0666666666666667,-0.0666666666666667,-0.0803997196435191,-0.0832697805679693,-0.0212907897864057,0.0846258503401361,0.10036075036075,0.0247059477792268,0.0909090909090909,-0.0142857142857143,0.0924016282225237,0.0799331368620551,0.093683679504575,0.104251430293701,-0.0758333333333333,0.0934450160200881,-0.00317460317460317,-0.0718333333333333,-0.000399896830356904,0.0164169254658385,0.0250967741935484,0.0250967741935484,0.0292496992983519,0.0166739948745789,0.0235480859010271
"NFB",0.0952620521892968,0.0276883780332056,0.0414814814814815,0.230952380952381,-0.0446686282751857,0.314285714285714,0.0313131313131313,0.0233766233766234,0.3,-0.409382261349072,-0.314812563323202,-0.303363993273884,-0.285642474286542,-0.262478632478632,-0.262478632478632,-0.236324786324786,-0.236324786324786,0.29203081232493,0.00573669467787115,-0.139629185522494,-0.218328261048989,-0.206885474979338,-0.206885474979338,0.0182857142857143,0.0508155569920276,-0.0142857142857143,0.515603244898954,0.206885474979338,-0.0116190476190476,0.15,0.205555555555556,0.205555555555556,0.284950542590992,0.316775757979766,0.433421457759188,-0.162195931003981,-0.0384099055066797,-0.206271140538366,-0.1,-0.08,-0.0909090909090909,0.053927134286854,-0.0821090909090909,-0.147047481071385,-0.239060489060489,-0.0764128883774453,-0.06,-0.245727155727156,-0.0132305467079044,-0.0930693069306931,0.0328711433756806,0.0328711433756806,0.0315773626084936,-0.0830321322095035,0.0262820512820513
"CD44",0.0713450292397661,0,0,0.1,-0.153333333333333,0,0,0.1,-0.1,0.197619047619048,0.2,0.185658914728682,0.183333333333333,0.15,0.25,0.1,0.2,-0.132234432234432,-0.09,-0.0527447342573393,0.0714285714285714,0.0571428571428571,0.0571428571428571,-0.1,-0.0821428571428571,0.2,-0.251845931845932,-0.0571428571428571,0.02,-0.1,-0.1,0,-0.183333333333333,-0.187197376267144,-0.166241450439692,0.128571428571429,-0.0157894736842105,0.0321678321678322,0.0666666666666667,-0.1,0.00666666666666668,0.0582934609250399,0.0691666666666667,0.1175,-0.0666666666666667,0.0969444444444445,-0.1,-0.02,-0.0181818181818182,0,0.104761904761905,0.104761904761905,0.120737812911726,0.00204081632653061,-0.0142857142857143
"cMet",0.0654626762985896,0.0181818181818182,0,0.0666666666666667,-0.157037037037037,0.1,0.0157894736842105,0,0,0.207939332316557,0.214285714285714,0.187197376267144,0.185658914728682,0.183333333333333,0.183333333333333,0.15,0.25,-0.124369263695106,-0.139090909090909,-0.057474463987069,0.0525606469002695,0.0714285714285714,0.0714285714285714,-0.02,-0.0918202764976958,0.1,-0.266444471991917,-0.0714285714285714,0.09,-0.1,-0.2,-0.1,-0.187878787878788,-0.19567195253833,-0.17412949115216,0.141904761904762,-0.026427771556551,0.0343417452113104,0.00666666666666668,-0.1,0.0691666666666667,0.041344308382667,0.0969444444444445,0.11623417721519,-0.02,0.0905614657210402,0,-0.00125000000000001,-0.0244318181818182,0.00204081632653061,0.111832611832612,0.111832611832612,0.128550312911726,0.018404452690167,0.00476190476190476
"AXIN2",-0.168172823649497,0.0251373626373626,0.0269230769230769,-0.166183574879227,-0.0871378352829966,-0.144444444444444,-0.012312030075188,-0.0105263157894737,-0.133333333333333,0.164963640802239,0.521474518992705,0.147990400025064,0.143887234726119,0.138524458700882,0.138524458700882,0.131627906976744,0.131627906976744,-0.125279208058113,-0.100275526699837,-0.0963797389985029,0.154072319124563,0.152759983166558,0.152759983166558,-0.0891056910569106,0.090686117467582,0.0866666666666667,-0.210781918924257,-0.152759983166558,0.0975169060101816,-0.1,-0.12,-0.12,-0.144184836059373,-0.151492345550355,-0.0984779764974265,0.136864295125165,0.0156904084535663,0.177343003647351,0.109583333333333,-0.05,0.118225308641975,0.100523259538222,0.119110264394188,0.158709775782375,0.179227053140097,0.119440297397488,-0.0269230769230769,0.185893719806763,-0.0241537560799856,0.169933287324592,0.16621312214053,0.16621312214053,0.182268095682649,0.175092017483322,0.158602013459117
"RAF",-0.229539295392954,-0.237333333333333,-0.193333333333333,-0.214285714285714,0.0295518207282913,-0.2,-0.0474747474747475,-0.0111111111111111,-0.2,-0.213056249526838,-0.17991092358181,-0.15817691080849,-0.146288798920378,-0.143333333333333,-0.13859649122807,-0.133333333333333,-0.133333333333333,0.0687106357694593,-0.0189141599413059,-0.0588208105541868,-0.0582556332556333,-0.0522727272727273,-0.0522727272727273,-0.06,-0.0187943262411348,0.16,0.3484306696975,0.0522727272727273,0.00827586206896552,0,0.1,0.1,0.151025641025641,0.168609480783044,0.201289937535932,0.13231746031746,0.0628593628593629,0.134263077047457,0.0333333333333333,0.1,0.0266666666666667,-0.017664035542931,0.0457142857142857,0.0602564102564102,0.201785714285714,0.0746862483311081,0.133333333333333,0.229058441558442,0.245530054644809,0.238018827556697,0.229378287900526,0.229378287900526,0.242781997876338,0.254850510725013,0.199378287900526
"SHH",-0.2,-0.2,-0.1,0,-0.06,0,0,-0.1,0,0.211039426523297,0.276190476190476,0.183333333333333,0.15,0,0.1,0,0.1,-0.125,0,0.0158441558441558,0.103846153846154,0.05,0.05,-0.1,0.0102564102564103,0,-0.339693486590038,-0.05,0.1,0,-0.1,0,-0.05,-0.205555555555556,-0.141944444444444,0.25,0.0666666666666667,0.231428571428571,0.2,0.2,0.233333333333333,0.15,0.133333333333333,0.125,0.1,0.153333333333333,0.2,0.15,0.16,0.2,0.25,0.25,0.233333333333333,0.216666666666667,0.2
