"","NOTCH","NOTCHic","Jagged","Csl","HEY1","AXIN2","Csn","ILK","ZEB1","TrCP","SUFU","GLI","Wnt","Destcompl","cateninnuc","TCFLEF","SMO","NFB","FUS","IKK","Patched","AKT","SHH","DSH","ERK","miR200","DELTA","SNAI2","SOSGRB2","ZEB2","PAK1","GSK3","CDC42","TGF","TGFR","EGR1","RAF","PI3K","RAS","cfos","RKIP","MEK","KLF4","cateninmemb","STAT","LIV1","SNAI1","cMet","SRC","CD44","Frizzled","SMAD","TWIST1","Ecadherin","FOXC2"
"TWIST1",0.0739343116701607,0.0814814814814815,0.0401746275901948,0.0814814814814815,0.191984851306885,0.0380881484107291,0.05,0.173427973427973,0.101043148411569,0,0.1,0.0233059314954052,0.00570593149540518,0.0385135874096759,0.0189184540981288,0.011845423620843,0.116888888888889,0.0576923076923077,0.0888888888888889,0.0767399267399267,0.101820395738204,0.0716551809772149,0.111180001649534,-0.00476190476190477,-0.0193363844393593,0.078712224434895,0.0370299550754959,0.275014091482685,0.0620919634649612,-0.0662328995662329,0.0793939393939394,-0.0386738162726591,0.11042842215256,0.106473410763038,0.0966784221525601,0,-0.0370299550754959,-0.0370299550754959,-0.0411395441165918,-0.00434782608695652,-0.10266138092225,0.0138637476234389,-0.0658640817177402,-0.0253062153047536,0.00476190476190477,-0.0666666666666667,-0.0810376693725273,-0.00433975008443093,-0.0341269841269841,-0.0224120392410574,-0.0341269841269841,-0.182998930523683,-0.0577340089353819,0.0626058951130934,0.0337577089077464
"TGF",0.314137931034483,0.29,0.211788168875798,0.3,0.223404255319149,0.134479717813051,0.1,0.185454545454545,0.101892610313663,0,0.2,0.114959568733154,0.135714285714286,0.0631463840544093,0.107754054948693,0.113017212843429,0.13,0.1,0.18,0.0428571428571429,0.154137931034483,0.0639097744360902,0.151012931034483,0.1,-0.0508771929824561,0.0506674838571391,0.168452380952381,-0.057766953827375,0.139473684210526,-0.0633760950465756,0.26,-0.0918833286739353,0.226666666666667,0.106428571428571,0.217142857142857,0.0666666666666667,-0.168452380952381,-0.168452380952381,-0.168452380952381,0.0666666666666667,-0.102597402597403,0.0664327485380117,-0.0470124586829392,-0.0985591426486785,-0.1,0,-0.064631277813096,-0.116666666666667,-0.0666666666666667,-0.0959119496855346,-0.0857142857142857,-0.170938416422287,-0.0727777777777778,-0.168989266935825,-0.0965217391304348
"RKIP",0.129292929292929,0.129292929292929,0.169158784056916,0.111111111111111,0.157762291908633,0.0576300984528833,0.1,0.149700470688917,0.164384505021521,0.1,0.1,0.0702564102564102,0.0433333333333333,-0.126006918446821,0.07169049645948,0.0648202674518464,0.173333333333333,0.142857142857143,0.133333333333333,0.180357142857143,0.145333333333333,0.153084415584416,0.137136612021858,0,-0.134137931034483,0.0572434936717517,-0.0827922077922078,-0.290343882963222,0.0307301587301587,-0.0500535628885701,-0.0333333333333333,0.0574468085106383,-0.04,-0.0502803738317757,-0.04,0.01,0.0827922077922078,0.0827922077922078,0.069971694971695,0.11,-0.0611344537815126,0.102223037417461,-0.0680535628885701,-0.201219875337522,0,0,-0.0859641839419514,-0.0385964912280702,-0.0333333333333333,-0.0655195681511471,-0.0333333333333333,-0.158611361778026,-0.191639928698752,-0.301351547970771,-0.186884762746832
"RAF",0.129292929292929,0.129292929292929,0.169158784056916,0.111111111111111,0.157762291908633,0.0576300984528833,0.1,0.149700470688917,0.164384505021521,0.1,0.1,0.0702564102564102,0.0433333333333333,-0.126006918446821,0.07169049645948,0.0648202674518464,0.173333333333333,0.142857142857143,0.133333333333333,0.180357142857143,0.145333333333333,0.153084415584416,0.137136612021858,0,-0.134137931034483,0.0572434936717517,-0.0827922077922078,-0.290343882963222,0.0307301587301587,-0.0500535628885701,-0.0333333333333333,0.0574468085106383,-0.04,-0.0502803738317757,-0.04,0.01,0.0827922077922078,0.0827922077922078,0.069971694971695,0.11,-0.0611344537815126,0.102223037417461,-0.0680535628885701,-0.201219875337522,0,0,-0.0859641839419514,-0.0385964912280702,-0.0333333333333333,-0.0655195681511471,-0.0333333333333333,-0.158611361778026,-0.191639928698752,-0.301351547970771,-0.186884762746832
"Jagged",0.26,0.26,0.194632034632035,0.2,0.25,0.164285714285714,0,0.15,0.23768115942029,0,0,0.149230769230769,0.08,0.144988416988417,0.157156177156177,0.134079254079254,0.133333333333333,0.1,0.1,0.133333333333333,0.0833333333333333,0.0777777777777778,0.121794871794872,0,0.02,0.0521212121212121,0.1,-0.0324786324786325,0.08,-0.0497584541062802,0,-0.046360153256705,0.1,0.0324444444444444,0.0444444444444444,-0.1,-0.1,-0.1,-0.136363636363636,0,-0.143589743589744,-0.0866666666666667,-0.0888888888888889,-0.130557892811414,0,0,-0.216666666666667,-0.08,-0.1,-0.149230769230769,-0.1,-0.173809523809524,-0.22,-0.247789473684211,-0.351428571428571
"DELTA",0.26,0.26,0.194632034632035,0.2,0.25,0.164285714285714,0,0.15,0.23768115942029,0,0,0.149230769230769,0.08,0.144988416988417,0.157156177156177,0.134079254079254,0.133333333333333,0.1,0.1,0.133333333333333,0.0833333333333333,0.0777777777777778,0.121794871794872,0,0.02,0.0521212121212121,0.1,-0.0324786324786325,0.08,-0.0497584541062802,0,-0.046360153256705,0.1,0.0324444444444444,0.0444444444444444,-0.1,-0.1,-0.1,-0.136363636363636,0,-0.143589743589744,-0.0866666666666667,-0.0888888888888889,-0.130557892811414,0,0,-0.216666666666667,-0.08,-0.1,-0.149230769230769,-0.1,-0.173809523809524,-0.22,-0.247789473684211,-0.351428571428571
"MEK",0.141701688417017,0.129292929292929,0.172437472581507,0.129292929292929,0.166853200999542,0.0648373056600905,0.142857142857143,0.158611361778026,0.165971806608822,0.1,0.133333333333333,0.0695571095571096,0.0702564102564102,-0.125797713425901,0.0689023923702607,0.07169049645948,0.145333333333333,0.180357142857143,0.173333333333333,0.153084415584416,0.137136612021858,0.142496180290298,0.133868638165649,0.0333333333333333,-0.102223037417461,0.0495035555912563,-0.069971694971695,-0.288397410943757,0.0218412698412698,-0.0492599120949193,-0.04,0.0522871033509331,-0.04,-0.0583095709120677,-0.0502803738317757,0.11,0.069971694971695,0.069971694971695,0.0677494727494728,0.134137931034483,-0.0663976116762494,-0.00777696258253852,-0.0504065040650407,-0.193902802166791,-0.0333333333333333,0,-0.0904513634291309,-0.0655195681511471,-0.0385964912280702,-0.0648202674518464,-0.0433333333333333,-0.157504350707916,-0.192738829797653,-0.301351547970771,-0.191389267251336
"DSH",0.0714917435505671,0.0665966386554622,0.0395279574127043,0.0607142857142857,0.115657966520229,-0.151623625123772,0.06,0.102640265865652,0.140953524288589,0,0.15,-0.0960231461005455,-0.105827067669173,-0.214379483047319,-0.0950535252729076,-0.0981701770983751,0.118831168831169,0.0225,0.104545454545455,0.035,0.128508588186008,0.0476436781609195,0.125441103523431,-0.125,-0.0371677559912854,0.0304410723084504,-0.0975667515244805,-0.137604462422502,0.132076866223208,-0.0221594386870086,-0.0266666666666667,0.117177507533936,-0.0353623188405797,-0.0328071504317528,-0.0401242236024845,0.04,0.0975667515244805,0.0975667515244805,0.0894435022247606,0.0223529411764706,0.000402930402930403,0.034912116893541,-0.0126784694460308,-0.174373392806045,0.125,0.1,-0.034951690821256,0.105827067669173,0.0986842105263158,0.0972177961459941,0.0986842105263158,-0.0984893224694252,-0.0168988020740211,-0.238642453300172,-0.0821350334691828
"Csn",-0.0126748251748252,-0.0136363636363636,0.0550706785880731,-0.0227272727272727,0.0210714285714286,0.194910686181933,0.055,0.0230473602484472,0.0450752688172043,0.18,-0.0142857142857143,0.157499414916102,0.157062733693394,0.250349899496624,0.157086252100557,0.157507178137839,-0.000144300144300144,0.0633333333333333,-0.00317460317460317,0.0633333333333333,-0.00767118186473025,0.0545333333333333,-0.0101301982581729,0.15,0.0564935064935065,0.0220821270214994,0.130971429721543,0.0736729695288402,-0.0304023982474346,-0.0198130686517783,0.0568181818181818,-0.122361408304079,0.055325644504749,0.0512683652684721,0.055325644504749,-0.05,-0.130971429721543,-0.130971429721543,-0.129243982504652,-0.05,-0.115317957904165,-0.0596185064935065,-0.0222049845579257,0.0634535402175852,-0.15,-0.133333333333333,-0.121597300474427,-0.157062733693394,-0.153448275862069,-0.157507178137839,-0.153448275862069,-0.0253609849271104,-0.1425837618825,0.0144030956034052,-0.164297824016017
"cateninnuc",0.313403898397986,0.321585716579804,0.14265444195506,0.328562460765851,-0.0125195121098505,0.35256843978743,-0.3125,-0.0531313131313131,0.0197149537774472,-0.3,-0.211111111111111,0.160967511741782,0.161362768658778,0.164741922590502,0.0594212482654412,0.159559331667816,-0.222750455373406,-0.309469696969697,-0.221111111111111,-0.309469696969697,-0.228340517485207,-0.309469696969697,-0.225072543628998,0.170862470862471,0.230763686872658,0.00444279449791432,0.278613008613009,0.263488685462865,-0.207936455240168,-0.0139252278641519,-0.154857142857143,-0.183939296428694,-0.144087912087912,-0.14324968491329,-0.146961475306303,-0.245652173913043,-0.278613008613009,-0.278613008613009,-0.276256106256106,-0.240890269151139,-0.0461502657805387,-0.227552677698346,0.0230024028956413,0.249061185001195,-0.170862470862471,-0.193939393939394,-0.069996187464959,-0.162770683422857,-0.173640248640249,-0.162770683422857,-0.172232333876169,0.0529948874832913,-0.133842864298111,0.269784345458988,-0.136678054186251
"IKK",-0.150505050505051,-0.167965367965368,-0.0499437675726335,-0.172727272727273,-0.0934984520123839,-0.010952380952381,0.1,-0.08125,0.0162857142857143,0.2,-0.1,-0.00717948717948718,0.0128205128205128,0.158694246284757,0.00105193669235721,0.0103346371142981,-0.12,0.114285714285714,-0.08,-0.019047619047619,-0.108888888888889,-0.0163449163449163,-0.119233716475096,0,0.00571428571428572,0.00565217391304348,-0.0477918935269207,-0.259016772614678,-0.122478991596639,-0.0097593984962406,-0.05,-0.0419047619047619,-0.0833333333333333,-0.0939878787878788,-0.0787878787878788,0,0.0477918935269207,0.0477918935269207,0.0506087949353714,0.0142857142857143,-0.013752276867031,-0.00349206349206349,-0.00659340659340659,0.0449455014259484,0,0.1,-0.0205329375176703,-0.0128205128205128,0.0333333333333333,0.00717948717948718,0.0333333333333333,0.0901608910891089,-0.0768954248366013,-0.0220914857520471,-0.116103896103896
"NFB",-0.145988921472792,-0.150505050505051,-0.0420300985078853,-0.167965367965368,-0.0988555948695267,-0.000314083080040529,0.114285714285714,-0.0901608910891089,0.0159025725232622,0.1,-0.08,0.00967444540478249,-0.00717948717948718,0.155870326018976,0.00646370139823956,0.00105193669235721,-0.108888888888889,-0.019047619047619,-0.12,-0.0163449163449163,-0.119233716475096,-0.0252338052338052,-0.116824077920879,-0.0333333333333333,0.00349206349206349,0.00655851832391961,-0.0506087949353714,-0.26043953684232,-0.127742149491375,-0.00937625673378849,-0.0833333333333333,-0.0426890756302521,-0.0787878787878788,-0.0870258534714231,-0.0939878787878788,0.0142857142857143,0.0506087949353714,0.0506087949353714,0.045633670557262,-0.00571428571428572,-0.00990612302087712,-0.0185247432306256,-0.00851648351648352,0.0389264940341849,0.0333333333333333,0,-0.0208069101204101,0.00717948717948718,-0.0128205128205128,-0.0103346371142981,-0.0128205128205128,0.0883021550296294,-0.0867366946778711,-0.0190417265225126,-0.111721425984374
"HEY1",0.148955753958467,0.156172248803828,0.0408613874880741,0.150909090909091,-0.0093659281894576,0.166779582676902,-0.1,-0.0333333333333333,0.0108410732714138,-0.1,0,0.0563462112992751,0.0442772457820338,0.0853733999801692,0.0499736934677608,0.0456150384241742,-0.0833333333333333,-0.16,-0.1,-0.155238095238095,-0.0958333333333333,-0.155238095238095,-0.0926075268817204,0.0333333333333333,0.147807486631016,0.00433455433455433,0.138076923076923,0.127586448097773,-0.127672955974843,-0.00823529411764706,-0.0954545454545455,-0.0953333056744356,-0.0754545454545455,-0.0779260901699926,-0.0901212121212121,-0.12,-0.138076923076923,-0.138076923076923,-0.13881221719457,-0.165454545454545,6.18429189857758e-05,-0.150900270136171,0.0111111111111111,-0.0248573716256643,-0.0333333333333333,-0.1,-0.0124054226520963,-0.0442772457820338,-0.0745098039215686,-0.0573207240429033,-0.0745098039215686,0.0318840579710145,-0.0347145969498911,-0.0884107793263528,-0.0920537294705474
"cateninmemb",0.147097017898987,0.148955753958467,0.0333099000738865,0.156172248803828,-0.00869478724986028,0.161212572367624,-0.16,-0.0318840579710145,0.00989320597283563,-0.1,-0.1,0.0450128779659418,0.0563462112992751,0.0858393832047731,0.0463322368851277,0.0499736934677608,-0.0958333333333333,-0.155238095238095,-0.0833333333333333,-0.155238095238095,-0.0926075268817204,-0.155238095238095,-0.0973319363305393,0.0745098039215686,0.150900270136171,0.00340345563809251,0.13881221719457,0.127767062185672,-0.130304534922211,-0.00586562587120156,-0.0754545454545455,-0.0933465507075482,-0.0901212121212121,-0.0842552040940433,-0.0779260901699926,-0.165454545454545,-0.13881221719457,-0.13881221719457,-0.13490160266943,-0.147807486631016,0.000436374754191768,-0.143449289744014,0.00857946554149086,0.0870848222624518,-0.0745098039215686,-0.0333333333333333,-0.0108231441710837,-0.0573207240429033,-0.0442772457820338,-0.0456150384241742,-0.0442772457820338,0.0335789732252518,-0.0263347086817346,0.239048624754521,-0.093655560134163
"PI3K",-0.0846153846153846,-0.0846153846153846,-0.0407894736842105,-0.1,-0.132697675982915,0.154857142857143,0.1,-0.121664665866347,-0.148279452099258,0.2,-0.1,0.108301746562616,0.106763285024155,0.238356185874306,0.105881104708111,0.107736774811204,-0.116666666666667,0.0666666666666667,-0.15,0.096078431372549,-0.124358974358974,0.0883861236802413,-0.138247863247863,0.1,0.0109243697478992,-0.0141566305500732,0.0361385281385281,0.0392785510900126,-0.152692307692308,-0.00563724296866125,-0.05,-0.0319143819143819,-0.0558823529411765,-0.0446953610712578,-0.0438823529411765,0,-0.0361385281385281,-0.0361385281385281,-0.0320289390974322,-0.0285714285714286,-0.00467032967032967,-0.0223997795839647,-0.00723684210526316,0.169704211066702,-0.1,-0.1,0.0182689210950081,-0.106763285024155,-0.111111111111111,-0.108301746562616,-0.111111111111111,0.114464665866347,-0.10039710823745,0.212825720399098,-0.0213588850174216
"ILK",-0.0846153846153846,-0.0846153846153846,-0.0407894736842105,-0.1,-0.132697675982915,0.154857142857143,0.1,-0.121664665866347,-0.148279452099258,0.2,-0.1,0.108301746562616,0.106763285024155,0.238356185874306,0.105881104708111,0.107736774811204,-0.116666666666667,0.0666666666666667,-0.15,0.096078431372549,-0.124358974358974,0.0883861236802413,-0.138247863247863,0.1,0.0109243697478992,-0.0141566305500732,0.0361385281385281,0.0392785510900126,-0.152692307692308,-0.00563724296866125,-0.05,-0.0319143819143819,-0.0558823529411765,-0.0446953610712578,-0.0438823529411765,0,-0.0361385281385281,-0.0361385281385281,-0.0320289390974322,-0.0285714285714286,-0.00467032967032967,-0.0223997795839647,-0.00723684210526316,0.169704211066702,-0.1,-0.1,0.0182689210950081,-0.106763285024155,-0.111111111111111,-0.108301746562616,-0.111111111111111,0.114464665866347,-0.10039710823745,0.212825720399098,-0.0213588850174216
"Wnt",0.0607142857142857,0.0857142857142857,0.030906862745098,0.1,0.101025641025641,-0.153939393939394,-0.1,0.0854700854700855,0.153419416547107,-0.1,0,-0.0986842105263158,-0.125,-0.217064400130762,-0.0972177961459941,-0.105827067669173,0.15,0,0.1,0.06,0.104545454545455,0.0225,0.118831168831169,0,-0.04,0.0347474747474747,-0.101503759398496,-0.141724137931034,0.142424242424242,-0.00263032042085127,-0.1,0.129388714733542,-0.0333333333333333,-0.0353623188405797,-0.0266666666666667,-0.1,0.101503759398496,0.101503759398496,0.101503759398496,0,0.0116666666666667,0.0223529411764706,-0.0392156862745098,-0.178474576271186,0.1,0,-0.0206521739130435,0.125,0.1,0.0986842105263158,0,-0.111051480818923,-0.00911764705882353,-0.239381252107452,-0.0820242914979757
"Ecadherin",-0.147097017898987,-0.148955753958467,-0.0333099000738865,-0.156172248803828,0.00869478724986028,-0.161212572367624,0.16,0.0318840579710145,-0.00989320597283563,0.1,0.1,-0.0450128779659418,-0.0563462112992751,-0.0858393832047731,-0.0463322368851277,-0.0499736934677608,0.0958333333333333,0.155238095238095,0.0833333333333333,0.155238095238095,0.0926075268817204,0.155238095238095,0.0973319363305393,-0.0745098039215686,-0.150900270136171,-0.00340345563809251,-0.13881221719457,-0.127767062185672,0.130304534922211,0.00586562587120156,0.0754545454545455,0.0933465507075482,0.0901212121212121,0.0842552040940433,0.0779260901699926,0.165454545454545,0.13881221719457,0.13881221719457,0.13490160266943,0.147807486631016,-0.000436374754191768,0.143449289744014,-0.00857946554149086,0.0219086536769464,0.0745098039215686,0.0333333333333333,0.0108231441710837,0.0573207240429033,0.0442772457820338,0.0456150384241742,0.0442772457820338,-0.0335789732252518,0.0263347086817346,-0.0109076237895187,0.093655560134163
"AKT",-0.0882739212007505,-0.0846153846153846,-0.038140467061694,-0.0846153846153846,-0.125930758689682,0.155218153687468,0.0666666666666667,-0.114464665866347,-0.14690958908556,0.1,-0.15,0.106625768908985,0.108301746562616,0.238438898860245,0.105573412400419,0.105881104708111,-0.124358974358974,0.096078431372549,-0.116666666666667,0.0883861236802413,-0.138247863247863,-0.0267653914712738,-0.134037336932074,0.111111111111111,0.0223997795839647,-0.0232475396409823,0.0320289390974322,0.0377710134015704,-0.148247863247863,0.00669152415462642,-0.0558823529411765,-0.0327208335272851,-0.0438823529411765,-0.05043554234014,-0.0446953610712578,-0.0285714285714286,-0.0320289390974322,-0.0320289390974322,-0.028414481266107,-0.0109243697478992,0.00340420449116101,-0.0236656023687749,-0.00296333783175888,0.168990653472411,-0.111111111111111,-0.1,0.0200233070599203,-0.108301746562616,-0.106763285024155,-0.107736774811204,-0.106763285024155,0.108740760142441,-0.0945867106839335,0.212219659793037,-0.0160957271226848
