"","AXIN2","Destcompl","cateninmemb","Ecadherin","SRC","TCFLEF","Wnt","cateninnuc","GLI","Frizzled","DSH","ZEB1","GSK3","PAK1","KLF4","TWIST1","RAS","SOSGRB2","miR200","Jagged","Patched","NOTCHic","SMO","Csl","NOTCH","ZEB2","RKIP","MEK","NFB","Csn","AKT","SNAI1","IKK","ERK","TrCP","EGR1","cfos","ILK","HEY1","SUFU","FUS","SMAD","SNAI2","SHH","RAF","PI3K","DELTA","FOXC2","CDC42","LIV1","TGFR","TGF","STAT","CD44","cMet"
"NFB",-0.343946301925025,-0.0955931724599615,-0.377370955603422,-0.352060899570676,-0.271794871794872,-0.297042342624836,-0.288717948717949,-0.292571754389542,-0.294335926246039,-0.271794871794872,-0.233333333333333,-0.127912136663498,0.0393148028442146,-0.166666666666667,0.00448717948717949,-0.387945845004668,-0.0940666163825691,-0.0434453781512605,-0.0252386437504,-0.142330948736793,-0.127841634738186,-0.165367965367965,-0.103703703703704,-0.151082251082251,-0.158271191174417,-0.00932728372655777,0.0466372425388819,-0.0222334267040149,-0.102380952380952,-0.0857142857142857,0.0733118833118833,0.0374508038311238,-0.0888674388674389,0.0085079365079365,0.1,0.0857142857142857,0.0337142857142857,0.0182205720572057,0.00847523219814241,0.12,0.1,0.0349491965925217,-0.12143999033329,0.144709104617705,0.0721760691188875,0.0721760691188875,0.0721760691188875,0.363636478616558,0.203030303030303,0.2,0.219830303030303,0.233754353663214,0.233333333333333,0.294932637983485,0.288717948717949
"cfos",0.0224137931034483,0.0179271311057727,0.0764815649799173,0.110321064837556,0.01,0.0501619441223402,0.0359259259259259,0.044976758937155,0.0517153996101365,0.01,-0.05,0.119433875245013,0.0875838744588745,0.0142857142857143,0.0174285714285714,0.105896103896104,0.0116597587544503,0.0666666666666667,0.000360750360750362,0.102986111111111,-0.041705069124424,0.0833333333333333,-0.0642857142857143,0.0833333333333333,0.0817948717948718,-0.00683154617779315,0.0260606060606061,0.0388209285187915,-0.075,-0.1,0.0782894736842105,0.0210564962463697,-0.0625,-0.0269565217391304,0,0.12,0.04,0.0452380952380952,0.0491004497751125,0.1,0.114285714285714,0.0484639016897081,0.14134957499921,0.033063093815782,0.00419389978213508,0.00419389978213508,0.00419389978213508,-0.14962219033955,-0.00952380952380952,0.1,-0.0389355742296919,-0.0586325439266616,0.05,-0.0521421421421421,-0.0359259259259259
"CDC42",0.0224137931034483,0.0179271311057727,0.0764815649799173,0.110321064837556,0.01,0.0501619441223402,0.0359259259259259,0.044976758937155,0.0517153996101365,0.01,-0.05,0.119433875245013,0.0875838744588745,-0.0857142857142857,0.0174285714285714,0.105896103896104,0.0116597587544503,0.0666666666666667,0.000360750360750362,0.102986111111111,-0.041705069124424,0.0833333333333333,-0.0642857142857143,0.0833333333333333,0.0817948717948718,-0.00683154617779315,0.0260606060606061,0.0388209285187915,-0.075,-0.1,0.0782894736842105,0.0210564962463697,-0.0625,-0.0269565217391304,0,0.02,0.04,0.0452380952380952,0.0491004497751125,0.1,0.114285714285714,0.0484639016897081,0.14134957499921,0.033063093815782,0.00419389978213508,0.00419389978213508,0.00419389978213508,-0.14962219033955,-0.00952380952380952,0.1,-0.0389355742296919,-0.0586325439266616,0.05,-0.0521421421421421,-0.0359259259259259
"TrCP",0.029332032097159,0.0254459280982539,0.0751995136978661,0.109698227467313,0.0359259259259259,0.044976758937155,0.0517153996101365,0.041528483075086,0.0512275947320877,0.0359259259259259,0.01,0.107536769135689,0.100674783549784,0.00952380952380952,0.00759250585480094,0.0988308865047996,0.019387031481723,0.0617161716171617,-0.00319254913163543,0.102986111111111,-0.033063093815782,0.0817948717948718,-0.041705069124424,0.0833333333333333,0.0795970695970696,-0.00586691595271277,0.038767788381048,0.0614875951854581,-0.0625,-0.075,0.0931042884990253,0.0351376418310952,-0.0782894736842105,-0.0388209285187915,0.1,0.04,0.0269565217391304,0.0484639016897081,0.0549828027162889,0.114285714285714,0.0642857142857143,0.0426574500768049,0.143338725089626,0.029063093815782,-0.0116597587544503,-0.0116597587544503,-0.0116597587544503,-0.143415293787826,-0.0389355742296919,0.05,-0.0586325439266616,-0.0679221614130004,-0.01,-0.0501619441223402,-0.0521421421421421
"EGR1",0.029332032097159,0.0254459280982539,0.0751995136978661,0.109698227467313,0.0359259259259259,0.044976758937155,0.0517153996101365,0.041528483075086,0.0512275947320877,0.0359259259259259,0.01,0.107536769135689,0.100674783549784,0.00952380952380952,0.00759250585480094,0.0988308865047996,0.019387031481723,0.0617161716171617,-0.00319254913163543,0.102986111111111,-0.033063093815782,0.0817948717948718,-0.041705069124424,0.0833333333333333,0.0795970695970696,-0.00586691595271277,0.038767788381048,0.0614875951854581,-0.0625,-0.075,0.0931042884990253,0.0351376418310952,-0.0782894736842105,-0.0388209285187915,0.1,0.04,0.0269565217391304,0.0484639016897081,0.0549828027162889,0.114285714285714,0.0642857142857143,0.0426574500768049,0.143338725089626,0.029063093815782,-0.0116597587544503,-0.0116597587544503,-0.0116597587544503,-0.143415293787826,-0.0389355742296919,0.05,-0.0586325439266616,-0.0679221614130004,-0.01,-0.0501619441223402,-0.0521421421421421
"SNAI1",-0.0286327313978583,-0.0293932965193066,-0.0731615171520975,-0.109229965240466,-0.0521421421421421,-0.041528483075086,-0.0512275947320877,-0.038327657055468,-0.0462915801068591,-0.0517153996101365,-0.0359259259259259,-0.0985576793447906,-0.108397555827011,-0.0389355742296919,-0.00478876753704393,-0.0897026813765944,-0.0239847326311483,-0.0537916433152749,0.00559408611530497,-0.0975743464052288,0.029063093815782,-0.0795970695970696,0.033063093815782,-0.0817948717948718,-0.07429094714809,0.00033186060215926,-0.0496464494689142,-0.0713530660374761,0.0782894736842105,0.0625,-0.103520955165692,-0.139230168521487,0.0931042884990253,0.0614875951854581,-0.075,-0.0269565217391304,-0.0388209285187915,-0.0426574500768049,-0.0496256598591461,-0.0642857142857143,-0.041705069124424,-0.0344163676659808,-0.144646133738637,-0.0257621229419956,0.019387031481723,0.019387031481723,0.019387031481723,0.132614785528614,0.0586325439266616,0.01,0.0679221614130004,0.0711479678646133,0.0359259259259259,0.044976758937155,0.0501619441223402
"IKK",-0.329761904761905,-0.0781513119948453,-0.3757870062898,-0.352542440501655,-0.233333333333333,-0.294932637983485,-0.271794871794872,-0.297042342624836,-0.288717948717949,-0.233333333333333,-0.2,-0.145919799498747,0.0597069597069597,-0.1,-0.00512820512820513,-0.395882352941176,-0.0721760691188875,-0.0634453781512605,-0.0315830546265329,-0.144489222118088,-0.103703703703704,-0.151082251082251,-0.1,-0.127272727272727,-0.165367965367965,0.00101754385964912,0.0620218579234973,-0.0085079365079365,-0.0857142857142857,-0.1,0.0888674388674389,0.0541631325982471,-0.102380952380952,-0.0337142857142857,0,0.1,0.0857142857142857,0.00138888888888889,-0.00402476780185758,0.1,0.12,0.0182205720572057,-0.127131047243859,0.127841634738186,0.0468239564428312,0.0468239564428312,0.0468239564428312,0.37997113997114,0.166666666666667,0.1,0.203030303030303,0.219830303030303,0.2,0.288717948717949,0.271794871794872
"GLI",-0.0278728864734299,0.0123532196373043,-0.0726744914848737,-0.108582655753396,-0.0390322580645161,-0.0456071381885973,0.0380265654648956,-0.0427978136219505,-0.0615479026202107,0.0509677419354839,0.08,-0.127893411845025,0.0335199912284748,0.0783333333333333,-0.00853539253539254,-0.111247013691835,0.0970209024739237,-0.0715825767153201,0.00241588133229,-0.12951767187804,0.169262441818833,-0.125846595932803,0.171303258145363,-0.128346595932803,-0.125846595932803,0.0044557945041816,0.048302660596603,-0.0897493482576356,0.0342105263157895,0.05,-0.0590829752953813,0.0264912335433955,0.0403329752953813,0.0693073593073593,-0.0833333333333333,-0.0742857142857143,-0.0576190476190476,-0.0903699487111541,-0.100862187237399,-0.247619047619048,-0.197619047619048,-0.0844240027652081,-0.141255806493349,-0.168850919185088,-0.10315951633531,-0.10315951633531,-0.10315951633531,0.159704914860681,-0.0541954022988506,-0.05,-0.0372142702233789,-0.0266260349292612,0.01,0.0495032420847012,0.0512273800157356
"PAK1",-0.029332032097159,-0.0254459280982539,-0.0751995136978661,-0.109698227467313,-0.0359259259259259,-0.044976758937155,-0.0517153996101365,-0.041528483075086,-0.0512275947320877,-0.0359259259259259,-0.01,-0.107536769135689,-0.100674783549784,-0.00952380952380952,-0.00759250585480094,-0.0988308865047996,-0.019387031481723,-0.0617161716171617,0.00319254913163543,-0.102986111111111,0.033063093815782,-0.0817948717948718,0.041705069124424,-0.0833333333333333,-0.0795970695970696,0.00586691595271277,-0.038767788381048,-0.0614875951854581,0.0625,0.075,-0.0931042884990253,-0.0351376418310952,0.0782894736842105,0.0388209285187915,-0.1,-0.04,-0.0269565217391304,-0.0484639016897081,-0.0549828027162889,-0.114285714285714,-0.0642857142857143,-0.0426574500768049,-0.143338725089626,-0.029063093815782,0.0116597587544503,0.0116597587544503,0.0116597587544503,0.143415293787826,0.0389355742296919,-0.05,0.0586325439266616,0.0679221614130004,0.01,0.0501619441223402,0.0521421421421421
"LIV1",-0.029332032097159,-0.0254459280982539,-0.0751995136978661,-0.109698227467313,-0.0359259259259259,-0.044976758937155,-0.0517153996101365,-0.041528483075086,-0.0512275947320877,-0.0359259259259259,-0.01,-0.107536769135689,-0.100674783549784,-0.00952380952380952,-0.00759250585480094,-0.0988308865047996,-0.019387031481723,-0.0617161716171617,0.00319254913163543,-0.102986111111111,0.033063093815782,-0.0817948717948718,0.041705069124424,-0.0833333333333333,-0.0795970695970696,0.00586691595271277,-0.038767788381048,-0.0614875951854581,0.0625,0.075,-0.0931042884990253,-0.0351376418310952,0.0782894736842105,0.0388209285187915,-0.1,-0.04,-0.0269565217391304,-0.0484639016897081,-0.0549828027162889,-0.114285714285714,-0.0642857142857143,-0.0426574500768049,-0.143338725089626,-0.029063093815782,0.0116597587544503,0.0116597587544503,0.0116597587544503,0.143415293787826,0.0389355742296919,-0.05,0.0586325439266616,0.0679221614130004,0.01,0.0501619441223402,0.0521421421421421
"AKT",-0.20896991576414,0.205097382077289,-0.079578572352052,0.0193663018068209,-0.146376811594203,-0.162436973693156,-0.157146042363434,-0.159975435231617,-0.162173975324328,-0.146376811594203,-0.133333333333333,-0.176333602783968,0.205612771338578,0.144117647058824,-0.0171727395411606,-0.0876594403741343,0.17485838318583,-0.212478632478632,-0.0505599138193159,-0.127065760427559,0.0401709401709402,-0.205769230769231,0.0512820512820513,-0.205769230769231,-0.205769230769231,0.0163387750356211,0.112867120092184,0.082207450317749,-0.172549019607843,-0.166666666666667,0.0730152200740436,0.121955129369317,-0.169984917043741,-0.0796758047481287,0.233333333333333,0.0904761904761905,0.084593837535014,-0.0983135654261705,-0.11197059847682,-0.05,-0.0666666666666667,-0.0952832623958674,0.0783804605222947,-0.0328025191183086,-0.181364407282216,-0.181364407282216,-0.181364407282216,0.179209242618742,-0.132117647058824,0.1,-0.126426590148254,-0.120082179272122,0.133333333333333,0.162230788126146,0.157146042363434
"ILK",-0.200666666666667,0.210970004078943,-0.0794766355528675,0.0183056957462149,-0.133333333333333,-0.162230788126146,-0.146376811594203,-0.162436973693156,-0.157146042363434,-0.133333333333333,-0.1,-0.181813054838762,0.214886964886965,0.15,-0.0197368421052632,-0.0873536299765808,0.181364407282216,-0.216923076923077,-0.0532337106107598,-0.12640350877193,0.0512820512820513,-0.205769230769231,0.0666666666666667,-0.175,-0.205769230769231,0.0190785010630183,0.11969941822883,0.0796758047481287,-0.166666666666667,-0.233333333333333,0.169984917043741,0.12621578099839,-0.172549019607843,-0.084593837535014,0.2,0.133333333333333,0.0904761904761905,-0.10391356542617,-0.11572999697306,0,-0.05,-0.0983135654261705,0.0758678977082244,-0.0401709401709402,-0.1964329004329,-0.1964329004329,-0.1964329004329,0.182968641114983,-0.144117647058824,0.1,-0.132117647058824,-0.126426590148254,0.1,0.157146042363434,0.146376811594203
"ZEB1",0.233769710581572,0.310097187093512,0.225107368239415,0.0958925283144727,0.198811757348343,0.181117764857729,0.194965603502189,0.178084496755968,0.190498249550299,0.20650406504065,0.233333333333333,-0.192083302240283,0.276938278483667,0.101915708812261,-0.02694969926368,0.040145757355923,0.269877057164278,-0.10541910331384,-0.100647247330062,0.0828258219402355,0.0458333333333333,0.0341911764705882,0.0458333333333333,0.0479166666666667,0.0259267136606709,0.0196409309889335,0.0962377016922471,0.147980305778699,-0.0996491228070175,-0.0733333333333333,0.0959957270224742,0.129012555515727,-0.104567155593903,-0.154588235294118,0.0333333333333333,0.1,0.144,-0.0167414228820175,-0.00687047839897581,-0.0333333333333333,-0.0458333333333333,-0.0201068074974021,-0.222983792398415,-0.0497479240806643,-0.26782981306979,-0.26782981306979,-0.26782981306979,0.163527309252664,-0.103364984174579,-0.233333333333333,-0.0906746288446301,-0.0835880146714018,-0.225641025641026,-0.184841169113049,-0.189007835779715
"NOTCHic",0.0554754417490267,0.0820934940280734,-0.00246139568283533,-0.0728276978570023,0.0415384615384615,0.00343466057751772,0.0203263403263403,0.0054193934019452,0.00419730806827581,0.0415384615384615,0.08,-0.144331723027375,0.0227359804946012,0.0111111111111111,-0.0297101449275362,-0.0831724762818463,0.0575017685962214,-0.0679904306220096,-0.0137537221930286,-0.0562222031096203,0.0688914027149321,-0.0517972350230415,0.0865384615384615,0.0514285714285714,-0.0544288139704099,0.0208212560386473,0.00561387778483457,0.00571428571428571,0.0666666666666667,0.1,-0.051421188630491,0.0250773300773301,0.0444444444444445,-0.00857142857142857,0,-0.02,-0.02,-0.0485714285714286,0.0497324414715719,-0.1,-0.125,-0.0579239465570401,-0.183644161122648,-0.0635150586289106,-0.0658761528326746,-0.0658761528326746,-0.0658761528326746,0.162633311389072,-0.0311111111111111,-0.1,-0.0117562724014337,0.00289340912722873,-0.08,-0.00384282384282384,-0.0203263403263403
"Csl",0.0485345677130369,0.0774012332114982,-0.00307301647794237,-0.0737579304151419,0.0203263403263403,0.0054193934019452,0.00419730806827581,0.00627702633504983,0.00258440484246936,0.0203263403263403,0.0415384615384615,-0.137149402585386,0.0152249348392256,0.0311111111111111,-0.0239958592132505,-0.0802379390357966,0.0541929450668096,-0.0704294550122535,-0.0113572080318085,-0.0598680364429537,0.0635150586289106,-0.0544288139704099,0.0688914027149321,-0.0517972350230415,-0.0571560866976826,0.021926228414338,-0.00314188258382903,-0.00950310559006212,0.0444444444444445,0.0666666666666667,-0.0614987080103359,0.0144053933184368,0.051421188630491,-0.00571428571428571,-0.1,-0.02,0.00857142857142857,-0.0579239465570401,0.0386213303604608,-0.125,-0.0865384615384615,-0.056812835445929,-0.185061014217353,-0.0626529896633934,-0.0575017685962214,-0.0575017685962214,-0.0575017685962214,0.162633311389072,-0.0117562724014337,-0.08,0.00289340912722873,0.0112834318029657,-0.0415384615384615,-0.00343466057751772,-0.00384282384282384
"Csn",-0.226827392193894,0.19281452897924,-0.133440134173994,-0.0963287798118844,-0.161494252873563,-0.197040131995625,-0.181976180584407,-0.194093649734651,-0.195513298488337,-0.161494252873563,-0.116666666666667,-0.170142266335815,0.287513183787533,0.0568181818181818,-0.0320678014795662,-0.229139784946237,0.179445988770073,-0.203043929436181,-0.0366991046798471,-0.135781858627158,0.0352278545826933,-0.216017316017316,0.0492063492063492,-0.212121212121212,-0.217940392940393,0.0253961952026468,0.110283169311765,0.0612770562770563,-0.0616666666666667,-0.045,0.0512666666666667,0.136742345842821,-0.0616666666666667,-0.0696103896103896,0.02,0.08,0.0709090909090909,-0.0797515527950311,-0.091547619047619,-0.0714285714285714,-0.0825396825396825,-0.0774379281163678,-0.0197150235245212,-0.0262114611400703,-0.193073627925544,-0.193073627925544,-0.193073627925544,0.315538012891929,-0.0493554952510176,0.0666666666666667,-0.0275606234561458,-0.0125248239334728,0.116666666666667,0.195753958362184,0.181976180584407
"NOTCH",0.0735309973045822,0.0890934940280735,-0.000635837873504703,-0.0696117713638936,0.08,0.00384282384282384,0.0415384615384615,0.00343466057751772,0.0203263403263403,0.08,0.1,-0.14951690821256,0.0318268895855103,0,-0.0297101449275362,-0.0762542372881356,0.0658761528326746,-0.0452631578947368,-0.0224242424242424,-0.044963924963925,0.0865384615384615,0.0514285714285714,0.125,0.08,-0.0517972350230415,0.0260064412238325,0.015473032714412,0.00857142857142857,0.1,0,-0.0444444444444445,0.0308974358974359,0.0666666666666667,0.02,0,0,-0.02,-0.0452380952380952,0.0543478260869565,0,-0.1,-0.0485714285714286,-0.186249371543489,-0.0688914027149321,-0.0818181818181818,-0.0818181818181818,-0.0818181818181818,0.161020408163265,-0.0111111111111111,0,-0.0311111111111111,-0.0117562724014337,-0.1,-0.0203263403263403,-0.0415384615384615
"Jagged",0.0942857142857143,0.102177606177606,0.00302908359246388,-0.0663859649122807,0.1,0.0203263403263403,0.08,0.00384282384282384,0.0415384615384615,0.1,0,-0.138405797101449,0.0340996168582375,0,-0.0166666666666667,-0.061,0.0818181818181818,-0.04,-0.0224242424242424,-0.0338528138528138,0.125,0.08,0.1,0.1,0.0514285714285714,0.0297101449275362,0.00512820512820514,-0.02,0,0,-0.0666666666666667,0.0416666666666667,0.1,0.02,0,0.1,0,-0.05,0.05,0,0,-0.0452380952380952,-0.1973604826546,-0.0865384615384615,-0.1,-0.1,-0.1,0.138571428571429,0,0,-0.0111111111111111,-0.0311111111111111,0,-0.0415384615384615,-0.08
"DELTA",0.0942857142857143,0.102177606177606,0.00302908359246388,-0.0663859649122807,0.1,0.0203263403263403,0.08,0.00384282384282384,0.0415384615384615,0.1,0,-0.138405797101449,0.0340996168582375,0,-0.0166666666666667,-0.061,0.0818181818181818,-0.04,-0.0224242424242424,-0.0338528138528138,0.125,0.08,0.1,0.1,0.0514285714285714,0.0297101449275362,0.00512820512820514,-0.02,0,0,-0.0666666666666667,0.0416666666666667,0.1,0.02,0,0.1,0,-0.05,0.05,0,0,-0.0452380952380952,-0.1973604826546,-0.0865384615384615,-0.1,-0.1,-0.1,0.138571428571429,0,0,-0.0111111111111111,-0.0311111111111111,0,-0.0415384615384615,-0.08
