"","SOSGRB2","AXIN2","Wnt","MEK","Frizzled","ERK","PAK1","cfos","SRC","ZEB2","DSH","EGR1","Ecadherin","RKIP","KLF4","RAS","RAF","PI3K","miR200","AKT","NFB","IKK","FUS","Csn","TrCP","SUFU","ILK","SMAD","ZEB1","HEY1","SMO","Patched","SHH","FOXC2","GSK3","DELTA","SNAI1","Csl","NOTCHic","NOTCH","Jagged","STAT","LIV1","TWIST1","TGF","TGFR","Destcompl","CDC42","cMet","CD44","cateninmemb","GLI","TCFLEF","cateninnuc","SNAI2"
"ILK",-0.0469230769230769,0.409047619047619,0.334299516908213,0.0492400238784038,0.277777777777778,0.0246498599439776,-0.175,-0.00476190476190476,0.277777777777778,-0.146857766525472,0.2,-0.0333333333333333,0.300562550875642,-0.19390756302521,-0.142543859649123,0.489084267330843,0.443878787878788,0.443878787878788,-0.0224748593601053,0.239668174962293,0.166666666666667,0.196078431372549,0.15,0.166666666666667,0.2,-0.1,-0.125962384953982,-0.126762384953982,0.0824757777885973,0.107352100359869,-0.183333333333333,-0.191025641025641,-0.210470085470085,-0.242004645760743,-0.496909571909572,-0.443878787878788,0.18981884057971,-0.25,-0.311538461538462,-0.343796526054591,-0.260701754385965,-0.2,-0.1,-0.154868818518141,0.178060736489718,0.169117647058824,-0.574525064583268,0.169117647058824,-0.334299516908213,-0.391222593831289,-0.342858998580446,-0.391222593831289,-0.427945757673097,-0.464440603033922,-0.30070092037566
"GLI",0.0650676167490327,0.388362016908213,0.184250474383302,-0.044798258831408,0.154838709677419,-0.063030303030303,-0.0666666666666667,-0.0695238095238095,0.294838709677419,-0.0992900665642601,0.1,-0.102857142857143,0.303291714702979,-0.125010897741782,-0.0971694551694552,0.233470918071926,0.209510522032322,0.209510522032322,-0.00425033171163202,0.0350916353383459,-0.00263157894736842,0.0116541353383459,-0.00654761904761906,-0.05,-0.0833333333333333,0.0190476190476191,-0.0556297912050793,-0.0610351966104847,0.0952337429595494,0.0470400096036768,-0.00397869674185463,-0.0182644110275689,-0.0301985674061697,-0.0513103070175439,-0.368371008814412,-0.209510522032322,0.108961076100747,-0.145110521662246,-0.175110521662246,-0.197967664519389,-0.198988105134164,-0.24,-0.2,-0.0520204130900226,0.0774221235664077,0.0710691823899371,-0.368862701194666,0.0666666666666667,-0.324107002360346,-0.353417347187932,-0.372457352475947,-0.313612176510961,-0.376144619915205,-0.396168529060453,-0.119703208067318
"SMAD",-0.164167406092872,0.132577945167239,0.0963369963369963,-0.165914796006694,0.080952380952381,-0.17456864216054,-0.15,-0.183870967741935,0.107619047619048,-0.0866339357781726,0.0476190476190476,-0.2,0.136212877374736,-0.119706536366647,-0.084186201292135,0.264797641433875,0.250652904591769,0.250652904591769,-0.00215268053882141,0.0784388422035481,0.053968253968254,0.0637721755368814,0.0333333333333333,0.0111111111111111,0,-0.0333333333333333,-0.00245298080914519,-0.106738695094859,0.0867421924669533,0.00800620283471567,-0.0333333333333333,-0.0434250764525994,-0.0482577902072462,-0.0198984001099843,-0.234071994560716,-0.250652904591769,0.0858070030328095,-0.0819047619047619,-0.0968472906403941,-0.110339354132458,-0.0794666945957269,-0.0742857142857143,-0.06,0.00112913954707132,0.15568941481693,0.152502163820914,-0.170881743863454,0.148591549295775,-0.121344537815126,-0.136253628724217,-0.142082471624849,-0.111444910006061,-0.148058242021368,-0.157987320035552,0.0361817969669275
"SNAI1",-0.0610904062104324,0.406452625665378,0.347725003565825,-0.0714392492892415,0.32187134502924,-0.0848921640874478,-0.0543417366946779,-0.102225497420781,0.31987987987988,-0.0548848436089802,0.295555555555556,-0.120869565217391,0.303427775640541,-0.0658078513486637,-0.058215952782216,0.350049897880502,0.333957943857513,0.333957943857513,-0.00594130320380919,0.0373659844054581,-0.00175438596491228,0.0241715399610136,0.144393241167435,-0.0333333333333333,-0.108333333333333,-0.147619047619048,-0.0643744666325311,-0.0706475293631584,0.057382081044693,0.0470355158555176,-0.157973488081015,-0.169973488081015,-0.185701643420821,-0.010785639085208,-0.284843909390939,-0.333957943857513,-0.0966687018297075,-0.256923076923077,-0.277802197802198,-0.297802197802198,-0.254948747443763,-0.295555555555556,-0.24,-0.142102332450159,0.0743671160834893,0.070536470922199,-0.370016740936019,0.063432645785587,-0.345622454137306,-0.365622454137306,-0.378319910331453,-0.367651877423229,-0.383691419654547,-0.400160185787743,-0.147005183105583
"Csl",-0.0506819154315945,0.420174411084704,0.352966388450259,-0.065879917184265,0.317482517482517,-0.0876190476190477,-0.0626666666666667,-0.110476190476191,0.317482517482517,-0.0539295024065622,0.253846153846154,-0.153333333333333,0.351451959850606,-0.0644554299930383,-0.0532815734989648,0.3665838418644,0.338275018334988,0.338275018334988,-0.00685585146652811,0.0475452196382429,-0.0222222222222222,0.017312661498708,0.166025641025641,-0.1,-0.133333333333333,-0.158333333333333,-0.0578931140801644,-0.0678931140801644,0.05804921664398,0.141475725184165,-0.171907993966817,-0.190187563859291,-0.207428943169635,-0.0247246751870938,-0.304399607312221,-0.338275018334988,0.00790484073092769,-0.259078341013825,-0.295920446276983,-0.324102264458801,-0.290688184071876,-0.253846153846154,-0.2,-0.158887398355496,0.082929606442947,0.0754466132456681,-0.38277853605797,0.0658924731182796,-0.351548451548452,-0.38542600256886,-0.414860082603251,-0.386837356192195,-0.412448903332218,-0.436748503103516,-0.21982169006676
"Ecadherin",0.272998856489423,0.689020998845306,0.608908439077315,0.30564860245879,0.548563611491108,0.278589778929379,-0.0210909090909091,0.246631016042781,0.548563611491108,-0.0532940834103659,0.476470588235294,0.205454545454545,0.55541972126207,-0.047605266144592,-0.0779653070792311,0.575170673340243,0.534947209653092,0.534947209653092,-0.0137373323965503,0.422991822991823,0.352380952380952,0.393121693121693,0.35,0.3,0.2,-0.3,-0.0490434782608696,-0.0565495315296347,0.0425832563007742,0.00174917068718885,-0.4,-0.441935483870968,-0.476581153162306,-0.285592535116457,-0.498889538260065,-0.534947209653092,0.0849028152204433,-0.463157894736842,-0.523982637004883,-0.572681521763248,-0.603227859754333,-0.476470588235294,-0.4,-0.453513297063084,0.037888627375506,0.0348144863266815,-0.542609478593232,0.0304242424242424,-0.608563611491108,-0.663078661658332,-0.770113197552222,-0.663575105743982,-0.709031339117859,-0.748713878800399,-0.724487593045298
"PAK1",-0.067505500550055,0.382909502122254,0.32187134502924,-0.0848921640874478,0.295555555555556,-0.102225497420781,-0.0523809523809524,-0.120869565217391,0.295555555555556,-0.0523018177787219,0.24,-0.16,0.2915131034241,-0.0628789810557766,-0.0504277907884465,0.333957943857513,0.311230671130241,0.311230671130241,-0.00622948764184954,0.0241715399610136,-0.0333333333333333,-0.00175438596491228,0.147619047619048,-0.108333333333333,-0.133333333333333,-0.147619047619048,-0.055342208568015,-0.0643744666325311,0.0538150453743363,0.0410831349031367,-0.144393241167435,-0.157973488081015,-0.169973488081015,-0.00252642688698692,-0.269992424242424,-0.311230671130241,0.00261955439805052,-0.230769230769231,-0.256923076923077,-0.277802197802198,-0.238948747443763,-0.24,-0.2,-0.132358742706569,0.070536470922199,0.063432645785587,-0.356913670760581,0.0543417366946779,-0.31987987987988,-0.345622454137306,-0.361152380106928,-0.347725003565825,-0.365622454137306,-0.383691419654547,-0.128399752331195
"LIV1",-0.067505500550055,0.382909502122254,0.32187134502924,-0.0848921640874478,0.295555555555556,-0.102225497420781,-0.0523809523809524,-0.120869565217391,0.295555555555556,-0.0523018177787219,0.24,-0.16,0.2915131034241,-0.0628789810557766,-0.0504277907884465,0.333957943857513,0.311230671130241,0.311230671130241,-0.00622948764184954,0.0241715399610136,-0.0333333333333333,-0.00175438596491228,0.147619047619048,-0.108333333333333,-0.133333333333333,-0.147619047619048,-0.055342208568015,-0.0643744666325311,0.0538150453743363,0.0410831349031367,-0.144393241167435,-0.157973488081015,-0.169973488081015,-0.00252642688698692,-0.269992424242424,-0.311230671130241,0.00261955439805052,-0.230769230769231,-0.256923076923077,-0.277802197802198,-0.238948747443763,-0.24,-0.2,-0.132358742706569,0.070536470922199,0.063432645785587,-0.356913670760581,0.0543417366946779,-0.31987987987988,-0.345622454137306,-0.361152380106928,-0.347725003565825,-0.365622454137306,-0.383691419654547,-0.128399752331195
"EGR1",-0.067505500550055,0.382909502122254,0.32187134502924,-0.0848921640874478,0.295555555555556,-0.102225497420781,-0.0523809523809524,-0.120869565217391,0.295555555555556,-0.0523018177787219,0.24,-0.16,0.2915131034241,-0.0628789810557766,-0.0504277907884465,0.333957943857513,0.311230671130241,0.311230671130241,-0.00622948764184954,0.0241715399610136,-0.0333333333333333,-0.00175438596491228,0.147619047619048,-0.108333333333333,-0.133333333333333,-0.147619047619048,-0.055342208568015,-0.0643744666325311,0.0538150453743363,0.0410831349031367,-0.144393241167435,-0.157973488081015,-0.169973488081015,-0.00252642688698692,-0.269992424242424,-0.311230671130241,0.00261955439805052,-0.230769230769231,-0.256923076923077,-0.277802197802198,-0.238948747443763,-0.24,-0.2,-0.132358742706569,0.070536470922199,0.063432645785587,-0.356913670760581,0.0543417366946779,-0.31987987987988,-0.345622454137306,-0.361152380106928,-0.347725003565825,-0.365622454137306,-0.383691419654547,-0.128399752331195
"HEY1",0.247998856489423,0.629845741113347,0.548563611491108,0.278589778929379,0.476470588235294,0.246631016042781,-0.00909090909090909,0.205454545454545,0.476470588235294,-0.0513983488132095,0.4,0.16,0.625137345410074,-0.047979797979798,-0.0703703703703704,0.534947209653092,0.489358974358974,0.489358974358974,-0.0131786731786732,0.393121693121693,0.3,0.352380952380952,0.3,0.2,0.1,-0.2,-0.036,-0.0490434782608696,0.0383178534571723,-0.00294881588999236,-0.35,-0.4,-0.441935483870968,-0.267514731912796,-0.46688070823799,-0.489358974358974,0.0807888911698104,-0.4,-0.463157894736842,-0.523982637004883,-0.561809095452274,-0.4,-0.3,-0.424649237472767,0.0348144863266815,0.0304242424242424,-0.511761389124453,0.0210909090909091,-0.548563611491108,-0.608563611491108,-0.728702941141966,-0.608908439077315,-0.663078661658332,-0.709031339117859,-0.676745269144034
"NOTCHic",-0.0758851674641148,0.38187106918239,0.317482517482517,-0.0876190476190477,0.253846153846154,-0.110476190476191,-0.0666666666666667,-0.153333333333333,0.253846153846154,-0.0467471819645733,0.2,-0.22,0.330754285432001,-0.0612296235414254,-0.0404244306418219,0.338275018334988,0.305270092226614,0.305270092226614,-0.00750944623776994,0.017312661498708,-0.1,-0.0222222222222222,0.158333333333333,-0.133333333333333,-0.1,-0.133333333333333,-0.0528571428571428,-0.0578931140801644,0.0547342995169082,0.142129319955407,-0.166025641025641,-0.171907993966817,-0.190187563859291,-0.0138051349572087,-0.281866470346094,-0.305270092226614,0.00197598697598698,-0.117142857142857,-0.259078341013825,-0.295920446276983,-0.267250684071876,-0.2,-0.1,-0.143763244856625,0.0754466132456681,0.0658924731182796,-0.362120400774606,0.0626666666666667,-0.317482517482517,-0.351548451548452,-0.3908539663953,-0.352966388450259,-0.38542600256886,-0.412448903332218,-0.190664344802032
"cfos",-0.0902777777777778,0.353349753694581,0.295555555555556,-0.102225497420781,0.24,-0.120869565217391,-0.0571428571428571,-0.16,0.24,-0.0455494062031592,0.2,-0.12,0.275250127645553,-0.0601165501165501,-0.038952380952381,0.311230671130241,0.28562091503268,0.28562091503268,-0.00724471606824548,-0.00175438596491228,-0.108333333333333,-0.0333333333333333,0.147619047619048,-0.133333333333333,-0.1,-0.133333333333333,-0.0521164021164021,-0.055342208568015,0.0515642415158154,0.0425537231384308,-0.147619047619048,-0.144393241167435,-0.157973488081015,0.00505978000956481,-0.252537878787879,-0.28562091503268,-0.00334703271412132,-0.2,-0.230769230769231,-0.256923076923077,-0.221770833333333,-0.2,-0.1,-0.121489177489177,0.063432645785587,0.0543417366946779,-0.340823445196671,0.0523809523809524,-0.295555555555556,-0.31987987987988,-0.34375311270766,-0.32187134502924,-0.345622454137306,-0.365622454137306,-0.10651910133662
"NOTCH",-0.103157894736842,0.336037735849057,0.253846153846154,-0.110476190476191,0.2,-0.153333333333333,-0.1,-0.22,0.2,-0.0371175523349436,0.1,-0.2,0.309774193548387,-0.0513704686118479,-0.0297101449275362,0.305270092226614,0.254545454545455,0.254545454545455,-0.00346320346320346,-0.0222222222222222,-0.133333333333333,-0.1,0.133333333333333,-0.1,0,-0.1,-0.0595238095238095,-0.0528571428571428,0.0480676328502415,0.152898550724638,-0.158333333333333,-0.166025641025641,-0.171907993966817,0.00877551020408163,-0.250461511668408,-0.254545454545455,-0.00807692307692308,-0.06,-0.117142857142857,-0.259078341013825,-0.249369889369889,-0.1,0,-0.131813559322034,0.0658924731182796,0.0626666666666667,-0.336787067441273,0.0666666666666667,-0.253846153846154,-0.317482517482517,-0.363064919742156,-0.317482517482517,-0.351548451548452,-0.38542600256886,-0.153990998108645
"STAT",-0.277380952380952,-0.147977512683395,-0.0936688311688312,-0.224794433902593,-0.0982142857142857,-0.22156862745098,-0.122727272727273,-0.233333333333333,-0.0982142857142857,-0.0333781603012372,-0.0857142857142857,-0.233333333333333,-0.0148473982644003,-0.053536036036036,0.0735690235690236,-0.0949759576805797,-0.0904983457402812,-0.0904983457402812,0.00344215454417731,-0.114971751412429,-0.15,-0.116666666666667,0.1,-0.15,-0.1,-0.1,-0.0546698872785829,-0.0523710367038703,0.0424511386049848,0.054,-0.08,-0.0637209302325581,-0.0592961514714962,0.0851547375596455,0.119176680017802,0.0904983457402812,-0.0225934819654678,-0.0392156862745098,-0.0311075781664017,-0.0243114616615473,-0.021047600740922,0.0857142857142857,0.2,0.144661651858054,0.116261152717102,0.113845693779904,0.145713453610955,0.116477272727273,0.0936688311688312,0.104779942279942,0.101426794948395,0.102912528647823,0.110142718305179,0.116698141427944,0.193732962787283
"Jagged",-0.14,0.27,0.2,-0.153333333333333,0.1,-0.22,-0.2,-0.2,0.1,-0.0297101449275362,0,-0.1,0.288,-0.041025641025641,-0.0166666666666667,0.254545454545455,0.2,0.2,-0.000606060606060606,-0.1,-0.1,-0.133333333333333,0.1,0,0,0,-0.0833333333333333,-0.0595238095238095,0.0480676328502415,0.183333333333333,-0.133333333333333,-0.158333333333333,-0.166025641025641,0.0271428571428571,-0.20727969348659,-0.2,-0.025,0,-0.06,-0.117142857142857,-0.21974025974026,0,0,-0.103,0.0626666666666667,0.0666666666666667,-0.305945945945946,0.1,-0.2,-0.253846153846154,-0.332174867386135,-0.253846153846154,-0.317482517482517,-0.351548451548452,-0.112192056309703
"DELTA",-0.14,0.27,0.2,-0.153333333333333,0.1,-0.22,-0.2,-0.2,0.1,-0.0297101449275362,0,-0.1,0.288,-0.041025641025641,-0.0166666666666667,0.254545454545455,0.2,0.2,-0.000606060606060606,-0.1,-0.1,-0.133333333333333,0.1,0,0,0,-0.0833333333333333,-0.0595238095238095,0.0480676328502415,0.183333333333333,-0.133333333333333,-0.158333333333333,-0.166025641025641,0.0271428571428571,-0.20727969348659,-0.2,-0.025,0,-0.06,-0.117142857142857,-0.21974025974026,0,0,-0.103,0.0626666666666667,0.0666666666666667,-0.305945945945946,0.1,-0.2,-0.253846153846154,-0.332174867386135,-0.253846153846154,-0.317482517482517,-0.351548451548452,-0.112192056309703
"RAS",0.230735930735931,0.212305665349144,0.179411764705882,0.287724458204334,0.15,0.281842105263158,-0.02,0.245,0.15,-0.024359351988218,0.1,0.22,0.136064157766752,0.155433962264151,-0.0171428571428571,0.120128205128205,0.214358974358974,0.214358974358974,-0.0536307692307692,-0.0133333333333333,-0.0333333333333333,-0.0133333333333333,0.2,0,0.1,-0.1,-0.158441558441558,-0.16252319109462,0.0365979381443299,0.0547430830039526,-0.183333333333333,-0.195333333333333,-0.190248587570621,-0.111111111111111,-0.091421188630491,-0.214358974358974,0.0481710914454277,-0.2,-0.194736842105263,-0.207944389275074,-0.203504829489454,-0.1,0,-0.138614293507911,-0.00687245195107746,-0.00588235294117647,-0.215511860860698,0,-0.179411764705882,-0.185794743429287,-0.151609504981918,-0.187745098039216,-0.20887166650621,-0.214254102766833,-0.401252849791491
"CDC42",0.0902777777777778,-0.353349753694581,-0.295555555555556,0.102225497420781,-0.24,0.120869565217391,-0.0428571428571429,0.16,-0.24,0.0455494062031592,-0.2,0.22,-0.275250127645553,0.0601165501165501,0.038952380952381,-0.311230671130241,-0.28562091503268,-0.28562091503268,0.00724471606824548,0.00175438596491228,0.108333333333333,0.0333333333333333,-0.147619047619048,0.133333333333333,0.1,0.133333333333333,0.0521164021164021,0.055342208568015,-0.0515642415158154,-0.0425537231384308,0.147619047619048,0.144393241167435,0.157973488081015,-0.00505978000956481,0.252537878787879,0.28562091503268,0.00334703271412132,0.2,0.230769230769231,0.256923076923077,0.221770833333333,0.2,0.1,0.121489177489177,-0.063432645785587,-0.0543417366946779,0.340823445196671,-0.0523809523809524,0.295555555555556,0.31987987987988,0.34375311270766,0.32187134502924,0.345622454137306,0.365622454137306,0.10651910133662
"SNAI2",-0.274509803921569,-0.647566524949229,-0.56317907444668,-0.301192368839428,-0.485714285714286,-0.264705882352941,0.00588235294117647,-0.219607843137255,-0.485714285714286,0.0495603104677995,-0.4,-0.166666666666667,-0.765142010184257,0.0428589743589744,0.0655769230769231,-0.56329751367282,-0.512612582165971,-0.512612582165971,0.0156269758762701,-0.414914831740756,-0.3,-0.36551724137931,-0.3,-0.2,-0.1,0.2,0.0297786720321932,0.0436542701183176,-0.0367981959303545,0.0104882459312839,0.364705882352941,0.419807923169268,0.466286796408704,0.298822542378511,0.497786333027268,0.512612582165971,-0.0742695655746637,0.4,0.475438596491228,0.541672362724994,0.586160896434365,0.4,0.3,0.458847473540666,-0.031019051990919,-0.0248078718666954,0.544905283904911,-0.015406162464986,0.56317907444668,0.629845741113347,0.759071884806046,0.630023994232776,0.689020998845306,0.739952675863939,0.901594791418454
"KLF4",-0.247998856489423,-0.629845741113347,-0.548563611491108,-0.278589778929379,-0.476470588235294,-0.246631016042781,0.00909090909090909,-0.205454545454545,-0.476470588235294,0.0513983488132095,-0.4,-0.16,-0.625137345410074,0.047979797979798,0.0703703703703704,-0.534947209653092,-0.489358974358974,-0.489358974358974,0.0131786731786732,-0.393121693121693,-0.3,-0.352380952380952,-0.3,-0.2,-0.1,0.2,0.036,0.0490434782608696,-0.0383178534571723,0.00294881588999236,0.35,0.4,0.441935483870968,0.267514731912796,0.46688070823799,0.489358974358974,-0.0807888911698104,0.4,0.463157894736842,0.523982637004883,0.561809095452274,0.4,0.3,0.424649237472767,-0.0348144863266815,-0.0304242424242424,0.511761389124453,-0.0210909090909091,0.548563611491108,0.608563611491108,0.728702941141966,0.608908439077315,0.663078661658332,0.709031339117859,0.676745269144034
