"","KLF4","SOSGRB2","CD44","cMet","AKT","Csl","IKK","SRC","TGFR","NFB","TrCP","Csn","HEY1","cfos","MEK","ERK","PI3K","DELTA","FUS","Patched","ZEB1","FOXC2","GSK3","SHH","SMO","SNAI1","SNAI2","LIV1","RAF","miR200","ILK","RKIP","RAS","SMAD","Ecadherin","SUFU","EGR1","STAT","DSH","CDC42","TWIST1","PAK1","TGF","Frizzled","ZEB2","Wnt","cateninmemb","Jagged","NOTCHic","GLI","TCFLEF","NOTCH","cateninnuc","Destcompl","AXIN2"
"DELTA",0.116666666666667,0.3,0.213846153846154,0.16,0.0777777777777778,0.2,0.0666666666666667,0.1,0.311111111111111,0.1,0,0,0.183333333333333,0.2,0.233333333333333,0.3,0.16,0.16,0.1,0.0166666666666667,-0.130676328502415,0.00857142857142857,-0.118390804597701,-0.0243589743589744,-0.0666666666666667,-0.175,-0.182905982905983,0,-0.16,-0.0121212121212121,-0.0833333333333333,-0.158974358974359,-0.205454545454545,-0.0595238095238095,-0.17,0,-0.1,0,0,-0.3,-0.245,-0.2,-0.299111111111111,-0.1,-0.129710144927536,-0.16,-0.239559173221145,-0.181471861471861,-0.22,-0.213846153846154,-0.241118881118881,-0.248571428571429,-0.264195804195804,-0.274671814671815,-0.231428571428571
"GLI",0.122585156585157,0.506849021185304,0.265171057272308,0.249653815892998,0.0985025808569042,0.114341290893015,0.0891275808569042,0.23258064516129,0.34940251572327,0.0707602339181286,0.0333333333333333,0.0444444444444444,-0.0268645710071856,0.33452380952381,0.332342565353615,0.338419913419913,0.349623797897254,0.349623797897254,0.0446428571428571,0.0125268528464017,-0.131890595664789,-0.0139403809769522,-0.226158173095207,-0.00882314914269801,-0.0288533834586466,-0.16243600828364,-0.165698013020509,-0.15,-0.349623797897254,0.00333877680626907,0.0338777917088894,-0.198309667823074,-0.368435679085373,0.0300940079251056,-0.184053989764814,-0.0571428571428571,-0.342857142857143,-0.21,-0.12,-0.345,-0.238951563433737,-0.345,-0.351990751017388,-0.14258064516129,-0.12673562041304,-0.16022770398482,-0.254344151796141,-0.092656008913545,-0.134341290893015,-0.275121321006096,-0.278482745583996,-0.146722243273967,-0.288823450903781,-0.33245444130476,-0.296553442028985
"TGF",0.0934909738113399,-0.0486842105263158,0.176540880503145,0.163333333333333,0.101127819548872,0.08,0.0642857142857143,0.133333333333333,-0.0542857142857143,0.05,0,0.1,0.174210186976144,0.0571428571428571,-0.013500417710944,-0.0112781954887218,0.00595238095238096,0.00595238095238096,0.14,0.130804597701149,-0.047459029655826,0.121257763975155,-0.16924486689653,-0.108929597701149,-0.106666666666667,-0.0427495232040686,-0.115869409808989,0,-0.00595238095238096,0.0617812742812743,-0.147272727272727,-0.045021645021645,-0.0345238095238095,-0.134369501466276,-0.117086427867236,-0.2,0,-0.1,-0.1,0.04,-0.0783333333333333,0.04,-0.0546428571428571,-0.142857142857143,-0.106218246538613,-0.172857142857143,-0.181199345834062,-0.222778595974472,-0.1,-0.186064690026954,-0.188382985766303,-0.13448275862069,-0.199866239354819,-0.173554156324146,-0.206701940035273
"RAS",0.0425,0.203896103896104,0.116520650813517,0.105882352941176,-0.0244444444444444,0,-0.0466666666666667,0.1,0.0764705882352941,0,-0.1,-0.1,-0.041897233201581,0.215,0.172481940144479,0.209736842105263,0.177692307692308,0.177692307692308,0,-0.0633333333333333,-0.0365500736377025,0.0726984126984127,-0.176072351421189,0.0514689265536723,0.0833333333333333,-0.117512291052114,-0.0214420006962711,0,-0.177692307692308,0.0678769230769231,0.038961038961039,-0.205075471698113,-0.285384615384615,0.0695732838589982,0.014296023196279,0.1,-0.14,-0.1,-0.1,-0.1,-0.113944353518822,-0.06,-0.0774606872451951,-0.1,-0.0682731958762887,-0.105882352941176,-0.0294447126309013,0.0296037847427558,0.0368421052631579,-0.11421568627451,-0.116520650813517,0.0198609731876862,-0.120769942598219,-0.211224523433826,-0.139235836627141
"KLF4",0.0222222222222222,0.163178959405374,0.37955193401931,0.347378020975832,0.343597883597884,0.305454545454545,0.302857142857143,0.307843137254902,0.0464242424242424,0.26,0.1,0.2,0.0636974789915966,-0.129090909090909,-0.156016318429902,-0.146737967914438,0.409102564102564,0.409102564102564,-0.233333333333333,-0.2625,-0.0854540763673891,-0.133987587103135,-0.452490102901738,0.272177419354839,0.25,-0.146675196252075,-0.203441252181815,-0.233333333333333,-0.409102564102564,0.0274114774114774,-0.036,-0.103236446093589,-0.444396681749623,-0.0461449275362319,-0.0630834847703415,0.2,0.12,-0.266666666666667,-0.266666666666667,-0.0290909090909091,-0.354858387799564,-0.00909090909090909,-0.0605705838876571,-0.307843137254902,-0.0645304437564499,-0.347378020975832,-0.338237206560377,-0.358856935168779,-0.34755980861244,-0.378412503734453,-0.406642235022655,-0.387765994179451,-0.430677104263004,-0.520474131656549,-0.424640629701965
"HEY1",0.0222222222222222,0.163178959405374,0.37955193401931,0.347378020975832,0.343597883597884,0.305454545454545,0.302857142857143,0.307843137254902,0.0464242424242424,0.26,0.1,0.2,0.0636974789915966,-0.129090909090909,-0.156016318429902,-0.146737967914438,0.409102564102564,0.409102564102564,-0.233333333333333,-0.2625,-0.0854540763673891,-0.133987587103135,-0.452490102901738,0.272177419354839,0.25,-0.146675196252075,-0.203441252181815,-0.233333333333333,-0.409102564102564,0.0274114774114774,-0.036,-0.103236446093589,-0.444396681749623,-0.0461449275362319,-0.0630834847703415,0.2,0.12,-0.266666666666667,-0.266666666666667,-0.0290909090909091,-0.354858387799564,-0.00909090909090909,-0.0605705838876571,-0.307843137254902,-0.0645304437564499,-0.347378020975832,-0.338237206560377,-0.358856935168779,-0.34755980861244,-0.378412503734453,-0.406642235022655,-0.387765994179451,-0.430677104263004,-0.520474131656549,-0.424640629701965
"SHH",0.05,0.15,-0.2,-0.2,-0.1,-0.1,-0.1,-0.1,0.233333333333333,0,0,0,0,0.1,0.22,0.2,-0.25,-0.25,0,0.133333333333333,-0.15,0.125,0.32051282051282,-0.253333333333333,-0.1,-0.0833333333333333,0.0645977011494253,0,0.25,0,0,-0.12,0.288461538461538,0.0166666666666667,-0.0477777777777778,0,0,0.1,0.2,-0.233333333333333,0.05,-0.2,-0.233333333333333,0.2,-0.05,0.3,0.125017921146953,0.134285714285714,0.2,0.3,0.233333333333333,0.233333333333333,0.25,0.417922077922078,0.342857142857143
"TWIST1",0.0578173858661664,-0.248805961391774,-0.337608997286003,-0.313914218169537,-0.196442540510337,-0.185925925925926,-0.165934065934066,-0.284126984126984,-0.0964041274817137,-0.123076923076923,0,-0.1,0.144638976842367,0.0130434782608696,0.0375786969044936,0.0340961098398169,-0.377880421169479,-0.377880421169479,0.355555555555556,0.363665144596651,-0.0282370089387633,0.227655249851424,0.406952681519702,-0.374995193857735,-0.359555555555556,0.0241900226513334,0.190137644583545,0.233333333333333,0.377880421169479,0.0349823568458932,-0.155510055510056,0.00648443474530431,0.405620147196876,-0.143958900394544,0.105729381249479,-0.3,0,0.261904761904762,0.261904761904762,0.0826541274817137,0.27638198757764,0.0757575757575758,0.109388182151418,0.284126984126984,-0.0321830602532357,0.312548036758563,0.304249778183976,0.205457840111845,0.219259259259259,0.335748036758563,0.358589089169617,0.249447938504542,0.376472930457714,0.470514548509502,0.387591387107516
"SMO",0.0527777777777778,0.155263157894737,-0.25,-0.233333333333333,-0.170857142857143,-0.233333333333333,-0.142857142857143,-0.2,0.225,-0.1,0,-0.1,-0.0373626373626374,0.22,0.273613053613054,0.258461538461538,-0.319711538461538,-0.319711538461538,0.133333333333333,0.240833333333333,-0.123022598870057,0.111551724137931,0.400170703083324,-0.246388888888889,-0.253333333333333,-0.0352534562211982,0.0777405582922824,0.1,0.319711538461538,-0.0134719710669078,0.0266666666666667,-0.0977777777777778,0.352269677996422,0.0346031746031746,-0.0364568878698496,-0.1,-0.2,0.2,0.3,-0.233333333333333,0.0965141612200436,-0.233333333333333,-0.208783783783784,0.3,-0.0298022598870057,0.325,0.152633886626997,0.174497354497354,0.260606060606061,0.341666666666667,0.274271844660194,0.290606060606061,0.293820716840645,0.490492143515399,0.403358710255262
"SUFU",0.037994230118997,0.142326094957674,-0.293820716840645,-0.274271844660194,-0.216081716940777,-0.290606060606061,-0.193934065934066,-0.25,0.196017826336975,-0.170857142857143,-0.1,-0.142857142857143,-0.0619653962241705,0.273613053613054,0.283444308198527,0.277061329475123,-0.377160507690745,-0.377160507690745,0.240833333333333,0.24739898989899,-0.10289278647564,0.112469185284594,0.451066147194371,-0.248557291057291,-0.246388888888889,-0.00636013874506431,0.0931870421277841,0.2,0.377160507690745,-0.0124818720570068,0.0481515616999488,-0.0754171634289455,0.399628862121125,0.053925233755376,-0.0260360535372169,-0.253333333333333,-0.258461538461538,0.233333333333333,0.325,-0.208783783783784,0.134681160734266,-0.225,-0.186353132056896,0.341666666666667,-0.0148412332428635,0.36474358974359,0.175489882623145,0.209909311112413,0.311060606060606,0.383702697550281,0.311212021188471,0.334076479076479,0.326096931674405,0.541023736820715,0.44889378814957
"TCFLEF",0.107302011713776,-0.0521676646706587,-0.387383083373649,-0.359081196581197,-0.259981493961859,-0.327737924438068,-0.229546711353163,-0.329166666666667,0.0477984161748561,-0.20374025974026,-0.114285714285714,-0.15974025974026,-0.101267865638976,0.188989547038328,0.207492948398872,0.20137049941928,-0.413099117683955,-0.413099117683955,0.156666666666667,0.166113671274962,-0.0372678539783803,0.0198602397513209,0.429624454317243,-0.1716351436676,-0.170952380952381,0.117883889703973,0.14248189239041,0.266666666666667,0.413099117683955,-0.0356613466854431,0.0565149236728184,-0.0259039353446297,0.442402665647162,0.0605302200399312,0.0944248742938321,-0.15,-0.191428571428571,0.304166666666667,0.296078431372549,-0.0608825283243888,0.229858010800112,-0.0794871794871795,-0.0338911314066442,0.321078431372549,0.0103574339890129,0.350992961287079,0.251270255769248,0.255522893487605,0.353228120516499,0.378322153833663,0.309948948207555,0.383460678656034,0.329536577073535,0.597788882352474,0.726630525030525
"FUS",-0.0445810564663024,-0.151417004048583,0.274271844660194,0.25,0.193934065934066,0.260606060606061,0.170857142857143,0.233333333333333,-0.208783783783784,0.142857142857143,0.1,0.1,0.0475075648988692,-0.258461538461538,-0.277061329475123,-0.273613053613054,0.352269677996422,0.352269677996422,-0.253333333333333,-0.246388888888889,0.110139163287234,-0.110235934664247,-0.427929900407739,0.24739898989899,0.240833333333333,0.0201591165985566,-0.0840242207698408,-0.2,-0.352269677996422,0.0124818720570068,-0.0346031746031746,0.0864375715922108,-0.377160507690745,-0.0481515616999488,0.0301555180068359,0.133333333333333,0.22,-0.2,-0.3,0.225,-0.117980129806431,0.233333333333333,0.196017826336975,-0.325,0.0230537936293369,-0.341666666666667,-0.163620851245246,-0.192569643653981,-0.290606060606061,-0.36474358974359,-0.293820716840645,-0.311060606060606,-0.311212021188471,-0.517791413588392,-0.427582312739734
"IKK",-0.0117216117216117,-0.170168067226891,-0.287179487179487,-0.264102564102564,-0.117181467181467,-0.163636363636364,-0.0928571428571429,-0.233333333333333,-0.12020202020202,0.0571428571428571,0,0.1,0.0829721362229102,0.0428571428571429,0.0615238095238095,0.0548571428571428,-0.388747731397459,-0.388747731397459,0.12,0.171111111111111,0.034812030075188,0.153160173160173,0.513113553113553,-0.178007662835249,-0.16,0.0774173027989822,0.175407228340347,0.1,0.388747731397459,-0.0118060200668896,-0.0875,0.0425318761384335,0.425367449707318,-0.082549504950495,0.162556085864349,-0.1,0,0.2,0.2,0.111111111111111,0.339411764705882,0.1,0.13060202020202,0.233333333333333,0.0282857142857143,0.264102564102564,0.283811058587595,0.107769447047798,0.206493506493506,0.287179487179487,0.313733159495871,0.233477633477633,0.335674087765914,0.502793724405979,0.326666666666667
"NFB",-0.0213369963369963,-0.179641751437417,-0.313733159495871,-0.287179487179487,-0.148292578292578,-0.206493506493506,-0.117181467181467,-0.264102564102564,-0.13060202020202,-0.0928571428571429,0.1,0.0571428571428571,0.0722578505086245,0.0548571428571428,0.0700205415499533,0.0615238095238095,-0.425367449707318,-0.425367449707318,0.16,0.178007662835249,0.0474557082361075,0.154355392283679,0.542917474682181,-0.184031759220791,-0.171111111111111,0.0941296315661055,0.184147065738721,0.2,0.425367449707318,-0.012108134870515,-0.082549504950495,0.0566344402409976,0.454223171100353,-0.0739993190768891,0.166729440599501,-0.12,-0.0428571428571429,0.233333333333333,0.233333333333333,0.12020202020202,0.361316526610644,0.111111111111111,0.142627336657716,0.264102564102564,0.0347991242474001,0.287179487179487,0.296799442959295,0.126474483019021,0.233477633477633,0.313022183808701,0.335674087765914,0.261219568961504,0.354419185805129,0.532694056631893,0.354326241134752
"SNAI2",-0.0126923076923077,-0.116227180527383,-0.179990932889615,-0.166012438265959,-0.200543553524443,-0.174122807017544,-0.182471264367816,-0.15051948051948,-0.0230984701572937,-0.158333333333333,-0.1,-0.133333333333333,-0.0398131404460518,0.105882352941176,0.118388977212507,0.115686274509804,-0.226195243808333,-0.226195243808333,0.12,0.132004801920768,0.0468936438011328,0.100543386439743,0.25087567884774,-0.136230154033444,-0.125882352941176,0.0730648431484985,0.04546211925455,0.12,0.226195243808333,-0.0156194576445582,0.021327967806841,0.0533717948717949,0.241263736959018,0.0256341879025348,0.0286263902923324,-0.1,-0.1,0.129090909090909,0.129090909090909,0.015406162464986,0.173697629126199,0.00588235294117647,0.0293096502815173,0.15051948051948,0.0358936438011328,0.166012438265959,0.160859077259706,0.174017616028125,0.196929824561404,0.179381422223179,0.191331139075182,0.21381294144452,0.202045424789468,0.279580978401969,0.225352474677498
"cateninmemb",-0.0211439287388654,-0.0929124913484397,-0.0971154799323478,-0.0874164832768294,-0.171611351611352,-0.155406698564593,-0.158624338624339,-0.0743730050159599,-0.0331234294161123,-0.143809523809524,-0.1,-0.12,-0.0407430232617757,0.100855614973262,0.101001157726446,0.0998246871382105,-0.196696832579186,-0.196696832579186,0.0333333333333333,0.0428091397849462,0.0535319061523337,0.0686673232584488,0.218162134528017,-0.046746147658962,-0.0395833333333333,0.0869808315374854,0.0736222917322155,0.0333333333333333,0.196696832579186,-0.014148334595262,0.0268985507246377,0.0665675326991539,0.208987335372482,0.0310147734849282,-0.0492420002894394,-0.0333333333333333,-0.0890909090909091,0.0627450980392157,0.0627450980392157,0.0277575757575758,0.0865149645208797,0.0210909090909091,0.0380058887289514,0.0743730050159599,0.0416611887957977,0.0864419705332013,-0.0198934523544087,0.0867200849336097,0.168808760420263,0.0964419705332012,0.10745171903571,0.18181991283662,0.115855080380248,0.246897622301083,0.191331139075182
"Patched",-0.0611111111111111,-0.15,0.233333333333333,0.2,0.142857142857143,0.2,0.1,0.2,-0.233333333333333,0.1,0,0,0.0230769230769231,-0.2,-0.258461538461538,-0.22,0.288461538461538,0.288461538461538,-0.1,-0.253333333333333,0.141666666666667,-0.115,-0.368131868131868,0.240833333333333,0.133333333333333,0.0543010752688172,-0.0605977011494253,-0.1,-0.288461538461538,0.00714285714285714,-0.0166666666666667,0.12,-0.319711538461538,-0.0266666666666667,0.0390399137001079,0,0.1,-0.1,-0.2,0.233333333333333,-0.0759259259259259,0.233333333333333,0.225,-0.3,0.0416666666666667,-0.3,-0.136129032258065,-0.16021164021164,-0.233333333333333,-0.325,-0.25,-0.260606060606061,-0.274271844660194,-0.456383616383616,-0.379220779220779
"Csn",-0.0413244272067802,-0.11968177101349,-0.23369616396621,-0.21369616396621,-0.207633333333333,-0.188383838383838,-0.190833333333333,-0.190804597701149,-0.157780155168215,-0.17,-0.02,-0.145,-0.0454097452934662,0.0533333333333333,0.0567288961038961,0.0494372294372294,-0.427059747003593,-0.427059747003593,0.00317460317460317,0.0197923939859424,0.0649247311827957,-0.0812649465467535,0.524385732068224,-0.0197923939859424,-0.0122655122655123,0.192697989188839,0.0951258359353771,0.133333333333333,0.427059747003593,-0.014237400973116,0.0365631469979296,0.150028071171889,0.448364929345243,0.0378484940416314,0.0348656680991837,-0.0142857142857143,-0.0533333333333333,0.166666666666667,0.166666666666667,0.147523744911805,0.199921302789465,0.134090909090909,0.16422406924936,0.190804597701149,0.0524234904880066,0.21369616396621,0.116100515334444,0.102542517985893,0.21046176046176,0.233346818988044,0.250094877792576,0.22969252969253,0.263504378694561,0.54273177905408,0.263201920050362
"FOXC2",-0.0222222222222222,-0.163178959405374,-0.37955193401931,-0.347378020975832,-0.343597883597884,-0.305454545454545,-0.302857142857143,-0.307843137254902,-0.0464242424242424,-0.26,-0.1,-0.2,-0.0636974789915966,0.129090909090909,0.156016318429902,0.146737967914438,-0.409102564102564,-0.409102564102564,0.233333333333333,0.2625,0.0854540763673891,0.133987587103135,0.452490102901738,-0.272177419354839,-0.25,0.146675196252075,0.203441252181815,0.233333333333333,0.409102564102564,-0.0274114774114774,0.036,0.103236446093589,0.444396681749623,0.0461449275362319,0.0630834847703415,-0.2,-0.12,0.266666666666667,0.266666666666667,0.0290909090909091,0.354858387799564,0.00909090909090909,0.0605705838876571,0.307843137254902,0.0645304437564499,0.347378020975832,0.338237206560377,0.358856935168779,0.34755980861244,0.378412503734453,0.406642235022655,0.387765994179451,0.430677104263004,0.520474131656549,0.424640629701965
"Ecadherin",-0.0336146272855134,-0.178968433089585,-0.406642235022655,-0.37955193401931,-0.376065416065416,-0.34755980861244,-0.343597883597884,-0.347378020975832,-0.0605705838876571,-0.302857142857143,-0.2,-0.26,-0.0764491568439456,0.146737967914438,0.160330043920099,0.156016318429902,-0.444396681749623,-0.444396681749623,0.25,0.272177419354839,0.0973024175996166,0.13604708367064,0.482953679060678,-0.280838836677673,-0.2625,0.163130892454606,0.214458711543645,0.266666666666667,0.444396681749623,-0.0283425761079392,0.0461449275362319,0.118592251337035,0.475122938732863,0.0546195038074183,-0.0312689981897365,-0.233333333333333,-0.129090909090909,0.307843137254902,0.307843137254902,0.0464242424242424,0.37813585521111,0.0290909090909091,0.072686316256554,0.347378020975832,0.0749569840408101,0.378412503734453,0.354391052714223,0.380596065603562,0.387765994179451,0.40507917040112,0.430677104263004,0.420108001614395,0.451965619669166,0.551974597639773,0.454949908052481
