"","TGF","FOXC2","RKIP","TWIST1","Csn","SUFU","SNAI1","NOTCHic","Jagged","NFB","ERK","MEK","TrCP","SMO","DELTA","ZEB2","ZEB1","AXIN2","Wnt","STAT","GLI","cMet","TCFLEF","Frizzled","Destcompl","miR200","CD44","SRC","Ecadherin","KLF4","cateninmemb","SNAI2","cateninnuc","SMAD","LIV1","ILK","Patched","DSH","HEY1","SHH","FUS","RAS","AKT","RAF","PI3K","EGR1","NOTCH","IKK","Csl","cfos","SOSGRB2","GSK3","TGFR","CDC42","PAK1"
"TrCP",0.0181457083578588,0.020020119065288,0.0771255264072944,-0.011918125352908,0.183333333333333,0.204761904761905,0.129317132622169,0.141282051282051,0.125080521472393,0.195833333333333,0.070213706705969,0.070213706705969,0.133333333333333,0.23110599078341,0.0544569318242202,-0.219714111960478,-0.219714111960478,0.168700932552592,0.130994152046784,0.15,0.12855512765654,0.128078078078078,0.121774447715042,0.138888888888889,0.165903520904613,-0.24020501909424,0.125107781048375,0.138888888888889,-0.224323067809924,0.223548269581056,-0.158439019688863,0.0936264600840042,-0.121498585646076,-0.159805427547363,-0.15,-0.175934459805428,-0.212587472264892,-0.15,-0.187814181144722,-0.199587472264892,-0.221428571428571,-0.0521842045514929,-0.207626705653021,-0.0544569318242202,-0.0544569318242202,-0.04,-0.14018315018315,-0.216885964912281,-0.124358974358974,-0.0617391304347826,0.0704620462046205,-0.0977527056277056,-0.0192386045327222,-0.00560224089635855,0.0238095238095238
"Csn",0.0222955664955095,0.0446839584645221,0.0979342020469018,0.0572985818918498,0.025,0.114285714285714,0.136034093902936,-0.00295815295815296,0.112306901805051,0.0333333333333333,0.0564935064935065,0.0606601731601732,0.1,0.150649350649351,-0.00117206238028627,-0.206918114143921,-0.206918114143921,-0.065256236229147,-0.0338318792411024,-0.0333333333333333,-0.0377620102454692,-0.0338318792411024,-0.0405742872439605,-0.0229885057471264,0.173106974118887,-0.225494391966597,-0.0396096570188801,-0.0229885057471264,-0.225177561328101,0.222295482295482,-0.158614681098823,0.0305977333332976,0.040874948699162,-0.144896600084093,0.0666666666666667,-0.151837474120083,-0.162477307638598,0.0333333333333333,-0.152419712070875,-0.150182225671385,-0.147619047619048,0.00520277255303099,-0.0475666666666667,0.00117206238028627,0.00117206238028627,-0.05,-0.0124264624264624,-0.0291666666666667,-0.00353535353535354,-0.05,0.00850916637841577,-0.0739840917200633,-0.0134650175694952,-0.000644504748982361,0.00681818181818182
"GSK3",-0.020658019958126,0.00951663595482445,0.0595469442837864,0.0411511420706894,0.0075,0.109090909090909,0.0874387308007126,-0.00142112789171613,0.103906472762816,-0.005,0.0697066194899012,0.0725475285808103,0.02,0.117232230135456,-0.0256577008228601,-0.187676507468427,-0.187676507468427,-0.117253707812985,-0.0718855963438007,-0.0592105263157895,-0.0718855963438007,-0.0732360703082209,-0.0720784567730472,-0.0699248120300752,0.141837063160674,-0.198278199982988,-0.0732360703082209,-0.0699248120300752,-0.220071876468176,0.189047521476537,-0.15578354930341,-0.000999352732786119,0.0731310883519946,-0.116095627495263,0.075,-0.121942703957032,-0.108029776147726,0.0592105263157895,-0.118581574193271,-0.105637431650118,-0.104329004329004,0.0285988772934484,-0.0105319776009431,0.0256577008228601,0.0256577008228601,-0.0674509803921569,0.00116138763197587,-0.0122413793103448,0.0161064425770308,-0.0674509803921569,0.0209738909228416,-0.150617128722892,0.019632378932485,0.0262525879917184,0.0310144927536232
"DSH",-0.019632378932485,0.0103140841206937,0.0653113553113553,0.0443521663984743,0.02,0.1,0.0913146997929607,-0.0161064425770308,0.104928370573035,0.0075,0.0674509803921569,0.0697066194899012,0,0.104329004329004,-0.0214560201505912,-0.186933565417907,-0.186933565417907,-0.11618825880233,-0.0699248120300752,-0.075,-0.0718855963438007,-0.0699248120300752,-0.0732360703082209,-0.0592105263157895,0.141308708106078,-0.200740099162355,-0.0732360703082209,-0.0592105263157895,-0.220697493853754,0.198207826820048,-0.15817081720792,-0.00143075911760061,0.0720784567730472,-0.121942703957032,0.1,-0.124584213390995,-0.117232230135456,0.075,-0.122387802566974,-0.108029776147726,-0.109090909090909,0.0256577008228601,-0.0122413793103448,0.0214560201505912,0.0214560201505912,-0.0733333333333333,0.00142112789171613,0.005,0.00238095238095238,-0.0674509803921569,0.026090169992609,-0.0502843500207289,0.0262525879917184,0.0310144927536232,0.0266666666666667
"SHH",-0.0933333333333334,-0.05,0.02,0,0,-0.2,0.0666666666666667,0,-0.0371428571428572,0,-0.1,-0.04,0,-0.1,0.2,-0.175,-0.175,0.219047619047619,0,0.1,-0.05,0.1,0.0833333333333333,0,0.225194805194805,-0.183333333333333,0.05,0.1,-0.0708333333333333,0.2,0.0648028673835125,0.0285823754789272,-0.0611111111111111,-0.0666666666666667,0,-0.0666666666666667,0.0666666666666667,0,-0.0666666666666667,-0.0533333333333333,0.2,-0.161538461538462,-0.15,-0.2,-0.2,0,-0.0333333333333333,-0.1,0.1,0.1,0.2,-0.192307692307692,0.133333333333333,0.233333333333333,0.2
"PI3K",-0.0145399330463893,0.000926829268292683,0.0581932773109244,0.0375963072328005,-0.1,0.1,0.0826892109500805,0.00192307692307692,0.0862280701754386,-0.0666666666666667,0.0703081232492997,0.0653900904624145,-0.2,0.1,0.00138528138528139,-0.164823181914082,-0.164823181914082,-0.102380952380952,-0.0536231884057971,-0.1,-0.0613154960981048,-0.0536231884057971,-0.0697900723692912,-0.0666666666666667,0.133821185403659,-0.171313153690203,-0.0613154960981048,-0.0666666666666667,-0.205189745796218,0.169736842105263,-0.155725682082234,0.0176237634826765,0.0679344022661985,-0.0878793117246899,0.1,-0.0982793117246899,-0.0846153846153846,0.1,-0.0962735008240003,-0.092948717948718,-0.1,-0.00823459645377454,0.107390648567119,-0.00138528138528139,-0.00138528138528139,-0.0333333333333333,0.0174317617866005,0.0843137254901961,-0.025,-0.0761904761904762,0.0265384615384615,-0.049013949013949,0.0153529411764706,0.00735294117647059,0.025
"ILK",-0.0145399330463893,0.000926829268292683,0.0581932773109244,0.0375963072328005,-0.1,0.1,0.0826892109500805,0.00192307692307692,0.0862280701754386,-0.0666666666666667,0.0703081232492997,0.0653900904624145,-0.2,0.1,0.00138528138528139,-0.164823181914082,-0.164823181914082,-0.102380952380952,-0.0536231884057971,-0.1,-0.0613154960981048,-0.0536231884057971,-0.0697900723692912,-0.0666666666666667,0.133821185403659,-0.171313153690203,-0.0613154960981048,-0.0666666666666667,-0.205189745796218,0.169736842105263,-0.155725682082234,0.0176237634826765,0.0679344022661985,-0.0878793117246899,0.1,-0.0982793117246899,-0.0846153846153846,0.1,-0.0962735008240003,-0.092948717948718,-0.1,-0.00823459645377454,0.107390648567119,-0.00138528138528139,-0.00138528138528139,-0.0333333333333333,0.0174317617866005,0.0843137254901961,-0.025,-0.0761904761904762,0.0265384615384615,-0.049013949013949,0.0153529411764706,0.00735294117647059,0.025
"Patched",-0.0766666666666667,-0.02,0.0342857142857143,-0.0111111111111111,0,-0.2,0.0634408602150538,0.0333333333333333,-0.0556613756613757,0.1,-0.04,-0.0323076923076923,0,-0.0666666666666667,0.161538461538462,-0.158333333333333,-0.158333333333333,0.237229437229437,-0.05,0.1,-0.025,0.05,0.0611111111111111,0,0.221898101898102,-0.161904761904762,0.0833333333333333,0.1,-0.0446197411003236,0.166666666666667,0.0453584229390681,0.00324904214559387,-0.069848975188781,-0.0566666666666667,-0.1,-0.0666666666666667,-0.0533333333333333,0,-0.058974358974359,-0.0408333333333333,0.1,-0.174038461538462,-0.164285714285714,-0.161538461538462,-0.161538461538462,0.1,-0.0606060606060606,-0.15,0,0.1,0.166666666666667,-0.211355311355311,0.0933333333333334,0.133333333333333,0.233333333333333
"AKT",-0.00940398138475787,0.009197505960022,0.0650255754475703,0.0464648087618525,-0.0666666666666667,0.1,0.0764235467896795,-0.0174317617866005,0.0868903218310677,-0.0843137254901961,0.0653900904624145,0.0679217360320347,-0.1,0.0846153846153846,0.00823459645377454,-0.15660400383189,-0.15660400383189,-0.107796114835826,-0.0613154960981048,-0.0666666666666667,-0.068578065930507,-0.0613154960981048,-0.0679344022661985,-0.0536231884057971,0.132745916586454,-0.166500319465604,-0.0697900723692912,-0.0536231884057971,-0.204432170038643,0.167172739541161,-0.154196630094467,0.0185282860957418,0.0679344022661985,-0.0848490086943868,0.1,-0.0878793117246899,-0.092948717948718,0.0666666666666667,-0.0880028241322709,-0.0834750337381916,-0.1,-0.00269242777907574,-0.00574066456419397,-0.00823459645377454,-0.00823459645377454,-0.0761904761904762,0.00645615203050294,0.107390648567119,-0.00192307692307692,-0.0703081232492997,0.0332051282051282,-0.0421591103042716,0.0145399330463893,0.0153529411764706,0.00735294117647059
"FOXC2",-0.0542453806356245,-0.012054401649078,-0.0652133580705009,-0.0363050108932462,-0.1,0,-0.0529577769608896,0.0166507177033493,0.00933078915087911,-0.12,0.0555080213903743,0.0709719389161475,-0.1,0.0333333333333333,-0.095,-0.146186790505676,-0.146186790505676,-0.0990469109869382,0.0270405836753306,0.0333333333333333,0.00462679057188232,0.0270405836753306,0.0236961020699794,-0.00784313725490196,-0.0939127816539237,-0.163866503866504,0.00530145324054799,-0.00784313725490196,0.143778629339245,0.148148148148148,0.0987913396449982,-0.00887699237390384,-0.00887667492178515,-0.0738550724637681,0.0333333333333333,-0.084,-0.00833333333333333,-0.0333333333333333,-0.0774178762414056,-0.0373655913978495,0.0333333333333333,0.103088235294118,0.0919576719576719,0.095,0.095,-0.04,0.00706062250283628,0.0771428571428571,0.0254545454545455,-0.0672727272727273,-0.0382361349342481,0.104486043426597,0.0537575757575758,0.0630909090909091,0.0590909090909091
"FUS",-0.0713475177304965,-0.01505444646098,0.0511814760268369,0.00222427539951408,0.15,-0.0666666666666667,0.0668550560820798,0.0356060606060606,-0.0545856441639574,0.164285714285714,-0.0171561771561772,-0.0229033035929588,0.1,0.0408333333333333,0.17636404293381,-0.139429309209386,-0.139429309209386,0.233438475567411,-0.0472222222222222,0.05,-0.0376068376068376,0.0611111111111111,0.0555632609030667,-0.025,0.216687894236698,-0.143143012312081,0.069848975188781,0.0833333333333333,-0.0412420936252187,0.141803278688525,0.0511023075189889,0.00525639445815264,-0.0634436956856754,-0.0410394265232975,-0.1,-0.0455555555555556,-0.0463888888888889,0.05,-0.04696607740086,-0.0312373737373737,-0.0533333333333333,-0.182914261274422,-0.148131868131868,-0.17636404293381,-0.17636404293381,0.04,-0.046969696969697,-0.144285714285714,-0.0606060606060606,0.0323076923076923,0.15472334682861,-0.211322840660114,0.0766666666666667,0.0766666666666667,0.0933333333333334
"Ecadherin",-0.0497245849755884,-0.000383921099878908,-0.0536028711791152,-0.0402156254183859,-0.12,-0.0333333333333333,-0.0577046124039276,-0.00706062250283628,-0.00645868453333142,-0.0771428571428571,0.0709719389161475,0.0635209585239907,-0.1,0.00833333333333333,-0.103088235294118,-0.137655984818472,-0.137655984818472,-0.0905933027395156,0.00462679057188232,-0.00784313725490196,0.023293457238549,0.00530145324054799,0.00887667492178515,0.0270405836753306,-0.0980134340304382,-0.161073207777118,0.0236961020699794,0.0270405836753306,0.0582869058728381,0.151945616502579,0.0825092883629469,-0.0251924649807672,-0.0188673378536246,-0.0813611257325332,-0.0333333333333333,-0.0738550724637681,-0.0373655913978495,0.00784313725490196,-0.0646661983890567,-0.0216175599017865,-0.0333333333333333,0.0941496878080841,0.0776719576719577,0.103088235294118,0.103088235294118,-0.0672727272727273,-0.0104114964562715,0.0919576719576719,-0.0166507177033493,-0.0555080213903743,-0.0356045559868797,0.100512533492822,0.0542453806356245,0.0537575757575758,0.0630909090909091
"TGFR",0.0312546437014522,0.0284332365944289,0.0781818181818182,-0.0136602082509556,-0.191666666666667,-0.0866666666666667,0.0361441227048628,-0.196666666666667,-0.100478378263004,-0.177380952380952,0.350075187969925,0.354184777011021,-0.166666666666667,-0.0705747126436782,-0.116666666666667,-0.107241317802174,-0.107241317802174,0.12086711174694,0.0700539083557952,0.1,0.0719893922267629,0.0843396226415094,0.0856554121151936,0.0757142857142857,0.0704350390439208,-0.121274760957742,0.0856554121151936,0.09,-0.145067609517897,0.11347753441575,-0.105715320484986,0.0897854083664276,-0.0853896902374257,0.0912557442175167,-0.1,0.0873411534701857,0.0643247126436782,-0.0857142857142857,0.112107739830827,0.0773190629261641,0.0533333333333333,0.118421052631579,0.171016203298945,0.116666666666667,0.116666666666667,-0.314285714285714,0.187314148681055,0.182644110275689,0.196666666666667,-0.330075187969925,0.38182261208577,0.0241436258106194,-0.0291269841269841,0.0815873015873016,0.0911111111111111
"RKIP",-0.147814864263462,-0.155835543766578,0.0572829131652661,-0.159459298871064,-0.1,-0.1,-0.187267546135708,-0.151515151515152,-0.124571509418708,-0.142857142857143,0.263448275862069,0.274086573734409,-0.1,-0.113333333333333,-0.0964285714285714,-0.106273553323769,-0.106273553323769,0.0625644631973746,0.0466666666666667,0,0.0582051282051282,0.0508771929824561,0.0575205496258128,0.0666666666666667,-0.163398739286655,-0.106335808406892,0.0624156545209177,0.0666666666666667,0.0266772234657975,0.108273553323769,0.0736921795745325,0.136191933321676,-0.0643907786334464,0.0734180446285964,0,0.0803487376979033,0.0853333333333333,0,0.0957413859852884,0.0836939890710382,0.133333333333333,0.0938644688644689,0.121645021645022,0.0964285714285714,0.0964285714285714,-0.26,0.132284382284382,0.142857142857143,0.133333333333333,-0.26,0.29784126984127,-0.0308904649330181,0.158095238095238,0.153333333333333,0.133333333333333
"RAF",-0.147814864263462,-0.155835543766578,0.0572829131652661,-0.159459298871064,-0.1,-0.1,-0.187267546135708,-0.151515151515152,-0.124571509418708,-0.142857142857143,0.263448275862069,0.274086573734409,-0.1,-0.113333333333333,-0.0964285714285714,-0.106273553323769,-0.106273553323769,0.0625644631973746,0.0466666666666667,0,0.0582051282051282,0.0508771929824561,0.0575205496258128,0.0666666666666667,-0.163398739286655,-0.106335808406892,0.0624156545209177,0.0666666666666667,0.0266772234657975,0.108273553323769,0.0736921795745325,0.136191933321676,-0.0643907786334464,0.0734180446285964,0,0.0803487376979033,0.0853333333333333,0,0.0957413859852884,0.0836939890710382,0.133333333333333,0.0938644688644689,0.121645021645022,0.0964285714285714,0.0964285714285714,-0.26,0.132284382284382,0.142857142857143,0.133333333333333,-0.26,0.29784126984127,-0.0308904649330181,0.158095238095238,0.153333333333333,0.133333333333333
"SNAI2",-0.0276261675238657,0.014605923292453,-0.0564358974358974,0.00659451300871328,-0.0666666666666667,0,-0.0443447892718253,0.0464912280701754,0.039974750239063,-0.0916666666666667,0.0529411764705882,0.0705087440381558,-0.1,0.00470588235294118,-0.0693546978939601,-0.105298720369205,-0.105298720369205,-0.0787348713471381,-0.00551856594110115,0.00363636363636364,-0.0349303306469835,-0.00551856594110115,-0.0120765972014936,-0.0463636363636364,-0.0703099372888444,-0.119681636013309,-0.0345508240056173,-0.0463636363636364,0.0414695022064612,0.105384615384615,0.0774041699526029,-0.024488500872201,0.0297784605555308,-0.0519682689438064,0.06,-0.0668008048289738,0.0340696278511404,-0.00363636363636364,-0.0646775165762508,0.00167526165395735,0.06,0.079856980998983,0.0766271984489683,0.0693546978939601,0.0693546978939601,-0.0333333333333333,-0.0153223969013443,0.0537356321839081,-0.00263157894736842,-0.0745098039215686,-0.0498647734956051,0.0776738997238134,0.0245205774617539,0.0322128851540616,0.0274509803921569
"MEK",-0.141975448205068,-0.151331039262074,0.0612302815863187,-0.15616259557436,-0.142857142857143,-0.133333333333333,-0.180216264084426,-0.132284382284382,-0.118833804500675,-0.142857142857143,0.274086573734409,0.189086573734409,-0.1,-0.0853333333333333,-0.0938644688644689,-0.103892600942816,-0.103892600942816,0.0625644631973746,0.0582051282051282,0.0666666666666667,0.0533100233100233,0.0624156545209177,0.0643907786334464,0.0466666666666667,-0.160679074014689,-0.103549430697914,0.0575205496258128,0.0508771929824561,0.0228520868537756,0.106312769010043,0.0805214478672154,0.143004585389803,-0.0584428232431118,0.0760010704588547,0,0.0734180446285964,0.0836939890710382,-0.0666666666666667,0.0921050223489248,0.0751972570448945,0.113333333333333,0.0973565323565324,0.115762668703845,0.0938644688644689,0.0938644688644689,-0.26,0.133014309291682,0.121645021645022,0.151515151515152,-0.263448275862069,0.29784126984127,-0.0326103666529198,0.147814864263462,0.158095238095238,0.153333333333333
"ZEB1",-0.270260074607167,-0.273931567069751,-0.200919055155032,-0.120529457602559,-0.206666666666667,-0.191666666666667,-0.175442361282858,-0.142279411764706,-0.0983550015726496,-0.169824561403509,-0.0987843137254902,-0.0895332124039043,-0.166666666666667,-0.132575757575758,-0.125718574026984,-0.0997741869207607,-0.0997741869207607,-0.0694238023290473,0.0279147681586706,0.0384615384615385,0.0206982733133098,0.0399919067063974,0.0376721667536787,0.0163763066202091,-0.0599775971142493,-0.0459270195139598,0.0323530178175085,0.026266416510319,-0.00744061260005326,0.109316190361751,-0.0169683462548872,-0.00523587449917492,-0.0317034779082775,0.0410345746223768,0,0.0400730361608383,0.120811051693405,-0.0285714285714286,0.0536122081717937,0.119743436035042,0.141666666666667,0.127450857491551,0.150199268663462,0.125718574026984,0.125718574026984,0.116666666666667,0.141452965483714,0.161627840092033,0.152083333333333,0.104666666666667,0.148382066276803,0.0831898933669725,0.275771885630789,0.286431784107946,0.29367816091954
"ERK",-0.138678744908365,-0.146031893962928,0.0687511729512212,-0.156856076850366,-0.142857142857143,-0.113333333333333,-0.180216264084426,-0.133014309291682,-0.123954286428386,-0.121645021645022,0.189086573734409,0.18992222833051,-0.142857142857143,-0.0836939890710382,-0.0973565323565324,-0.0990107111790366,-0.0990107111790366,0.0669547070998136,0.0533100233100233,0.0508771929824561,0.0595756874704243,0.0575205496258128,0.0584428232431118,0.0582051282051282,-0.162370167588533,-0.0993827640312472,0.0643907786334464,0.0624156545209177,0.0285163504995017,0.102436800017795,0.0756456428994142,0.137413963207657,-0.0610122676875563,0.0769129245621981,-0.0666666666666667,0.0760010704588547,0.0751972570448945,-0.0466666666666667,0.0958592885605289,0.0785788995569718,0.0853333333333333,0.0932861253158283,0.111175512740542,0.0973565323565324,0.0973565323565324,-0.263448275862069,0.128305168017443,0.115762668703845,0.132284382284382,-0.274086573734409,0.29784126984127,-0.0365159070707218,0.141975448205068,0.147814864263462,0.158095238095238
