"","PAK1","CDC42","EGR1","miR200","SOSGRB2","SMO","FUS","SHH","ILK","Patched","Csl","KLF4","AKT","SUFU","RAF","DELTA","RAS","Wnt","LIV1","GLI","cMet","SNAI2","SRC","TCFLEF","CD44","ZEB2","STAT","Ecadherin","GSK3","DSH","ZEB1","cateninnuc","cateninmemb","AXIN2","Frizzled","RKIP","PI3K","Csn","Destcompl","HEY1","NFB","SMAD","IKK","SNAI1","Jagged","NOTCH","TrCP","TWIST1","NOTCHic","ERK","MEK","cfos","TGF","TGFR","FOXC2"
"TrCP",-0.180952380952381,-0.178991596638655,-0.16,-0.0653961661575875,-0.0506050605060506,0.022273425499232,0.019047619047619,0.00963145019058997,0.0285714285714286,0.01363145019059,0.0423076923076923,0.0436736924277908,0.0274853801169591,0.019047619047619,0.00579467559381476,0.00579467559381476,-0.00284168804254888,0.1164522417154,0.1,0.10815955878857,0.116736736736737,-0.000414325272497683,0.105925925925926,0.108566586388369,0.107825845647628,-0.0318804190704567,0.08,0.0913418646419459,-0.0220995670995671,-0.08,0.0318804190704567,-0.1131183105263,-0.0606570377323009,-0.0867205750224618,-0.105925925925926,0.0303013561024611,-0.00579467559381476,-0.0333333333333333,-0.135637693819611,-0.0255372313843078,-0.0333333333333333,-0.0292165898617512,-0.0385964912280702,0.0712775630560592,-0.0521174164962508,-0.053956043956044,-0.0333333333333333,0.0459856954639563,-0.0561538461538462,0.152041267501842,0.144041267501842,0.14695652173913,0.178693534045511,0.175961293608352,0.153436802811957
"PAK1",-0.180952380952381,-0.178991596638655,-0.16,-0.0653961661575875,-0.0506050605060506,0.022273425499232,0.019047619047619,0.00963145019058997,0.0285714285714286,0.01363145019059,0.0423076923076923,0.0436736924277908,0.0274853801169591,0.019047619047619,0.00579467559381476,0.00579467559381476,-0.00284168804254888,0.1164522417154,0.1,0.10815955878857,0.116736736736737,-0.000414325272497683,0.105925925925926,0.108566586388369,0.107825845647628,-0.0318804190704567,0.08,0.0913418646419459,-0.0220995670995671,-0.08,0.0318804190704567,-0.1131183105263,-0.0606570377323009,-0.0867205750224618,-0.105925925925926,0.0303013561024611,-0.00579467559381476,-0.0333333333333333,-0.135637693819611,-0.0255372313843078,-0.0333333333333333,-0.0292165898617512,-0.0385964912280702,0.0712775630560592,-0.0521174164962508,-0.053956043956044,-0.0333333333333333,0.0459856954639563,-0.0561538461538462,0.152041267501842,0.144041267501842,0.14695652173913,0.178693534045511,0.175961293608352,0.153436802811957
"EGR1",-0.180952380952381,-0.178991596638655,-0.16,-0.0653961661575875,-0.0506050605060506,0.022273425499232,0.019047619047619,0.00963145019058997,0.0285714285714286,0.01363145019059,0.0423076923076923,0.0436736924277908,0.0274853801169591,0.019047619047619,0.00579467559381476,0.00579467559381476,-0.00284168804254888,0.1164522417154,0.1,0.10815955878857,0.116736736736737,-0.000414325272497683,0.105925925925926,0.108566586388369,0.107825845647628,-0.0318804190704567,0.08,0.0913418646419459,-0.0220995670995671,-0.08,0.0318804190704567,-0.1131183105263,-0.0606570377323009,-0.0867205750224618,-0.105925925925926,0.0303013561024611,-0.00579467559381476,-0.0333333333333333,-0.135637693819611,-0.0255372313843078,-0.0333333333333333,-0.0292165898617512,-0.0385964912280702,0.0712775630560592,-0.0521174164962508,-0.053956043956044,-0.0333333333333333,0.0459856954639563,-0.0561538461538462,0.152041267501842,0.144041267501842,0.14695652173913,0.178693534045511,0.175961293608352,0.153436802811957
"cateninmemb",0.0470909090909091,0.0537575757575758,-0.0309090909090909,0.112282135410627,-0.0428470404140712,-0.00625,0,-0.00847673778680891,-0.0131014492753623,-0.0116263440860215,-0.0496650717703349,0.0394749179559306,-0.00686868686868687,-0.0333333333333333,-0.0116779788838612,-0.0116779788838612,-0.0144712749732467,-0.0263848923691369,-0.0333333333333333,-0.0317182257024702,-0.0272844425940245,-0.0363048213397975,-0.0229366165070679,-0.0321766320008059,-0.0323011650020512,-0.0318371164879022,-0.0392156862745098,0.0471999883311497,0.101673979641177,0.0392156862745098,0.0318371164879022,0.0314296665479581,0.00860283131058784,0.0394948885298164,0.0229366165070679,-0.0640243295138961,0.0116779788838612,0.02,0.100386303505915,0.00363123650924678,-0.0133333333333333,0.0152806260308103,-0.00222222222222222,-0.0652755906748974,0.0351199519857296,0.0556973409613057,0,-0.00438383174498849,0.0486341439352834,0.0416428689563923,0.0381134571916864,0.0426737967914439,-0.0544597325078955,-0.0571722099039172,0.000651404317334509
"SNAI1",-0.178991596638655,-0.175961293608352,-0.14695652173913,-0.0737535148607575,-0.04494468314756,0.01363145019059,0.022273425499232,0.0133207705789395,0.0292165898617512,0.00963145019058997,0.0561538461538462,0.0333933185960151,0.0267909356725146,0.019047619047619,-0.00284168804254888,-0.00284168804254888,-0.00152805914271308,0.10815955878857,0.08,0.10870800485804,0.107825845647628,0.00015557080527637,0.116736736736737,0.1131183105263,0.108566586388369,-0.0315114153804198,0.105925925925926,0.0899891070977211,-0.0216375208949466,-0.105925925925926,0.0315114153804198,-0.1131183105263,-0.0577900256424909,-0.0892846775865644,-0.1164522417154,0.0349038665627121,0.00284168804254888,-0.0333333333333333,-0.136569711363471,-0.026727707574784,-0.0385964912280702,-0.0283555812516651,-0.0274853801169591,-0.0305017963745458,-0.052823298849192,-0.0498744113029827,-0.0333333333333333,0.0481395416178025,-0.053956043956044,0.144041267501842,0.14628341996821,0.152041267501842,0.182725792110027,0.178693534045511,0.160679496585782
"Csl",-0.192888888888889,-0.199340501792115,-0.146666666666667,-0.081434451050228,-0.0459341813513829,0.00652337858220211,0.000641025641025639,-0.00832645456574005,0.0307297019527235,-0.0031540407726366,0.0503225806451613,0.0381573498964803,0.0222222222222222,0.00833333333333333,0.0322332340323345,0.0322332340323345,0.0230420575617462,0.140324836453869,0.12,0.133873223550643,0.140679320679321,0.00530760416050143,0.124195804195804,0.134198560436292,0.133740545169117,-0.0249555608935864,0.0969230769230769,0.0955554813584512,-0.0829630322924444,-0.0969230769230769,0.0249555608935864,-0.139058480390552,-0.0391468409901413,-0.093848322889648,-0.124195804195804,0.0596394372624613,-0.0322332340323345,-0.0222222222222222,-0.164640722383978,0.0736690930552823,-0.0222222222222222,-0.0323963686193902,-0.0338501291989664,0.104218816610121,-0.0759079511211134,-0.0687436332767402,-0.0333333333333333,0.0295380521552737,-0.0687436332767402,0.150952380952381,0.145517598343685,0.13952380952381,0.202104919661173,0.198703559116955,0.163364055299539
"ZEB2",-0.205194805194805,-0.196103896103896,-0.158333333333333,-0.152681189814434,-0.106739926739927,-0.0978571428571429,-0.0892857142857143,-0.0890101362052581,-0.0885311871227364,-0.0881010452961672,-0.0871794871794872,-0.0855780151280352,-0.0781282450674974,-0.075,-0.0629220779220779,-0.0629220779220779,-0.05414263466726,-0.051958041958042,-0.05,-0.0409488676461153,-0.0392982456140351,-0.0388634418224611,-0.0366666666666667,-0.0295955852071493,-0.028187134502924,-0.0232754197097165,-0.01,-0.00502722630848481,5.51519846237969e-05,0.0227272727272727,0.0232754197097165,0.0320631176746818,0.0349106700154181,0.0425036989806345,0.0493939393939394,0.0561996779388084,0.0629220779220779,0.0666666666666667,0.0757715606013182,0.0789882697947214,0.0791666666666667,0.0885311871227364,0.0902777777777778,0.0936792341298505,0.0968513286966499,0.0985018915510719,0.1,0.102292324541551,0.104512820512821,0.119114318053197,0.123992366833685,0.132017543859649,0.197388854531712,0.199505256648114,0.202040404040404
"TGF",0.22,0.231111111111111,0.1,0.169086421241594,0.0592105263157895,0.0466666666666667,0.0466666666666667,0.0476364942528736,0.0357575757575758,0.0570114942528736,0.106666666666667,0.0287312484108823,0.107644110275689,0.0666666666666667,0,0,-0.0142857142857143,-0.0842857142857143,0,-0.0899460916442048,-0.103333333333333,0.0419678368625577,-0.133333333333333,-0.120835815954982,-0.108993710691824,-0.0196403393199732,-0.1,-0.088846873386226,0.156670704811605,0.1,0.0196403393199732,0.116051126959766,0.0513841726798332,0.0896825396825397,0.114285714285714,-0.160606060606061,0,-0.166666666666667,0.0119930428580846,-0.0172791747259832,-0.116666666666667,-0.0389833822091887,-0.102380952380952,-0.192104259376987,-0.0147643593519882,-0.100459770114943,-0.2,-0.197777777777778,-0.0866666666666667,-0.116541353383459,-0.105430242272348,-0.142857142857143,-0.322777777777778,-0.226349206349206,-0.31360248447205
"TGFR",0.231111111111111,0.226349206349206,0.142857142857143,0.158235981358896,0.0703216374269006,0.0570114942528736,0.0466666666666667,0.0515912965127606,0.0389833822091887,0.0476364942528736,0.0866666666666667,0.0180169626965966,0.107644110275689,0.0466666666666667,-0.0142857142857143,-0.0142857142857143,-0.0230576441102757,-0.0899460916442048,-0.1,-0.102204156160334,-0.108993710691824,0.0456715405662614,-0.103333333333333,-0.116051126959766,-0.120835815954982,-0.0169988298860109,-0.133333333333333,-0.0942983214271119,0.165228162024319,0.114285714285714,0.0169988298860109,0.114013925896879,0.0532317477375699,0.0935452006267457,0.0842857142857143,-0.152034632034632,0.0142857142857143,-0.116666666666667,0.0138075589871169,-0.0247418612931474,-0.102380952380952,-0.0379157665508257,-0.107644110275689,-0.194169156132149,-0.00969189558387228,-0.0983014967336476,-0.166666666666667,-0.183898774219059,-0.100459770114943,-0.105430242272348,-0.0958412011764571,-0.116541353383459,-0.315685579196218,-0.322777777777778,-0.303558816349779
"TCFLEF",-0.335897435897436,-0.340548598688134,0.0471428571428571,-0.183470853109407,-0.0105112851220636,-0.0971428571428571,-0.106666666666667,-0.103050238896271,0.0665465178096757,-0.0987557603686636,0.0360752431053722,0.0157642602495544,-0.0787782554051839,-0.1,0.124852826524307,0.124852826524307,0.122356111675424,0.235216189039718,0.233333333333333,0.234595071027296,0.240363247863248,0.0466273396307486,0.225833333333333,0.136870628614939,0.239734317045638,-0.0103936292752082,0.220833333333333,0.133441573493199,-0.191998614730592,-0.215686274509804,0.0103936292752082,-0.139276126896726,-0.0617116596905515,-0.0939965811965812,-0.220686274509804,0.221166827386692,-0.124852826524307,0.105194805194805,-0.149348665593571,-0.0540358422939068,0.0851948051948052,-0.0663553132207656,0.0755173858399665,0.240766813381876,-0.182596182712187,-0.0475728654101081,0.114285714285714,-0.0234915700019676,-0.0439183803602742,-0.0320905923344948,-0.0348116807698689,-0.0349477351916376,0.338289515937623,0.339614019248881,0.220894424917465
"RAF",-0.0333333333333333,-0.0133333333333333,0.01,0.0198408962691543,-0.0452698412698413,0.0866666666666667,0.0666666666666667,0.0923060109289618,0.0687205819426615,0.0906666666666667,0.144444444444444,0.0200860832137733,0.123051948051948,0.1,0.0733766233766234,0.0733766233766234,0.0588467088467088,-0.123333333333333,0,-0.123333333333333,-0.128070175438597,-0.103313224922772,-0.133333333333333,-0.132965280333701,-0.128070175438597,-0.00808608321377332,-0.1,-0.106635957274486,0.150039401103231,0.1,0.00808608321377332,0.131184109850241,0.0572680243268479,0.0975621190811064,0.133333333333333,-0.0766106442577031,-0.0733766233766234,-0.2,0.241688243241548,-0.048586914440573,-0.157142857142857,-0.0677304829327605,-0.132142857142857,-0.0549047241872195,-0.0389400921658986,-0.113325563325563,-0.2,0.101440879382056,-0.117171717171717,-0.0910344827586207,-0.0931621423330888,-0.06,-0.0188874054294615,-0.0104761904761905,-0.00922487474211612
"NFB",-0.0888888888888889,-0.0843434343434343,-0.0428571428571429,0.0119654639331508,-0.0918089340999558,0.108888888888889,0.12,0.113541984028066,0.0950495049504951,0.112337164750958,-0.0584415584415584,0.000824175824175823,0.0391934791934792,0.12,0.00607602055162189,0.00607602055162189,0.0125436822431642,-0.0851282051282051,-0.1,-0.0817574186113512,-0.0851282051282051,-0.0777403447550457,-0.0743589743589744,-0.0801936417297928,-0.082303346371143,-0.00723711577795062,-0.0666666666666667,-0.0806643713718723,0.00932557638439991,0.0666666666666667,0.00723711577795062,0.0818407005533222,0.0661967187999705,0.0757345491388045,0.0743589743589744,-0.0208701134930643,-0.00607602055162189,0.0571428571428571,-0.0889750235670843,-0.0981203007518797,-0.0428571428571429,-0.0946777577385991,-0.0347490347490347,-0.0270308984086041,-0.00823805060918463,0.0683135502490341,0.1,0.179794584500467,0.0663780663780664,0.0321904761904762,0.028922502334267,0.0388571428571429,0.0854776115586242,0.0867434343434343,0.111007628935916
"IKK",-0.1,-0.0888888888888889,0,0.0140802675585284,-0.0907563025210084,0.12,0.12,0.112337164750958,0.1,0.108888888888889,-0.0727272727272727,0.00659340659340659,0.0347490347490347,0.1,0.00889292196007259,0.00889292196007259,0.00607602055162189,-0.0743589743589744,-0.1,-0.0851282051282051,-0.0743589743589744,-0.0773338406900051,-0.0666666666666667,-0.082303346371143,-0.0851282051282051,-0.00302255639097744,-0.1,-0.0798618031535738,0.0101098901098901,0.1,0.00302255639097744,0.0801936417297928,0.0631344167936347,0.0785714285714286,0.0666666666666667,-0.0183060109289617,-0.00889292196007259,0.1,-0.0876461199125993,-0.105263157894737,0.0571428571428571,-0.0950495049504951,-0.0428571428571429,-0.0251130901894261,-0.00823805060918463,0.0663780663780664,0.2,0.183921568627451,0.0584415584415584,0.0388571428571429,0.0321904761904762,0.0428571428571429,0.0867434343434343,0.0843434343434343,0.10981240981241
"SHH",-0.2,-0.233333333333333,0,-0.2,-0.1,-0.1,0,-0.146666666666667,0.0666666666666667,-0.0666666666666667,0.1,0,-0.05,0,-0.05,-0.05,-0.0269230769230769,0.2,0,0.3,0.1,0.0498850574712644,0.1,0.22,0.2,0,0.1,0.102222222222222,-0.256410256410256,-0.2,0,-0.214444444444444,0.105232974910394,-0.0761904761904762,-0.2,0.18,0.05,0,-0.261558441558442,-0.0666666666666667,0,-0.0666666666666667,0.1,0.2,-0.191428571428571,-0.0333333333333333,0,0,0,0.1,0.16,0.1,0.353333333333333,0.333333333333333,0.225
"Patched",-0.233333333333333,-0.333333333333333,-0.1,-0.2,-0.133333333333333,-0.0666666666666667,-0.1,-0.171666666666667,0.0666666666666667,-0.146666666666667,0,0.0111111111111111,-0.00714285714285715,0,-0.0269230769230769,-0.0269230769230769,-0.0269230769230769,0.3,0.1,0.3125,0.2,0.0538850574712644,0.1,0.214444444444444,0.22,0,0.1,0.109018338727077,-0.265934065934066,-0.2,0,-0.223182308522114,0.0913440860215054,-0.0761904761904762,-0.2,0.18,0.0269230769230769,0,-0.264855144855145,-0.058974358974359,0.1,-0.0766666666666667,0.05,0.22258064516129,-0.202539682539683,-0.096969696969697,0,-0.0111111111111111,-0.0333333333333333,0.16,0.167692307692308,0.1,0.353333333333333,0.353333333333333,0.205
"SOSGRB2",-0.0642857142857143,-0.0442857142857143,0.0476190476190476,0.00730010217210323,-0.105,0.183333333333333,0.166666666666667,0.188361617431385,0.163225806451613,0.186036036036036,0.172727272727273,0.00491228070175439,0.150073099415205,0.2,-0.0403013182674199,-0.0403013182674199,-0.0505577285238302,-0.142857142857143,0,-0.150103519668737,-0.147204968944099,-0.106581535496768,-0.142857142857143,-0.160767135229378,-0.154451345755694,0.00223057644110276,-0.1,-0.118410473170505,-0.00515098116781146,0.1,-0.00223057644110276,0.157899066395726,0.0511914901914902,0.116061606160616,0.142857142857143,0.0171052631578947,0.0403013182674199,-0.2,0.274275798772443,-0.145075757575758,-0.188888888888889,-0.161127904353711,-0.162573099415205,-0.0143049040511727,-0.124402487482102,-0.132098887028464,-0.1,0.0771014492753623,-0.141958041958042,-0.0938652938652939,-0.105986505986506,-0.0587301587301587,0.00915205362013872,0.0212087912087912,0.0186446886446886
"SUFU",-0.353333333333333,-0.361441441441441,-0.167692307692308,-0.212445727655915,-0.105618942461048,-0.171666666666667,-0.171666666666667,-0.174131469131469,0.0744342037890425,-0.170656565656566,0.096969696969697,0.00622252762235093,-0.0105987167195221,-0.146666666666667,-0.0270550968276164,-0.0270550968276164,-0.0242069955617936,0.314636752136752,0.2,0.322443443586566,0.223182308522114,0.0605404427998555,0.214444444444444,0.2315163229059,0.230701105514596,0.00322210216509713,0.22,0.111070115437443,-0.270401657968245,-0.3125,-0.00322210216509713,-0.231976680962166,0.0963988374465554,-0.0816822268022897,-0.306944444444444,0.188855693480141,0.0270550968276164,0.00714285714285715,-0.274156535500423,-0.064092970064683,0.0191428571428571,-0.0760508319645621,0.0152967032967033,0.224271365485291,-0.211872023781133,-0.103318903318903,0.05,-0.00773140137111321,-0.096969696969697,0.163512579374648,0.164789175119329,0.164662004662005,0.364316089978938,0.365696760590378,0.214753414725313
"MEK",0.0133333333333333,-0.0104761904761905,-0.06,-0.0108625680957797,0.043047619047619,-0.0906666666666667,-0.0866666666666667,-0.0916524161577199,-0.0677304829327605,-0.0923060109289618,-0.117171717171717,-0.00636059301769488,-0.121875477463713,-0.0666666666666667,-0.0588467088467088,-0.0588467088467088,-0.0515451215451215,0.123333333333333,0.1,0.128228438228438,0.128070175438597,0.104529769934937,0.128070175438597,0.131184109850241,0.132965280333701,0.00491148003917014,0.133333333333333,0.10900389898669,-0.150285101348931,-0.133333333333333,-0.00491148003917014,-0.130068868214553,-0.0572680243268479,-0.100264821783809,-0.123333333333333,0.0674001179419136,0.0588467088467088,0.157142857142857,-0.243571088429832,0.0522232780769366,0.132142857142857,0.0673614792427236,0.123051948051948,0.0516995959820913,0.0356614036413085,0.112595636318264,0.2,-0.106935384876561,0.113325563325563,0.0931621423330888,-0.00517119100024456,0.0910344827586207,0.017427551414863,0.0188874054294615,0.00742307294031432
