"","ZEB2","TGF","PAK1","TGFR","SRC","AXIN2","TCFLEF","Destcompl","GLI","Ecadherin","CD44","cateninnuc","cMet","FUS","PI3K","STAT","Jagged","NOTCHic","NOTCH","RKIP","SMO","SMAD","SOSGRB2","Csl","SHH","cfos","Csn","Patched","ZEB1","TrCP","SUFU","LIV1","EGR1","IKK","NFB","ERK","GSK3","SNAI1","KLF4","AKT","MEK","ILK","HEY1","miR200","TWIST1","RAS","RAF","DELTA","DSH","Wnt","cateninmemb","FOXC2","Frizzled","CDC42","SNAI2"
"CDC42",-0.091921288289327,0.235803412274,0.114285714285714,0.232773109243697,-0.02,-0.0264367816091954,-0.0208136849721008,-0.0236702752732454,-0.01317738791423,0.0402138260441796,-0.0128928928928929,-0.0237766479350638,-0.0237037037037037,0.0761904761904762,0.0552287581699346,0,0.0551388888888889,0.041025641025641,0.0425641025641026,0.181678321678322,0.0428571428571429,0.0746543778801843,0.136111111111111,0.0333333333333333,0.0537691301132161,0,0.0333333333333333,0.0525345622119816,0.337630193320266,0,0.0333333333333333,0.1,-0.02,-0.0583333333333333,0.0333333333333333,-0.00434782608695652,0.0454626623376623,0.163743766781741,0.0816507936507937,-0.0635964912280702,-0.0263817243920413,-0.0714285714285714,-0.0710144927536232,0.234534419828538,-0.108900432900433,-0.0418141240235932,-0.0552287581699346,-0.0552287581699346,0,0.0237037037037037,0.0172528256863847,0.0193659902985584,0.02,-0.219047619047619,-0.196347205106329
"SNAI1",-0.0910970613975404,0.239172441006593,0.232773109243697,0.236349860361432,-0.0128928928928929,-0.0317497076768384,-0.0210180272454086,-0.0226834331679822,-0.022871060719331,0.0368541480847299,-0.0237766479350638,-0.023237954968692,-0.0208136849721008,0.0525345622119816,0.0454504876599568,-0.0237037037037037,0.0502814367055616,0.0436630036630037,0.0457038199895343,0.191972133370686,0.0537691301132161,0.0772048679012136,0.136626709840795,0.0425641025641026,0.0558468000161288,0.0263817243920413,0.0583333333333333,0.0517691301132161,0.345036370275926,0.0333333333333333,0.0428571428571429,0.02,-0.00434782608695652,-0.0580409356725146,0.0635964912280702,-0.0170483910587079,0.0473120472761562,0.0685212831526976,0.0946838358856131,-0.0670687134502924,-0.0215326959914434,-0.0765898617511521,-0.079277798075752,0.23700471147509,-0.118745471919385,-0.0470925237847516,-0.0454504876599568,-0.0454504876599568,0.0237037037037037,0.0204944610849617,0.0141417398809984,0.0245747709146037,0.01317738791423,-0.235803412274,-0.195819864825449
"NOTCH",-0.0871175523349436,0.21678853046595,0.2,0.207111111111111,0,-0.0490296495956873,-0.0024975024975025,-0.0518980983653881,-0.0167832167832168,0.0339717034521788,-0.0167832167832168,-0.00698729841586985,-0.00769230769230769,0.0333333333333333,0.0509090909090909,-0.1,0.0351707551707552,0.108571428571429,0.0182488479262673,0.174624226348364,0.0833333333333333,0.0714285714285714,0.133684210526316,0.08,0.0507541478129713,0.02,0,0.0448717948717949,0.321578099838969,0,0,0,0,-0.0222222222222222,0.0333333333333333,0.0133333333333333,-0.00579937304075235,0.145384615384615,0.101932367149758,-0.0444444444444444,0.0204761904761905,-0.0714285714285714,-0.171014492753623,0.214805194805195,-0.11464406779661,-0.0668511198945982,-0.0509090909090909,-0.0509090909090909,0.1,0.00769230769230769,0.0208177671454716,0.0140816326530612,0,-0.211111111111111,-0.148178074648663
"miR200",-0.0756496415770609,0.217795257637939,0.2,0.213725490196078,0.0878260869565217,0.111886059505341,0.0835383128713114,0.120940307764222,0.0822801423928184,0.201756180112813,0.0779827573157558,0.0830837674167659,0.0836007348438457,0.0925,-0.0540566398775354,0.04,0.132724270758411,0.130837438423645,0.134792240683532,0.145016727450925,0.125833333333333,0.135484149661751,0.094829142488717,0.117044334975369,0.11155155017428,0.0957142857142857,0.12,0.109377637130802,0.301164874551971,0.1,0.08,-0.1,-0.0857142857142857,-0.116691729323308,0.125263157894737,-0.0911688311688312,-0.00520803759524022,0.124180264180264,0.0841614906832298,-0.126125691587459,-0.0877674706246135,-0.135170670037927,-0.148361581920904,0.144438956992092,-0.0331026642069587,0.0473234727952411,0.0540566398775354,0.0540566398775354,-0.04,-0.0877746478873239,-0.0973115995198876,0.0208303349766764,-0.092,-0.213725490196078,-0.165729118452153
"SNAI2",-0.0699639186070904,-0.0642096749513629,-0.0509803921568627,-0.0617252029016735,-0.0748051948051948,-0.119412442031874,-0.0607745214624,-0.174557864164235,-0.0637334165420329,-0.253977705760698,-0.0642796761015752,-0.0595322854375553,-0.0621291384671666,0.08,0.150253186659682,-0.0890909090909091,-0.0713542864432034,-0.140350877192982,-0.135156071998177,-0.153064102564103,0.0858823529411765,-0.0104226635731454,0.0834685598377282,-0.13859649122807,0.0672275670831713,-0.172549019607843,-0.133333333333333,0.0756782713085234,-0.183821900566394,-0.1,0.1,0.08,0.166666666666667,0.150574712643678,-0.133333333333333,0.182352941176471,-0.173835517279247,-0.139369128451921,0.0646153846153846,0.151779531920787,0.190461049284579,0.00898725687458082,0.026416515973478,-0.179004661015607,-0.032576746144637,-0.152536291682513,-0.150253186659682,-0.150253186659682,0.0890909090909091,0.0621291384671666,0.143730407523511,-0.131706639673034,0.0748051948051948,0.0557422969187675,0.350680210489668
"ZEB1",-0.0609214914197717,0.302039429543792,0.29367816091954,0.300858327181587,-0.00631644777986242,0.093556883215747,0.00252098790363084,0.106354008442214,0.0112017728311417,0.147281461183445,0.0065103496057585,0.00242314054550951,-0.000434094838685946,0.216666666666667,-0.0398440051149312,0.0205128205128205,0.196693332708866,0.204289215686275,0.204289215686275,0.252579232501863,0.203030303030303,0.250675612476807,0.142456140350877,0.20625,0.21622547433726,0.146666666666667,0.233333333333333,0.218716577540107,0.391279607449023,0.233333333333333,0.191666666666667,0.0333333333333333,-0.166666666666667,-0.242824273799252,0.228070175438596,-0.150196078431373,-0.00567964604463504,0.236981777813166,0.055697167537834,-0.238538559513538,-0.156804007946791,-0.249714074015269,-0.267325688128797,0.313037848170237,-0.122002601999746,0.0459857373983957,0.0398440051149312,0.0398440051149312,-0.0238095238095238,-0.00467256320914857,-0.0274929676297724,0.0656085792525741,0.00301974448315912,-0.292228885557221,-0.15814020489793
"GSK3",-0.05708996846032,0.345132244920156,0.344347826086957,0.346670706458617,-0.208270676691729,-0.240846182456386,-0.199878086676416,0.214325627157672,-0.202604133344831,-0.0120193018710335,-0.202994738501884,-0.197312297202732,-0.199661405168551,0.0725108225108225,-0.157392085417975,-0.211842105263158,-0.0460484752817399,0.0802569979040567,0.080516738163797,0.271482815430184,0.088639854768887,0.0605154844488203,0.195395933240516,0.0837535014005602,0.0848854883732549,0.151328976034858,0.140833333333333,0.086799363971341,0.36014281360217,0.153333333333333,0.0772727272727273,0.175,-0.143921568627451,-0.151537356321839,0.159583333333333,-0.153584615132603,0.203766904871777,0.237087967644085,0.0537596110110835,-0.146409151193634,-0.141652796950785,-0.0600657093363765,-0.0673843375903614,0.279022003933337,-0.269872602322319,0.151299648443185,0.157392085417975,0.157392085417975,0.211842105263158,0.199773944665586,-0.0944131872993552,0.054709827096608,0.208270676691729,-0.349109730848861,0.0123562965214293
"AKT",-0.0536598288010269,0.242458606226368,0.230882352941176,0.244573409851746,-0.219323671497585,-0.250019941550627,-0.215793247701566,0.23053398562687,-0.212757276998229,-0.0628812961580829,-0.212700464196411,-0.212254786163104,-0.217785209959123,0.0833333333333333,-0.189529739666726,-0.188888888888889,-0.0470483327524108,0.1,0.0963414634146341,0.262388634383519,0.0833333333333333,0.065295037611004,0.175854700854701,0.1,0.0951169590643275,0.146778711484594,0.0666666666666667,0.0972222222222222,0.356829796571441,0.0333333333333333,0.05,0.2,-0.176190476190476,-0.0787330316742081,0.0607843137254902,-0.158254121320659,0.314634633586247,0.231365672635696,0.0423920377867746,-0.171662324603501,-0.16205158967509,-0.0629381352541016,-0.0698931518079833,0.279544664766458,-0.162064564262999,0.193144197498051,0.189529739666726,0.189529739666726,0.188888888888889,0.217785209959123,-0.0652518108402231,0.161016321291032,0.219323671497585,-0.238882352941176,0.07874582180143
"RAS",-0.0463070692194404,-0.0551077460687245,-0.06,-0.0541176470588235,0.15,0.170144927536232,0.144169635120824,-0.0688666613085218,0.144852941176471,0.112285430641295,0.147246558197747,0.139920343336122,0.132352941176471,-0.1,-0.0369230769230769,0.1,-0.0759944805834812,0.0947368421052632,0.104170804369414,0.0839937106918239,-0.133333333333333,-0.136116264687693,-0.211688311688312,0.1,-0.140248587570621,0.21,0.1,-0.145333333333333,-0.0957547864506627,0,-0.1,0,-0.16,-0.0466666666666667,0.0666666666666667,-0.183684210526316,-0.0730490956072351,-0.0562340216322517,0.0432142857142857,-0.0688888888888889,-0.217017543859649,0.132034632034632,0.0357707509881423,-0.0937538461538462,0.0186906710310966,-0.0457692307692308,0.0369230769230769,0.0369230769230769,-0.1,-0.132352941176471,-0.0213595128703968,-0.0803174603174603,-0.15,0.06,-0.320361209262556
"PI3K",-0.0461255822256845,0.244573409851746,0.225,0.238882352941176,-0.188888888888889,-0.250380952380952,-0.212700464196411,0.233759792078483,-0.217785209959123,-0.0674267507035375,-0.217785209959123,-0.215793247701566,-0.219323671497585,0.05,-0.197748917748918,-0.2,-0.0490350877192982,0.1,0.1,0.272947640594699,0.0833333333333333,0.0629381352541016,0.158076923076923,0.1,0.0972222222222222,0.176190476190476,0.0333333333333333,0.0833333333333333,0.35751472807829,0,0,0.1,-0.133333333333333,-0.0607843137254902,0.0666666666666667,-0.146778711484594,0.320683020683021,0.232117552334944,0.0449561403508772,-0.0787330316742081,-0.158254121320659,-0.0653381352541016,-0.0721487909057276,0.280614183483036,-0.167874961816516,0.189529739666726,0.197748917748918,0.197748917748918,0.2,0.219323671497585,-0.0629072644589795,0.167031358885017,0.188888888888889,-0.230882352941176,0.0796503444144954
"ILK",-0.0461255822256845,0.244573409851746,0.225,0.238882352941176,-0.188888888888889,-0.250380952380952,-0.212700464196411,0.233759792078483,-0.217785209959123,-0.0674267507035375,-0.217785209959123,-0.215793247701566,-0.219323671497585,0.05,-0.197748917748918,-0.2,-0.0490350877192982,0.1,0.1,0.272947640594699,0.0833333333333333,0.0629381352541016,0.158076923076923,0.1,0.0972222222222222,0.176190476190476,0.0333333333333333,0.0833333333333333,0.35751472807829,0,0,0.1,-0.133333333333333,-0.0607843137254902,0.0666666666666667,-0.146778711484594,0.320683020683021,0.232117552334944,0.0449561403508772,-0.0787330316742081,-0.158254121320659,-0.0653381352541016,-0.0721487909057276,0.280614183483036,-0.167874961816516,0.189529739666726,0.197748917748918,0.197748917748918,0.2,0.219323671497585,-0.0629072644589795,0.167031358885017,0.188888888888889,-0.230882352941176,0.0796503444144954
"TCFLEF",-0.0406061935140882,0.342358959522447,0.335897435897436,0.343352337005891,-0.0633333333333333,0.2863663003663,-0.165558115834327,0.243180310006333,-0.0692953167889229,-0.107525485663638,-0.0633817126269956,-0.163496260164224,-0.0658974358974359,-0.0466666666666667,-0.193922745076175,-0.0333333333333333,0.0343383389576711,0.194898772517137,0.188586480158333,0.271323414611746,-0.0419047619047619,0.0182673591098669,-0.0630179640718563,0.200781125458313,-0.0303868517523772,0.293867595818815,0.133766233766234,-0.0322273425499232,0.362488437001595,0.142857142857143,-0.0666666666666667,0.0333333333333333,-0.291428571428571,-0.155443653121072,0.145766233766234,-0.306248548199768,0.201028965253801,0.241633218013971,0.0327715176979883,-0.146748000947159,-0.30284718765555,-0.0165465178096757,-0.0561863799283154,0.286680835897703,-0.159710245368272,0.193265714852784,0.193922745076175,0.193922745076175,0.0392156862745098,0.0717797888386124,0.0357262011813296,0.17205879046663,0.0692156862745098,-0.340548598688134,0.272160148014663
"cMet",-0.0344877344877345,-0.109539007092199,-0.153333333333333,-0.111666666666667,0.2,0.111587301587302,0.0777459749552773,0.147186909161699,0.0845454545454545,0.20038423054855,0.0869767441860465,0.0771810032038649,0.08,-0.15,-0.228571428571429,0.2,-0.162576264315395,0.0729323308270677,0.0750599904015358,0.127037037037037,-0.19,-0.212366522366522,-0.45047619047619,0.0571428571428571,-0.205340909090909,0.295,0.1,-0.199090909090909,-0.146464646464646,0,-0.1,-0.1,-0.275,-0.0533333333333333,0.0333333333333333,-0.335,0.164362519201229,-0.0791257805530776,0.125396825396825,-0.0658333333333333,-0.376818181818182,0.208730158730159,0.158926728586171,-0.135712148660518,0.0637609581429806,0.253099730458221,0.228571428571429,0.228571428571429,-0.1,-0.08,-0.137446847340086,-0.0729957805907173,-0.1,0.128333333333333,-0.317369702479192
"SUFU",-0.0292629321365798,0.39446865221006,0.37,0.39308798159862,0.0655555555555556,0.215348648860581,0.0514860384216486,0.337693212113782,0.148505465001748,0.0995303129019542,0.0555621253781703,0.0525602072196026,0.0645846817691478,-0.200833333333333,-0.251692725625142,0.0933333333333333,0.0799203994653727,0.219545454545455,0.219545454545455,0.289730228861304,-0.189722222222222,0.0363663647683613,0.144853392221813,0.224090909090909,-0.174660407160407,0.188904428904429,0.114285714285714,-0.176590909090909,0.397628834104663,0.1,-0.213333333333333,-0.1,-0.167692307692308,-0.153824175824176,0.142285714285714,-0.206145808214774,0.336532566113887,0.268749279437025,0.031409312522496,-0.154495316763773,-0.208273467789242,-0.0333640552995392,-0.0441201020038108,0.331833302417075,-0.105490537098715,0.248211712966914,0.251692725625142,0.251692725625142,-0.1875,-0.157799145299145,0.0199422799121244,0.189959311515719,-0.159722222222222,-0.383513513513514,-0.230104306467812
"CD44",-0.0253968253968254,-0.111666666666667,-0.133333333333333,-0.128333333333333,0.2,0.11,0.0869767441860465,0.145159882134672,0.08,0.194022907393334,0.08,0.0777459749552773,0.2,-0.1,-0.242857142857143,0.1,-0.158228438228438,0.0571428571428571,0.0729323308270677,0.123333333333333,-0.15,-0.208730158730159,-0.457142857142857,0.1,-0.199090909090909,0.275,0,-0.19,-0.155555555555556,0.1,-0.1,-0.1,-0.2,-0.0333333333333333,0.1,-0.295,0.15952380952381,-0.0842105263157895,0.13015873015873,-0.0533333333333333,-0.335,0.194444444444444,0.149122807017544,-0.140399648660518,0.0626373626373626,0.228571428571429,0.242857142857143,0.242857142857143,0,-0.1,-0.132820512820513,-0.0666666666666667,-0.1,0.153333333333333,-0.314449994449994
"SHH",-0.025,0.353333333333333,0.2,0.333333333333333,0.1,0.247619047619048,0.0933333333333333,0.331168831168831,0.2,0.103055555555556,0.1,0.0655555555555556,0.1,0,-0.2,0.1,0.0942857142857143,0.2,0.2,0.22,-0.1,0.0166666666666667,0.1,0.1,-0.213333333333333,0.1,0,-0.133333333333333,0.325,0,0,0,0,-0.1,0,-0.1,0.305128205128205,0.233333333333333,0,-0.1,-0.16,0,0,0.283333333333333,-0.05,0.238461538461538,0.2,0.2,-0.2,-0.2,0.0498924731182796,0.175,-0.2,-0.233333333333333,-0.241455938697318
"Patched",-0.025,0.37,0.233333333333333,0.353333333333333,0.1,0.247619047619048,0.0655555555555556,0.336663336663337,0.1875,0.102084681769148,0.0933333333333333,0.0645846817691478,0.1,-0.1,-0.238461538461538,0.1,0.097989417989418,0.2,0.209090909090909,0.248571428571429,-0.133333333333333,0.0266666666666667,0.133333333333333,0.2,-0.200833333333333,0.1,0,-0.213333333333333,0.358333333333333,0,0,-0.1,-0.1,-0.1,0.1,-0.16,0.328937728937729,0.255913978494624,0.0333333333333333,-0.114285714285714,-0.167692307692308,-0.0166666666666667,-0.0230769230769231,0.297619047619048,-0.0685185185185185,0.250961538461538,0.238461538461538,0.238461538461538,-0.2,-0.2,0.0248924731182796,0.195,-0.2,-0.333333333333333,-0.232122605363985
"FUS",-0.0229827388998648,0.39308798159862,0.353333333333333,0.383513513513514,0.0933333333333333,0.223545370172057,0.0555621253781703,0.340191883033506,0.157799145299145,0.0990153798432518,0.0645846817691478,0.0514860384216486,0.0655555555555556,-0.213333333333333,-0.24863595706619,0.1,0.0849085229808121,0.224090909090909,0.219545454545455,0.287689412534773,-0.200833333333333,0.0333640552995392,0.135762483130904,0.209090909090909,-0.176590909090909,0.167692307692308,0.1,-0.189722222222222,0.392314824442827,0.1,-0.133333333333333,-0.1,-0.16,-0.142285714285714,0.114285714285714,-0.188904428904429,0.338074982566329,0.26687534417297,0.0284153005464481,-0.153824175824176,-0.206145808214774,-0.0314285714285714,-0.0417104634495939,0.328487577510011,-0.100748269057478,0.251692725625142,0.24863595706619,0.24863595706619,-0.2,-0.159722222222222,0.0232164954646483,0.193185117967332,-0.1875,-0.37,-0.231224939295762
"MEK",-0.0201656532531712,-0.17202524696351,-0.153333333333333,-0.168375611927014,0.0263157894736842,0.0318837825166939,0.0360766393108699,-0.30175490136865,0.0359440559440559,-0.168105300786473,0.0322598454177402,0.0370060073406097,0.0301619433198381,0.133333333333333,0.291783216783217,0,0.144015280135823,-0.00462315462315462,-0.00535308163045389,-0.383034792864514,0.137333333333333,0.139172229658722,0.248063492063492,-0.0161616161616162,0.125868638165649,-0.437931034482759,0.0142857142857143,0.129136612021858,-0.127035458085673,0,0.133333333333333,0,0.4,0.0201839826839827,-0.0232142857142857,0.457079970652971,-0.36463678378572,-0.247148179118108,0.0240554758488761,0.0237133944486886,0.368746637319638,-0.138065218588611,-0.140303382254602,-0.104882408027234,0.171425698484522,-0.290830835830836,-0.291783216783217,-0.291783216783217,0,-0.0338461538461538,0.157080802877073,-0.0376705618084928,-0.03,0.158095238095238,0.388443756224716
"SMO",-0.0199152542372881,0.383513513513514,0.333333333333333,0.37,0.1,0.230377668308703,0.0645846817691478,0.342089693252484,0.159722222222222,0.0965496264185943,0.0655555555555556,0.0555621253781703,0.0933333333333333,-0.133333333333333,-0.250961538461538,0.1,0.0837037037037037,0.209090909090909,0.224090909090909,0.276349206349206,-0.213333333333333,0.0314285714285714,0.128070175438597,0.2,-0.189722222222222,0.16,0.1,-0.200833333333333,0.376977401129943,0,-0.1,-0.1,-0.1,-0.114285714285714,0.1,-0.167692307692308,0.335733845442583,0.267818740399386,0.0333333333333333,-0.142285714285714,-0.188904428904429,-0.0266666666666667,-0.0373626373626374,0.3166063893912,-0.0949891067538126,0.24863595706619,0.250961538461538,0.250961538461538,-0.2,-0.1875,0.0248924731182796,0.198448275862069,-0.2,-0.353333333333333,-0.232122605363985
