"","SNAI2","Destcompl","cateninnuc","GLI","TCFLEF","CD44","cateninmemb","LIV1","TWIST1","RAS","PI3K","DELTA","GSK3","PAK1","FOXC2","IKK","RKIP","Patched","SHH","SMO","FUS","NFB","MEK","SNAI1","Csl","SOSGRB2","NOTCHic","HEY1","TrCP","SUFU","SMAD","NOTCH","ILK","Csn","ERK","cfos","Jagged","AKT","EGR1","ZEB2","Ecadherin","TGF","TGFR","CDC42","AXIN2","RAF","KLF4","miR200","STAT","cMet","ZEB1","DSH","Wnt","SRC","Frizzled"
"STAT",0.0318198985240922,0.188927512086831,0.135755298840061,0.131865928189458,0.134444214215508,0.130343267843268,0.114656890392853,0,0.0685432175687048,0.140887220226411,0.134170802315964,0.134170802315964,0.125700934579439,0.0272727272727273,-0.00237218813905931,0.105714285714286,-0.0730003217503218,-0.0573255813953488,-0.0387415105988887,-0.055,-0.075,0.12,-0.172612270714738,-0.00631573120909741,-0.0509803921568627,0.10307881773399,-0.0374668786433492,0.042,-0.1,0.05,0.0520656338497418,0.0345542572841259,-0.0451690821256039,-0.1,0.16078431372549,0.166666666666667,-0.0102768555085684,-0.117578692493947,0.166666666666667,-0.199049668280438,-0.00541663027043723,-0.0298931823960428,-0.0216806220095694,-0.00852272727272727,-0.0873918238624121,-0.134170802315964,-0.288730441671618,-0.19345140618933,-0.0857142857142857,-0.120941558441558,-0.0972207279899588,-0.0857142857142857,-0.120941558441558,-0.0982142857142857,-0.0982142857142857
"AXIN2",-0.282199228795386,-0.319657080226015,-0.217025077602626,-0.212370922919409,-0.212831389751351,-0.212714156457095,-0.126257737966266,-0.166666666666667,-0.191319903145461,-0.291463803014289,-0.283589787266258,-0.283589787266258,-0.292022511686127,0.0254166666666667,0.0517539213323756,-0.185024154589372,-0.157925085667021,-0.201053113553114,-0.209249834864589,-0.192124542124542,-0.173076923076923,-0.17487922705314,0.0458743046985739,-0.169023067439899,0.0157894736842105,-0.0973360533809342,0.0104323308270677,0.117933827771556,0.133333333333333,0.15,0.118535771796641,-0.0185404389351758,-0.120519898780768,0.144444444444444,-0.0362191322847808,-0.0352845528455285,0.2126217437087,0.198357487922705,-0.0133333333333333,-0.194300239293506,-0.104422636898338,-0.0223807091869462,-0.0174302141374413,-0.0315895061728395,0.016069217064592,0.283589787266258,-0.1921007914249,-0.160684357403589,0.173333333333333,0.203565891472868,0.0803778084793691,0.173333333333333,0.203565891472868,0.203565891472868,0.203565891472868
"TCFLEF",0.124116682112498,0.0842477588369136,-0.0709375067539822,0.0224185036333374,-0.0695629363072468,0.0275733752620545,-0.165983798043432,0.0333333333333333,0.0201706340080327,0.12125929804046,0.120602267817069,0.120602267817069,0.0391652973475135,-0.0205128205128205,-0.00274633077338501,0.100358609132803,-0.0981838637094182,0.0689400921658986,0.07139407989596,0.0657142857142857,0.08,0.103584415584416,-0.20006968641115,0.0137759544035695,-0.0367766618842659,0.0881160755412252,-0.0367766618842659,-0.00701861896152504,-0.142857142857143,-0.1,-0.00367041916745046,0.0278065622164918,0.0038616237563606,-0.115584415584416,0.204831591173055,0.205783972125435,-0.0571911686640509,-0.0927499134806288,0.222857142857143,-0.16397138047138,0.135731138806073,0.0152225078684342,0.0228384019081693,0.0228384019081693,0.01122442002442,-0.120602267817069,-0.0623026483320601,-0.129648898624802,-0.0208333333333333,-0.0269444444444444,-0.0474771398192451,-0.0156862745098039,-0.021797385620915,-0.0158333333333333,-0.0106862745098039
"SUFU",0.306631573374026,0.405853055776311,0.185271638211023,0.267328344930575,0.183788262251943,0.174820870947596,0.0487082614463305,0.15,0.0937240214569962,0.328781222346497,0.319287551460421,0.319287551460421,0.355157517592179,0.228333333333333,0.0837449392712551,0.184285714285714,-0.0449166608224046,0.226792929292929,0.234901037401037,0.219722222222222,0.214166666666667,0.184285714285714,-0.22453483420468,0.0146039247704357,-0.0372727272727273,-0.0358360937308306,-0.0395454545454545,-0.0232513426856015,-0.15,-0.226666666666667,-0.0310710826832409,0.033989898989899,0.026221198156682,-0.164285714285714,0.225811429949361,0.224662004662005,-0.130323464048101,-0.187641418983701,0.227692307692308,-0.152453523073824,0.150010482925076,-0.233742708464476,-0.224078014184397,-0.228333333333333,-0.0557767422441643,-0.319287551460421,-0.14223383833426,-0.113644708313474,-0.156666666666667,-0.169557713052859,-0.065005947599837,-0.25,-0.261752136752137,-0.151111111111111,-0.244444444444444
"TWIST1",-0.0497353607399206,-0.435366522054434,-0.327709514085902,-0.320873182957393,-0.323511699249789,-0.32029577275668,-0.240670250243499,-0.266666666666667,-0.294653345319821,-0.394385437725529,-0.382741602109091,-0.382741602109091,-0.387511035412675,-0.0406060606060606,0.0147517804775869,-0.376556776556777,-0.143704095878009,-0.210325722983257,-0.217714885544834,-0.189777777777778,-0.177777777777778,-0.338461538461538,0.0245828067898494,-0.138718470061292,-0.0162962962962963,-0.126165190009584,-0.00347578347578348,0.0181349723722605,0.2,0.1,0.0322117797365322,-0.00312799010912218,-0.0226408226408226,0.3,-0.0161250953470633,0.00492753623188406,0.233573273389265,0.393505929099149,0.0266666666666667,-0.142265950160687,0.0171884181413856,0.0537954212218802,0.0522008881922675,0.0509508881922675,0.18704311817215,0.382741602109091,-0.145882843443819,-0.122324703909443,0.295238095238095,0.318287740628166,0.0789956623289957,0.295238095238095,0.319273182957393,0.311904761904762,0.311904761904762
"SRC",0.110641208911421,0.265308568243351,0.164761960987417,0.147868852459016,0.160063974410236,0.147868852459016,0.117472683729981,0,0.00298976885183781,0.128876626085637,0.106149353358365,0.106149353358365,0.403463203463203,-0.111111111111111,-0.0993043884220355,-0.0423076923076923,0.134538937764744,0.0351851851851852,0.0351851851851852,0.0166666666666667,0.0166666666666667,-0.05,-0.00794739851343625,0.0664132040924043,0.08,-0.0557142857142857,0.0752380952380952,-0.00398874544852697,0.1,0.0333333333333333,-0.0296941678520626,-0.0823809523809524,0.0179824561403509,0.05,0.00606060606060606,0.00606060606060606,-0.0550035285815102,0.0423076923076923,0.0333333333333333,-0.123008385744235,0.0175147129558894,0.0847258297258297,0.0956349206349206,0.0861111111111111,-0.100652386416762,-0.106149353358365,-0.228229974160207,-0.107925633143024,0,-0.12,-0.0659628631326745,-0.1,-0.12,-0.1,-0.1
"Ecadherin",-0.35050415597605,-0.386158544646731,-0.256367843270819,-0.246729185338931,-0.253846834867457,-0.247993783808927,-0.143000484159021,-0.233333333333333,-0.271500590304402,-0.351783980889305,-0.344242081447964,-0.344242081447964,-0.355504544770438,-0.147090909090909,-0.115899652512925,-0.291216931216931,-0.0825021598697361,-0.27002688172043,-0.273963889594446,-0.2625,-0.25,-0.283809523809524,0.160953746072,-0.110308086453464,-0.0422009569377991,-0.0811900033101622,-0.0370463177625413,0.0529943960500613,0.2,0.233333333333333,0.0768323683194722,0.0381615593982291,-0.072231884057971,0.26,-0.162130216660235,-0.15903743315508,0.263263822634138,0.293814333814334,-0.147272727272727,-0.0860099335319062,-0.306965030205232,0.147722085673923,0.145009608277901,0.148424242424242,0.120233867860345,0.344242081447964,-0.0965775902484763,-0.0597633485901642,0.23921568627451,0.2429770614009,0.0403436874874669,0.23921568627451,0.242062518672264,0.236890104879161,0.236890104879161
"KLF4",-0.34466430046732,-0.378982402987831,-0.253846834867457,-0.242062518672264,-0.247993783808927,-0.2429770614009,-0.141718432876969,-0.233333333333333,-0.266100217864924,-0.344242081447964,-0.336153846153846,-0.336153846153846,-0.3493235293179,-0.159090909090909,-0.113840155945419,-0.283809523809524,-0.0798804370232942,-0.2625,-0.27002688172043,-0.25,-0.233333333333333,-0.26,0.162130216660235,-0.106827073795236,-0.0527272727272727,-0.079874213836478,-0.0422009569377991,0.0482964094728801,0.1,0.2,0.072231884057971,0.0370463177625413,-0.0693333333333333,0.2,-0.15903743315508,-0.147272727272727,0.258915996547181,0.291216931216931,-0.12,-0.0789009287925697,-0.203654416768036,0.145009608277901,0.148424242424242,0.147090909090909,0.119202940025293,0.336153846153846,-0.0851851851851852,-0.0551078551078551,0.233333333333333,0.236890104879161,0.0422394220846233,0.233333333333333,0.236890104879161,0.23921568627451,0.23921568627451
"FOXC2",-0.34466430046732,-0.378982402987831,-0.253846834867457,-0.242062518672264,-0.247993783808927,-0.2429770614009,-0.141718432876969,-0.233333333333333,-0.266100217864924,-0.344242081447964,-0.336153846153846,-0.336153846153846,-0.3493235293179,-0.159090909090909,-0.113840155945419,-0.283809523809524,-0.0798804370232942,-0.2625,-0.27002688172043,-0.25,-0.233333333333333,-0.26,0.162130216660235,-0.106827073795236,-0.0527272727272727,-0.079874213836478,-0.0422009569377991,0.0482964094728801,0.1,0.2,0.072231884057971,0.0370463177625413,-0.0693333333333333,0.2,-0.15903743315508,-0.147272727272727,0.258915996547181,0.291216931216931,-0.12,-0.0789009287925697,-0.203654416768036,0.145009608277901,0.148424242424242,0.147090909090909,0.119202940025293,0.336153846153846,-0.0851851851851852,-0.0551078551078551,0.233333333333333,0.236890104879161,0.0422394220846233,0.233333333333333,0.236890104879161,0.23921568627451,0.23921568627451
"SNAI2",-0.0235525882276765,-0.428605752752992,-0.321904839044198,-0.310596627895717,-0.316314776932397,-0.311160137757139,-0.232940617531088,-0.26,-0.311210788406124,-0.395385679203586,-0.383056912080299,-0.383056912080299,-0.396136486510054,-0.196078431372549,-0.159528420087922,-0.312931034482759,-0.0710512820512821,-0.307779111644658,-0.319046717278461,-0.289411764705882,-0.26,-0.275,0.188500264970853,-0.0996051068512336,-0.117543859649123,-0.108045977011494,-0.105263157894737,0.0474080771549126,0.1,0.2,0.0835866875896527,0.097470950102529,-0.0754527162977867,0.2,-0.180392156862745,-0.162745098039216,0.322564854612582,0.331003323639385,-0.133333333333333,-0.073823159219635,0.0183591529246493,0.202162202673712,0.203404438698556,0.200840336134454,0.173268943635685,0.383056912080299,-0.0782692307692308,-0.0520725114725047,0.287272727272727,0.305783793671118,0.0415838053282987,0.287272727272727,0.305783793671118,0.301558441558442,0.301558441558442
"NFB",-0.00807197185589906,-0.511722150607665,-0.320730402970468,-0.314483818304043,-0.31735785395086,-0.313982326524699,-0.251533376905295,-0.2,-0.180840336134454,-0.450987311849535,-0.433076864088341,-0.433076864088341,-0.526912303382892,0.0444444444444444,0.0768260867065648,-0.311776061776062,-0.126285554154407,-0.00712643678160919,-0.0215842681069104,0.00666666666666667,0.04,-0.292857142857143,0.0617366946778711,-0.143042203554595,0.0956709956709957,-0.157784166298098,0.0940836940836941,-0.0629699248120301,0.1,-0.08,-0.0608172713182099,-0.102470790857888,0.0649064906490649,0.142857142857143,-0.0453968253968254,-0.0342857142857143,0.133457058158534,0.338442728442728,-0.0142857142857143,-0.0724607495750871,0.0904387055856192,-0.0123638920854111,-0.0142626262626263,-0.0262626262626263,0.199012158054711,0.433076864088341,-0.0687728937728938,-0.0594235231907634,0.255555555555556,0.303247863247863,0.0288241869040417,0.255555555555556,0.303247863247863,0.286324786324786,0.286324786324786
"cMet",-0.128271922724477,0.0367370535437762,0.15926038224028,0.138181818181818,0.15474060822898,0.136279069767442,0.170497308148554,-0.1,-0.0351146232045109,0.0426954177897574,0.0257142857142857,0.0257142857142857,0.0996351766513057,0.00666666666666668,0.0225474683544304,0.0266666666666667,-0.0848148148148148,-0.0618181818181818,-0.0524431818181818,-0.08,-0.1,0.0333333333333333,-0.0781818181818182,0.0129984051036683,-0.0142857142857143,-0.0547619047619048,-0.00902255639097744,0.0900240798073615,0,0.1,0.0659987631416203,-0.00587106063029915,-0.0605442176870748,0,0.08,0.1,0.0402260058781798,-0.0141666666666667,0.1,-0.0712842712842713,-0.108176405962226,-0.0297163120567376,-0.0233333333333333,-0.00666666666666668,-0.104761904761905,-0.0257142857142857,-0.168253968253968,-0.0745385924462011,0,-0.12,0.027994227994228,-0.1,-0.12,0,-0.1
"IKK",0.00168412570507655,-0.496273645624276,-0.31735785395086,-0.303247863247863,-0.313982326524699,-0.303247863247863,-0.25522925863708,-0.1,-0.16718954248366,-0.433076864088341,-0.399274047186933,-0.399274047186933,-0.506520146520147,0.1,0.0748340548340548,-0.292857142857143,-0.116029143897996,0.00666666666666667,-0.00712643678160919,0.04,0.08,-0.142857142857143,0.0453968253968254,-0.134549052869664,0.0909090909090909,-0.152521008403361,0.0956709956709957,-0.0736842105263158,0,-0.1,-0.0649064906490649,-0.0940836940836941,0.0777777777777778,0.1,-0.0342857142857143,-0.0142857142857143,0.121946266791628,0.311776061776062,0,-0.0628822055137845,0.0949330876080911,-0.0142626262626263,-0.0262626262626263,-0.0444444444444444,0.194047619047619,0.399274047186933,-0.0553113553113553,-0.049453734671126,0.2,0.286324786324786,0.0223107769423559,0.2,0.286324786324786,0.255555555555556,0.255555555555556
"SOSGRB2",0.150145759257928,0.0611139792347846,-0.060307398307057,-0.0696687370600414,-0.0639402854963496,-0.0660455486542443,-0.149256971256971,0,-0.0451304347826087,0.00266550775025351,0.0103578154425612,0.0103578154425612,-0.0218515721461023,0.0357142857142857,0.0116117216117216,0.0374269005847953,0.0376461988304094,-0.036036036036036,-0.0383616174313849,-0.0333333333333333,0,0.0111111111111111,-0.0129480129480129,-0.0672068230277185,-0.00909090909090909,-0.0075,-0.0398601398601399,-0.0639204545454545,0,0,0.0252124219866155,0.0356347877474638,-0.0301075268817204,0,0.0280995280995281,0.0253968253968254,0.0468800569341953,-0.0249269005847953,0.0142857142857143,-0.053546365914787,0.127451181857161,-0.00577429662536045,-0.00648351648351648,-0.0257142857142857,0.0402640264026403,-0.0103578154425612,-0.0564035087719298,-0.0354964492040667,0,0.0559006211180124,0.013671679197995,0,0.0595238095238095,0.0428571428571429,0.0428571428571429
"ERK",-0.305365253922875,-0.28873766792703,0.0184317698994573,0.0274755069491912,0.0189178810105684,0.0226353531295275,0.132795742488895,0.0333333333333333,0.0526765835218148,-0.138181252191153,-0.132130647130647,-0.132130647130647,-0.307049132995565,0.0923809523809524,0.083521001107208,0.0709816653934301,-0.19950286374629,-0.0882430086788814,-0.0896922840412002,-0.0823606557377049,-0.084,0.0698051948051948,0.00716190118062524,-0.0479622455181683,-0.0654623154623155,0.0799469872091231,-0.0661922424696147,0.0921410175052063,-0.0857142857142857,0.08,0.101684022907773,0.0709013837438529,-0.0995563633333051,-0.0607142857142857,-0.00855465884079237,0.0914453411592076,0.0897954397759066,-0.0728165277787512,0.076551724137931,-0.00688355060352033,-0.139655132127523,-0.0864070691797686,-0.0921762999489993,-0.0914463729417,-0.0141419916365887,0.132130647130647,-0.00512717849476717,-0.0123061229526336,-0.0385964912280702,-0.0295055821371611,0.00830419655218851,-0.0433333333333333,-0.0342424242424242,-0.0385964912280702,-0.0433333333333333
"RKIP",0.295810164947252,0.27966315446039,-0.0226353531295275,-0.0433333333333333,-0.0295055821371611,-0.0385964912280702,-0.13492669139728,0,-0.0615389185977421,0.129273504273504,0.125,0.125,0.297438928289992,-0.0666666666666667,-0.0875773651635721,-0.0607142857142857,0.199579831932773,0.084,0.0823606557377049,0.08,0.1,-0.0857142857142857,0.0914453411592076,0.0508824734383962,0.0888888888888889,-0.084952380952381,0.0616161616161616,-0.0833914053426249,0.1,-0.1,-0.102139389163563,-0.0654623154623155,0.0932284980744544,0.1,-0.076551724137931,-0.08,-0.0777669981405126,0.0698051948051948,-0.08,0.00450884744141559,0.131314717292199,0.0914463729417,0.0923809523809524,0.0733333333333333,0.0225621190811064,-0.125,-0.00349115255858441,0.00826845525397522,0,0.0385964912280702,-0.012077474892396,0,0.0433333333333333,0.0333333333333333,0.0333333333333333
"RAF",0.295810164947252,0.27966315446039,-0.0226353531295275,-0.0433333333333333,-0.0295055821371611,-0.0385964912280702,-0.13492669139728,0,-0.0615389185977421,0.129273504273504,0.125,0.125,0.297438928289992,-0.0666666666666667,-0.0875773651635721,-0.0607142857142857,0.199579831932773,0.084,0.0823606557377049,0.08,0.1,-0.0857142857142857,0.0914453411592076,0.0508824734383962,0.0888888888888889,-0.084952380952381,0.0616161616161616,-0.0833914053426249,0.1,-0.1,-0.102139389163563,-0.0654623154623155,0.0932284980744544,0.1,-0.076551724137931,-0.08,-0.0777669981405126,0.0698051948051948,-0.08,0.00450884744141559,0.131314717292199,0.0914463729417,0.0923809523809524,0.0733333333333333,0.0225621190811064,-0.125,-0.00349115255858441,0.00826845525397522,0,0.0385964912280702,-0.012077474892396,0,0.0433333333333333,0.0333333333333333,0.0333333333333333
"MEK",0.300676344995914,0.284265664920641,-0.0189178810105684,-0.0342424242424242,-0.0226353531295275,-0.0295055821371611,-0.132243764568011,0,-0.0553118123706359,0.132130647130647,0.129273504273504,0.129273504273504,0.302598633449697,-0.0733333333333333,-0.088478266064473,-0.0698051948051948,0.200895621406457,0.0823606557377049,0.0882430086788814,0.084,0.08,-0.0607142857142857,-0.00855465884079237,0.0470363195922423,0.0616161616161616,-0.0760634920634921,0.0654623154623155,-0.092482314433534,0.1,-0.1,-0.0995563633333051,-0.0661922424696147,0.102139389163563,0.0857142857142857,-0.0914453411592076,-0.076551724137931,-0.0867833915831355,0.0709816653934301,-0.08,0.00609614902871718,0.136050600716607,0.0921762999489993,0.0914463729417,0.0923809523809524,0.0162558127748001,-0.129273504273504,0.00435198469631755,0.0135316131487121,0.0333333333333333,0.0385964912280702,-0.0128711256860468,0.0333333333333333,0.0433333333333333,0.0385964912280702,0.0433333333333333
