"","GSK3","TCFLEF","SRC","Destcompl","cateninmemb","Jagged","TWIST1","NOTCH","AKT","Wnt","Frizzled","GLI","ILK","DSH","Csl","NOTCHic","IKK","TrCP","RKIP","cfos","TGF","miR200","EGR1","FOXC2","PI3K","DELTA","RAS","SOSGRB2","RAF","ZEB2","ZEB1","SNAI2","PAK1","ERK","MEK","TGFR","CDC42","SMO","FUS","Ecadherin","HEY1","SHH","NFB","LIV1","Patched","SMAD","KLF4","STAT","SNAI1","CD44","SUFU","cMet","cateninnuc","Csn","AXIN2"
"SRC",0.0849350649350649,0.175049980007997,0.15,0.0904534957795827,0.192641071695854,0.179930604563632,0.237486421624353,0.00523809523809523,0.192307692307692,0.15,0.15,0.181147540983607,0.192982456140351,0.1,-0.015,0.00880952380952381,0.158974358974359,0.1,0.179537308569567,0.193939393939394,-0.0994624819624819,-0.175687307861221,0.166666666666667,-0.121027077497666,0.039616186900292,0.039616186900292,0.0608283081124132,-0.03,-0.039616186900292,-0.315985324947589,-0.315985324947589,-0.103485587971241,0.0888888888888889,-0.216161616161616,-0.218048408614446,0.0740079365079365,0.126388888888889,-0.0833333333333333,-0.0833333333333333,-0.0857825453413689,-0.200844091360477,-0.110566448801743,-0.166666666666667,-0.2,-0.087037037037037,-0.195685158843054,-0.405103359173127,-0.2,-0.326624441660955,-0.181147540983607,-0.0333333333333333,-0.15,-0.197645058307773,-0.1,-0.221003867567682
"DELTA",0.0325670498084291,0.0921678321678322,0,0.0550733590733591,0.0999487836107554,0.202424242424242,0.221,0.06,0.188888888888889,0.06,0,0.0830769230769231,0.216666666666667,0,0,0.06,0.2,0,0.21025641025641,0,-0.0591111111111111,-0.147272727272727,0.1,-0.0642857142857143,0.0533333333333333,0.0533333333333333,0.0442424242424242,0.06,-0.0533333333333333,-0.301207729468599,-0.301207729468599,0.0846153846153846,0,-0.06,-0.126666666666667,0.111111111111111,0.1,-0.2,-0.1,-0.115789473684211,-0.316666666666667,-0.182692307692308,-0.1,0,-0.175,-0.278571428571429,-0.305555555555556,0,-0.325,-0.0830769230769231,0,-0.06,-0.0976623376623377,0,-0.0728571428571429
"Wnt",0.113244514106583,0.0915413533834586,0,0.0760192406482044,0.0677542372881356,0.161176470588235,0.221470588235294,0.227380952380952,0.0208333333333333,0.075,0.1,0.0486842105263158,0.24957264957265,0.2,0.2,0.185714285714286,0.0333333333333333,-0.1,0.261666666666667,-0.0333333333333333,-0.0657971014492753,-0.158080808080808,0,-0.0759514170040486,-0.0849624060150376,-0.0849624060150376,-0.125871496924129,0.139393939393939,0.0849624060150376,-0.30052606408417,-0.30052606408417,0.0356034482758621,0.1,-0.00666666666666667,-0.0125490196078431,0.126666666666667,0.0666666666666667,-0.15,-0.1,-0.0277790266381926,-0.238461538461538,-0.172510822510823,0.0666666666666667,0,-0.177272727272727,-0.279805207712184,-0.307843137254902,-0.1,-0.326345755693582,-0.0486842105263158,0,-0.075,-0.0683625454364388,0.1,-0.112121212121212
"TCFLEF",0.173329010149679,0.107112346362492,0.181666666666667,0.178506023881191,0.101731657454597,0.169777735174659,0.327312394714917,0.0536201396799975,0.118453762226553,0.209155354449472,0.186078431372549,0.197354112213447,0.10137221842485,0.196078431372549,0.0438227323449705,0.0340188107763431,0.116279849183075,0.114285714285714,0.148074114891858,0.221602787456446,0.0233961150958752,-0.16470122915906,0.214285714285714,0.00704396728273907,0.100545960349209,0.100545960349209,0.0904276949089992,-0.0358630431444803,-0.100545960349209,-0.298472532340953,-0.298472532340953,0.201399961832103,0.00512820512820513,-0.230174216027875,-0.224732039157126,-0.0101510819832924,-0.0251043530113298,0.0895238095238095,0.08,-0.0429278011345571,-0.0866650172867701,0.0705548801749079,-0.103376623376623,-0.166666666666667,0.0717818740399386,-0.10118101383594,-0.297494907053731,-0.191666666666667,-0.286534200341732,-0.192793904208999,0.1,-0.20474358974359,-0.101098600658025,-0.123376623376623,-0.546034188034188
"GLI",0.0502588206829976,-0.00802025831679376,-0.0138709677419355,-0.0415880476010005,-0.0018323667709557,0.135184681469518,0.197675316571751,0.126259631173424,0.0960509532760473,0.0855407969639469,0.0961290322580645,0.0038386693043724,0.155973584322347,0.08,0.10447391688771,0.13197391688771,0.0882384532760473,0.0833333333333333,0.168574867700985,0.137619047619048,0.0513177440136757,-0.153102099139251,0.154285714285714,-0.0525756793945648,-0.116462786719152,-0.116462786719152,-0.105571697610241,-0.168991686779297,0.116462786719152,-0.2965256869773,-0.2965256869773,0.159965099499983,-0.0733333333333333,-0.136320346320346,-0.155657362894932,-0.0557883322489699,-0.0526436781609195,-0.0381265664160401,-0.00654761904761904,-0.0168800432631365,-0.14342405378059,-0.0348511821882749,-0.0657894736842105,0.05,-0.0360857500895095,-0.173270881619644,-0.288329472329472,0.03,-0.226819451996185,0.00379947909601454,-0.019047619047619,0.0236270653029111,0.00114637905797726,-0.05,0.0298309178743961
"SHH",0.0461538461538462,0.223333333333333,0.1,0.113506493506494,0.182365591397849,0.174285714285714,0.175,0.0666666666666667,0.1,0.3,0.2,0.25,0.133333333333333,0.2,0.1,0,0.1,0,0.18,0.1,0.06,-0.15,0,-0.05,0.05,0.05,0.0115384615384615,-0.1,-0.05,-0.275,-0.275,-0.233026819923372,0,-0.2,-0.18,0,-0.1,0.3,0.2,-0.0708333333333333,-0.133333333333333,0.146666666666667,0,0,0.266666666666667,-0.133333333333333,-0.25,-0.1,-0.3,-0.15,0.2,-0.2,-0.206666666666667,0,-0.314285714285714
"NFB",0.186662357250593,0.0594151506316278,0.0598290598290598,0.0949444995526627,0.0403311225712458,0.0823953620608668,0.326437908496732,0.155623516268678,-0.103839553839554,0.0613675213675214,0.0598290598290598,0.0658619033899933,0.14170104510451,0.0444444444444444,0.15021645021645,0.154978354978355,-0.126061776061776,-0.3,0.154182429592266,0.0351428571428571,0.106749520521672,-0.137024421788641,0.00714285714285715,0.0879816951530099,-0.141740582636777,-0.141740582636777,-0.137760483134289,-0.0487240159221583,0.141740582636777,-0.264650649612537,-0.264650649612537,0.278304002003222,-0.116666666666667,-0.0462539682539683,-0.0390644257703081,-0.121939393939394,-0.0939393939393939,-0.0237037037037037,-0.02,0.0309118468702166,-0.128095975232198,-0.0533256397236455,0.107142857142857,-0.1,-0.0340485312899106,-0.132407364807113,-0.262728937728938,-0.0444444444444444,-0.201261788296715,-0.0653223236274084,0.04,-0.0613675213675214,-0.0679641702394709,0.257142857142857,-0.0952178318135765
"PI3K",0.148268398268398,0.0563979114310728,0.0555555555555556,0.0389789045422694,0.0512405770082118,0.178421052631579,0.134358347758205,0.187655086848635,0.16078431372549,0.033816425120773,0.0555555555555556,0.0784318097361576,0.240168067226891,0,0.175,0.213461538461538,0.127450980392157,0,0.259356819650937,-0.019047619047619,-0.196039215686274,-0.149353190746633,-0.0333333333333333,-0.201923344947735,-0.124311688311688,-0.124311688311688,-0.0955445650240171,0.196538461538462,0.124311688311688,-0.2645704919097,-0.2645704919097,-0.0344979504990769,0.15,0.0131652661064426,-0.00158883225421316,0.162705882352941,0.214705882352941,-0.183333333333333,-0.15,0.0128005791101705,-0.220633639390576,-0.184615384615385,-0.133333333333333,-0.1,-0.167948717948718,-0.242568067226891,-0.255482456140351,0,-0.241332528180354,-0.0784318097361576,-0.1,-0.033816425120773,-0.0825834784413821,-0.0333333333333333,-0.125142857142857
"ILK",0.148268398268398,0.0563979114310728,0.0555555555555556,0.0389789045422694,0.0512405770082118,0.178421052631579,0.134358347758205,0.187655086848635,0.16078431372549,0.033816425120773,0.0555555555555556,0.0784318097361576,0.240168067226891,0,0.175,0.213461538461538,0.127450980392157,0,0.259356819650937,-0.019047619047619,-0.196039215686274,-0.149353190746633,-0.0333333333333333,-0.201923344947735,-0.124311688311688,-0.124311688311688,-0.0955445650240171,0.196538461538462,0.124311688311688,-0.2645704919097,-0.2645704919097,-0.0344979504990769,0.15,0.0131652661064426,-0.00158883225421316,0.162705882352941,0.214705882352941,-0.183333333333333,-0.15,0.0128005791101705,-0.220633639390576,-0.184615384615385,-0.133333333333333,-0.1,-0.167948717948718,-0.242568067226891,-0.255482456140351,0,-0.241332528180354,-0.0784318097361576,-0.1,-0.033816425120773,-0.0825834784413821,-0.0333333333333333,-0.125142857142857
"AKT",0.122461946655495,0.0825834784413821,0.033816425120773,0.0693345703818062,0.0586819633486807,0.166500522830254,0.11386905112212,0.220581916116928,0.0496732026143791,0.0784318097361576,0.033816425120773,0.0555267818031967,0.242568067226891,0.0555555555555556,0.213461538461538,0.187655086848635,0.16078431372549,0.0333333333333333,0.245071105365223,-0.0131652661064426,-0.165525620520111,-0.143470837805457,-0.019047619047619,-0.174855675774803,-0.0955445650240171,-0.0955445650240171,-0.118436131289077,0.160982905982906,0.0955445650240171,-0.2645704919097,-0.2645704919097,-0.0416336288910367,0.214705882352941,-0.00158883225421316,0.0060061044546476,0.196039215686274,0.162705882352941,-0.167948717948718,-0.183333333333333,0.00370967001926138,-0.224393037886817,-0.170931174089069,-0.127450980392157,0,-0.184615384615385,-0.24223136689019,-0.26488416554206,-0.0555555555555556,-0.269653330185367,-0.0563979114310728,-0.15,-0.0784318097361576,-0.0673527092106129,-0.133333333333333,-0.121171738009283
"ERK",0.20461398950007,-0.030065278621155,-0.0413630229419703,0.033684763973661,-0.105831308753439,0.167604378939678,0.0421419097432804,0.18069370975633,0.168560670306488,-0.0391142191142191,-0.0482051282051282,-0.0503924146029409,0.235605379242953,-0.0366666666666667,0.167094017094017,0.164904236072119,0.167643239113827,0.142857142857143,0.290252092627111,-0.0979897285399853,-0.124243720556225,-0.117660428660212,-0.0958620689655172,-0.122046263770402,-0.112046842046842,-0.112046842046842,-0.12029766712935,0.15662752350131,0.112046842046842,-0.183048523525664,-0.183048523525664,0.384431353836101,0.143809523809524,0.00465639520665199,0.00382074061055172,0.135507456819961,0.109230084557187,-0.214142076502732,-0.202666666666667,0.0848714253787101,-0.215729006419092,-0.223917580907393,-0.140584415584416,0.0666666666666667,-0.233096324868745,-0.236821184714078,-0.177947571541379,0.0298245614035088,-0.157389545308078,0.0427046838256159,-0.206666666666667,0.0322721138510612,0.0383986119544883,-0.167857142857143,0.0432225031453188
"SOSGRB2",0.196704906438427,-0.014664923177509,-0.0428571428571429,0.0987753111914186,-0.0988865878865879,0.0825109505130008,0.0854202898550725,0.0622476115433862,0.151315789473684,-0.0261904761904762,-0.0428571428571429,-0.0218426501035197,0.135913978494624,0,0.0454545454545455,0.0608391608391608,0.159649122807018,0.2,0.152266081871345,-0.0142857142857143,-0.0828290858078092,-0.114572296223416,0.019047619047619,-0.0801831501831502,-0.0325800376647834,-0.0325800376647834,-0.035144140228886,0.0891666666666667,0.0325800376647834,-0.182218045112782,-0.182218045112782,0.240553447170568,0.0642857142857143,-0.00463320463320463,-0.00766350766350767,0.101978021978022,0.0942857142857143,-0.116666666666667,-0.0666666666666667,0.0786674520611054,-0.221496212121212,-0.125591870940708,-0.133333333333333,0,-0.113963963963964,-0.154795097375743,-0.190789473684211,0,-0.15746908315565,0.0167701863354037,0,0.0211180124223602,0.0152385369442394,-0.1,0.0221328382838284
"MEK",0.215603998582722,-0.0427046838256159,-0.0298245614035088,0.0210955118128192,-0.107027260915353,0.177544137975823,0.0508797738209503,0.164904236072119,0.167643239113827,-0.0482051282051282,-0.0366666666666667,-0.0391142191142191,0.244830471493876,-0.0666666666666667,0.155555555555556,0.167094017094017,0.140584415584416,0.1,0.294987468671679,-0.0958620689655172,-0.135507456819961,-0.119866311013153,-0.12,-0.133841135565273,-0.123792873792874,-0.123792873792874,-0.112046842046842,0.177015873015873,0.123792873792874,-0.17942647628157,-0.17942647628157,0.387587350229248,0.12,0.0979897285399853,0.00465639520665199,0.109230084557187,0.143809523809524,-0.202666666666667,-0.206666666666667,0.0895058229070315,-0.224261429627283,-0.233096324868745,-0.167857142857143,0,-0.214142076502732,-0.235605379242953,-0.170970827355332,0.0666666666666667,-0.153454360122893,0.0322721138510612,-0.166666666666667,0.0413630229419703,0.030065278621155,-0.142857142857143,0.0381818527388148
"Destcompl",0.0473433534841512,0.100874070612365,0.0528484453141987,-0.0151445218346257,0.0678589992690903,0.0948477745755275,0.0819773600574171,0.0901566941167882,0.0247110631411769,0.101363296799347,0.0528484453141987,0.0681536493039855,0.153333333333333,0.100793650793651,0.0888366627497062,0.0518801410105758,0.048200996027083,-0.0333333333333333,0.100028722999841,0.0366433566433566,-0.0360798548094374,-0.119284111610981,0.0517948717948718,-0.0453807408407334,-0.0128177533603512,-0.0128177533603512,-0.0431160265157672,0.0502356183403633,0.0128177533603512,-0.174193280765899,-0.174193280765899,-0.133118670388468,0.0914285714285714,-0.0535832473537391,-0.0447224878600683,0.0799222193414571,0.0272906403940887,0.0251559934318555,0.00229885057471264,-0.0388466893543115,-0.14508875739645,0.0203394451912085,-0.00766045548654244,-0.0222222222222222,0.000803661825637878,-0.15906432748538,-0.184586709604923,-0.100793650793651,-0.134143208541665,-0.068271330886338,0.0333333333333333,-0.10110715178186,-0.0775696341003817,-0.0380952380952381,-0.191474497248926
"RAF",0.203073286052009,-0.0322721138510612,-0.0666666666666667,0.0355306582563339,-0.108490675549499,0.162790039615167,0.0321984551396316,0.167094017094017,0.140584415584416,-0.0366666666666667,-0.0666666666666667,-0.0482051282051282,0.222058194266153,0,0.155555555555556,0.155555555555556,0.167857142857143,0.1,0.272619047619048,-0.12,-0.109230084557187,-0.107172812561141,-0.07,-0.104111405835544,-0.105844155844156,-0.105844155844156,-0.123792873792874,0.165904761904762,0.105844155844156,-0.170696317551411,-0.170696317551411,0.385884187212217,0.1,0.0958620689655172,0.0979897285399853,0.143809523809524,0.12,-0.206666666666667,-0.166666666666667,0.0794876079707837,-0.207897793263647,-0.214142076502732,-0.142857142857143,0,-0.202666666666667,-0.244830471493876,-0.184696317551411,0,-0.159223590892124,0.0413630229419703,-0.1,0.0298245614035088,0.0427046838256159,-0.1,0.0426863572433193
"TGFR",0.232317402293335,0.0837398814360086,0.0766666666666667,0.0849795283220384,0.0739059521024986,0.242836065398818,0.0829998681955977,0.143490449020094,0.30500087427872,0.0434231805929919,0.0528571428571429,0.0492296322058951,0.23316715542522,0.0428571428571429,0.11,0.134137931034483,0.288721804511278,0.3,0.163982683982684,-0.0957393483709273,-0.172420634920635,-0.121668857653285,-0.0904761904761905,-0.177537090780873,0.0636904761904762,0.0636904761904762,0.0683688387635756,0.298099415204678,-0.0636904761904762,-0.165065716968485,-0.165065716968485,0.0745503177159418,0.277777777777778,0.120183792815372,0.105115299664687,0.172420634920635,0.249206349206349,-0.201034482758621,-0.17,-0.0614478083244566,-0.2188400357978,-0.213304962984609,-0.257142857142857,0,-0.222909482758621,-0.242063952578245,-0.151565962006465,-0.0666666666666667,-0.113150359964519,-0.075127441244621,-0.22,-0.0672327044025157,-0.0829427158027047,-0.3,-0.0782425384714369
"RAS",-0.0094702842377261,0.113023009531145,0.05,0.0726896610617541,0.0763051569964391,0.0140311452789277,0.0438516093835243,-0.00178748758689176,0.0611111111111111,0.102941176470588,0.05,0.0862745098039216,0.0233766233766234,0.1,0,-0.0263157894736842,0.0666666666666667,0,-0.00908805031446541,0.08,-0.0747582993593477,-0.0888923076923077,0.08,-0.0801587301587301,0.0235897435897436,0.0235897435897436,-0.101410256410256,-0.0718614718614719,-0.0235897435897436,-0.112069219440353,-0.112069219440353,-0.287482359614951,0.14,-0.0957894736842105,-0.0899071207430341,0.109411764705882,0.08,0,0,-0.0514075318313535,-0.122529644268775,-0.00352542372881356,-0.0333333333333333,0,-0.012,-0.0213358070500928,-0.119285714285714,-0.1,-0.161632251720747,-0.0837922403003755,0.1,-0.102941176470588,-0.0991419897011164,0,-0.114914361001318
"cateninmemb",0.0436714501976431,0.0501147490508952,0.0180574555403557,0.0637942189704285,-0.0523163616291332,0.0316959223737414,0.038409464344397,0.0544662237777754,0.0508609908609908,0.0508160762300109,0.0180574555403557,0.0281494095633442,0.0428985507246377,0.0529411764705882,0.0566507177033493,0.0288156661569575,0.0716402116402116,0,0.0343306951653661,0.0955080213903743,0.0508059486052694,-0.0803967003408344,0.107272727272727,0.0529360806925972,0.0557013574660633,0.0557013574660633,0.0350309664046108,0.0205380518190846,-0.0557013574660633,-0.103076753774595,-0.103076753774595,-0.110369369093773,-0.0116363636363636,-0.108910083246044,-0.102243416579378,-0.0180753880266075,-0.0556363636363636,0.025,0,0.0260399448551584,-0.0325184961110741,0.022256794513589,-0.0457142857142857,0,0.00887096774193548,-0.0494360809909815,-0.123863103609939,-0.0529411764705882,-0.0703740241532059,-0.0278233418279811,0.0333333333333333,-0.0502313685838339,-0.0336815090882434,-0.06,-0.138121530829625
"ZEB2",-0.193421204936169,-0.132913406364111,-0.126666666666667,-0.125545163995004,-0.125272869854965,-0.121573498015537,-0.12013342989561,-0.118927280369903,-0.11838785046729,-0.118321678321678,-0.115757575757576,-0.115569384743697,-0.111459526389104,-0.109090909090909,-0.107692307692308,-0.106358974358974,-0.1025,-0.1,-0.0813204508856683,-0.0763157894736842,-0.0664137978423693,-0.0563009737320274,-0.05,-0.0404320124320124,-0.0112121212121212,-0.0112121212121212,-0.00971319187593278,0.00970695970695971,0.0112121212121212,0.0238367267918402,0.0238367267918402,0.0278099748256523,0.048051948051948,0.0601867572156197,0.0614062694107416,0.070117501546073,0.078961038961039,0.0792857142857143,0.0821428571428571,0.0843013153669395,0.0926336566659147,0.0939642065251821,0.0958333333333333,0.1,0.101236933797909,0.104142453218372,0.116222287154388,0.12,0.124464868574782,0.124814814814815,0.125,0.126666666666667,0.131354964805669,0.133333333333333,0.155540078421114
