"","ZEB1","ILK","SMAD","miR200","FOXC2","SHH","SMO","Patched","NOTCH","IKK","FUS","AKT","RKIP","SNAI1","GSK3","MEK","cfos","TWIST1","EGR1","SNAI2","TGFR","RAS","RAF","DELTA","CDC42","AXIN2","DSH","STAT","LIV1","SRC","Ecadherin","cateninmemb","CD44","cateninnuc","TCFLEF","cMet","Frizzled","GLI","Wnt","PI3K","TGF","PAK1","Destcompl","ZEB2","SOSGRB2","ERK","TrCP","KLF4","NFB","SUFU","Csn","Csl","NOTCHic","Jagged","HEY1"
"PAK1",0.355297031887037,0.180184331797235,0.195668202764977,0.313067371233988,0.262215405926879,0.193499175058315,0.167511520737327,0.188499175058315,0.0594505494505495,0.1,0.164285714285714,0.12037037037037,0.274385503998764,0.24694368841736,-0.172948593073593,0.114680422500614,0.115652173913043,0.0822092979484284,0.12,0.00224379058066575,0.0362363127069009,0.0896038094962055,0.08914926404166,0.08914926404166,0.042296918767507,-0.22012020943706,-0.17,-0.17,-0.15,-0.166296296296296,0.237645508181459,0.131121471990898,0.182057602156612,0.18852758938522,0.186872416971427,0.177107107107107,0.166296296296296,0.180237246232111,0.17682261208577,-0.08914926404166,-0.0438865859309447,-0.0285714285714286,0.2166459197787,-0.0463197683018927,-0.153561606160616,-0.117347089167281,-0.1,-0.0503934426229508,-0.1,-0.114285714285714,-0.075,-0.0576923076923077,-0.0561538461538462,-0.0464696233810498,-0.181605520769027
"LIV1",0.355297031887037,0.180184331797235,0.195668202764977,0.313067371233988,0.262215405926879,0.193499175058315,0.167511520737327,0.188499175058315,0.0594505494505495,0.1,0.164285714285714,0.12037037037037,0.274385503998764,0.24694368841736,-0.172948593073593,0.114680422500614,0.115652173913043,0.0822092979484284,0.12,0.00224379058066575,0.0362363127069009,0.0896038094962055,0.08914926404166,0.08914926404166,0.042296918767507,-0.22012020943706,-0.17,-0.17,-0.15,-0.166296296296296,0.237645508181459,0.131121471990898,0.182057602156612,0.18852758938522,0.186872416971427,0.177107107107107,0.166296296296296,0.180237246232111,0.17682261208577,-0.08914926404166,-0.0438865859309447,-0.0285714285714286,0.2166459197787,-0.0463197683018927,-0.153561606160616,-0.117347089167281,-0.1,-0.0503934426229508,-0.1,-0.114285714285714,-0.075,-0.0576923076923077,-0.0561538461538462,-0.0464696233810498,-0.181605520769027
"EGR1",0.355297031887037,0.180184331797235,0.195668202764977,0.313067371233988,0.262215405926879,0.193499175058315,0.167511520737327,0.188499175058315,0.0594505494505495,0.1,0.164285714285714,0.12037037037037,0.274385503998764,0.24694368841736,-0.172948593073593,0.114680422500614,0.115652173913043,0.0822092979484284,0.12,0.00224379058066575,0.0362363127069009,0.0896038094962055,0.08914926404166,0.08914926404166,0.042296918767507,-0.22012020943706,-0.17,-0.17,-0.15,-0.166296296296296,0.237645508181459,0.131121471990898,0.182057602156612,0.18852758938522,0.186872416971427,0.177107107107107,0.166296296296296,0.180237246232111,0.17682261208577,-0.08914926404166,-0.0438865859309447,-0.0285714285714286,0.2166459197787,-0.0463197683018927,-0.153561606160616,-0.117347089167281,-0.1,-0.0503934426229508,-0.1,-0.114285714285714,-0.075,-0.0576923076923077,-0.0561538461538462,-0.0464696233810498,-0.181605520769027
"Csl",0.351320806754388,0.17739636861939,0.190729701952724,0.309955309968911,0.24496439732734,0.192795875088291,0.169343891402715,0.187623461295188,0.0328780896522832,0.0976744186046512,0.163461538461538,0.115503875968992,0.274316840261787,0.24568532916359,-0.163150464623334,0.108167701863354,0.105714285714286,0.0743670757111235,0.12,-0.0221701084200659,0.0285040750633518,0.0749667498183681,0.0742314557007211,0.0742314557007211,0.0342365591397849,-0.198440062562025,-0.143076923076923,-0.143076923076923,-0.12,-0.14004662004662,0.210876540284422,0.0979871362561875,0.154426525855097,0.160817440619914,0.159159350282578,0.14993672993673,0.14004662004662,0.152949845853072,0.149724039401459,-0.0742314557007211,-0.0355335535214017,-0.0213333333333333,0.192591009136414,-0.0415888648677503,-0.162391177500292,-0.111428571428571,-0.1,-0.0449585921325052,-0.1,-0.125,-0.0666666666666667,-0.0310599078341014,-0.0310599078341014,-0.0195479272383246,-0.0781509170000219
"TWIST1",-0.0622297736332824,-0.0876831376831377,-0.0820725766270321,-0.0663543304335674,0.014469485877963,0.047786370350376,0.0404444444444444,0.0472937595129376,-0.139746815029834,-0.0816849816849817,0.0444444444444444,-0.0766002359222698,-0.0142453251148903,-0.0241590948691143,-0.200388538922772,0.0634578822136457,0.0623188405797102,-0.137670625839962,0.0666666666666667,0.118718604689617,-0.108936781609195,-0.0272595789583911,-0.028286976218665,-0.028286976218665,-0.106436781609195,-0.206576112059983,-0.147619047619048,-0.147619047619048,-0.133333333333333,-0.153174603174603,0.159566221526418,0.0783039497323066,0.159719933431802,0.165791085552285,0.16354841735217,0.155302262749071,0.153174603174603,0.160332497911445,0.156332497911445,0.028286976218665,0.107797829445186,0.113333333333333,0.196630760262114,-0.0362458950178248,-0.0138844882551976,-0.0649504195270786,0.1,-0.0295080258494893,0.0769230769230769,-0.0333333333333333,0.1,0.131111111111111,0.138803418803419,0.152732081950857,0.102061215620538
"ERK",-0.330575832612028,-0.234475999658381,-0.238427367439536,-0.261140323854621,-0.3346333070471,-0.231380561728136,-0.211147540983607,-0.218337083467267,-0.0988729097611561,-0.163051311433664,-0.18,-0.165803605011646,-0.409030892814537,-0.379000102947881,0.32924006651759,-0.0495424302309818,-0.142597212032282,-0.206475059618977,-0.123448275862069,0.35801508451627,-0.0846823826740602,0.0855739200293656,0.085023865023865,0.085023865023865,-0.0781130396083667,0.116981336075192,0.0733333333333333,0.0807017543859649,0.0333333333333333,0.0999325236167341,-0.0201470393929844,0.0844887935123258,-0.11551287202151,-0.125741857977726,-0.121089080199949,-0.107624831309042,-0.0925641025641026,-0.108025833815308,-0.10025641025641,-0.085023865023865,0.0835834815751591,0.0790476190476191,-0.366195265369207,-0.0362339259242523,0.250134689474495,0.0492638786989484,0.114285714285714,-0.0438868684172478,0.154816017316017,0.16,0.151785714285714,0.0993783993783994,0.103028034414896,0.111566091964347,0.234933715987574
"SMO",0.235028248587571,0.143333333333333,0.144920634920635,0.165099457504521,0.231551724137931,-0.141111111111111,-0.146666666666667,-0.146666666666667,0.103939393939394,0.142857142857143,-0.0666666666666667,0.130857142857143,0.108888888888889,0.102918586789555,0.27273018243892,0.0489044289044289,0.02,0.155228758169935,0,0.404836343732895,0.175,0.0293269230769231,0.0293269230769231,0.0293269230769231,0.166666666666667,0.371383788625168,0.3,0.2,0.1,0.2,0.176328980522815,0.24673922121307,-0.212222222222222,-0.222463845698388,-0.220960086299892,-0.206666666666667,-0.3,-0.305555555555556,-0.3,-0.0293269230769231,-0.164189189189189,-0.166666666666667,-0.306765017927809,-0.0353107344632768,-0.0385964912280702,-0.0276923076923077,0,-0.025,-0.1,0.1,-0.1,-0.0666666666666667,-0.0939393939393939,-0.213703703703704,-0.145787545787546
"FUS",0.233187757790025,0.144920634920635,0.154598054275474,0.172030150573828,0.230235934664247,-0.142121212121212,-0.146666666666667,-0.141111111111111,0.110757575757576,0.130857142857143,-0.146666666666667,0.130857142857143,0.111981672394044,0.0982016056574791,0.275071319562666,0.0454561530423599,0.0276923076923077,0.1609879204736,0.02,0.40860654121943,0.164189189189189,0.0288902418542157,0.0293269230769231,0.0293269230769231,0.175,0.380700558811503,0.3,0.2,0.2,0.206666666666667,0.177424870933774,0.248787638345286,-0.220960086299892,-0.224909497872301,-0.222463845698388,-0.212222222222222,-0.3,-0.313247863247863,-0.305555555555556,-0.0293269230769231,-0.168444508338125,-0.166666666666667,-0.309538740555546,-0.0310162559356695,-0.042442645074224,-0.0489044289044289,-0.1,-0.0463114754098361,-0.142857142857143,0.0666666666666667,-0.1,-0.0939393939393939,-0.103939393939394,-0.219727800089246,-0.15303392259914
"cateninmemb",-0.063532688705315,-0.0135652173913043,-0.0176814401515949,-0.0440999038205742,0.11678342115492,-0.275538692744052,-0.2625,-0.27002688172043,0.169104757238417,0.0678306878306878,-0.25,0.0652332852332852,-0.0791695908870869,-0.0812873428458032,0.31096374165792,-0.0694860062112943,-0.0709090909090909,0.238843514562871,-0.0709090909090909,0.398077335136588,-0.0166031042128603,-0.0637179487179487,-0.0637179487179487,-0.0637179487179487,-0.0170909090909091,0.374517409502819,0.284313725490196,0.284313725490196,0.266666666666667,0.29594163246694,0.0206549955383263,0.217614799809682,-0.312530261229482,-0.320374910089441,-0.31738704827805,-0.305506849858245,-0.29594163246694,-0.311228988788779,-0.304562322122113,0.0637179487179487,0.0175072633448675,0.0130909090909091,-0.318723168461779,-0.0304489164086687,0.17834777767747,0.0698781630740394,-0.1,-0.0518518518518519,-0.0752380952380952,0.233333333333333,-0.08,-0.157799043062201,-0.165015537907562,-0.295951402289286,-0.00591403858675868
"TCFLEF",-0.351413609782031,-0.105390445811498,-0.109405742178611,-0.273755020080321,-0.430903234214515,-0.0696309594488894,-0.0380952380952381,-0.0493855606758832,0.0871847547867701,-0.154731462086301,5.55111512312578e-18,-0.157992331651518,-0.214892776782844,-0.323081260905529,0.412594714862611,-0.00466401194624191,-0.00303135888501742,-0.117649377263893,0.00428571428571428,-0.0298248061375931,-0.123795830337886,0.162547036060708,0.161364381658606,0.161364381658606,-0.115384615384615,-0.159326495726496,0.119607843137255,0.116666666666667,0.0666666666666667,0.156666666666667,-0.274502347826774,-0.0412724365796357,-0.200498306724722,-0.32561285426195,-0.314358558729304,-0.17974358974359,-0.159607843137255,-0.203181660624116,-0.182684766214178,-0.161364381658606,0.12478920782133,0.115384615384615,-0.543717820659819,-0.0290014176856282,0.0377362198679564,0.00398373983739837,0.114285714285714,-0.0379488158899924,0.135376623376623,-0.0333333333333333,0.123376623376623,-0.0611669057867049,-0.0748923959827834,-0.0147306875344486,0.090548926317125
"SHH",0.225,0.133333333333333,0.133333333333333,0.15,0.225,-0.146666666666667,-0.1,-0.0666666666666667,0.0666666666666667,0.1,0,0.1,0.12,0.116666666666667,0.256410256410256,0.02,0.1,0.15,0,0.379693486590038,0.166666666666667,0.0230769230769231,0,0,0.166666666666667,0.342857142857143,0.2,0.1,0,0.1,0.170833333333333,0.238136200716846,-0.2,-0.212222222222222,-0.206666666666667,-0.2,-0.2,-0.3,-0.3,0,-0.166666666666667,-0.2,-0.295844155844156,-0.025,-0.1,0,0,0,0,0,0,-0.1,0,-0.202857142857143,-0.133333333333333
"Patched",0.233333333333333,0.133333333333333,0.143333333333333,0.171428571428571,0.235,-0.146666666666667,-0.0666666666666667,-0.146666666666667,0.0939393939393939,0.1,-0.1,0.142857142857143,0.12,0.100537634408602,0.265934065934066,0.0276923076923077,0,0.161111111111111,0.1,0.394360153256705,0.166666666666667,0.0293269230769231,0.0230769230769231,0.0230769230769231,0.166666666666667,0.361038961038961,0.2,0.1,0.1,0.2,0.173745954692557,0.240913978494624,-0.206666666666667,-0.220960086299892,-0.212222222222222,-0.2,-0.3,-0.3,-0.3,-0.0230769230769231,-0.175,-0.166666666666667,-0.301338661338661,-0.0166666666666667,-0.0333333333333333,-0.02,0,-0.0333333333333333,-0.1,0,0,0,-0.0666666666666667,-0.206560846560847,-0.141025641025641
"TGF",-0.0404775443219379,-0.093030303030303,-0.107546432062561,-0.0854288910323393,0.0723757763975155,-0.102241379310345,-0.11,-0.127241379310345,-0.200459770114943,0.0226190476190476,-0.126666666666667,0.0173558897243108,0.0138528138528138,0.0514717101080738,-0.00320255956263784,0.125847953216374,0.133333333333333,0.0316666666666667,0.133333333333333,-0.0957052224552987,-0.159047619047619,-0.130952380952381,-0.136309523809524,-0.136309523809524,-0.173333333333333,0.016358024691358,0,0,0,0.0333333333333333,-0.0226719754941083,-0.0171836464063874,-0.010125786163522,-0.00151334597213445,-0.00486262826878517,-0.0233333333333333,-0.0142857142857143,0.00892183288409704,-0.00428571428571428,0.136309523809524,0.0715476190476191,0.14,0.0563047276889899,-0.0146989344243349,0.0710526315789474,-0.128070175438597,0,0.00711924739384694,-0.00833333333333333,0.0666666666666667,-0.0333333333333333,0.206666666666667,0.186666666666667,0.091593028964163,0.110509348807221
"IKK",0.307979949874687,0.232638888888889,0.229668591859186,0.237591973244147,0.21982683982684,0.178186462324393,0.14,0.143703703703704,0.000432900432900432,0.264285714285714,0.08,0.245366795366795,0.228415300546448,0.244133446423523,-0.243479853479853,0.0177142857142857,-0.0142857142857143,0.103464052287582,0,-0.201569373563733,0.152525252525253,-0.107017543859649,-0.107017543859649,-0.107017543859649,0.138888888888889,0.0695238095238095,0.1,0.1,0.1,0.0666666666666667,-0.0546064645455587,-0.093341081637171,-0.0297435897435897,-0.0167778456257324,-0.023528900478053,-0.0435897435897436,-0.0666666666666667,-0.0297435897435897,-0.0435897435897436,0.107017543859649,-0.146925252525253,-0.15,0.183929017687053,-0.013734335839599,-0.182142857142857,0.00228571428571429,-0.2,0.0032967032967033,-0.314285714285714,-0.1,-0.3,0.00909090909090909,-0.00519480519480519,-0.10697282099344,-0.231269349845201
"Frizzled",-0.379930962967172,-0.145060624130392,-0.1684251101117,-0.29676452020202,-0.352379248658318,-0.187124703253736,-0.109090909090909,-0.170995670995671,0.166596638655462,-0.180833333333333,-0.1,-0.205833333333333,-0.306904761904762,-0.340752242926156,0.54474921630094,-0.00431372549019608,0.0133333333333333,-0.0464005602240896,0.0333333333333333,0.198600565647775,-0.12,0.202609512327705,0.195522898154477,0.195522898154477,-0.12,0.379027484143763,0.1,0.2,0.1,0.275,-0.244538794538795,0.0404755178907721,-0.347368421052632,-0.383880562332985,-0.370547228999651,-0.322368421052632,-0.275,-0.347368421052632,-0.322368421052632,-0.195522898154477,0.13047619047619,0.1,-0.571361654544123,-0.00948477918093101,0.209090909090909,0.00431372549019608,0.1,-0.00336134453781513,0.193333333333333,0,0.133333333333333,-0.135714285714286,-0.160714285714286,-0.0738911170528818,0.131718494271686
"GSK3",-0.411354486735468,-0.173330770489058,-0.185174848450078,-0.318876578075237,-0.363816933780214,-0.22253433721035,-0.187124703253736,-0.211051083621834,0.182021214080038,-0.209281609195402,-0.170995670995671,-0.223811523725317,-0.333474683211525,-0.36242685412554,0.474130641690179,-0.00600118276975862,-0.00431372549019608,-0.0384711008112619,-0.00431372549019608,0.226283596963158,-0.131521486643438,0.205690744820703,0.204010072551795,0.204010072551795,-0.13047619047619,0.426018987525071,0.322368421052632,0.322368421052632,0.275,0.347368421052632,-0.24419859466848,0.0526414925278081,-0.383880562332985,-0.400521842737915,-0.393942895369494,-0.370547228999651,-0.347368421052632,-0.382508388989492,-0.370244238046096,-0.204010072551795,0.136649691771643,0.12,-0.595220246296407,-0.00641005208051098,0.235352962409117,0.00656936458794044,0.193333333333333,-0.00946080351654484,0.205833333333333,0.109090909090909,0.180833333333333,-0.166596638655462,-0.177086149144973,-0.0840444583079036,0.156947657144265
"PI3K",-0.30883141016278,-0.110972388955582,-0.132572388955582,-0.253909386286436,-0.291063879210221,-0.159401709401709,-0.1,-0.153846153846154,0.158995037220844,-0.0490196078431372,-0.1,-0.0669683257918552,-0.259243697478992,-0.267218196457327,0.410582010582011,-0.000238784038205448,0.019047619047619,-0.0191686748351039,0.0333333333333333,0.117827461971365,-0.100411764705882,0.165969993476843,0.156380952380952,0.156380952380952,-0.104411764705882,0.367619047619048,0.2,0.2,0.1,0.277777777777778,-0.233393980975417,0.0200550466914829,-0.333831289483463,-0.359906191923908,-0.350215470274424,-0.316908212560386,-0.277777777777778,-0.333831289483463,-0.316908212560386,-0.156380952380952,0.110980870396939,0.075,-0.515619424136885,-0.00354366489767434,0.177307692307692,-0.00140056022408963,0,0.00701754385964913,0.0666666666666667,0,0.0333333333333333,-0.125,-0.155769230769231,-0.0797368421052631,0.100696196145697
"ILK",-0.30883141016278,-0.110972388955582,-0.132572388955582,-0.253909386286436,-0.291063879210221,-0.159401709401709,-0.1,-0.153846153846154,0.158995037220844,-0.0490196078431372,-0.1,-0.0669683257918552,-0.259243697478992,-0.267218196457327,0.410582010582011,-0.000238784038205448,0.019047619047619,-0.0191686748351039,0.0333333333333333,0.117827461971365,-0.100411764705882,0.165969993476843,0.156380952380952,0.156380952380952,-0.104411764705882,0.367619047619048,0.2,0.2,0.1,0.277777777777778,-0.233393980975417,0.0200550466914829,-0.333831289483463,-0.359906191923908,-0.350215470274424,-0.316908212560386,-0.277777777777778,-0.333831289483463,-0.316908212560386,-0.156380952380952,0.110980870396939,0.075,-0.515619424136885,-0.00354366489767434,0.177307692307692,-0.00140056022408963,0,0.00701754385964913,0.0666666666666667,0,0.0333333333333333,-0.125,-0.155769230769231,-0.0797368421052631,0.100696196145697
"TGFR",0.041609619793636,0.107546432062561,0.0958026598205682,0.0716458998299933,-0.072812457620223,0.108456068575882,0.127241379310345,0.102241379310345,0.192546101050194,-0.0173558897243108,0.11,-0.028983796701055,-0.0267099567099567,-0.0464569608455369,0.00882603144527843,-0.127217816230073,-0.128070175438597,-0.0362930011862396,-0.133333333333333,0.10056633356641,0.0715476190476191,0.132121971595656,0.130952380952381,0.130952380952381,0.159047619047619,-0.00992025645101468,-0.0142857142857143,-0.0333333333333333,0,-0.0233333333333333,0.0245459107581628,0.0211097434040779,0.00486262826878517,0.00177906784990239,0.00151334597213445,0.010125786163522,0.00428571428571428,-0.0134379619163551,-0.00892183288409704,-0.130952380952381,-0.0609093211752786,-0.173333333333333,-0.0597321470438286,-0.000772763688872671,-0.0624106562703054,0.125847953216374,0.0333333333333333,0.0143093240347245,0.0226190476190476,-0.126666666666667,0.00833333333333333,-0.186666666666667,-0.200459770114943,-0.101013318819235,-0.126927259254982
"Wnt",-0.361119081779053,-0.142735042735043,-0.145060624130392,-0.27020202020202,-0.343076923076923,-0.170995670995671,-0.1,-0.109090909090909,0.160714285714286,-0.193333333333333,0,-0.180833333333333,-0.278333333333333,-0.328053830227743,0.517476489028213,-0.00431372549019608,0.0333333333333333,-0.0473529411764706,0,0.174310344827586,-0.12,0.195522898154477,0.190977443609023,0.190977443609023,-0.1,0.341818181818182,0,0.1,0,0.2,-0.245238095238095,0.029364406779661,-0.322368421052632,-0.370547228999651,-0.347368421052632,-0.275,-0.1,-0.322368421052632,-0.275,-0.190977443609023,0.12,0.1,-0.54987624340354,-0.000573888091822095,0.175757575757576,-0.0133333333333333,0.1,-0.0176470588235294,0.133333333333333,0,0.1,-0.15,-0.135714285714286,-0.0607598039215686,0.133846153846154
