"","AKT","IKK","SHH","Patched","NFB","Csn","TGF","SMO","TGFR","ILK","TrCP","SUFU","RKIP","TCFLEF","CD44","cMet","GLI","Wnt","RAS","RAF","PI3K","DELTA","STAT","LIV1","AXIN2","TWIST1","SNAI2","SOSGRB2","GSK3","FOXC2","cateninmemb","DSH","EGR1","Frizzled","MEK","ERK","cfos","SRC","Destcompl","Ecadherin","cateninnuc","SNAI1","ZEB1","Csl","HEY1","NOTCHic","NOTCH","SMAD","FUS","PAK1","Jagged","CDC42","miR200","ZEB2","KLF4"
"RKIP",0.0152056277056277,0.0303571428571429,0.154142076502732,0.142666666666667,0.0428571428571429,0,0.17613707165109,0.146666666666667,0.173333333333333,0.139002995293111,0,0.1,0.126120448179272,0.0880137406453196,0.0873144399460189,0.0719298245614035,0.0820512820512821,0.0666666666666667,-0.21529304029304,-0.217857142857143,-0.217857142857143,-0.217857142857143,0.1,0,0.0723159868729489,0.00577243018419489,-0.0596934195955004,0.0231746031746032,-0.331126871552404,-0.131756557618627,-0.0229288111641053,-0.1,-0.08,-0.0666666666666667,-0.0493690388848129,-0.0472413793103448,-0.03,-0.0666666666666667,-0.354545302441534,-0.0348501802238581,-0.0913216286860321,-0.175760522218884,0.0207680535628886,-0.277777777777778,-0.123422377080914,-0.241414141414141,-0.256798756798757,-0.145933688362418,-0.166666666666667,-0.133333333333333,-0.153535047295659,-0.14,-0.192697336304181,-0.219347680535629,-0.203347680535629
"RAF",0.0152056277056277,0.0303571428571429,0.154142076502732,0.142666666666667,0.0428571428571429,0,0.17613707165109,0.146666666666667,0.173333333333333,0.139002995293111,0,0.1,0.126120448179272,0.0880137406453196,0.0873144399460189,0.0719298245614035,0.0820512820512821,0.0666666666666667,-0.21529304029304,-0.217857142857143,-0.217857142857143,-0.217857142857143,0.1,0,0.0723159868729489,0.00577243018419489,-0.0596934195955004,0.0231746031746032,-0.331126871552404,-0.131756557618627,-0.0229288111641053,-0.1,-0.08,-0.0666666666666667,-0.0493690388848129,-0.0472413793103448,-0.03,-0.0666666666666667,-0.354545302441534,-0.0348501802238581,-0.0913216286860321,-0.175760522218884,0.0207680535628886,-0.277777777777778,-0.123422377080914,-0.241414141414141,-0.256798756798757,-0.145933688362418,-0.166666666666667,-0.133333333333333,-0.153535047295659,-0.14,-0.192697336304181,-0.219347680535629,-0.203347680535629
"TCFLEF",0.132417515163658,0.138939254294093,0.160318528361275,0.167680491551459,0.119584415584416,0.115584415584416,0.0474390566566756,0.183809523809524,0.0471079308288611,0.106197159565581,0.142857142857143,0.166666666666667,-0.0221182899389264,-0.118512286844323,-0.0186268343815514,-0.0161111111111111,-0.0257201721268217,-0.0219934640522876,0.0508244534414523,0.0475393023245009,0.0475393023245009,0.0475393023245009,0,0,-0.0335540903540903,0.0546466956961022,-0.048927080035362,-0.21533486872409,0.206422353494864,0.00839067119417704,0.0242911866885393,0.00588235294117647,-0.257142857142857,0.0108823529411765,-0.241390409822466,-0.239349593495935,-0.249825783972125,0.005,0.230454910965779,0.0480369675485331,0.120660053167347,0.00377474687098118,-0.0409440014176856,-0.043663318986131,-0.0841135534621118,-0.051506456241033,-0.0392140974370463,-0.107535591687952,-0.16,-0.0564102564102564,-0.124151288514369,-0.0471079308288611,-0.155396912324623,-0.198765195817827,-0.107588489941431
"cMet",-0.153333333333333,-0.153333333333333,0.0365909090909091,0.0490909090909091,-0.2,-0.1,-0.00427304964539008,0.04,-0.0191666666666667,0.0371882086167801,0,0.1,-0.0592592592592593,-0.0441920095408467,-0.0549612403100775,-0.0433333333333333,-0.056969696969697,-0.0433333333333333,-0.286558849955076,-0.275238095238095,-0.275238095238095,-0.275238095238095,0,0.1,-0.0547619047619048,-0.00610198789974071,0.0130383809215926,-0.0680952380952381,-0.240226574500768,0.00123417721518988,0.0513718665675961,0.1,0.1,0.05,0.104545454545455,0.11,0.1,-0.05,-0.209812229560129,0.0497086484988769,0.0413671507837846,-0.0601086692076879,-0.00808080808080808,-0.257142857142857,-0.0287237702098383,-0.283458646616541,-0.285586306191009,-0.0517336631622346,0,0.00666666666666668,-0.041659065572109,0.0191666666666667,0.0398598759332455,0.0138528138528139,0.126984126984127
"CD44",-0.153333333333333,-0.2,0.0490909090909091,0.04,-0.1,0,-0.0191666666666667,0,-0.0191666666666667,0.0555555555555556,-0.1,0.1,-0.0740740740740741,-0.0549612403100775,-0.0433333333333333,0.05,-0.0433333333333333,-0.05,-0.275238095238095,-0.266666666666667,-0.266666666666667,-0.266666666666667,0.1,0.1,-0.05,-0.0184615384615385,0.00281940281940282,-0.0547619047619048,-0.243452380952381,0.0025,0.0431868131868132,0,0.1,0.1,0.11,0.1,0.1,0,-0.199001418749318,0.0479274780154163,0.0441920095408467,-0.0550239234449761,-0.0111111111111111,-0.3,-0.0502923976608187,-0.257142857142857,-0.283458646616541,-0.0371882086167801,-0.1,0.0666666666666667,-0.0568764568764569,0.00666666666666668,0.0476723759332455,0.026984126984127,0.146031746031746
"IKK",0.0180823680823681,0.0261904761904762,-0.119029374201788,-0.125925925925926,0.142857142857143,0.1,-0.00408888888888889,-0.1,0.0111111111111111,-0.109722222222222,0.2,-0.1,-0.15792349726776,0.0142503259452412,0.0182051282051282,0.0166666666666667,0.0182051282051282,0.0166666666666667,0.187277080510894,0.178826376285541,0.178826376285541,0.178826376285541,0.05,0.1,0.040952380952381,-0.00679738562091503,0.0482836422240129,0.0724789915966387,0.297417582417582,0.168138528138528,-0.051896641533513,-0.05,0,-0.0166666666666667,-0.00361904761904762,-0.0102857142857143,-0.0142857142857143,-0.0166666666666667,0.208564628393724,-0.0220303141564751,-0.0108747985190809,0.164602770709641,-0.0388370927318296,0.145454545454545,0.104024767801858,0.15021645021645,0.158152958152958,0.122593509350935,0.08,0,0.0489362699156514,-0.0111111111111111,0.0658416945373467,0.0874085213032581,0.0655677655677656
"NFB",0.026971256971257,0.0180823680823681,-0.126258289864439,-0.119029374201788,0.0261904761904762,0.142857142857143,-0.0116838255977496,-0.125925925925926,-0.00408888888888889,-0.122593509350935,0.1,-0.08,-0.161769651113913,0.0108747985190809,0.0142503259452412,0.0182051282051282,0.0148343416882743,0.0182051282051282,0.189764642699948,0.187277080510894,0.187277080510894,0.187277080510894,0.0166666666666667,0.05,0.0381155015197568,-0.00584500466853408,0.0468608779963706,0.073531623175586,0.303299935358759,0.16455287076801,-0.0543253638144,-0.0166666666666667,-0.0142857142857143,-0.0166666666666667,0.00618487394957983,-0.00361904761904762,-0.0102857142857143,-0.0166666666666667,0.213381904141233,-0.0207462050071974,-0.00969832793084557,0.170904140572655,-0.0361551003946648,0.15021645021645,0.111167624944715,0.158152958152958,0.157507796862636,0.133374178495917,0.1,-0.0111111111111111,0.0561305145199679,-0.0111111111111111,0.0739987942352319,0.0954544983147524,0.0867216117216117
"Csn",0.127533333333333,0.128333333333333,-0.0558432782917183,-0.0484662291113904,0.128333333333333,0.12,-0.146284557651351,-0.0344877344877345,-0.138885989632258,-0.0338858695652174,0.22,-0.0142857142857143,-0.221813430471967,-0.177525972315176,-0.173667451414855,-0.168778562525966,-0.173582055975748,-0.168778562525966,0.264155797490354,0.258973455839682,0.258973455839682,0.258973455839682,-0.15,-0.133333333333333,-0.120826152817123,-0.0243470469066542,-0.0545913043937327,-0.0170690649141012,0.526609102171704,0.165496687315999,-0.0708357746404486,0.15,-0.0266666666666667,0.160344827586207,-0.00640151515151515,-0.00848484848484848,-0.0175757575757576,0.160344827586207,0.474165809243537,-0.0109808254534766,0.180592719158231,0.238484715778704,-0.0399222497932175,0.159090909090909,0.0220044296788483,0.165584415584416,0.178084415584416,0.0403126047837264,0.0253968253968254,0.118181818181818,0.0674863299378473,0.128629579375848,0.0854610415823415,0.117786600496278,0.0987445234504058
"TWIST1",-0.0694139194139194,-0.0694139194139194,-0.0678934101116434,-0.0595190258751902,-0.0884615384615385,-0.05,0.0163646003670354,-0.0608888888888889,0.0124921630094044,-0.179320229320229,0,-0.0333333333333333,-0.0798963081571777,0.058100380812977,0.0567221266016447,0.0587301587301587,0.0573827903091061,0.0597827903091061,0.0399688624746461,0.042023656995194,0.042023656995194,0.042023656995194,0.0476190476190476,0.0333333333333333,0.0596235484945162,-0.0921852184809851,0.0512122204930116,0.0739834536173209,-0.094736757296063,0.104257557895967,-0.040483103766569,-0.0476190476190476,0.0666666666666667,-0.0587301587301587,0.0770631966027984,0.0815408085430969,0.0710144927536232,-0.0587301587301587,-0.0959388955726238,-0.0323488786890891,-0.0580428765001535,0.0971135948998627,-0.0636294188925768,0.0562962962962963,0.176792698826597,0.0486039886039886,0.0514341772832339,0.17040933823112,0.0888888888888889,-0.0381818181818182,0.0621327368043206,-0.0174921630094044,0.109702337281207,0.120526667017895,0.125370022930999
"ZEB1",0.139814289822918,0.136957146965775,0.0562782683438953,0.0658868092691622,0.13859649122807,0.133333333333333,0.242630922171647,0.0776515151515151,0.24853643398267,0.148022334246285,0.133333333333333,0.108333333333333,-0.00608572600835656,-0.280889407177984,-0.277697917816282,-0.273531251149616,-0.283304573642768,-0.278837219690878,-0.0171579001042985,-0.0229846717578419,-0.0229846717578419,-0.0229846717578419,-0.256410256410256,-0.233333333333333,-0.138750715746218,0.235411270779632,-0.0967576790370674,0.234463937621832,0.306246681457081,0.108793643578405,-0.0172339988079647,0.261904761904762,-0.0333333333333333,0.269221835075494,0.000628833031009758,-0.00509803921568628,-0.0133333333333333,0.263727329580988,0.327725747789229,0.151841948646516,0.283139896414775,0.0216824464478248,0.226226968933116,-0.0791666666666667,-0.142250262690677,-0.0693627450980392,-0.0561396046021715,-0.136964641938593,-0.0958333333333333,-0.26455938697318,-0.0361274428750535,-0.260211560886224,0.221570578052735,0.127862345491766,0.104616105581479
"cateninmemb",0.00297258297258298,-0.00222222222222222,-0.0243300736601473,-0.0133064516129032,-0.0133333333333333,0.02,-0.0142956473391793,-0.0208333333333333,-0.0159231337767923,-0.0749565217391304,0,0.0333333333333333,-0.0688380016630418,-0.00614480888073811,-0.00676747388696476,-0.00442633676321894,-0.0062234382124943,-0.00355677154582763,0.0192911010558069,0.0192911010558069,0.0192911010558069,0.0192911010558069,-0.00588235294117647,0,-0.0297886550389396,-0.0291152006426407,-0.0221518164436572,0.0873303541873552,0.113511800405222,0.10418285009542,0.00605296910571606,0.00588235294117647,0.110909090909091,0.00355677154582763,0.105285480640241,0.102540382601025,0.0932620320855615,0.00355677154582763,0.115326292226244,-0.0736951199982735,0.00679840365197994,0.0847260508231068,-0.0436579460918815,0.0630622009569378,0.0578327633677022,0.0579075617816801,0.0567923201459923,0.0722930834824718,0.0333333333333333,-0.000727272727272732,0.0250688053102635,0.0086060606060606,0.114254359338158,0.133948150974034,0.119878105954055
"RAS",0.0866666666666667,0.0866666666666667,-0.00719774011299435,0.00466666666666667,0.0666666666666667,0.1,-0.138578916715201,0.0166666666666667,-0.143529411764706,-0.00606060606060606,0.2,0.1,-0.247553459119497,-0.082540675844806,-0.082540675844806,-0.0676470588235294,-0.0843137254901961,-0.0676470588235294,0.127564102564103,0.225641025641026,0.225641025641026,0.225641025641026,-0.1,0,-0.0687220026350461,-0.0280523731587561,-0.0368238210732003,-0.128138528138528,0.208501291989664,0.149206349206349,-0.074643221453101,0.1,-0.08,0.05,-0.0700928792569659,-0.0642105263157895,-0.08,0.05,0.199042283926005,-0.0645993276537668,0.0850902509156275,0.223726647000983,-0.0760787923416789,0.1,0.00810276679841897,0.0736842105263158,0.0982125124131082,0.00810142238713667,0,0.1,7.88488074117882e-05,0.12,0.140030769230769,0.168125920471281,0.156785714285714
"SNAI2",-0.0577032266999031,-0.0589080459770115,-0.124482018159376,-0.127298919567827,-0.0416666666666667,-0.0666666666666667,0.0315321223249612,-0.121176470588235,0.0377433024491848,-0.097719651240778,-0.1,-0.1,-0.129551282051282,-0.100573155858289,-0.0987174857551959,-0.0976422169379916,-0.0981769762962804,-0.0976422169379916,-0.0298569115556155,-0.0316833955738804,-0.0316833955738804,-0.0316833955738804,-0.0890909090909091,-0.08,-0.0747153788727137,0.0531605530080278,-0.0604654206735999,0.133198106828938,0.157851664546061,0.145112674829256,0.00124960602184029,0.0890909090909091,0.133333333333333,0.0962337662337662,0.132114467408585,0.129411764705882,0.13921568627451,0.0962337662337662,0.160889834413946,0.00330203165751624,0.1008837148645,0.144436036634709,-0.0862737570799245,0.0824561403508772,0.0734327908378541,0.0982456140350877,0.10084301663249,0.108724435929773,0.08,-0.0372549019607843,0.113626918723996,-0.0420168067226891,0.140228963281936,0.170322634780785,0.1425
"MEK",-0.0234409218232748,-0.0152056277056277,-0.16394599807136,-0.154142076502732,-0.0303571428571429,-0.0428571428571429,-0.173947290629193,-0.142666666666667,-0.17613707165109,-0.145933688362418,0,-0.166666666666667,-0.12875202712664,-0.0913216286860321,-0.0880137406453196,-0.0873144399460189,-0.0827505827505828,-0.0820512820512821,0.220054945054945,0.21529304029304,0.21529304029304,0.21529304029304,-0.0666666666666667,-0.1,-0.071415085972048,-0.00980173421349892,0.0592068015906342,-0.0320634920634921,0.338743579169111,0.138963764825834,0.0226849087250809,0.0666666666666667,0.03,0.0666666666666667,-0.0522976277818537,0.0493690388848129,0.0472413793103448,0.0719298245614035,0.359984632985467,0.0344858814989036,0.0944814799871473,0.189863086321448,-0.0223553551501902,0.241414141414141,0.123422377080914,0.256798756798757,0.267747661908246,0.143350662532159,0.146666666666667,0.14,0.156813735820249,0.173333333333333,0.204771639709754,0.224903236091184,0.217073170731707
"SOSGRB2",0.166374269005848,0.149707602339181,-0.0701864655353028,-0.0585585585585586,0.144444444444444,0.2,-0.184284934923233,-0.0666666666666667,-0.176483516483517,-0.0593548387096774,0.1,0,-0.0635964912280702,-0.101519014928626,-0.0973084886128364,-0.0813664596273292,-0.0933229813664596,-0.0773809523809524,0.293517311313922,0.297363465160075,0.297363465160075,0.297363465160075,-0.1,0,-0.0818275577557756,-0.0780869565217391,-0.0332339274354975,-0.118611111111111,0.338433008475084,0.103943833943834,0.00943882843882844,0.1,-0.0142857142857143,0.0857142857142857,-0.00582270582270582,-0.0118833118833119,-0.0253968253968254,0.0857142857142857,0.330052199850858,0.0209694386195829,0.104004674584458,0.188429992892679,-0.051516290726817,0.345454545454545,0.0456439393939394,0.33006993006993,0.334295282182606,0.0670471464019851,0.0666666666666667,0.135714285714286,0.069249815726377,0.145714285714286,0.180918571356492,0.227330827067669,0.214473684210526
"SMAD",-0.210233426704015,-0.216900093370682,-0.117172276980094,-0.124235474006116,-0.203174603174603,-0.188888888888889,-0.246829377818992,-0.141666666666667,-0.252805473436522,-0.14933550467797,-0.2,-0.141666666666667,-0.0358139245236019,0.120913725236816,0.119149817502759,0.118786181139122,0.134004884004884,0.134004884004884,-0.12929308408974,-0.125674663037108,-0.125674663037108,-0.125674663037108,0.105714285714286,0.12,0.0887591773102873,-0.142477133624997,-0.0173782582663074,-0.181196391600118,-0.251132014741037,-0.0440397053356588,-0.0112547292160155,-0.119047619047619,0,-0.13015873015873,-0.025711235501183,-0.0295573893473368,-0.0225806451612903,-0.116825396825397,-0.190736851132789,-0.0295073352184406,-0.122028213585347,0.0420622070581748,0.0773805520242076,0.141904761904762,0.133410346813218,0.124663382594417,0.115933223864258,0.0512402665827324,0.141666666666667,0.276190476190476,0.12454768887027,0.252246814218645,0.224329024064606,0.237882591011447,0.25195436956631
"ERK",-0.0280280777865775,-0.0234409218232748,-0.162496722709041,-0.16394599807136,-0.0152056277056277,-0.0303571428571429,-0.181364873046775,-0.154142076502732,-0.173947290629193,-0.143350662532159,-0.0428571428571429,-0.146666666666667,-0.140729743004077,-0.0944814799871473,-0.0913216286860321,-0.0880137406453196,-0.0850062218483271,-0.0827505827505828,0.221265066067046,0.220054945054945,0.220054945054945,0.220054945054945,-0.0719298245614035,-0.0666666666666667,-0.0738541103622919,-0.0138239256143311,0.0574033750802645,-0.0291508707042688,0.342467466544225,0.144604790466859,0.0209369786422842,0.0666666666666667,0.0472413793103448,0.0820512820512821,-0.0525761793138872,-0.0522976277818537,0.0493690388848129,0.0873144399460189,0.364456635991856,0.0341769216636822,0.0959398133204806,0.1917149381733,-0.0231427567249933,0.256798756798757,0.123763674009241,0.267747661908246,0.269132703459492,0.145782273474409,0.142666666666667,0.173333333333333,0.15771735027808,0.17613707165109,0.211389286768578,0.237974102232917,0.223274721119304
"AXIN2",0.0806763285024155,0.0806763285024155,-0.19797138653696,-0.190430402930403,0.0821256038647343,0.0777777777777778,-0.153648809079531,-0.181501831501831,-0.147378182016825,-0.134230503795721,0.0666666666666667,-0.15,-0.235985860018118,-0.166259637195044,-0.162625405073122,-0.158524458700882,-0.162298043606542,-0.158524458700882,0.142632826699524,0.13895828601711,0.13895828601711,0.13895828601711,-0.14,-0.133333333333333,-0.128106094715939,-0.0397908282086781,-0.101609772535951,0.00293141796648108,0.264894824854779,0.170154466922617,-0.150137312304684,0.14,0.0266666666666667,0.151627906976744,0.0420651402131166,0.0379272091786338,0.0388617886178862,0.151627906976744,0.272284975886951,-0.0306963106597913,0.168464565859117,0.260759954590545,-0.106467711155457,0.126666666666667,0.121881893484328,0.146309523809524,0.152390604890605,0.140976535541753,0.157692307692308,0.125833333333333,0.182560623864972,0.139413580246914,0.208356358663585,0.263461537742816,0.24427184015947
