"","SHH","TGFR","FUS","Csl","AKT","NOTCHic","IKK","GSK3","KLF4","RKIP","MEK","ERK","EGR1","SOSGRB2","Destcompl","AXIN2","GLI","Wnt","Frizzled","cateninnuc","TCFLEF","cateninmemb","Ecadherin","RAF","PI3K","DELTA","RAS","miR200","LIV1","STAT","SRC","DSH","cMet","CD44","SNAI2","ZEB2","ZEB1","cfos","SNAI1","TWIST1","Csn","TrCP","SUFU","NOTCH","NFB","HEY1","Jagged","SMO","PAK1","CDC42","TGF","Patched","ILK","SMAD","FOXC2"
"ILK",0.0352564102564103,0.246882352941176,0.05,0.1,0.0832579185520362,0.0923076923076923,0.096078431372549,-0.378968253968254,0.0405701754385965,0.28425985778927,0.207521697203472,0.205882352941176,0.2,0.0119230769230769,-0.519442387541443,-0.379619047619048,-0.352292827945002,-0.316908212560386,-0.277777777777778,-0.382796642960437,-0.369806952238787,-0.250903432909961,-0.152402295508989,0.157679653679654,0.157679653679654,0.157679653679654,0.156309790665955,0.155251003611659,0.1,0.2,0.277777777777778,0.2,0.316908212560386,0.352292827945002,0.269581975566909,-0.0386159663729166,-0.0386159663729166,-0.2,-0.268027375201288,0.0667209720666599,-0.1,0,-0.1,-0.069727047146402,-0.0666666666666667,-0.101708539333401,0.08,-0.0666666666666667,-0.225,-0.230882352941176,-0.254199426111908,-0.0435897435897436,-0.118671468587435,-0.130671468587435,-0.210058072009291
"Csl",0.0331007135463067,0.330521014542383,0.0743589743589744,0.0095852534562212,0.0795865633074936,-0.016730536017463,0.072609819121447,-0.155400717252348,0.0268530020703934,0.221280754892436,0.221635610766046,0.223809523809524,0.226666666666667,0.0389022445248376,-0.287213652636486,-0.335171504714479,-0.29248740506805,-0.277971276035792,-0.253240093240093,-0.309210163785996,-0.304921999120472,-0.285147583570911,-0.183999502998987,-0.0773979244144161,-0.0773979244144161,-0.0773979244144161,-0.0748243950026515,0.141189724678334,0.16,0.213846153846154,0.253240093240093,0.213846153846154,0.280712620712621,0.294998334998335,0.147378100162587,-0.0354355388297257,-0.0354355388297257,-0.226666666666667,-0.21663203141464,0.00107022190523423,-0.0777777777777778,-0.0666666666666667,-0.0666666666666667,0.0240032632901903,-0.0888888888888889,-0.0515288434214266,0.0312733611740234,-0.044947209653092,-0.315111111111111,-0.32478853046595,-0.333468860347372,-0.0417214032014791,-0.154539225762247,-0.155650336873358,-0.267574099717751
"HEY1",-0.368010752688172,0.0304242424242424,-0.3,-0.305454545454545,-0.111534391534392,-0.326507177033493,-0.115238095238095,-0.400559803323961,0,0.061698618841476,-0.125998125585754,-0.129090909090909,-0.12,-0.176858204688393,-0.414952254951324,-0.513830686956539,-0.464154755727471,-0.445189238486092,-0.419607843137255,-0.476917165115746,-0.471811312064687,-0.439301977381246,-0.167422670333012,-0.103076923076923,-0.103076923076923,-0.103076923076923,-0.0986651583710407,0.0367399267399267,0.3,0.366666666666667,0.419607843137255,0.366666666666667,0.445189238486092,0.463450108051309,0.53320856219964,-0.0343962848297214,-0.0343962848297214,0.129090909090909,-0.0888200687140854,0.334474945533769,0.1,0.1,0.2,0.335785527548957,0.12,-0.0410236822001528,0.434553632274772,0.333333333333333,-0.00909090909090909,-0.0210909090909091,-0.0367657058388766,0.358333333333333,-0.0106666666666667,-0.016463768115942,0.165810199188905
"LIV1",0.0702729703589919,0.333396995161701,0.0976190476190476,0.0423076923076923,0.0957846003898636,0.0192307692307692,0.0883771929824561,-0.0759339826839827,0.0276736924277908,0.221988692706925,0.239986244166053,0.242652910832719,0.24,0.0644939493949395,-0.248251437722938,-0.289958174551538,-0.253949507916132,-0.241754385964912,-0.223333333333333,-0.268432567083984,-0.264984291221915,-0.251335188034205,-0.178391656905785,-0.0524483235028429,-0.0524483235028429,-0.0524483235028429,-0.0510846871392065,0.13883123777122,0.15,0.19,0.223333333333333,0.19,0.244954954954955,0.256836143073767,0.061251563429333,-0.0335490858831952,-0.0335490858831952,-0.244347826086957,-0.21189113314608,-0.0565506305288914,-0.0916666666666667,-0.0666666666666667,-0.080952380952381,-0.0148351648351648,-0.104166666666667,-0.150421112972925,-0.0135640337423313,-0.0750384024577573,-0.319047619047619,-0.328851540616246,-0.335036339423996,-0.0762729703589919,-0.155845707458611,-0.156490868748933,-0.290940907902269
"NOTCHic",0.0417214032014791,0.32478853046595,0.0666666666666667,0.125714285714286,0.072609819121447,0.0095852534562212,0.0888888888888889,-0.144060511066781,0.0297101449275362,0.215289971482298,0.223809523809524,0.226666666666667,0.26,0.0445933014354067,-0.278986961594438,-0.313320604971548,-0.277971276035792,-0.253240093240093,-0.213846153846154,-0.304921999120472,-0.294998334998335,-0.282395289992929,-0.187139037882708,-0.0729644268774703,-0.0729644268774703,-0.0729644268774703,-0.0773979244144161,0.138357480669619,0.1,0.16,0.213846153846154,0.16,0.253240093240093,0.280712620712621,0.133134998000022,-0.0326731078904992,-0.0326731078904992,-0.226666666666667,-0.211493691493691,-0.00367018441530753,-0.0666666666666667,-0.1,-0.0666666666666667,0.016730536017463,-0.0777777777777778,-0.0482608695652174,0.0229400278406901,-0.0743589743589744,-0.311111111111111,-0.315111111111111,-0.330521014542383,-0.044947209653092,-0.152380952380952,-0.154539225762247,-0.270447662936142
"cfos",0.0762729703589919,0.328851540616246,0.080952380952381,0.05,0.0883771929824561,0.0423076923076923,0.104166666666667,-0.0675703463203463,0.030952380952381,0.217016317016317,0.242652910832719,0.244347826086957,0.16,0.0694444444444444,-0.241935648249254,-0.272348111658457,-0.241754385964912,-0.223333333333333,-0.19,-0.264984291221915,-0.256836143073767,-0.248771085470102,-0.180952210539003,-0.0463507625272331,-0.0463507625272331,-0.0463507625272331,-0.0524483235028429,0.136800780918428,0.1,0.15,0.19,0.15,0.223333333333333,0.244954954954955,0.0496783265396404,-0.0312982820246743,-0.0312982820246743,-0.24,-0.207833853909803,-0.0603549783549783,-0.0666666666666667,-0.1,-0.0666666666666667,-0.0192307692307692,-0.0916666666666667,-0.148950524737631,-0.0203125,-0.0976190476190476,-0.314285714285714,-0.319047619047619,-0.333396995161701,-0.0750384024577573,-0.154232804232804,-0.155845707458611,-0.293699528591925
"DELTA",0.0743589743589744,0.311111111111111,0.1,0.2,0.0777777777777778,0.14,0.0666666666666667,-0.104597701149425,0.0166666666666667,0.18974358974359,0.226666666666667,0.26,0.1,0.08,-0.245158301158301,-0.231428571428571,-0.213846153846154,-0.16,-0.1,-0.280712620712621,-0.253240093240093,-0.265112493140662,-0.19319298245614,-0.0533333333333333,-0.0533333333333333,-0.0533333333333333,-0.0715151515151515,0.130909090909091,0,0,0.1,0,0.16,0.213846153846154,0.0791603821015586,-0.0297101449275362,-0.0297101449275362,-0.2,-0.2,-0.03,0,0,0,-0.125714285714286,-0.1,-0.05,-0.0166233766233766,-0.0666666666666667,-0.2,-0.3,-0.315111111111111,-0.0666666666666667,-0.15,-0.135714285714286,-0.275714285714286
"FUS",-0.0448484848484848,0.0670720720720721,-0.0266666666666667,-0.245454545454545,-0.0728571428571429,-0.250454545454545,-0.0728571428571429,-0.364455876190785,0.00769581056466302,0.171659302896416,0.0341708865846797,0.0307226107226107,0.02,-0.116801619433198,-0.388177479737487,-0.481232111217119,-0.225320512820513,-0.204166666666667,-0.1875,-0.347762218970812,-0.341240479840378,-0.230162889296749,-0.034734055303713,-0.0238707513416816,-0.0238707513416816,-0.0238707513416816,-0.0234340701189741,0.126956176630321,0.2,0.25,0.296666666666667,0.15,0.313333333333333,0.333721682847896,0.428217027845827,-0.0269817337353991,-0.0269817337353991,-0.0276923076923077,-0.183200011593195,0.0846262647001791,0.05,0.1,-0.133333333333333,0.257272727272727,0.0928571428571429,-0.0359133620003185,0.201771530566711,0.0266666666666667,-0.0533333333333333,-0.0616666666666667,-0.0734550507954763,0.0377777777777778,-0.0250793650793651,-0.0334664618535586,-0.100499092558984
"SHH",-0.0266666666666667,0.0333333333333333,0.2,-0.1,-0.05,-0.2,-0.1,-0.305128205128205,0,0.16,0.02,0,0,-0.1,-0.342597402597403,-0.371428571428571,-0.15,-0.1,0,-0.313333333333333,-0.296666666666667,-0.209462365591398,-0.0463888888888889,-0.05,-0.05,-0.05,-0.0269230769230769,0.116666666666667,0,0.1,0.1,0,0.2,0.25,0.36727969348659,-0.025,-0.025,-0.1,-0.15,0.05,0,0,-0.2,0.2,0,0,0.162857142857143,-0.1,0,-0.0333333333333333,-0.0533333333333333,-0.133333333333333,0,-0.0166666666666667,-0.1
"GLI",0.0898878589772491,0.149338538278031,0.114285714285714,-0.0362157382847038,0.0124876924453992,-0.0512157382847038,0.00936269244539921,-0.218794675910754,0.0155692835692836,0.167261851025505,0.116524359618282,0.118181818181818,0.114285714285714,0.0521985978623147,-0.272111171051251,-0.290692934782609,-0.227173482982761,-0.113130929791271,-0.0954838709677419,-0.272755642395655,-0.267555403304203,-0.249438684069281,-0.175338203274668,-0.0928866244788812,-0.0928866244788812,-0.0928866244788812,-0.0918965254689802,0.122415541115232,0.15,0.19,0.225483870967742,0.06,0.244996066089693,0.258789169537969,0.0546197676221368,-0.0196173408431473,-0.0196173408431473,-0.114285714285714,-0.163580134118912,-0.0328836161009336,-0.0166666666666667,0.0166666666666667,-0.114285714285714,0.0569300239989895,-0.0114035087719298,-0.0483900979232049,0.0662060348933287,-0.0984962406015037,-0.133333333333333,-0.14367816091954,-0.151456185336854,-0.0944146079484425,-0.0482607920450354,-0.049882413666657,-0.217798525111799
"SRC",0.0205228758169935,0.128571428571429,0.05,0.045,0.0867521367521367,0.0211904761904762,0.0756410256410256,0.151168831168831,-0.10968992248062,0.143010752688172,0.140537449971412,0.142424242424242,0.166666666666667,-0.05,-0.0703145405319318,-0.320859365038888,-0.284754098360656,-0.27,-0.25,-0.292417654861993,-0.290851659336266,-0.302157236940578,-0.234224811136576,-0.144030037546934,-0.144030037546934,-0.144030037546934,-0.139484583001479,0.0864178012004099,0.2,0.3,0.25,0.2,0.27,0.284754098360656,0.206055861605897,0.00336927223719676,0.00336927223719676,-0.175757575757576,-0.0299198602703436,-0.0248692686623721,-0.15,-0.1,-0.1,-0.0211904761904762,-0.0833333333333333,-0.0327540549486925,0.0447388849682428,-0.03,-0.133333333333333,-0.133333333333333,-0.134025974025974,-0.0411111111111111,-0.0826754385964912,-0.0907835467045993,-0.0952894491129785
"SMAD",-0.206199339495015,-0.257018648202061,-0.204166666666667,-0.178095238095238,-0.176610644257703,-0.172348111658456,-0.176610644257703,-0.165462104033533,-0.0148858197311055,-0.172413491945357,-0.225748126592088,-0.227671203515165,-0.228571428571429,-0.0979591836734694,-0.0402580879680116,0.0359087005401513,0.0147082334132694,0.0111111111111111,0.0111111111111111,0.0382750094485286,0.0375657895903726,0.0484346239864938,0.0534644040719515,0.106616306546438,0.106616306546438,0.106616306546438,0.107932096020122,-0.119077034962606,-0.02,-0.02,-0.0311111111111111,0,-0.0330718954248366,-0.0363446226975639,0.110801688206536,0.0141005243857788,0.0141005243857788,0.225345622119816,0.148457604671314,0.122072858579955,0.183333333333333,0.15,0.191666666666667,0.171554460864806,0.178571428571429,0.205609894902024,0.191323278871666,0.204166666666667,0.25,0.254225352112676,0.255425022704054,0.205084097859327,0.228667496886675,0.128667496886675,0.257285741676115
"Patched",0.0266666666666667,-0.0533333333333333,-0.1,0.2,0.0928571428571429,0.2,0.05,0.333699633699634,-0.0111111111111111,-0.145714285714286,-0.0276923076923077,-0.02,-0.1,0.1,0.363476523476523,0.425974025974026,0.1875,0.15,0.1,0.333721682847896,0.313333333333333,0.220573476702509,0.0395927723840345,0.0269230769230769,0.0269230769230769,0.0269230769230769,0.0331730769230769,-0.116666666666667,-0.1,-0.1,-0.2,0,-0.25,-0.296666666666667,-0.392613026819923,0.0166666666666667,0.0166666666666667,0,0.166129032258065,-0.0759259259259259,0,0,0.2,-0.245454545454545,-0.1,0.0230769230769231,-0.181375661375661,0.133333333333333,0.0333333333333333,0.0333333333333333,0.0616666666666667,-0.0266666666666667,0.0166666666666667,0.0266666666666667,0.1
"SMO",0.0377777777777778,-0.0616666666666667,-0.133333333333333,0.2,0.0728571428571429,0.245454545454545,0.0928571428571429,0.354087983214197,-0.00277777777777778,-0.162380952380952,-0.0307226107226107,-0.0276923076923077,0,0.105263157894737,0.378980399445516,0.457008508732647,0.204166666666667,0.1875,0.15,0.341240479840378,0.333721682847896,0.227369593207363,0.03774775393385,0.0331730769230769,0.0331730769230769,0.0331730769230769,0.0238707513416816,-0.122995780590717,-0.1,-0.2,-0.25,-0.1,-0.296666666666667,-0.313333333333333,-0.415470169677066,0.0251412429378531,0.0251412429378531,0.02,0.175652841781874,-0.0788671023965142,-0.1,0,0.1,-0.250454545454545,-0.05,0.0373626373626374,-0.188518518518519,-0.0266666666666667,0.0333333333333333,0.0533333333333333,0.0670720720720721,-0.0266666666666667,0.0266666666666667,0.0250793650793651,0.096551724137931
"SUFU",0.0483233883233883,-0.0734550507954763,0.0266666666666667,0.250454545454545,0.0681591562799616,0.257272727272727,0.0728571428571429,0.372425027861737,-0.0082946129598726,-0.17859807840662,-0.0388517376485095,-0.0341708865846797,-0.0276923076923077,0.1188995215311,0.393653290476455,0.495049441427892,0.232383709846535,0.225320512820513,0.204166666666667,0.35067781999383,0.347762218970812,0.231936422721033,0.0336012025745678,0.0234340701189741,0.0234340701189741,0.0234340701189741,0.021535335941759,-0.129930154325489,-0.25,-0.296666666666667,-0.313333333333333,-0.1875,-0.333721682847896,-0.341240479840378,-0.436852492578853,0.0289141008851576,0.0289141008851576,0.0307226107226107,0.186436808867471,-0.0860695636692513,-0.0928571428571429,-0.05,-0.0266666666666667,-0.262828282828283,-0.0728571428571429,0.0467567354942944,-0.203434238405191,-0.0377777777777778,0.0616666666666667,0.0670720720720721,0.0787804945824586,-0.0448484848484848,0.0334664618535586,0.0360068775579466,0.101739787348066
"Jagged",-0.0743589743589744,-0.311111111111111,-0.1,-0.2,-0.0777777777777778,-0.14,-0.0666666666666667,0.104597701149425,-0.0166666666666667,-0.18974358974359,-0.226666666666667,-0.26,-0.1,-0.08,0.245158301158301,0.231428571428571,0.213846153846154,0.16,0.1,0.280712620712621,0.253240093240093,0.265112493140662,0.19319298245614,0.0533333333333333,0.0533333333333333,0.0533333333333333,0.0715151515151515,-0.130909090909091,0,0,-0.1,0,-0.16,-0.213846153846154,-0.0791603821015586,0.0297101449275362,0.0297101449275362,0.2,0.2,0.03,0,0,0,0.125714285714286,0.1,0.05,0.0166233766233766,0.0666666666666667,0.2,0.3,0.315111111111111,0.0666666666666667,0.15,0.135714285714286,0.275714285714286
"CDC42",-0.0762729703589919,-0.328851540616246,-0.080952380952381,-0.05,-0.0883771929824561,-0.0423076923076923,-0.104166666666667,0.0675703463203463,-0.030952380952381,-0.217016317016317,-0.242652910832719,-0.244347826086957,-0.26,-0.0694444444444444,0.241935648249254,0.272348111658457,0.241754385964912,0.223333333333333,0.19,0.264984291221915,0.256836143073767,0.248771085470102,0.180952210539003,0.0463507625272331,0.0463507625272331,0.0463507625272331,0.0524483235028429,-0.136800780918428,-0.1,-0.15,-0.19,-0.15,-0.223333333333333,-0.244954954954955,-0.0496783265396404,0.0312982820246743,0.0312982820246743,0.24,0.207833853909803,0.0603549783549783,0.0666666666666667,0.1,0.0666666666666667,0.0192307692307692,0.0916666666666667,0.148950524737631,0.0203125,0.0976190476190476,0.414285714285714,0.319047619047619,0.333396995161701,0.0750384024577573,0.154232804232804,0.155845707458611,0.293699528591925
"SNAI2",0.405944913176538,-0.0248078718666954,0.3,0.332894736842105,0.160576789918294,0.366228070175439,0.161781609195402,0.443384327526534,0,-0.0533717948717949,0.156862745098039,0.156862745098039,0.133333333333333,0.213624070317782,0.46283373714195,0.555679057452503,0.514221693799159,0.486948966526431,0.446103896103896,0.538300815662436,0.529294604482312,0.506415561566283,0.35478961498101,0.157861882311856,0.157861882311856,0.157861882311856,0.153295672266194,-0.0359736441329995,-0.3,-0.381818181818182,-0.446103896103896,-0.381818181818182,-0.486948966526431,-0.513830686956539,-0.19893154378214,0.0332504719949654,0.0332504719949654,-0.150980392156863,0.0805557728962463,-0.385515366366594,-0.133333333333333,-0.1,-0.2,-0.384409888357257,-0.158333333333333,0.0423447860156721,-0.483482078640656,-0.352941176470588,0.00588235294117647,0.015406162464986,0.0322612880157637,-0.387635054021609,0.00898725687458082,0.0142504147693177,-0.209319566003234
"NOTCH",-0.044947209653092,-0.315111111111111,-0.0666666666666667,-0.14,-0.0888888888888889,-0.125714285714286,-0.0777777777777778,0.125052246603971,-0.0297101449275362,-0.213881520778073,-0.226666666666667,-0.226666666666667,-0.2,-0.0536842105263158,0.266653628261105,0.278598382749326,0.253240093240093,0.213846153846154,0.16,0.294998334998335,0.280712620712621,0.276107257538568,0.191580079230334,0.0715151515151515,0.0715151515151515,0.0715151515151515,0.0729644268774703,-0.136623376623377,0,-0.1,-0.16,-0.1,-0.213846153846154,-0.253240093240093,-0.112493715434892,0.0334138486312399,0.0334138486312399,0.26,0.204615384615385,0.018135593220339,0.1,0,0.1,0.0095852534562212,0.0666666666666667,0.0282608695652174,-0.013006253006253,0.0666666666666667,0.3,0.311111111111111,0.32478853046595,0.0743589743589744,0.135714285714286,0.152380952380952,0.273673469387755
"TrCP",-0.0702729703589919,-0.333396995161701,-0.0976190476190476,-0.0423076923076923,-0.0957846003898636,-0.0192307692307692,-0.0883771929824561,0.0759339826839827,-0.0276736924277908,-0.221988692706925,-0.239986244166053,-0.242652910832719,-0.24,-0.0644939493949395,0.248251437722938,0.289958174551538,0.253949507916132,0.241754385964912,0.223333333333333,0.268432567083984,0.264984291221915,0.251335188034205,0.178391656905785,0.0524483235028429,0.0524483235028429,0.0524483235028429,0.0510846871392065,-0.13883123777122,-0.15,-0.19,-0.223333333333333,-0.19,-0.244954954954955,-0.256836143073767,-0.061251563429333,0.0335490858831952,0.0335490858831952,0.244347826086957,0.21189113314608,0.0565506305288914,0.0916666666666667,0.0666666666666667,0.080952380952381,0.0148351648351648,0.104166666666667,0.150421112972925,0.0135640337423313,0.0750384024577573,0.319047619047619,0.328851540616246,0.335036339423996,0.0762729703589919,0.155845707458611,0.156490868748933,0.290940907902269
