"","GSK3","TGF","CDC42","TGFR","Ecadherin","Destcompl","SOSGRB2","ZEB1","cateninmemb","RKIP","AXIN2","ERK","RAF","MEK","cfos","RAS","SNAI1","ZEB2","SNAI2","NOTCHic","ILK","NOTCH","miR200","Csl","AKT","TrCP","SUFU","SMO","NFB","IKK","SHH","HEY1","Csn","FUS","Patched","Jagged","SMAD","FOXC2","KLF4","LIV1","SRC","CD44","Frizzled","GLI","cateninnuc","PI3K","DELTA","TCFLEF","cMet","Wnt","EGR1","STAT","DSH","TWIST1","PAK1"
"DSH",-0.239192917251562,-0.28347624097359,-0.297971014492754,-0.289399585921325,-0.031077889336597,-0.209768302532623,-0.0302291204730229,0.0743749295568064,-0.103242897925775,-0.217069597069597,0.23426606363904,-0.147450980392157,-0.151310811029004,-0.139180303700428,-0.147450980392157,-0.144308009908556,-0.147456866804693,-0.291052622925167,-0.238848441144481,-0.13109243697479,0.0801397689465501,-0.112211318093671,-0.226200957748214,-0.10952380952381,0.170301724137931,0.2,-0.05,-0.0543290043290043,-0.18,0.17375,-0.0541706825399681,-0.0889648835673472,0.18,-0.0590909090909091,-0.0511031978773914,0.0201656959471597,-0.0782529764937199,-0.0993519251046791,-0.296565228032961,-0.2,-0.211842105263158,-0.199424886720112,-0.211842105263158,-0.200567595459236,-0.190149137239553,0.151310811029004,0.151310811029004,-0.182758220053445,-0.186842105263158,-0.186842105263158,0.153333333333333,-0.175,-0.175,0.0243846474760117,0.306666666666667
"SMAD",-0.0486032180017142,-0.151203984723554,-0.152481556002683,-0.150805578349052,0.0389138039882526,0.00756457604966114,-0.0733954451345756,0.105686460812992,0.0476361114744998,-0.0776061776061776,0.0663019386567453,0.0351730789840317,-0.00438813588158566,0.0265192328301856,0.0188940092165899,-0.0112960306184278,-0.0506890927173185,-0.248323145055685,-0.200027416468221,-0.0225287356321839,-0.0601577418015774,-0.0368144499178982,-0.159550294701879,-0.0466666666666667,-0.0356302521008403,0,0.0583333333333333,0.0533333333333333,0.0285714285714286,-0.042296918767507,0.054417880245103,0.0328425954923374,-0.0333333333333333,0.0333333333333333,0.0414067278287462,0.0383717357910906,-0.0431755915317559,0.0308080212126761,-0.250569730799072,0,-0.0182539682539683,-0.0232379254732196,-0.0182539682539683,-0.0245489322827452,-0.0273027079438452,0.00438813588158566,0.00438813588158566,-0.0336856866672494,-0.0417833800186741,-0.0432539682539683,-0.0285714285714286,-0.0571428571428571,-0.0571428571428571,0.0992310255450533,0.15952380952381
"NOTCH",0.0971177290142807,-0.0784372759856631,-0.0888888888888889,-0.0848888888888889,0.0535614035087719,0.0936480352181287,-0.0663157894736842,0.116022544283414,0.0427565871190973,-0.06657824933687,0.0563881401617251,0.0533333333333333,0.107272727272727,0.0461904761904762,0.02,0.0884321475625824,-0.00679487179487179,-0.213446054750403,-0.190636596518949,0.197142857142857,0.030952380952381,0.0552073732718894,-0.130822510822511,0.14,0.0222222222222222,0,-0.1,-0.0416666666666667,-0.0666666666666667,0.0333333333333333,-0.0375942684766214,0.0789855072463768,0.1,-0.0666666666666667,-0.0493589743589744,-0.0664069264069264,-0.0242857142857143,0.0542857142857143,-0.217149758454106,0,0,-0.00839160839160839,0,-0.00839160839160839,-0.0145454545454545,-0.107272727272727,-0.107272727272727,-0.0402597402597403,-0.0538461538461538,-0.0538461538461538,0,-0.1,-0.1,0.0576440677966102,0.1
"LIV1",0.087715367965368,-0.0762871169332114,-0.0750700280112045,-0.073554876496053,0.047044696048152,0.0675853534250564,-0.0652640264026403,0.10661002861006,0.0444123834218522,-0.0689023683498822,0.0457777984323202,0.0542962417096537,0.0993078803337053,0.043629575042987,0.0356521739130435,0.0893078803337053,-0.0177670310113439,-0.211256435286161,-0.189098864731314,0.0830769230769231,0.0219320703191671,0.0610989010989011,-0.132834293538982,0.0538461538461538,0.0294590643274854,0.0666666666666667,-0.0523809523809524,-0.0427035330261137,-0.0291666666666667,0.0239035087719298,-0.0363455083347557,-0.0116838639503778,0.0416666666666667,-0.0523809523809524,-0.0513455083347557,-0.0555110344239945,-0.0238675541901348,0.0537584722703211,-0.211079365079365,0,-0.0192592592592593,-0.0286518201369687,-0.0192592592592593,-0.0302477059858318,-0.034646711580136,-0.0993078803337053,-0.0993078803337053,-0.0445777460628946,-0.0543943943943944,-0.0561013645224172,-0.04,-0.06,-0.06,0.0455511010728402,0.080952380952381
"cfos",0.0971699134199134,-0.073554876496053,-0.080952380952381,-0.0750700280112045,0.0354876026225465,0.0618710677107707,-0.0583333333333333,0.108860832468581,0.0603464493559181,-0.065034965034965,0.0564696223316913,0.0356521739130435,0.0858932461873639,0.0542962417096537,0.04,0.0993078803337053,-0.0141870787440408,-0.20964871824436,-0.186386387335292,0.0538461538461538,0.0235449735449736,0.0830769230769231,-0.13080383668619,0.1,0.0239035087719298,0.1,-0.0666666666666667,-0.0523809523809524,-0.0416666666666667,0.0291666666666667,-0.0513455083347557,-0.0175662168915542,0.0666666666666667,-0.0523809523809524,-0.0427035330261137,-0.0401736111111111,-0.0219320703191671,0.064103299856528,-0.211079365079365,-0.1,-0.06,-0.0543943943943944,-0.06,-0.0561013645224172,-0.0445777460628946,-0.0858932461873639,-0.0858932461873639,-0.0286518201369687,-0.0192592592592593,-0.0192592592592593,-0.12,0,0,0.0292467532467533,0.0857142857142857
"CDC42",0.0971699134199134,-0.073554876496053,-0.080952380952381,-0.0750700280112045,0.0354876026225465,0.0618710677107707,-0.0583333333333333,0.108860832468581,0.0603464493559181,-0.065034965034965,0.0564696223316913,0.0356521739130435,0.0858932461873639,0.0542962417096537,0.04,0.0993078803337053,-0.0141870787440408,-0.20964871824436,-0.186386387335292,0.0538461538461538,0.0235449735449736,0.0830769230769231,-0.13080383668619,0.1,0.0239035087719298,0.1,-0.0666666666666667,-0.0523809523809524,-0.0416666666666667,0.0291666666666667,-0.0513455083347557,-0.0175662168915542,0.0666666666666667,-0.0523809523809524,-0.0427035330261137,-0.0401736111111111,-0.0219320703191671,0.064103299856528,-0.211079365079365,-0.1,-0.06,-0.0543943943943944,-0.06,-0.0561013645224172,-0.0445777460628946,-0.0858932461873639,-0.0858932461873639,-0.0286518201369687,-0.0192592592592593,-0.0192592592592593,-0.02,0,0,0.0292467532467533,-0.0142857142857143
"NOTCHic",0.107861530667173,-0.0752525626098669,-0.0848888888888889,-0.0784372759856631,0.0384006071841165,0.083981368551462,-0.0526794258373206,0.11231884057971,0.0681115566931338,-0.062352897224194,0.0688881401617251,0.0461904761904762,0.0884321475625824,0.0661904761904762,0.0533333333333333,0.100747418498543,-0.00838217338217338,-0.208260869565217,-0.182019362050012,0.0552073732718894,0.0242857142857143,0.0867863206403105,-0.127932337412106,0.197142857142857,0.0152454780361757,0.1,-0.0666666666666667,-0.0493589743589744,-0.0333333333333333,0.0222222222222222,-0.0494222254658687,0.0805239687848383,0.0666666666666667,-0.0416666666666667,-0.0375942684766214,-0.0445526217711648,-0.020688591983556,0.063963133640553,-0.210006901311249,-0.1,-0.0538461538461538,-0.0402597402597403,-0.0538461538461538,-0.0417249417249417,-0.0296599583622484,-0.0884321475625824,-0.0884321475625824,-0.0145454545454545,-0.00839160839160839,-0.00839160839160839,-0.02,0,0,0.0394050740859184,0.0888888888888889
"Csl",0.0985831801517094,-0.0763863494579395,-0.0784372759856631,-0.0752525626098669,0.0502610723003956,0.0891611369853438,-0.0599964990080523,0.110108895828329,0.0529739420142347,-0.0646570446896318,0.0573200167684089,0.0661904761904762,0.100747418498543,0.0574948240165632,0.0461904761904762,0.0915562420279547,-0.0115442287181418,-0.207708383377372,-0.184181927299825,0.0867863206403105,0.020688591983556,0.0658772297312195,-0.128150202335853,0.0552073732718894,0.0222222222222222,0.0666666666666667,-0.0416666666666667,-0.0375942684766214,-0.0222222222222222,0.0152454780361757,-0.0339049840865584,0.0890207008109821,0.0333333333333333,-0.0493589743589744,-0.0494222254658687,-0.0596567884378315,-0.0217997030946671,0.0547677313417024,-0.208578329882678,0,-0.00839160839160839,-0.0145454545454545,-0.00839160839160839,-0.0159184901120385,-0.0201116450403502,-0.100747418498543,-0.100747418498543,-0.0296599583622484,-0.0402597402597403,-0.0417249417249417,-0.0533333333333333,-0.0538461538461538,-0.0538461538461538,0.0549806948534127,0.0848888888888889
"STAT",0.167089452603471,-0.123382711554908,-0.134659090909091,-0.126764354066986,0.161490360729414,0.144683498368044,0.00451559934318555,0.121615563923256,0.0994193468703629,-0.0424983912483913,0.105648077412783,0.0392156862745098,0.141030810587262,0.0510436432637571,0.0333333333333333,0.147000959840994,0.0122227809699678,-0.205262686031917,-0.128174010996978,0.0438261791202968,0.0176328502415459,0.0564475383435977,-0.126219502467983,0.0627450980392157,0.017409200968523,0.1,-0.05,-0.0433333333333333,-0.03,0.0157142857142857,-0.0465438704808946,-0.014,0.05,-0.05,-0.0456589147286822,-0.015075257167488,-0.0153339996668333,0.0277341513292434,-0.309100812041989,0,-0.0696428571428571,-0.0642815517815518,-0.0696428571428571,-0.0657467532467532,-0.0594876518781817,-0.141030810587262,-0.141030810587262,-0.0519787126648325,-0.051461038961039,-0.051461038961039,-0.0333333333333333,-0.0571428571428571,-0.0571428571428571,-0.0372583188925018,0.140909090909091
"TWIST1",-0.153936772324429,-0.150235579818291,-0.140229885057471,-0.147729885057471,-0.208911984960204,-0.144246009996577,-0.207827260458839,-0.06014259873909,-0.131108143613061,-0.0884573775878124,-0.104238610851514,0.0909916094584287,-0.020025408564308,0.0875090223937521,0.0936231884057971,-0.0203678743177327,-0.10965987126663,-0.139197091828671,-0.24102321564137,-0.0185185185185185,-0.083979433979434,-0.0222921034241789,-0.138897739580058,-0.0185185185185185,-0.0813621406841746,-0.1,0.0333333333333333,0.028,0.0769230769230769,-0.0864468864468864,0.023613739118699,0.0802197802197802,-0.1,0,0.0211506849315069,0.0233114002463093,0.079028938929929,0.0978736567258698,-0.13833646028768,0.1,0.076984126984127,0.0680718822605518,0.076984126984127,0.0688157059314954,0.0662548164247183,0.020025408564308,0.020025408564308,0.0651622344810725,0.0684734886862546,0.0696157059314954,-0.106666666666667,0.0714285714285714,0.0714285714285714,0.107511895681232,0.133333333333333
"cateninnuc",-0.267877018981455,-0.0607144087153122,-0.0634725274725275,-0.0628978148288493,0.0866906417037976,-0.283318268794078,-0.0662871476261616,-0.0331551508564511,0.0639843000399624,-0.174128295195293,-0.143711740832152,-0.157487922705314,-0.207656172656173,-0.158405353897975,-0.157487922705314,-0.207992872992873,-0.160651973520818,-0.109904649335711,0.106364632723644,-0.0989569190791107,0.0563463203463203,-0.0998660099882016,-0.0901339879903211,-0.104770872567483,0.235830492424242,0.233333333333333,-0.0666666666666667,-0.0717486338797814,-0.229924242424242,0.231924242424242,-0.0749421818303626,-0.0536074651896756,0.220833333333333,-0.0766666666666667,-0.0773386959915827,0.0108953232415301,-0.0553913408101675,0.0236293706293706,-0.123217598929343,-0.00909090909090909,-0.0370823620823621,-0.0369615891355022,-0.0384902768464412,-0.0383914626171922,-0.13483821909199,0.207656172656173,0.207656172656173,-0.0371856369323655,-0.0425171446910577,-0.0439250594551369,0.146376811594203,-0.0398601398601399,-0.0398601398601399,0.0522310635913642,0.0588571428571429
"ZEB2",-0.208688982186778,-0.184803133374562,-0.183896103896104,-0.18321583178726,-0.159283306623395,-0.142666940438472,-0.119432234432234,-0.118115701310336,-0.107048225464681,-0.101078904991948,-0.0949575604984291,-0.0855546123372949,-0.0812554112554113,-0.0782375391665631,-0.0758771929824561,-0.0754738266729702,-0.0708410981627053,-0.0675168989151261,-0.0402326738810013,-0.033025641025641,-0.0212105969148223,-0.0204573350147121,-0.0191011365482951,-0.00769230769230769,-0.00313343717549325,0,0,0,0.00138888888888889,0.00527777777777778,0.00736141906873614,0.00863072411459508,0.0111111111111111,0.0142857142857143,0.0146341463414634,0.0217583599025638,0.0224301091099442,0.0271235431235431,0.0345639428202707,0.05,0.07,0.0717543859649123,0.0736363636363636,0.0741538889245311,0.0752499045308534,0.0812554112554113,0.0812554112554113,0.0816135408944898,0.088421052631579,0.0915850815850816,0.0916666666666667,0.11,0.113636363636364,0.117564544959147,0.185714285714286
"cateninmemb",-0.133311666088373,-0.0277028851564202,-0.0277575757575758,-0.0282453806356245,0.158429595343698,-0.141297891165337,-0.0592887665131955,-0.0167626761355577,0.01389827308714,-0.0670788369825288,-0.0739796868907817,-0.114489222118088,-0.104864253393665,-0.111744124078872,-0.107272727272727,-0.102350286913218,-0.0586750395755319,-0.0557938510899496,0.0606378385962445,-0.0210052779559019,0.0283478260869565,-0.0131985865060878,-0.0467693490039859,-0.00966507177033493,0.114227994227994,0.1,-0.0333333333333333,-0.01875,-0.105714285714286,0.116825396825397,-0.0161591948183896,-0.0243267825739204,0.12,0,-0.00907258064516129,0.0288822096128969,-0.0266529108327192,0.0422933757292894,-0.0605250820440694,-0.0333333333333333,-0.0412676698586411,-0.0376556297248619,-0.0412676698586411,-0.0382561756057676,-0.0338254550647114,0.104864253393665,0.104864253393665,-0.03130444666135,-0.0299633220325542,-0.0309228422724342,0.107272727272727,-0.0156862745098039,-0.0156862745098039,-0.0059603948345322,0.0210909090909091
"KLF4",-0.13838892878153,-0.0282453806356245,-0.0210909090909091,-0.0277575757575758,-0.154864740456694,-0.139993138136446,-0.0632361349342482,-0.0186584107327141,-0.105478214197726,-0.0682024324881468,-0.0783095837979982,-0.107272727272727,-0.101923076923077,-0.114489222118088,-0.107272727272727,-0.104864253393665,-0.060573773752747,-0.0553199174406605,0.0593735399809525,-0.00966507177033493,0.024,-0.0210052779559019,-0.0477004477004477,-0.0254545454545455,0.116825396825397,0.1,0,0,-0.12,0.105714285714286,-0.00907258064516129,-0.0169442322383499,0.1,-0.0333333333333333,-0.01875,0.0249920494298305,-0.0283478260869565,0.0388608814501132,-0.0592592592592593,0.0333333333333333,-0.0156862745098039,-0.0299633220325542,-0.0156862745098039,-0.0309228422724342,-0.03130444666135,0.101923076923077,0.101923076923077,-0.0376556297248619,-0.0412676698586411,-0.0412676698586411,0.08,-0.0333333333333333,-0.0333333333333333,-0.000932461873638342,0.00909090909090909
"ZEB1",0.0208235482114533,-0.173625708296444,-0.178194236215226,-0.173625708296444,0.0685608584219976,0.109152893733582,-0.0843664717348928,-0.112721057053891,0.0321290861839779,-0.0731945037554322,0.0915674485748569,-0.0501960784313725,0.0823739916616575,-0.0418260343785091,-0.0466666666666667,0.0869409207955157,-0.0579835751555381,-0.0505024394719253,-0.133784611079928,-0.0404411764705882,-0.0275653289935035,-0.0288709285367039,-0.00477157266811695,-0.0208333333333333,-0.0828308476108304,-0.0666666666666667,0.0666666666666667,0.0609848484848485,0.0824561403508772,-0.0742594190394018,0.067948772844628,0.0132813990845079,-0.0666666666666667,0.0791666666666667,0.0747103386809269,0.0327504433658612,0.0304499443781189,0.004170833471307,-0.0486102176917069,-0.0333333333333333,0.00906816760475297,0.0174423506112889,0.0112659698025552,0.0190177541007312,0.0200545627943259,-0.0823739916616575,-0.0823739916616575,0.0262189463559698,0.0306367950557334,0.0324198159564013,0.0666666666666667,0.0358974358974359,0.0380952380952381,0.0330830539796845,0.18544061302682
"Csn",-0.273685516322813,-0.122187191037154,-0.129613297150611,-0.125767143304457,-0.0323083672448114,-0.224038008276758,0.0361789461547331,-0.000759305210918115,-0.0661507015177275,-0.125815047021944,0.18625718051621,-0.102034632034632,-0.179714666210455,-0.102034632034632,-0.103333333333333,-0.179138850471491,-0.105081193745378,-0.0473416046319272,-0.0972088481615686,-0.135569985569986,0.024781314699793,-0.131723831723832,-0.04022625465861,-0.136868686868687,0.127533333333333,0.22,0.0142857142857143,0.0062049062049062,-0.128333333333333,0.128333333333333,0.00594930951884944,-0.0331506090808416,0.12,0.00317460317460317,0.0051296373877019,0.0234879121481638,-0.0240101064735719,-0.115541901460882,-0.0505293399411047,-0.133333333333333,-0.153448275862069,-0.146722706919633,-0.153448275862069,-0.146777049471792,-0.143648419371271,0.179714666210455,0.179714666210455,-0.143828816244391,-0.149833818030744,-0.149833818030744,0.103333333333333,-0.15,-0.15,-0.0166113448652018,0.134090909090909
"IKK",-0.161593406593407,0.0899434343434344,0.0888888888888889,0.0843434343434343,0.13656931252715,-0.0836995918442958,0.148739495798319,0.000977443609022557,0.0760916643877538,-0.0251366120218579,0.158333333333333,-0.0922857142857143,-0.117543859649123,-0.0856190476190476,-0.0642857142857143,-0.113318507536447,-0.00549194232400339,-0.0175488721804511,0.183613871728296,-0.123376623376623,0.123611111111111,-0.112265512265512,-0.0140802675585284,-0.109090909090909,0.211583011583012,0.2,-0.1,-0.08,-0.314285714285714,0.214285714285714,-0.0866411238825032,-0.127554179566563,0.3,-0.08,-0.0762962962962963,0.00987816307403936,-0.12262101210121,-0.143405483405483,-0.0168498168498168,-0.1,-0.133333333333333,-0.13025641025641,-0.133333333333333,-0.13025641025641,-0.122353957277793,0.117543859649123,0.117543859649123,-0.124041720990874,-0.125641025641026,-0.125641025641026,0.05,-0.1,-0.1,-0.211993464052288,-0.1
"NFB",0.158848308554191,-0.0956396368750799,-0.0843434343434343,-0.0899434343434344,-0.138816503538386,0.0818723493193788,-0.151897390535161,-0.00289315242128309,-0.0749301015577643,0.0225725094577554,-0.156205673758865,0.0856190476190476,0.113318507536447,0.0836582633053221,0.0922857142857143,0.113318507536447,0.0013823532829075,0.0110354622187653,-0.185239887988458,0.112265512265512,-0.12262101210121,0.11162035097519,0.00713162707514474,0.123376623376623,-0.216027456027456,-0.3,0.08,0.0762962962962963,0.214285714285714,-0.211583011583012,0.0842314853282863,0.127554179566563,-0.314285714285714,0.08,0.0866411238825032,-0.00628104077188109,0.120018781617939,0.143007077030981,0.0149267399267399,0.1,0.125641025641026,0.124041720990874,0.125641025641026,0.12463843272832,0.11945199649348,-0.113318507536447,-0.113318507536447,0.122353957277793,0.13025641025641,0.13025641025641,-0.0642857142857143,0.133333333333333,0.133333333333333,0.212310924369748,0.0888888888888889
