"","cateninmemb","Ecadherin","cateninnuc","SNAI2","CD44","cMet","Wnt","RAF","PI3K","DSH","TrCP","SMAD","HEY1","SUFU","TGFR","TGF","FUS","SMO","SHH","Patched","ERK","MEK","cfos","EGR1","FOXC2","Jagged","Csl","NOTCHic","NOTCH","RKIP","SNAI1","SOSGRB2","TWIST1","ZEB2","ZEB1","CDC42","ILK","miR200","NFB","Csn","PAK1","IKK","AKT","LIV1","KLF4","STAT","Destcompl","Frizzled","DELTA","SRC","RAS","GLI","TCFLEF","AXIN2","GSK3"
"NFB",0.349775298157369,0.328483611054949,0.282504300578736,0.493524236289905,0.26718238447052,0.254188034188034,0.254188034188034,-0.00367662721641402,-0.00367662721641402,0.211111111111111,-0.3,-0.126397093705653,-0.13359870263895,-0.12,0.132860606060606,0.117037821250479,-0.18,-0.198518518518518,-0.205415070242656,-0.205415070242656,0.0220634920634921,0.0253314659197012,0.0242857142857143,-0.0357142857142857,-0.0661514404143886,0.207664601214998,0.0701298701298701,-0.0844155844155844,-0.0966736489317134,-8.40689365279517e-05,-0.0184929183078299,-0.0919438301636444,-0.0516339869281046,-0.0402177282286175,-0.0402177282286175,-0.156060606060606,0.136434268426843,-0.0537982600612313,0.180952380952381,0.314285714285714,-0.183333333333333,0.194465894465894,0.183354783354783,-0.2,-0.0330586080586081,-0.211111111111111,-0.0640971454784552,-0.234188034188034,0.00367662721641402,-0.234188034188034,-0.0097562086044815,-0.26767118025545,-0.276465084892461,-0.313687943262411,0.0633807369101487
"IKK",0.339954812412913,0.321421010733922,0.276465084892461,0.489865699704539,0.254188034188034,0.234188034188034,0.234188034188034,-0.0248033877797943,-0.0248033877797943,0.2,-0.2,-0.136434268426843,-0.147884416924665,-0.1,0.156060606060606,0.132860606060606,-0.12,-0.18,-0.205415070242656,-0.198518518518518,0.0242857142857143,0.0220634920634921,-0.0357142857142857,-0.05,-0.0705339105339105,0.20406747891284,0.0272727272727273,-0.0701298701298701,-0.0844155844155844,-0.00136612021857923,-0.015479219677693,-0.126680672268908,-0.0405228758169935,-0.0398345864661654,-0.0398345864661654,-0.183333333333333,0.149305555555556,-0.0577257525083612,0.314285714285714,0.3,-0.25,0.180952380952381,0.194465894465894,-0.1,-0.0311355311355311,-0.2,-0.0592798697309469,-0.211111111111111,0.0248033877797943,-0.211111111111111,0.00367662721641402,-0.254188034188034,-0.26718238447052,-0.296666666666667,0.0637728937728938
"SUFU",0.16058124632577,0.0630690194599627,0.157939078788521,0.252064102304073,0.15377667469645,0.151521035598706,0.0474358974358974,0.215774279163509,0.215774279163509,0.025,0.1,-0.0308451851773017,-0.0189958112430611,-0.0533333333333333,-0.00195802185163887,-0.00176078319286175,-0.0658333333333333,-0.0436111111111111,-0.043462910962911,-0.0446212121212121,0.0631749859336066,0.0618983901889258,0.0735198135198135,0.0523076923076923,0.0170902442209743,0.154604871243826,0.252424242424242,-0.252424242424242,-0.256392496392496,-0.0368651378077004,-0.0480964596269213,0.0255367439577966,-0.0990401272687697,-0.0391329715544987,-0.0391329715544987,-0.0022972972972973,0.0329237071172555,-0.029477850680394,-0.0851428571428571,-0.0571428571428571,-0.005,-0.088989010989011,-0.0990561250829707,-0.15,-0.0289642027420569,-0.13,-0.0702354739390718,-0.0416666666666667,-0.215774279163509,-0.146666666666667,-0.21830592473313,-0.0500381279191688,-0.157581022522537,-0.297348866550331,-0.0786992629040894
"FUS",0.158944138549508,0.0631720060717032,0.157581022522537,0.250679791163664,0.151521035598706,0.146666666666667,0.0416666666666667,0.209224060822898,0.209224060822898,0.05,0.1,-0.0329237071172555,-0.0250199076286033,0.0666666666666667,0.0022972972972973,-0.00195802185163887,-0.0533333333333333,-0.0658333333333333,-0.0446212121212121,-0.0436111111111111,0.0735198135198135,0.0631749859336066,0.0523076923076923,0.06,0.0168421052631579,0.15531746031746,0.242424242424242,-0.252424242424242,-0.252424242424242,-0.0413549337260677,-0.048266817378199,0.0150472334682861,-0.09924631283578,-0.0381667879796194,-0.0381667879796194,-0.005,0.0387301587301587,-0.0287343562566022,-0.0571428571428571,-0.1,-0.0466666666666667,-0.0851428571428571,-0.088989010989011,-0.1,-0.0367486338797814,-0.15,-0.0685874143962754,-0.025,-0.209224060822898,-0.13,-0.215774279163509,-0.0474358974358974,-0.15377667469645,-0.293367601913329,-0.0776709852691279
"ZEB1",-0.249980377612512,-0.138813168807503,-0.225437221232672,-0.140684581751004,-0.226332940931219,-0.223555163153442,-0.229087376038596,-0.178846679218382,-0.178846679218382,-0.228571428571429,0.0666666666666667,0.0558245015149711,0.0397711873618609,0.133333333333333,0.284740497771419,0.283559395409214,0.120833333333333,0.125378787878788,0.123773875451183,0.123418003565062,-0.0725098039215686,-0.0782366761682647,-0.0713333333333333,-0.0833333333333333,-0.0456931144619479,-0.161211841092363,-0.189583333333333,0.19546568627451,0.197118578836493,0.0857665352056068,0.103221523183949,-0.276530214424951,0.240469597108661,-0.0354191407851343,-0.0354191407851343,-0.284232883558221,-0.0558245015149711,-0.134515257376382,-0.0308771929824561,-0.0466666666666667,-0.279885057471264,-0.0161230946218004,-0.00755166605037184,0.2,-0.0389948397519343,0.223076923076923,0.126595203808702,0.231010452961672,0.178846679218382,0.225515947467167,0.182468726462477,0.23218015954375,0.225535068590794,0.263580834811244,0.0191696540598674
"TGF",0.012155168826413,-0.00161433148678466,0.0185770816406368,-0.152230549432258,0.0263522012578616,0.0433333333333333,0.0528571428571429,-0.106547619047619,-0.106547619047619,0,-0.2,-0.0470478983382209,-0.0348807221147647,-0.0666666666666667,-0.086031746031746,-0.189603174603175,-0.0466666666666667,-0.03,-0.0497198275862069,-0.0403448275862069,-0.0919799498746867,-0.08531328320802,-0.0761904761904762,-0.0333333333333333,0.0563354037267081,0.0519882179675994,-0.0533333333333333,0.0533333333333333,0.0464367816091954,-0.0307359307359307,-0.0801716465352829,0.068421052631579,-0.121296296296296,-0.0353429027113238,-0.0353429027113238,0.0955555555555555,0.0357575757575758,0.0865572167296305,0.166666666666667,0.166666666666667,0.14,0.152380952380952,0.147117794486216,0,-0.0280701754385965,0,0.0318605026097821,-0.0428571428571429,0.106547619047619,-0.0333333333333333,0.120833333333333,-0.0358760107816712,-0.022404832836809,-0.0331128747795414,0.211754108035908
"TGFR",0.00915285935759082,-0.000592184979118562,0.017602768088821,-0.152924993876703,0.022404832836809,0.0263522012578616,0.0358760107816712,-0.120833333333333,-0.120833333333333,0.0428571428571429,-0.166666666666667,-0.0495390015410679,-0.0468210206222274,-0.0466666666666667,-0.189603174603175,-0.186057075312394,-0.03,-0.0403448275862069,-0.052544686343269,-0.0497198275862069,-0.08531328320802,-0.0661352010162392,-0.0919799498746867,-0.0761904761904762,0.0532786351677561,0.0548867686922371,-0.0533333333333333,0.0464367816091954,0.0457173571487637,-0.035021645021645,-0.0857763662992947,0.0622482131254061,-0.120228680637933,-0.0349655442207577,-0.0349655442207577,0.086031746031746,0.0470478983382209,0.0874369821255249,0.152380952380952,0.166666666666667,0.0955555555555555,0.147117794486216,0.144792213090867,0,-0.0352130325814536,-0.0333333333333333,0.0326669542226854,-0.0528571428571429,0.120833333333333,-0.0433333333333333,0.123172514619883,-0.0313598817494131,-0.0185770816406368,-0.028391844736623,0.211509609258402
"SMAD",0.0132677083380496,0.025437191188477,0.00400453933702584,0.142427532235803,0.00139393939393939,-0.00333333333333334,-0.0166666666666667,0.0674247906387644,0.0674247906387644,-0.0333333333333333,0.1,-0.0421867173921968,0.0405268705318207,0.0416666666666667,0.10474279569409,0.107531640315604,0.0541666666666667,0.0591666666666667,0.0637776963041279,0.0619189602446483,0.0726610223984568,0.0755456377830721,0.0889400921658986,0.0857142857142857,-0.035226617691574,-0.0677821533305404,-0.0695238095238095,0.0660755336617406,0.0652818828680898,-0.00860630215468925,-0.0137852071763362,-0.114433599526767,0.028659025429443,-0.0293471741330098,-0.0293471741330098,-0.112005365526492,-0.0563847111792317,-0.0594587905825654,-0.0619047619047619,-0.0666666666666667,-0.119047619047619,-0.0638655462184874,-0.0771988795518207,0.02,-0.033958845829978,0.02,-0.0254203473225465,0.0166666666666667,-0.0674247906387644,0.00333333333333334,-0.0703853169545539,0.0116306954436451,-0.00370058796924468,0.00298356969721931,-0.143152524167562
"RKIP",0.211954475483887,0.208611407430561,0.111896493756679,0.282251267704144,0.11221322537112,0.0929824561403509,0.0966666666666667,0.145779220779221,0.145779220779221,0,-0.1,-0.0227403966327313,-0.0119628339140534,-0.1,-0.261904761904762,-0.262839341344014,-0.0666666666666667,-0.0466666666666667,-0.0541420765027322,-0.0426666666666667,-0.0617241379310345,-0.0425752017608217,-0.01,-0.01,-0.00247568523430593,0.101113671274962,0.0888888888888889,-0.0888888888888889,-0.104273504273504,-0.195798319327731,-0.221512031245732,0.15631746031746,-0.223716577540107,-0.0288072692491631,-0.0288072692491631,0.266666666666667,0.0177899015832264,0.0959262530653492,0.0571428571428571,0.1,0.3,0.0571428571428571,0.0177489177489177,0,-0.0328072692491631,0,-0.0640451999615177,-0.0666666666666667,-0.145779220779221,-0.0666666666666667,-0.16543734043734,-0.115897435897436,-0.110115323273218,-0.107383966244726,-0.137746256895193
"cateninnuc",0.260121756049374,0.173321705739322,0.129255406239103,0.255523057562875,0.22846151433108,0.224493260362826,0.225748968125383,0.289233244233244,0.289233244233244,0.213986013986014,0.166666666666667,0.0837384052963862,0.104402198959425,-0.111111111111111,-0.287143867626626,-0.290200636185578,-0.0911111111111111,-0.0960291438979964,-0.0968031733165271,-0.0978924979352635,0.110894899144762,0.111353614741092,0.105831608005521,0.113768115942029,0.0632818984294394,0.195140174817903,0.293659761456372,-0.301799296340093,-0.306344750885547,-0.0239867568329107,-0.0475701135021646,0.331837020759723,-0.237319715899821,-0.0272037428169937,-0.0272037428169937,0.283120879120879,-0.0830562770562771,0.105033200769607,-0.244318181818182,-0.229166666666667,0.275428571428571,-0.258318181818182,-0.267693181818182,-0.190909090909091,-0.0232883170605591,-0.213986013986014,-0.0889455799147904,-0.223575055081904,-0.289233244233244,-0.222319347319347,-0.293610348610349,-0.229701537295343,-0.229283022919578,-0.362832071741274,-0.0956620530276067
"STAT",0.153006401071656,0.0809189303064063,0.130370231658663,0.179455449950806,0.121242646242646,0.11525974025974,0.11525974025974,0.109449958643507,0.109449958643507,0.0857142857142857,0,-0.0419623521572547,-0.0413333333333333,-0.05,0.0918062200956938,0.0874583940087373,-0.075,-0.0683333333333333,-0.0662341359676202,-0.0706589147286822,0.0749019607843137,0.075977229601518,0.0866666666666667,0.0666666666666667,0.00450715746421268,0.0762838569880823,0.0725490196078431,-0.0752517223105458,-0.0820478388154002,-0.00491634491634491,0.0110425251524812,-0.0149014778325123,-0.0516459302816124,-0.0266810112963959,-0.0266810112963959,-0.110227272727273,0.0454106280193237,-0.0638197593276625,0.02,0,-0.122727272727273,0.0342857142857143,0.0156416464891041,0,-0.123569023569024,-0.0857142857142857,-0.0982063705301012,-0.110714285714286,-0.109449958643507,-0.110714285714286,-0.111688764613656,-0.121142093200917,-0.12786725192088,-0.164241248947131,-0.11646639964397
"SHH",0.134336917562724,0.055,0.146666666666667,0.249885057471264,0.15,0.1,0,0.15,0.15,0,0,-0.0666666666666667,-0.0666666666666667,0.2,0.0666666666666667,0.0466666666666667,0.2,0.1,-0.0533333333333333,0.0666666666666667,0,0.06,-0.1,0,0.025,0.162857142857143,0.1,-0.2,-0.233333333333333,-0.02,-0.05,-0.1,-0.075,-0.025,-0.025,-0.166666666666667,0.0666666666666667,-0.05,0,0,-0.2,-0.1,-0.1,0,-0.05,-0.1,-0.0594805194805195,0,-0.15,-0.1,-0.203846153846154,-0.05,-0.13,-0.276190476190476,-0.0743589743589744
"Jagged",0.00327601975489299,0.0199298245614035,-0.00211788211788212,0.158019105077929,-0.0123076923076923,-0.02,-0.02,-0.0533333333333333,-0.0533333333333333,0,0,-0.0619047619047619,0.0333333333333333,0,0.188888888888889,0.176888888888889,0,-0.0333333333333333,-0.0506410256410256,-0.0583333333333333,0.06,0.06,0,-0.1,-0.0342857142857143,0.0338528138528138,0.1,-0.12,-0.12,0.0102564102564103,0.0333333333333333,-0.18,0.08,-0.0241545893719807,-0.0241545893719807,-0.2,0.0666666666666667,-0.0775757575757576,0,0,-0.2,0.0333333333333333,0.0666666666666667,0,-0.0111111111111111,0,0.00498841698841699,0,0.0533333333333333,0,0.0533333333333333,0.0123076923076923,0.00321678321678322,0.0142857142857143,-0.0256704980842912
"GLI",-0.162815631313229,-0.118594358127462,-0.148525812616732,0.0664003110442239,-0.1473385061993,-0.150786782061369,-0.259696394686907,-0.20054727855565,-0.20054727855565,-0.26,-0.0833333333333333,-0.0779251688206912,-0.0762609113203341,0.0190476190476191,0.259548904792887,0.264960669498769,0.0440476190476191,0.0493107769423559,0.0541986580207132,0.0554332259219477,0.111904761904762,0.104722441462773,0.126190476190476,0.142857142857143,-0.0549261480908153,0.0235245420412068,-0.0116003536693192,0.0166003536693192,0.020409877478843,0.0447058469501369,0.0238577385780543,-0.171908975979772,0.0968597691687675,-0.0175659668885475,-0.0175659668885475,-0.250114942528736,0.0763035471990696,-0.0729521768221459,0.132456140350877,0.116666666666667,-0.246666666666667,0.130415324024347,0.130415324024347,0.15,-0.0233788073788074,0.15,0.114372495251464,0.263225806451613,0.20054727855565,0.153225806451613,0.199557179545749,0.155866607452864,0.147987856848651,0.188591485507246,-0.0482237337728806
"PI3K",-0.00595090379663173,0.0462544247273066,-0.034802492345587,-0.173358488331031,-0.0256930509104422,-0.0241545893719807,-0.0241545893719807,0.239186147186147,0.239186147186147,0,0.2,0.0804565026010404,0.0865570241818854,0,-0.317411764705882,-0.3035906264945,0.05,0.0666666666666667,0.0799145299145299,0.0743589743589744,0.119887955182073,0.108412545346007,0.0904761904761905,0.133333333333333,-0.0840905923344948,-0.0514035087719298,0.1,-0.1,-0.0967741935483871,-0.162637362637363,-0.18298309178744,0.218076923076923,-0.120547805722432,-0.0165623123488648,-0.0165623123488648,0.329411764705882,-0.0812565026010404,0.130173467058713,-0.233333333333333,-0.233333333333333,0.3,-0.286274509803922,-0.293966817496229,0.1,-0.0197368421052632,0,-0.0369341512137471,0.0111111111111111,-0.239186147186147,0.0111111111111111,-0.240556010199846,0.0256930509104422,0.0296478531703292,0.0792380952380952,-0.244853294853295
"Csl",0.0146879766579157,0.0260107437192175,0.00768632175763716,0.160099691092826,0.00400456686170972,-0.00211788211788212,-0.00214151439957892,-0.0485500107089313,-0.0485500107089313,-0.0123076923076923,-0.0333333333333333,-0.0514131551901336,0.047334251426323,-0.0583333333333333,0.162752870807936,0.164793687134466,-0.0506410256410256,-0.0506410256410256,-0.0487036878583041,-0.0495657568238213,0.0514285714285714,0.0525155279503106,0.06,0.06,-0.0190204535651858,0.0386947625896301,0.0167741935483871,-0.0194057724957555,-0.0203148634048464,0.0242619115623549,0.0384054914489697,-0.147802544054149,0.0740605897853666,-0.0141730055782422,-0.0141730055782422,-0.16721146953405,0.0530798218568003,-0.0793942370548967,0.0777777777777778,0.0666666666666667,-0.176888888888889,0.0754521963824289,0.0684754521963824,0.02,-0.018440303657695,0.0123076923076923,0.00108330442313596,0.00321678321678322,0.0485500107089313,0.00321678321678322,0.0445058930618724,-0.00431009850364689,-0.00659998670903796,0.000963240383379103,-0.0184369631094254
"SRC",0.153824651998204,0.0778760291995586,0.138166630439547,0.202604428550951,0.121475409836066,0.11,0.11,-0.190421360033375,-0.190421360033375,0.1,-0.1,-0.0705251303935514,-0.0974097980801059,-0.0333333333333333,0.214880952380952,0.211244588744589,-0.0833333333333333,-0.103333333333333,-0.0996296296296296,-0.0996296296296296,-0.0808080808080808,-0.0789212883552506,-0.0696969696969697,-0.133333333333333,0.0588888888888889,0.0896512585274053,-0.055,0.0502380952380952,0.0502380952380952,0.0201694362984686,0.0849456600639452,-0.198571428571429,0.0559315397246432,-0.0110062893081761,-0.0110062893081761,-0.229166666666667,0.0822368421052631,-0.0897848045674133,0.15,0.15,-0.266666666666667,0.173076923076923,0.173076923076923,0,-0.114341085271318,0,-0.0348494983277592,-0.1,0.190421360033375,-0.1,0.179815299427314,-0.121475409836066,-0.131231507397041,-0.162971226996472,0.00147186147186147
"cfos",-0.166952685960764,-0.123174378984006,-0.153065739006333,0.0789446077037318,-0.156406406406406,-0.153703703703704,-0.153703703703704,-0.163289760348584,-0.163289760348584,-0.15,0,-0.0598139614268647,-0.0588705647176412,-0.0333333333333333,0.217086834733894,0.221632289279348,-0.0476190476190476,-0.030952380952381,-0.0240228707970644,-0.0277265745007681,0.0269565217391304,0.018481945467944,0.04,0.16,-0.0427109380337501,-0.00729166666666667,-0.0166666666666667,0.032051282051282,0.0366666666666667,0.042960372960373,0.0670096991615979,-0.205555555555556,0.146164502164502,-0.00805565163918675,-0.00805565163918675,-0.219047619047619,0.0582010582010582,-0.0873143196672609,0.0833333333333333,0.0333333333333333,-0.214285714285714,0.108333333333333,0.108333333333333,0.1,-0.0118730158730159,0.15,0.131622157052382,0.15,0.163289760348584,0.15,0.17304585790956,0.156335282651072,0.153436109376703,0.194696223316913,0.0426028138528139
"CDC42",-0.166952685960764,-0.123174378984006,-0.153065739006333,0.0789446077037318,-0.156406406406406,-0.153703703703704,-0.153703703703704,-0.163289760348584,-0.163289760348584,-0.15,0,-0.0598139614268647,-0.0588705647176412,-0.0333333333333333,0.217086834733894,0.221632289279348,-0.0476190476190476,-0.030952380952381,-0.0240228707970644,-0.0277265745007681,0.0269565217391304,0.018481945467944,0.04,0.06,-0.0427109380337501,-0.00729166666666667,-0.0166666666666667,0.032051282051282,0.0366666666666667,0.042960372960373,0.0670096991615979,-0.205555555555556,0.146164502164502,-0.00805565163918675,-0.00805565163918675,-0.219047619047619,0.0582010582010582,-0.0873143196672609,0.0833333333333333,0.0333333333333333,-0.114285714285714,0.108333333333333,0.108333333333333,0.1,-0.0118730158730159,0.15,0.131622157052382,0.15,0.163289760348584,0.15,0.17304585790956,0.156335282651072,0.153436109376703,0.194696223316913,0.0426028138528139
