"","Patched","Jagged","FOXC2","SMO","FUS","NOTCHic","CDC42","Csl","SUFU","RKIP","SOSGRB2","MEK","EGR1","SNAI2","AXIN2","Destcompl","cateninmemb","TCFLEF","Ecadherin","cateninnuc","RAS","RAF","PI3K","GSK3","DELTA","LIV1","Frizzled","GLI","Wnt","DSH","SRC","cMet","CD44","STAT","cfos","ERK","TWIST1","TrCP","Csn","PAK1","NFB","TGFR","NOTCH","TGF","IKK","SNAI1","AKT","SHH","HEY1","ZEB2","ZEB1","ILK","miR200","SMAD","KLF4"
"Frizzled",0.25021645021645,0.162350713012478,0.154079653516618,0.245454545454545,0.2,0.0178571428571429,0.133333333333333,-0.00714285714285715,0.1,0.0514285714285714,0.206060606060606,0.116078431372549,0.0666666666666667,-0.00184352224518655,-0.110909090909091,0.160490749419969,0.0321825396825397,-0.068340138425534,0.127884245311468,-0.0678639479493436,0.0248790372495304,0.0256664388243336,0.0256664388243336,-0.062957157784744,-0.0256664388243336,0.1,0.075,0.0663533834586466,0.0592105263157895,0.2,0.075,0.0592105263157895,0.0663533834586466,0.1,-0.0866666666666667,-0.116078431372549,-0.0646498599439776,-0.1,-0.133333333333333,-0.1,-0.193333333333333,-0.150724637681159,-0.0394257703081232,-0.155486542443064,-0.230833333333333,-0.116666666666667,-0.224583333333333,-0.266345482474515,-0.306481178396072,-0.358362335516192,-0.358362335516192,-0.308865036772013,-0.361524621212121,-0.339706158267341,-0.341176470588235
"SRC",0.0996296296296296,0.219618913196895,0.211554621848739,0.103333333333333,0.0833333333333333,0.262380952380952,0.148611111111111,0.21,0.0333333333333333,0.158194851743239,0.05,-0.0230417381360778,-0.0333333333333333,0.299242882254864,0.29056483488461,0.081456043956044,0.280847178566083,0.245081967213115,0.232912457912458,0.247095390031907,0.27689991276975,0.285990821860659,0.285990821860659,-0.0531601731601732,-0.285990821860659,0,-0.25,-0.245081967213115,-0.25,-0.2,-0.25,-0.25,-0.245081967213115,-0.1,0.00606060606060606,0.00606060606060606,-0.23530630289251,0.1,0.1,-0.111111111111111,0.0333333333333333,-0.162896825396825,-0.283809523809524,-0.162896825396825,0.0256410256410256,-0.109234761803476,0.0423076923076923,-0.123159041394336,-0.190317775571003,-0.341681641209943,-0.341681641209943,-0.232456140350877,-0.344719660371834,-0.258582266477003,-0.423708010335917
"Wnt",0.245454545454545,0.153259803921569,0.144777327935223,0.2,0.1,-0.00714285714285715,0.1,-0.05,0,0.055,0.190909090909091,0.116078431372549,0.1,-0.00405172413793103,-0.110909090909091,0.163408521303258,0.0325,-0.0663533834586466,0.126718744145967,-0.068340138425534,0.0256664388243336,0.0120300751879699,0.0120300751879699,-0.065987460815047,-0.0120300751879699,0,0.2,0.0592105263157895,0.075,0.2,0.1,0.075,0.0592105263157895,0.1,-0.0666666666666667,-0.0866666666666667,-0.0694117647058824,-0.1,-0.1,-0.1,-0.133333333333333,-0.133333333333333,-0.0178571428571429,-0.150724637681159,-0.193333333333333,-0.107142857142857,-0.230833333333333,-0.25021645021645,-0.283076923076923,-0.339550454328073,-0.339550454328073,-0.278632478632479,-0.341212121212121,-0.308865036772013,-0.307843137254902
"SHH",-0.0666666666666667,-0.00857142857142857,0.125,-0.1,-0.2,-0.2,0.0333333333333333,-0.1,-0.2,0.12,0.05,0.16,0,-0.20544061302682,-0.219047619047619,-0.12025974025974,-0.036989247311828,-0.0433333333333333,0.0713888888888889,-0.0433333333333333,-0.196153846153846,-0.25,-0.25,0.128205128205128,0.25,0,0,-0.05,0,0,0.1,0.1,0.05,0.1,-0.1,-0.1,-0.05,0,0,0,0,-0.0333333333333333,0.2,-0.0533333333333333,-0.1,-0.166666666666667,-0.15,-0.0933333333333333,-0.133333333333333,-0.3,-0.3,-0.133333333333333,-0.3,-0.183333333333333,-0.25
"cMet",0.101818181818182,0.18853653592784,0.135142405063291,0.12,0.1,0.358646616541353,0.0733333333333333,0.342857142857143,0.1,0.027037037037037,0.113809523809524,0.0704545454545455,0.075,-0.0188701647095808,0.277460317460317,-0.0721389784414994,0.262506354855109,0.238187239117472,0.217862740450557,0.238752210868884,0.296136567834681,0.29047619047619,0.29047619047619,-0.117357910906298,-0.29047619047619,0.1,-0.2,-0.242121212121212,-0.246666666666667,-0.1,-0.1,-0.246666666666667,-0.244341085271318,0,-0.035,-0.065,-0.175700703790591,0,0.1,-0.0733333333333333,0.133333333333333,-0.101111111111111,-0.377795552711566,-0.103238770685579,0.0866666666666667,-0.0312838464934807,0.0929166666666667,-0.0830681818181818,-0.0810113519091847,-0.141125541125541,-0.141125541125541,-0.12312925170068,-0.158717199165569,-0.134038342609771,-0.238095238095238
"CD44",0.12,0.195058275058275,0.12375,0.1,0.1,0.342857142857143,0.0733333333333333,0.3,0.1,0.0307407407407407,0.14047619047619,0.065,0.1,-0.0298190698190698,0.26,-0.0613281676306886,0.264285714285714,0.244341085271318,0.218626099229182,0.238187239117472,0.29047619047619,0.247619047619048,0.247619047619048,-0.123809523809524,-0.247619047619048,0.1,-0.1,-0.246666666666667,-0.2,0,0,-0.1,-0.246666666666667,0.1,-0.075,-0.035,-0.181318681318681,0.1,0,-0.133333333333333,0.1,-0.0733333333333333,-0.358646616541353,-0.101111111111111,0.133333333333333,-0.0448431685273791,0.0866666666666667,-0.101818181818182,-0.0947368421052632,-0.138095238095238,-0.138095238095238,-0.133333333333333,-0.150904699165569,-0.12312925170068,-0.219047619047619
"ERK",-0.0422929390335369,-0.119313360765839,0.0103517575931369,-0.0416393442622951,-0.04,-0.219533345810718,0.0312683578104139,-0.218803418803419,-0.06,0.032265778324231,-0.0216563415010017,0.0489281045484488,-0.083448275862069,0.234740943874014,-0.180235125523795,0.113583593777136,-0.162542645949955,-0.142816171677212,-0.119765598309261,-0.142121727232768,-0.0429472727492529,-0.0417371517371517,-0.0417371517371517,0.0350620245889537,0.0417371517371517,0.133333333333333,0.129487179487179,0.137139176612861,0.134382284382284,0.133333333333333,0.134750337381916,0.139645442277021,0.142444424465316,0.13859649122807,0.0557887013939839,-0.0508779652726828,0.00966589758994099,0.0142857142857143,0.00178571428571429,-0.0228571428571429,-0.025487012987013,-0.0319982848177131,0.219256337500469,-0.0311741089935373,-0.0266634835752483,-0.0197440809442694,-0.0239111899972666,0.0350465622219427,0.0356281560776691,-0.0499899008319799,-0.0499899008319799,0.0521723668252837,-0.0472923510559477,0.0463972908374417,-0.0504087284374896
"RAF",-0.04,-0.118661573288059,0.0107721780135573,-0.06,-0.1,-0.211111111111111,0.0133333333333333,-0.211111111111111,-0.1,0.0390756302521008,-0.0358095238095238,-0.0557887013939839,-0.03,0.238337704726934,-0.172315986872949,0.114307674289228,-0.162758725111666,-0.139645442277021,-0.121212288199502,-0.142444424465316,-0.0414196914196914,-0.0474025974025974,-0.0474025974025974,0.0339243498817967,0.0474025974025974,0,0.133333333333333,0.129487179487179,0.133333333333333,0.1,0.133333333333333,0.13859649122807,0.134750337381916,0.1,0.08,0.083448275862069,0.00355614973262032,0,0,-0.0333333333333333,0.0142857142857143,-0.0228571428571429,0.218803418803419,-0.0312683578104139,0.00178571428571429,-0.0171443658445543,-0.025487012987013,0.0416393442622951,0.0452961672473868,-0.0447680535628886,-0.0447680535628886,0.0616495507060334,-0.0409327019331407,0.0606594516961324,-0.0347680535628886
"KLF4",0.245833333333333,-0.235862977602108,-0.133987587103135,0.233333333333333,0.233333333333333,-0.287272727272727,0.0130909090909091,-0.287272727272727,0.2,0.00904968047825191,0.189722698684963,0.202361761949391,0.16,-0.347596851786968,-0.316793940574041,-0.178896148963493,-0.325148464904563,-0.247797781631125,-0.193568700523878,-0.246178852614936,-0.240324283559578,-0.241794871794872,-0.241794871794872,0.190831730712972,0.241794871794872,0.233333333333333,0.23921568627451,0.249640706322625,0.246192430460556,0.233333333333333,0.23921568627451,0.246192430460556,0.24880112611273,0.233333333333333,-0.205454545454545,-0.205454545454545,0.221220043572985,-0.1,-0.2,-0.00909090909090909,-0.26,-0.0117575757575758,0.284179943767573,-0.011269770879527,-0.255238095238095,-0.0325445058171454,-0.255238095238095,-0.255510752688172,-0.060061115355233,-0.0291589267285862,-0.0291589267285862,-0.032,-0.0274114774114774,-0.0377971014492754,-0.0481481481481481
"SNAI2",0.291932773109244,-0.303774364300403,-0.176052104256647,0.277647058823529,0.26,-0.338157894736842,0.0106442577030812,-0.322368421052632,0.2,0.00697435897435897,0.224104124408384,0.241308956014838,0.166666666666667,-0.0267427824220774,-0.376845569115721,-0.228778363658372,-0.401129585584668,-0.318237239543113,-0.378853831989901,-0.317771401033796,-0.297390254595588,-0.298760117609287,-0.298760117609287,0.239997230659607,0.298760117609287,0.26,0.301558441558442,0.317299949429195,0.311417596488019,0.287272727272727,0.301558441558442,0.311417596488019,0.316793940574041,0.287272727272727,-0.219607843137255,-0.237254901960784,0.272840256134673,-0.1,-0.2,-0.00588235294117647,-0.275,-0.0114989585577821,0.342053998632946,-0.0114989585577821,-0.292241379310345,-0.0285114425407782,-0.298265475695887,-0.303200378743047,-0.0582730560578662,-0.0288216907908538,-0.0288216907908538,-0.0269617706237425,-0.0281847560794697,-0.0350957419156085,-0.0478846153846154
"IKK",0.0911111111111111,0.0881786941580756,0.111486291486291,0.08,0.08,0.032034632034632,0.0888888888888889,0.0272727272727273,0.1,-0.0218579234972678,0.102521008403361,-0.0106349206349206,0.05,0.325529889276868,0.112142857142857,0.184368622050251,0.108860934224063,0.0779632044038824,0.0719345832579612,0.0766973816190723,0.0183567223060079,0.0211736237144586,0.0211736237144586,-0.0848534798534799,-0.0211736237144586,-0.1,-0.0888888888888889,-0.0796581196581197,-0.0811965811965812,-0.1,-0.0888888888888889,-0.0811965811965812,-0.0796581196581197,-0.1,-0.00714285714285715,0.0128571428571429,-0.177352941176471,0,-0.1,-0.1,-0.0571428571428571,-0.0843434343434343,-0.0304473304473304,-0.0867434343434343,-0.14047619047619,0.0229361040429743,-0.148584298584299,-0.0876628352490422,-0.0981424148606811,0.0195488721804511,0.0195488721804511,-0.0986111111111111,0.018695652173913,-0.0897002200220022,0.021978021978022
"NFB",0.0876628352490422,0.0838621473954857,0.109494259613782,0.0911111111111111,0.08,0.0304473304473304,0.0843434343434343,0.032034632034632,0.08,-0.023139974779319,0.0972578505086245,-0.00605975723622782,0.00714285714285715,0.324716881146786,0.110015197568389,0.18420250909344,0.107699371394073,0.0766973816190723,0.0719345832579612,0.0759914992661311,0.0158691601169531,0.0183567223060079,0.0183567223060079,-0.0828926955397544,-0.0183567223060079,-0.1,-0.0811965811965812,-0.0774109286468837,-0.0796581196581197,-0.0888888888888889,-0.0811965811965812,-0.0796581196581197,-0.0779632044038824,-0.0888888888888889,0.0128571428571429,0.0106349206349206,-0.175130718954248,-0.1,-0.0571428571428571,-0.0888888888888889,-0.14047619047619,-0.0867434343434343,-0.0246408788344272,-0.0854776115586242,-0.148584298584299,0.0254018574676318,-0.148584298584299,-0.0828435581406084,-0.0874281291463954,0.0222308645176159,0.0222308645176159,-0.0897002200220022,0.0208104557992907,-0.0870979895387308,0.021978021978022
"HEY1",-0.245833333333333,0.235862977602108,0.133987587103135,-0.233333333333333,-0.233333333333333,0.287272727272727,-0.0130909090909091,0.287272727272727,-0.2,-0.00904968047825191,-0.189722698684963,-0.202361761949391,-0.16,0.347596851786968,0.316793940574041,0.178896148963493,0.325148464904563,0.247797781631125,0.193568700523878,0.246178852614936,0.240324283559578,0.241794871794872,0.241794871794872,-0.190831730712972,-0.241794871794872,-0.233333333333333,-0.23921568627451,-0.249640706322625,-0.246192430460556,-0.233333333333333,-0.23921568627451,-0.246192430460556,-0.24880112611273,-0.233333333333333,0.205454545454545,0.205454545454545,-0.221220043572985,0.1,0.2,0.00909090909090909,0.26,0.0117575757575758,-0.284179943767573,0.011269770879527,0.255238095238095,0.0325445058171454,0.255238095238095,0.255510752688172,0.060061115355233,0.0291589267285862,0.0291589267285862,0.032,0.0274114774114774,0.0377971014492754,0.0481481481481481
"FOXC2",-0.245833333333333,0.235862977602108,0.133987587103135,-0.233333333333333,-0.233333333333333,0.287272727272727,-0.0130909090909091,0.287272727272727,-0.2,-0.00904968047825191,-0.189722698684963,-0.202361761949391,-0.16,0.347596851786968,0.316793940574041,0.178896148963493,0.325148464904563,0.247797781631125,0.193568700523878,0.246178852614936,0.240324283559578,0.241794871794872,0.241794871794872,-0.190831730712972,-0.241794871794872,-0.233333333333333,-0.23921568627451,-0.249640706322625,-0.246192430460556,-0.233333333333333,-0.23921568627451,-0.246192430460556,-0.24880112611273,-0.233333333333333,0.205454545454545,0.205454545454545,-0.221220043572985,0.1,0.2,0.00909090909090909,0.26,0.0117575757575758,-0.284179943767573,0.011269770879527,0.255238095238095,0.0325445058171454,0.255238095238095,0.255510752688172,0.060061115355233,0.0291589267285862,0.0291589267285862,0.032,0.0274114774114774,0.0377971014492754,0.0481481481481481
"Ecadherin",-0.255510752688172,0.233345815130712,0.13421642005508,-0.245833333333333,-0.233333333333333,0.284179943767573,-0.0117575757575758,0.287272727272727,-0.233333333333333,-0.0101732759838699,-0.191038488158647,-0.201969605086646,-0.205454545454545,0.348499922226463,0.318237239543113,0.177777789224444,0.323610003366101,0.246178852614936,0.0924976197059617,0.245431887162088,0.237810317079131,0.240324283559578,0.240324283559578,-0.18972797795359,-0.240324283559578,-0.233333333333333,-0.246192430460556,-0.248974039655959,-0.249640706322625,-0.23921568627451,-0.246192430460556,-0.24880112611273,-0.247797781631125,-0.23921568627451,0.205454545454545,0.202361761949391,-0.220661384355108,0.2,0.26,0.0130909090909091,0.255238095238095,0.011269770879527,-0.281577713284301,0.0118122663587313,0.255238095238095,0.0322280501209429,0.256536796536797,0.260235162136991,0.0674436656908035,0.0305807276764535,0.0305807276764535,0.0377971014492754,0.028715015586524,0.0385234937010913,0.0494139709329583
"cateninmemb",-0.255510752688172,0.233345815130712,0.13421642005508,-0.245833333333333,-0.233333333333333,0.284179943767573,-0.0117575757575758,0.287272727272727,-0.233333333333333,-0.0101732759838699,-0.191038488158647,-0.201969605086646,-0.205454545454545,0.348499922226463,0.318237239543113,0.177777789224444,0.22997314971416,0.246178852614936,0.11025066129191,0.245431887162088,0.237810317079131,0.240324283559578,0.240324283559578,-0.18972797795359,-0.240324283559578,-0.233333333333333,-0.246192430460556,-0.248974039655959,-0.249640706322625,-0.23921568627451,-0.246192430460556,-0.24880112611273,-0.247797781631125,-0.23921568627451,0.205454545454545,0.202361761949391,-0.220661384355108,0.2,0.26,0.0130909090909091,0.255238095238095,0.011269770879527,-0.281577713284301,0.0118122663587313,0.255238095238095,0.0322280501209429,0.256536796536797,0.260235162136991,0.0674436656908035,0.0305807276764535,0.0305807276764535,0.0377971014492754,0.028715015586524,0.0385234937010913,0.0494139709329583
"cateninnuc",-0.118948964237631,0.0633051134386066,0.0791603423898506,-0.117085610200364,-0.108888888888889,0.214811895064162,-0.0102857142857143,0.21713747645951,-0.0888888888888889,-0.0667091114014191,-0.13778055311835,-0.158556836517786,-0.161594202898551,0.283960026796468,0.246178852614936,0.131018984693569,0.0714778026896925,0.0779808391036757,-0.0308876242613996,-0.0222124776596493,0.179466634466635,0.180308385308385,0.180308385308385,-0.144644528111078,-0.180308385308385,-0.0757575757575758,-0.0848197464635821,-0.0795825923133845,-0.0815588768983647,-0.0834498834498835,-0.0834498834498835,-0.0801890138846661,-0.0782048869005391,-0.0834498834498835,0.156832298136646,0.158098120921456,-0.0655878231902475,0.233333333333333,0.208333333333333,0.0102857142857143,0.211363636363636,0.0114351395730706,-0.21299371324598,0.0109984583503632,0.213363636363636,0.0839857221188985,0.214144886363636,0.116552450076411,0.0642906830271395,0.0356710450161482,0.0356710450161482,0.0423593073593074,0.0285519028011396,0.0430414355994165,0.051779359430605
"RKIP",0.04,0.118661573288059,-0.0107721780135573,0.06,0.1,0.211111111111111,-0.0133333333333333,0.211111111111111,0.1,-0.0390756302521008,0.0358095238095238,0.0557887013939839,0.03,-0.238337704726934,0.172315986872949,-0.114307674289228,0.162758725111666,0.139645442277021,0.121212288199502,0.142444424465316,0.0414196914196914,0.0474025974025974,0.0474025974025974,-0.0339243498817967,-0.0474025974025974,0,-0.133333333333333,-0.129487179487179,-0.133333333333333,-0.1,-0.133333333333333,-0.13859649122807,-0.134750337381916,-0.1,-0.08,-0.083448275862069,-0.00355614973262032,0,0,0.0333333333333333,-0.0142857142857143,0.0228571428571429,-0.218803418803419,0.0312683578104139,-0.00178571428571429,0.0171443658445543,0.025487012987013,-0.0416393442622951,-0.0452961672473868,0.0447680535628886,0.0447680535628886,-0.0616495507060334,0.0409327019331407,-0.0606594516961324,0.0347680535628886
"MEK",0.0416393442622951,0.121120589681501,-0.0125739798153591,0.04,0.06,0.218803418803419,-0.0228571428571429,0.211111111111111,0.1,-0.0364440513047324,0.0313650793650794,-0.0508779652726828,0.08,-0.236634541709902,0.176820491377453,-0.113470854205546,0.163002627550691,0.142444424465316,0.119937242662162,0.142816171677212,0.0417371517371517,0.0414196914196914,0.0414196914196914,-0.0351528511102979,-0.0414196914196914,-0.1,-0.133333333333333,-0.134382284382284,-0.129487179487179,-0.133333333333333,-0.13859649122807,-0.134750337381916,-0.139645442277021,-0.133333333333333,-0.083448275862069,-0.0557887013939839,-0.00758545376192435,0,-0.0142857142857143,0.0133333333333333,-0.00178571428571429,0.0312683578104139,-0.219533345810718,0.0319982848177131,0.025487012987013,0.0165033402035287,0.0266634835752483,-0.0422929390335369,-0.043477985429205,0.0479426567374917,0.0479426567374917,-0.0606594516961324,0.0455766647814379,-0.0521723668252837,0.0465327594452415
