"","CDC42","TGFR","PAK1","NOTCH","NOTCHic","NFB","Csl","SUFU","Jagged","AKT","SMO","IKK","ZEB2","TrCP","FUS","Csn","SNAI2","Destcompl","cMet","STAT","TCFLEF","cateninnuc","Ecadherin","CD44","AXIN2","SRC","RAF","GSK3","miR200","RAS","LIV1","KLF4","Frizzled","GLI","PI3K","DELTA","cateninmemb","DSH","Wnt","TWIST1","SNAI1","Patched","ZEB1","SHH","ILK","SMAD","HEY1","RKIP","EGR1","ERK","cfos","MEK","FOXC2","SOSGRB2","TGF"
"PAK1",0.203641456582633,0.214247517188694,0.20952380952381,0.00131868131868132,0.00461538461538462,0.0458333333333333,0,0.019047619047619,0.0200820126107703,0.0415448343079922,0.026036866359447,0.056359649122807,-0.027765246742147,0.0333333333333333,0.0357142857142857,0.0583333333333333,0.115954482857375,-0.050527373066137,-0.0555855855855856,-0.07,-0.0508624466050209,-0.0425865845360553,-0.0117279681270599,-0.0427142984568727,-0.0471567989590111,-0.0366666666666667,-0.0943846644348797,0.0773885281385281,0.0856913846910861,-0.0848392098894251,0.05,-0.033335935467083,0.0366666666666667,0.0428925973470261,0.0943846644348797,0.0943846644348797,0.0411213008629619,0.07,0.0550877192982456,-0.10926359872012,-0.121149581413622,-0.0322097058656198,0.027765246742147,-0.0262097058656198,-0.0227769243898276,-0.0214866018091825,-0.023559543757533,-0.185046426869631,-0.32,-0.339602063375092,-0.324347826086957,-0.336935396708425,-0.211004421953811,-0.266886688668867,-0.20331855544006
"EGR1",0.203641456582633,0.214247517188694,0.20952380952381,0.00131868131868132,0.00461538461538462,0.0458333333333333,0,0.019047619047619,0.0200820126107703,0.0415448343079922,0.026036866359447,0.056359649122807,-0.027765246742147,0.0333333333333333,0.0357142857142857,0.0583333333333333,0.115954482857375,-0.050527373066137,-0.0555855855855856,-0.07,-0.0508624466050209,-0.0425865845360553,-0.0117279681270599,-0.0427142984568727,-0.0471567989590111,-0.0366666666666667,-0.0943846644348797,0.0773885281385281,0.0856913846910861,-0.0848392098894251,0.05,-0.033335935467083,0.0366666666666667,0.0428925973470261,0.0943846644348797,0.0943846644348797,0.0411213008629619,0.07,0.0550877192982456,-0.10926359872012,-0.121149581413622,-0.0322097058656198,0.027765246742147,-0.0262097058656198,-0.0227769243898276,-0.0214866018091825,-0.023559543757533,-0.185046426869631,-0.32,-0.339602063375092,-0.324347826086957,-0.336935396708425,-0.211004421953811,-0.266886688668867,-0.20331855544006
"FUS",-0.0816666666666667,-0.0978828828828829,-0.0733333333333333,-0.261969696969697,-0.257424242424242,0.0928571428571429,-0.242424242424242,-0.133333333333333,-0.177707337285651,0.0923956043956044,-0.265833333333333,0.0808571428571429,-0.0272728848220166,0.1,-0.253333333333333,0.05,-0.361086031490538,-0.0451241679725808,-0.227777777777778,-0.2,-0.236201750330519,-0.242451750330519,-0.0914374742929501,-0.238457389428263,-0.0893085924570182,-0.233333333333333,-0.0564065295169946,0.0748251607685968,0.121666398104548,-0.062956747857606,0.2,-0.038752276867031,0.325,0.329059829059829,0.0564065295169946,0.0564065295169946,-0.108953693513686,0.3,0.319444444444444,0.0837793290672872,-0.0720212735124482,0.276944444444444,0.0272728848220166,0.279974747474747,0.0246031746031746,0.0278289810547875,0.0379837553750597,-0.102621502209131,-0.12,-0.14004662004662,-0.143076923076923,-0.143494895908689,-0.0472595281306715,-0.0290823211875843,0.100010542457351
"Csl",0.181763440860215,0.195139237038559,0.194666666666667,-0.0260487729587899,-0.0205942275042445,0.0444444444444444,-0.0232258064516129,0.00833333333333333,-0.0033860423057443,0.0459948320413437,0.013763197586727,0.065374677002584,-0.0252852732626934,0.0333333333333333,0.0314102564102564,0.0666666666666667,0.056561352381536,-0.0514564653107427,-0.0665401265401266,-0.0784615384615385,-0.0624771883877664,-0.0521284176616372,-0.0502295461831928,-0.0498054326625755,-0.0456293581117755,-0.0390675990675991,-0.0951596928808323,0.0709208604435312,0.0867442482335376,-0.0826596928808323,0.04,-0.0311835748792271,0.0390675990675991,0.0498202872396421,0.0951596928808323,0.0951596928808323,0.0469591000746839,0.0784615384615385,0.0659493194977066,-0.0921182217647072,-0.122718336413989,-0.0212900793071571,0.0252852732626934,-0.0118073206864675,-0.0207297019527235,-0.0185074797305013,-0.120177060790872,-0.185070854091205,-0.326666666666667,-0.343809523809524,-0.326666666666667,-0.340548654244306,-0.195123909408035,-0.263500991947719,-0.180853522752845
"SUFU",-0.0978828828828829,-0.100010542457351,-0.0816666666666667,-0.266731601731602,-0.261969696969697,0.0808571428571429,-0.257424242424242,-0.253333333333333,-0.177469807594439,0.0863553359392286,-0.276944444444444,0.0923956043956044,-0.0248574258848185,0.05,-0.265833333333333,0.0928571428571429,-0.366689195630288,-0.0491114088019269,-0.238457389428263,-0.233333333333333,-0.242451750330519,-0.240661469000596,-0.094012139586462,-0.236201750330519,-0.0829854074453086,-0.227777777777778,-0.062956747857606,0.0714832584549721,0.117948925985589,-0.0597921908955807,0.2,-0.0441414984239172,0.319444444444444,0.326457598576558,0.062956747857606,0.062956747857606,-0.110317949993904,0.325,0.329059829059829,0.0835731435002769,-0.0670808987253954,0.279974747474747,0.0248574258848185,0.285766253266253,0.0278289810547875,0.0303693967591755,0.041598213206385,-0.101397012413213,-0.143076923076923,-0.143494895908689,-0.14004662004662,-0.143069363993795,-0.0430411658477931,-0.0185928106980739,0.105335986244333
"SMO",-0.0733333333333333,-0.0816666666666667,-0.0333333333333333,-0.257424242424242,-0.242424242424242,0.05,-0.233333333333333,-0.1,-0.168068783068783,0.0808571428571429,-0.253333333333333,0.0928571428571429,-0.0217514124293785,0,-0.133333333333333,0.1,-0.356597701149425,-0.049941686220756,-0.233333333333333,-0.2,-0.238457389428263,-0.236201750330519,-0.0878758304573337,-0.227777777777778,-0.0762651141961487,-0.2,-0.0610576923076923,0.0664639567552189,0.127606992163954,-0.0564065295169946,0.1,-0.0305555555555556,0.3,0.319444444444444,0.0610576923076923,0.0610576923076923,-0.11398162647458,0.3,0.325,0.0759259259259259,-0.0729646697388633,0.265833333333333,0.0217514124293785,0.276944444444444,0.0166666666666667,0.0246031746031746,0.0278388278388278,-0.105714285714286,-0.1,-0.143076923076923,-0.12,-0.14004662004662,-0.0512068965517241,-0.0175438596491228,0.0978828828828829
"NFB",-0.237878787878788,-0.245078787878788,-0.233333333333333,-0.235235302332076,-0.228138528138528,0.00238095238095238,-0.223376623376623,-0.12,-0.15310645953715,0.0019004719004719,-0.143703703703704,-0.000321750321750322,-0.0167358626451185,0.1,-0.14,0.0857142857142857,-0.434881298920429,-0.125621419739344,-0.178034188034188,-0.161111111111111,-0.188482589664739,-0.193110040645132,-0.324413233016892,-0.187638707808199,-0.134235055724417,-0.176495726495726,-0.10508166969147,0.0305375996552467,-0.0418070978454533,-0.108066744318336,0.15,-0.0171245421245421,0.176495726495726,0.187022952079132,0.10508166969147,0.10508166969147,0.152273970309873,0.161111111111111,0.178034188034188,0.2896918767507,0.104207884555056,0.15749680715198,0.0167358626451185,0.159906445706196,0.115470297029703,0.117329033089183,0.126481645289695,0.104918032786885,0.0428571428571429,0.0375238095238095,0.0308571428571429,0.0407917833800187,0.237674295602582,0.128980539584255,0.246344610663598
"Jagged",0.2,0.166666666666667,0.2,0.08,0.08,0,0.1,0,-0.0165367965367965,0.0666666666666667,0.0333333333333333,0.0333333333333333,-0.0161835748792271,0,0,0,0.0694067370537959,-0.0348416988416988,-0.04,0,-0.0390675990675991,-0.0665401265401266,-0.0491228070175439,-0.0784615384615385,-0.0785714285714286,-0.1,-0.06,0.0823754789272031,0.112121212121212,-0.105454545454545,0,0.00555555555555556,0.1,0.0784615384615385,0.06,0.06,0.0583190049387232,0,0.04,-0.08,-0.141666666666667,-0.00833333333333333,0.0161835748792271,-0.0314102564102564,-0.0333333333333333,-0.0285714285714286,-0.133333333333333,-0.174358974358974,-0.1,-0.26,-0.2,-0.326666666666667,-0.205714285714286,-0.26,-0.194666666666667
"IKK",-0.233333333333333,-0.237878787878788,-0.2,-0.228138528138528,-0.223376623376623,0.0857142857142857,-0.209090909090909,-0.1,-0.145912214932833,-0.000321750321750322,-0.14,0.00238095238095238,-0.0125213032581454,0.2,-0.12,0.1,-0.430613006237503,-0.127116436350639,-0.176495726495726,-0.15,-0.187638707808199,-0.188482589664739,-0.322005528361996,-0.178034188034188,-0.127142857142857,-0.161111111111111,-0.10508166969147,0.0254395604395604,-0.0384838350055741,-0.10508166969147,0.1,-0.0113553113553114,0.161111111111111,0.178034188034188,0.10508166969147,0.10508166969147,0.148578088578089,0.15,0.176495726495726,0.283660130718954,0.102290076335878,0.143703703703704,0.0125213032581454,0.15749680715198,0.1125,0.115470297029703,0.122910216718266,0.104918032786885,0,0.0308571428571429,0.0428571428571429,0.0375238095238095,0.236479076479076,0.134243697478992,0.245078787878788
"cateninnuc",0.163648351648352,0.178590880383984,0.160571428571429,0.312642221717902,0.310369494445174,-0.0962121212121212,0.301067168863779,0.211111111111111,0.240120206673242,-0.0947121212121212,0.249471766848816,-0.0822121212121212,-0.0102247155970026,-0.1,0.251111111111111,-0.075,0.454260471876503,0.0470050684306623,0.236295226512618,0.214918414918415,0.24442910988922,0.152520797268397,0.204512376667241,0.251374591591983,0.0937282216122709,0.248251748251748,0.105998415998416,-0.0701542534593292,-0.00495118761371289,0.115089325089325,-0.23030303030303,0.0277093408766007,-0.246425264233483,-0.249093248423207,-0.105998415998416,-0.105998415998416,0.0802482907687789,-0.214918414918415,-0.234468742494353,-0.169289589397075,0.0610995521596127,-0.26375748113453,0.0102247155970026,-0.262668156515794,-0.0591976911976912,-0.060152670733844,-0.0834581380886343,0.0817263497462009,0.13768115942029,0.137379773042954,0.142443064182195,0.141508213409927,-0.152223776223776,0.056399768487413,-0.176189133659093
"TGF",-0.295555555555556,-0.30031746031746,-0.34,0.0402298850574713,0.0333333333333333,-0.166666666666667,0.0333333333333333,-0.0666666666666667,-0.0646354933726068,-0.175689223057644,-0.07,-0.180952380952381,-0.00889674779834963,-0.2,-0.0866666666666667,-0.166666666666667,0.0625440290560828,-0.0184330672827718,0.0766666666666667,0.1,0.0679278384640847,0.0607508049712618,0.0890528144218581,0.0521383647798742,0.0479717813051146,0.0666666666666667,0.135714285714286,-0.221467399745286,-0.13308382230796,0.121428571428571,0,-0.0270785659801678,-0.0857142857142857,-0.0711859838274933,-0.135714285714286,-0.135714285714286,-0.0681501016759188,-0.1,-0.0957142857142857,0.137777777777778,0.127062937062937,0.066551724137931,0.00889674779834963,0.057176724137931,0.0684848484848485,0.0604203323558162,0.0711798839458414,0.217748917748918,0.4,0.461654135338346,0.414285714285714,0.463876357560568,0.201009316770186,0.478947368421053,0.194960317460317
"Ecadherin",0.0981212121212121,0.0888529194382853,0.0674545454545455,0.150169157542299,0.143849454940068,-0.0571428571428571,0.14488038277512,0.1,0.0734553297513923,-0.0672919672919673,0.114583333333333,-0.0867724867724868,-0.00605356086061264,0,0.0833333333333333,-0.1,0.213263569311763,0.0514902334852386,0.0970685382343028,0.0980392156862745,0.0937282216122709,0.0829905932275837,0.202141544933809,0.0766672004416607,0.0522645096526697,0.063155494756042,0.0881184012066365,-0.0479565419679424,-0.00239016104937893,0.0741519207597091,-0.0333333333333333,0.0160806375996249,-0.063155494756042,-0.0759141154456971,-0.0881184012066365,-0.0881184012066365,-0.0891430171003342,-0.0980392156862745,-0.0959141154456971,-0.0429004028675406,0.00434057163652194,-0.102755376344086,0.00605356086061264,-0.11614120311574,-0.031768115942029,-0.0368528617047408,-0.0440522761880835,0.0209480727939797,0.107272727272727,0.106545013506809,0.101390374331551,0.101446974291122,-0.101649199766588,0.0428523065812043,-0.101691979112788
"cateninmemb",0.0981212121212121,0.0888529194382853,0.0674545454545455,0.150169157542299,0.143849454940068,-0.0571428571428571,0.14488038277512,0.1,0.0734553297513923,-0.0672919672919673,0.114583333333333,-0.0867724867724868,-0.00605356086061264,0,0.0833333333333333,-0.1,0.213263569311763,0.0514902334852386,0.0970685382343028,0.0980392156862745,0.0937282216122709,0.0829905932275837,-0.0514423297482308,0.0766672004416607,0.0522645096526697,0.063155494756042,0.0881184012066365,-0.0479565419679424,-0.00239016104937893,0.0741519207597091,-0.0333333333333333,0.0160806375996249,-0.063155494756042,-0.0759141154456971,-0.0881184012066365,-0.0881184012066365,0.024711959730635,-0.0980392156862745,-0.0959141154456971,-0.0429004028675406,0.00434057163652194,-0.102755376344086,0.00605356086061264,-0.11614120311574,-0.031768115942029,-0.0368528617047408,-0.0440522761880835,0.0209480727939797,0.107272727272727,0.106545013506809,0.101390374331551,0.101446974291122,-0.101649199766588,0.0428523065812043,-0.101691979112788
"Csn",-0.129341926729986,-0.128059875447935,-0.115909090909091,-0.113274225774226,-0.11038961038961,0.0883333333333333,-0.109090909090909,-0.0142857142857143,-0.0195317754044623,0.0901,-0.0233766233766234,0.0925,-0.00404301075268817,0.18,-0.0142857142857143,0.105,-0.0654492415954601,-0.0249102761634678,-0.0838318792411023,-0.0833333333333333,-0.0835203394054468,-0.0805738571444726,-0.0100820095212364,-0.0780541014633246,-0.0637291469940195,-0.0729885057471264,-0.0789370930571909,-0.0529125041659355,-0.0259546864103649,-0.0745225057251371,0.0666666666666667,-0.00915032679738562,0.0729885057471264,0.0781550233459058,0.0789370930571909,0.0789370930571909,-0.025921741537095,0.0833333333333333,0.0838318792411023,0.0940914757674926,0.101983128865625,0.0201508169250105,0.00404301075268817,0.0250688497118957,0.0132919254658385,0.0145772725095403,0.0195874861572536,0.093991185433574,-0.0166666666666667,0.0106060606060606,0.00151515151515152,0.00539772727272728,0.124322944978768,0.00852530842845612,0.131639827715238
"SNAI2",0.124649859943978,0.142598577892696,0.129411764705882,0.19510708589656,0.189912280701754,-0.116666666666667,0.174122807017544,0.1,0.197030479745458,-0.112678299404515,0.165882352941176,-0.0994252873563218,-0.00153534717851898,-0.1,0.16,-0.0666666666666667,0.488850524093958,0.102055862042885,0.17958112310225,0.150909090909091,0.192293682685445,0.200834055356252,0.474599572647057,0.197860692994723,0.123079776162368,0.186623376623377,0.114544292175716,-0.114428504926072,-0.00571042824827218,0.124589954276172,-0.16,0.0126923076923077,-0.186623376623377,-0.197228181925779,-0.114544292175716,-0.114544292175716,-0.177542401581597,-0.150909090909091,-0.17958112310225,-0.166213303970797,0.0061555528164674,-0.188331332533013,0.00153534717851898,-0.188331332533013,-0.0451374916163649,-0.0456159605158864,-0.0600512356841471,0.0146666666666667,0.1,0.119607843137255,0.117647058823529,0.123661897191309,-0.128589255398365,0.0829276538201487,-0.143219695905118
"SRC",0.358333333333333,0.353571428571429,0.333333333333333,0.0788095238095238,0.0752380952380952,-0.0166666666666667,0.08,0.0333333333333333,0.0157333568572101,-0.0076923076923077,0.0333333333333333,-0.0243589743589744,-0.000494159928122189,-0.1,0.0333333333333333,-0.05,0.0595693849067137,-0.0808484631310718,-0.115,0,-0.115879648140744,-0.12013020742486,-0.179641725377019,-0.123196721311475,-0.0886799268987207,-0.125,-0.0245974134334585,-0.0669264069264069,0.207076562728737,-0.0336883225243676,0,0.0957364341085271,0.125,0.123196721311475,0.0245974134334585,0.0245974134334585,0.0825905553060919,0.1,0.115,-0.173767841354048,-0.286194583900254,-0.037037037037037,0.000494159928122189,-0.0399782135076253,-0.0824561403508772,-0.0797534376481745,-0.0972360145647137,-0.189866405995438,0,-0.0525252525252525,-0.0636363636363636,-0.077053554412045,-0.385238095238095,-0.18,-0.360844155844156
"HEY1",0.0674545454545455,0.0981212121212121,0.0954545454545455,0.143849454940068,0.14488038277512,-0.1,0.129090909090909,0,0.0883294716278225,-0.0867724867724868,0.0833333333333333,-0.0571428571428571,-0.000366357069143447,-0.1,0.1,0,0.203931841436989,0.0385358998412498,0.063155494756042,0.0333333333333333,0.0766672004416607,0.0937282216122709,0.297175624778016,0.0970685382343028,0.0800995611990614,0.0980392156862745,0.0667948717948718,-0.0618638267361543,-0.00183150183150183,0.0881184012066365,-0.1,0.0148148148148148,-0.0980392156862745,-0.0959141154456971,-0.0667948717948718,-0.0667948717948718,-0.0985019914593085,-0.0333333333333333,-0.063155494756042,-0.0561220043572985,0.01035322986437,-0.114583333333333,0.000366357069143447,-0.102755376344086,-0.0346666666666667,-0.031768115942029,-0.0460656990068755,0.0160791589363018,0.08,0.101390374331551,0.107272727272727,0.106545013506809,-0.0940977123524008,0.0691680960548885,-0.0888529194382853
"KLF4",-0.0674545454545455,-0.0981212121212121,-0.0954545454545455,-0.143849454940068,-0.14488038277512,0.1,-0.129090909090909,0,-0.0883294716278225,0.0867724867724868,-0.0833333333333333,0.0571428571428571,0.000366357069143447,0.1,-0.1,0,-0.203931841436989,-0.0385358998412498,-0.063155494756042,-0.0333333333333333,-0.0766672004416607,-0.0937282216122709,-0.297175624778016,-0.0970685382343028,-0.0800995611990614,-0.0980392156862745,-0.0667948717948718,0.0618638267361543,0.00183150183150183,-0.0881184012066365,0.1,-0.0148148148148148,0.0980392156862745,0.0959141154456971,0.0667948717948718,0.0667948717948718,0.0985019914593085,0.0333333333333333,0.063155494756042,0.0561220043572985,-0.01035322986437,0.114583333333333,-0.000366357069143447,0.102755376344086,0.0346666666666667,0.031768115942029,0.0460656990068755,-0.0160791589363018,-0.08,-0.101390374331551,-0.107272727272727,-0.106545013506809,0.0940977123524008,-0.0691680960548885,0.0888529194382853
