"","PAK1","CDC42","TrCP","Jagged","NOTCH","Csl","NOTCHic","SMAD","ILK","AKT","SHH","HEY1","cateninmemb","DSH","LIV1","cfos","ZEB1","ERK","MEK","EGR1","RAF","FOXC2","GSK3","SNAI2","PI3K","DELTA","RAS","TWIST1","cateninnuc","CD44","TCFLEF","SRC","cMet","GLI","RKIP","STAT","Wnt","Frizzled","Destcompl","AXIN2","SNAI1","SOSGRB2","SMO","FUS","NFB","Patched","IKK","SUFU","Csn","Ecadherin","TGFR","TGF","miR200","ZEB2","KLF4"
"NFB",0.183333333333333,0.183333333333333,-0.1,0.0363115730470918,-0.0540175953079179,-0.0584415584415584,-0.0727272727272727,0.156601554672196,0.161434268426843,0.0680652080652081,0.178407115050239,0.164764853309745,-0.0691849946061717,-0.116666666666667,-0.15,0.0897142857142857,0.0564120070290669,0.091936507936508,0.0769038281979459,0.0857142857142857,0.0514898221756431,0.12279022438385,0.171921999569058,-0.0242736683343197,-0.0514898221756431,-0.0514898221756431,-0.0529823594890759,-0.152707749766573,0.104594645146029,0.106366797044763,0.0979279784793623,0.124358974358974,0.101282051282051,0.105776433304523,-0.1670169539022,0.116666666666667,0.101282051282051,0.124358974358974,-0.0894808916892466,0.151200607902736,-0.217390288960926,0.0166032728881026,-0.181481481481481,-0.2,-0.0714285714285714,-0.195274584929757,-0.0525096525096525,-0.2,0.0285714285714286,0.069798486877693,-0.174533333333333,-0.172001687763713,-0.266728032683635,-0.344870048684931,-0.346703296703297
"SMAD",0.25,0.245774647887324,0.2,0.200187683284458,0.202512315270936,0.21047619047619,0.200131362889984,0.0530765581450513,0.144981320049813,0.154102707749767,0.116690625603947,0.122636036381882,0.120886030401067,0.128571428571429,0.08,0.0124423963133641,0.0953140606847126,0.0101168149180152,0.0149245072257075,0.0285714285714286,0.00275801054840356,0.0299870102567802,-0.100627976868578,-0.0373672441201083,-0.00275801054840356,-0.00275801054840356,0.000860410504228018,-0.109407970611336,-0.085341482909936,-0.0848804006451065,-0.0899007534266534,-0.0863492063492064,-0.0961531279178338,-0.106376876520761,-0.10787951602271,-0.108571428571429,-0.117887667887668,-0.106349206349206,-0.0576411491441453,-0.131704642006721,-0.133549115758793,-0.172692990239574,-0.119166666666667,-0.129166666666667,-0.158730158730159,-0.123753822629969,-0.156769374416433,-0.116666666666667,-0.144444444444444,-0.206847843072127,-0.253037217719726,-0.254232436843232,-0.228520194948278,-0.333839605537719,-0.336180124261668
"TGFR",0.191111111111111,0.200634920634921,0.233333333333333,0.171156698896502,0.269736211031175,0.273333333333333,0.273333333333333,0.122405144314225,0.132013685239492,0.243623593868392,0.110103253458017,0.0970245484376955,0.130534380010752,0.114285714285714,0.1,0.006265664160401,0.0208371701122446,0.00848788638262322,0.00163857131413007,-0.00952380952380953,-0.138095238095238,-0.00136903631777374,-0.206366712318894,-0.054317878814751,0.138095238095238,0.138095238095238,0.130492898913952,-0.182491103202847,-0.115879722048727,-0.120913604766634,-0.112779633474768,-0.13,-0.113018867924528,-0.135691678984436,-0.102077922077922,-0.1,-0.127304582210243,-0.144285714285714,-0.00993541815597182,-0.157057890713112,-0.200230821739269,-0.00469460688758934,-0.102758620689655,-0.12,-0.254761904761905,-0.102758620689655,-0.238972431077694,-0.153333333333333,-0.283333333333333,-0.201826694278256,-0.291706349206349,-0.293834008780817,-0.23939492252896,-0.312806516004133,-0.312802840434419
"TGF",0.18,0.191111111111111,0.2,0.165359597447226,0.273333333333333,0.293333333333333,0.273333333333333,0.132013685239492,0.128787878787879,0.238972431077694,0.102758620689655,0.0985170857511283,0.123836920426456,0.1,0,-0.00952380952380953,0.0302711323763955,0.006265664160401,0.00848788638262322,0.0333333333333333,-0.132738095238095,-0.00791925465838509,-0.211990184201535,-0.0448271380740102,0.132738095238095,0.132738095238095,0.138095238095238,-0.18,-0.112779633474768,-0.113018867924528,-0.120913604766634,-0.1,-0.13,-0.127304582210243,-0.0935064935064935,-0.1,-0.144285714285714,-0.114285714285714,-0.0109434826721009,-0.152336860670194,-0.198165924984107,0.00394736842105263,-0.12,-0.153333333333333,-0.283333333333333,-0.102758620689655,-0.254761904761905,-0.133333333333333,-0.233333333333333,-0.207448500070419,-0.200634920634921,-0.291706349206349,-0.240861198188784,-0.310919723551302,-0.316374269005848
"RKIP",0.133333333333333,0.166666666666667,0,0.123415393322015,-0.0144133644133644,0.0111111111111111,0.0202020202020202,0.11193732338574,0.122828412494651,-0.00297619047619048,0.143256830601093,0.128300425861401,0.0182426123602594,-0.1,0,-0.02,0.0338727881396461,-0.016551724137931,-0.00165810711665444,-0.02,0.209415584415584,0.090834070144415,0.234278959810875,0.0517386489479513,-0.209415584415584,-0.209415584415584,-0.217107892107892,-0.0937106357694593,0.0472488740668733,0.0432523616734143,0.0607348791559318,0.0333333333333333,0.0701754385964912,0.0364102564102564,-0.252450980392157,0.1,0.0633333333333333,0.0333333333333333,-0.225473185789995,0.0821261134552274,-0.117014539462304,-0.182031746031746,-0.146666666666667,-0.166666666666667,-0.0428571428571429,-0.118666666666667,-0.0303571428571429,-0.1,0,-0.0463994848421971,-0.171428571428571,-0.164886515353805,-0.175444231065117,-0.226964131994261,-0.224964131994261
"SHH",0.2,0.233333333333333,0,-0.0371428571428572,0.0333333333333333,-0.1,0,-0.05,0,0.15,0.0133333333333333,0,0.142795698924731,0,0,0.1,0.075,0,-0.06,0,-0.2,-0.075,-0.256410256410256,0.000536398467432952,0.2,0.2,0.176923076923077,0,-0.0344444444444444,0,-0.00666666666666667,0.1,0.1,-0.1,0.02,0.1,0,0,0.277662337662338,0.19047619047619,0.0333333333333333,-0.1,-0.1,0,0,-0.133333333333333,-0.1,0,0,-0.124166666666667,-0.133333333333333,-0.113333333333333,-0.116666666666667,-0.175,-0.2
"HEY1",0.0590909090909091,0.0710909090909091,-0.1,-0.0153332424696742,-0.0239895427415775,-0.0254545454545455,-0.00440191387559808,0.0438840579710145,0.0453333333333333,-0.111005291005291,0.0266129032258065,0.0343009931245225,0.115775349311935,-0.0333333333333333,0.0333333333333333,0.129090909090909,-0.0399742002063984,0.129090909090909,0.13630740393627,0.12,0.117179487179487,0.108658219623132,0.151626796365621,0.00374591891750436,-0.117179487179487,-0.117179487179487,-0.120855957767722,-0.0638605664488018,0.0257738486113952,0.0247459307282063,0.035113823704795,0.0156862745098039,0.0412676698586411,0.0257504284793308,-0.0959802102659246,0.0333333333333333,0.0412676698586411,0.0156862745098039,-0.144507314237811,-0.0815353902496111,-0.106902980740005,-0.0829188107489994,-0.0333333333333333,0.0333333333333333,0.12,-0.00833333333333333,0.0961904761904762,0,0.1,-0.176373619096352,-0.0777575757575758,-0.0792209903917221,-0.169348799348799,-0.174953560371517,-0.174074074074074
"TWIST1",-0.0848484848484849,-0.0917450365726228,0.2,0.0218750355428837,0.0743713379562436,0.0637037037037037,0.0790883190883191,0.091960367207892,0.0962507962507962,0.255674551437263,0.192137331203935,0.095970695970696,-0.145595576961476,-0.1,-0.1,0.0336231884057971,-0.0288112674077586,0.0230968726163234,0.0216043353028906,0.0466666666666667,-0.163782794617709,0.0640138930836605,-0.204295418713934,-0.000423458205643242,0.163782794617709,0.163782794617709,0.162755397357435,-0.0785317914351095,0.0701428477103658,0.0667193597083369,0.0723855159104808,0.0722222222222222,0.0743498817966903,0.0652748538011696,0.0012524947307556,0.1,0.0732748538011696,0.0722222222222222,0.187087397233035,0.121438776277486,-0.00353751563044504,0.180866044710438,-0.210222222222222,-0.222222222222222,-0.257692307692308,-0.189674277016743,-0.262454212454212,-0.233333333333333,-0.25,0.20814118400227,0.0979950365726228,0.0991339887366319,-0.0587681235370157,-0.0491421245807211,-0.0470293933708568
"RAS",-0.02,-0.08,0.2,0.0816676522767593,0.139523336643496,0.1,0.126315789473684,0.0269016697588126,0.0064935064935065,0.113333333333333,0.00240677966101695,-0.0940711462450593,-0.0860199659034416,0.1,0,-0.125,0.0588880706921944,-0.161842105263158,-0.163802889576883,-0.1,-0.2,-0.129206349206349,-0.162416020671835,0.0373309743909488,0.2,0.2,0.111538461538462,0.0153082378614294,-0.0775423872344244,-0.0762828535669587,-0.088590545874651,-0.05,-0.0911764705882353,-0.0786764705882353,-0.0271132075471698,-0.1,-0.0911764705882353,-0.05,0.117362932479212,-0.105823451910408,0.156607669616519,-0.0835497835497836,-0.05,0,-0.0666666666666667,-0.038,-0.113333333333333,-0.1,-0.1,0.0712484168019425,0.0741176470588235,0.0691671520093186,0.0766461538461538,0.074440353460972,0.0692857142857143
"miR200",0.0125,0.0105392156862745,0,-0.0157316870454727,-0.0155125100887813,-0.012512315270936,-0.0228571428571429,0.00289108149956487,-0.000557194362504097,-0.0119336076039155,-0.0114699137772886,8.47457627118645e-05,0.0207024633774227,0.02,0,0.0142857142857143,-0.0997535842293907,0.0142857142857143,0.0136054421768707,0.0142857142857143,0.0858055874473785,0.015346929493271,0.00759793111720921,0.0610095155993117,-0.0858055874473785,-0.0858055874473785,-0.0840599515371541,0.060592188997097,-0.00241935811997118,-0.000254855955469015,-0.00620723690784997,0.00173913043478261,-0.00812002449479486,-0.00216684723726977,-0.0103254078199655,-0.02,-0.00985915492957746,0,-0.078924312960503,-0.0621919524428132,-0.0182363932363932,0.00229206963249516,0.0141666666666667,0.0075,0.0147368421052632,0.00277426160337553,0.017593984962406,0.02,0.02,-0.00188999679115904,-0.012152118912081,-0.0127335142609182,-0.0108832348531617,0.0904390681003584,0.0884920634920635
"FUS",-0.113333333333333,-0.0966666666666667,-0.1,0.0402999298782431,-0.0587878787878788,-0.0606060606060606,-0.0406060606060606,0.040568356374808,0.0347619047619048,-0.111252747252747,0.0511868686868687,0.0314222009874184,-0.104324900469933,-0.1,0.1,0.0676923076923077,-0.0708822917749818,0.0646620046620047,0.0773056828229242,0.06,0.17619633273703,0.0679219600725953,0.254251109801975,-0.0267479056915075,-0.17619633273703,-0.17619633273703,-0.176633013959738,-0.0341945271418631,0.0180555141194763,0.0218230852211435,0.0278381228151284,0.00666666666666667,0.0344444444444444,0.116239316239316,-0.0443658975617739,0,0.127777777777778,0.1,-0.267186122314284,-0.147535323247467,-0.0464800162304727,0.12246963562753,-0.0491666666666667,0.0133333333333333,0.135714285714286,-0.0380555555555556,0.0997142857142857,0.133333333333333,0.15,0.104356061405407,0.0804504504504505,0.0772589610887483,0.0764629175394936,0.113820144882326,0.115300546448087
"SUFU",-0.0966666666666667,-0.0804504504504505,-0.15,0.0386372220397633,-0.05005772005772,-0.0406060606060606,-0.0587878787878788,0.03802794067042,0.040568356374808,-0.105212478796371,0.0500285675285675,0.038651116650069,-0.110464054630915,-0.1,0,0.0646620046620047,-0.0626697313885084,0.0773056828229242,0.0734758955888817,0.0676923076923077,0.176633013959738,0.0666812652835134,0.25039506867087,-0.0170577277086466,-0.176633013959738,-0.176633013959738,-0.174101368390118,-0.0335759704408322,0.0211757187230568,0.0278381228151284,0.0180555141194763,0.0344444444444444,0.0218230852211435,0.122559018841547,-0.0366107955209575,0.00666666666666667,0.116239316239316,0.127777777777778,-0.268940508279196,-0.143554058610465,-0.0493760980021933,0.120371733529628,-0.0380555555555556,-0.0491666666666667,0.0997142857142857,-0.0511868686868687,0.111252747252747,0.0133333333333333,0.135714285714286,0.0981768647009788,0.0772589610887483,0.0817954502406221,0.0801803896584527,0.115269420244645,0.108713720100782
"SNAI2",-0.0274509803921569,-0.0369747899159664,0.1,-0.0263321895098145,-0.00907951697425382,-0.00263157894736842,-0.0324561403508772,-0.0368023130810381,-0.0449362843729041,0.0856010247888104,0.00871751517508411,-0.0317811934900542,-0.0834599096600742,0.00363636363636364,-0.06,-0.105882352941176,0.0446786238724565,-0.103921568627451,-0.109326974032856,-0.1,-0.0822765113750936,-0.0876479342988082,-0.101798894525311,-0.0245541165244252,0.0822765113750936,0.0822765113750936,0.0868427214207557,0.00628517812156482,0.0207020621022518,0.0240058336332757,0.00936665837554375,0.0320779220779221,0.00250045728918968,0.0233560722624517,0.0712948717948718,-0.00363636363636364,0.00250045728918968,0.0320779220779221,0.0951049462071528,0.0703245898735299,0.0738327286498499,0.0747464503042596,0.00470588235294118,-0.06,-0.0916666666666667,-0.0340696278511404,-0.0675287356321839,0,-0.0666666666666667,0.0605067006853264,0.0378294907706672,0.0384506087830896,0.122009954599674,0.119869939165093,0.120576923076923
"SMO",-0.133333333333333,-0.113333333333333,0,0.0306613756613757,-0.0406060606060606,-0.0333333333333333,-0.0606060606060606,0.0347619047619048,0.03,-0.0997142857142857,0.0380555555555556,0.0241758241758242,-0.11903625987403,0,0.1,0.06,-0.0800847457627119,0.0676923076923077,0.0646620046620047,0,0.183173076923077,0.078448275862069,0.255254454283581,-0.0161554460864806,-0.183173076923077,-0.183173076923077,-0.17619633273703,-0.0420479302832244,0.0278381228151284,0.0344444444444444,0.0218230852211435,0,0.00666666666666667,0.127777777777778,-0.0453968253968254,-0.1,0.1,0.1,-0.272295611365379,-0.14815644125989,-0.0559139784946237,0.126315789473684,0.0133333333333333,0.133333333333333,0.15,-0.0491666666666667,0.135714285714286,0.1,0.1,0.10189030798075,0.0966666666666667,0.0804504504504505,0.0833936106088005,0.123022598870057,0.133333333333333
"Patched",-0.233333333333333,-0.133333333333333,0,0.0556613756613757,-0.0606060606060606,0,-0.0333333333333333,0.03,0.05,-0.135714285714286,0.0491666666666667,0.0384615384615385,-0.112240143369176,0,0.1,0,-0.075,0.06,0.0676923076923077,-0.1,0.176923076923077,0.075,0.265934065934066,-0.028536398467433,-0.176923076923077,-0.176923076923077,-0.183173076923077,-0.0185185185185185,0.0218230852211435,0.00666666666666667,0.0344444444444444,-0.1,0,0.1,-0.0342857142857143,-0.1,0.1,0,-0.26997002997003,-0.172294372294372,-0.0559139784946237,0.1,0.133333333333333,0.1,0.1,0.0133333333333333,0.15,0,0,0.125137540453074,0.113333333333333,0.0966666666666667,0.102380952380952,0.141666666666667,0.166666666666667
"Ecadherin",-0.0710909090909091,-0.0777575757575758,0.1,0.0228847298838619,0.0132088735965961,0.00440191387559808,0.0239895427415775,-0.0441261887216198,-0.0438840579710145,0.104511784511785,-0.018738887477775,-0.0363144159433145,-0.107313810850396,0.0156862745098039,0.0333333333333333,-0.129090909090909,0.0352348637135074,-0.13630740393627,-0.133562305897054,-0.129090909090909,-0.120855957767722,-0.108887052575077,-0.148315538087475,-0.0144021501035369,0.120855957767722,0.120855957767722,0.118621320896214,0.0666538625381872,-0.0311893481445418,-0.035113823704795,-0.0257738486113952,-0.0412676698586411,-0.0247459307282063,-0.0357504284793308,0.0903622327378347,-0.0156862745098039,-0.0257504284793308,-0.0412676698586411,0.147396410230356,0.0767931222083739,0.111016904790638,0.0789714423279468,0.00833333333333333,0.0333333333333333,-0.0961904761904762,0.0266129032258065,-0.111005291005291,-0.0333333333333333,-0.12,0.0840659267886598,0.0792209903917221,0.0768701766485033,0.167672821695168,0.172583892125072,0.179137365213315
"cateninmemb",-0.0710909090909091,-0.0777575757575758,0.1,0.0228847298838619,0.0132088735965961,0.00440191387559808,0.0239895427415775,-0.0441261887216198,-0.0438840579710145,0.104511784511785,-0.018738887477775,-0.0363144159433145,0.00668674605490157,0.0156862745098039,0.0333333333333333,-0.129090909090909,0.0352348637135074,-0.13630740393627,-0.133562305897054,-0.129090909090909,-0.120855957767722,-0.108887052575077,-0.148315538087475,-0.0144021501035369,0.120855957767722,0.120855957767722,0.118621320896214,0.0666538625381872,-0.0311893481445418,-0.035113823704795,-0.0257738486113952,-0.0412676698586411,-0.0247459307282063,-0.0357504284793308,0.0903622327378347,-0.0156862745098039,-0.0257504284793308,-0.0412676698586411,0.147396410230356,0.0767931222083739,0.111016904790638,0.0789714423279468,0.00833333333333333,0.0333333333333333,-0.0961904761904762,0.0266129032258065,-0.111005291005291,-0.0333333333333333,-0.12,-0.132926820910237,0.0792209903917221,0.0768701766485033,0.167672821695168,0.172583892125072,0.179137365213315
"KLF4",-0.0590909090909091,-0.0710909090909091,0.1,0.0153332424696742,0.0239895427415775,0.0254545454545455,0.00440191387559808,-0.0438840579710145,-0.0453333333333333,0.111005291005291,-0.0266129032258065,-0.0343009931245225,-0.115775349311935,0.0333333333333333,-0.0333333333333333,-0.129090909090909,0.0399742002063984,-0.129090909090909,-0.13630740393627,-0.12,-0.117179487179487,-0.108658219623132,-0.151626796365621,-0.00374591891750436,0.117179487179487,0.117179487179487,0.120855957767722,0.0638605664488018,-0.0257738486113952,-0.0247459307282063,-0.035113823704795,-0.0156862745098039,-0.0412676698586411,-0.0257504284793308,0.0959802102659246,-0.0333333333333333,-0.0412676698586411,-0.0156862745098039,0.144507314237811,0.0815353902496111,0.106902980740005,0.0829188107489994,0.0333333333333333,-0.0333333333333333,-0.12,0.00833333333333333,-0.0961904761904762,0,-0.1,0.176373619096352,0.0777575757575758,0.0792209903917221,0.169348799348799,0.174953560371517,0.174074074074074
"FOXC2",-0.0590909090909091,-0.0710909090909091,0.1,0.0153332424696742,0.0239895427415775,0.0254545454545455,0.00440191387559808,-0.0438840579710145,-0.0453333333333333,0.111005291005291,-0.0266129032258065,-0.0343009931245225,-0.115775349311935,0.0333333333333333,-0.0333333333333333,-0.129090909090909,0.0399742002063984,-0.129090909090909,-0.13630740393627,-0.12,-0.117179487179487,-0.108658219623132,-0.151626796365621,-0.00374591891750436,0.117179487179487,0.117179487179487,0.120855957767722,0.0638605664488018,-0.0257738486113952,-0.0247459307282063,-0.035113823704795,-0.0156862745098039,-0.0412676698586411,-0.0257504284793308,0.0959802102659246,-0.0333333333333333,-0.0412676698586411,-0.0156862745098039,0.144507314237811,0.0815353902496111,0.106902980740005,0.0829188107489994,0.0333333333333333,-0.0333333333333333,-0.12,0.00833333333333333,-0.0961904761904762,0,-0.1,0.176373619096352,0.0777575757575758,0.0792209903917221,0.169348799348799,0.174953560371517,0.174074074074074
