"","TGFR","CDC42","GSK3","PAK1","KLF4","SNAI1","Destcompl","AXIN2","cateninmemb","cateninnuc","Ecadherin","TCFLEF","GLI","Wnt","NOTCHic","Csl","ILK","SMAD","HEY1","NFB","TrCP","SUFU","AKT","Patched","IKK","Csn","SHH","FOXC2","FUS","SMO","Jagged","NOTCH","LIV1","Frizzled","RAF","PI3K","DELTA","SNAI2","DSH","RAS","ZEB2","RKIP","cMet","CD44","SRC","STAT","TWIST1","EGR1","ERK","MEK","cfos","miR200","TGF","SOSGRB2","ZEB1"
"TGF",-0.100634920634921,-0.0911111111111111,-0.203298853788091,-0.08,0.100432240020341,-0.0247870311506675,-0.0549111474012563,-0.00811287477954145,-0.0121703647294144,-0.00684661912070055,-0.00830051992864185,-0.013545183714002,0.011266846361186,-0.00571428571428572,0.06,0.06,-0.0463636363636364,-0.0479765395894428,0.0366215344938749,-0.125,0.2,0,-0.125,0.0703448275862069,0.125,-0.1,0.0484698275862069,-0.100232919254658,0.06,0.06,0.0370643102601865,-0.06,0,-0.0142857142857143,-0.0541666666666667,-0.0541666666666667,-0.0541666666666667,0.0630866326227938,0,-0.0541666666666667,-0.0913413309294316,0.0203463203463203,0.02,0.0030188679245283,0,0,-0.00425925925925926,0.166666666666667,0.182456140350877,0.184678362573099,0.166666666666667,-0.118151675910297,-0.00293650793650794,0.255263157894737,0.0212689827335136
"SNAI2",-0.0188608776844071,-0.0299719887955182,-0.0514929082846207,-0.0156862745098039,0.0828846153846154,-0.0336825313461844,-0.0433474093860453,-0.08918906308324,-0.11264325446912,-0.0398551909234943,-0.0853069641616294,-0.037681277880016,-0.0400659572407708,-0.0384616791659045,0.0359649122807018,0.0342105263157895,0.0523138832997988,0.0231272804289854,-0.0386377335744424,0.0666666666666667,-0.1,0,0.0675806674975765,-0.047515006002401,-0.0977011494252874,0.0666666666666667,-0.0658248651573305,0.0361260046199159,-0.06,-0.0658823529411765,-0.0486148999825396,-0.0372636135794031,0.06,0.0398701298701299,0.0814878025425686,0.0814878025425686,0.0814878025425686,-0.0216054424288464,0.0327272727272727,0.0718987614466782,-0.0749886721208307,0.0471666666666667,0.0384616791659045,0.0395369479831088,0.0398701298701299,0.0327272727272727,0.0456078608029731,0.133333333333333,0.133333333333333,0.103603603603604,0.092156862745098,-0.0865001363939738,0.0256931758210531,0.0893847194050034,0.0494684287812041
"TWIST1",-0.110488505747126,-0.102988505747126,0.0614927342024738,-0.113333333333333,0.0392641234104649,-0.0312054532316586,0.0804536887284633,0.123085194375517,0.172993907947508,0.0891812361906024,0.219173526679247,0.0888937146264851,0.0902172096908939,0.0902172096908939,-0.0491737891737892,-0.0414814814814815,-0.0650878150878151,-0.0469359999062969,0.0458868814801018,-0.176923076923077,0.2,0.166666666666667,-0.187173278698702,0.168706240487062,0.200732600732601,-0.2,0.179051068073269,0.0415250728266482,0.155555555555556,0.175555555555556,0.0887492953978733,0.0491737891737892,-0.1,-0.0912698412698413,-0.10535363856047,-0.10535363856047,-0.10535363856047,0.00344414972354771,-0.0857142857142857,-0.1002166522591,-0.0457799905168326,0.0293486510877815,-0.0891421816953732,-0.0887405752696704,-0.0912698412698413,-0.0857142857142857,-0.0950898532563292,0.0266666666666667,0.0273531655225019,0.0437710759702631,0.0484057971014493,-0.0490046466128638,0.107982810986306,0.10010561520859,0.0267381416504224
"Csn",-0.108459450996764,-0.104613297150611,-0.129084839645339,-0.109090909090909,0.0280657904187316,-0.0981242621818351,-0.0568696103347858,-0.111556991658798,-0.0260429765807846,-0.0755702917003199,0.00382099859402664,-0.0752696302451184,-0.0752929199103295,-0.0766029635784517,-0.101875901875902,-0.097979797979798,0.00765527950310559,0.0166527088090182,-0.0128405315614618,0.136666666666667,-0.22,-0.0142857142857143,0.134566666666667,-0.0277428664525439,-0.124166666666667,0.12,-0.0220051615345111,-0.0648372811054121,-0.0253968253968254,-0.0223665223665224,-0.0177090534544273,0.0989912864912865,0.0666666666666667,0.0729885057471264,0.201014400869486,0.201014400869486,0.201014400869486,0.0207538581282115,0.0833333333333333,0.20542898820154,-0.0260578990901572,0.0773754546546809,0.0766029635784517,0.0752696302451184,0.0729885057471264,0.0833333333333333,0.087054698457223,0.0766666666666667,0.0896536796536797,0.101112012987013,0.103939393939394,-0.0213053675586665,0.105356825698435,0.132789115646259,-0.00274441687344913
"NFB",-0.136234343434343,-0.143434343434343,-0.140489118724413,-0.138888888888889,0.0177655677655678,-0.0642568773939683,-0.0320269209366563,0.0914336372847011,0.150026483243641,0.0733165391847826,0.157603519825949,0.0732381078122335,0.0733938346297897,0.0756410256410256,-0.172727272727273,-0.187012987012987,-0.0830651815181518,-0.0975633227820923,0.0759730207872623,-0.0142857142857143,-0.1,0.12,-0.0131445731445731,0.0992337164750958,-0.00463320463320463,0.0857142857142857,0.0932096200895536,0.0245635639261137,0.1,0.0888888888888889,0.0805424001941839,0.178533724340176,-0.05,-0.0679487179487179,0.0714441519047741,0.0714441519047741,0.0714441519047741,0.00551650292221429,-0.0833333333333333,0.0644789777754208,-0.0225253363293291,0.0811055065153426,-0.0756410256410256,-0.0728161668839635,-0.0679487179487179,-0.0833333333333333,0.0439822595704949,0.0642857142857143,0.0687301587301587,0.0510830999066293,0.0442857142857143,-0.0332272395059732,0.141930545965989,0.153573639982309,0.013397343934549
"SOSGRB2",0.00659340659340659,0.0142857142857143,-0.177197348389494,0.0142857142857143,0.00526315789473684,-0.008090973702914,-0.118026157287902,-0.0981091859185919,-0.101035373035373,-0.0708687797305217,-0.0685263901235577,-0.0695303476081508,-0.0752587991718426,-0.0738095238095238,0.0937062937062937,0.109090909090909,0.0032258064516129,0.0081209113467178,0.00284090909090909,0.0111111111111111,0,0,0.0122076023391813,-0.00855855855855856,-0.016374269005848,0,-0.0155353027446051,-0.00146520146520147,0,-0.0166666666666667,-0.015303394870839,-0.10074854722742,0,0.0571428571428571,0.0282485875706215,0.0282485875706215,0.0282485875706215,0.00855642125192677,0.1,0.0372229465449804,-0.000977443609022556,-0.0735745614035088,0.0701863354037267,0.0716356107660455,0.0571428571428571,0.1,-0.00379710144927536,0.0142857142857143,0.0280995280995281,0.0311298311298311,0.0253968253968254,0.000862786649511844,-0.0115579456004988,0.00694444444444444,-0.00330827067669173
"IKK",0.143434343434343,0.138888888888889,0.13029304029304,0.15,-0.0216117216117216,0.0804212609556121,0.0404986817339985,-0.0921428571428571,-0.145697021786407,-0.0732381078122335,-0.1625794427794,-0.0728161668839635,-0.0756410256410256,-0.0679487179487179,0.187012987012987,0.172727272727273,0.0979166666666667,0.0830651815181518,-0.086687306501548,-0.0857142857142857,0.2,-0.1,-0.00463320463320463,-0.0888888888888889,-0.0142857142857143,-0.1,-0.0992337164750958,-0.0472727272727273,-0.12,-0.1,-0.0877366447985005,-0.172727272727273,0.1,0.0833333333333333,-0.0615849969751966,-0.0615849969751966,-0.0615849969751966,-0.0130368281254663,0.05,-0.0714441519047741,0.0183107769423559,-0.0554644808743169,0.0679487179487179,0.0756410256410256,0.0833333333333333,0.05,-0.0316013071895425,-0.05,-0.0442857142857143,-0.0687301587301587,-0.0642857142857143,0.0166109253065775,-0.136234343434343,-0.152521008403361,0.00920802005012531
"MEK",0.0359946595460614,0.0257142857142857,-0.192619795811285,0.04,-0.0377809660449546,0.0113856434627745,-0.0583866894183796,-0.0924237528667908,-0.103471296670723,-0.0601840120864348,-0.0865964508888979,-0.0598122648745389,-0.0642424242424242,-0.057948717948718,0.103069153069153,0.0838383838383839,0.0954260349013079,0.0795588762297211,-0.083302713546616,0.101785714285714,-0.1,-0.1,0.102641329258976,-0.100918032786885,-0.110876623376623,0.114285714285714,-0.106800385728062,-0.0529333046574426,-0.1,-0.096,-0.105135889697803,-0.0950399559888611,0.1,0.0733333333333333,0.108275058275058,0.108275058275058,0.108275058275058,0.0926796110970007,0.0333333333333333,0.0984337884337884,0.0359303591355241,-0.0265406162464986,0.0547908232118758,0.0610845295055821,0.0701754385964912,0.0333333333333333,-0.00318077347489113,0.13,0.138804108584006,0.0188041085840059,0.119655172413793,0.00988614805122235,-0.029425316480368,0.0959365079365079,0.00699173327867732
"ERK",0.029425316480368,0.0359946595460614,-0.182356398899387,0.0257142857142857,-0.0354553846496057,-0.00366065283352175,-0.0663160392868501,-0.0925863544928071,-0.107059153156463,-0.0600451231975459,-0.0822366843252179,-0.0601840120864348,-0.062989291410344,-0.0642424242424242,0.0950399559888611,0.103069153069153,0.0795588762297211,0.0932366877798731,-0.0706747271984931,0.110876623376623,-0.114285714285714,-0.1,0.117320228341545,-0.106800385728062,-0.102641329258976,0.101785714285714,-0.0985878253415883,-0.034300826024964,-0.096,-0.100918032786885,-0.0979069740351528,-0.0980870474016035,0.0333333333333333,0.057948717948718,0.0984337884337884,0.0984337884337884,0.0984337884337884,0.0992621178598501,0.0733333333333333,0.105804525507496,0.0376626426000911,-0.0468748780849387,0.0610845295055821,0.0598122648745389,0.0547908232118758,0.0701754385964912,-0.0130282075941699,0.119655172413793,0.0188041085840059,0.0363528551021117,0.138804108584006,0.0238567362865165,-0.0332714703265218,0.0910821390044691,-0.0114334635717164
"RKIP",0.0257142857142857,0.04,-0.174192277383767,0.0333333333333333,-0.0318986131037781,-0.00912717705004597,-0.0715666057363712,-0.0897210501640881,-0.109324955207308,-0.0598122648745389,-0.0798569244772404,-0.0610845295055821,-0.057948717948718,-0.0733333333333333,0.0838383838383839,0.111111111111111,0.078594351732991,0.0954260349013079,-0.0687572590011614,0.114285714285714,-0.1,-0.1,0.110876623376623,-0.096,-0.101785714285714,0.1,-0.100918032786885,-0.0259062776304156,-0.1,-0.1,-0.0944801519928854,-0.103069153069153,0,0.0333333333333333,0.0954545454545455,0.0954545454545455,0.0954545454545455,0.103385207204057,0.1,0.108275058275058,0.0398986131037781,-0.0515406162464986,0.0701754385964912,0.0547908232118758,0.0333333333333333,0.1,-0.0196642899584076,0.08,0.119655172413793,0.138804108584006,0.13,0.0262948167818725,-0.0359946595460614,0.0848253968253968,-0.0168177905308465
"RAF",0.0257142857142857,0.04,-0.174192277383767,0.0333333333333333,-0.0318986131037781,-0.00912717705004597,-0.0715666057363712,-0.0897210501640881,-0.109324955207308,-0.0598122648745389,-0.0798569244772404,-0.0610845295055821,-0.057948717948718,-0.0733333333333333,0.0838383838383839,0.111111111111111,0.078594351732991,0.0954260349013079,-0.0687572590011614,0.114285714285714,-0.1,-0.1,0.110876623376623,-0.096,-0.101785714285714,0.1,-0.100918032786885,-0.0259062776304156,-0.1,-0.1,-0.0944801519928854,-0.103069153069153,0,0.0333333333333333,0.0954545454545455,0.0954545454545455,0.0954545454545455,0.103385207204057,0.1,0.108275058275058,0.0398986131037781,-0.0515406162464986,0.0701754385964912,0.0547908232118758,0.0333333333333333,0.1,-0.0196642899584076,0.08,0.119655172413793,0.138804108584006,0.13,0.0262948167818725,-0.0359946595460614,0.0848253968253968,-0.0168177905308465
"ZEB2",-0.19730364873222,-0.196623376623377,-0.195873550672097,-0.194805194805195,-0.153873580550961,-0.0887090394572923,-0.0886787414868545,-0.0822618415065137,-0.079789810246135,-0.061702133766626,-0.0615133359971043,-0.0607930428575351,-0.0526124334381215,-0.0498601398601399,-0.0270769230769231,-0.0230769230769231,-0.00902208120517979,-0.00536354461981394,-0.00309948116399729,-0.00138888888888889,0,0,0.00222481827622014,0.00738675958188153,0.00805555555555556,0.0111111111111111,0.0119322141273361,0.0122144522144522,0.0142857142857143,0.0171428571428571,0.0195474531158889,0.0232517864649012,0.05,0.0524242424242424,0.0565800865800866,0.0565800865800866,0.0565800865800866,0.0584112239272798,0.0590909090909091,0.0602203435394014,0.0602386289901024,0.0602737520128824,0.0607017543859649,0.0625536062378168,0.0633333333333333,0.07,0.101034822770947,0.158333333333333,0.161219581211092,0.167317142186702,0.174122807017544,0.182540640755349,0.192541743970315,0.235970695970696,0.2587702904856
"KLF4",0.0435757575757576,0.0529090909090909,0.0494080932062301,0.0409090909090909,-0.107407407407407,0.0280393570347596,0.0450290858831573,0.131574628612339,0.237717594059057,0.0306711169048125,0.258866290513517,0.0283049898811512,0.0315006997185402,0.0297765617875057,-0.0238277511961722,-0.0290909090909091,-0.052,-0.0273623188405797,0.0407181054239878,-0.08,0.1,0,-0.0932275132275132,0.0416666666666667,0.122857142857143,-0.1,0.0599462365591398,-0.038912975286236,0.0333333333333333,0.0666666666666667,0.0463350143110263,0.0269205347013269,-0.0333333333333333,-0.0274509803921569,-0.101794871794872,-0.101794871794872,-0.101794871794872,-0.0398966487641848,-0.0333333333333333,-0.0959125188536953,0.0930804953560372,-0.027540713254999,-0.0297765617875057,-0.030646127004897,-0.0274509803921569,-0.0333333333333333,-0.0413028322440087,-0.16,-0.15572192513369,-0.132010584927504,-0.114545454545455,0.0996052096052096,-0.0479660014781966,-0.120097198399085,-0.0341589267285862
"FOXC2",0.0435757575757576,0.0529090909090909,0.0494080932062301,0.0409090909090909,-0.107407407407407,0.0280393570347596,0.0450290858831573,0.131574628612339,0.237717594059057,0.0306711169048125,0.258866290513517,0.0283049898811512,0.0315006997185402,0.0297765617875057,-0.0238277511961722,-0.0290909090909091,-0.052,-0.0273623188405797,0.0407181054239878,-0.08,0.1,0,-0.0932275132275132,0.0416666666666667,0.122857142857143,-0.1,0.0599462365591398,-0.038912975286236,0.0333333333333333,0.0666666666666667,0.0463350143110263,0.0269205347013269,-0.0333333333333333,-0.0274509803921569,-0.101794871794872,-0.101794871794872,-0.101794871794872,-0.0398966487641848,-0.0333333333333333,-0.0959125188536953,0.0930804953560372,-0.027540713254999,-0.0297765617875057,-0.030646127004897,-0.0274509803921569,-0.0333333333333333,-0.0413028322440087,-0.16,-0.15572192513369,-0.132010584927504,-0.114545454545455,0.0996052096052096,-0.0479660014781966,-0.120097198399085,-0.0341589267285862
"Ecadherin",0.0479660014781966,0.0435757575757576,0.0467590865837135,0.0529090909090909,-0.108673230192218,0.0362672051360255,0.0495025248393548,0.130543700777287,0.24028169662316,0.0298307807703587,0.155653048059768,0.0306711169048125,0.0288340330518735,0.0315006997185402,-0.0269205347013269,-0.0238277511961722,-0.0273623188405797,-0.0426165561287153,0.0172281725380817,-0.122857142857143,0.1,0.0333333333333333,-0.111409331409331,0.0599462365591398,0.0932275132275132,-0.08,0.0473478113622894,-0.0514987876432154,0.0666666666666667,0.0416666666666667,0.036952863281278,0.0287792707608064,-0.0333333333333333,-0.0297765617875057,-0.0959125188536953,-0.0959125188536953,-0.0959125188536953,-0.0456160948809819,-0.0274509803921569,-0.0981471557252037,0.0949762299531936,-0.00993771700031732,-0.030646127004897,-0.0283049898811512,-0.0297765617875057,-0.0274509803921569,-0.0336678229330218,-0.114545454545455,-0.132010584927504,-0.145736075123583,-0.15572192513369,0.0863836081154517,-0.0456151877349778,-0.125360356293822,-0.0166233817048895
"TGFR",-0.00293650793650794,0.100634920634921,0.217235284105939,0.0911111111111111,-0.0915036685917693,0.0174123998822309,0.0442256635302886,0.0128339048224599,0.00916805526059227,0.0110095952057316,0.00949302418758563,0.00684661912070055,0.000991218154943051,-0.011266846361186,-0.06,-0.06,0.0479765395894428,0.0511793865645318,-0.0351289971804421,0.125,-0.1,-0.06,0.113372093023256,-0.0484698275862069,-0.125,0.125,-0.0546845168517436,0.105909775149855,-0.06,-0.0703448275862069,-0.0319918464920706,0.0607194244604316,0,-0.00571428571428572,0.0541666666666667,0.0541666666666667,0.0541666666666667,-0.0563736696598308,0.0142857142857143,0.0565058479532164,0.0970017082879222,-0.0203463203463203,-0.0030188679245283,-0.013545183714002,-0.02,0,-0.00179056280479768,-0.166666666666667,-0.184678362573099,-0.183308499559401,-0.182456140350877,0.115512379722613,0.00222728807835191,-0.268843404808317,-0.0178727563184193
"RAS",0.0917647058823529,0.08,0.00488372093023256,0.1,-0.119285714285714,0.132291052114061,0.0490587508029368,0.0571277997364954,-0.0193950525294129,0.0336625128763319,-0.0770981699662737,0.0345123712332724,0.0237745098039216,0.0529411764705882,-0.0236842105263158,-0.05,0.0177489177489177,-0.00470006184291899,-0.0108695652173913,0,-0.1,-0.1,0.0166666666666667,-0.00466666666666667,-0.0333333333333333,0.1,-0.00636158192090395,0.0726984126984127,0,-0.0166666666666667,-0.0304041001379854,0.055759682224429,0,0,-0.0407692307692308,-0.0407692307692308,-0.0407692307692308,-0.000563433857135409,-0.1,-0.148461538461538,0.11619293078056,-0.134270440251572,-0.0529411764705882,-0.0252816020025031,0,-0.1,0.0037861429350791,0.02,0.00684210526315789,-0.0108049535603715,-0.03,0.0959692307692308,-0.0808736167734421,0.0523809523809524,-0.0417746686303387
"Destcompl",0.132587503240861,0.12679802955665,0.0414961039059824,0.137142857142857,-0.143755424060448,0.0406579485814353,-0.0512198464982571,0.131420722174124,0.00819285099688106,0.0254892917265855,-0.0176326339928953,0.0246223870860959,0.0250151336072942,0.0263138349059955,0.0220877399138269,0.0155660007833921,-0.0516666666666667,-0.068859649122807,0.0509246309246309,-0.158592132505176,0.166666666666667,0.122222222222222,-0.148537111040759,0.141637725425469,0.127060600973644,-0.123809523809524,0.127904649990266,0.0432567472693018,0.146360153256705,0.123503010399562,0.0349274957025871,-0.0162761166673339,-0.0166666666666667,-0.0213633398564905,-0.121695933760668,-0.121695933760668,-0.121695933760668,-0.0440255006669996,-0.030952380952381,-0.127504410997717,0.139701665124884,-0.0184647427676207,-0.0258409517967891,-0.0243484144833562,-0.0213633398564905,-0.030952380952381,-0.0278341752816861,-0.100512820512821,-0.11094501127288,-0.129088471188492,-0.13990675990676,0.120130173999801,-0.12835105003889,-0.145858822339063,0.000900951499933919
