"","GSK3","ZEB2","STAT","LIV1","Frizzled","Wnt","SRC","GLI","cMet","cateninnuc","TCFLEF","CD44","cateninmemb","RAS","RAF","PI3K","DELTA","miR200","Ecadherin","Csn","NOTCHic","SNAI1","Jagged","Csl","SUFU","NOTCH","TWIST1","NFB","RKIP","SMAD","FUS","SHH","TrCP","Patched","PAK1","AKT","SMO","CDC42","IKK","SNAI2","ILK","HEY1","TGFR","TGF","cfos","FOXC2","KLF4","ERK","SOSGRB2","MEK","ZEB1","EGR1","AXIN2","Destcompl","DSH"
"AXIN2",0.127399127696611,-0.142609459891604,0.126666666666667,0.133333333333333,0.138294573643411,0.138294573643411,0.138294573643411,0.143326020184291,0.138294573643411,0.146830910190272,0.144712449316948,0.143657349668647,0.131124993248932,0.176745937975606,0.171759061335186,0.171759061335186,0.171759061335186,-0.0568968513970809,-0.00125190297974449,0.144444444444444,-0.0185964912280702,0.147910449968958,0.128202649289606,-0.0185964912280702,0.1,-0.0212991939307729,0.142185886634839,0.148792270531401,0.165158237819528,-0.00226593052680009,-0.107692307692308,-0.121952651173963,0.133333333333333,-0.119001831501831,0.195416666666667,0.16048309178744,0.117216117216117,0.194182098765432,0.156038647342995,-0.104127958813378,0.00464688290775247,0.00417453094937882,0.201261744783131,0.203241942802933,0.175284552845528,0.193844523938201,0.135465519061931,0.181826608920295,0.201302506127191,0.192861091678915,-0.109219208864244,0.153333333333333,-0.120406899755476,-0.130444664763405,-0.126666666666667
"GLI",-0.0823695781818829,-0.130238265915685,-0.1,-0.1,-0.0103225806451613,-0.0114990512333966,-0.0903225806451613,-0.107669263999354,-0.0903225806451613,-0.0847306325557381,-0.0862249541337417,-0.0868743047830923,-0.0782718067035716,0.114733557839316,0.112159300413573,0.112159300413573,0.112159300413573,-0.003357035121741,-0.0402401954135508,0.0666666666666667,-0.0748585322723254,0.156378975062915,-0.0548103267452602,-0.0798585322723254,0.142857142857143,-0.0777156751294682,0.115144998370805,0.0719298245614035,0.21728742955158,-0.0458544924386602,-0.130357142857143,-0.122608052317743,0.0333333333333333,-0.127134801288937,0.321666666666667,0.0745765082348729,0.125093984962406,0.328563218390805,0.0698890082348729,-0.0091527466723279,0.042611249195417,0.0502563838726827,0.331707872478855,0.333354931302384,0.404761904761905,0.250260470416237,0.129705705705706,0.416450216450216,0.452105505114355,0.421422592140824,-0.129327871650452,0.371428571428571,0.0777626811594203,0.0884648244500573,0.02
"TCFLEF",-0.0921570552066949,-0.129867224880383,0.1125,0.1,0.120882352941176,0.128574660633484,0.1275,0.131680250695596,0.135192307692308,0.0424309555991135,0.0411422958052991,0.138965892597968,0.133948868718816,0.140446686348542,0.136635911052879,0.136635911052879,0.136635911052879,0.0120632312800987,0.140796308487215,0.105194805194805,-0.0145066156543918,0.054453561315486,0.103601388764832,-0.0125458313406663,0.116666666666667,-0.0128454860862855,0.204160698936522,0.125194805194805,0.181046057767369,-0.0176120433187959,-0.136666666666667,-0.138734745035952,0.114285714285714,-0.13505376344086,0.205128205128205,0.140271944044735,0.136666666666667,0.216756112104949,0.138098031001257,-0.0375508806151231,0.0212449305080884,0.0226914073651156,0.230774803693734,0.236072816938767,0.361602787456446,0.237619980377554,0.0300213267125032,0.381602787456446,0.45106955320129,0.394527957524473,-0.0627598351940457,0.354285714285714,-0.0433343101343101,0.0712984094247159,-0.105882352941176
"ZEB2",-0.150063732988487,-0.128105212011808,-0.1,-0.1,-0.0957575757575757,-0.0880652680652681,-0.0866666666666667,-0.086230405679947,-0.0814035087719298,-0.0812198478840436,-0.0809601076243033,-0.079551656920078,-0.0736412877525599,-0.0665514891960288,-0.0659090909090909,-0.0659090909090909,-0.0659090909090909,-0.0440100733992196,-0.0371302012211262,-0.0333333333333333,-0.0296410256410256,-0.0285752053479885,-0.0279252428850893,-0.0256410256410256,-0.025,-0.0247229928541404,-0.0101293472993626,-0.00833333333333333,-0.00769726247987118,-0.00670108203945373,-0.00357142857142857,-0.000929680076021538,0,0.00088850174216028,0.0012987012987013,0.00254932502596054,0.00642857142857143,0.00675324675324675,0.00722222222222222,0.00852255764549733,0.0134083991126245,0.0204105571847507,0.0251205936920223,0.028824297395726,0.0298245614035088,0.0314156954156954,0.0326633725187361,0.0395019807583475,0.0421428571428571,0.0443800295388353,0.0446316233470272,0.0666666666666667,0.0748983223113247,0.0840610529149288,0.109090909090909
"cfos",-0.00727813852813853,-0.112375571697606,-0.1,-0.1,-0.1,-0.0962962962962963,-0.1,-0.0989278752436647,-0.0962962962962963,-0.10011011011011,-0.098998998998999,-0.098998998998999,-0.0892297192046917,0.025305542271109,0.0265250544662309,0.0265250544662309,0.0265250544662309,-0.000572956455309396,-0.0457743665408421,-0.0333333333333333,-0.041025641025641,0.111980930461943,-0.0342708333333333,-0.0333333333333333,-0.0333333333333333,-0.0364102564102564,0.0763809523809524,0.0166666666666667,0.160839160839161,-0.0147124082607954,-0.00952380952380952,-0.00259429936849292,0,-0.00629800307219662,0.157142857142857,0.0239035087719298,0.00952380952380952,0.171428571428571,0.0291666666666667,-0.00602173981736025,0.0211640211640212,0.0220889555222389,0.181232492997199,0.184262796027502,0.24,0.199365990298558,0.119174603174603,0.270434782608696,0.205555555555556,0.275519528371407,-0.109273992082709,0.36,0.0853530377668309,0.120265965744236,0.1
"CDC42",-0.00727813852813853,-0.112375571697606,-0.1,-0.1,-0.1,-0.0962962962962963,-0.1,-0.0989278752436647,-0.0962962962962963,-0.10011011011011,-0.098998998998999,-0.098998998998999,-0.0892297192046917,0.025305542271109,0.0265250544662309,0.0265250544662309,0.0265250544662309,-0.000572956455309396,-0.0457743665408421,-0.0333333333333333,-0.041025641025641,0.111980930461943,-0.0342708333333333,-0.0333333333333333,-0.0333333333333333,-0.0364102564102564,0.0763809523809524,0.0166666666666667,0.160839160839161,-0.0147124082607954,-0.00952380952380952,-0.00259429936849292,0,-0.00629800307219662,0.257142857142857,0.0239035087719298,0.00952380952380952,0.171428571428571,0.0291666666666667,-0.00602173981736025,0.0211640211640212,0.0220889555222389,0.181232492997199,0.184262796027502,0.24,0.199365990298558,0.119174603174603,0.270434782608696,0.205555555555556,0.275519528371407,-0.109273992082709,0.26,0.0853530377668309,0.120265965744236,0.1
"TrCP",-0.0065508658008658,-0.111410941472525,-0.1,-0.1,-0.0962962962962963,-0.0989278752436647,-0.0962962962962963,-0.0984400703656159,-0.098998998998999,-0.0996963170066618,-0.10011011011011,-0.098998998998999,-0.088497118472091,0.0248509968165635,0.025305542271109,0.025305542271109,0.025305542271109,0.000442271971086543,-0.0462587956065861,0.0166666666666667,-0.0364102564102564,0.107923651225666,-0.031816845603272,-0.041025641025641,0.00952380952380952,-0.0375091575091575,0.0747505175983437,0.0291666666666667,0.163601591778387,-0.0185833760027308,-0.00952380952380952,0.00240570063150708,-0.0333333333333333,-0.00259429936849292,0.171428571428571,0.0239035087719298,0.00629800307219662,0.181232492997199,0.0239035087719298,-0.00439425337974723,0.0147124082607954,0.0191477790516506,0.184262796027502,0.183169899852639,0.270434782608696,0.198676335126145,0.114256570387718,0.275519528371407,0.218426842684268,0.279519528371407,-0.108952448674349,0.24,0.0840951761316107,0.120416341684086,0.1
"PAK1",-0.0065508658008658,-0.111410941472525,-0.1,-0.1,-0.0962962962962963,-0.0989278752436647,-0.0962962962962963,-0.0984400703656159,-0.098998998998999,-0.0996963170066618,-0.10011011011011,-0.098998998998999,-0.088497118472091,0.0248509968165635,0.025305542271109,0.025305542271109,0.025305542271109,0.000442271971086543,-0.0462587956065861,0.0166666666666667,-0.0364102564102564,0.107923651225666,-0.031816845603272,-0.041025641025641,0.00952380952380952,-0.0375091575091575,0.0747505175983437,0.0291666666666667,0.163601591778387,-0.0185833760027308,-0.00952380952380952,0.00240570063150708,-0.0333333333333333,-0.00259429936849292,0.171428571428571,0.0239035087719298,0.00629800307219662,0.181232492997199,0.0239035087719298,-0.00439425337974723,0.0147124082607954,0.0191477790516506,0.184262796027502,0.183169899852639,0.270434782608696,0.198676335126145,0.114256570387718,0.275519528371407,0.218426842684268,0.279519528371407,-0.108952448674349,0.24,0.0840951761316107,0.120416341684086,0.1
"EGR1",-0.0065508658008658,-0.111410941472525,-0.1,-0.1,-0.0962962962962963,-0.0989278752436647,-0.0962962962962963,-0.0984400703656159,-0.098998998998999,-0.0996963170066618,-0.10011011011011,-0.098998998998999,-0.088497118472091,0.0248509968165635,0.025305542271109,0.025305542271109,0.025305542271109,0.000442271971086543,-0.0462587956065861,0.0166666666666667,-0.0364102564102564,0.107923651225666,-0.031816845603272,-0.041025641025641,0.00952380952380952,-0.0375091575091575,0.0747505175983437,0.0291666666666667,0.163601591778387,-0.0185833760027308,-0.00952380952380952,0.00240570063150708,-0.0333333333333333,-0.00259429936849292,0.171428571428571,0.0239035087719298,0.00629800307219662,0.181232492997199,0.0239035087719298,-0.00439425337974723,0.0147124082607954,0.0191477790516506,0.184262796027502,0.183169899852639,0.270434782608696,0.198676335126145,0.114256570387718,0.275519528371407,0.218426842684268,0.279519528371407,-0.108952448674349,0.24,0.0840951761316107,0.120416341684086,0.1
"SNAI1",-0.00622083279756547,-0.108827915642267,-0.0962962962962963,-0.1,-0.0989278752436647,-0.0984400703656159,-0.098998998998999,-0.100085408574025,-0.098998998998999,-0.099644690780539,-0.0996963170066618,-0.10011011011011,-0.0885316607864261,0.0256720148789609,0.0248509968165635,0.0248509968165635,0.0248509968165635,0.00169107120259471,-0.0455824168344737,0.0291666666666667,-0.0375091575091575,0.00934713877015026,-0.0339344926620955,-0.0364102564102564,0.00952380952380952,-0.0354683411826269,0.0721864150342411,0.0239035087719298,0.1606727214855,-0.0189523796927677,-0.00629800307219662,-0.00011857121315311,0.0166666666666667,0.00240570063150708,0.181232492997199,0.0204312865497076,0.00259429936849292,0.184262796027502,0.0239035087719298,-0.0048971028601361,0.0185833760027308,0.0233144457183173,0.183169899852639,0.180952157917155,0.275519528371407,0.195753844656005,0.113321990948466,0.279519528371407,0.220313635137099,0.283106972317596,-0.107353432684189,0.270434782608696,0.0852606772971119,0.120525990806893,0.0962962962962963
"NOTCH",-0.0746603970741902,-0.0969404186795491,-0.1,0,-0.12,-0.143076923076923,-0.12,-0.152167832167832,-0.143076923076923,-0.168745540174112,-0.164255744255744,-0.152167832167832,-0.153621864456611,-0.0649538866930171,-0.0606060606060606,-0.0606060606060606,-0.0606060606060606,0.00432900432900433,-0.0786281833616299,0,0.0514285714285714,0.0673076923076923,-0.0834439634439634,0.08,0,-0.0582488479262673,0.0125254237288136,-0.0333333333333333,0.126525198938992,-0.0185714285714286,0.0333333333333333,0.027790346907994,0,0.016025641025641,0.2,0,-0.00833333333333333,0.144444444444444,0,0.0199023199023199,0.0285714285714286,-0.0710144927536232,0.140444444444444,0.130767025089606,0.26,0.151020408163265,0.0932367149758454,0.226666666666667,0.164210526315789,0.233809523809524,-0.0908212560386473,0.2,0.103827493261456,0.16493544545881,0.1
"Jagged",-0.0701149425287356,-0.0932367149758454,0,0,-0.1,-0.12,-0.1,-0.143076923076923,-0.12,-0.164255744255744,-0.152167832167832,-0.143076923076923,-0.148909822571794,-0.0606060606060606,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.00424242424242424,-0.0737894736842105,0,0.08,0.075,-0.0797402597402597,0.1,0,0.0514285714285714,0.021,0,0.123076923076923,-0.0285714285714286,0,0.016025641025641,0,0.00833333333333333,0.2,0,-0.0333333333333333,0.2,-0.0333333333333333,0.011965811965812,0.0333333333333333,-0.0666666666666667,0.144444444444444,0.140444444444444,0.2,0.157142857142857,0.0888888888888889,0.26,0.18,0.226666666666667,-0.101932367149758,0.1,0.105714285714286,0.160262548262548,0
"NOTCHic",-0.0787926284791488,-0.088792270531401,-0.12,-0.1,-0.143076923076923,-0.152167832167832,-0.143076923076923,-0.163995789157079,-0.152167832167832,-0.173478364601593,-0.168745540174112,-0.164255744255744,-0.158287178858234,-0.0733282709294703,-0.0649538866930171,-0.0649538866930171,-0.0649538866930171,0.00490703901108525,-0.0772499291502976,-0.0333333333333333,-0.0582488479262673,0.0604293854293854,-0.0867552217221091,0.0514285714285714,-0.0333333333333333,-0.0529856900315304,0.00309146146466262,0,0.116666044009415,-0.013535457348407,0.00833333333333333,0.0374677662628327,0,0.027790346907994,0.144444444444444,-0.0162790697674419,-0.016025641025641,0.140444444444444,0,0.0197019191007167,0.0185714285714286,-0.0787068004459309,0.130767025089606,0.122486770312536,0.226666666666667,0.142955892034233,0.100379572118703,0.233809523809524,0.150574162679426,0.222380952380952,-0.0915619967793881,0.26,0.112160826594789,0.16793544545881,0.12
"Csl",-0.0801181071242151,-0.0849248672164838,-0.143076923076923,-0.12,-0.152167832167832,-0.163995789157079,-0.152167832167832,-0.168028047221596,-0.164255744255744,-0.175365157054423,-0.173478364601593,-0.168745540174112,-0.159969136044778,-0.0777400356353527,-0.0733282709294703,-0.0733282709294703,-0.0733282709294703,0.00556063378232708,-0.079459231475879,0,-0.0529856900315304,0.0541052747574487,-0.0877968883887758,-0.0582488479262673,-0.00833333333333333,-0.0538947809406213,-0.00300334666174822,0,0.111596919585451,-0.0146465684595181,0.016025641025641,0.0452263869524879,-0.0333333333333333,0.0374677662628327,0.140444444444444,-0.0232558139534884,-0.027790346907994,0.130767025089606,-0.0162790697674419,0.0233559086607465,0.013535457348407,-0.0806675847596564,0.122486770312536,0.11364323289757,0.233809523809524,0.134909915022739,0.0932367149758454,0.222380952380952,0.144883105768857,0.213685300207039,-0.0882470796523162,0.226666666666667,0.111903757186049,0.169580783667219,0.143076923076923
"Csn",-0.151714557751349,-0.0771530190239868,-0.216666666666667,-0.2,-0.220114942528736,-0.221319761805844,-0.220114942528736,-0.224376530364796,-0.221319761805844,-0.229348379534407,-0.227003220183836,-0.224430872916955,-0.117663427116863,-0.130187942732461,-0.127692741196953,-0.127692741196953,-0.127692741196953,0.010474486868616,-0.0539284030768939,0.03,-0.114069264069264,-0.0490898528614678,-0.0640068144701749,-0.107575757575758,-0.0428571428571429,-0.11022311022311,-0.0761804581580177,0.0466666666666667,-0.00281667449455507,0.00453879525991686,0.0206349206349206,0.036110138172539,0.18,0.0311921053856538,-0.00454545454545454,0.0478,-0.0236652236652237,-0.0120081411126187,0.055,0.0541735067190119,0.00188793995859213,0.00588039867109635,-0.00816198726646487,-0.00840065075095175,0.0878787878787879,0.00983170165930216,0.0831027795733678,0.0891774891774892,0.0214066643606595,0.0870941558441558,-0.0429015715467328,0.133333333333333,0.154205225055083,0.290377581333393,0.216666666666667
"SHH",-0.241025641025641,-0.075,-0.1,0,0,-0.1,-0.1,-0.15,-0.2,-0.288888888888889,-0.283333333333333,-0.25,-0.196559139784946,-0.273076923076923,-0.25,-0.25,-0.25,0.0166666666666667,-0.0505555555555556,0,0,-0.0333333333333333,-0.174285714285714,-0.1,0,-0.0333333333333333,-0.125,0,0.02,-0.0166666666666667,0,0.0266666666666667,0,0.0666666666666667,0.2,-0.1,-0.1,0.166666666666667,-0.1,0.0868199233716475,0,0,0.0666666666666667,0.00666666666666668,0.1,-0.05,0.1,0.1,0.1,0.04,-0.025,0,0.0857142857142857,0.255844155844156,0
"Patched",-0.245787545787546,-0.075,-0.1,-0.1,-0.1,-0.15,-0.2,-0.1875,-0.25,-0.299568500539374,-0.288888888888889,-0.283333333333333,-0.210448028673835,-0.291826923076923,-0.273076923076923,-0.273076923076923,-0.273076923076923,0.030952380952381,-0.0495846817691478,0,-0.0333333333333333,-0.0365591397849462,-0.20021164021164,0,0,-0.0242424242424242,-0.158333333333333,-0.1,-0.00857142857142857,-0.0266666666666667,0.1,0.0266666666666667,0,0.0266666666666667,0.166666666666667,-0.142857142857143,-0.0666666666666667,0.0666666666666667,-0.1,0.0774865900383142,0.0166666666666667,0.0230769230769231,0.00666666666666668,-0.0266666666666667,0.1,-0.08,0.0888888888888889,0.04,0.0333333333333333,0.0323076923076923,0.00833333333333333,0.1,0.112987012987013,0.261338661338661,0
"FUS",-0.25298305184333,-0.0683659145263596,-0.25,-0.2,-0.1875,-0.193055555555556,-0.283333333333333,-0.20267094017094,-0.288888888888889,-0.310266441042807,-0.304831658434111,-0.299568500539374,-0.221820088481107,-0.309720697830655,-0.29880366726297,-0.29880366726297,-0.29880366726297,0.0230817204686111,-0.0567858140544433,-0.1,-0.0342424242424242,-0.051698403037417,-0.207354497354497,-0.0242424242424242,-0.0666666666666667,-0.031969696969697,-0.169127912945283,-0.142857142857143,-0.0248371788577974,-0.00985151049667179,0.0266666666666667,0.0509090909090909,-0.1,0.0377777777777778,0.00666666666666668,-0.154549450549451,-0.0266666666666667,-0.0266666666666667,-0.146857142857143,0.0872993625440849,0.00920634920634921,0.0147953495779583,-0.0482882882882883,-0.0525436074372245,0.0323076923076923,-0.101188747731397,0.0839708561020036,-0.00102564102564102,-0.0514844804318489,-0.0251635720601238,0.00999705382829018,0.04,0.11540723144921,0.267505129963117,0.15
"DSH",-0.150354016200084,-0.0558968694121979,-0.225,-0.2,-0.230263157894737,-0.233834586466165,-0.230263157894737,-0.237102560322375,-0.233834586466165,-0.243893925989276,-0.240955368553835,-0.237145844744311,-0.136096376024207,-0.149157679874873,-0.146076447381876,-0.146076447381876,-0.146076447381876,0.0182976102488298,-0.0584644151415803,0.00666666666666668,-0.0999299719887955,-0.0805866114561767,-0.085189601210463,-0.0940476190476191,-0.05,-0.096433468492292,-0.102351749210322,0.00666666666666668,-0.0319480519480519,0.0168927496988255,0.0409090909090909,0.0608698874184724,0.0666666666666667,0.0553484150258344,-0.0266666666666667,0.00487068965517242,-0.0456709956709957,-0.0440579710144927,0.0129166666666667,0.0823959953586186,-0.0104776553592028,-0.00329686737301518,-0.0431055900621118,-0.0448477503408574,0.0337254901960784,-0.0286087474337168,0.0616409670664382,0.0226143790849673,-0.012860310421286,0.0173512211902305,-0.00273314557926945,0.0866666666666667,0.146015646604401,0.28009726049064,0.225
