"","cMet","CD44","TCFLEF","cateninnuc","Frizzled","NOTCH","Destcompl","DSH","cateninmemb","Jagged","SOSGRB2","SMO","RAS","PI3K","DELTA","SNAI2","SUFU","FUS","HEY1","cfos","ERK","FOXC2","CDC42","TGF","TGFR","PAK1","TWIST1","ZEB2","ZEB1","IKK","NFB","AKT","RKIP","MEK","Csn","EGR1","SMAD","ILK","GSK3","TrCP","SNAI1","Ecadherin","miR200","RAF","KLF4","SHH","Patched","LIV1","Csl","NOTCHic","STAT","GLI","Wnt","SRC","AXIN2"
"RKIP",0.268421052631579,0.268421052631579,0.25933014354067,0.245335232599194,0.2,0.161266511266511,0.314899548669642,0.1,0.227561511090923,0.183571832807826,0.0483809523809524,0.106666666666667,-0.0341630591630592,-0.0230519480519481,-0.0230519480519481,-0.129614443084455,0.1,0.0666666666666667,0.0883855981416957,-0.15,-0.160344827586207,0.026790450928382,0.02,-0.0159946595460614,-0.00571428571428572,0,0.187032085561497,-0.0125738880918221,-0.0125738880918221,-0.0857142857142857,-0.0857142857142857,-0.0523809523809524,0.019327731092437,0.124174614820249,-0.1,0.05,-0.078536098154103,-0.077545999144202,-0.14645390070922,-0.1,0.134416373055108,-0.119838875416123,-0.0462161007049116,0.0230519480519481,-0.000573888091822095,-0.138535519125683,-0.110666666666667,0,-0.0888888888888889,-0.134343434343434,-0.1,-0.26,-0.26,-0.2,-0.30436005625879
"RAF",0.268421052631579,0.268421052631579,0.25933014354067,0.245335232599194,0.2,0.161266511266511,0.314899548669642,0.1,0.227561511090923,0.183571832807826,0.0483809523809524,0.106666666666667,-0.0341630591630592,-0.0230519480519481,-0.0230519480519481,-0.129614443084455,0.1,0.0666666666666667,0.0883855981416957,-0.15,-0.160344827586207,0.026790450928382,0.02,-0.0159946595460614,-0.00571428571428572,0,0.187032085561497,-0.0125738880918221,-0.0125738880918221,-0.0857142857142857,-0.0857142857142857,-0.0523809523809524,0.019327731092437,0.124174614820249,-0.1,0.05,-0.078536098154103,-0.077545999144202,-0.14645390070922,-0.1,0.134416373055108,-0.119838875416123,-0.0462161007049116,0.0230519480519481,-0.000573888091822095,-0.138535519125683,-0.110666666666667,0,-0.0888888888888889,-0.134343434343434,-0.1,-0.26,-0.26,-0.2,-0.30436005625879
"HEY1",0.194756041951664,0.17823430282123,0.167866409844641,0.165002150815998,0.215686274509804,0.19636758249889,0.144031909541915,0.233333333333333,0.109598643226692,0.191533324246967,0.139808461978273,0.233333333333333,0.0911538461538462,0.0911538461538462,0.0911538461538462,0.286374494871406,0.2,0.233333333333333,0.0219862490450726,0.0527272727272727,0.0468449197860963,0.130209943761063,0.00509090909090909,-0.00326977087952698,-0.00375757575757576,0.00909090909090909,0.198196078431373,-0.012156862745098,-0.012156862745098,0.0847619047619048,0.08,0.0884656084656085,0.0327870542156256,-0.051999558961354,0.1,-0.08,0.00376811594202899,0.00666666666666667,-0.16138544695183,0.1,0.0242370715514456,0.170761578210733,0.0122181522181522,-0.0911538461538462,-0.0333333333333333,-0.211155913978495,-0.220833333333333,-0.233333333333333,-0.210909090909091,-0.205645933014354,-0.233333333333333,-0.17751466264132,-0.194756041951664,-0.215686274509804,-0.259542907493839
"FOXC2",0.194756041951664,0.17823430282123,0.167866409844641,0.165002150815998,0.215686274509804,0.19636758249889,0.144031909541915,0.233333333333333,0.109598643226692,0.191533324246967,0.139808461978273,0.233333333333333,0.0911538461538462,0.0911538461538462,0.0911538461538462,0.286374494871406,0.2,0.233333333333333,0.0219862490450726,0.0527272727272727,0.0468449197860963,0.130209943761063,0.00509090909090909,-0.00326977087952698,-0.00375757575757576,0.00909090909090909,0.198196078431373,-0.012156862745098,-0.012156862745098,0.0847619047619048,0.08,0.0884656084656085,0.0327870542156256,-0.051999558961354,0.1,-0.08,0.00376811594202899,0.00666666666666667,-0.16138544695183,0.1,0.0242370715514456,0.170761578210733,0.0122181522181522,-0.0911538461538462,-0.0333333333333333,-0.211155913978495,-0.220833333333333,-0.233333333333333,-0.210909090909091,-0.205645933014354,-0.233333333333333,-0.17751466264132,-0.194756041951664,-0.215686274509804,-0.259542907493839
"IKK",-0.111111111111111,-0.10957264957265,-0.109007677821237,-0.109007677821237,-0.111111111111111,0.0845598845598846,0.0855883205904643,-0.1,-0.130604497922934,-0.00563573883161512,0.0739495798319328,0.08,0.0628119594761552,0.0614035087719298,0.0614035087719298,0.185459157787925,0.1,0.08,0.105263157894737,-0.0142857142857143,-0.0182857142857143,0.0562481962481963,-0.0888888888888889,0.0942343434343434,0.0934343434343434,-0.1,0.00810457516339869,-0.00902255639097744,-0.00902255639097744,-0.0142857142857143,0.0857142857142857,-0.016988416988417,0.0150273224043716,0.0205079365079365,0.1,0,-0.099009900990099,-0.1,0.00877289377289377,0.2,0.024236641221374,0.0864146690170113,0.01,-0.0614035087719298,-0.00659340659340659,-0.0762962962962963,-0.0762962962962963,0.1,-0.0909090909090909,-0.0861471861471862,0.1,0.10957264957265,0.111111111111111,0.111111111111111,0.140238095238095
"NFB",-0.10957264957265,-0.109007677821237,-0.109007677821237,-0.108144932723198,-0.111111111111111,0.0852050458502071,0.0862527724177068,-0.111111111111111,-0.130076514818393,-0.00563573883161512,0.0750022114108801,0.0762962962962963,0.0613194221627223,0.0628119594761552,0.0628119594761552,0.185459157787925,0.08,0.08,0.103477443609023,-0.0182857142857143,-0.0205079365079365,0.0566466026226983,-0.0934343434343434,0.0942343434343434,0.0942343434343434,-0.0888888888888889,0.00778711484593838,-0.00863941462852534,-0.00863941462852534,-0.016988416988417,-0.0142857142857143,-0.016988416988417,0.0137452711223203,0.0172399626517274,0.0857142857142857,0.0142857142857143,-0.100125142625787,-0.099009900990099,0.00720426632191338,0.1,0.0245106138241138,0.0862541553733516,0.00969788519637462,-0.0628119594761552,-0.00659340659340659,-0.0762962962962963,-0.0762962962962963,0.1,-0.0861471861471862,-0.0845598845598846,0.111111111111111,0.10957264957265,0.10957264957265,0.111111111111111,0.140238095238095
"SOSGRB2",0.21055900621118,0.191718426501035,0.175928952816825,0.166177518782408,0.171428571428571,0.147680488525559,0.123065450582229,0.1,0.182081042081042,0.0452669214020046,0.1225,0,0.0307547443140663,0.0461393596986817,0.0461393596986817,-0.070419720979074,0,-0.0333333333333333,0.0876893939393939,-0.0777777777777778,-0.0642642642642643,0.0315262515262515,0.00428571428571428,0.000869768529343,0.00725274725274725,0.0142857142857143,0.132202898550725,-0.00652882205513785,-0.00652882205513785,0.016374269005848,0.0111111111111111,0.041374269005848,0.0376461988304094,0.0248703248703249,0,0,0.0106955410181217,0.016989247311828,-0.124741012454897,0,0.0957960199004975,-0.124217560566892,-0.0311702174626,-0.0461393596986817,0.000614035087719296,-0.0189817724701446,-0.0027027027027027,0,-0.0909090909090909,-0.129370629370629,-0.1,-0.18592132505176,-0.204761904761905,-0.171428571428571,-0.230748074807481
"cateninmemb",-0.0218580860048772,-0.024199223128623,-0.022331228109943,-0.0211174092490654,-0.0175102599179207,0.0633208488518342,0.0547572820364779,-0.00588235294117647,-0.12594994806396,-0.0176550002510706,0.0647911588576931,0.0104166666666667,0.0242757231814084,0.0245550527903469,0.0245550527903469,0.103394220802053,0.0333333333333333,0.0166666666666667,0.0108926841023169,0.0490909090909091,0.0563074039362699,0.0640275378879761,0.00109090909090909,0.00163832832804738,0.00037250554323725,-0.00290909090909091,-0.0129370869390587,-0.00502377004680645,-0.00502377004680645,0.0247619047619048,0.0247619047619048,0.0247619047619048,0.0153160821700148,-0.0559152470735248,0.02,-0.0490909090909091,0.00194378355616381,0.00121739130434783,-0.0592033782067598,0,0.012179964945789,0.119088411207771,0.00361909764144401,-0.0245550527903469,-0.0159868729488983,-0.00561605706544746,-0.00719086021505376,0,-0.0709090909090909,-0.0636925960637301,0.00588235294117647,0.0246826737110241,0.0226826737110241,0.0175102599179207,-0.0835379401602346
"MEK",0.268421052631579,0.25933014354067,0.245335232599194,0.236413299513692,0.26,0.167835854332205,0.302556452435332,0.2,0.220000535481167,0.178653800020941,0.0661587301587302,0.110666666666667,-0.0351154401154401,-0.0341630591630592,-0.0341630591630592,-0.132777460116086,0.0666666666666667,0.106666666666667,0.0883855981416957,-0.160344827586207,-0.124174614820249,0.035799459937391,0.00571428571428572,-0.00869538947306872,-0.0159946595460614,0.02,0.178607177136589,-0.00463738015531416,-0.00463738015531416,-0.0523809523809524,-0.0857142857142857,-0.0535574229691877,0.0101172047766475,0.0241746148202494,-0.0857142857142857,0.15,-0.0818571313644351,-0.078536098154103,-0.137362991618311,-0.1,0.133775347414082,-0.120567472866032,-0.0496216734603296,0.0341630591630592,-0.0142993782879005,-0.139189113896925,-0.138535519125683,-0.1,-0.134343434343434,-0.161266511266511,-0.2,-0.250909090909091,-0.26,-0.268421052631579,-0.307963659862394
"cfos",0.231111111111111,0.228408408408408,0.2194975173193,0.20986788768967,0.22,0.10025641025641,0.199912038048094,0.2,0.184068628651852,0.0894444444444445,0.125,0.0523809523809524,0.11471518146554,0.111056644880174,0.111056644880174,0.0461844724618447,0.0333333333333333,0.019047619047619,0.0112443778110945,0.04,0.0356521739130435,0.047381293981007,0.00952380952380952,0.000280112044817928,0.000280112044817928,-0.0142857142857143,0.00716017316017315,-0.00249433106575964,-0.00249433106575964,0.0291666666666667,0.0166666666666667,0.018640350877193,-0.0770862470862471,-0.027177597641857,-0.0333333333333333,-0.08,-0.00201399556238266,-0.00846560846560846,-0.176352813852814,0,-0.10117924269823,-0.0784755209154913,-0.0970460911637382,-0.111056644880174,-0.0046984126984127,-0.0682312112419639,-0.0620583717357911,-0.1,-0.0833333333333333,-0.0987179487179487,-0.2,-0.228479532163743,-0.231111111111111,-0.22,-0.277372742200328
"CDC42",0.231111111111111,0.228408408408408,0.2194975173193,0.20986788768967,0.22,0.10025641025641,0.199912038048094,0.2,0.184068628651852,0.0894444444444445,0.125,0.0523809523809524,0.11471518146554,0.111056644880174,0.111056644880174,0.0461844724618447,0.0333333333333333,0.019047619047619,0.0112443778110945,0.04,0.0356521739130435,0.047381293981007,0.00952380952380952,0.000280112044817928,0.000280112044817928,0.0857142857142857,0.00716017316017315,-0.00249433106575964,-0.00249433106575964,0.0291666666666667,0.0166666666666667,0.018640350877193,-0.0770862470862471,-0.027177597641857,-0.0333333333333333,0.02,-0.00201399556238266,-0.00846560846560846,-0.176352813852814,0,-0.10117924269823,-0.0784755209154913,-0.0970460911637382,-0.111056644880174,-0.0046984126984127,-0.0682312112419639,-0.0620583717357911,-0.1,-0.0833333333333333,-0.0987179487179487,-0.2,-0.228479532163743,-0.231111111111111,-0.22,-0.277372742200328
"PAK1",0.228408408408408,0.2194975173193,0.20986788768967,0.205316163551739,0.231111111111111,0.101355311355311,0.192844368875162,0.22,0.180771925355149,0.0814689843217451,0.131930693069307,0.0620583717357911,0.112896999647358,0.11471518146554,0.11471518146554,0.0413020131490057,0.019047619047619,0.0523809523809524,0.00830320134050622,0.0356521739130435,0.027177597641857,0.0466916388085932,-0.000280112044817928,0.000280112044817928,0.000280112044817928,0.00952380952380952,0.00281234707321663,-0.00217278765739951,-0.00217278765739951,0.018640350877193,0.0291666666666667,0.018640350877193,-0.078743705649783,-0.027177597641857,0.0166666666666667,-0.04,-0.0039494794333504,-0.00201399556238266,-0.16871645021645,-0.0333333333333333,-0.0990312713378482,-0.0817281160712006,-0.0975537053769362,-0.11471518146554,-0.00797710122300286,-0.0632312112419639,-0.0682312112419639,-0.2,-0.0987179487179487,-0.10025641025641,-0.22,-0.219211239480816,-0.228479532163743,-0.231111111111111,-0.274228088112278
"LIV1",0.228408408408408,0.2194975173193,0.20986788768967,0.205316163551739,0.231111111111111,0.101355311355311,0.192844368875162,0.22,0.180771925355149,0.0814689843217451,0.131930693069307,0.0620583717357911,0.112896999647358,0.11471518146554,0.11471518146554,0.0413020131490057,0.019047619047619,0.0523809523809524,0.00830320134050622,0.0356521739130435,0.027177597641857,0.0466916388085932,-0.000280112044817928,0.000280112044817928,0.000280112044817928,0.00952380952380952,0.00281234707321663,-0.00217278765739951,-0.00217278765739951,0.018640350877193,0.0291666666666667,0.018640350877193,-0.078743705649783,-0.027177597641857,0.0166666666666667,-0.04,-0.0039494794333504,-0.00201399556238266,-0.16871645021645,-0.0333333333333333,-0.0990312713378482,-0.0817281160712006,-0.0975537053769362,-0.11471518146554,-0.00797710122300286,-0.0632312112419639,-0.0682312112419639,-0.2,-0.0987179487179487,-0.10025641025641,-0.22,-0.219211239480816,-0.228479532163743,-0.231111111111111,-0.274228088112278
"STAT",-0.0310064935064935,-0.0250235875235875,-0.0247081301103383,-0.0272111098481214,-0.0446428571428571,0.000739860362932897,-0.0724931188499548,-0.0571428571428571,-0.0137292679192539,0.0179278067079067,-0.00250410509031199,-0.005,-0.0368552707924398,-0.0383478081058726,-0.0383478081058726,-0.109197246447458,0,-0.025,0.004,0.00666666666666667,0.0125490196078431,-0.0131547375596455,0.00340909090909091,0.00137097519820632,0.00185406698564593,-0.00909090909090909,-0.157182988592284,-0.000824816209431594,-0.000824816209431594,0.00428571428571429,-0.01,-0.00418886198547215,-0.0763223938223938,-0.00932321315623024,-0.05,0.0333333333333333,-0.00345382864123494,-0.00805152979066022,0.0507120605251446,0,-0.100557046639996,-0.0645703191853112,-0.100325698397988,0.0383478081058726,0.103862150920974,-0.00994134595595802,-0.00197674418604651,0.2,0.0156862745098039,0.0021727609962904,0.0571428571428571,0.025124140565317,0.0310064935064935,0.0446428571428571,0.0745720945720946
"NOTCH",-0.0676923076923077,-0.0767832167832168,-0.0778821178821179,-0.0742086484943628,-0.06,-0.043963133640553,-0.0529879839786382,0,-0.0657873179103177,-0.0412602212602213,-0.0957894736842105,-0.00833333333333333,-0.0456916996047431,-0.0442424242424242,-0.0442424242424242,0.0659723718547248,0,-0.0333333333333333,0.0956521739130435,0.02,-0.0133333333333333,-0.0185714285714286,0.0111111111111111,-0.000788530465949819,0.00888888888888889,0,0.0533050847457627,-0.000483091787439613,-0.000483091787439613,0,0.0333333333333333,-0.0111111111111111,0.0872679045092838,0.0133333333333333,0,0,0.00809523809523809,0.00476190476190476,0.0723876698014629,0,0.109871794871795,0.0366723259762309,0.0986147186147186,0.0442424242424242,0.0106280193236715,0.0372926093514329,0.0314102564102564,0,-0.08,-0.0657142857142857,0,0.0767832167832168,0.0676923076923077,0.06,0.0760646900269542
"NOTCHic",0.0767832167832168,0.0778821178821179,0.0742086484943628,0.0691704805554315,0.0676923076923077,0.0465947125879214,0.0493213173119715,0.06,0.0599049649691412,0.0432469762271087,0.091244019138756,0.0314102564102564,0.0481547537919352,0.0456916996047431,0.0456916996047431,-0.0645695662435024,0.0333333333333333,0.00833333333333333,-0.0910367892976589,0.0133333333333333,0.0133333333333333,0.020184331797235,0.00888888888888889,0.000151587790790583,0.000788530465949819,-0.0111111111111111,-0.0539340155633728,-0.000257648953301128,-0.000257648953301128,0.0111111111111111,0,0.0041343669250646,-0.0858594538050585,-0.0104761904761905,-0.0333333333333333,0.02,-0.00305926687221651,-0.00809523809523809,-0.0723876698014629,0,-0.110400895400895,-0.0389694163284514,-0.0991927532967995,-0.0456916996047431,8.62663906142161e-05,-0.0426689534374544,-0.0372926093514329,0,0.0657142857142857,-0.043963133640553,-0.06,-0.0778584856004211,-0.0767832167832168,-0.0676923076923077,-0.0816202455825097
"Csl",0.0778821178821179,0.0742086484943628,0.0691704805554315,0.067169337044854,0.0767832167832168,0.0484128944061032,0.0454821948256827,0.0676923076923077,0.0585288181801504,0.039080309560442,0.0985610923094877,0.0372926093514329,0.0463165184978176,0.0481547537919352,0.0481547537919352,-0.0665829890622943,0.00833333333333333,0.0314102564102564,-0.094304763153868,0.0133333333333333,0.0104761904761905,0.020184331797235,-0.000788530465949819,-7.51695788239294e-05,0.000151587790790583,0.00888888888888889,-0.0555141510035534,-0.000257648953301128,-0.000257648953301128,0.0041343669250646,0.0111111111111111,0.00335917312661499,-0.086320283298146,-0.0115631469979296,0,-0.0133333333333333,-0.00472593353888318,-0.00305926687221651,-0.0692948862963083,-0.0333333333333333,-0.108424610815915,-0.0402484860958933,-0.0994106182205468,-0.0481547537919352,-0.00277087646652864,-0.0400827465409027,-0.0426689534374544,-0.06,-0.043963133640553,-0.0465947125879214,-0.0676923076923077,-0.073826227535905,-0.0778584856004211,-0.0767832167832168,-0.0813631761737694
"SHH",-0.2,-0.15,-0.116666666666667,-0.0888888888888889,0,-0.233333333333333,-0.161298701298701,0,0.0139068100358423,-0.117142857142857,-0.1,-0.1,-0.0423076923076923,-0.05,-0.05,-0.329885057471264,0,0,0,0.1,0.1,-0.025,0.0333333333333333,-0.0333333333333333,-0.0333333333333333,0,-0.125,0,0,-0.1,0,-0.05,-0.08,-0.12,0,0,0.0166666666666667,0,0.176923076923077,0,-0.1,-0.194444444444444,-0.1,0.05,0,0.0533333333333333,0.133333333333333,0,0.1,0.2,0.1,0.05,0.1,0.1,0.314285714285714
"Patched",-0.15,-0.116666666666667,-0.0888888888888889,-0.0743257820927724,-0.1,-0.224242424242424,-0.14041958041958,0,0.0250179211469534,-0.106031746031746,-0.133333333333333,-0.133333333333333,-0.0360576923076923,-0.0423076923076923,-0.0423076923076923,-0.312551724137931,0,-0.1,-0.0230769230769231,0.1,0.12,-0.015,0.0333333333333333,-0.0333333333333333,-0.0333333333333333,0.0333333333333333,-0.106481481481481,0,0,-0.05,-0.1,-0.0928571428571429,-0.08,-0.0969230769230769,0,-0.1,0.0166666666666667,0.0166666666666667,0.148351648351648,0,-0.0903225806451613,-0.185706580366775,-0.1,0.0423076923076923,0.0111111111111111,0.0533333333333333,0.0533333333333333,0.1,0.2,0.233333333333333,0.1,0.025,0.05,0.2,0.296103896103896
