"","SMAD","CDC42","PAK1","TGFR","TGF","GSK3","FOXC2","HEY1","RKIP","Jagged","ZEB1","SNAI1","LIV1","SNAI2","TWIST1","Destcompl","SOSGRB2","RAS","AXIN2","RAF","Wnt","GLI","miR200","STAT","SRC","Frizzled","DSH","Ecadherin","TCFLEF","cateninmemb","cateninnuc","CD44","PI3K","DELTA","cMet","ZEB2","NOTCH","NOTCHic","Csl","EGR1","cfos","ERK","KLF4","MEK","TrCP","SMO","Csn","Patched","SHH","NFB","SUFU","FUS","ILK","IKK","AKT"
"EGR1",0.19826420890937,0.349579831932773,0.347619047619048,0.351094983447925,0.351094983447925,0.0491536796536797,0.381776178932464,0.184232883558221,0.270571288748084,0.185312926039536,0.0819159607454805,0.240447158251454,-0.15,0.0757075260198239,0.229635140222097,-0.10406432748538,0.14247799779978,0.131745141515586,-0.103392508597453,0.127654232424677,-0.122007797270955,-0.128349260685589,-0.0619745206188921,-0.13,-0.111481481481481,-0.111481481481481,-0.13,0.115281127124374,0.123678331797144,0.0789184510701175,0.123264538693695,0.125530183648996,-0.127654232424677,-0.127654232424677,0.11958958958959,-0.249472639892515,-0.151758241758242,-0.148461538461538,-0.15,-0.32,-0.341739130434783,-0.350213706705969,-0.249864168618267,-0.351547040039302,-0.133333333333333,-0.15184331797235,-0.158333333333333,-0.158016157478523,-0.154016157478523,-0.195833333333333,-0.119047619047619,-0.135714285714286,-0.197619047619048,-0.20109649122807,-0.20109649122807
"cfos",0.197619047619048,0.347619047619048,0.342857142857143,0.349579831932773,0.351094983447925,0.0480627705627706,0.379017558242809,0.184232883558221,0.267808857808858,0.181631944444444,0.0854529382374419,0.243549783549784,-0.1,0.0766116851518311,0.226917748917749,-0.104816207184628,0.151388888888889,0.127654232424677,-0.102134646962233,0.119117647058824,-0.111481481481481,-0.122007797270955,-0.0574059927001104,-0.15,-0.13,-0.13,-0.15,0.115350331276623,0.125530183648996,0.0770869492386157,0.123678331797144,0.11958958958959,-0.119117647058824,-0.119117647058824,0.111481481481481,-0.245935662400553,-0.148461538461538,-0.15,-0.15,-0.16,-0.32,-0.341739130434783,-0.253142857142857,-0.350213706705969,-0.1,-0.135714285714286,-0.133333333333333,-0.15184331797235,-0.158016157478523,-0.158333333333333,-0.133333333333333,-0.119047619047619,-0.197619047619048,-0.195833333333333,-0.20109649122807
"CDC42",0.197619047619048,0.347619047619048,0.442857142857143,0.349579831932773,0.351094983447925,0.0480627705627706,0.379017558242809,0.184232883558221,0.267808857808858,0.181631944444444,0.0854529382374419,0.243549783549784,-0.1,0.0766116851518311,0.226917748917749,-0.104816207184628,0.151388888888889,0.127654232424677,-0.102134646962233,0.119117647058824,-0.111481481481481,-0.122007797270955,-0.0574059927001104,-0.15,-0.13,-0.13,-0.15,0.115350331276623,0.125530183648996,0.0770869492386157,0.123678331797144,0.11958958958959,-0.119117647058824,-0.119117647058824,0.111481481481481,-0.245935662400553,-0.148461538461538,-0.15,-0.15,-0.26,-0.32,-0.341739130434783,-0.253142857142857,-0.350213706705969,-0.1,-0.135714285714286,-0.133333333333333,-0.15184331797235,-0.158016157478523,-0.158333333333333,-0.133333333333333,-0.119047619047619,-0.197619047619048,-0.195833333333333,-0.20109649122807
"SMO",0.171746031746032,0.273333333333333,0.233333333333333,0.281666666666667,0.281666666666667,0.0274547459013478,0.191896551724138,0.174358974358974,0.196825396825397,0.0361111111111111,0.0516949152542373,0.19062980030722,0.1,0.168258347016968,0.106644880174292,-0.000863322723787838,0.149122807017544,0.0777280858676208,-0.0268846096432303,0.0730769230769231,0.075,0.0805555555555556,-0.0841470765521398,0,0,0.1,0.1,0.0720697942416317,0.00570658036677454,0.0994157358109754,0.00645846006602266,0.0144444444444444,-0.0730769230769231,-0.0730769230769231,0.02,-0.24180790960452,-0.0575757575757576,-0.0575757575757576,-0.0666666666666667,-0.1,-0.12,-0.173846153846154,-0.219444444444444,-0.182937062937063,0,-0.28,0.1,-0.28,-0.291111111111111,0,-0.1,-0.2,-0.173333333333333,-0.0428571428571429,-0.0548571428571428
"FUS",0.172391193036354,0.281666666666667,0.273333333333333,0.281666666666667,0.282730496453901,0.0338092609515151,0.191896551724138,0.16711259754738,0.201980036000655,0.0300870147255689,0.0535354060517833,0.191573196533635,0,0.16915601308519,0.0987914770329307,-0.00159324973108711,0.14527665317139,0.0764180421994985,-0.0250212556059633,0.0777280858676208,0.0805555555555556,0.0882478632478632,-0.0811767795224369,0,-0.02,0.075,0.1,0.0704259586251934,0.00645846006602266,0.0996019555502678,0.0108062861529792,0.00570658036677454,-0.0777280858676208,-0.0777280858676208,0.0144444444444444,-0.237513431076912,-0.0643939393939394,-0.0575757575757576,-0.0575757575757576,-0.12,-0.173846153846154,-0.182937062937063,-0.23091985428051,-0.190983039948557,0.1,-0.28,0,-0.291111111111111,-0.292121212121212,-0.0428571428571429,-0.2,-0.28,-0.171746031746032,-0.0548571428571428,-0.0702417582417582
"SUFU",0.170774564860835,0.281666666666667,0.281666666666667,0.282730496453901,0.281744303160015,0.0350946079952169,0.188670745272525,0.168317416824489,0.204020852327185,0.0307996037992031,0.0554677732015417,0.190380692274691,0,0.166189632070029,0.098997662599941,-0.00185906578637685,0.141780149674887,0.0789496877691187,-0.0261922157933169,0.0764180421994985,0.0882478632478632,0.0863891271883837,-0.0834072627938123,-0.02,-0.0144444444444444,0.0805555555555556,0.075,0.0715588113543386,0.0108062861529792,0.0966005912937875,0.0101413245161505,0.00645846006602266,-0.0764180421994985,-0.0764180421994985,0.00570658036677454,-0.236547247502033,-0.0588383838383838,-0.0643939393939394,-0.0575757575757576,-0.173846153846154,-0.182937062937063,-0.190983039948557,-0.226728237514043,-0.193961763352813,0,-0.291111111111111,-0.0428571428571429,-0.292121212121212,-0.295596115596116,-0.0548571428571428,-0.28,-0.28,-0.172391193036354,-0.0702417582417582,-0.0722551810605502
"Patched",0.173333333333333,0.233333333333333,0.233333333333333,0.273333333333333,0.281666666666667,0.0245421245421245,0.185,0.141025641025641,0.185714285714286,0.0253968253968254,0.05,0.193010752688172,0.1,0.162544061302682,0.103703703703704,-0.00551448551448551,0.133333333333333,0.0730769230769231,-0.0372294372294372,0.0730769230769231,0.1,0.075,-0.0904761904761905,0.1,0,0.1,0.2,0.070962783171521,0.0144444444444444,0.0916487455197133,0.00570658036677454,0.02,-0.0730769230769231,-0.0730769230769231,0,-0.233333333333333,-0.0575757575757576,-0.0666666666666667,0,-0.1,-0.1,-0.12,-0.211111111111111,-0.173846153846154,0,-0.2,0,-0.28,-0.28,0.1,0,-0.1,-0.133333333333333,0,-0.0428571428571429
"SHH",0.133333333333333,0.233333333333333,0.2,0.233333333333333,0.273333333333333,0.0102564102564103,0.175,0.133333333333333,0.2,0.0142857142857143,0.075,0.183333333333333,0,0.158544061302682,0.1,-0.00441558441558441,0.1,0.0730769230769231,-0.019047619047619,0.05,0.1,0.1,-0.0833333333333333,0.1,0.1,0.2,0.2,0.0641666666666667,0.02,0.0972043010752688,0.0144444444444444,0,-0.05,-0.05,0,-0.225,-0.0666666666666667,0,0.1,0,-0.1,-0.1,-0.2,-0.12,0,-0.1,0,-0.2,-0.28,0,0,0,-0.133333333333333,0.1,0
"SMAD",0.1613616064301,0.248591549295775,0.25,0.246915571642143,0.244923539769633,0.184643625658663,0.258278498368422,0.221669411134795,0.209740680885449,0.248601731601732,0.052328938527633,0.169225767064477,-0.02,0.109601914709031,0.13016319940194,0.0181653912728748,0.092162082224194,0.180795419224918,-0.0168577255677233,0.177834892909129,-0.0422771672771673,-0.0473131385001889,-0.0402761405451171,-0.0342857142857143,-0.0231746031746032,-0.0365079365079365,-0.0476190476190476,0.0297489354827005,0.0289740551127733,0.00466578943249318,0.0275556153964612,0.0318234445293269,-0.177834892909129,-0.177834892909129,0.0270961718020542,-0.21299976054693,-0.199408866995074,-0.199408866995074,-0.202857142857143,-0.285714285714286,-0.295391705069124,-0.302368449255171,-0.213996560680216,-0.303329987716709,-0.25,-0.238333333333333,-0.261111111111111,-0.239250764525994,-0.235905039618931,-0.284920634920635,-0.233333333333333,-0.233333333333333,-0.262790177858671,-0.298646125116713,-0.29731279178338
"TGF",0.180723362658847,0.38,0.38,0.37047619047619,0.263333333333333,0.290513465660237,0.272795031055901,0.168794326241135,0.224242424242424,0.18623588610702,0.0768998913621339,0.169869675778767,0,-0.0233518419328612,0.182037037037037,0.0364030708704181,0.075,0.228571428571429,-0.0185626102292769,0.230357142857143,-0.0628571428571429,-0.0458760107816712,-0.071474693888487,0,-0.0333333333333333,-0.0428571428571429,0,0.0249770550678372,0.032404832836809,0.00978192388038584,0.0352756462339382,0.0363522012578616,-0.230357142857143,-0.230357142857143,0.0533333333333333,-0.197266486374038,-0.0464367816091954,-0.0533333333333333,-0.0533333333333333,-0.333333333333333,-0.347619047619048,-0.373934837092732,-0.19908466819222,-0.376157059314954,-0.2,-0.193333333333333,-0.233333333333333,-0.176091954022988,-0.172966954022988,-0.283333333333333,-0.133333333333333,-0.193333333333333,-0.188787878787879,-0.297619047619048,-0.308145363408521
"ZEB1",0.223469061155571,0.216008662335499,0.21455938697318,0.217531504975093,0.215956701825487,0.0431222289109768,0.250668931441639,0.203046245636919,0.154072864595108,0.216355206979304,0.0299384567574002,0.130012226904424,-0.133333333333333,-0.0840255170065619,0.205718054641527,-0.0748187081631786,0.124054580896686,0.121583432294914,-0.0664456183732344,0.122685794499638,-0.146768069329045,-0.146424426717361,-0.0927271244519117,-0.11025641025641,-0.132207629768605,-0.140998838559814,-0.119047619047619,0.0643418528412532,0.137395538265337,-0.0218900379722517,0.13612352260976,0.137395538265337,-0.122685794499638,-0.122685794499638,0.138089982709782,-0.195986749676228,-0.165657916058986,-0.168137254901961,-0.158333333333333,-0.183333333333333,-0.179333333333333,-0.178156862745098,-0.198497907195642,-0.183883734991794,-0.2,-0.167424242424242,-0.22,-0.15958110516934,-0.157090001966493,-0.204210526315789,-0.133333333333333,-0.158333333333333,-0.222026753463264,-0.209128559102675,-0.219128559102675
"TGFR",0.17467354059479,0.37047619047619,0.38,0.263333333333333,0.258368794326241,0.295158942432853,0.26275136293363,0.159839102360538,0.221385281385281,0.180438784657745,0.0795414007960962,0.167214808522129,0,-0.0263611011921204,0.175275471200738,0.0362014579671923,0.0688271604938272,0.228571428571429,-0.020708532976058,0.228571428571429,-0.0458760107816712,-0.0426502043300583,-0.0676623771729445,-0.0333333333333333,-0.0533333333333333,-0.0628571428571429,-0.0428571428571429,0.0242956240627265,0.0352756462339382,0.0060867737649124,0.0348327764376583,0.032404832836809,-0.228571428571429,-0.228571428571429,0.0363522012578616,-0.187832524109887,-0.0385231125444472,-0.0464367816091954,-0.0533333333333333,-0.347619047619048,-0.373934837092732,-0.376157059314954,-0.197298953906505,-0.377526922328653,-0.233333333333333,-0.176091954022988,-0.283333333333333,-0.172966954022988,-0.172401982271576,-0.297619047619048,-0.193333333333333,-0.193333333333333,-0.180723362658847,-0.308145363408521,-0.315122107594568
"TWIST1",0.158464810445008,0.155527690700104,0.162424242424242,0.154277690700104,0.155872223729717,0.061027439291663,0.17464463518477,0.1493077543925,0.162323216671043,0.120195409656473,0.0987663101698189,0.131729572802001,-0.0333333333333333,0.276596595789665,0.00582670444226508,0.0382053447378109,0.0495882962702185,0.0789328212913944,0.0351816463106786,0.0775629582776958,-0.00208855472013366,-0.00368855472013366,-0.107158928134717,-0.019047619047619,0.00317460317460318,0.00317460317460318,-0.019047619047619,0.083991299508078,0.000601002326479709,-0.024268151437298,0.00261365327530087,0.00228553525144142,-0.0775629582776958,-0.0775629582776958,0.00108071597433299,-0.15126091003284,-0.0455211525022846,-0.0389173789173789,-0.0414814814814815,-0.153333333333333,-0.183768115942029,-0.183768115942029,-0.148061288305191,-0.182275578628596,-0.1,-0.131111111111111,-0.15,-0.146179604261796,-0.13879044170022,-0.188461538461538,-0.166666666666667,-0.111111111111111,-0.159454909454909,-0.188461538461538,-0.185071707953064
"NFB",0.137011366099435,0.17020202020202,0.161111111111111,0.17260202020202,0.17386784298683,-0.150142210730446,0.178862500934214,0.128814683768244,0.125711083088132,0.0510934532598851,0.0310222106991617,0.126875728599037,0.1,0.298845741734345,0.0769701213818861,-0.0498840846091842,0.135296329057939,-0.0903075303678942,0.0547720364741641,-0.0932926049947598,0.0406837606837607,0.0373129741669068,-0.0339096754202494,0.0222222222222222,0.0299145299145299,0.0299145299145299,0.0222222222222222,0.0513708234946774,-0.0374369609984285,-0.00367322537041084,-0.0382997060964677,-0.0378589019266985,0.0932926049947598,0.0932926049947598,-0.0406837606837607,-0.0580610722207818,-0.129377647442164,-0.131313131313131,-0.132900432900433,-0.0142857142857143,-0.0182857142857143,-0.0382857142857143,-0.0533882783882784,-0.0415536881419234,0.1,-0.108888888888889,0.114285714285714,-0.115785440613027,-0.125423994829894,-0.00238095238095238,-0.12,-0.12,-0.137383113311331,-0.0212998712998713,-0.0212998712998713
"IKK",0.137383113311331,0.161111111111111,0.15,0.17020202020202,0.17260202020202,-0.151318681318681,0.18005772005772,0.121671826625387,0.120582877959927,0.0460574820368635,0.0275739348370927,0.1238620299689,0.1,0.299252245799385,0.072843137254902,-0.0503824234796161,0.134243697478992,-0.0932926049947598,0.0561904761904762,-0.0876588021778584,0.0299145299145299,0.0406837606837607,-0.0317948717948718,0.1,0.0222222222222222,0.0222222222222222,0.1,0.0484815779088026,-0.0378589019266985,-0.00420120847495149,-0.0374369609984285,-0.0406837606837607,0.0876588021778584,0.0876588021778584,-0.0299145299145299,-0.0561453634085213,-0.131313131313131,-0.132900432900433,-0.109090909090909,0,-0.0142857142857143,-0.0182857142857143,-0.0553113553113553,-0.0382857142857143,0.2,-0.12,0.1,-0.108888888888889,-0.115785440613027,0.114285714285714,-0.1,-0.12,-0.128472222222222,-0.00238095238095238,-0.0212998712998713
"Csn",0.0330309208460404,0.119538670284939,0.109090909090909,0.123384824131093,0.126010122460448,-0.162900836602292,0.12331427172082,0.0209606866002215,0.117716677771346,0.00905666584423061,0.0188899917287014,0.126686811982185,0.0666666666666667,0.0422912553004436,0.0280084151472651,-0.029544612060057,0.0378738614089704,-0.209023422118584,0.0571125472143532,-0.209599237857548,0.0620135715274893,0.0624502527501967,-0.0224830957562119,0.0666666666666667,0.0632183908045977,0.0632183908045977,0.0666666666666667,0.0157792581483218,-0.0624580159719337,0.0284806817927755,-0.06167629618841,-0.0624580159719337,0.209599237857548,0.209599237857548,-0.0620135715274893,-0.0416277915632754,-0.122749472749473,-0.118903318903319,-0.12020202020202,0.04,0.0309090909090909,0.0244155844155844,-0.0383365653953889,0.0223322510822511,0.22,-0.0223665223665224,0.12,-0.0277428664525439,-0.031021554977134,0.111666666666667,-0.0142857142857143,-0.0253968253968254,-0.0302031573498965,0.111666666666667,0.107666666666667
"CD44",-0.103514739229025,0.00666666666666668,0.0666666666666667,0.00666666666666668,0.00666666666666668,0.127380952380952,9.71445146547012e-18,-0.115789473684211,0.138888888888889,-0.112167832167832,0.0222222222222222,-0.0411217437533227,-0.1,-0.200967920967921,-0.0227838827838828,0.109331005129324,-0.030952380952381,0.00285714285714286,0.08,0,0.1,0.0933333333333333,-0.0474967061923584,-0.1,0,0.1,0,-0.117003582672891,-0.10031007751938,-0.079029304029304,-0.106463923673226,-0.0933333333333333,0,0,0,-0.0222222222222222,0.101503759398496,0.0857142857142857,0.1,-0.2,-0.175,-0.175,-0.112698412698413,-0.175,0,0.05,0.1,0.07,0.0881818181818182,0.1,0.1,0.1,0.105555555555556,0.0666666666666667,0.0866666666666667
"cMet",-0.105332921047207,0.00666666666666668,0.00666666666666668,0.00666666666666668,0.000283687943262421,0.128993855606759,-0.00632911392405062,-0.113828689370485,0.127777777777778,-0.11434174521131,0.0111111111111111,-0.0411217437533227,-0.1,-0.197318285931425,-0.0328962423344446,0.109331005129324,-0.030952380952381,-0.00280323450134771,0.0847619047619048,0.00285714285714286,0.0933333333333333,0.102424242424242,-0.0349967061923584,0,0,0.1,0.1,-0.119293659008769,-0.106463923673226,-0.0736912257374891,-0.102509121413339,-0.10031007751938,-0.00285714285714286,-0.00285714285714286,-0.0933333333333333,-0.0212121212121212,0.1078867381219,0.101503759398496,0.0857142857142857,-0.175,-0.175,-0.175,-0.122222222222222,-0.165909090909091,0.1,0.07,0.1,0.0881818181818182,0.0881818181818182,0.0666666666666667,0.1,0.05,0.103514739229025,0.0866666666666667,0.0991666666666667
"HEY1",0.0116521739130435,0.00509090909090909,0.00909090909090909,0.00109090909090909,0.00352993348115299,0.0783696781887252,-0.0859458672223342,0.0228418640183346,0.00866831581117295,-0.0792921720957703,0.00957688338493292,0.0154254687691458,0.1,0.141621015680727,-0.125538126361656,0.0821803905556506,-0.0783590623213265,-0.0454185520361991,0.0569758531639495,-0.0461538461538462,0.0866393068855449,0.0883634448165794,-0.00443223443223443,0.0666666666666667,0.0843137254901961,0.0843137254901961,0.0666666666666667,0.0101652254268234,-0.0922580359825349,0.0397418435223313,-0.0898919089588736,-0.0892480025377188,0.0461538461538462,0.0461538461538462,-0.0866393068855449,-0.00955108359133127,0.052400730035022,0.0596172248803828,0.0490909090909091,0.12,0.0927272727272727,0.0868449197860963,0.0111111111111111,0.0899377032912509,0.1,-0.0833333333333333,0.1,-0.102083333333333,-0.101008064516129,0.04,-0.2,-0.1,-0.016,0.0352380952380952,0.0389417989417989
