"","HEY1","AKT","FUS","Csl","TrCP","SUFU","SOSGRB2","MEK","ERK","LIV1","FOXC2","TGFR","TGF","Wnt","GLI","cMet","ZEB1","STAT","SRC","GSK3","SNAI2","RAF","PI3K","DELTA","RAS","cateninmemb","Ecadherin","TCFLEF","cateninnuc","CD44","Frizzled","DSH","PAK1","CDC42","AXIN2","Destcompl","cfos","EGR1","Csn","TWIST1","NOTCHic","NOTCH","Jagged","NFB","IKK","SMO","SHH","Patched","SNAI1","ILK","SMAD","RKIP","miR200","ZEB2","KLF4"
"SNAI2",0.0448764315852923,0.0535036698518211,0.18,0.103070175438596,0.1,0.2,-0.0958755916159567,0.00365659777424483,0.0117647058823529,-0.18,-0.0709076223798776,0.0354736766501472,0.038579266712259,-0.147221510883483,-0.147756270241771,-0.147221510883483,-0.090821900566394,-0.134545454545455,-0.134545454545455,-0.210452148001983,0.125710273009753,0.0482060077617623,0.0482060077617623,0.0482060077617623,0.051858975798292,0.0840452395901569,0.207825089526277,0.145203996195532,0.144427598680004,0.148296779700687,0.134545454545455,0.134545454545455,-0.0509803921568627,-0.0414565826330532,0.210543872302465,0.207736596570747,0.00196078431372549,0.0666666666666667,-0.133333333333333,-0.222485598239227,-0.118859649122807,-0.127950558213716,-0.15342550868181,-0.0833333333333333,-0.0522988505747126,-0.150588235294118,-0.172203642020188,-0.156710684273709,-0.20448641203865,-0.0325955734406439,-0.0397726069334668,-0.202974358974359,-0.231202217100607,-0.248773861967695,-0.251153846153846
"DSH",0.0592580469176214,0.000445402298850564,0.0954545454545455,0.114285714285714,-0.0666666666666667,0.05,0.012860310421286,0.0208865300506167,0.00810457516339869,-0.2,-0.0902281806320974,-0.0692753623188406,-0.0745018431550775,-0.131203007518797,-0.138392550002457,-0.131203007518797,0.0721265300876838,-0.2,-0.152631578947368,0.053213820742023,-0.188025937954259,0.080149460982449,0.080149460982449,0.080149460982449,0.0860318139236254,-0.0242447412376142,0.0747971764008924,0.147059204302146,0.148038723447293,0.138487775730718,0.152631578947368,0.2,0.08,0.0626086956521739,0.183388908216697,-0.0956838794396871,0.0141176470588235,0.02,0.00666666666666668,-0.118020144227904,-0.0966386554621849,-0.098736557560087,-0.0684548459975957,-0.0308333333333333,-0.0245833333333333,-0.0906926406926407,-0.0633623418602639,-0.0713378019829633,-0.0244202898550725,-0.0510630353490601,-0.0574781296886828,-0.0623076923076923,-0.170155672579453,-0.234069958018746,-0.234432025237279
"AXIN2",0.0386548095473045,-0.183429951690821,-0.142307692307692,0.0505263157894737,-0.2,-0.15,0.146604898919064,0.172565914444191,0.172565914444191,0.2,0.133327835318468,0.0973776357478422,0.0986977677610436,0.152111734830259,0.15777211218875,0.152111734830259,-0.0760644467600561,0.166666666666667,0.150387596899225,-0.186032642922803,0.216016111722736,-0.186816419731645,-0.186816419731645,-0.186816419731645,-0.192853165138469,0.200417350451768,0.0619614325623758,-0.160567324861361,-0.160091752012248,-0.158105425681994,-0.150387596899225,-0.166666666666667,-0.0908333333333333,-0.0920679012345679,0.258858099657463,0.203367004046294,-0.184715447154472,-0.206666666666667,0.233333333333333,-0.00699684058710428,-0.0505263157894737,-0.045796586059744,0.158705876966747,0.220289855072464,0.195652173913043,0.118498168498168,0.110078964751096,0.107783882783883,-0.175996314330012,-0.0374051069703244,-0.0346273291925466,-0.201244535034858,-0.214483434120177,-0.231494141050337,-0.222444686533415
"Frizzled",0.0592580469176214,0.0245833333333333,0.05,0.114285714285714,-0.1,0,-0.0090909090909091,0.00810457516339869,-0.0141176470588235,-0.1,-0.0889294793333961,-0.0626086956521739,-0.0692753623188406,-0.152631578947368,-0.131203007518797,-0.152631578947368,0.0595281048908334,-0.2,-0.2,0.0497335423197492,-0.185115577069509,0.0966848940533151,0.0966848940533151,0.0966848940533151,0.080149460982449,-0.0203578154425612,0.0754117505887766,0.138487775730718,0.147059204302146,0.131203007518797,0.2,0.3,0.1,0.08,0.186342494714588,-0.096828917607626,0.02,0,0.0666666666666667,-0.117310924369748,-0.114285714285714,-0.0966386554621849,-0.0645788770053476,0.00666666666666668,-0.0308333333333333,-0.0954545454545455,-0.0713378019829633,-0.0906926406926407,-0.0293478260869565,-0.0519976147883125,-0.0510630353490601,-0.07,-0.172594696969697,-0.230920351719534,-0.217927170868347
"RAS",0.0486166007905138,0.0755555555555556,0.1,0.1,0.1,0.1,-0.0614718614718615,0.0316976264189886,0.0297368421052632,0,0.056031746031746,0.0658823529411765,0.0728130460104834,-0.155882352941176,-0.13921568627451,-0.155882352941176,-0.056859351988218,-0.1,-0.15,-0.072093023255814,-0.368435663967307,0.0776923076923077,0.0776923076923077,0.0776923076923077,-0.0319230769230769,-0.0397485846890715,-0.0097174469260695,0.128681043612208,0.128397757493227,0.1409887359199,0.15,0.1,-0.06,-0.06,0.173833992094862,-0.161609619167759,-0.035,-0.06,0,-0.194358974358974,-0.105263157894737,-0.110923535253227,-0.163504829489454,-0.0333333333333333,-0.0533333333333333,-0.116666666666667,-0.149751412429379,-0.144666666666667,-0.167758112094395,-0.137662337662338,-0.139703153988868,-0.0915408805031446,-0.194246153846154,-0.22169734904271,-0.210357142857143
"cateninnuc",0.0480884330030374,-0.0777253787878788,0.0188888888888889,0.0202134337727558,-0.1,-0.0111111111111111,-0.0235149863999529,0.0433201422194268,0.0433201422194268,0.00606060606060606,-0.00570893041384844,0.0667219906530251,0.0641019033167806,0.00739152648026978,0.00660101264627768,0.00609776696733218,-0.0090951263801079,-0.00163170163170163,0.00392385392385392,-0.170127342408834,-0.20024492432254,-0.0920695970695971,-0.0920695970695971,-0.0920695970695971,-0.0934163984163984,-0.0479061040907421,-0.0077617387141047,-0.00547689377364346,-0.105559743815068,-0.00570094157050679,-0.00521761343679152,0.00163170163170163,-0.0611428571428572,-0.0672967032967033,0.143277025436753,0.165741949332153,-0.0369910282953761,-0.0449275362318841,0.1125,-0.103906855269876,-0.0190506430750814,-0.0163233703478087,0.00195803160202091,0.0912878787878788,0.0792878787878788,-0.0336429872495446,-0.026027187306379,-0.0292951611625881,-0.164671189487488,-0.0470606060606061,-0.0482884368928025,-0.176318849058303,-0.186954219056342,-0.216352725988403,-0.210893633847371
"Ecadherin",0.0466734686553084,0.0102934102934103,0.0666666666666667,0.0754066985645933,0.1,0.1,-0.0631563901176612,0.0139952588345554,0.0104658470698495,-0.0333333333333333,-0.0374208120111484,0.0353835920177384,0.0370110784553514,-0.0767787788732173,-0.0707787788732173,-0.0775883740756161,-0.0604395257728933,-0.0627450980392157,-0.0836753305973552,-0.163368121843827,-0.187479158698279,-0.000452488687782804,-0.000452488687782804,-0.000452488687782804,-0.00156980712353699,-0.0203857738918715,-0.089453213722929,0.0725254203527458,0.0735524978504115,0.0719027553465191,0.0836753305973552,0.0627450980392157,-0.0310909090909091,-0.0270909090909091,0.145203996195532,0.162178447230203,-0.0300534759358289,-0.0418181818181818,0,-0.178367157167026,-0.080561337739851,-0.076472118408996,-0.0741478064795354,0.0238095238095238,0.00529100529100529,-0.0916666666666667,-0.109734569469139,-0.112096774193548,-0.154961984485477,-0.0414492753623188,-0.0358802680983963,-0.170209547898151,-0.193343224125347,-0.209476961151135,-0.202344116268167
"KLF4",0.0446600458365164,-0.00529100529100529,0.1,0.0490909090909091,0.1,0.2,-0.0526300743281875,0.0104658470698495,0.0300534759358289,-0.1,-0.0413109721942148,0.0270909090909091,0.0353835920177384,-0.0836753305973552,-0.0767787788732173,-0.0836753305973552,-0.0547523219814241,-0.0333333333333333,-0.0627450980392157,-0.163368121843827,-0.188021000961976,-0.00192307692307692,-0.00192307692307692,-0.00192307692307692,-0.000452488687782804,-0.0200011585072561,0.00967044742604862,0.0719027553465191,0.0725254203527458,0.0775883740756161,0.0627450980392157,0.0333333333333333,-0.0590909090909091,-0.0310909090909091,0.148296779700687,0.161526070715758,-0.0418181818181818,0.04,-0.1,-0.178553376906318,-0.0754066985645933,-0.080561337739851,-0.0775803007587116,0,0.0238095238095238,-0.0666666666666667,-0.112096774193548,-0.0916666666666667,-0.15907590853611,-0.04,-0.0414492753623188,-0.16384250669965,-0.185335775335775,-0.205211558307534,-0.207407407407407
"FOXC2",0.0446600458365164,-0.00529100529100529,0.1,0.0490909090909091,0.1,0.2,-0.0526300743281875,0.0104658470698495,0.0300534759358289,-0.1,-0.0413109721942148,0.0270909090909091,0.0353835920177384,-0.0836753305973552,-0.0767787788732173,-0.0836753305973552,-0.0547523219814241,-0.0333333333333333,-0.0627450980392157,-0.163368121843827,-0.188021000961976,-0.00192307692307692,-0.00192307692307692,-0.00192307692307692,-0.000452488687782804,-0.0200011585072561,0.00967044742604862,0.0719027553465191,0.0725254203527458,0.0775883740756161,0.0627450980392157,0.0333333333333333,-0.0590909090909091,-0.0310909090909091,0.148296779700687,0.161526070715758,-0.0418181818181818,0.04,-0.1,-0.178553376906318,-0.0754066985645933,-0.080561337739851,-0.0775803007587116,0,0.0238095238095238,-0.0666666666666667,-0.112096774193548,-0.0916666666666667,-0.15907590853611,-0.04,-0.0414492753623188,-0.16384250669965,-0.185335775335775,-0.205211558307534,-0.207407407407407
"Destcompl",0.0318833303448688,-0.131599543184019,-0.0689655172413793,0.0522757540148844,-0.2,-0.1,0.0992039866783474,0.126801089897168,0.122581680614468,0.0944444444444444,0.0841979709574094,0.0638805140931146,0.0622056372458239,0.107551146504083,0.10773667526104,0.108088065867661,-0.0313588241340323,0.0873015873015873,0.099630354424875,-0.107843178801256,0.173338165912126,-0.118362630793755,-0.118362630793755,-0.118362630793755,-0.120246461249014,0.169120396687916,0.0477644542827689,-0.106269419374101,-0.105249531561761,-0.108461200196019,-0.099630354424875,-0.0873015873015873,-0.0573469387755102,-0.0649331456720619,-0.160567324861361,0.0252105596494638,-0.115477855477855,-0.121538461538462,0.157142857142857,-0.00560994052637424,-0.0446670583627105,-0.0428634511482817,0.128839422664087,0.126708074534161,0.122203570029657,0.0661083743842365,0.0807885239117016,0.0759529339697287,-0.120542861675803,-0.0288095238095238,-0.031031746031746,-0.148760938509156,-0.165653086006942,-0.184308400510991,-0.179269995392809
"SMO",0.0183150183150183,-0.000571428571428567,-0.133333333333333,0,0,-0.1,0.0964912280701754,-0.0172494172494173,-0.0384615384615385,0.1,0.00844827586206896,0.1,0.1,-0.1375,-0.120833333333333,-0.0433333333333333,0.0415254237288136,0,-0.05,0.152178242469505,0.148932676518883,0.116826923076923,0.116826923076923,0.116826923076923,0.10287343470483,0.0741312593520548,0.0415114323473332,0.0237540453074434,0.027513443803684,0.0266666666666667,0.15,0.1,-0.0666666666666667,-0.0666666666666667,-0.121615166442753,-0.154717220763732,0,-0.1,0.1,-0.0185185185185185,0.00909090909090909,0.00909090909090909,0.0403174603174603,0.1,0.0285714285714286,-0.0266666666666667,-0.0530555555555555,-0.0641666666666667,-0.0154377880184332,-0.0233333333333333,-0.0122222222222222,-0.0284126984126984,-0.13119349005425,-0.165254237288136,-0.144444444444444
"SHH",0,-0.1,0,-0.1,0,0,0.2,0,0.1,0,-0.025,0.0666666666666667,0.0666666666666667,-0.1,-0.15,0,0.1,0.1,0.1,0.158974358974359,0.143218390804598,0.1,0.1,0.1,0.123076923076923,0.065663082437276,0.0352777777777778,0.0433333333333333,0.0266666666666667,0.05,0,0,-0.2,-0.166666666666667,-0.123809523809524,-0.14987012987013,-0.1,0,0,0,0,0,0.0371428571428572,0,0.1,0.1,-0.0266666666666667,0.133333333333333,0,0,-0.0333333333333333,0.02,-0.1,-0.15,-0.2
"Patched",0.0230769230769231,-0.0285714285714286,-0.1,0,0,0,0.133333333333333,-0.0384615384615385,0,0.1,0.005,0.0666666666666667,0.1,-0.15,-0.1375,-0.05,0.05,0.1,0,0.158974358974359,0.149885057471264,0.123076923076923,0.123076923076923,0.123076923076923,0.116826923076923,0.0712186379928315,0.0381903991370011,0.0266666666666667,0.0237540453074434,0.0433333333333333,0.1,0,-0.166666666666667,-0.0666666666666667,-0.114718614718615,-0.153166833166833,-0.1,-0.1,0,-0.0185185185185185,0,0.00909090909090909,0.026031746031746,0.1,0.1,0.133333333333333,-0.0641666666666667,-0.0266666666666667,-0.0225806451612903,-0.0333333333333333,-0.0233333333333333,-0.0228571428571429,-0.107142857142857,-0.15,-0.144444444444444
"cateninmemb",0.020924626104255,-0.0221933621933622,-0.0833333333333333,0.0359808612440191,0,-0.1,-0.038737173121483,-0.0217439403127699,-0.0331164893323777,0.0666666666666667,-0.0258960188521724,0.0200931263858093,0.0166573216841818,0.0445359057817193,0.0432025724483859,0.0437712880905649,-0.0182557872238444,0.0254901960784314,0.0324669402644779,-0.0636369794615354,-0.0720454176933289,-0.0217873303167421,-0.0217873303167421,-0.0217873303167421,-0.0223459895346192,0.0295666026085043,-0.0740432480649291,-0.0404018165852982,-0.0404951872669042,-0.0427679436089595,-0.0324669402644779,-0.0254901960784314,-0.00272727272727273,-0.0147272727272727,0.0497433713952447,0.0637339968992016,0.0320855614973262,-0.00909090909090909,0.06,0.00478295054831368,-0.0267025107285552,-0.0241002802452838,0.0437459260800222,0.0457142857142857,0.0234920634920635,0.0520833333333333,0.06124428498857,0.051008064516129,-0.0247939729648159,-0.019304347826087,-0.0161566480682177,-0.0344629509958563,-0.104777593604409,-0.100287857223209,-0.101359587435537
"ZEB1",0.0580294575890431,0.0307165454620157,0.0583333333333333,0.0729166666666667,0.0333333333333333,0.0583333333333333,0.0463157894736842,0.0733397253174397,0.0843529411764706,-0.133333333333333,-0.0445169567123937,-0.00947626863387257,-0.00357075682284895,-0.134405431966408,-0.128563507567782,-0.138089982709782,-0.105005304393698,-0.11025641025641,-0.132207629768605,-0.153753538369966,-0.190960817231923,0.0270168762740838,0.0270168762740838,0.0270168762740838,0.0259145140693594,-0.0141993859963791,0.0750406207656095,0.130406767579758,0.130993851728486,0.132534427154226,0.1267131242741,0.104761904761905,-0.00900383141762452,0.00693819756788272,0.162412216440993,0.16100054120435,-0.102,-0.05,-0.0333333333333333,-0.17522308066854,-0.0787990196078431,-0.0763196807648679,-0.092755494973716,-0.0280701754385965,-0.0264308311763014,-0.0446969696969697,-0.0587643760189291,-0.0505793226381462,-0.0880903923521772,-0.0511755911033488,-0.0530986680264257,-0.0924206418983982,-0.0253094248768386,-0.0610185857297596,-0.0645837422145675
"cMet",0.105194358445132,0.07375,0.15,0.171428571428571,0.2,0.1,-0.0480952380952381,-0.188181818181818,-0.19,0.1,-0.0145991561181435,-0.005,-0.00925531914893617,-0.08,-0.0936363636363636,-0.08,0.00981240981240981,0,0,-0.188268049155146,-0.34460640738013,-0.13047619047619,-0.13047619047619,-0.13047619047619,-0.113495058400719,-0.00775364019136261,-0.00741791607169545,0.107048300536673,0.0991386960168986,0.0962790697674419,0.1,0.1,-0.02,0.005,0.117936507936508,-0.174131200391705,0.19,0.25,-0.1,-0.108205951352019,-0.176691729323308,-0.166053431450968,-0.154547481504003,-0.1,-0.08,-0.15,-0.150284090909091,-0.140909090909091,-0.115218644968868,-0.146145124716553,-0.157054215625644,0.114074074074074,-0.0136671058410189,-0.0406926406926407,0.0603174603174603
"CD44",-0.083625730994152,-0.08,-0.1,-0.1,-0.1,-0.1,0.0547619047619048,0.19,0.19,-0.1,0.0133333333333333,0.005,0.005,0.1,0.08,0,-0.00476190476190476,-0.1,0,0.189880952380952,0.337307137307137,0.133333333333333,0.133333333333333,0.133333333333333,0.13047619047619,-0.00327838827838828,0.00461893388340028,-0.0962790697674419,-0.107048300536673,-0.08,-0.1,0,0,0.02,-0.11,0.182914984175488,-0.25,-0.3,0.2,0.104835164835165,0.171428571428571,0.176691729323308,0.137156177156177,0.1,0.1,0.15,0.140909090909091,0.15,0.111828814460393,0.127777777777778,0.146145124716553,-0.121481481481481,0.0136671058410189,0.0396825396825397,-0.0793650793650794
"TGFR",-0.103978174889575,-0.0103237745526607,-0.103333333333333,-0.166666666666667,0.0333333333333333,-0.0866666666666667,-0.0762345679012346,-0.0517295521909797,-0.0530994152046784,0,-0.0851064579999458,-0.0776190476190476,-0.0804559270516717,-0.0223989218328841,-0.0191731153812712,-0.00811320754716981,-0.0144040639546015,0,-0.01,-0.113604545992739,-0.0549721827636079,0.0172619047619048,0.0172619047619048,0.0172619047619048,0.0172619047619048,0.00326401542357333,0.00794187289517084,0.00596009749932292,0.00622581937709086,0.00548162859980139,0.0242857142857143,0.0142857142857143,-0.02,-0.0152380952380952,0.00708987139602304,-0.0105603756040681,0.0508771929824561,0.0666666666666667,-0.00833333333333333,-0.00973111901937525,0.152873563218391,0.156470685520549,0.0801975945017182,0.0202380952380952,0.0149749373433584,0.0860919540229885,0.0812720387687512,0.0829669540229885,-0.0204170300067323,0.0852590420332356,0.0870384014638406,0.0994372294372295,0.0653836970716837,0.0907231199783335,0.0911654135338346
"TGF",-0.106963249516441,-0.0149749373433584,-0.0866666666666667,-0.166666666666667,0,-0.0666666666666667,-0.075,-0.0530994152046784,-0.0508771929824561,0,-0.0820496894409938,0.0152380952380952,-0.0776190476190476,-0.0242857142857143,-0.0223989218328841,-0.01,-0.0155361394262996,0,0,-0.113360047215233,-0.0545092198006449,0.0136904761904762,0.0136904761904762,0.0136904761904762,0.0172619047619048,0.00372590918800751,0.00811223064644852,0.00548162859980139,0.00596009749932292,0.00811320754716981,0.0142857142857143,0,-0.02,-0.02,0.00837742504409171,-0.0113668272169713,0.0666666666666667,0.0666666666666667,-0.0333333333333333,-0.0122222222222222,0.166666666666667,0.152873563218391,0.0801975945017182,-0.00833333333333333,0.0202380952380952,0.103333333333333,0.0829669540229885,0.0860919540229885,-0.0207120152574698,0.0884848484848485,0.0852590420332356,0.100865800865801,0.0686095035232966,0.0911004784688995,0.0947368421052632
