"","TGF","SOSGRB2","FOXC2","TGFR","CDC42","GSK3","Destcompl","TWIST1","SNAI1","RKIP","cateninnuc","TCFLEF","GLI","Wnt","STAT","SRC","Frizzled","DSH","AXIN2","ZEB2","ZEB1","TrCP","Csn","SMAD","SUFU","HEY1","Jagged","FUS","KLF4","RAF","PI3K","DELTA","RAS","miR200","SMO","SHH","Patched","IKK","NFB","NOTCH","ILK","Csl","NOTCHic","AKT","cateninmemb","LIV1","cMet","CD44","Ecadherin","EGR1","SNAI2","cfos","MEK","ERK","PAK1"
"MEK",-0.206632622897034,-0.290857142857143,-0.192490899387451,-0.189114374721851,-0.167619047619048,-0.444406979513363,-0.475078223378923,-0.155121088062265,-0.161508196962407,-0.0925586023883238,-0.217940767437139,-0.206602477474314,-0.185291375291375,-0.166410256410256,-0.133333333333333,-0.149122807017544,-0.143333333333333,-0.133333333333333,-0.13061162428251,-0.162291863086698,-0.162291863086698,-0.1,-0.0285714285714286,-0.0391326180067429,-0.0333333333333333,-0.0425833245345441,0.0125890811110272,-0.0133333333333333,0.150454328072692,-0.106526806526807,0.106526806526807,0.106526806526807,0.108114108114108,-0.108111859594219,0.0173333333333333,0.00719725704489446,0.0156939890710383,0.0376623376623377,0.0285714285714286,0.0302440463024405,0.0505717323978868,0.0353535353535353,0.0353535353535353,0.0341329258976318,0.0638070802920157,0.1,0.172199730094467,0.191080848975586,0.176797808744359,0.18,0.508365683773174,0.176551724137931,0.103112007825874,0.191445341159208,0.153333333333333
"RAF",-0.189114374721851,-0.281968253968254,-0.176274683171235,-0.167619047619048,-0.153333333333333,-0.423522458628842,-0.454994541370555,-0.139370172311349,-0.142918453372664,-0.0846638655462185,-0.206602477474314,-0.191080848975586,-0.166410256410256,-0.143333333333333,-0.1,-0.133333333333333,-0.133333333333333,-0.1,-0.122503516174402,-0.152768053562889,-0.152768053562889,-0.1,-0.1,-0.0505717323978868,-0.1,-0.0389469608981804,0.0011136712749616,-0.0333333333333333,0.134768053562889,-0.109090909090909,0.109090909090909,0.109090909090909,0.106526806526807,-0.104706286838801,0.0133333333333333,0.0156939890710383,0.0173333333333333,0.0285714285714286,0.0285714285714286,0.0353535353535353,0.0515618314077878,0.0444444444444444,0.0353535353535353,0.0376623376623377,0.0674656168773816,0,0.149122807017544,0.172199730094467,0.17279052276986,0.13,0.490604126595559,0.18,0.191445341159208,0.176551724137931,0.133333333333333
"TrCP",-0.103498478377938,-0.183525852585259,-0.0939547627293138,-0.0953017570664629,-0.0907563025210084,-0.0829334415584416,-0.107070442357623,-0.0595282326369283,-0.0175640970813322,-0.000169738180787905,-0.074761567303049,-0.0755891535099456,-0.0738953073741264,-0.0773099415204678,-0.07,-0.0588888888888889,-0.0588888888888889,-0.07,-0.0627220621495182,-0.142432403775178,-0.142432403775178,0.133333333333333,0.0833333333333333,0.0471343232633555,0.119047619047619,0.0328512214480995,0.0960067314246762,0.0690476190476191,0.140788446526151,0.0981787023752591,-0.0981787023752591,-0.0981787023752591,-0.093178702375259,-0.0730582280597211,-0.0593701996927803,-0.0735430391989532,-0.0655430391989532,-0.0445175438596491,-0.0708333333333333,-0.121025641025641,-0.0426181942310975,-0.117948717948718,-0.113333333333333,-0.0574805068226121,0.057647236702311,0.05,0.0751051051051051,0.0711447090655011,0.0629688174437329,0.2,0.233534464242216,0.204347826086957,0.207986244166053,0.202652910832719,0.080952380952381
"LIV1",-0.103498478377938,-0.183525852585259,-0.0939547627293138,-0.0953017570664629,-0.0907563025210084,-0.0829334415584416,-0.107070442357623,-0.0595282326369283,-0.0175640970813322,-0.000169738180787905,-0.074761567303049,-0.0755891535099456,-0.0738953073741264,-0.0773099415204678,-0.07,-0.0588888888888889,-0.0588888888888889,-0.07,-0.0627220621495182,-0.142432403775178,-0.142432403775178,0.133333333333333,0.0833333333333333,0.0471343232633555,0.119047619047619,0.0328512214480995,0.0960067314246762,0.0690476190476191,0.140788446526151,0.0981787023752591,-0.0981787023752591,-0.0981787023752591,-0.093178702375259,-0.0730582280597211,-0.0593701996927803,-0.0735430391989532,-0.0655430391989532,-0.0445175438596491,-0.0708333333333333,-0.121025641025641,-0.0426181942310975,-0.117948717948718,-0.113333333333333,-0.0574805068226121,0.057647236702311,0.05,0.0751051051051051,0.0711447090655011,0.0629688174437329,0.2,0.233534464242216,0.204347826086957,0.207986244166053,0.202652910832719,0.080952380952381
"CDC42",-0.0953017570664629,-0.180555555555556,-0.0884375213500034,-0.0907563025210084,-0.080952380952381,-0.0818425324675325,-0.102559164162134,-0.0655064935064935,-0.00968820209326539,-0.00624708624708625,-0.0755891535099456,-0.0711447090655011,-0.0773099415204678,-0.0588888888888889,-0.05,-0.07,-0.07,-0.05,-0.0715270935960591,-0.141467773550098,-0.141467773550098,0.1,0.133333333333333,0.0426181942310975,0.133333333333333,0.0299100449775112,0.0978472222222222,0.119047619047619,0.130952380952381,0.0933006535947712,-0.0933006535947712,-0.0933006535947712,-0.0981787023752591,-0.0755962991257109,-0.0690476190476191,-0.0655430391989532,-0.0593701996927803,-0.0708333333333333,-0.0833333333333333,-0.113333333333333,-0.041005291005291,-0.133333333333333,-0.117948717948718,-0.0445175438596491,0.059661888716963,0.1,0.0588888888888889,0.0751051051051051,0.0617923468554976,0.18,0.228652004929377,0.2,0.202652910832719,0.204347826086957,-0.0142857142857143
"Jagged",-0.0626666666666667,-0.18,-0.0571428571428571,-0.0666666666666667,-0.1,0.00344827586206897,0.0263938223938224,-0.029,0.025,0.0256410256410256,0.0296237096237096,0.0307226107226107,0.0276923076923077,0.02,0,0,0,0,0.0142857142857143,-0.121014492753623,-0.121014492753623,0,0,0.0261904761904762,0,-0.05,0.0689177489177489,0.1,0.116666666666667,0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0424242424242424,-0.0642424242424242,-0.133333333333333,-0.0698717948717949,-0.108333333333333,-0.133333333333333,-0.1,-0.205714285714286,-0.05,-0.2,-0.22,-0.1,-0.024865556978233,0,-0.02,-0.0276923076923077,-0.0640701754385965,0.1,0.13086978381096,0.2,0.18,0.18,0.2
"ZEB2",-0.355706727135299,-0.350549450549451,-0.344167832167832,-0.343537414965986,-0.342857142857143,-0.319121625022174,-0.22020725311441,-0.203563387631863,-0.196170518272605,-0.157745571658615,-0.153043570656617,-0.150056557669604,-0.126498577874725,-0.121911421911422,-0.12,-0.12,-0.109090909090909,-0.109090909090909,-0.103652876212898,-0.100182797305481,-0.100182797305481,-0.1,-0.0888888888888889,-0.077483305083786,-0.075,-0.0640818858560794,-0.0638734763839512,-0.0607142857142857,-0.0082932000368722,-0.00300865800865801,0.00300865800865801,0.00300865800865801,0.00750544601722332,0.0420889970813364,0.0578571428571429,0.0603405131453912,0.0676132404181185,0.0741666666666667,0.0763888888888889,0.0766170659941152,0.076873548986225,0.0769230769230769,0.0782564102564103,0.080708722741433,0.0926042906390859,0.1,0.135789473684211,0.139493177387914,0.165436200144639,0.2,0.214793976942163,0.215789473684211,0.222241086587436,0.222241086587436,0.333766233766234
"miR200",-0.244932188929585,-0.238023855577047,-0.229466143612485,-0.236211258697027,-0.231372549019608,-0.206113484595847,-0.224550740125153,-0.212126646359775,-0.121349761349761,-0.0812298210398349,-0.148006311221287,-0.143006311221287,-0.127269462931435,-0.120676056338028,-0.12,-0.115652173913043,-0.108,-0.12,-0.0904311341497766,-0.0388978494623656,-0.0388978494623656,-0.1,-0.04,-0.0107995190875874,0,-0.0117514124293785,-0.00166364580835932,0.0125,0.0325741890959282,0.0567853042479908,-0.0567853042479908,-0.0567853042479908,-0.0550396683377664,-0.0376952700120528,-0.00583333333333333,0.0004957805907173,0.0004957805907173,0.0336842105263158,0.0136842105263158,0.00687651331719129,0.0173825911879009,0.00512315270935961,0.00857142857142857,0.0317974180734856,0.0905638007533541,0.1,0.128328230251072,0.13506980328478,0.217673354638616,0.142857142857143,0.24006171232109,0.142857142857143,0.154885590599876,0.147402597402597,0.233333333333333
"FUS",0.121647498562392,0.0601889338731444,0.187931034482759,0.0982432432432433,0.055,0.430095850399776,0.51176676319776,0.243260730702985,0.174322522679187,0.150533464244804,0.364223999212891,0.341397912256369,0.217628205128205,0.179166666666667,0.2,0.273333333333333,0.1625,0.1,0.136178663914796,-0.019443866763717,-0.019443866763717,0.1,0.1,-0.0199334357398874,0.133333333333333,0.00383819079471253,-0.212818894626124,0.0133333333333333,0.0602459016393443,0.0182804114490161,-0.0182804114490161,-0.0182804114490161,-0.0117301931084047,0.0138870487410405,0.0116666666666667,0.0732828282828283,0.0561111111111111,-0.0862857142857143,-0.114285714285714,0.241363636363636,0.0141269841269841,0.190909090909091,0.220909090909091,-0.0862857142857143,0.16330705280775,-0.2,-0.29,-0.327864077669903,-0.0985094000760462,0.08,-0.448806207309272,0.0569230769230769,0.0101101197652922,0.0296503496503496,-0.0133333333333333
"SUFU",0.148274717497303,0.0930560667402772,0.211504235475314,0.121647498562392,0.0982432432432433,0.452975027777668,0.537869899827212,0.255838050290614,0.196298672594008,0.157472239755009,0.375937554200103,0.364223999212891,0.230639357544562,0.217628205128205,0.273333333333333,0.29,0.179166666666667,0.1625,0.133602551502618,-0.00591729671540784,-0.00591729671540784,0.1,0.114285714285714,-0.0257071077953146,0.0133333333333333,-0.00218590559082964,-0.223507730730637,-0.0116666666666667,0.0404854225974281,0.0117301931084047,-0.0117301931084047,-0.0117301931084047,-0.0174263956400503,0.0187197624956873,0.0561111111111111,0.0922017472017472,0.0732828282828283,-0.0862857142857143,-0.0862857142857143,0.256443001443001,0.0199334357398874,0.220909090909091,0.241363636363636,-0.070849472674976,0.171219740393016,-0.2,-0.327864077669903,-0.341397912256369,-0.106233395956582,0.0569230769230769,-0.473657888258514,0.0296503496503496,-0.00648562491555889,0.0101101197652922,-0.055
"NFB",0.129887789285258,0.143476337903582,0.116375594303881,0.126723232323232,0.132323232323232,-0.21909825468649,-0.156275618549968,0.161456582633053,-0.00732599796282741,-0.035105786745131,0.0594402116597303,0.0642245253852205,0.0586660904638433,0.071025641025641,0.0833333333333333,0.0602564102564102,0.0602564102564102,0.0833333333333333,0.0567679837892604,-0.00567574107683001,-0.00567574107683001,0.1,0.142857142857143,0.120202584849563,0.08,0.128814683768244,0.0280991214526036,0.1,0.00512820512820513,-0.191088332779496,0.191088332779496,0.191088332779496,0.184620671087954,-0.00493083692873526,-0.0962962962962963,-0.110089399744572,-0.110089399744572,-0.245109395109395,-0.226190476190476,0.108445747800587,-0.124291804180418,0.113852813852814,0.109090909090909,-0.240664950664951,-0.125787995824099,-0.05,-0.071025641025641,-0.05916123424598,-0.178969347561484,-0.0928571428571429,-0.320476715094844,-0.0888571428571429,-0.0930401493930906,-0.0910793650793651,-0.127777777777778
"IKK",0.126723232323232,0.148739495798319,0.115180375180375,0.132323232323232,0.127777777777778,-0.213608058608059,-0.157936748118074,0.173202614379085,-0.0136273678258411,-0.0274134790528233,0.0642245253852205,0.05916123424598,0.071025641025641,0.0602564102564102,0.05,0.0833333333333333,0.0833333333333333,0.05,0.0709523809523809,-0.00452631578947368,-0.00452631578947368,0,0.1,0.124291804180418,0.1,0.121671826625387,0.0180271790065605,0.08,0.0128205128205128,-0.182637628554144,0.182637628554144,0.182637628554144,0.191088332779496,-0.00100334448160535,-0.1,-0.110089399744572,-0.0962962962962963,-0.226190476190476,-0.142857142857143,0.109090909090909,-0.117361111111111,0.109090909090909,0.113852813852814,-0.245109395109395,-0.128216718104986,-0.1,-0.0602564102564102,-0.071025641025641,-0.178166779343186,-0.05,-0.318647446802161,-0.0928571428571429,-0.0910793650793651,-0.0888571428571429,-0.15
"SMO",-0.0982432432432433,-0.0140350877192982,-0.162931034482759,-0.055,-0.0133333333333333,-0.394309897222519,-0.487095230351044,-0.207135076252723,-0.162058371735791,-0.122698412698413,-0.341397912256369,-0.327864077669903,-0.179166666666667,-0.1625,-0.2,-0.2,-0.1,-0.1,-0.106986117330945,0.0396892655367232,0.0396892655367232,0,-0.1,0.0141269841269841,-0.1,-0.0197802197802198,0.182698412698413,-0.133333333333333,-0.075,-0.00432692307692308,0.00432692307692308,0.00432692307692308,0.0182804114490161,0.000964436407474387,0.0133333333333333,-0.0561111111111111,-0.0116666666666667,0.114285714285714,0.1,-0.220909090909091,0.00333333333333333,-0.2,-0.190909090909091,0.0862857142857143,-0.162003514632704,0.1,0.273333333333333,0.29,0.0913861124048134,-0.1,0.425287356321839,-0.08,-0.0296503496503496,-0.0569230769230769,-0.0666666666666667
"Patched",-0.055,0.0333333333333333,-0.125,-0.0133333333333333,0.0666666666666667,-0.362271062271062,-0.445234765234765,-0.19537037037037,-0.126344086021505,-0.117142857142857,-0.327864077669903,-0.29,-0.1625,-0.1,-0.1,-0.2,-0.1,0,-0.120779220779221,0.0583333333333333,0.0583333333333333,0,0,-0.00333333333333333,-0.2,-0.0435897435897436,0.161269841269841,-0.1,-0.116666666666667,-0.0230769230769231,0.0230769230769231,0.0230769230769231,0.00432692307692308,0.00476190476190477,0.133333333333333,-0.0116666666666667,0.0133333333333333,0.1,0.1,-0.190909090909091,0.0333333333333333,-0.2,-0.2,0.114285714285714,-0.146469534050179,0.1,0.2,0.273333333333333,0.0806850053937433,-0.1,0.385287356321839,-0.1,-0.0569230769230769,-0.08,-0.166666666666667
"Csn",0.232046864663614,0.156121295976018,0.218738668431996,0.214624430296072,0.196675712347354,0.495801240418348,0.521322494372007,0.205193236714976,0.197033753017962,0.18010884405754,0.248049146372103,0.238247582932536,0.224823643315923,0.211286525411993,0.166666666666667,0.190804597701149,0.190804597701149,0.166666666666667,0.14742003068933,0.0813846153846154,0.0813846153846154,-0.02,-0.12,-0.0439845957942806,-0.0142857142857143,-0.045,-0.0996129067631658,-0.0365079365079365,-0.068643252172664,0.215901672889265,-0.215901672889265,-0.215901672889265,-0.217245242946846,0.0495526932186321,0.0577200577200577,0.0769250638896329,0.069548014709305,0.145,0.136666666666667,-0.0529387279387279,0.0411568322981366,-0.0742424242424242,-0.0625541125541126,0.149,0.0798470758040271,-0.133333333333333,-0.211286525411993,-0.225064303189771,-0.0322925503769643,0.0266666666666667,-0.180532727539565,0.00848484848484848,-0.00946699134199134,0.00199134199134199,-0.177272727272727
"TGF",0.0301190476190476,0.319736842105263,0.0364596273291925,0.124761904761905,0.12,0.298704687354394,0.101881601522592,0.00444444444444444,0.0548188175460903,0.012987012987013,0.00309259426439169,0.000221780867262499,-0.0171967654986523,-0.0228571428571429,0,-0.0333333333333333,-0.0428571428571429,0,-0.00727513227513228,0.0986140582021589,0.0986140582021589,0.2,0.166666666666667,0.0955816226783969,0.0666666666666667,0.096067053513862,0.0963119783996073,0.0866666666666667,-0.100432240020341,-0.0464285714285714,0.0464285714285714,0.0464285714285714,0.0410714285714286,0.0826062347614072,-0.12,-0.110301724137931,-0.116551724137931,-0.195238095238095,-0.166666666666667,-0.00977011494252874,-0.108484848484848,0.0133333333333333,-0.0166666666666667,-0.174185463659148,0.0272052646764264,0,0.0133333333333333,0.00767295597484276,0.0353930214543918,-0.266666666666667,-0.150298904635188,-0.266666666666667,-0.272514619883041,-0.26140350877193,-0.12
"SHH",-0.0133333333333333,0.1,-0.075,0.0666666666666667,0.166666666666667,-0.305128205128205,-0.411168831168831,-0.125,-0.116666666666667,-0.06,-0.29,-0.273333333333333,-0.1,-0.1,-0.1,-0.1,0,0,-0.0571428571428571,0.1,0.1,0,0,-0.0333333333333333,-0.2,-0.0666666666666667,0.105714285714286,-0.2,-0.15,0,0,0,0.0230769230769231,0.0333333333333333,0.1,0.0133333333333333,0.133333333333333,0.1,0,-0.2,0.0666666666666667,-0.1,-0.2,0.1,-0.149247311827957,0,0.2,0.2,0.0738888888888889,0,0.351954022988506,-0.1,-0.08,-0.1,-0.2
"TGFR",0.0350835866261398,0.325909681611436,0.0412631207789742,0.0301190476190476,0.124761904761905,0.305795151902071,0.108131601522592,0.0147647291419533,0.0539338617938779,0.0258441558441558,0.00707842243091073,0.00309259426439169,-0.00880966872445874,-0.0171967654986523,-0.0333333333333333,-0.0133333333333333,-0.0228571428571429,-0.0428571428571429,-0.000837364034788929,0.101255567636121,0.101255567636121,0.166666666666667,0.166666666666667,0.0973609821090018,0.0866666666666667,0.0826342176929665,0.0861670508633754,0.12,-0.0986465257346264,-0.0410714285714286,0.0410714285714286,0.0410714285714286,0.0393170426065163,0.0875915720048089,-0.116551724137931,-0.0995672608610949,-0.110301724137931,-0.174185463659148,-0.195238095238095,-0.00617299264037046,-0.0955816226783969,-0.0166666666666667,-0.00977011494252874,-0.176511045054497,0.0290528397341632,0,0.00767295597484276,-0.000221780867262499,0.033689443941615,-0.266666666666667,-0.154234089820373,-0.26140350877193,-0.265665304814548,-0.272514619883041,-0.12
"NOTCH",0.0594408602150538,0.153684210526316,0.0551020408163265,0.0626666666666667,0.0666666666666667,-0.00799373040752351,-0.0291975607115794,0.0273050847457627,-0.0173076923076923,-0.0290893015030946,-0.0316645259502402,-0.0296237096237096,-0.0307226107226107,-0.0276923076923077,0,-0.02,-0.02,0,-0.0161725067385445,0.121014492753623,0.121014492753623,0,-0.1,-0.0361904761904762,-0.1,0.0804347826086957,-0.0578066378066378,-0.133333333333333,-0.121014492753623,-0.0424242424242424,0.0424242424242424,0.0424242424242424,0.0409749670619236,0.0613852813852814,0.108333333333333,0.0522247360482655,0.0698717948717949,0.1,0.133333333333333,0.0895852534562212,0.0261904761904762,0.22,0.205714285714286,0.0777777777777778,0.0232948763499608,0,0.0276923076923077,0.0307226107226107,0.0656830786644029,-0.2,-0.129282482223659,-0.18,-0.18,-0.18,-0.1
