"","NOTCHic","NOTCH","Csl","GSK3","Csn","NFB","SNAI2","RAF","PI3K","DELTA","RAS","AXIN2","TWIST1","Destcompl","TCFLEF","CD44","Frizzled","Wnt","DSH","PAK1","ZEB1","ERK","CDC42","MEK","cfos","TGF","TGFR","EGR1","cateninmemb","GLI","STAT","LIV1","cateninnuc","cMet","SRC","Ecadherin","miR200","SOSGRB2","RKIP","AKT","IKK","HEY1","TrCP","SUFU","FUS","Jagged","SNAI1","ILK","SMAD","SHH","SMO","Patched","FOXC2","ZEB2","KLF4"
"PAK1",-0.177692307692308,-0.17,-0.188461538461538,-0.114471861471862,-0.0416666666666667,-0.0416666666666667,-0.295137531783563,-0.183338647111961,-0.183338647111961,-0.183338647111961,-0.185611374384689,-0.219845710567897,-0.113467344249953,-0.224498781531977,-0.171572661770682,-0.168239328437348,-0.171851851851852,-0.156062378167641,-0.22,-0.128571428571429,0.387802717504609,-0.0566543846720707,0.169747899159664,-0.0539877180054041,-0.0617391304347826,0.12523721858341,0.139444868856634,-0.04,0.120584087658656,0.166306280606666,0.22,0.2,0.17598645487413,0.158338338338338,0.171851851851852,0.209858717841302,-0.324972585557835,0.200192519251925,0.172360494017953,0.0137914230019493,0.0100877192982456,0.111104006820119,0.0666666666666667,0.080952380952381,0.147619047619048,0.146911426380368,0.239060943084991,0.124961597542243,0.123026113671275,0.136343858451385,0.144393241167435,0.128343858451385,0.338273765351389,-0.0488828655883303,-0.0416518345042935
"LIV1",-0.177692307692308,-0.17,-0.188461538461538,-0.114471861471862,-0.0416666666666667,-0.0416666666666667,-0.295137531783563,-0.183338647111961,-0.183338647111961,-0.183338647111961,-0.185611374384689,-0.219845710567897,-0.113467344249953,-0.224498781531977,-0.171572661770682,-0.168239328437348,-0.171851851851852,-0.156062378167641,-0.22,-0.128571428571429,0.387802717504609,-0.0566543846720707,0.169747899159664,-0.0539877180054041,-0.0617391304347826,0.12523721858341,0.139444868856634,-0.04,0.120584087658656,0.166306280606666,0.22,0.2,0.17598645487413,0.158338338338338,0.171851851851852,0.209858717841302,-0.324972585557835,0.200192519251925,0.172360494017953,0.0137914230019493,0.0100877192982456,0.111104006820119,0.0666666666666667,0.080952380952381,0.147619047619048,0.146911426380368,0.239060943084991,0.124961597542243,0.123026113671275,0.136343858451385,0.144393241167435,0.128343858451385,0.338273765351389,-0.0488828655883303,-0.0416518345042935
"EGR1",-0.177692307692308,-0.17,-0.188461538461538,-0.114471861471862,-0.0416666666666667,-0.0416666666666667,-0.295137531783563,-0.183338647111961,-0.183338647111961,-0.183338647111961,-0.185611374384689,-0.219845710567897,-0.113467344249953,-0.224498781531977,-0.171572661770682,-0.168239328437348,-0.171851851851852,-0.156062378167641,-0.22,-0.128571428571429,0.387802717504609,-0.0566543846720707,0.169747899159664,-0.0539877180054041,-0.0617391304347826,0.12523721858341,0.139444868856634,-0.04,0.120584087658656,0.166306280606666,0.22,0.2,0.17598645487413,0.158338338338338,0.171851851851852,0.209858717841302,-0.324972585557835,0.200192519251925,0.172360494017953,0.0137914230019493,0.0100877192982456,0.111104006820119,0.0666666666666667,0.080952380952381,0.147619047619048,0.146911426380368,0.239060943084991,0.124961597542243,0.123026113671275,0.136343858451385,0.144393241167435,0.128343858451385,0.338273765351389,-0.0488828655883303,-0.0416518345042935
"SMAD",-0.259967159277504,-0.256792556102901,-0.265714285714286,-0.10327839801524,-0.138888888888889,-0.162698412698413,-0.207026444986351,-0.175770127979735,-0.175770127979735,-0.175770127979735,-0.177085917453419,-0.0818082943207074,-0.113827193408654,-0.0250132133655552,-0.0704402256605944,-0.0741037263390204,-0.053968253968254,-0.0424297924297924,-0.0761904761904762,-0.0642857142857143,0.34292953726916,-0.0400492980387954,0.102313883299799,-0.0400492980387954,-0.0447004608294931,0.0814965937985857,0.0894647212886256,-0.0285714285714286,0.0396631839500085,0.0460269147319507,0.102857142857143,0.06,0.0714533968865316,0.0708309990662932,0.0806349206349206,0.125733294047737,-0.294654770045698,0.149430641821946,0.124413330943622,0.130619981325864,0.13328664799253,0.190777273783426,0.15,0.166666666666667,0.216666666666667,0.23567909509845,0.172001737957383,0.216159274515439,0.114254512610677,0.212499005263577,0.216666666666667,0.208409785932722,0.309681754373635,-0.041948424926159,-0.0378573013229002
"AKT",-0.176302729528536,-0.164107607577316,-0.173076923076923,0.0153138528138528,-0.1,-0.0823529411764706,-0.203265364652984,-0.0390979066595505,-0.0390979066595505,-0.0390979066595505,-0.0268087500330445,-0.216881897885508,0.00172626196480715,0.0762338901920036,-0.175967305934259,-0.164627099748691,-0.220289855072464,-0.178751393534002,-0.233333333333333,0.0455882352941176,0.200353111498984,-0.0416127106580337,-0.0215882352941176,-0.044144356227654,-0.0366946778711485,-0.038973345701113,-0.0175231946437111,-0.019047619047619,0.0136617323304108,0.163667594651321,0.233333333333333,0.2,0.186274998241951,0.178751393534002,0.220289855072464,0.149640801225737,-0.153146341309311,0.10474358974359,0.0324850341474382,-0.0446866858631565,0.0644042232277526,0.0482886663738349,0.1,0.1,0.116666666666667,0.093943301963518,0.0179706815347548,0.0611434973989596,0.0688876051430673,0.10617183985605,0.124358974358974,0.118803418803419,0.0816269943150559,-0.0415472324507491,-0.0395017993702204
"NOTCHic",-0.144055299539171,-0.141423720591802,-0.00857142857142857,-0.0429261264684462,-0.0666666666666667,-0.0555555555555556,-0.193424530115559,-0.100237154150198,-0.100237154150198,-0.100237154150198,-0.0908775482388676,-0.0712481281820904,-0.127580428525744,-0.0686778046404215,-0.0622092193520765,-0.0569030969030969,-0.0984615384615385,-0.0711888111888112,-0.06,-0.0666666666666667,0.366570048309179,-0.0276190476190476,0.0866666666666667,-0.0247619047619048,-0.0133333333333333,0.112678583658654,0.128602150537634,0.02,0.0347455751886412,0.0550597789307467,0.06,0,0.0629725781307025,0.0711888111888112,0.0984615384615385,0.115404303501925,-0.303358606711208,0.143444976076555,0.152628236261068,0.0364341085271318,0.0666666666666667,0.193389074693423,0.1,0.0666666666666667,0.0666666666666667,0.117973873073211,0.213184778184778,0.0990476190476191,0.11703323055841,0.11456721646475,0.120512820512821,0.126395173453997,0.325990783410138,-0.0409983896940419,-0.0336438923395445
"TGFR",0.104367816091954,0.112281485156702,0.0733333333333333,0.121215974527713,0.233333333333333,0.204761904761905,0.0799491932303956,0.0458333333333333,0.0458333333333333,0.0458333333333333,0.0399853801169591,0.103814973772055,0.218861209964413,0.0672935775265082,0.0896489723450994,0.090127441244621,0.0928571428571429,0.0834231805929919,0.0428571428571429,-0.08,-0.329302837973448,-0.0383291562238931,0.08,-0.0410688822512903,-0.0538847117794486,-0.0535612968591692,-0.0521428571428571,-0.0380952380952381,-0.0612176919737829,-0.0660038257542822,-0.0666666666666667,0,-0.0909775817339391,-0.107232704402516,-0.116666666666667,-0.148827348465297,0.262888835302628,-0.116049382716049,-0.14008658008658,-0.195459579180509,-0.204761904761905,-0.144329609207348,-0.233333333333333,-0.153333333333333,-0.136666666666667,-0.181551887899938,-0.269506016911488,-0.157380254154448,-0.164853563762989,-0.177594851938438,-0.160804597701149,-0.182679597701149,-0.348191027692642,-0.0387762517886433,-0.0374818386546075
"TGF",0.0733333333333333,0.104367816091954,0.0533333333333333,0.126350448855341,0.233333333333333,0.233333333333333,0.0813380821192844,0.0369047619047619,0.0369047619047619,0.0369047619047619,0.0458333333333333,0.111111111111111,0.2,0.0693097065587663,0.090127441244621,0.107232704402516,0.0428571428571429,0.0928571428571429,0,-0.08,-0.31005755495458,-0.0538847117794486,0.08,-0.0383291562238931,-0.0380952380952381,-0.0521428571428571,0.08,-0.0666666666666667,-0.0642200014426051,-0.0834231805929919,0,0,-0.0896489723450994,-0.116666666666667,-0.0666666666666667,-0.145249835688465,0.253797926211719,-0.1,-0.122943722943723,-0.204761904761905,-0.204761904761905,-0.148807221147647,-0.2,-0.133333333333333,-0.153333333333333,-0.192421453117329,-0.2703909726637,-0.160606060606061,-0.157380254154448,-0.182679597701149,-0.136666666666667,-0.160804597701149,-0.328540372670807,-0.0376441763169452,-0.0285532672260361
"cfos",-0.188461538461538,-0.177692307692308,-0.15,-0.113744588744589,-0.0666666666666667,-0.0416666666666667,-0.288808417859513,-0.195533769063181,-0.195533769063181,-0.195533769063181,-0.183338647111961,-0.218587848932677,-0.126510822510823,-0.222694270253781,-0.168239328437348,-0.158338338338338,-0.22,-0.171851851851852,-0.2,-0.0857142857142857,0.39198278181329,-0.0617391304347826,0.128571428571429,-0.0566543846720707,-0.04,0.139444868856634,0.169747899159664,0.12,0.113807530882099,0.156062378167641,0.2,0.1,0.171572661770682,0.171851851851852,0.22,0.2060524894676,-0.319896443425855,0.197222222222222,0.183962703962704,0.0100877192982456,0.0416666666666667,0.0949275362318841,0.1,0.0666666666666667,0.080952380952381,0.1321875,0.240254260507425,0.102380952380952,0.124961597542243,0.128343858451385,0.147619047619048,0.144393241167435,0.342411696385871,-0.0363426726622852,-0.0236190476190476
"NFB",-0.0685425685425685,-0.0782199878974073,-0.0415584415584416,0.0622365869424693,0.228571428571429,0.128571428571429,0.243386245466,-0.109029251126846,-0.109029251126846,-0.109029251126846,-0.101069052121871,0.0325278622087133,-0.029140989729225,0.150706468192403,0.0215708818583738,0.0114442995798928,-0.0239316239316239,-0.0162393162393162,0.0222222222222222,-0.0111111111111111,0.198732578572869,-0.0384126984126984,0.0338383838383838,-0.0456022408963585,-0.0228571428571429,0.0722991433320547,0.0634383838383838,-0.0428571428571429,-0.0346389197453718,-0.0107269758955152,-0.0222222222222222,-0.1,-0.0171002936230797,0.0162393162393162,0.0239316239316239,0.0352409822625021,-0.153082345650321,0.153210968597966,0.0214515903040493,-0.166229086229086,-0.152895752895753,-0.0404043196225859,-0.3,-0.04,-0.06,-0.0151142066665318,0.0288615458499386,-0.0388751375137514,-0.0385033903018555,-0.0211241902475804,-0.0414814814814815,-0.0138952745849298,0.0345706352080854,-0.0359691181977933,-0.0476190476190476
"STAT",-0.0817170111287758,-0.0749208946239215,-0.0411764705882353,0.072311971517579,-0.1,-0.1,-0.0740350964668443,0.0210142679900744,0.0210142679900744,0.0210142679900744,0.0314620291841043,0.0441237194178371,-0.201257379968025,0.0610757977764185,0.0111853490008064,0.0133935508935509,-0.0375,-0.00113636363636364,0,0.0454545454545455,0.338443607674377,-0.00431372549019608,-0.00170454545454545,-0.00323845667299178,0.0133333333333333,0.025857112313062,0.0456638755980861,0.0333333333333333,0.012127114586745,-0.0148300229182582,0,0,-0.0117812965574214,0.00113636363636364,0.0375,0.0963181286889832,-0.278933076797562,0.0334154351395731,0.127065637065637,0.0630347054075868,0.0952380952380952,0.0953333333333334,0.1,0.05,0.05,0.0685160008853784,0.189923674011124,0.0938003220611916,0.111041701371536,0.108844755436647,0.123333333333333,0.125658914728682,0.289404226312202,-0.0358615743231128,-0.127153891859774
"PI3K",-0.173076923076923,-0.176302729528536,-0.15,0.00281385281385281,-0.1,-0.1,-0.19773772646203,-0.0527965367965368,-0.0527965367965368,-0.0527965367965368,-0.0390979066595505,-0.234571428571429,0.0099831426987521,0.0768128810935752,-0.164627099748691,-0.178751393534002,-0.233333333333333,-0.220289855072464,-0.2,0.075,0.192818864923641,-0.0366946778711485,-0.0455882352941176,-0.0416127106580337,-0.019047619047619,-0.0175231946437111,-0.0215882352941176,-0.0333333333333333,0.0145791635230714,0.178751393534002,0.2,0.1,0.175967305934259,0.220289855072464,0.233333333333333,0.141155952740889,-0.151007303876156,0.0980769230769231,0.0293794440853264,0.0644042232277526,0.0823529411764706,0.0460330272760905,0,0.1,0.1,0.101228070175439,0.0327576489533011,0.0587434973989596,0.0611434973989596,0.118803418803419,0.116666666666667,0.124358974358974,0.063581881533101,-0.0353828488891053,-0.0489035087719298
"ILK",-0.173076923076923,-0.176302729528536,-0.15,0.00281385281385281,-0.1,-0.1,-0.19773772646203,-0.0527965367965368,-0.0527965367965368,-0.0527965367965368,-0.0390979066595505,-0.234571428571429,0.0099831426987521,0.0768128810935752,-0.164627099748691,-0.178751393534002,-0.233333333333333,-0.220289855072464,-0.2,0.075,0.192818864923641,-0.0366946778711485,-0.0455882352941176,-0.0416127106580337,-0.019047619047619,-0.0175231946437111,-0.0215882352941176,-0.0333333333333333,0.0145791635230714,0.178751393534002,0.2,0.1,0.175967305934259,0.220289855072464,0.233333333333333,0.141155952740889,-0.151007303876156,0.0980769230769231,0.0293794440853264,0.0644042232277526,0.0823529411764706,0.0460330272760905,0,0.1,0.1,0.101228070175439,0.0327576489533011,0.0587434973989596,0.0611434973989596,0.118803418803419,0.116666666666667,0.124358974358974,0.063581881533101,-0.0353828488891053,-0.0489035087719298
"Csn",-0.223015873015873,-0.211477411477411,-0.203535353535354,0.0106312143098561,0.025,0.05,-0.230484034020518,-0.104086787629945,-0.104086787629945,-0.104086787629945,-0.0935301657489469,-0.250435552407932,-0.0249368863955119,0.0519536574219179,-0.207824485063735,-0.196570465771131,-0.246551724137931,-0.206792687993353,-0.25,0.0159090909090909,0.300961124896609,-0.0382251082251082,0.0094640434192673,-0.0361417748917749,-0.0239393939393939,0.00330774943481102,0.0274127613679853,0.00333333333333333,0.0453440270301168,0.195002294980252,0.25,0.2,0.214018111040885,0.206792687993353,0.246551724137931,0.180489683056638,-0.23385139912318,0.15759022252969,0.0712136685854095,-0.0709666666666667,-0.0541666666666667,0.0732142857142857,-0.1,0.0857142857142857,0.0968253968253968,0.109399535519447,0.0961895490773097,0.0845794513457557,0.0987182688264755,0.115577700400545,0.136219336219336,0.128692454498906,0.151089315091594,-0.0333631100082713,-0.0264210299504417
"NOTCH",-0.00857142857142857,-0.144055299539171,0.02,-0.0487112504353884,-0.1,-0.0666666666666667,-0.190017716488305,-0.0987878787878788,-0.0987878787878788,-0.0987878787878788,-0.100237154150198,-0.0809703504043127,-0.114372881355932,-0.0686778046404215,-0.0569030969030969,-0.0711888111888112,-0.06,-0.0984615384615385,0,-0.1,0.345088566827697,-0.0133333333333333,0.0666666666666667,-0.0276190476190476,0.02,0.128602150537634,0.0866666666666667,0,0.0410336076430022,0.0711888111888112,0,0,0.0622092193520765,0.0984615384615385,0.06,0.104531409168081,-0.295844155844156,0.125263157894737,0.137135278514589,0.0666666666666667,0.0555555555555556,0.194927536231884,0,0.1,0.0666666666666667,0.127907647907648,0.222179487179487,0.102380952380952,0.0990476190476191,0.126395173453997,0.0666666666666667,0.120512820512821,0.298571428571429,-0.0328502415458937,-0.0550724637681159
"SHH",0.2,0.2,0.1,0.176923076923077,0,0,0.193026819923372,0.2,0.2,0.2,0.207692307692308,0.152380952380952,0.125,0.179480519480519,0.0333333333333333,0,0.2,0.1,0.2,0.2,-0.325,0,-0.233333333333333,0.02,-0.1,-0.293333333333333,-0.333333333333333,0,0.0385663082437276,-0.1,-0.1,0,-0.0444444444444444,0,-0.1,-0.0880555555555556,0.216666666666667,-0.25,-0.22,0.1,0.1,0,0,0,0,-0.0657142857142857,-0.216666666666667,0,-0.0166666666666667,-0.173333333333333,-0.1,-0.133333333333333,-0.275,-0.025,-0.05
"SRC",0.0621428571428571,0.0335714285714286,0.105,0.061038961038961,-0.1,-0.1,-0.029771649729534,-0.0122486441385065,-0.0122486441385065,-0.0122486441385065,-0.013763795653658,0.0191359598792979,-0.143781735505873,0.035594839942666,-0.00527389044382247,-0.0186885245901639,0,-0.04,0.1,-0.0666666666666667,0.292976939203354,0.0868686868686869,0.0416666666666667,0.0812083095101963,0.0757575757575758,0.117943722943723,0.0797619047619048,0.0666666666666667,0.030035922766053,0.0186885245901639,0,0,0.00102333115970614,0.04,0,0.11471854398325,-0.241797687015078,0.135714285714286,0.115281850765722,0.117521367521368,0.123076923076923,0.0517957629923866,0.1,0.0333333333333333,-0.0166666666666667,0.0569436603152199,0.222481957025478,0.0366228070175439,0.0339201043148412,0.0528976034858388,0.00333333333333333,0.0440740740740741,0.307871148459384,-0.00553309374064091,-0.125516795865633
"SOSGRB2",-0.186013986013986,-0.193056239535113,-0.209090909090909,0.00461298713753132,-0.1,-0.133333333333333,-0.30605657803743,0.00941619585687382,0.00941619585687382,0.00941619585687382,0.0042879907286687,0.00189081408140814,0.00489855072463768,0.0991825847530546,0.0113719080309469,-0.000207039337474121,0.0142857142857143,0.00595238095238095,0,-0.0428571428571429,0.0843859649122807,-0.129386529386529,0.0428571428571429,-0.126356226356226,-0.115873015873016,0.0334463408931494,0.0313186813186813,-0.104761904761905,-0.0872602862602863,-0.00450310559006211,0,0,-0.0107982942642165,-0.00124223602484472,-0.0142857142857143,-0.0906291695696364,-0.0871669946265042,-0.0180555555555556,0.0787646198830409,0.0923245614035088,0.0964912280701754,0.0728219696969697,0,0.2,0.233333333333333,0.191773983106133,-0.00755792466240227,0.176559139784946,0.173062636288443,0.185281793421328,0.183333333333333,0.180630630630631,0.0455189255189255,-0.00205513784461153,0.00508771929824562
"Patched",0.2,0.190909090909091,0.2,0.191208791208791,0,-0.1,0.213026819923372,0.207692307692308,0.207692307692308,0.207692307692308,0.220192307692308,0.170562770562771,0.0916666666666667,0.189370629370629,0.0444444444444444,0.0333333333333333,0.1,0.1,0.2,0.233333333333333,-0.316666666666667,0.02,-0.333333333333333,0.0276923076923077,0,-0.268333333333333,-0.293333333333333,-0.1,0.033010752688172,-0.125,-0.1,-0.1,-0.0454153182308522,0,0,-0.0967934196332254,0.230952380952381,-0.216666666666667,-0.205714285714286,0.114285714285714,0.1,-0.00769230769230769,0,0,-0.1,-0.0916402116402117,-0.206989247311828,-0.0166666666666667,-0.0366666666666667,-0.185833333333333,-0.133333333333333,-0.173333333333333,-0.265,0,-0.0166666666666667
