"","IKK","NFB","SMO","Patched","SUFU","Csn","TrCP","Jagged","NOTCHic","RKIP","KLF4","MEK","RAS","PI3K","DELTA","Destcompl","FOXC2","DSH","TGFR","PAK1","TGF","CDC42","cateninmemb","cateninnuc","LIV1","CD44","TCFLEF","GLI","SRC","cMet","Wnt","Frizzled","SOSGRB2","AXIN2","ZEB2","STAT","RAF","Ecadherin","ERK","cfos","SNAI2","TWIST1","EGR1","miR200","NOTCH","Csl","FUS","GSK3","SNAI1","SHH","ZEB1","ILK","SMAD","AKT","HEY1"
"TWIST1",0.00769230769230769,0.00769230769230769,0.294666666666667,0.312474885844749,0.233333333333333,0,0,0.237772997781214,0.211339031339031,0.237501452718844,0.207848655409631,0.0173617040654849,-0.105715522376557,-0.107085385390256,-0.107085385390256,0.262277324636801,0.0873271889400922,0.195238095238095,0.15307079414838,0.142424242424242,0.156487650640408,0.14932079414838,-0.126147085531771,0.237665339231082,-0.166666666666667,-0.228070132607431,-0.234042567523204,-0.229338680033417,-0.206349206349206,-0.221242823370483,-0.222138680033417,-0.206349206349206,-0.247096559682372,-0.140699569247956,-0.20745570131535,-0.195238095238095,0.107085385390256,0.352696315705276,-0.0148741418764302,-0.00434782608695652,0.438479305546665,-0.261130816170862,0,0.0883509764874402,-0.221716389829597,-0.198518518518519,-0.266666666666667,-0.240730823874508,-0.253859976836193,-0.32774582180534,-0.168291976186713,-0.1997451997452,-0.209316156840909,-0.0161668839634941,-0.215620537654436
"SNAI2",-0.0744252873563218,-0.0916666666666667,0.189411764705882,0.21594237695078,0.1,-0.0666666666666667,-0.1,0.229651479114892,0.193421052631579,0.194064102564103,0.187884615384615,0.127715951245363,-0.08767838747254,-0.0881350084771062,-0.0881350084771062,0.255233259788839,-0.0676429957348328,0.169090909090909,0.0443007972419737,0.0274509803921569,0.0498908593537749,0.0417366946778711,-0.11549778177873,0.227474308633638,-0.16,-0.217607816989916,-0.222350085031153,-0.218073575140684,-0.197662337662338,-0.204704591183464,-0.204704591183464,-0.197662337662338,-0.145977011494253,-0.129065123591525,-0.19053702538284,-0.169090909090909,0.0881350084771062,0.36704886353706,-0.119607843137255,-0.117647058823529,0.439666127889674,-0.248520682715684,-0.1,0.0828329388422096,-0.201213260423787,-0.174122807017544,-0.16,-0.239870550105992,-0.22168571821571,-0.228618433288808,-0.14858506398154,-0.10878604963112,-0.122661647717244,0.0708108295249965,-0.115415913200723
"Csl",0.173643410852713,0.166666666666667,0.168174962292609,0.160648080572179,0.133333333333333,0.122222222222222,0.133333333333333,0.124552591907724,0.115331069609508,0.181964787211619,0.183146997929607,0.0811594202898551,0.0209806756285723,0.017304205040337,0.017304205040337,-0.0266064577255952,0.0971975664570612,-0.0123076923076923,0.0939293655685684,0.0848888888888889,0.0905280050243507,0.0945663082437276,0.0460686714531346,-0.0510083072075624,0.02,0.0454202939917226,0.0483210573505012,0.0428062260320325,0.0395804195804196,0.0384815184815185,0.0363546131288067,0.0395804195804196,-0.0315777803711051,0.0241621107869835,-0.177734094892394,0.0123076923076923,-0.017304205040337,-0.125864872158235,-0.0833333333333333,-0.0719047619047619,-0.216802176755799,-0.140414473517987,-0.0933333333333333,-0.00181210757205317,-0.113512887791326,-0.123225806451613,-0.156410256410256,-0.0413754793469107,-0.25896477918217,-0.167544632296317,-0.162867501178815,-0.210304898937992,-0.211971565604659,-0.18062015503876,-0.118184580409644
"NOTCH",0.122222222222222,0.133333333333333,0.133333333333333,0.156410256410256,0.1,0.1,0,0.123607503607504,0.02,0.184703801945181,0.170289855072464,0.0719047619047619,0.0168115942028986,0.00666666666666667,0.00666666666666667,-0.0211975607115794,0.0959183673469388,0,0.0848888888888889,0.1,0.0945663082437276,0.0888888888888889,0.0438312310799591,-0.0454202939917226,0,0.0395804195804196,0.0384815184815185,0.0395804195804196,0.02,0.0123076923076923,0.0123076923076923,0.02,-0.0336842105263158,0.0250404312668464,-0.177697262479871,0,-0.00666666666666667,-0.119923599320883,-0.0933333333333333,-0.06,-0.207634848811319,-0.145525423728814,0,0.00796536796536797,-0.123225806451613,-0.02,-0.133333333333333,-0.0433472657610589,-0.262948717948718,-0.168174962292609,-0.166747181964573,-0.197619047619048,-0.200952380952381,-0.166666666666667,-0.105072463768116
"DELTA",0.133333333333333,0.1,0.133333333333333,0.133333333333333,0,0,0,0.134718614718615,0.02,0.174358974358974,0.183333333333333,0.0933333333333333,0.00666666666666667,0.00666666666666667,0.00666666666666667,-0.0183938223938224,0.0857142857142857,0,0.0888888888888889,0,0.0848888888888889,0.1,0.0380720687762941,-0.0384815184815185,0,0.0123076923076923,0.0395804195804196,0.0123076923076923,0,0.02,0.02,0,-0.06,0.00428571428571428,-0.170289855072464,0,-0.00666666666666667,-0.111052631578947,-0.06,0,-0.199698340874811,-0.154,-0.1,-0.000606060606060606,-0.02,0,-0.1,-0.0478927203065134,-0.258333333333333,-0.156410256410256,-0.151932367149758,-0.183333333333333,-0.197619047619048,-0.122222222222222,-0.0833333333333333
"Ecadherin",-0.0303703703703704,-0.0266666666666667,0.141666666666667,0.147043010752688,0.1,-0.06,0,0.130840608403932,0.151174468504908,0.145176831372658,0.1643225503985,0.112338423654373,-0.0398650749513385,-0.042658371040724,-0.042658371040724,0.210658084143556,-0.039025005041339,0.107843137254902,0.0540443458980044,0.0507272727272727,0.0535018504188001,0.0467272727272727,-0.0189255832243637,0.123529051271576,-0.0666666666666667,-0.117053684038755,-0.122408603092304,-0.117441105712534,-0.100866393068855,-0.11738813219929,-0.1181077723792,-0.100866393068855,-0.116607986518612,-0.0741459471221014,-0.160191065201336,-0.107843137254902,0.042658371040724,0.0770324780427886,-0.112730580517118,-0.101390374331551,0.157127406441724,-0.136588503061063,-0.107272727272727,0.0569480881212725,-0.158981159954722,-0.150143540669856,-0.116666666666667,-0.198897724307478,-0.176104337774805,-0.161216239099145,-0.113323013415893,-0.100927536231884,-0.10891785100186,0.0212794612794613,-0.105083956706539
"cateninmemb",-0.0303703703703704,-0.0266666666666667,0.141666666666667,0.147043010752688,0.1,-0.06,0,0.130840608403932,0.151174468504908,0.145176831372658,0.1643225503985,0.112338423654373,-0.0398650749513385,-0.042658371040724,-0.042658371040724,0.210658084143556,-0.039025005041339,0.107843137254902,0.0540443458980044,0.0507272727272727,0.0535018504188001,0.0467272727272727,0.0989356433909604,0.123529051271576,-0.0666666666666667,-0.117053684038755,-0.122408603092304,-0.117441105712534,-0.100866393068855,-0.11738813219929,-0.1181077723792,-0.100866393068855,-0.116607986518612,-0.0741459471221014,-0.160191065201336,-0.107843137254902,0.042658371040724,-0.185436007492534,-0.112730580517118,-0.101390374331551,0.157127406441724,-0.136588503061063,-0.107272727272727,0.0569480881212725,-0.158981159954722,-0.150143540669856,-0.116666666666667,-0.198897724307478,-0.176104337774805,-0.161216239099145,-0.113323013415893,-0.100927536231884,-0.10891785100186,0.0212794612794613,-0.105083956706539
"KLF4",-0.0266666666666667,-0.06,0.116666666666667,0.141666666666667,0,0,-0.1,0.127408114124756,0.150143540669856,0.139558853844568,0.159259259259259,0.112730580517118,-0.042658371040724,-0.0419230769230769,-0.0419230769230769,0.205998251897517,-0.0337618471466021,0.0666666666666667,0.0467272727272727,0.0227272727272727,0.0540443458980044,0.0507272727272727,-0.0246948139935945,0.122408603092304,-0.1,-0.11738813219929,-0.117053684038755,-0.1181077723792,-0.107843137254902,-0.100866393068855,-0.100866393068855,-0.107843137254902,-0.119239565465981,-0.0817748131014828,-0.154029927760578,-0.0666666666666667,0.0419230769230769,0.18014834951309,-0.101390374331551,-0.107272727272727,0.156344745394162,-0.133795206971678,-0.08,0.0616035816035816,-0.151174468504908,-0.129090909090909,-0.1,-0.193158209958693,-0.163762565622906,-0.147043010752688,-0.113323013415893,-0.0893333333333333,-0.100927536231884,0.0303703703703704,-0.0936745607333843
"HEY1",-0.0266666666666667,-0.06,0.116666666666667,0.141666666666667,0,0,-0.1,0.127408114124756,0.150143540669856,0.139558853844568,0.159259259259259,0.112730580517118,-0.042658371040724,-0.0419230769230769,-0.0419230769230769,0.205998251897517,-0.0337618471466021,0.0666666666666667,0.0467272727272727,0.0227272727272727,0.0540443458980044,0.0507272727272727,-0.0246948139935945,0.122408603092304,-0.1,-0.11738813219929,-0.117053684038755,-0.1181077723792,-0.107843137254902,-0.100866393068855,-0.100866393068855,-0.107843137254902,-0.119239565465981,-0.0817748131014828,-0.154029927760578,-0.0666666666666667,0.0419230769230769,0.18014834951309,-0.101390374331551,-0.107272727272727,0.156344745394162,-0.133795206971678,-0.08,0.0616035816035816,-0.151174468504908,-0.129090909090909,-0.1,-0.193158209958693,-0.163762565622906,-0.147043010752688,-0.113323013415893,-0.0893333333333333,-0.100927536231884,0.0303703703703704,-0.0936745607333843
"FOXC2",-0.0266666666666667,-0.06,0.116666666666667,0.141666666666667,0,0,-0.1,0.127408114124756,0.150143540669856,0.139558853844568,0.159259259259259,0.112730580517118,-0.042658371040724,-0.0419230769230769,-0.0419230769230769,0.205998251897517,-0.0337618471466021,0.0666666666666667,0.0467272727272727,0.0227272727272727,0.0540443458980044,0.0507272727272727,-0.0246948139935945,0.122408603092304,-0.1,-0.11738813219929,-0.117053684038755,-0.1181077723792,-0.107843137254902,-0.100866393068855,-0.100866393068855,-0.107843137254902,-0.119239565465981,-0.0817748131014828,-0.154029927760578,-0.0666666666666667,0.0419230769230769,0.18014834951309,-0.101390374331551,-0.107272727272727,0.156344745394162,-0.133795206971678,-0.08,0.0616035816035816,-0.151174468504908,-0.129090909090909,-0.1,-0.193158209958693,-0.163762565622906,-0.147043010752688,-0.113323013415893,-0.0893333333333333,-0.100927536231884,0.0303703703703704,-0.0936745607333843
"miR200",-0.017593984962406,-0.0147368421052632,0.0266666666666667,0.0329957805907173,0.02,-0.02,0,0.0409516982338368,0.0411822660098522,0.0367349900577686,0.118616287094548,0.0195114409400124,-0.0859185369908562,-0.0866666666666667,-0.0866666666666667,0.180002292615128,-0.0103673562210148,0.12,0.0137650221378874,0.0125,0.0149278128355618,0.0105392156862745,-0.0974000650241996,0.138175510157559,-0.1,-0.133637270619319,-0.136811873793922,-0.133240055718929,-0.124347826086957,-0.131390079608083,-0.131042253521127,-0.124,-0.0290909090909091,-0.0896774586838532,-0.120779569892473,-0.12,0.0866666666666667,0.218857147994739,-0.0188311688311688,-0.0142857142857143,0.144221302390634,-0.13653224076537,-0.0142857142857143,0.00579871828791487,-0.0462670117725641,-0.0377339901477833,-0.02,-0.100176678224258,-0.050966625966626,-0.038430563199413,0.0853539426523297,-0.0118321861684694,-0.0146535027828894,0.0138204000567456,-0.0134745762711864
"Patched",0.15,0.1,0.2,0.08,0.2,0,0,-0.127619047619048,-0.166666666666667,-0.00857142857142857,0.0888888888888889,0.00307692307692308,-0.00144230769230769,-0.00769230769230769,-0.00769230769230769,-0.388251748251748,0.045,0,0.106666666666667,0.166666666666667,0.0733333333333334,0.0666666666666667,-0.153691756272401,-0.32621359223301,0.1,0.283333333333333,0.3,0.175,0.2,0.25,0.15,0.1,-0.0166666666666667,0.112987012987013,-0.1,0.1,0.00769230769230769,-0.0545873786407767,0.02,0,-0.354360153256705,0.140740740740741,-0.1,-0.0357142857142857,0.175757575757576,0.2,-0.1,0.333699633699634,0.0354838709677419,-0.0425,0,-0.1,-0.1,-0.164285714285714,-0.0948717948717949
"RAS",0.08,0.1,0,-0.004,-0.1,0,0.1,0.0124935935343978,-0.0447368421052632,0.172553459119497,0.0746428571428571,-0.091171310629515,0.0483333333333333,0.138717948717949,0.138717948717949,0.202665169525635,0.0836507936507936,0.1,0.105882352941176,0.1,0.102912055911473,0.1,0.0154352325778855,0.157756080478676,0,-0.143304130162703,-0.154073360931934,-0.141176470588235,-0.1,-0.141176470588235,-0.141176470588235,-0.1,-0.137229437229437,-0.106218708827404,-0.0756737849779087,-0.1,-0.138717948717949,0.0657166195419758,0.0892105263157895,0.105,0.313908975365067,-0.0252045826513912,0.08,0.0598461538461538,0.0353028798411122,0.05,0,-0.117764857881137,-0.0930285152409046,-0.0112542372881356,-0.0822643593519882,0.00909090909090909,0.00705009276437848,-0.08,0.0130434782608696
"SMO",0.164285714285714,0.15,0.08,0.0425,0.1,0.1,0,-0.138333333333333,-0.175757575757576,-0.0363492063492063,0.0888888888888889,4.66200466200467e-05,-0.00376788908765653,-0.00144230769230769,-0.00144230769230769,-0.410732368406787,0.045,-0.1,0.0733333333333334,0.0666666666666667,0.067927927927928,0.106666666666667,-0.168254863068518,-0.334484268924739,0.1,0.3,0.32621359223301,0.191666666666667,0.25,0.283333333333333,0.175,0.15,-0.0324561403508772,0.112987012987013,-0.064406779661017,0.2,0.00144230769230769,-0.0468383011500018,-0.00307692307692308,0.02,-0.366741105637657,0.167211328976035,0,-0.0344484629294756,0.195757575757576,0.166666666666667,-0.2,0.357971478359828,0.0521505376344086,-0.0313888888888889,0.00169491525423729,-0.1,-0.0857142857142857,-0.144285714285714,-0.0901098901098901
"SUFU",0.148131868131868,0.144285714285714,0.0313888888888889,0.0162373737373737,0.08,0.164285714285714,0.15,-0.171659035190644,-0.204848484848485,-0.0706096734226337,0.0422019349279583,-0.0167692273488312,-0.00586285343456936,-0.00333120786494911,-0.00333120786494911,-0.436852967404835,0.0478797179051848,-0.175,0.0668640981406939,0.0733333333333334,0.0615386543537117,0.067927927927928,-0.183356445555225,-0.349231711379982,0.25,0.334484268924739,0.343451660229087,0.225652940615766,0.3,0.32621359223301,0.218589743589744,0.191666666666667,0.00460679671205987,0.128586239135063,-0.0482187591518441,0.283333333333333,0.00333120786494911,-0.0365864777226638,0.0171947592637248,-4.66200466200467e-05,-0.376291278484235,0.203126479836941,-0.00307692307692308,-0.033090297373143,0.218340548340548,0.195757575757576,-0.0425,0.391071529085898,0.0925751462937252,0.00499814749814749,0.0229746639279577,-0.068294930875576,-0.0606736837624121,-0.140749317796298,-0.0630974926941401
"ZEB1",-0.224676445211389,-0.226315789473684,-0.134469696969697,-0.122704991087344,-0.158333333333333,-0.2,-0.2,-0.113377523513371,-0.0775735294117647,-0.0755869275791906,0.0287008190975908,-0.0567202211280988,-0.124610385586043,-0.123508023381318,-0.123508023381318,0.199213329517372,-0.048795464830764,0.0714285714285714,-0.00724679961203831,-0.0145593869731801,-0.000947587013613117,0.00138264201232717,-0.0772916205258951,0.130542575754213,-0.1,-0.12366307373481,-0.125258818415661,-0.117634963310095,-0.108630393996248,-0.112551962623699,-0.106982042347896,-0.103135888501742,-0.0098635477582846,-0.085638027865944,-0.0228657956089828,-0.0769230769230769,0.123508023381318,0.276663680323923,0.0598039215686274,0.0633333333333333,0.242885848119999,-0.044811851984896,0.0833333333333333,0.172895400217596,0.0726148517258143,0.0854166666666667,0.120833333333333,-0.0627869968919837,0.080646059367041,0.115231681478803,0.208350885966196,0.212987205440665,0.212025666979126,0.231819302354246,0.221764858630144
"cMet",0.273333333333333,0.266666666666667,0.02,0.0654545454545455,0.1,0.3,0.2,0.0536130536130536,-0.163157894736842,-0.0340740740740741,-0.103174603174603,-0.0981818181818182,0.281922731356694,0.283809523809524,0.283809523809524,0.206660157920662,0.0264240506329114,-0.1,0.0116666666666667,0.02,0.020177304964539,-0.005,0.122227067120306,-0.0480113802896617,0.1,0.0583720930232558,0.0491413237924866,0.0563636363636364,0.15,0.07,0.07,0.05,0.0466666666666667,0.0525396825396825,-0.016017316017316,0.2,-0.283809523809524,-0.165039259122363,0.1,0.08,-0.164274914055936,-0.00405729102358316,0.1,-0.0307529095300834,0.156774916013438,0.2,0,-0.234254992319508,-0.0984037520612008,-0.0529545454545455,-0.00418470418470419,-0.0675736961451247,-0.0712100597814883,-0.304583333333333,-0.0669762641898865
"TGF",0.00833333333333333,0.00833333333333333,0.0966666666666667,0.113908045977011,0.133333333333333,0.0333333333333333,0,0.0868740795287187,0.223333333333333,0.0471861471861472,-0.0041952707856598,-0.1421888053467,-0.120833333333333,-0.120833333333333,-0.120833333333333,-0.0801227371270843,0.114145962732919,-0.1,0.197777777777778,0.22,0.106706349206349,0.197777777777778,0.0694889501996066,-0.0955567090969276,0,0.0923270440251572,0.0936428334988414,0.0828032345013477,0.0666666666666667,0.0866666666666667,0.0771428571428571,0.0571428571428571,-0.234210526315789,0.0723985890652557,-0.00489563830524929,0.1,0.120833333333333,-0.105370176282804,0.131077694235589,0.104761904761905,-0.0352061091182239,0.0498148148148148,0.133333333333333,0.0526327599603462,-0.216436781609195,-0.213333333333333,-0.113333333333333,0.126794644798559,0.0541640178003814,-0.0951580459770115,-0.068739107320343,-0.104242424242424,-0.0977908113391984,-0.018859649122807,-0.136621534493875
"TGFR",0.018859649122807,0.00833333333333333,0.113908045977011,0.0951580459770115,0.113333333333333,0.00833333333333333,0.0333333333333333,0.0832508911229216,0.216436781609195,0.0371861471861472,0.00294758635719734,-0.136709353291906,-0.121418128654971,-0.120833333333333,-0.120833333333333,-0.0833485435786972,0.104975657056063,-0.0571428571428571,0.106706349206349,0.197777777777778,0.0981957109084769,0.197777777777778,0.0692580033173895,-0.098125353915351,0.1,0.0936428334988414,0.0955567090969276,0.0834483957916703,0.0866666666666667,0.0923270440251572,0.0828032345013477,0.0771428571428571,-0.235445094217024,0.0754028809107493,-0.0030088458524191,0.0666666666666667,0.120833333333333,-0.102303736759805,0.1421888053467,0.131077694235589,-0.0359005535626683,0.0565763806511137,0.104761904761905,0.0435418508694371,-0.208523112544447,-0.223333333333333,-0.0966666666666667,0.129484131351126,0.0597687375643932,-0.0889433567114748,-0.0562862771316638,-0.0977908113391984,-0.100281914542045,-0.00955732354141167,-0.129158847926711
