"","EGR1","RKIP","ERK","MEK","TWIST1","SNAI1","NOTCH","Csl","NOTCHic","FUS","SMO","RAF","STAT","AXIN2","Destcompl","cMet","RAS","LIV1","cateninmemb","SRC","ZEB2","ZEB1","TGF","SOSGRB2","miR200","CDC42","TGFR","PAK1","GSK3","Ecadherin","CD44","cateninnuc","Frizzled","GLI","TCFLEF","Wnt","PI3K","DELTA","KLF4","SUFU","HEY1","DSH","SHH","SMAD","ILK","Patched","AKT","SNAI2","NFB","TrCP","Jagged","IKK","Csn","cfos","FOXC2"
"MEK",-0.08,-0.122276278932626,-0.0946735143066764,-0.17300684764001,0.0212249841661606,-0.122289791982251,0.0449279431031256,0.0333333333333333,0.0602564102564103,-0.1,-0.096,-0.208055833055833,0.1,0.166264048858986,0.0997016292266181,0.12246963562753,-0.193135198135198,0.1,0.0960121978916814,0.126315789473684,-0.275692742137505,-0.275692742137505,0.136093477434633,-0.113777777777778,-0.289625674094828,-0.134285714285714,-0.125874499332443,-0.12,0.289525695908675,-0.165751052948561,-0.132959146117041,-0.134258369515359,-0.12,-0.126643356643357,-0.128124540519076,-0.116153846153846,0.208055833055833,0.208055833055833,-0.256193208990913,0.1,0.0653531834019639,-0.1,0.0950356798457088,0.0599981209556754,0.0603671246457123,0.100918032786885,0.185791953144894,0.276559194200065,0.189285714285714,0.2,0.0369836874046565,0.210497835497835,0.214285714285714,0.0627586206896552,0.149323328633673
"ERK",-0.0627586206896552,-0.114198284503656,-0.17300684764001,-0.186655872709648,0.0252471755669928,-0.133400903093362,0.057947333684843,0.0602564102564103,0.0449279431031256,-0.096,-0.100918032786885,-0.193135198135198,0.126315789473684,0.166426650485002,0.110036089955667,0.132959146117041,-0.20490637525291,0.1,0.0936202935678544,0.12246963562753,-0.273645498043017,-0.273645498043017,0.130873697214853,-0.103098166127292,-0.295017830957573,-0.125874499332443,-0.136093477434633,-0.134285714285714,0.276174197271072,-0.163451018619691,-0.128124540519076,-0.130647258404248,-0.116153846153846,-0.121881451881452,-0.134258369515359,-0.126643356643357,0.193135198135198,0.193135198135198,-0.273247472556805,0.1,0.0650118864736362,-0.12,0.0984173223577861,0.059086266852332,0.0599981209556754,0.0950356798457088,0.194048833878839,0.273132683830362,0.210497835497835,0.214285714285714,0.0396945307781505,0.185791953144894,0.189285714285714,0.0946735143066764,0.143340422650767
"AXIN2",-0.126666666666667,-0.205663082437276,-0.136696299673277,-0.12083423070776,0.00220093932061478,-0.181122441500786,0.125500745106008,0.110877192982456,0.13766290726817,-0.123076923076923,-0.113553113553114,-0.100338283167003,0.16,0.571796458234426,0.185830851472347,0.181611868484362,-0.0835403829045357,0.166666666666667,-0.150658149154037,0.190232558139535,-0.262848824827098,-0.262848824827098,0.1835780631898,0.00776035247283494,-0.277534182319206,-0.178101851851852,-0.17367707309079,-0.159583333333333,0.194155968237204,-0.0225896325619207,-0.196438366907075,-0.197260469817938,-0.190232558139535,-0.196077277289394,-0.189521602545997,-0.181611868484362,0.100338283167003,0.100338283167003,-0.238183405573712,0.1,-0.0241197877100514,-0.16,0.116252176784964,-0.0360938578329883,-0.0345065562456867,0.122481684981685,0.0677294685990338,-0.227271816285162,0.0695652173913043,0.0666666666666667,-0.180140552749248,0.0855072463768116,0.1,0.109593495934959,0.154026114400822
"RKIP",0.02,-0.110434173669468,-0.0627586206896552,-0.0946735143066764,0.0245216874628639,-0.136392356084815,0.0602564102564103,0.0333333333333333,0.0333333333333333,-0.1,-0.1,-0.186688311688312,0.1,0.157255039849977,0.111417110398166,0.126315789473684,-0.208055833055833,0,0.0952804905746082,0.1,-0.258232424677188,-0.258232424677188,0.125874499332443,-0.107111111111111,-0.280028150875014,-0.12,-0.134285714285714,-0.1,0.270606776989756,-0.164476007411221,-0.12246963562753,-0.128124540519076,-0.1,-0.116153846153846,-0.132959146117041,-0.12,0.186688311688312,0.186688311688312,-0.254232424677188,0.1,0.0689895470383275,-0.1,0.100918032786885,0.0603671246457123,0.0672978177150193,0.096,0.210497835497835,0.277045812204931,0.214285714285714,0.2,0.0460000808472795,0.189285714285714,0.2,0.08,0.142116121426466
"RAF",0.02,-0.110434173669468,-0.0627586206896552,-0.0946735143066764,0.0245216874628639,-0.136392356084815,0.0602564102564103,0.0333333333333333,0.0333333333333333,-0.1,-0.1,-0.186688311688312,0.1,0.157255039849977,0.111417110398166,0.126315789473684,-0.208055833055833,0,0.0952804905746082,0.1,-0.258232424677188,-0.258232424677188,0.125874499332443,-0.107111111111111,-0.280028150875014,-0.12,-0.134285714285714,-0.1,0.270606776989756,-0.164476007411221,-0.12246963562753,-0.128124540519076,-0.1,-0.116153846153846,-0.132959146117041,-0.12,0.186688311688312,0.186688311688312,-0.254232424677188,0.1,0.0689895470383275,-0.1,0.100918032786885,0.0603671246457123,0.0672978177150193,0.096,0.210497835497835,0.277045812204931,0.214285714285714,0.2,0.0460000808472795,0.189285714285714,0.2,0.08,0.142116121426466
"TGFR",0.00476190476190476,-0.0560606060606061,-0.0099749373433584,-0.00175575926116662,-0.033932384341637,-0.0619738226375395,-0.197156206069627,-0.203333333333333,-0.196436781609195,-0.13,-0.126551724137931,-0.00773809523809524,0,0.0228164195260046,0.0409986533352005,0.0143396226415094,0.0039578111946533,0,0.00927270679268075,0.02,-0.22165667730367,-0.22165667730367,0.146765450861196,-0.104857050032489,-0.233891149019069,-0.0457142857142857,-0.143928571428571,-0.0266666666666667,0.0526250866089813,-0.0327427877273319,-0.0248659384309831,-0.0257508304258467,-0.00571428571428572,-0.00973132771063386,-0.0224735939333755,-5.390835579515e-05,0.00773809523809524,0.00773809523809524,-0.211338127928517,0.113333333333333,0.102930223158867,0.0142857142857143,0.125986752386519,0.123364224265384,0.125855327468231,0.126551724137931,0.0656423034330011,0.127099119940515,0.0726190476190476,0.0333333333333333,0.115920417920642,0.0726190476190476,0.0583333333333333,-0.0100250626566416,0.083701008977732
"SOSGRB2",0.176190476190476,-0.00793128654970759,0.100514800514801,0.0641511641511642,-0.035536231884058,-0.120168443496802,-0.138294100265931,-0.154545454545455,-0.162237762237762,-0.2,-0.2,0.0235404896421846,0.1,0.139081408140814,0.0982160270750875,0.116149068322981,-0.00594668984499493,0,0.103503646503646,0.0857142857142857,-0.201666666666667,-0.201666666666667,0.0975831969448991,-0.242222222222222,-0.229537040540881,-0.09,-0.105384615384615,-0.1,0.128594478608504,-0.166612025869828,-0.108902691511387,-0.113884074222467,-0.0857142857142857,-0.103467908902692,-0.119429007300861,-0.110714285714286,-0.0235404896421846,-0.0235404896421846,-0.201666666666667,0.2,0.0696022727272727,-0.1,0.199622878692646,0.168653282201669,0.173548387096774,0.197297297297297,0.127850877192982,0.300815063668348,0.133333333333333,0.1,0.156673458667638,0.107017543859649,0.1,-0.0761904761904762,0.126593406593407
"Destcompl",-0.0261538461538462,-0.0871684746792734,-0.0397156941419236,-0.0751587321166072,0.00760824436967897,-0.0846404977558411,0.0669186669461131,0.0721269095182139,0.0362573443008226,-0.0758620689655172,-0.0958620689655172,-0.025208317394273,0.0944444444444444,0.189521602545997,-0.0234242355941658,0.0912958040845998,-0.056291519906047,0.0444444444444444,-0.0459686673885661,0.062937595129376,-0.199312768894175,-0.199312768894175,0.147858068817364,0.0135794352873527,-0.239467522127695,-0.142146375791696,-0.160567428423275,-0.159387755102041,0.0430338296779767,-0.00563127701024035,-0.0715196846816148,-0.07593936153086,-0.062937595129376,-0.0711798479260842,-0.0878210545446284,-0.0906603674066037,0.025208317394273,0.025208317394273,-0.208132304755989,0.1,-0.0286785009861933,-0.0944444444444444,0.0918613072974642,-0.035969089390142,-0.0346825396825397,0.0808361622297659,0.0238177107450524,-0.178203224466978,0.0343685300207039,0.0666666666666667,-0.0584812966446449,-0.00437020871803481,-0.00476190476190477,0.0806993006993007,0.114151081682453
"SMO",-0.2,-0.0104761904761905,-0.187692307692308,-0.142237762237762,-0.0727124183006536,0.062826420890937,-0.00469696969696969,-0.0333333333333333,0.0303030303030303,0.133333333333333,0.0933333333333333,-0.0711538461538462,-0.2,-0.338110165696373,-0.0927858188323305,-0.183333333333333,-0.0292933810375671,-0.1,0.19312541323033,-0.15,-0.175141242937853,-0.175141242937853,-0.0231531531531532,-0.0508771929824561,-0.167631103074141,0.02,0.0366666666666667,0,-0.0654326256268004,-0.105972058021551,0.161111111111111,0.173352880583335,0.05,0.0652777777777778,0.185382955771305,0.0875,0.0711538461538462,0.0711538461538462,-0.177777777777778,-0.1,-0.0542124542124542,0.1,-0.085,-0.0452380952380952,-0.05,-0.0683333333333333,0.0728571428571429,0.359376026272578,0.05,0,0.0887830687830688,0.0928571428571429,0.1,0.18,0.0672413793103448
"SNAI2",0.0666666666666667,-0.102948717948718,0.0509803921568628,0.0631425543190249,0.087231214056804,-0.0975476110089908,0.0873832308042834,0.0758771929824561,0.0951754385964912,-0.12,-0.102352941176471,0.0683729307130345,0.110909090909091,0.18015584173199,0.0995146286874551,0.118152551673678,0.0797884558271897,0.12,0.0818632070632968,0.125194805194805,-0.155513320746801,-0.155513320746801,0.137824182069706,0.0380662609871535,-0.169154596448111,-0.136974789915966,-0.13099188393306,-0.127450980392157,0.103654611315889,-0.189150949268244,-0.127829971028517,-0.128056647086659,-0.125194805194805,-0.127243460764588,-0.12308770298728,-0.118152551673678,-0.0683729307130345,-0.0683729307130345,-0.125769230769231,0.1,-0.0213532248342375,-0.110909090909091,0.104250038043386,-0.040939095498028,-0.0395036887994634,0.108475390156062,-0.0921652125744357,0.165763443045286,-0.0916666666666667,-0.1,-0.131601319754613,-0.0813218390804598,-0.0666666666666667,-0.0725490196078431,-0.0380072316749674
"FUS",-0.18,0.0214825724104075,-0.142237762237762,-0.16177799212282,-0.0680003764158368,0.0382981190041446,0.0134848484848485,0.0303030303030303,-0.00469696969696969,0.0933333333333333,0.0683333333333333,-0.0292933810375671,-0.15,-0.352395879982087,-0.0689901983943743,-0.161111111111111,-0.0568042980681348,-0.2,0.188842359226606,-0.183333333333333,-0.153668850299816,-0.153668850299816,-0.0391105999616638,-0.0508771929824561,-0.15674001396523,0.0366666666666667,0.0231531531531532,0.02,-0.0965363045565663,-0.102136441583195,0.185382955771305,0.18666809797464,0.0875,0.0883547008547008,0.173352880583335,0.0652777777777778,0.0292933810375671,0.0292933810375671,-0.189253187613843,-0.133333333333333,-0.0527631788501354,0.05,-0.0738888888888889,-0.0433026113671275,-0.0452380952380952,-0.085,0.0882417582417583,0.357760227349777,0.0928571428571429,0.1,0.105650538662587,0.0728571428571429,0.05,0.187692307692308,0.0501361161524501
"FOXC2",0.04,-0.0406926406926407,0.0319786096256684,0.0618755168421633,-0.00816122004357299,-0.0227815678205477,0.0276762196024269,0.0145454545454545,0.0513875598086124,-0.0333333333333333,0,0.0158974358974359,0,0.127829971028517,0.0344624918646319,0.00848153214774282,0.0431033182503771,0.0333333333333333,-0.0169837457032579,0.0294117647058824,-0.119344685242518,-0.119344685242518,0.0922069475240207,0.0125214408233276,-0.137509157509158,-0.0927272727272727,-0.0780606060606061,-0.0727272727272727,0.0523668165566162,0.0124477231756879,-0.0284815321477428,-0.0256035286741467,-0.0294117647058824,-0.0274470493891221,-0.014769157565803,-0.00848153214774282,-0.0158974358974359,-0.0158974358974359,-0.0888888888888889,0,-0.0147135217723453,0,0.00907258064516129,-0.0281159420289855,-0.0266666666666667,0.01875,-0.0584126984126984,-0.132576152970799,-0.06,-0.1,-0.0271327972377448,-0.0361904761904762,0,-0.0672727272727273,-0.00800732674598374
"NFB",-0.0142857142857143,-0.134825556956704,-0.0311746031746032,-0.0265994397759104,-0.0115966386554622,-0.12900027497957,0.105865102639296,0.0948051948051948,0.109090909090909,-0.14,-0.136296296296296,-0.0633888022630642,0.138888888888889,0.198525835866261,0.145514491073697,0.14965811965812,-0.0549310908202781,0.15,0.0985869058979971,0.154273504273504,-0.091045948203843,-0.091045948203843,0.0209665771640455,0.0802454666076957,-0.0949330261664427,-0.0202020202020202,-0.0178020202020202,-0.0111111111111111,0.262050204697264,-0.189260422961206,-0.158132695929306,-0.16007163859498,-0.154273504273504,-0.157523288197445,-0.155601050359686,-0.14965811965812,0.0633888022630642,0.0633888022630642,-0.0745421245421245,0.12,0.0917127377266696,-0.138888888888889,0.132681838464971,0.0841579557584011,0.084529702970297,0.136296296296296,0.171450021450021,0.147197600501388,0.169047619047619,0.3,-0.0349299904031789,0.182561132561133,0.285714285714286,0.00228571428571429,0.157502515191758
"IKK",0,-0.128415300546448,-0.00228571428571429,-0.0311746031746032,-0.0125490196078431,-0.135849590048063,0.109090909090909,0.109090909090909,0.0948051948051948,-0.12,-0.14,-0.0493042952208107,0.15,0.192142857142857,0.152159009346122,0.154273504273504,-0.0633888022630642,0.1,0.0978477295516402,0.138888888888889,-0.0799348370927318,-0.0799348370927318,0.0178020202020202,0.0834033613445378,-0.0873801560758082,-0.0111111111111111,-0.0202020202020202,0,0.250677655677656,-0.188136827455588,-0.14965811965812,-0.155601050359686,-0.138888888888889,-0.14965811965812,-0.158132695929306,-0.154273504273504,0.0493042952208107,0.0493042952208107,-0.0706959706959707,0.1,0.0934984520123839,-0.15,0.136296296296296,0.084529702970297,0.0875,0.136296296296296,0.182561132561133,0.147197600501388,0.285714285714286,0.2,-0.028455170259294,0.169047619047619,0.3,0.0142857142857143,0.152323232323232
"CD44",-0.2,-0.158888888888889,-0.17,-0.14,-0.00483516483516484,-0.00930356193514088,-0.00150375939849624,0,0.0142857142857143,0.1,0.1,0.104761904761905,-0.1,0.08,-0.0943741132816763,-0.05,0.141904761904762,-0.1,0.0638095238095238,0,-0.0746031746031746,-0.0746031746031746,0.0544444444444444,0.0238095238095238,-0.0877821695212999,-0.06,-0.06,0,-0.144047619047619,-0.068790033655412,-0.0566666666666667,-0.0481156827668456,-0.1,-0.0566666666666667,-0.0450387596899225,-0.05,-0.104761904761905,-0.104761904761905,-0.16984126984127,-0.1,-0.0953216374269006,0,-0.1,-0.0979591836734694,-0.1,-0.1,-0.22,-0.229193029193029,-0.2,0,-0.109277389277389,-0.2,-0.1,0.15,0.04625
"Csn",-0.0633333333333333,-0.131666247965659,-0.0841125541125541,-0.104945887445887,-0.00151083060620227,-0.120839501430762,0.132627095127095,0.133838383838384,0.114357864357864,-0.00317460317460317,-0.0122655122655123,-0.124379165869973,0.1,0.130599130468996,0.0755843826065169,0.100830909846282,-0.14299720809646,0.0666666666666667,-0.036734833314677,0.0827586206896552,-0.044302729528536,-0.044302729528536,0.112828604445104,0.0307137092124986,-0.0536246205150229,-0.107734056987788,-0.11927251852625,-0.118181818181818,0.163035397792378,-0.000152485132859199,-0.0897197987351706,-0.0926914166805024,-0.0827586206896552,-0.0899138792785961,-0.0993661009859744,-0.100830909846282,0.124379165869973,0.124379165869973,-0.0501730948789772,0.0142857142857143,-0.0070874861572536,-0.1,0.0104763354631149,-0.0159458976672149,-0.0151746894409938,0.00473863054508216,0.101866666666667,-0.0663430143860973,0.111666666666667,0.22,-0.0247544166774367,0.0866666666666667,0.095,0.108787878787879,0.101590016558935
"ZEB2",-0.158333333333333,-0.157326892109501,-0.152221279003961,-0.137587132662498,-0.130481329222336,-0.124666436369857,-0.110343841950399,-0.11025641025641,-0.0955897435897436,-0.0892857142857143,-0.0807142857142857,-0.0715367965367965,-0.07,-0.067824944889957,-0.063532731325319,-0.0591228070175439,-0.055476839363349,-0.05,-0.04884671427803,-0.0433333333333333,-0.032807128355009,-0.032807128355009,-0.00527863670720814,-0.00283882783882784,0.00377333295346388,0.00883116883116883,0.00951144094001237,0.0142857142857143,0.0230778609403619,0.0249071859146993,0.045233918128655,0.0472459905632626,0.0506060606060606,0.0522292081007677,0.0543888477061198,0.065990675990676,0.0715367965367965,0.0715367965367965,0.0736387290224172,0.075,0.0751173020527859,0.0772727272727273,0.084106746911625,0.0843058350100604,0.0843058350100604,0.0904703832752613,0.0912590861889927,0.0985253122984012,0.0986111111111111,0.1,0.101682243759758,0.105277777777778,0.111111111111111,0.142543859649123,0.234747474747475
"RAS",0.1,0.132792452830189,0.102631578947368,0.132043343653251,0.0273867975995636,0.0825762045231072,-0.147418073485601,-0.15,-0.134210526315789,-0.1,-0.1,0.142820512820513,-0.1,-0.0847430830039526,-0.0677296305203282,-0.0676470588235294,0.0774358974358974,0,0.0386925890589614,-0.05,0.0338217967599411,0.0338217967599411,-0.0769714618520676,-0.103030303030303,0.0499076923076923,0.08,0.0858823529411765,0.1,-0.0597674418604651,-0.0219436496601276,0.057008760951189,0.0570523434310321,0.05,0.0593137254901961,0.0647010686434967,0.0676470588235294,-0.142820512820513,-0.142820512820513,0.0492857142857143,0.1,-0.00810276679841897,0.1,0.0909152542372881,0.0968460111317254,0.0948051948051948,0.096,-0.0411111111111111,0.219743090831961,-0.0333333333333333,-0.1,0.121048689138577,-0.0133333333333333,0,-0.15,-0.0503174603174603
"cMet",0.15,0.147777777777778,0.14,0.152727272727273,-0.000782812692925051,0.0211679687148019,-0.00487921932490801,-0.0142857142857143,0.00150375939849624,-0.1,-0.1,-0.141904761904762,0,-0.0720634920634921,0.0815362754438385,-0.0566666666666667,-0.1192632524708,0.1,-0.0634536519234028,0.05,0.0634920634920635,0.0634920634920635,-0.0480614657210402,-0.0238095238095238,0.0846571695213,0.06,0.0544444444444444,0.06,0.166628264208909,0.0670088631719515,0.0450387596899225,0.0424659652527213,0.05,0.0475757575757576,0.0481156827668456,0.0566666666666667,0.141904761904762,0.141904761904762,0.174603174603175,0.1,0.0972824217406261,0.1,0.096875,0.0997773654916512,0.0979591836734694,0.1,0.20125,0.229193029193029,0.2,0.1,0.102755650146954,0.22,0.2,-0.17,-0.0348575949367089
