"","FOXC2","NFB","FUS","TWIST1","SNAI1","EGR1","AKT","SMO","IKK","SUFU","SNAI2","Csn","cfos","RKIP","SOSGRB2","cateninmemb","Destcompl","TCFLEF","cateninnuc","STAT","AXIN2","TGFR","ZEB1","RAF","DELTA","RAS","PI3K","GSK3","PAK1","TGF","CDC42","SRC","cMet","CD44","Frizzled","DSH","Wnt","LIV1","GLI","Ecadherin","NOTCH","NOTCHic","Csl","Jagged","miR200","MEK","SMAD","ERK","Patched","ILK","TrCP","SHH","HEY1","ZEB2","KLF4"
"NOTCH",0.191020408163265,-0.1,-0.1,0.0719152542372881,0.0703846153846154,0.2,-0.0777777777777778,-0.075,-0.0666666666666667,0,0.085999185999186,0,0.18,0.0324491600353669,0.133684210526316,-0.123377456552739,-0.135530473063183,-0.072041292041292,-0.0732657818372104,-0.1,-0.0590296495956873,0.0186666666666667,0.123027375201288,-0.0442424242424242,-0.0442424242424242,-0.0398945981554677,0.0442424242424242,-0.119104841518635,0,0.000688172043010749,0.0333333333333333,0.08,0.0569230769230769,0.0599533799533799,0.08,0.1,0.0569230769230769,0,0.0599533799533799,0.0892631578947368,-0.00534562211981567,0.0914285714285714,0.12,0.00701298701298702,-0.00536796536796537,-0.196666666666667,0.0214285714285714,-0.146666666666667,0.0673076923076923,0.0380952380952381,0,0.0614253393665158,0.13768115942029,-0.0898550724637681,-0.123188405797101
"STAT",0.188169052488071,-0.01,-0.025,0.144074715888809,0.0650272693762138,0.166666666666667,-0.022590799031477,-0.0316666666666667,-0.0242857142857143,-0.05,0.123397402547417,-0.05,0.106666666666667,0.0285955598455598,0.0247536945812808,0.0637337569782005,0.0707317437191701,0.0144501397655972,0.0159996034127962,-0.0142857142857143,0.0264547217488394,-0.0148624401913876,0.0835933297471759,0.0950010339123242,0.0950010339123242,0.0912696906287421,-0.0950010339123242,0.0567601246105919,0.0454545454545455,0.0163117155537064,0.00170454545454545,-0.0107142857142857,-0.0243506493506494,-0.0166583416583417,-0.0107142857142857,0.0142857142857143,-0.0243506493506494,-0.1,-0.0167876241405653,0.00220139734654969,0.0486954687411569,0.039957604663487,0.0372549019607843,0.0274191218443831,-0.00798482163354497,-0.140316255534472,0.0388361374868122,-0.147843137254902,0.0246899224806202,0.0123993558776167,0,0.0043359401797352,0.02,-0.0869643177335485,-0.17774806892454
"Ecadherin",0.013430735899107,-0.0847619047619048,0.0166666666666667,0.0167653022723677,0.085918297876352,0.132727272727273,-0.106791726791727,-0.0208333333333333,-0.110687830687831,0.0333333333333333,-0.124380459409322,-0.08,0.138609625668449,0.0672995721952383,0.106417953116066,-0.142460374990863,-0.15603575194058,-0.0290266064205343,-0.0298669425549881,-0.0294117647058824,-0.038186573867731,0.03049963045085,0.106105160447816,-0.11066742081448,-0.11066742081448,-0.113460716903865,0.11066742081448,-0.145343118158029,-0.0267272727272727,-0.0332121078468717,-0.0280606060606061,0.0224350205198358,0.0215654553024445,0.0259132813894011,0.0224350205198358,0.0294117647058824,0.0224350205198358,0,0.0264350205198358,-0.0358365162931787,-0.106620313024612,-0.101787599269965,-0.10488038277512,-0.0124694590503791,0.0437456088294077,-0.151708473454987,0.0293265957820121,-0.14582612051381,0.00685483870967742,0.0281159420289855,0.1,0.00764224028448057,0.011198260878482,-0.0743479621831272,-0.0679324894514768
"KLF4",0.00725224619658982,-0.08,0.0333333333333333,0.0150893246187364,0.0846524750915419,0.16,-0.110687830687831,0.0166666666666667,-0.0847619047619048,0,-0.122393704442435,-0.1,0.132727272727273,0.0601834673263245,0.106417953116066,-0.140537298067786,-0.152307886143748,-0.0259132813894011,-0.0290266064205343,0,-0.0367432748986588,0.0280606060606061,0.100417956656347,-0.108461538461538,-0.108461538461538,-0.11066742081448,0.108461538461538,-0.143135612639265,-0.0227272727272727,-0.03049963045085,-0.0267272727272727,0.0294117647058824,0.0224350205198358,0.0215654553024445,0.0294117647058824,0,0.0224350205198358,-0.0333333333333333,0.0224350205198358,0.0634818868226928,-0.101787599269965,-0.10488038277512,-0.0890909090909091,-0.00995229657898323,0.0416971916971917,-0.14582612051381,0.0281159420289855,-0.138609625668449,0.0208333333333333,0.0266666666666667,0.1,0.00685483870967742,0.0105271199388846,-0.0700825593395253,-0.0666666666666667
"HEY1",0.00725224619658982,-0.08,0.0333333333333333,0.0150893246187364,0.0846524750915419,0.16,-0.110687830687831,0.0166666666666667,-0.0847619047619048,0,-0.122393704442435,-0.1,0.132727272727273,0.0601834673263245,0.106417953116066,-0.140537298067786,-0.152307886143748,-0.0259132813894011,-0.0290266064205343,0,-0.0367432748986588,0.0280606060606061,0.100417956656347,-0.108461538461538,-0.108461538461538,-0.11066742081448,0.108461538461538,-0.143135612639265,-0.0227272727272727,-0.03049963045085,-0.0267272727272727,0.0294117647058824,0.0224350205198358,0.0215654553024445,0.0294117647058824,0,0.0224350205198358,-0.0333333333333333,0.0224350205198358,0.0634818868226928,-0.101787599269965,-0.10488038277512,-0.0890909090909091,-0.00995229657898323,0.0416971916971917,-0.14582612051381,0.0281159420289855,-0.138609625668449,0.0208333333333333,0.0266666666666667,0.1,0.00685483870967742,0.0105271199388846,-0.0700825593395253,-0.0666666666666667
"FOXC2",0.00725224619658982,-0.08,0.0333333333333333,0.0150893246187364,0.0846524750915419,0.16,-0.110687830687831,0.0166666666666667,-0.0847619047619048,0,-0.122393704442435,-0.1,0.132727272727273,0.0601834673263245,0.106417953116066,-0.140537298067786,-0.152307886143748,-0.0259132813894011,-0.0290266064205343,0,-0.0367432748986588,0.0280606060606061,0.100417956656347,-0.108461538461538,-0.108461538461538,-0.11066742081448,0.108461538461538,-0.143135612639265,-0.0227272727272727,-0.03049963045085,-0.0267272727272727,0.0294117647058824,0.0224350205198358,0.0215654553024445,0.0294117647058824,0,0.0224350205198358,-0.0333333333333333,0.0224350205198358,0.0634818868226928,-0.101787599269965,-0.10488038277512,-0.0890909090909091,-0.00995229657898323,0.0416971916971917,-0.14582612051381,0.0281159420289855,-0.138609625668449,0.0208333333333333,0.0266666666666667,0.1,0.00685483870967742,0.0105271199388846,-0.0700825593395253,-0.0666666666666667
"TGF",0.0117236024844721,-0.0166666666666667,0.0733333333333333,0.00240740740740741,-0.0155562619198983,0.0666666666666667,0.0246867167919799,0.123333333333333,0.0404761904761905,0.133333333333333,-0.00582587690003009,0.0333333333333333,0.0666666666666667,0.0735930735930736,-0.0907894736842105,0.00665656843080628,0.00966264397124554,0.0032025819265144,0.00224564412747134,0,0.00123456790123457,0.02,0.025528049372443,-0.0910714285714286,-0.0910714285714286,-0.0875,0.0910714285714286,0.0757090050632125,-0.02,-0.102142857142857,0.0133333333333333,0,0,-0.00188679245283019,-0.0142857142857143,0,-0.0142857142857143,0,-0.0161725067385445,-0.00932369372329938,-0.229885057471264,-0.233333333333333,-0.213333333333333,-0.113297741777123,0.0441557484660933,-0.0647953216374269,-0.120576735092864,-0.0403508771929825,-0.112988505747126,-0.106060606060606,0,-0.106738505747126,-0.139071566731141,-0.0675533365693549,-0.0930078820239003
"ZEB1",-0.1111014613167,-0.00912280701754386,0.00416666666666667,-0.0870938965028057,0.0254445763205049,-0.0333333333333333,-0.0173195283290193,-0.0140151515151515,-0.0173195283290193,0.0166666666666667,-0.133677248677249,0.00666666666666667,-0.0213333333333333,0.0346455994038199,-0.0415594541910331,-0.134160586417497,-0.091498248815322,0.0135723744476301,0.0126917482245381,0.0256410256410256,-0.00956127533625567,0.0327840732763906,-0.123754745122591,-0.0633798930709117,-0.0633798930709117,-0.0610176883465023,0.0633798930709117,-0.00456413792287115,-0.0492337164750958,-0.0390832858748158,-0.0332916874895885,-0.00856785490931832,-0.0105286392230438,-0.0133064170008216,-0.00197444831591173,-0.019047619047619,-0.00582060216206557,-0.0333333333333333,-0.00822610044385252,0.0499260443282343,0.00919421487603306,0.0125,0.0125,0.0386613688517367,-0.0350000186459366,0.0329529239008379,0.00472786116819182,0.0342745098039216,0.015975935828877,0.0129009380912687,0.0333333333333333,0.01704355148724,0.0200255444037827,-0.0466724217076982,-0.04088531966168
"SOSGRB2",0.0688400488400488,-0.0111111111111111,0,0.0570144927536232,0.088861407249467,0.0142857142857143,-0.0247076023391813,0,-0.016374269005848,0,0.175012937013519,0,0.0476190476190476,0.0023391812865497,0.0291666666666667,0.0624580164580165,-0.30917225950783,-0.0644589735207584,-0.0692390882435118,0,-0.0363036303630363,0.0142857142857143,0.0391979949874687,-0.0819209039548023,-0.0819209039548023,-0.08961321164711,0.0819209039548023,-0.283033288979993,-0.0142857142857143,-0.0192502532928065,-0.0142857142857143,0.0428571428571429,0.0559006211180124,0.0602484472049689,0.0428571428571429,0,0.0595238095238095,0,0.063871635610766,-0.0782854584585505,0.0656653205948981,0.0755244755244755,0.0909090909090909,-0.0210173598461421,0.0101744809404879,-0.0648180648180648,0.00897811865553801,-0.0557271557271557,0.00810810810810811,0.00967741935483871,0,0.0197360150848523,0.115340909090909,-0.0338345864661654,-0.0252631578947368
"TWIST1",0.145831222415994,0.107692307692308,0.177777777777778,0.0842208782826632,-0.00528084834881004,-0.106666666666667,0.121574470727013,0.173777777777778,0.102930402930403,0.166666666666667,0.358549243576024,0.1,-0.0936231884057971,0.0534076121032643,-0.189368069001936,0.151865879682755,0.144360919843888,0.094547233683388,0.0962148587552684,0.080952380952381,0.0755000913065429,-0.0956831243469175,0.0237307482921518,0.0156943836260724,0.0156943836260724,0.0184341096534697,-0.0156943836260724,0.136690865119023,0.0884848484848485,0.0936330104517011,0.0919331243469175,-0.0920634920634921,-0.089935832489024,-0.091943864617538,-0.0920634920634921,-0.080952380952381,-0.0910108604845447,-0.0666666666666667,-0.0934108604845447,-0.151460106228803,-0.00887007471913132,-0.00603988603988604,-0.0162962962962963,-0.018685616198729,0.0408748209481885,0.107985586939445,-0.12988294324928,0.101517925247902,-0.197065449010655,-0.128232778232778,-0.1,-0.189676286449078,-0.131725336810083,-0.0280965175702018,-0.0293308317698562
"SUFU",-0.0328912692014969,-0.135142857142857,0.00166666666666667,-0.0535867384502604,0.0819042005136852,0.0676923076923077,-0.166763920643115,-0.0316666666666667,-0.162065934065934,0.0266666666666667,-0.3517981304591,-0.107142857142857,0.107086247086247,0.0580554971129345,0.203748006379585,-0.153378020772256,-0.386116301163876,-0.171105813023483,-0.175044431949314,-0.133333333333333,-0.0538552205694045,0.137897258961089,-0.0476974776450117,-0.273389835639125,-0.273389835639125,-0.279402493866973,0.273389835639125,-0.352894572478183,-0.146666666666667,-0.14401165738318,-0.13045045045045,0.15,0.160679611650485,0.165942769545222,0.0416666666666667,0.025,0.0532051282051282,0.1,0.0587813363835669,0.0429429565612097,-0.254516594516594,-0.241818181818182,-0.237272727272727,-0.131219964880068,0.0316559271770465,-0.120830438820167,0.00221576564271937,-0.105936821798891,0.0306565656565657,0.0116845878136201,0.15,0.0449422799422799,-0.00714832574444938,-0.0255884306122562,-0.0127204607179084
"SHH",0.075,0,-0.2,0.05,-0.0666666666666667,0,0.15,-0.1,0.1,-0.2,0.317471264367816,0,0.1,-0.02,-0.1,0.120143369175627,0.324415584415584,0.133333333333333,0.15,0.1,0.019047619047619,-0.133333333333333,0.075,0.2,0.2,0.223076923076923,-0.2,0.274358974358974,0,0.113333333333333,0.0333333333333333,-0.1,-0.1,-0.1,0,0,0,0,0,-0.0283333333333333,0.2,0.2,0.1,0.122857142857143,-0.0166666666666667,0.06,0.0333333333333333,0,0.0666666666666667,0.0666666666666667,0,0.0266666666666667,0.0666666666666667,-0.025,0
"FUS",-0.0410798548094374,-0.107142857142857,0.0266666666666667,-0.0591537487595387,0.0779859722342985,0.06,-0.162065934065934,0.00166666666666667,-0.135142857142857,0.0666666666666667,-0.347117840412956,-0.15,0.0676923076923077,0.0478514154802815,0.19885290148448,-0.149830953923688,-0.376600086384503,-0.165942769545222,-0.171105813023483,-0.1,-0.0531526444569923,0.13045045045045,-0.0612240476933209,-0.258105992844365,-0.258105992844365,-0.273389835639125,0.258105992844365,-0.341583518493607,-0.113333333333333,-0.137897258961089,-0.146666666666667,0.133333333333333,0.15,0.160679611650485,0.025,0,0.0416666666666667,0.1,0.0532051282051282,0.0403682912676979,-0.241818181818182,-0.237272727272727,-0.227272727272727,-0.133832791483394,0.0275667078461915,-0.105936821798891,0.0116845878136201,-0.107086247086247,0.0316666666666667,-0.00444444444444445,0.1,0.0306565656565657,-0.0204013377926421,-0.02075751273786,0.0046448087431694
"SMO",-0.038448275862069,-0.15,0.0666666666666667,-0.0565359477124183,0.0600614439324117,0,-0.135142857142857,0.0266666666666667,-0.107142857142857,0.1,-0.33975697865353,-0.1,0.06,0.0406349206349206,0.171929824561403,-0.145547899919964,-0.363899356457496,-0.160679611650485,-0.165942769545222,-0.1,-0.0463203463203463,0.146666666666667,-0.0532485875706215,-0.241826923076923,-0.241826923076923,-0.258105992844365,0.241826923076923,-0.327202247590597,-0.133333333333333,-0.13045045045045,-0.113333333333333,0.1,0.133333333333333,0.15,0,0,0.025,0.1,0.0416666666666667,0.0384504830485198,-0.237272727272727,-0.227272727272727,-0.2,-0.122989417989418,0.0186558167570826,-0.107086247086247,-0.00444444444444445,-0.0676923076923077,-0.00166666666666667,0.00666666666666666,0,0.0316666666666667,-0.0102564102564103,-0.00296610169491525,-0.0166666666666667
"RKIP",-0.0129973474801061,-0.114285714285714,-0.1,-0.072243018419489,0.0357514179845046,0.08,-0.117316017316017,-0.1,-0.114285714285714,-0.1,0.284327971090517,-0.1,0.13,-0.00294117647058823,0.108825396825397,0.0847482776894542,-0.316121361436561,-0.0473377499693289,-0.0531901672721279,0,-0.0250937646507267,0.0695238095238095,-0.00124725011956002,-0.142207792207792,-0.142207792207792,-0.148190698190698,0.142207792207792,-0.278723404255319,-0.0666666666666667,-0.0741967067200712,-0.06,0.0333333333333333,0.0385964912280702,0.042442645074224,0.0333333333333333,0,0.0433333333333333,0,0.0471794871794872,-0.103971059199042,0.0644133644133644,0.0797979797979798,0.0888888888888889,0.0805643140108335,0.0217521925200732,-0.145700660308144,0.0983134000177938,-0.126551724137931,0.096,0.101283697047497,0.1,0.110754098360656,0.113898567557104,-0.000548063127690099,0.0054519368723099
"MEK",0.0093937438765025,0.114285714285714,0.1,0.0748071209835916,-0.0434437256768123,-0.13,0.132610134963076,0.096,0.117316017316017,0.1,-0.280921645056454,0.114285714285714,-0.126551724137931,0.00162538699690402,-0.113269841269841,-0.0803580337870151,0.323443537168778,0.0531901672721279,0.0552347769375554,0.0333333333333333,0.0268955664525285,-0.0741967067200712,-0.00034005146774157,0.148190698190698,0.148190698190698,0.154222444222444,-0.148190698190698,0.284865910397825,0.06,0.0712769986908741,0.0695238095238095,-0.0385964912280702,-0.042442645074224,-0.0473377499693289,-0.0433333333333333,-0.0333333333333333,-0.0471794871794872,0,-0.0520745920745921,0.102878163024179,-0.0636834374060651,-0.0644133644133644,-0.0797979797979798,-0.0764659533550958,-0.0164890346253363,0.0590339936414771,-0.101634433228126,0.145700660308144,-0.110754098360656,-0.0983134000177938,-0.1,-0.110100503589414,-0.110262203920741,-0.000245587665960695,0.00043041606886657
"RAF",0.0129973474801061,0.114285714285714,0.1,0.072243018419489,-0.0357514179845046,-0.08,0.117316017316017,0.1,0.114285714285714,0.1,-0.284327971090517,0.1,-0.13,0.00294117647058823,-0.108825396825397,-0.0847482776894542,0.316121361436561,0.0473377499693289,0.0531901672721279,0,0.0250937646507267,-0.0695238095238095,0.00124725011956002,0.142207792207792,0.142207792207792,0.148190698190698,-0.142207792207792,0.278723404255319,0.0666666666666667,0.0741967067200712,0.06,-0.0333333333333333,-0.0385964912280702,-0.042442645074224,-0.0333333333333333,0,-0.0433333333333333,0,-0.0471794871794872,0.103971059199042,-0.0644133644133644,-0.0797979797979798,-0.0888888888888889,-0.0805643140108335,-0.0217521925200732,0.145700660308144,-0.0983134000177938,0.126551724137931,-0.096,-0.101283697047497,-0.1,-0.110754098360656,-0.113898567557104,0.000548063127690099,-0.0054519368723099
"SRC",-0.0331139122315593,0.133333333333333,0.0833333333333333,-0.0259050145257042,0.0724629940365057,-0.166666666666667,0.0948717948717949,0.0633333333333333,0.0948717948717949,0.0333333333333333,-0.139632872371727,0.1,-0.139393939393939,0.153339850114044,-0.138571428571429,-0.0838381230354737,-0.1104375696767,-0.0365973610555778,-0.0354787928229156,-0.1,-0.0412979727145225,0.083531746031746,-0.0785938903863432,-0.0463245723821443,-0.0463245723821443,-0.0584457845033565,0.0463245723821443,-0.081991341991342,-0.0888888888888889,-0.0944408369408369,-0.126388888888889,0,0.03,0.0414754098360656,0,0,0.03,0.2,0.0414754098360656,0.0119842684548567,0.0292857142857143,0.0292857142857143,0.015,-0.0609491884262526,0.0175640462596984,0.115913855536497,-0.0545934091986723,0.0838383838383839,-0.0522222222222222,-0.0717105263157895,-0.1,-0.0463398692810457,-0.0436444885799404,0.00245582509733453,0.128423772609819
"ERK",0.00648776097051959,0.117316017316017,0.096,0.0746684247283905,-0.0455270590101456,-0.126551724137931,0.134444997348397,0.110754098360656,0.132610134963076,0.1,-0.27875753324401,0.114285714285714,-0.145700660308144,-0.00255288598359738,-0.121036831561103,-0.0787940963445128,0.32799069988956,0.0552347769375554,0.0568319991597776,0.0385964912280702,0.0299849973468374,-0.0712769986908741,-0.00144241367246598,0.154222444222444,0.154222444222444,0.158952917269749,-0.154222444222444,0.2907696342852,0.0695238095238095,0.0745737019875774,0.0741967067200712,-0.042442645074224,-0.0473377499693289,-0.0531901672721279,-0.0471794871794872,-0.0433333333333333,-0.0520745920745921,-0.0333333333333333,-0.057839003102161,0.102019941259675,-0.0589742961318269,-0.0636834374060651,-0.0644133644133644,-0.0743575196201561,-0.0191851130567089,0.0626551635579117,-0.104673946905937,0.0590339936414771,-0.110100503589414,-0.101634433228126,-0.114285714285714,-0.113965237888931,-0.112651282419034,0.00621110524742513,-0.00111997152803266
