"","GSK3","Destcompl","AXIN2","cateninnuc","TCFLEF","Ecadherin","CD44","STAT","LIV1","Wnt","ZEB1","SNAI2","TGF","TWIST1","FOXC2","Jagged","NOTCH","FUS","SNAI1","SUFU","ZEB2","MEK","ERK","AKT","TrCP","cfos","NFB","Csn","SMAD","IKK","ILK","HEY1","EGR1","RAF","PI3K","DELTA","RAS","RKIP","Patched","SHH","SMO","NOTCHic","Csl","miR200","KLF4","cateninmemb","TGFR","PAK1","SOSGRB2","CDC42","Frizzled","DSH","SRC","cMet","GLI"
"GLI",-0.184251191721752,-0.241575749244977,-0.199598429951691,-0.17333398783883,-0.1690901145573,-0.16623919092892,-0.16357063403782,-0.15,-0.15,-0.224402277039848,-0.117380184331797,-0.123444363684387,-0.257746833020781,-0.106844176385772,-0.140796246130031,0.0415570911475814,0.0728044082354427,-0.00595238095238096,0.0108979638526653,0.019047619047619,0.000154207202594302,-0.127239721604362,-0.127792207792208,0.127376103950352,-0.133333333333333,0.134285714285714,-0.11812865497076,-0.144444444444444,-0.107464682399502,-0.124251103950352,-0.108005222940043,-0.11482310370256,0.134285714285714,0.145571528227615,0.145571528227615,0.145571528227615,0.146561627237516,-0.0418809459325845,0.0112155388471178,0.00668878987592438,0.0112155388471178,-0.0708996463306808,-0.0683996463306808,-0.00514997901994806,0.00527413127413128,0.0994252601627704,0.260335068314899,0.255,0.336507681109451,0.258448275862069,0.223225806451613,0.22,0.153225806451613,0.153225806451613,0.135891638741976
"Csl",-0.127897140294128,-0.225914192731087,-0.188079451308098,-0.157772393378245,-0.154055984001458,-0.172908143897424,-0.145353693925122,-0.127692307692308,-0.12,-0.138249492443041,-0.125679042001406,-0.145416874238671,-0.222564286203489,-0.144552198947828,-0.190282475615385,-0.0169705212006536,-0.00505589486913765,0.0365384615384615,-0.000650356085138694,0.075,0.014548358110693,-0.0827225672877847,-0.0838095238095238,0.0837209302325581,-0.1,0.0866666666666667,-0.0666666666666667,-0.0888888888888889,-0.069570058239123,-0.0736434108527132,-0.0679033915724563,0.033384702822043,0.0866666666666667,-0.00479500509485517,-0.00479500509485517,-0.00479500509485517,0.000719700787497773,0.0100757937430923,-0.0397642679900744,-0.0406263369555917,-0.0365384615384615,0.00778316759641038,0.0104147465437788,0.00641583006764918,0.0217287784679089,0.0807905754082762,0.224151587790791,0.215111111111111,0.195116894231143,0.22478853046595,0.130722610722611,0.127692307692308,0.130722610722611,0.138414918414918,0.146314008572073
"SNAI1",-0.0981585283528353,-0.237147508726866,-0.207046061724006,-0.176249862069266,-0.173668550763122,-0.182185766808535,-0.16953061972864,-0.153703703703704,-0.15,-0.164923215898826,-0.126436073024607,-0.125985384599738,-0.20688909776208,-0.137754976907151,-0.17718405701611,0.00344926370343638,0.0193929879644165,0.0389400921658986,-0.0901621720501476,0.0357142857142857,0.0154917300178729,-0.0781034441356505,-0.0772065831491034,0.087609649122807,-0.1,0.0758732498157701,-0.0730263157894737,-0.0625,-0.0670197488457219,-0.0785818713450292,-0.069110769755931,-0.067721968847509,0.0843478260869565,0.0125378365191852,0.0125378365191852,0.0125378365191852,0.0145082798689389,0.0062265119547997,-0.0451746600671332,-0.0422620387079099,-0.0401746600671332,-0.0181684981684982,-0.0148717948717949,0.00716769965050883,0.0216085418080209,0.106797124543507,0.207493936471757,0.209803921568627,0.184965284264275,0.211319073083779,0.153703703703704,0.153703703703704,0.153703703703704,0.163604693802714,0.170590491950014
"NOTCHic",-0.118618789778664,-0.21512808669818,-0.180624438454627,-0.154055984001458,-0.145353693925122,-0.17488488808347,-0.138414918414918,-0.12,-0.1,-0.130722610722611,-0.13341384863124,-0.141464599816598,-0.224151587790791,-0.145229399850762,-0.194305464121132,-0.0148871878673203,-0.00778316759641038,0.075,0.00725478225478225,0.1,0.0173107890499195,-0.0838095238095238,-0.0866666666666667,0.0736434108527132,0,0.0866666666666667,-0.0888888888888889,-0.1,-0.0679033915724563,-0.0666666666666667,-0.0614285714285714,0.0379598662207358,0.02,-0.0111989459815547,-0.0111989459815547,-0.0111989459815547,-0.00479500509485517,0.0013200333744287,-0.0365384615384615,-0.0397642679900744,-0.0365384615384615,0.0104147465437788,0.0942857142857143,0.0105552636188474,0.0245859213250518,0.0850719209740254,0.22478853046595,0.211111111111111,0.189425837320574,0.215111111111111,0.127692307692308,0.12,0.127692307692308,0.130722610722611,0.138249492443041
"PAK1",-0.0913598484848485,-0.230404087674234,-0.200519255197199,-0.173668550763122,-0.16953061972864,-0.183694611761708,-0.163604693802714,-0.15,-0.15,-0.153703703703704,-0.132709135755234,-0.12420864976903,-0.207493936471757,-0.138678053830228,-0.180868936304547,0.00627279311520109,0.0181684981684982,0.0357142857142857,0.0116171873804574,0.0857142857142857,0.0178287533881066,-0.0772065831491034,-0.0758732498157701,0.0785818713450292,-0.1,0.0843478260869565,-0.0625,-0.1,-0.069110769755931,-0.0730263157894737,-0.0665301245946407,-0.0671267307522709,0.08,0.00981056379191243,0.00981056379191243,0.00981056379191243,0.0125378365191852,-0.00214168888202038,-0.0401746600671332,-0.0451746600671332,-0.0389400921658986,-0.0148717948717949,-0.0102564102564103,0.00918499071679125,0.0237892271662763,0.110216813662678,0.211319073083779,0.2,0.186097359735974,0.209803921568627,0.153703703703704,0.15,0.153703703703704,0.153703703703704,0.164923215898826
"LIV1",-0.0913598484848485,-0.230404087674234,-0.200519255197199,-0.173668550763122,-0.16953061972864,-0.183694611761708,-0.163604693802714,-0.15,-0.15,-0.153703703703704,-0.132709135755234,-0.12420864976903,-0.207493936471757,-0.138678053830228,-0.180868936304547,0.00627279311520109,0.0181684981684982,0.0357142857142857,0.0116171873804574,0.0857142857142857,0.0178287533881066,-0.0772065831491034,-0.0758732498157701,0.0785818713450292,-0.1,0.0843478260869565,-0.0625,-0.1,-0.069110769755931,-0.0730263157894737,-0.0665301245946407,-0.0671267307522709,0.08,0.00981056379191243,0.00981056379191243,0.00981056379191243,0.0125378365191852,-0.00214168888202038,-0.0401746600671332,-0.0451746600671332,-0.0389400921658986,-0.0148717948717949,-0.0102564102564103,0.00918499071679125,0.0237892271662763,0.110216813662678,0.211319073083779,0.2,0.186097359735974,0.209803921568627,0.153703703703704,0.15,0.153703703703704,0.153703703703704,0.164923215898826
"EGR1",-0.0913598484848485,-0.230404087674234,-0.200519255197199,-0.173668550763122,-0.16953061972864,-0.183694611761708,-0.163604693802714,-0.15,-0.15,-0.153703703703704,-0.132709135755234,-0.12420864976903,-0.207493936471757,-0.138678053830228,-0.180868936304547,0.00627279311520109,0.0181684981684982,0.0357142857142857,0.0116171873804574,0.0857142857142857,0.0178287533881066,-0.0772065831491034,-0.0758732498157701,0.0785818713450292,-0.1,0.0843478260869565,-0.0625,-0.1,-0.069110769755931,-0.0730263157894737,-0.0665301245946407,-0.0671267307522709,0.08,0.00981056379191243,0.00981056379191243,0.00981056379191243,0.0125378365191852,-0.00214168888202038,-0.0401746600671332,-0.0451746600671332,-0.0389400921658986,-0.0148717948717949,-0.0102564102564103,0.00918499071679125,0.0237892271662763,0.110216813662678,0.211319073083779,0.2,0.186097359735974,0.209803921568627,0.153703703703704,0.15,0.153703703703704,0.153703703703704,0.164923215898826
"cfos",-0.0826325757575758,-0.221832659102805,-0.192972085385878,-0.16953061972864,-0.163604693802714,-0.186393573699425,-0.153703703703704,-0.15,-0.1,-0.153703703703704,-0.139461547330797,-0.123485322463425,-0.211319073083779,-0.137047619047619,-0.185696522511444,0.00934027777777778,0.0148717948717949,0.0857142857142857,0.0199704093374979,0.1,0.0200795572466275,-0.0758732498157701,-0.0843478260869565,0.0730263157894737,0,0.08,-0.1,-0.1,-0.0665301245946407,-0.0625,-0.0584656084656085,-0.0612443778110945,0.12,5.44662309368199e-05,5.44662309368199e-05,5.44662309368199e-05,0.00981056379191243,-0.00932400932400933,-0.0389400921658986,-0.0401746600671332,-0.0357142857142857,-0.0102564102564103,-0.0333333333333333,0.013245904422375,0.0254285714285714,0.11241461586048,0.209803921568627,0.185714285714286,0.179166666666667,0.2,0.15,0.15,0.15,0.153703703703704,0.153703703703704
"CDC42",-0.0826325757575758,-0.221832659102805,-0.192972085385878,-0.16953061972864,-0.163604693802714,-0.186393573699425,-0.153703703703704,-0.15,-0.1,-0.153703703703704,-0.139461547330797,-0.123485322463425,-0.211319073083779,-0.137047619047619,-0.185696522511444,0.00934027777777778,0.0148717948717949,0.0857142857142857,0.0199704093374979,0.1,0.0200795572466275,-0.0758732498157701,-0.0843478260869565,0.0730263157894737,0,0.08,-0.1,-0.1,-0.0665301245946407,-0.0625,-0.0584656084656085,-0.0612443778110945,0.02,5.44662309368199e-05,5.44662309368199e-05,5.44662309368199e-05,0.00981056379191243,-0.00932400932400933,-0.0389400921658986,-0.0401746600671332,-0.0357142857142857,-0.0102564102564103,-0.0333333333333333,0.013245904422375,0.0254285714285714,0.11241461586048,0.209803921568627,0.285714285714286,0.179166666666667,0.2,0.15,0.15,0.15,0.153703703703704,0.153703703703704
"SRC",0.262857142857143,0.11620082815735,-0.0297165200391007,0.0295352328867111,0.0261795281887245,0.0467569249922191,0.0200819672131148,-0.1,-0.2,0.025,0.10675351901767,0.0432067054447789,0.0498989898989899,0.0102273588480485,0.0364985994397759,-0.0367989884733004,0.015,-0.133333333333333,0.0551581693344272,-0.0333333333333333,0.0233078766097634,0.0296931579950448,0.0353535353535353,-0.0256410256410256,-0.1,-0.0242424242424242,0.05,-0.05,0.0884957325746799,0.0423076923076923,0.0839912280701754,0.0574975173783515,-0.0333333333333333,-0.0837546933667084,-0.0837546933667084,-0.0837546933667084,-0.0883001479121629,0.043010752688172,0.08,0.0711764705882353,0.113333333333333,-0.00428571428571429,0.01,-0.00651149172888303,0.131072351421189,0.0119050291872474,-0.0444444444444444,-0.0444444444444444,-0.138571428571429,-0.0444444444444444,-0.025,0,-0.025,-0.025,-0.0200819672131148
"STAT",0.103239875389408,0.0681092826214583,0.0452234040469335,-0.00485428295292825,-0.00163616614720716,-0.0806741122641969,-0.00321345321345321,-0.0142857142857143,0.1,-0.00064935064935065,-0.153191680114757,-0.0330833000379862,-0.173451765943185,-0.0467272857077955,-0.173502385821404,0.0360166124954857,0.038418715688847,0.075,0.0778580673425813,0.1,0.0328581674735521,-0.0330423782416192,-0.0341176470588235,0.0511057304277643,0,0.04,-0.08,-0.1,-0.0575406741073908,-0.0561904761904762,-0.0506441223832528,-0.0566666666666667,0,0.0435845740281224,0.0435845740281224,0.0435845740281224,0.042838305371406,-0.0550016087516088,-0.0393410852713178,-0.0473056870412293,-0.0416666666666667,-0.0355060943296237,-0.0490196078431372,0.0180433317097405,-0.0676866706278471,0.0212154502735461,0.175867224880383,0.159090909090909,0.0329638752052545,0.165340909090909,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.00064935064935065,0.00317035905271199
"FOXC2",0.22228652277657,0.235619738580819,0.180833623441529,0.103522264098759,0.0909444309729803,0.032966677581036,0.0892721901703047,0.0333333333333333,0.0333333333333333,0.0675330597355221,-0.0566357069143447,0.0588957484976702,0.0481315594974132,0.0261917211328976,0.0422352176738142,0.0679878242696833,0.0901218369259606,0.0333333333333333,0.0825056293672353,0,0.0330804953560372,0.104786371905838,0.0955080213903743,-0.00592592592592592,-0.1,-0.107272727272727,-0.02,0,0.019768115942029,0.0133333333333333,0.0226666666666667,0.006585179526356,-0.08,-0.0229487179487179,-0.0229487179487179,-0.0229487179487179,-0.0192722473604826,-0.0611317254174397,-0.0416666666666667,-0.0405913978494624,-0.0166666666666667,-0.0890909090909091,-0.0890909090909091,0.0294301994301994,0.0148148148148148,0.0337920875420875,-0.0564242424242424,-0.0590909090909091,-0.146540880503145,-0.0470909090909091,-0.0745098039215686,-0.0333333333333333,-0.0745098039215686,-0.0675330597355221,-0.0882227149079359
"TGF",-0.194651011089367,-0.121138506717074,-0.13831569664903,-0.117502482621648,-0.112239324726912,-0.120344373503591,-0.105660377358491,-0.1,0,-0.0857142857142857,-0.0535335043801863,-0.022929935490204,-0.0152380952380952,0.000185185185185183,-0.00464285714285714,-0.135916789396171,-0.246781609195402,-0.0733333333333333,-0.0300890019071837,-0.133333333333333,0.03670203175924,-0.0424561403508772,-0.0491228070175439,-0.227882205513784,0.2,0.0333333333333333,0.208333333333333,0.233333333333333,0.0933333333333333,0.222619047619048,0.0933333333333333,0.130560928433269,0.0333333333333333,-0.106547619047619,-0.106547619047619,-0.106547619047619,-0.0976190476190476,-0.00476190476190476,0.117011494252874,0.104511494252874,0.106666666666667,0.243333333333333,0.233333333333333,0.0377133402995472,0.0385202135774218,0.0756349612577297,-0.0847619047619048,-0.08,-0.05,-0.08,0.0857142857142857,0.1,0.1,0.1,0.0913746630727763
"Ecadherin",0.231778796507255,0.248667268869728,0.18805011828689,0.105949901820514,0.103522264098759,-0.065670128650707,0.0909444309729803,0.0745098039215686,0.0333333333333333,0.0882227149079359,-0.0609011097579466,0.0688295233321073,0.0533756824630551,0.0237708645220969,0.0433793824335396,0.0700473208371891,0.0934675618330238,0.0166666666666667,0.0878853762026783,0.0333333333333333,0.03687196455035,0.101256960141132,0.104786371905838,-0.0163155363155363,0,-0.0955080213903743,0.0133333333333333,-0.02,0.019041723690213,0.00592592592592592,0.019768115942029,0.00322947482836942,-0.107272727272727,-0.0192722473604826,-0.0192722473604826,-0.0192722473604826,-0.0290487836733318,-0.0689968939567655,-0.0405913978494624,-0.0516150198967065,-0.0416666666666667,-0.0901218369259606,-0.0890909090909091,0.0314786165624154,0.0160806375996249,0.0425100362600363,-0.0481315594974132,-0.0470909090909091,-0.146540880503145,-0.0564242424242424,-0.0675330597355221,-0.0745098039215686,-0.0675330597355221,-0.0892721901703047,-0.0902227149079359
"ERK",0.223289067320605,0.287311184205879,0.0151021228082049,0.0205102239326264,0.0175935572659597,-0.190143879353014,0.0187087989016474,-0.00526315789473684,0,0.0160839160839161,-0.118592673405064,0.0823463371802245,-0.124184358856915,-0.00806238085792626,-0.126238360376291,-0.0516846525915114,-0.177845298936348,-0.044,0.0913017522227366,-0.04,0.0394347804802735,-0.0712054421435048,-0.0764979212521399,-0.173733824639113,0.214285714285714,-0.0201687454145268,0.173755411255411,0.176785714285714,0.0351148410078543,0.181990705373058,0.0366345978467601,0.0644468444418498,-0.026551724137931,-0.183715173715174,-0.183715173715174,-0.183715173715174,-0.181624964694272,-0.0705571893029313,0.042392799742848,0.0428758915302876,0.0521967213114754,0.183108456831085,0.183838383838384,0.0497753454483023,0.0397895743663319,0.166560245672184,0.12445908413164,0.125714285714286,0.0310106333795654,0.126648865153538,-0.0153846153846154,0,-0.0101214574898785,-0.0108207581891792,-0.0238533396428133
"RAF",0.216627265563436,0.278592342860489,0.00515705578996718,0.0187087989016474,0.0108207581891792,-0.188559873980452,0.0101214574898785,0,0,0,-0.116369201339072,0.0800049542460803,-0.126648865153538,-0.0114408793820558,-0.125508399646331,-0.0591802085859811,-0.183838383838384,-0.1,0.0910168519378363,-0.1,0.0399072214251554,0.0201687454145268,0.026551724137931,-0.173755411255411,0.2,-0.03,0.214285714285714,0.2,0.0355275867766494,0.176785714285714,0.0424582798459564,0.0709252806813782,-0.08,-0.19025974025974,-0.19025974025974,-0.19025974025974,-0.180858030858031,-0.0676470588235294,0.044,0.0521967213114754,0.04,0.183838383838384,0.211111111111111,0.0504461400819453,0.0339072214251554,0.161834103010574,0.125714285714286,0.133333333333333,0.0373968253968254,0.14,0,0,0,0.00526315789473684,-0.0153846153846154
"MEK",0.218838567774738,0.284868493488104,0.00876065939357079,0.0175935572659597,0.0187087989016474,-0.189834919517793,0.0108207581891792,0,0,0.0153846153846154,-0.118750153720025,0.0848711342947421,-0.12445908413164,-0.0118071797483562,-0.126409300547232,-0.0559015200613909,-0.183108456831085,-0.04,0.0903758262968107,-0.1,0.0399072214251554,-0.0764979212521399,0.0201687454145268,-0.181990705373058,0.2,-0.026551724137931,0.176785714285714,0.214285714285714,0.0366345978467601,0.173755411255411,0.0355275867766494,0.0654707352268328,-0.03,-0.180858030858031,-0.180858030858031,-0.180858030858031,-0.183715173715174,-0.0702786377708979,0.0521967213114754,0.042392799742848,0.044,0.183838383838384,0.183838383838384,0.0507557376051651,0.0397895743663319,0.166468249352037,0.126648865153538,0.14,0.0329523809523809,0.125714285714286,0,0,0.00526315789473684,-0.0101214574898785,-0.0160839160839161
"FUS",0.46581191427118,0.538572949711975,0.448817149866625,0.333586735676253,0.314293257415383,-0.0492866715241165,0.299255663430421,0.2,0.2,0.166666666666667,-0.216988145991473,0.0836365115723749,-0.129771899559134,0.078097160912067,-0.0963702359346642,0.245429017657933,0.276515151515151,0.133333333333333,0.172456018317248,0.133333333333333,0.0399318914422377,0.106629692146934,0.093986013986014,0.128043956043956,-0.1,-0.103076923076923,-0.171428571428571,-0.1,-0.0951305683563748,-0.143428571428571,-0.0919047619047619,-0.109906035992993,-0.08,-0.0242173524150268,-0.0242173524150268,-0.0242173524150268,-0.0281474834193936,-0.126735395189003,-0.131944444444444,-0.134974747474747,-0.120833333333333,-0.278787878787879,-0.278787878787879,0.0821701609582296,0.0193078324225865,0.221505455077769,0.121261261261261,0.126666666666667,-0.0183535762483131,0.126666666666667,-0.15,-0.1,-0.246666666666667,-0.263333333333333,-0.201282051282051
