"","KLF4","Jagged","SHH","TrCP","AKT","FUS","TWIST1","SNAI2","ERK","MEK","RKIP","GSK3","DSH","AXIN2","RAF","DELTA","cMet","TCFLEF","RAS","CD44","Frizzled","cateninmemb","Ecadherin","FOXC2","LIV1","SRC","cateninnuc","STAT","GLI","EGR1","Destcompl","PI3K","Wnt","cfos","SNAI1","IKK","NFB","Patched","SMO","Csn","SOSGRB2","SMAD","ILK","SUFU","HEY1","NOTCHic","Csl","NOTCH","TGF","TGFR","CDC42","PAK1","ZEB2","ZEB1","miR200"
"Patched",0.261111111111111,-0.102010582010582,-0.213333333333333,0,-0.135714285714286,-0.3,0.103703703703704,0.30767816091954,0.22,0.212307692307692,0.08,-0.0230769230769231,-0.2,-0.247619047619048,0.192307692307692,0.192307692307692,-0.1,-0.0877777777777778,0.179807692307692,-0.0933333333333333,-0.2,0.150017921146953,0.106798813376483,-0.01,0.1,0.1,0.0887486515641855,0.1,0.2,-0.1,-0.0121078921078921,-0.192307692307692,0.2,-0.2,-0.11989247311828,0.15,0.1,0.213333333333333,0.333333333333333,0,0.133333333333333,0.01,0,0.2,0.00769230769230769,0,0,-0.00909090909090909,-0.0416666666666667,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.3,-0.3,-0.304761904761905
"CD44",0.376190476190476,0.0999533799533799,0.110909090909091,0,0.22,0.1,0.202271062271062,-0.156141636141636,-0.02,-0.04,0.226296296296296,-0.081547619047619,0,0.02,-0.104761904761905,-0.104761904761905,0.1,-0.0089922480620155,-0.0904761904761905,-0.00666666666666667,0.1,-0.0028021978021978,-0.0611410270328954,-0.0745833333333333,-0.1,-0.2,0.00283840190816935,-0.1,0.00666666666666667,0,-0.0686456400742115,0.104761904761905,0,0,-0.172514619883041,-0.2,-0.2,-0.12,-0.1,-0.1,-0.297619047619048,-0.124263038548753,-0.122222222222222,-0.1,-0.126900584795322,-0.0142857142857143,0,0.0120300751879699,-0.22,-0.22,-0.22,-0.2,-0.29047619047619,-0.29047619047619,-0.305990338164251
"RAS",0.180357142857143,-0.105468164794007,-0.0896949152542373,-0.1,-0.156666666666667,-0.1,0.150976541189307,0.323994727523962,0.125263157894737,0.123302373581011,0.0230062893081761,-0.104431524547804,-0.1,-0.0698550724637681,0.0141025641025641,0.0141025641025641,-0.0558823529411765,-0.0502195051506691,-0.0935897435897436,-0.0409887359198999,-0.05,0.0499523876297655,0.0453436464616589,-0.0771428571428572,0,0.05,0.0465367856039269,0.1,0.0433823529411765,-0.12,-0.0478799641590339,-0.0141025641025641,0.0558823529411765,-0.12,-0.182654867256637,0.173333333333333,0.166666666666667,0.088,0.1,0.2,0.0432900432900433,0.0841063698206555,0.0861471861471862,0.1,-0.00928853754940711,-0.0763157894736842,-0.05,-0.0668818272095333,-0.172754804892254,-0.171764705882353,-0.16,-0.14,-0.185511782032401,-0.185511782032401,-0.198984615384615
"TWIST1",0.109276631227851,0.135402895931801,0.246797909590541,0.2,0.257369466691501,0.244444444444444,-0.113642848062184,0.149749070251395,-0.186376811594203,-0.182894224529526,0.0965923878967357,-0.0825505001802012,0.133333333333333,0.174751861042184,-0.143226365079623,-0.143226365079623,0.12434988179669,0.124713972155061,-0.143568830833047,0.123948275370987,0.122222222222222,0.148185091323434,0.280968015885412,0.0134161787200047,-0.133333333333333,-0.122222222222222,-0.124656467842238,-0.133333333333333,-0.125380116959064,0.173333333333333,-0.0897354233611089,0.143226365079623,-0.125380116959064,0.186376811594203,-0.0519227625402292,-0.262454212454212,-0.257692307692308,-0.244334855403349,-0.248444444444444,-0.25,-0.242089616460326,-0.147968895988698,-0.146978796978797,-0.233333333333333,-0.156410256410256,-0.0585754985754986,-0.0637037037037037,-0.063292479707574,-0.121853472078415,-0.122992424242424,-0.124242424242424,-0.124242424242424,-0.0978645311978645,-0.0978645311978645,-0.113047199804353
"cateninnuc",0.0150257018584421,-0.0656265910320795,-0.0918029459348482,-0.166666666666667,-0.153952651515152,-0.0888888888888889,0.0967853630638002,0.270454398169468,0.136449843191725,0.136449843191725,0.0762574984981933,-0.0213783008252183,-0.0575757575757576,-0.225803541580847,0.147504702504703,0.147504702504703,-0.060836627140975,-0.0604676595389977,0.146326251326251,-0.0596461509504988,-0.0589456205894562,0.194772338222728,0.256332487159473,0.0831489930834193,0.0575757575757576,0.0575757575757576,-0.0405541576385776,0.0575757575757576,0.0610207194036855,-0.145652173913043,-0.0161904639238692,-0.147504702504703,0.0622064901546736,-0.137715665976536,-0.096802617214898,0.155515151515152,0.151515151515152,0.0911493511636063,0.090528233151184,0.166666666666667,0.111857098065254,0.0121952166372357,0.0128773448773449,0.0888888888888889,0.012961210974456,-0.0263354209550504,-0.025172630257376,-0.0240626936823232,-0.0186420863180387,-0.0188604269293924,-0.0182857142857143,-0.0182857142857143,-0.0474100374837862,-0.0474100374837862,-0.0401186576421395
"cateninmemb",0.00487576183778715,-0.00609805145274253,-0.0226287994242655,-0.1,-0.0801443001443002,-0.0166666666666667,0.0114684582709558,0.129994761375172,0.105754451733833,0.106930922322068,0.0146264293936846,0.0106781441088172,-0.00588235294117647,-0.110531568039917,0.0731862745098039,0.0731862745098039,-0.00442633676321894,-0.00472871455219589,0.0773762186438821,-0.00609857756589452,-0.00355677154582763,0.0652376406821403,0.233333814425418,0.0649638143891017,0,0.00355677154582763,0.00575579204986163,0.00588235294117647,0.00661424281019545,-0.110909090909091,0.0152220790012473,-0.0731862745098039,0.00528090947686212,-0.110909090909091,-0.0220742935873064,0.0736507936507937,0.0847619047619048,0.0218413978494624,0.0229166666666667,0.08,0.0818309710812194,0.00594027441485069,0.00666666666666667,0.0333333333333333,0.00955040222312232,0.0181255857544517,0.0109090909090909,0.0147798608473885,-0.00853165358876998,-0.00762749445676275,-0.00909090909090909,-0.00509090909090909,-0.0237656694007111,-0.0237656694007111,-0.0199888586480765
"ZEB1",0.00404361844872129,0.104666306150052,0.134851656612176,0.133333333333333,0.123152142651711,0.133333333333333,0.0206285398632629,-0.0546680437776328,0.0488627450980392,0.048422216463678,0.0760122920277659,0.113038195794878,-0.0142857142857143,0.0936012536790267,-0.0484749743601127,-0.0484749743601127,-0.0118861052863922,-0.00941861119655771,-0.0476875727853096,-0.00702499417528112,0.00278745644599303,0.000224283521110242,0.047138104512425,-0.0155481518051471,0,0.00600375234521576,0.00814659554098041,0.0230769230769231,-0.00217286485202,-0.0333333333333333,0.00539615005034317,0.0484749743601127,0.00298177432323774,-0.0453333333333333,-0.0795815930871251,-0.123152142651711,-0.128070175438597,-0.136631016042781,-0.128787878787879,-0.133333333333333,-0.11859649122807,-0.116009261068653,-0.116490030299422,-0.133333333333333,-0.128046245636919,-0.0993872549019608,-0.0895833333333333,-0.0977343623399773,-0.183336588896753,-0.183336588896753,-0.186889888389139,-0.18544061302682,0.000474736775115998,0.000474736775115998,0.0464962861975819
"KLF4",-0.00740740740740741,0.00495388669301713,0.0218413978494624,0.1,0.0736507936507937,0.0333333333333333,-0.00793028322440087,-0.130536603638869,-0.110909090909091,-0.105754451733833,-0.00900845186559472,-0.0139894023869629,0,0.109500640204866,-0.0783333333333333,-0.0783333333333333,0.00355677154582763,0.00609857756589452,-0.0731862745098039,0.00442633676321894,0.00588235294117647,0.0530158876805218,0.0950691100242874,-0.0702269722838386,-0.0333333333333333,-0.00588235294117647,-0.00472871455219589,0,-0.00528090947686212,0.12,-0.0127989662333069,0.0783333333333333,-0.00355677154582763,0.110909090909091,0.0255553062455343,-0.0847619047619048,-0.08,-0.0229166666666667,-0.0166666666666667,-0.1,-0.0844625500285878,-0.00666666666666667,-0.00666666666666667,0,-0.0102215431627196,-0.0109090909090909,-0.0109090909090909,-0.0181255857544517,0.00762749445676275,0.00909090909090909,0.00509090909090909,0.00909090909090909,0.0199742002063983,0.0199742002063983,0.0194301994301994
"HEY1",-0.00740740740740741,0.00495388669301713,0.0218413978494624,0.1,0.0736507936507937,0.0333333333333333,-0.00793028322440087,-0.130536603638869,-0.110909090909091,-0.105754451733833,-0.00900845186559472,-0.0139894023869629,0,0.109500640204866,-0.0783333333333333,-0.0783333333333333,0.00355677154582763,0.00609857756589452,-0.0731862745098039,0.00442633676321894,0.00588235294117647,0.0530158876805218,0.0950691100242874,-0.0702269722838386,-0.0333333333333333,-0.00588235294117647,-0.00472871455219589,0,-0.00528090947686212,0.12,-0.0127989662333069,0.0783333333333333,-0.00355677154582763,0.110909090909091,0.0255553062455343,-0.0847619047619048,-0.08,-0.0229166666666667,-0.0166666666666667,-0.1,-0.0844625500285878,-0.00666666666666667,-0.00666666666666667,0,-0.0102215431627196,-0.0109090909090909,-0.0109090909090909,-0.0181255857544517,0.00762749445676275,0.00909090909090909,0.00509090909090909,0.00909090909090909,0.0199742002063983,0.0199742002063983,0.0194301994301994
"FOXC2",-0.00740740740740741,0.00495388669301713,0.0218413978494624,0.1,0.0736507936507937,0.0333333333333333,-0.00793028322440087,-0.130536603638869,-0.110909090909091,-0.105754451733833,-0.00900845186559472,-0.0139894023869629,0,0.109500640204866,-0.0783333333333333,-0.0783333333333333,0.00355677154582763,0.00609857756589452,-0.0731862745098039,0.00442633676321894,0.00588235294117647,0.0530158876805218,0.0950691100242874,-0.0702269722838386,-0.0333333333333333,-0.00588235294117647,-0.00472871455219589,0,-0.00528090947686212,0.12,-0.0127989662333069,0.0783333333333333,-0.00355677154582763,0.110909090909091,0.0255553062455343,-0.0847619047619048,-0.08,-0.0229166666666667,-0.0166666666666667,-0.1,-0.0844625500285878,-0.00666666666666667,-0.00666666666666667,0,-0.0102215431627196,-0.0109090909090909,-0.0109090909090909,-0.0181255857544517,0.00762749445676275,0.00909090909090909,0.00509090909090909,0.00909090909090909,0.0199742002063983,0.0199742002063983,0.0194301994301994
"SNAI2",-0.005,0.111298195967457,0.116158463385354,0.1,0.13075751280986,0.12,-0.114107727373995,0.168747932163771,-0.141176470588235,-0.138473767885533,-0.00734615384615385,-0.067579366516739,0.110909090909091,0.165724150802538,-0.130413378619668,-0.130413378619668,0.109500640204866,0.110531568039917,-0.128130273596837,0.109500640204866,0.110909090909091,0.140770675041002,0.292396567108452,-0.101193486294041,-0.12,-0.110909090909091,-0.1100657295306,-0.110909090909091,-0.110035399563154,0.133333333333333,-0.0697016022218515,0.130413378619668,-0.109500640204866,0.13921568627451,0.0210018274481642,-0.136781609195402,-0.133333333333333,-0.116158463385354,-0.114117647058824,-0.133333333333333,-0.117816091954023,-0.00664882436565165,-0.00617035546613011,-0.1,-0.0155515370705244,-0.0596491228070175,-0.0614035087719298,-0.0635452267031214,0.00844645550527904,0.00844645550527904,0.00588235294117647,0.00588235294117647,0.0205118523180197,0.0205118523180197,0.0205814905744131
"Ecadherin",-0.00487576183778715,0.00609805145274253,0.0226287994242655,0.1,0.0801443001443002,0.0166666666666667,-0.0114684582709558,-0.129994761375172,-0.105754451733833,-0.106930922322068,-0.0146264293936846,-0.0106781441088172,0.00588235294117647,0.110531568039917,-0.0731862745098039,-0.0731862745098039,0.00442633676321894,0.00472871455219589,-0.0773762186438821,0.00609857756589452,0.00355677154582763,0.0530158876805218,-0.00532037390950028,-0.0649638143891017,0,-0.00355677154582763,-0.00575579204986163,-0.00588235294117647,-0.00661424281019545,0.110909090909091,-0.0152220790012473,0.0731862745098039,-0.00528090947686212,0.110909090909091,0.0220742935873064,-0.0736507936507937,-0.0847619047619048,-0.0218413978494624,-0.0229166666666667,-0.08,-0.0818309710812194,-0.00594027441485069,-0.00666666666666667,-0.0333333333333333,-0.00955040222312232,-0.0181255857544517,-0.0109090909090909,-0.0147798608473885,0.00853165358876998,0.00762749445676275,0.00909090909090909,0.00509090909090909,0.0237656694007111,0.0237656694007111,0.0199888586480765
"SOSGRB2",-0.143947368421053,-0.182092204590319,-0.194971715901948,-0.3,-0.317543859649123,-0.2,-0.0416231884057971,0.265485414281742,0.244916344916345,0.235825435825436,-0.182383040935673,0.0104870476258976,0.1,0.14911303630363,0.129190207156309,0.129190207156309,0.127329192546584,0.119548872180451,0.135600463566565,0.114285714285714,0.114285714285714,0.139159081159081,0.224518006107306,0.0314285714285714,0,-0.114285714285714,-0.114768757457698,-0.1,-0.109575569358178,-0.214285714285714,0.00785579074169678,-0.129190207156309,-0.122619047619048,-0.247619047619048,0.0176147832267235,0.317543859649123,0.333333333333333,0.197297297297297,0.2,0.3,0.2875,0.220699300699301,0.22,0.2,0.124147727272727,-0.0223776223776224,-0.0454545454545455,-0.0266029744902984,0.0669035928610397,0.0718681318681319,0.0757142857142857,0.0857142857142857,0.136804511278195,0.136804511278195,0.163892567925528
"TGFR",-0.160233918128655,-0.132578546882671,-0.149571522501461,-0.233333333333333,-0.248698781838317,-0.136666666666667,0.00363121128245684,-0.0078539454504514,0.219766081871345,0.223875670912441,-0.111298701298701,-0.131006201366347,0.0571428571428571,0.101663752450591,0.0845238095238095,0.0845238095238095,0.0685534591194969,0.0690319280190184,0.0862781954887218,0.0685534591194969,0.0571428571428571,0.0844012894177066,0.112185658058299,0.109920461634435,-0.1,-0.0666666666666667,-0.0684119103042265,-0.0666666666666667,-0.0583844883053647,-0.233333333333333,-0.0282121195308883,-0.0845238095238095,-0.0590296495956873,-0.217543859649123,0.00455946306308334,0.244047619047619,0.244047619047619,0.150136494252874,0.147011494252874,0.258333333333333,0.299090318388564,0.156099428448183,0.157878787878788,0.153333333333333,0.162466198985729,0.0333333333333333,0.0333333333333333,0.0326139088729017,0.00953900709219858,0.0116666666666667,0.115238095238095,0.12,0.160165307494007,0.160165307494007,0.174099286265582
"TGF",-0.160233918128655,-0.132578546882671,-0.150136494252874,-0.2,-0.244047619047619,-0.153333333333333,0.00185185185185185,-0.00808542693193288,0.217543859649123,0.219766081871345,-0.115584415584416,-0.128316714813779,0.1,0.101234567901235,0.0880952380952381,0.0880952380952381,0.0666666666666667,0.0685534591194969,0.0845238095238095,0.0685534591194969,0.0571428571428571,0.0841703425354895,0.111333869301911,0.110357142857143,0,-0.0666666666666667,-0.0690319280190184,-0.1,-0.0590296495956873,-0.233333333333333,-0.029623409853469,-0.0880952380952381,-0.0571428571428571,-0.233333333333333,0.00367450731087095,0.244047619047619,0.258333333333333,0.147011494252874,0.136666666666667,0.233333333333333,0.305263157894737,0.157878787878788,0.157878787878788,0.133333333333333,0.163958736299162,0.0333333333333333,0.0133333333333333,0.0333333333333333,0.0116666666666667,0.115238095238095,0.12,0.12,0.162052099946837,0.162052099946837,0.173806031133617
"Destcompl",-0.157284913092367,0.00708632792541772,0.0709985302404494,-0.0333333333333333,-0.0281846521998258,0.0674329501915709,-0.0266757123207489,-0.155649139534049,-0.0306010928961749,-0.0306010928961749,-0.0344084622093138,0.021343009048895,0.030952380952381,0.129389632715543,0.0330606141906854,0.0330606141906854,0.0250912755206356,0.0236508747845898,0.0322756848343275,0.0217330665654117,0.0186236138290933,-0.0417187980408968,-0.0580061422334747,0.0437044073334745,-0.0166666666666667,-0.0186236138290933,-0.0227329757534832,-0.030952380952381,-0.022029260516211,0.0333333333333333,-0.0766901105090573,-0.0330606141906854,-0.0255543068984002,0.0333333333333333,0.033662970497165,0.0268423703206312,0.0277432712215321,-0.0684840234706235,-0.0731472359058566,0.019047619047619,0.0075965877415351,0.0202005012531328,0.0203174603174603,-0.0777777777777778,0.0168656984041599,-0.0149412455934195,-0.0203760282021152,-0.018348059220674,0.115538353272343,0.115636875439831,0.115636875439831,0.116326530612245,0.162375813106618,0.162375813106618,0.191620573994357
