"","HEY1","SMO","TGFR","AKT","Jagged","NOTCHic","NOTCH","Csn","Csl","GSK3","cfos","ERK","EGR1","RAF","PI3K","cMet","TCFLEF","CD44","cateninmemb","GLI","LIV1","Frizzled","Wnt","SRC","Destcompl","cateninnuc","DSH","AXIN2","STAT","Ecadherin","DELTA","RAS","SOSGRB2","SNAI2","TWIST1","ZEB1","MEK","TrCP","RKIP","SNAI1","NFB","IKK","FUS","SUFU","CDC42","PAK1","TGF","Patched","FOXC2","SHH","miR200","SMAD","ILK","ZEB2","KLF4"
"MEK",0.133638827297364,0.0586666666666667,0.193101913662661,0.0624299719887955,0.138730220580536,0.170707070707071,0.175816559758166,-0.0142857142857143,0.170707070707071,-0.116866286015222,-0.0220689655172414,0.0183565663976522,-0.06,-0.105619380619381,-0.105619380619381,-0.134750337381916,-0.138248620269512,-0.135449638081217,-0.0536704648899771,-0.14018648018648,0.1,0.143333333333333,0.139487179487179,0.13859649122807,0.274963204414914,0.139549735511148,0.133333333333333,0.174117788674751,0.133333333333333,0.0932408964996445,0.105619380619381,0.10530192030192,-0.136190476190476,-0.235608074676591,-0.228674560733384,0.0306836555760516,-0.123356566397652,0,-0.211834733893557,-0.238575989192573,-0.0232142857142857,-0.056547619047619,-0.0466666666666667,-0.0666666666666667,-0.180952380952381,-0.166666666666667,-0.197481475706457,-0.0668633879781421,-0.186471351988593,-0.0727457409193185,-0.0662888778144369,-0.11883133839155,-0.116986319941365,-0.102680649495571,-0.0965088474414156
"RKIP",0.128184281842818,0.0466666666666667,0.180952380952381,0.056547619047619,0.135451532055946,0.170707070707071,0.170707070707071,0,0.188888888888889,-0.113672182821119,-0.06,-0.0220689655172414,-0.11,-0.113311688311688,-0.113311688311688,-0.13859649122807,-0.135449638081217,-0.134750337381916,-0.0546460746460746,-0.139487179487179,0,0.133333333333333,0.143333333333333,0.133333333333333,0.272452744163868,0.138248620269512,0.1,0.172315986872949,0.1,0.0945159420369851,0.113311688311688,0.105619380619381,-0.140634920634921,-0.236824619688757,-0.223912655971479,0.0298900047824008,-0.0183565663976522,0,-0.211834733893557,-0.235370860987445,0.0142857142857143,-0.0232142857142857,-0.0666666666666667,-0.1,-0.166666666666667,-0.133333333333333,-0.193101913662661,-0.0586666666666667,-0.180165045682287,-0.0668633879781421,-0.0597873298268208,-0.116986319941365,-0.110055626872058,-0.0947441415590626,-0.0847441415590627
"RAF",0.128184281842818,0.0466666666666667,0.180952380952381,0.056547619047619,0.135451532055946,0.170707070707071,0.170707070707071,0,0.188888888888889,-0.113672182821119,-0.06,-0.0220689655172414,-0.11,-0.113311688311688,-0.113311688311688,-0.13859649122807,-0.135449638081217,-0.134750337381916,-0.0546460746460746,-0.139487179487179,0,0.133333333333333,0.143333333333333,0.133333333333333,0.272452744163868,0.138248620269512,0.1,0.172315986872949,0.1,0.0945159420369851,0.113311688311688,0.105619380619381,-0.140634920634921,-0.236824619688757,-0.223912655971479,0.0298900047824008,-0.0183565663976522,0,-0.211834733893557,-0.235370860987445,0.0142857142857143,-0.0232142857142857,-0.0666666666666667,-0.1,-0.166666666666667,-0.133333333333333,-0.193101913662661,-0.0586666666666667,-0.180165045682287,-0.0668633879781421,-0.0597873298268208,-0.116986319941365,-0.110055626872058,-0.0947441415590626,-0.0847441415590627
"Csn",0.0383139534883721,-0.0112554112554113,0.197115819503879,-0.026,0.0564081162689601,0.0948051948051948,0.0957667332667333,-0.055,0.0909090909090909,-0.167185767751007,0.0863636363636364,0.0902597402597403,0.05,-0.140333839862868,-0.140333839862868,-0.152243456584961,-0.155430309032263,-0.154465678807183,0.0740919020635828,-0.154426862698498,0.133333333333333,0.153448275862069,0.152243456584961,0.153448275862069,0.269807473458632,0.156693087144109,0.15,0.191785686181933,0.15,-0.0371916744762417,0.140333839862868,0.142829041398377,-0.147817364233829,0.0696723407103591,-0.159940782297024,0.0222944582299421,-0.0933847402597403,-0.02,-0.153332441318144,-0.171198593282879,0.0383333333333333,0.03,0.0142857142857143,0.0142857142857143,-0.190705563093623,-0.177272727272727,-0.200695771771182,0.00802960480379835,-0.193748723993233,0.00311157201691311,-0.0588449838505694,-0.0358341649502094,-0.0340346790890269,-0.0792555831265509,-0.0736852689793866
"SOSGRB2",0.0101325757575758,-0.05,0.0596703296703297,0.0687865497076023,0.0339512500953139,0.0573426573426573,0.055934206638432,0,0.0727272727272727,0.010687237026648,0.0174603174603175,0.058000858000858,-0.0380952380952381,-0.106026365348399,-0.106026365348399,-0.147204968944099,-0.144703062002833,-0.145755693581781,-0.0557377637377637,-0.149741200828157,0,0.142857142857143,0.151190476190476,0.142857142857143,0.255492456834739,0.147953540014305,0.1,0.179256050605061,0.1,0.103883621599331,0.106026365348399,0.0983340576560916,-0.00111111111111111,-0.110879312493977,-0.0596811594202899,0.0155012531328321,-0.0913341913341913,-0.1,-0.113888888888889,-0.0766055437100213,-0.0111111111111111,-0.047953216374269,0.0333333333333333,0,-0.0442857142857143,-0.0142857142857143,-0.068890187826358,0.0472972972972973,-0.057020757020757,0.037994971715902,-0.0290181387017836,0.00317166704263478,0.00387096774193548,-0.0421679197994987,-0.0335964912280702
"IKK",0.078328173374613,0.12,0.0252525252525253,0.126962676962677,-0.0188503592627304,-0.067965367965368,-0.0695526695526695,0.1,-0.0727272727272727,0.127857142857143,0.00714285714285715,-0.0288571428571429,0.05,0.0491228070175439,0.0491228070175439,0.118803418803419,0.122036795596118,0.12034188034188,0.0181507598546705,0.12034188034188,-0.1,-0.111111111111111,-0.118803418803419,-0.111111111111111,-0.229037275350682,-0.122458736524388,-0.1,-0.149047619047619,-0.1,-0.0233918525281638,-0.0491228070175439,-0.0477143563133185,-0.0321428571428571,-0.340088787417555,0.0320915032679739,-0.0142857142857143,0.0444126984126984,0,0.0428051001821494,0.0436316087079446,-0.0571428571428571,-0.14047619047619,-0.12,-0.1,-0.0388888888888889,-0.05,-0.0180525252525253,-0.116296296296296,-0.031024531024531,-0.116296296296296,0.0189632107023411,-0.0796685918591859,-0.0826388888888889,0.028812030075188,0.0271062271062271
"NFB",0.078328173374613,0.116296296296296,0.0180525252525253,0.124740454740455,-0.0210086326440254,-0.0695526695526695,-0.0714881534236373,0.0571428571428571,-0.067965367965368,0.131386554621849,-0.0288571428571429,-0.0444126984126984,0.00714285714285715,0.0477143563133185,0.0477143563133185,0.12034188034188,0.122458736524388,0.122036795596118,0.0172003902664973,0.121465475847498,-0.1,-0.118803418803419,-0.12034188034188,-0.118803418803419,-0.230033953091545,-0.123635207112623,-0.111111111111111,-0.151884498480243,-0.111111111111111,-0.0225892843098652,-0.0477143563133185,-0.0506994309401842,-0.0331954887218045,-0.340901795547636,0.0336788048552754,-0.0139025725232622,0.0437591036414566,-0.1,0.0402409976180468,0.0477411977490405,-0.14047619047619,-0.126962676962677,-0.12,-0.12,-0.0252525252525253,-0.0388888888888889,-0.0148879682904999,-0.116296296296296,-0.0274388736540131,-0.115091477019188,0.0216822439349695,-0.07929684464729,-0.0796685918591859,0.0330265894621612,0.030952380952381
"RAS",-0.114229249011858,-0.116666666666667,-0.08,0.132222222222222,-0.0729193770944215,-0.205263157894737,-0.195829195630586,0.1,-0.2,-0.0663049095607235,0.01,0.0257894736842105,-0.04,-0.185641025641026,-0.185641025641026,-0.105882352941176,-0.104114758833157,-0.0994993742177722,0.0469688012955697,-0.0975490196078431,0,0.1,0.105882352941176,0.1,0.12337075244052,0.104964617190097,0.1,0.12764163372859,0.1,-0.0204379863495684,0.185641025641026,0.0894871794871795,0.0705627705627706,0.305994018022011,0.0298963447899618,-0.0516310751104565,-0.0159855521155831,0,0.109327044025157,0.0617895771878073,-0.133333333333333,-0.126666666666667,0.1,0.1,0.08,0.1,0.075049504950495,0.104666666666667,0.0841269841269841,0.116531073446328,0.0936923076923077,0.107050092764378,0.109090909090909,0.0963070692194403,0.0932142857142857
"TWIST1",-0.0923573601539703,-0.159555555555556,-0.0866666666666667,-0.000459427578071645,-0.0309300202133801,-0.0562962962962963,-0.053466107617051,0,-0.0562962962962963,-0.0996779560308972,-0.0310144927536232,-0.03627765064836,-0.0266666666666667,-0.0971428880347286,-0.0971428880347286,-0.0709219858156028,-0.0710954207498267,-0.0697171665384944,-0.0352816292098355,-0.0682245614035088,0.0666666666666667,0.0666666666666667,0.0698245614035088,0.0666666666666667,0.10285829117638,0.0704628733087686,0.0666666666666667,0.102845541555219,0.0666666666666667,-0.0204069675078038,0.0971428880347286,0.0988552168018519,0.0236304250034227,0.328256925623791,-0.0599113726344848,-0.0569411516779938,0.0427453123399023,0,0.0699783634566243,0.0777536616239264,-0.00769230769230769,-0.00293040293040293,0.155555555555556,0.166666666666667,0.0866666666666667,0.0866666666666667,0.0850721336370539,0.160925418569254,0.11312292358804,0.167329359455954,0.0968682528036894,0.0854093066964354,0.0877195377195377,0.105596824895071,0.0987700646237232
"ERK",-0.133980124225692,-0.0668633879781421,-0.197481475706457,-0.061512540796135,-0.141139859134753,-0.175816559758166,-0.180525701032404,-0.0232142857142857,-0.170707070707071,0.120590173390336,-0.0183565663976522,-0.123356566397652,0.0220689655172414,0.10530192030192,0.10530192030192,0.135449638081217,0.139549735511148,0.138248620269512,0.0523825164079164,0.142442119284225,-0.133333333333333,-0.139487179487179,-0.14018648018648,-0.134750337381916,-0.276053020273613,-0.140105291066703,-0.143333333333333,-0.176556813064995,-0.13859649122807,-0.0916274395823771,-0.10530192030192,-0.108492239333824,0.132306981044845,0.234255504793814,0.230755004561401,-0.0289513721114846,0.119735396481218,-0.0142857142857143,0.209327770105257,0.241353766970351,0.056547619047619,0.0624299719887955,0.0586666666666667,0.0466666666666667,0.193101913662661,0.180952380952381,0.20077817900316,0.0727457409193185,0.190402975920217,0.0737119244941978,0.0697202503634565,0.120655046598237,0.11883133839155,0.10756253925935,0.105035979224361
"GSK3",-0.0809573668284053,-0.123223013545594,0.0371165984951775,-0.0331612879457707,0.0486752941610176,0.0508354390707332,0.0484977767330709,-0.0491666666666667,0.0473389355742297,-0.301038125060795,0.0493246187363834,0.0545877766311203,0.0345098039215686,-0.204172242683005,-0.204172242683005,-0.251619528954837,-0.258789524290461,-0.257810005145314,0.0543952429276708,-0.256764923778184,0.25,0.248308270676692,0.251576244532901,0.248308270676692,0.324030096413159,0.259578997974671,0.244736842105263,0.30435999434463,0.244736842105263,0.109822994345273,0.204172242683005,0.208584007388888,-0.0907829285481015,0.231337155587484,-0.10955682591777,0.0762459477692225,-0.0597014129947566,0.0866666666666667,-0.0702209194314457,-0.0743784807485515,0.0429166666666667,0.0348706896551724,0.132900432900433,0.109090909090909,-0.0284057971014493,-0.0217391304347826,-0.0422448036233826,0.127517492073202,-0.0237075694603234,0.126560554274158,0.114848750024189,0.0851804851232509,0.0862299603856197,0.140045040479954,0.139766007937304
