"","SNAI1","AKT","NFB","RKIP","Jagged","NOTCH","NOTCHic","Csn","Csl","TWIST1","TrCP","cfos","MEK","EGR1","FOXC2","STAT","cateninmemb","RAS","RAF","PI3K","DELTA","CD44","Destcompl","Wnt","Frizzled","GLI","Ecadherin","LIV1","SRC","cateninnuc","TCFLEF","cMet","AXIN2","DSH","ZEB1","TGFR","CDC42","PAK1","TGF","SNAI2","ERK","GSK3","SOSGRB2","SUFU","IKK","FUS","SMO","HEY1","Patched","SHH","ILK","SMAD","miR200","ZEB2","KLF4"
"NOTCH",0.232692307692308,0.122222222222222,0.1,0.200088417329797,0.092034632034632,0.0710599078341014,0.174285714285714,0,0.16,0.155694915254237,0,-0.02,0.0204761904761905,0,0.0348979591836735,0,-0.00275245954546891,-0.0340974967061924,-0.0442424242424242,-0.0442424242424242,-0.0442424242424242,0.00927738927738928,0.0118446938260022,0.0123076923076923,0.02,0.00927738927738928,0.00284323712507074,0,-0.02,-0.0063888492459921,-0.00598068598068598,-0.0123076923076923,-0.00617250673854447,0,-0.0821256038647343,-0.0293333333333333,-0.0333333333333333,0,-0.0293333333333333,-0.180770427829251,-0.0133333333333333,0.00270811563915012,-0.0957894736842105,0,-0.133333333333333,-0.1,-0.15,-0.0623188405797101,-0.142307692307692,-0.142307692307692,-0.161904761904762,-0.175238095238095,-0.262510822510822,-0.373590982286634,-0.355072463768116
"Jagged",0.225,0.133333333333333,0,0.18974358974359,0.092034632034632,0.174285714285714,0.16,0,0.1,0.154,0,0,0.0133333333333333,0.1,0.0328571428571428,0,-0.00327601975489299,-0.0442424242424242,-0.0533333333333333,-0.0533333333333333,-0.0533333333333333,0.0123076923076923,0.0155830115830116,0.02,0,0.0123076923076923,0.0044561403508772,0,0,-0.00598068598068598,-0.00927738927738928,-0.02,-0.00428571428571428,0,-0.0710144927536232,-0.0333333333333333,0,0,-0.0293333333333333,-0.180241327300151,0.02,0.00498084291187739,-0.08,0,-0.1,0,-0.1,-0.0666666666666667,-0.15,-0.142307692307692,-0.166666666666667,-0.161904761904762,-0.253939393939394,-0.355072463768116,-0.333333333333333
"DELTA",0.225,0.133333333333333,0,0.18974358974359,0.092034632034632,0.174285714285714,0.16,0,0.1,0.154,0,0,0.0133333333333333,0.1,0.0328571428571428,0,-0.00327601975489299,-0.0442424242424242,-0.0533333333333333,-0.0533333333333333,-0.0533333333333333,0.0123076923076923,0.0155830115830116,0.02,0,0.0123076923076923,0.0044561403508772,0,0,-0.00598068598068598,-0.00927738927738928,-0.02,-0.00428571428571428,0,-0.0710144927536232,-0.0333333333333333,0,0,-0.0293333333333333,-0.180241327300151,0.02,0.00498084291187739,-0.08,0,-0.1,0,-0.1,-0.0666666666666667,-0.15,-0.142307692307692,-0.166666666666667,-0.161904761904762,-0.253939393939394,-0.355072463768116,-0.333333333333333
"cMet",0.266428783823967,0.177916666666667,0.166666666666667,0.0959259259259259,0.160863484341745,0.156742921132619,0.137593984962406,0.1,0.142857142857143,0.219827139152982,0.2,0.205,0.229545454545454,0.125,0.110305907172996,0,-0.00958409917484651,0.0675112309074573,0.0561904761904762,0.0561904761904762,0.0561904761904762,0.0450387596899225,0.0764416823240353,0.0566666666666667,0.05,0.043030303030303,0.04478626617196,-0.1,0.05,-0.0448823059741467,-0.046577221228384,-0.0566666666666667,-0.0457142857142857,-0.1,0.0603174603174603,-0.119722222222222,-0.114166666666667,-0.126666666666667,-0.113339243498818,-0.338235908454887,-0.195,0.0251536098310292,-0.0657142857142857,-0.1,-0.146666666666667,-0.15,-0.15,-0.136704506363949,-0.177272727272727,-0.180397727272727,-0.189455782312925,-0.211273964131107,-0.250276268115942,-0.282539682539683,-0.371428571428571
"Destcompl",0.223572441611297,0.12014012428369,0.127329192546584,0.202038722644684,-0.20956870291084,-0.0520334362418531,-0.0506306306306306,0.114285714285714,-0.0462828045436741,0.252486815212979,0.1,0.0872261072261072,0.0866796591386755,0.0902564102564102,0.0216041066261327,0.275396825396825,-0.264974938735898,0.0678928271705645,0.0671078978142065,0.0671078978142065,0.0671078978142065,0.278635767671752,0.167065593700965,0.279506414437921,0.279506414437921,0.279320885680964,0.0487972023797576,0.261111111111111,-0.279506414437921,-0.278361795069012,-0.278361795069012,-0.27900890200011,-0.136534193242859,-0.275396825396825,0.0491613805559226,-0.091473758287344,-0.0925263898662913,-0.0918367346938776,-0.0919663691247824,-0.376515221465763,-0.0866796591386755,-0.271530109686463,-0.156253853717275,0.122222222222222,-0.122824688042079,0.0980842911877395,0.0980842911877395,-0.108066463451079,0.100674964762869,0.100094693969832,-0.108809523809524,-0.111265664160401,-0.240900375074712,-0.274308437220093,-0.261249294402574
"AKT",0.0481917656459991,0.108432743726861,0.229411764705882,0.0329965430988449,0.149587545021494,0.160152514676512,0.15893300248139,0.2,0.165384615384615,-0.0153592735033553,0.166666666666667,0.0126050420168067,0.0291437429921128,-0.0285714285714286,-0.0433571734213583,-0.188888888888889,0.068486618127973,-0.0112139231181978,-0.0129006701061496,-0.0129006701061496,-0.0129006701061496,-0.213579477101953,-0.246203350282086,-0.209624674842066,-0.201932367149758,-0.213535289367206,0.0573235993913599,-0.2,0.201932367149758,0.212443870440573,0.212136178132881,0.209624674842066,0.133479456764655,0.188888888888889,-0.071965315567377,0.0770272596843616,0.0745882352941176,0.0705882352941176,0.0761209152734854,0.0113636373591281,-0.0240804518528723,0.128300283945445,0.0312393162393162,-0.1,-0.211463046757164,-0.15,-0.134615384615385,-0.0933964160729743,-0.126282051282051,-0.131545209176788,-0.107985594237695,-0.117076503328604,-0.170348873024861,-0.236539732519112,-0.237207602339181
"PI3K",0.0444323671497584,0.211463046757164,0.2,0.0361021331609567,0.145614035087719,0.15893300248139,0.165384615384615,0.166666666666667,0.15,-0.0144418423106948,0.2,-0.0285714285714286,0.0240804518528723,0,-0.0463646922183508,-0.2,0.0669575661402054,-0.0129006701061496,-0.0252294372294372,-0.0252294372294372,-0.0252294372294372,-0.209624674842066,-0.245458933408637,-0.201932367149758,-0.188888888888889,-0.209624674842066,0.0574751145428751,-0.1,0.188888888888889,0.212136178132881,0.213579477101953,0.201932367149758,0.130952380952381,0.2,-0.0705954525536784,0.0745882352941176,0.0705882352941176,0.1,0.0770272596843616,0.0102581097209371,-0.0126050420168067,0.122655122655123,0.0334615384615385,0,-0.229411764705882,-0.1,-0.15,-0.0926445363737262,-0.134615384615385,-0.126282051282051,-0.103985594237695,-0.107985594237695,-0.169814113666573,-0.233800006491715,-0.22609649122807
"RAS",0.169115044247788,0.112222222222222,0.0666666666666667,0.0882201257861635,0.172493593534398,0.140317775571003,0.115789473684211,0.1,0.1,0.103076923076923,0.2,0.105,0.122543859649123,0.08,0.0906349206349207,-0.1,-0.019278669645042,-0.0693589743589744,0.0287179487179487,0.0287179487179487,0.0287179487179487,-0.146245306633292,-0.116272618016804,-0.144117647058824,-0.15,-0.14828431372549,0.100817015431557,0,0.15,0.152843694081537,0.150860691248676,0.144117647058824,0.115256916996047,0.1,0.0565500736377025,-0.0776470588235294,-0.06,-0.06,-0.0726965637740245,-0.24280197866698,-0.0892105263157895,0.124108527131783,-0.0536796536796537,-0.1,-0.0733333333333333,-0.1,-0.116666666666667,-0.0399209486166008,-0.152666666666667,-0.154361581920904,-0.147186147186147,-0.149226963512678,-0.203538461538462,-0.229635493372607,-0.220357142857143
"Frizzled",0.028191856452726,0.139166666666667,0.126666666666667,0.0185714285714286,0.159714795008913,0.186624649859944,0.196428571428571,0.0666666666666667,0.171428571428571,-0.0391596638655462,0.1,-0.04,0.0122875816993464,0,-0.0337425854439318,-0.2,0.0732371536185095,0.012021463824199,-0.00293916609706083,-0.00293916609706083,-0.00293916609706083,-0.226503759398496,-0.27676633880036,-0.215789473684211,-0.2,-0.226503759398496,0.0638148829926957,-0.1,0.2,0.231511643346778,0.232464024299159,0.215789473684211,0.139901338971106,0.1,-0.0692557921502337,0.0710144927536232,0.0666666666666667,0.1,0.075776397515528,0.100731262917437,-0.00117647058823529,0.145715778474399,0.0090909090909091,0,-0.164166666666667,-0.1,-0.163636363636364,-0.0977741407528641,-0.149350649350649,-0.139673229995811,-0.111548399920493,-0.116221297116755,-0.166458333333333,-0.226988365981505,-0.220168067226891
"Wnt",0.0266045548654244,0.164166666666667,0.0666666666666667,0.015,0.162745098039216,0.196428571428571,0.171428571428571,0.1,0.1,-0.0305882352941176,0.1,0,0.00117647058823529,0.1,-0.031417004048583,-0.1,0.0691101694915254,-0.00293916609706083,-0.0120300751879699,-0.0120300751879699,-0.0120300751879699,-0.215789473684211,-0.272787558959511,-0.2,-0.1,-0.215789473684211,0.0696423888202016,0,0.2,0.232464024299159,0.226503759398496,0.2,0.137575757575758,0,-0.0563845050215208,0.0666666666666667,0.1,0.1,0.0710144927536232,0.0928448275862069,0.04,0.148746081504702,0.0121212121212121,0,-0.126666666666667,0,-0.1,-0.116923076923077,-0.163636363636364,-0.149350649350649,-0.132478632478632,-0.111548399920493,-0.163333333333333,-0.218077474892396,-0.205882352941176
"AXIN2",0.110544602837056,0.0838164251207729,0.0821256038647343,0.100878234668557,-0.106672898194637,-0.0241062114746325,-0.0214035087719298,0.0777777777777778,-0.0214035087719298,0.124045080454817,0.0666666666666667,0.0611382113821138,0.0625626393550432,0.0733333333333333,0.0445431617562765,0.126666666666667,-0.135272260391415,0.0624322038944141,0.0613823351280099,0.0613823351280099,0.0613823351280099,0.136885893125626,0.12572999620572,0.136570435712376,0.138294573643411,0.137199366529986,0.0331318665616677,0.133333333333333,-0.138294573643411,-0.136490959347485,-0.136534193242859,-0.136570435712376,-0.116525532056092,-0.126666666666667,0.0486140726050064,-0.0828187479514913,-0.0837037037037037,-0.08,-0.082488714948191,-0.21414035499467,-0.0639419496998708,-0.128196336716932,-0.114051312564637,0.1,-0.0893719806763285,0.0923076923076923,0.078021978021978,-0.0600985221674877,0.0833791208791209,0.0830512520266619,-0.059397285484242,-0.0601909362778928,-0.157110304534532,-0.161541008910284,-0.155262061310319
"SOSGRB2",0.161525230987918,0.192982456140351,0.166666666666667,0.0213815789473684,0.199519829536308,0.197212646508421,0.195804195804196,0.2,0.172727272727273,0.13568115942029,0.1,0.144444444444444,0.152306852306852,0.133333333333333,0.0322954822954823,0,-0.13389781989782,0.106765174561785,0.119585687382298,0.119585687382298,0.119585687382298,-0.017184265010352,0.0751104227614295,-0.0226190476190476,-0.0142857142857143,-0.0211697722567288,0.164459242809623,0,0.0142857142857143,0.0177578787770824,0.017184265010352,0.0186335403726708,0.0101210121012101,0,0.0189724310776942,-0.0241758241758242,-0.0357142857142857,-0.0357142857142857,-0.0291403631829164,-0.316269612240285,-0.17957957957958,-0.017668932283238,-0.1175,-0.2,-0.192982456140351,-0.166666666666667,-0.166666666666667,-0.0950757575757576,-0.174774774774775,-0.198030588728263,-0.202365591397849,-0.211456500488759,-0.101795737783496,-0.131453634085213,-0.12859649122807
"RKIP",0.198640555722467,0.0201839826839827,-0.0142857142857143,0.0854341736694678,0.0868279569892473,0.0123154623154623,0.0161616161616162,0,-0.0111111111111111,0.13795008912656,0,0.1,0.106016140865737,0.05,0.0255083996463307,0,-0.131228202992909,0.0450577200577201,0.0561688311688312,0.0561688311688312,0.0561688311688312,0.00526315789473684,0.172453789878321,0,0,0,0.142491514837131,0,0,-0.00672581737266349,-0.00596245859403754,-0.00526315789473684,-0.00243788091889358,0,0.00637780966044954,-0.0257142857142857,-0.04,-0.0333333333333333,-0.026648865153538,-0.295057410969284,-0.137931034482759,-0.0457052797478329,-0.0532698412698413,-0.1,-0.0232142857142857,-0.0666666666666667,-0.0666666666666667,-0.0966705381339528,-0.0706666666666667,-0.0886994535519126,-0.0987590928540864,-0.109650181962997,-0.0759490093057447,-0.0965174557627929,-0.0985174557627929
"RAF",0.198640555722467,0.0201839826839827,-0.0142857142857143,0.0854341736694678,0.0868279569892473,0.0123154623154623,0.0161616161616162,0,-0.0111111111111111,0.13795008912656,0,0.1,0.106016140865737,0.05,0.0255083996463307,0,-0.131228202992909,0.0450577200577201,0.0561688311688312,0.0561688311688312,0.0561688311688312,0.00526315789473684,0.172453789878321,0,0,0,0.142491514837131,0,0,-0.00672581737266349,-0.00596245859403754,-0.00526315789473684,-0.00243788091889358,0,0.00637780966044954,-0.0257142857142857,-0.04,-0.0333333333333333,-0.026648865153538,-0.295057410969284,-0.137931034482759,-0.0457052797478329,-0.0532698412698413,-0.1,-0.0232142857142857,-0.0666666666666667,-0.0666666666666667,-0.0966705381339528,-0.0706666666666667,-0.0886994535519126,-0.0987590928540864,-0.109650181962997,-0.0759490093057447,-0.0965174557627929,-0.0985174557627929
"MEK",0.205050812132723,0.0307722179781003,0.0232142857142857,0.0788552263010467,0.090926317644985,0.0188848053811557,0.0123154623154623,-0.0142857142857143,0.0161616161616162,0.13831638949286,0,0.137931034482759,-0.00231719246759599,0.1,0.0273102014481325,0,-0.13293552006608,0.046010101010101,0.0450577200577201,0.0450577200577201,0.0450577200577201,0.00596245859403754,0.173081404941082,0,0,0.000699300699300699,0.145223755274289,0,-0.00526315789473684,-0.00616819655481963,-0.00672581737266349,-0.00526315789473684,-0.00333878181979448,0,0.0103460636287035,-0.026648865153538,-0.0257142857142857,-0.04,-0.0281087191681366,-0.297247191991181,-0.106016140865737,-0.0449681790107322,-0.0599365079365079,-0.0666666666666667,-0.0201839826839827,-0.0666666666666667,-0.0706666666666667,-0.107579629043044,-0.0886994535519126,-0.0958889960355727,-0.109650181962997,-0.112233207793256,-0.0744010216896457,-0.0933428525881897,-0.0965566714490674
"Csn",0.113929291551715,-0.0744,-0.0883333333333333,0.111771159874608,-0.0366995406107175,-0.115344377844378,-0.116305916305916,-0.08,-0.12020202020202,0.133221910550101,0.02,0.0184848484848485,0.00990800865800866,0.0366666666666667,0.0692783587458266,0.15,-0.0625328750218204,-0.0165143288958189,-0.0140191273603102,-0.0140191273603102,-0.0140191273603102,0.161694594469833,0.259372861402607,0.159472372247611,0.153448275862069,0.161655778361148,0.0102419941673623,0.133333333333333,-0.153448275862069,-0.161312918770433,-0.161373051061473,-0.159472372247611,-0.114681991658798,-0.15,0.00646484698097601,-0.0949657307866263,-0.0924016282225237,-0.0909090909090909,-0.0952043942711132,-0.117441531530053,-0.011991341991342,-0.131475936496422,-0.104427533725355,0.0142857142857143,0.08,0.0253968253968254,0.0223665223665224,-0.0280398671096345,0.0148396406460923,0.0156593127772398,-0.0219824016563147,-0.0196687769776515,-0.042421811116614,-0.0493052109181141,-0.0454514113337643
"NFB",0.0198429324441036,-0.178416988416988,-0.169047619047619,0.00590584279108869,-0.111427206875549,-0.196715542521994,-0.190909090909091,-0.0857142857142857,-0.186147186147186,0.217885154061625,-0.1,0.0262857142857143,0.0142595704948646,0.0142857142857143,-0.132271146295051,0.111111111111111,0.0258233765569781,-0.0479462939386552,-0.0489413188142771,-0.0489413188142771,-0.0489413188142771,0.122853831667391,0.215636042992659,0.123418803418803,0.118803418803419,0.123418803418803,-0.0413936354387727,0.1,-0.118803418803419,-0.124776889498118,-0.124541595380471,-0.123418803418803,-0.0957244174265451,-0.111111111111111,0.00217198167833376,0.0958343434343434,0.0934343434343434,0.0888888888888889,0.0945685206495333,-0.372954278938438,-0.0240634920634921,-0.100285498814911,0.0707916850950907,0.12,0.171750321750322,0.12,0.123703703703704,0.0834973463069438,0.127151979565773,0.124742341011556,0.0930693069306931,0.0897235820236299,-0.0128996958643616,-0.0176331633681906,-0.0168498168498168
"SNAI2",0.00932652372199208,-0.0806259520841989,-0.0666666666666667,0.0148205128205128,-0.135979859900467,-0.149965823650034,-0.147368421052632,-0.0666666666666667,-0.13859649122807,0.127416380426826,-0.1,-0.0941176470588235,-0.104054054054054,-0.1,-0.112649799497191,0.129090909090909,0.0811447530536468,-0.0817311321020407,-0.0817311321020407,-0.0817311321020407,-0.0817311321020407,0.137642216937992,0.139333206954394,0.137642216937992,0.136233766233766,0.13817697629628,-0.205126724434257,0.12,-0.136233766233766,-0.138619677397747,-0.139085515907064,-0.137642216937992,-0.0917494669779389,-0.129090909090909,0.00327396685546465,-0.000265747324570854,-0.00112044817927171,-0.00588235294117647,-0.000886865336993214,0.147271535875218,0.1,-0.138827781332883,-0.107031778228533,0.1,0.0770114942528736,0.12,0.125882352941176,-0.0180831826401447,0.132004801920768,0.130596351216543,0.000536552649228705,5.80837497071743e-05,-0.00853728337194709,-0.0107497377805748,0.0025
"HEY1",0.0134028749158579,-0.0342857142857143,-0.02,0.0186868686868687,-0.0346508563899868,-0.0985862970453312,-0.0996172248803828,0,-0.0890909090909091,0.0243877995642702,-0.1,-0.0709090909090909,-0.0857665802965985,-0.08,-0.0799870045484081,0.0333333333333333,-0.0192009672802356,-0.0343250377073906,-0.0335897435897436,-0.0335897435897436,-0.0335897435897436,0.0360205396617697,0.0917814907919193,0.036890104879161,0.0392156862745098,0.036890104879161,-0.00664298232458113,0.0333333333333333,-0.0392156862745098,-0.0367427477693262,-0.0383616767855155,-0.036890104879161,-0.0421212711262689,-0.0333333333333333,0.00433952528379773,0.00157575757575757,0.00290909090909091,-0.00909090909090909,0.000112342941611233,-0.153263070720174,0.0826737967914438,-0.090345431973473,-0.0738707833047456,0,0.0342857142857143,0.0333333333333333,0.0333333333333333,-0.0138579067990833,0.0395833333333333,0.0342069892473118,-0.00133333333333333,0.000115942028985507,-0.00606430606430606,-0.00952528379772962,0.0037037037037037
