"","KLF4","FOXC2","ILK","RKIP","SHH","AKT","SMO","TWIST1","Patched","NFB","SNAI2","NOTCH","AXIN2","TrCP","CD44","TCFLEF","MEK","GLI","cateninmemb","STAT","PAK1","RAS","PI3K","DELTA","CDC42","GSK3","TGF","RAF","TGFR","EGR1","DSH","ZEB1","Wnt","cfos","Destcompl","Frizzled","LIV1","cMet","SRC","ERK","cateninnuc","Csl","NOTCHic","Ecadherin","SOSGRB2","Jagged","FUS","SUFU","Csn","SNAI1","IKK","HEY1","SMAD","miR200","ZEB2"
"cMet",0.0825396825396825,0.185559071729958,0.122789115646258,0.158518518518519,0.105340909090909,0.170833333333333,0.09,0.189354241264354,0.0990909090909091,0.1,-0.119838344947834,0.0434810430331147,-0.0347619047619048,0.2,-0.0182945736434109,-0.0213714967203339,0.0609090909090909,-0.0203030303030303,-0.0108707129169763,-0.2,0.0733333333333333,0.156244384546271,0.161904761904762,0.161904761904762,0.0358333333333333,0.0740399385560676,-0.0562825059101655,-0.161904761904762,-0.0413888888888889,-0.15,0.1,0.0655122655122655,0.00666666666666667,-0.11,-0.0409912367895561,0,0.1,0.00666666666666667,0.1,-0.07,0.0196765814660966,-0.0571428571428571,-0.0413533834586466,-0.0216617756786539,0.0366666666666667,-0.102215465693727,-0.05,-0.1,-0.1,-0.129374025716577,-0.133333333333333,-0.161609907120743,-0.111880024737168,-0.162757603205973,-0.193650793650794
"SOSGRB2",0.145789473684211,0.173150183150183,0.0666666666666667,0.141483918128655,0.0352817934213283,0.158479532163743,0.0333333333333333,0.171275362318841,0.0306306306306306,0.111111111111111,-0.0910958313297666,-0.0174135723431498,0.168736248624863,0.1,0.137060041407868,0.14021793614471,0.00992940992940992,0.13343685300207,0.0979388089388089,0.1,0.00714285714285715,0.137367811096625,0.133521657250471,0.133521657250471,0.00714285714285715,-0.041578019923041,-0.0351843192268724,-0.133521657250471,-0.0302197802197802,-0.0523809523809524,-0.1,0.0375689223057644,-0.126190476190476,0.00317460317460319,-0.168720243216887,-0.142857142857143,0,-0.129813664596273,-0.142857142857143,0.0112827112827113,-0.147292505934385,0.0272727272727273,0.0272727272727273,-0.168015675595009,-0.101944444444444,0.00173577280544941,0,0,-0.1,-0.099135039090263,-0.158479532163743,-0.148579545454545,-0.0603729603729604,-0.138146932314135,-0.168646616541353
"KLF4",0.144444444444444,0.177900450359615,0.0293333333333333,0.093558029272315,-0.0281586021505376,0.0242328042328042,-0.0333333333333333,0.073917211328976,-0.0270833333333333,0.02,0.176278963543891,-0.0880599812558576,0.151903050758117,0.1,0.0530026368484704,0.054674877651146,-0.0463013396548873,0.0538272245546174,-0.0288062389281902,0.0333333333333333,0.0227272727272727,0.00394042232277526,0.0032051282051282,0.0032051282051282,0.0347272727272727,-0.131781324499507,-0.0370687361419069,-0.0032051282051282,-0.0307272727272727,0.04,-0.0333333333333333,0.0544478844169247,-0.0486548107615139,0.0490909090909091,-0.135180920392011,-0.0509803921568627,-0.0333333333333333,-0.0486548107615139,-0.0509803921568627,0.0432085561497326,-0.0560447406648446,0.0890909090909091,0.0890909090909091,-0.00730479223080293,-0.101100628930818,0.0402744082504202,0.0333333333333333,0,0,-0.0996709425987546,-0.00571428571428572,-0.0382429335370512,-0.0394782608695652,-0.124326414326414,-0.142265221878225
"FUS",0.137249544626594,-0.073502722323049,0.121746031746032,-0.00101947308132875,0.145454545454545,-0.0390989010989011,0.133333333333333,-0.143003228050964,0.144444444444444,-0.0357142857142857,-0.390323094928555,0.295606060606061,-0.423287057769816,-0.1,-0.262901833872708,-0.264405593271204,0.0718543525440077,-0.154594017094017,0.195162229294645,-0.2,0.0866666666666667,-0.025758382092164,-0.0270684257602862,-0.0270684257602862,0.0866666666666667,0.289910736512678,-0.079794901284263,0.0270684257602862,-0.0893693693693694,-0.04,0.1,-0.0599615264635541,0.143055555555556,-0.0630769230769231,0.335345860499485,0.1375,0.2,0.252222222222222,0.246666666666667,-0.0661072261072261,0.270383854140769,-0.278787878787879,-0.288787878787879,-0.0416204998996392,-0.0203778677462888,-0.234807165168611,-0.133333333333333,0.0666666666666667,0.05,0.0257499347882793,0.0237142857142857,-0.107007485268355,-0.123681515616999,-0.0923549316957012,-0.141265467401477
"SUFU",0.127069903908031,-0.0841726975091532,0.123681515616999,-0.00714192206092059,0.151246051246051,-0.0290317870049414,0.144444444444444,-0.14692075382416,0.145454545454545,-0.0237142857142857,-0.397772007255516,0.293225108225108,-0.429610242781526,-0.05,-0.264405593271204,-0.270383854140769,0.0603649908418801,-0.156452753153497,0.197481465311016,-0.246666666666667,0.0866666666666667,-0.021011546649126,-0.025758382092164,-0.025758382092164,0.0893693693693694,0.292481430600082,-0.0795976626254859,0.025758382092164,-0.079794901284263,-0.0630769230769231,0.1375,-0.0594784346761145,0.154594017094017,-0.0661072261072261,0.339120448484599,0.143055555555556,0.2,0.262901833872708,0.252222222222222,-0.0718543525440077,0.272481040841536,-0.288787878787879,-0.295606060606061,-0.0430623124640059,-0.0210771684455895,-0.236469873007091,-0.133333333333333,-0.133333333333333,0.0357142857142857,0.0300088785702214,0.0390989010989011,-0.105802665991246,-0.124836250028085,-0.0897527012124299,-0.133052907015003
"SRC",0.0217700258397933,0.0128384687208217,0.0469298245614035,-0.172890192245031,0.050479302832244,0.184188034188034,0.0466666666666667,0.000966275104206155,0.0651851851851852,0.166666666666667,0.0446180174878724,-0.10452380952381,-0.125285817501806,0.1,-0.0747540983606557,-0.0747540983606557,-0.128949876119687,-0.0747540983606557,-0.0129471635982637,-0.1,-0.133333333333333,0.298155649106838,0.290579891531081,0.290579891531081,-0.120833333333333,0.39004329004329,0.125162337662338,-0.290579891531081,0.116071428571429,0.1,0,-0.0759958071278826,0.06,0.127272727272727,0.203671364867017,0.05,0.2,0.06,0.05,0.138383838383838,0.0839263578684857,0.12,0.115238095238095,0.0285869903516962,0.0928571428571429,-0.049940014114326,-0.0666666666666667,0.0333333333333333,-0.1,0.111860454909163,-0.18974358974359,-0.0845084409136048,-0.0478307254623044,-0.0961323378714683,-0.110998802036538
"TCFLEF",0.0612872421695951,0.0194675109710405,0.0233400167084378,-0.158826284612206,-0.0252465767625079,0.138985100453544,-0.0323809523809524,0.00104370859120349,-0.0307680491551459,0.127168831168831,0.115355484546493,-0.148877989463889,0.278443956043956,0.0857142857142857,-0.0815630543460732,-0.196110591574023,-0.178677617388419,-0.0732560605066999,0.152432979252686,-0.00416666666666666,-0.125641025641026,0.158568252050749,0.1510781075041,0.1510781075041,-0.139594514013119,0.447564112356049,0.153149010516182,-0.1510781075041,0.145201990648633,0.144285714285714,-0.00392156862745098,-0.109580010632642,0.0558647561588738,0.151602787456446,0.502906677498615,0.031078431372549,-0.0333333333333333,0.0639529914529915,0.0391666666666667,0.167793263646922,0.205388942089487,0.15904670811414,0.151203570859238,-0.00137122792295837,0.0188011668969753,-0.0200735339504492,0.0466666666666667,0.0666666666666667,-0.131168831168831,0.19846048651488,-0.140072056975283,-0.0527157039997463,-0.0109117184292791,-0.0418624280672473,-0.040150451887294
"HEY1",-0.144444444444444,-0.177900450359615,-0.0293333333333333,-0.093558029272315,0.0281586021505376,-0.0242328042328042,0.0333333333333333,-0.073917211328976,0.0270833333333333,-0.02,-0.176278963543891,0.0880599812558576,-0.151903050758117,-0.1,-0.0530026368484704,-0.054674877651146,0.0463013396548873,-0.0538272245546174,0.0288062389281902,-0.0333333333333333,-0.0227272727272727,-0.00394042232277526,-0.0032051282051282,-0.0032051282051282,-0.0347272727272727,0.131781324499507,0.0370687361419069,0.0032051282051282,0.0307272727272727,-0.04,0.0333333333333333,-0.0544478844169247,0.0486548107615139,-0.0490909090909091,0.135180920392011,0.0509803921568627,0.0333333333333333,0.0486548107615139,0.0509803921568627,-0.0432085561497326,0.0560447406648446,-0.0890909090909091,-0.0890909090909091,0.00730479223080293,0.101100628930818,-0.0402744082504202,-0.0333333333333333,0,0,0.0996709425987546,0.00571428571428572,0.0382429335370512,0.0394782608695652,0.124326414326414,0.142265221878225
"FOXC2",-0.144444444444444,-0.177900450359615,-0.0293333333333333,-0.093558029272315,0.0281586021505376,-0.0242328042328042,0.0333333333333333,-0.073917211328976,0.0270833333333333,-0.02,-0.176278963543891,0.0880599812558576,-0.151903050758117,-0.1,-0.0530026368484704,-0.054674877651146,0.0463013396548873,-0.0538272245546174,0.0288062389281902,-0.0333333333333333,-0.0227272727272727,-0.00394042232277526,-0.0032051282051282,-0.0032051282051282,-0.0347272727272727,0.131781324499507,0.0370687361419069,0.0032051282051282,0.0307272727272727,-0.04,0.0333333333333333,-0.0544478844169247,0.0486548107615139,-0.0490909090909091,0.135180920392011,0.0509803921568627,0.0333333333333333,0.0486548107615139,0.0509803921568627,-0.0432085561497326,0.0560447406648446,-0.0890909090909091,-0.0890909090909091,0.00730479223080293,0.101100628930818,-0.0402744082504202,-0.0333333333333333,0,0,0.0996709425987546,0.00571428571428572,0.0382429335370512,0.0394782608695652,0.124326414326414,0.142265221878225
"TWIST1",-0.136126745882843,0.03177032082696,-0.106051506051506,-0.123293647206691,-0.119159967309235,-0.0751784938225616,-0.115111111111111,-0.00139683447749809,-0.113741248097412,-0.0615384615384615,0.268799257360679,-0.0604622910283288,0.032394111265079,0,0.0146726724527288,0.0139069756686553,0.0223195236631488,0.0161844611528822,0.0153156191105966,0.019047619047619,-0.140606060606061,0.0297893494743503,0.0260222261866791,0.0260222261866791,-0.123364681295716,-0.0519550596194762,0.129608986534896,-0.0260222261866791,0.132114681295716,-0.04,-0.019047619047619,-0.0757116765888696,-0.0137844611528822,-0.0182608695652174,-0.0406415178983563,-0.019047619047619,-0.0333333333333333,-0.0126646403242148,-0.019047619047619,-0.0287871853546911,-0.0125843764737157,0.0637037037037037,0.0585754985754986,0.0913766788872248,0.0658256566723386,0.022608094724003,0.111111111111111,0.1,0.1,0.136240685792182,0.0853479853479854,0.08961321164711,0.0997808789887998,0.12497502008874,0.148089317387563
"Ecadherin",-0.150773558368495,-0.182248276446572,-0.0394782608695652,-0.095430688448345,0.025008995851325,-0.0164405964405964,0.0270833333333333,-0.0755931889826073,0.0281586021505376,-0.00571428571428572,-0.178867765470442,0.0869447396201698,-0.154583463129251,0,-0.054674877651146,-0.0560447406648446,0.0396346729882206,-0.0551605578879507,0.0288062389281902,-0.0509803921568627,-0.0347272727272727,-0.00198511506020543,-0.00394042232277526,-0.00394042232277526,-0.0307272727272727,0.132664326707012,0.0358029133570967,0.00394042232277526,0.0370687361419069,-0.0490909090909091,0.0509803921568627,-0.0492346142747446,0.0538272245546174,-0.0432085561497326,0.136485673420902,0.0486548107615139,0.0333333333333333,0.0530026368484704,0.0486548107615139,-0.0463013396548873,0.0575386715705402,-0.0890909090909091,-0.0880599812558576,-0.0935715466202195,0.0997848394571334,-0.0382149116829145,-0.0333333333333333,-0.0333333333333333,0.02,0.10410132234559,0.0242328042328042,0.0483100476310109,0.0377833456153279,0.123767755108537,0.148900292968272
"SHH",-0.15,0.05,-0.133333333333333,-0.02,-0.133333333333333,0.05,0.1,0.1,0.0666666666666667,0,0.345057471264368,-0.233333333333333,0.342857142857143,0,0.2,0.246666666666667,-0.04,0.1,-0.171469534050179,0.1,-0.2,0.0269230769230769,0.05,0.05,-0.166666666666667,-0.241025641025641,0.0866666666666667,-0.05,0.0666666666666667,0,0,0.05,-0.1,0.1,-0.312987012987013,0,0,-0.2,-0.1,0.1,-0.252222222222222,0.1,0.2,0.03,0.1,0.202857142857143,-0.2,-0.2,0,0,-0.1,0.133333333333333,0.133333333333333,0.1,0.15
"Patched",-0.138888888888889,0.05,-0.133333333333333,-0.02,-0.133333333333333,0.0357142857142857,0.0666666666666667,0.125925925925926,-0.133333333333333,0.1,0.367724137931034,-0.278787878787879,0.388311688311688,0,0.246666666666667,0.252222222222222,-0.0630769230769231,0.1375,-0.18258064516129,0.1,-0.166666666666667,0.0456730769230769,0.0269230769230769,0.0269230769230769,-0.0666666666666667,-0.26959706959707,0.0866666666666667,-0.0269230769230769,0.0866666666666667,0.1,0,0.05,-0.1,0.1,-0.322877122877123,-0.1,-0.1,-0.2,-0.2,0.04,-0.262901833872708,0.2,0.233333333333333,0.042621359223301,0.0333333333333333,0.228783068783069,-0.1,-0.2,0,0.0032258064516129,-0.05,0.125641025641026,0.123333333333333,0.1,0.15
"SMO",-0.138888888888889,0.0603448275862069,-0.123333333333333,-0.0144444444444444,-0.144444444444444,0.0237142857142857,-0.133333333333333,0.128867102396514,-0.133333333333333,0.05,0.38296223316913,-0.288787878787879,0.409001343484102,0,0.252222222222222,0.262901833872708,-0.0661072261072261,0.143055555555556,-0.194231130598184,0.2,-0.0666666666666667,0.0270684257602862,0.0456730769230769,0.0456730769230769,-0.0866666666666667,-0.282218428820371,0.0893693693693694,-0.0456730769230769,0.0866666666666667,0.1,-0.1,0.0483050847457627,-0.1375,0.04,-0.331404254660069,-0.1,-0.1,-0.246666666666667,-0.2,0.0630769230769231,-0.264405593271204,0.233333333333333,0.278787878787879,0.0429903629133379,0.0280701754385965,0.228783068783069,-0.0666666666666667,-0.1,-0.1,-0.0182027649769585,-0.0357142857142857,0.111355311355311,0.121746031746032,0.10126582278481,0.151694915254237
"SNAI2",-0.177884615384615,-0.217941259006501,-0.0280348759221999,-0.150858974358974,0.123841536614646,-0.0647555740202188,0.125882352941176,-0.183553256523943,0.123841536614646,-0.0666666666666667,0.126449385067461,0.140350877192982,-0.203412052941586,-0.1,-0.151903050758117,-0.154583463129251,0.0549019607843137,-0.152414809713898,-0.0720422055151654,-0.129090909090909,-0.0274509803921569,-0.0506598547352776,-0.0520297177489763,-0.0520297177489763,-0.0322128851540616,0.18001772952801,0.0350848923738949,0.0520297177489763,0.0313581842993608,-0.0666666666666667,0.129090909090909,-0.092226767358926,0.147601975489299,-0.0607843137254902,0.184770209185913,0.143376623376623,0.12,0.147601975489299,0.143376623376623,-0.0549019607843137,0.156446817166518,-0.13859649122807,-0.140350877192982,0.204942028317575,0.130594996619337,-0.140627227221613,-0.12,-0.1,0.0666666666666667,0.160544054362564,0.0563218390804598,0.0430831826401447,0.0361688472140659,0.149751711117852,0.179893853576673
"CD44",-0.0920634920634921,-0.174166666666667,-0.116666666666667,-0.143703703703704,-0.0990909090909091,-0.133333333333333,-0.05,-0.183736263736264,-0.09,-0.1,0.116918636918637,-0.0413533834586466,0.03,-0.1,0.00666666666666667,0.0182945736434109,-0.07,0.00666666666666667,0.0162087912087912,0.1,-0.133333333333333,-0.161904761904762,-0.176190476190476,-0.176190476190476,-0.0733333333333333,-0.0595238095238095,0.0413888888888889,0.176190476190476,0.0358333333333333,0.1,0,-0.0523809523809524,0,0.15,0.0450452908436102,-0.1,-0.1,-0.1,-0.2,0.11,-0.0213714967203339,0.1,0.0571428571428571,0.015809358375855,-0.0166666666666667,0.0935198135198135,0.1,0.1,0.2,0.122594364699628,0.1,0.159649122807018,0.122789115646258,0.154945103205973,0.182539682539683
"TGF",-0.277142130689041,-0.307298136645963,-0.171212121212121,-0.167965367965368,-0.161221264367816,-0.0649749373433584,-0.143333333333333,-0.224814814814815,-0.167471264367816,-0.0416666666666667,-0.208955935733476,-0.19735632183908,-0.08668430335097,0,-0.0510062893081761,-0.0615326050976498,0.0454302422723476,-0.0414824797843666,-0.0610876757134653,-0.1,-0.04,0.0369047619047619,0.0422619047619048,0.0422619047619048,-0.0733333333333333,0.00400708228496878,-0.0195238095238095,-0.0422619047619048,0.0876190476190476,-0.0666666666666667,0.1,-0.0363201812172064,0.0471428571428571,-0.10952380952381,-0.0210034092318076,0.0571428571428571,0,0.0566666666666667,0.0666666666666667,-0.0832080200501253,0.0577048539014775,0.146666666666667,0.176666666666667,0.0658787732970283,0.119736842105263,0.129645311732941,0.126666666666667,0.0666666666666667,-0.0333333333333333,0.229796567069294,0.0702380952380952,0.134816247582205,0.184115347018573,0.231304758459931,0.286233039779951
"TGFR",-0.287856416403327,-0.299001193414522,-0.184115347018573,-0.159393939393939,-0.171955727644652,-0.0556726117619631,-0.167471264367816,-0.22659417424542,-0.161221264367816,-0.0702380952380952,-0.209418898696439,-0.196636897378649,-0.0914053333938885,0.0333333333333333,-0.0615326050976498,-0.0577048539014775,0.0454302422723476,-0.0524502217198505,-0.0615495694778995,-0.0666666666666667,-0.0733333333333333,0.0263784461152882,0.0369047619047619,0.0369047619047619,-0.0876190476190476,0.00718556639254824,-0.0259067882472138,-0.0369047619047619,-0.0195238095238095,-0.10952380952381,0.0571428571428571,-0.0231126340473951,0.0414824797843666,-0.0832080200501253,-0.0234227640705173,0.0471428571428571,0.1,0.0510062893081761,0.0566666666666667,-0.0454302422723476,0.0574391320237096,0.176666666666667,0.19735632183908,0.0633234070278631,0.130847953216374,0.129645311732941,0.143333333333333,0.126666666666667,0.0416666666666667,0.227141699812657,0.0649749373433584,0.148249083403101,0.19372388794384,0.231011503327966,0.286610398270517
"SMAD",-0.29813292492943,-0.255136768371362,-0.256097327330204,-0.217437930793556,-0.227407318986392,-0.221643323996265,-0.21,-0.165029378645663,-0.229266055045872,-0.206349206349206,-0.214364087195819,-0.127827038861522,-0.0945937576747712,-0.2,-0.0540920125626008,-0.0558559202966578,-0.0411680873515082,-0.046172512539419,-0.0521397781157488,-0.0542857142857143,0,-0.112642209931339,-0.11922115729976,-0.11922115729976,0.0126760563380282,-0.0980008824369727,-0.0119615957446475,0.11922115729976,-0.0143520339916595,0.0285714285714286,0.0476190476190476,0.0460058137139421,0.0555250305250305,0.0576036866359447,0.00077978367186965,0.0420634920634921,0.04,0.0624556489262372,0.0487301587301587,0.0459757796592005,0.0538295778447834,0.134285714285714,0.12623973727422,0.0551913818083533,0.108754806270334,0.162510124284318,0.225,0.175,0.211111111111111,0.192859003899327,0.208309990662932,0.203675533150818,0.16181161304449,0.271394705135302,0.298922802567621
