"","FOXC2","TGF","TGFR","CDC42","PAK1","RKIP","SHH","ILK","Patched","FUS","SNAI1","AKT","HEY1","TWIST1","EGR1","MEK","ERK","AXIN2","cMet","cateninnuc","TCFLEF","CD44","ZEB2","GSK3","RAS","RAF","PI3K","DELTA","SNAI2","KLF4","SRC","STAT","GLI","Frizzled","Wnt","DSH","LIV1","miR200","Destcompl","Ecadherin","cateninmemb","cfos","TrCP","Csl","NOTCH","NOTCHic","SOSGRB2","Jagged","NFB","IKK","Csn","SMAD","SUFU","SMO","ZEB1"
"cateninnuc",-0.0700767320111582,-0.127467578749615,-0.125720853858785,-0.124571428571429,-0.124571428571429,-0.162504623581547,0.0226558668133445,0.0204227994227994,0.0233094615845863,0.0111111111111111,-0.163489296398601,-0.160417613636364,0.0168709430332206,0.0119026100904153,0.0557971014492754,0.051824884296243,0.0472377283329402,0.168750489411654,0.037044356609574,-0.0645245856650817,0.0357791978201434,0.0358538804190978,-0.194766249362947,-0.19075985688723,-0.167718637718638,-0.169065439065439,-0.169065439065439,-0.169065439065439,-0.00369690133382778,-0.186324025914773,-0.0381313131313131,-0.0242424242424242,-0.0366429332033858,-0.0393109173931092,-0.03822396087137,-0.0242424242424242,-0.0242424242424242,-0.138616989121561,-0.178657634386654,-0.0401915237806924,-0.0992468949574621,-0.0510351966873706,0.166666666666667,-0.0720652856246077,-0.0687249050749248,-0.0650885414385611,-0.00751237266149013,0.0294220274939484,0.163636363636364,0.159636363636364,0.166666666666667,-0.0208320763668649,-0.0111111111111111,-0.0127504553734062,0.0302659261910127
"cateninmemb",-0.00242512759214935,-0.0488405966782009,-0.0479364375461936,-0.0484242424242424,-0.0470909090909091,-0.0503126889162202,-0.0141790491914317,0.0110144927536232,-0.0196908602150538,-0.0166666666666667,-0.0550925319213348,-0.0797594997594998,0.0126254479827318,-0.0289870863304974,0.0490909090909091,0.0632408989837735,0.061280114670048,0.0874513923540842,-0.00458335811574377,-0.00740653392003579,-0.00721979255682383,-0.00759339156055982,-0.111421018394886,-0.094514128930747,-0.0858559577677225,-0.0858559577677225,-0.0858559577677225,-0.0858559577677225,0.0186075912569615,-0.117252695733708,0.0106703146374829,0.0176470588235294,0.0071070962466783,0.0106703146374829,0.00377376291334497,0.0176470588235294,0,-0.0987720638558627,-0.0893458994917004,0.139955560024226,0.110800611225037,-0.072620320855615,0.1,-0.00325358851674641,0.00318491989547142,-0.000160805011591775,-0.029014323974602,-0.00878527243555256,0.0847619047619048,0.0810582010582011,0.08,-0.0093195774993859,0.0333333333333333,0.0229166666666667,0.0345007311979419
"HEY1",-0.00311162644798459,-0.0479364375461936,-0.0484242424242424,-0.0470909090909091,-0.0590909090909091,-0.0499381570810142,-0.0196908602150538,0.00666666666666667,-0.0229166666666667,-0.0333333333333333,-0.0544596205289298,-0.0810582010582011,0.006585179526356,-0.0258213507625272,0.04,0.061280114670048,0.072620320855615,0.0876575779210945,-0.0106703146374829,-0.00721979255682383,-0.00759339156055982,-0.00458335811574377,-0.10952528379773,-0.0956178816901289,-0.0858559577677225,-0.0821794871794872,-0.0821794871794872,-0.0821794871794872,0.0181861583851975,-0.118518518518519,0.0176470588235294,0,0.00377376291334497,0.0176470588235294,0.0106703146374829,0,0.0333333333333333,-0.0967236467236467,-0.0892527028467797,-0.278110060354459,-0.224732164854116,-0.0490909090909091,0.1,0.00727272727272727,-0.000160805011591775,-0.00325358851674641,-0.0329616923956547,-0.00535277815637636,0.08,0.0847619047619048,0.1,-0.0110144927536232,0,0.0166666666666667,0.0321310629514964
"ERK",-0.153275264654575,-0.146368597521132,-0.143346619499154,-0.144076546506453,-0.158095238095238,0.0305210223658441,-0.129470630162257,-0.117327411940091,-0.128504446587378,-0.137333333333333,-0.199308491865678,-0.0113197097020626,-0.0985687414872464,-0.145069513898754,0.185862068965517,0.104728798849553,0.110578381022255,-0.0377739239702809,-0.0365047233468286,-0.0349308811549389,-0.0326392144882723,-0.0331968353061161,-0.0873188376560534,0.0359399348963961,0.056994693974892,0.057984792984793,0.057984792984793,0.057984792984793,0.106429572529773,-0.0826020708907499,0.0288124156545209,0.0403508771929825,0.0400636205899364,0.0351282051282051,0.0428205128205128,0.0466666666666667,0.0666666666666667,-0.0559245123588631,-0.184422383319679,-0.103568845290962,-0.0855241543746095,-0.192245047688922,0.0428571428571429,0.217404817404817,0.215237277926078,0.221054452441314,0.24942086608106,0.105715386086798,0.00308441558441558,0.0113197097020626,0.0303571428571429,0.116415557836748,0.133333333333333,0.135693989071038,0.0196249887702344
"MEK",-0.147634239013549,-0.143346619499154,-0.144076546506453,-0.158095238095238,-0.153333333333333,0.0324708830900781,-0.128504446587378,-0.11991043777035,-0.135693989071038,-0.133333333333333,-0.201854788161974,-0.0113197097020626,-0.100275226128885,-0.14576299517476,0.21,0.110578381022255,0.192245047688922,-0.0392373386044272,-0.0288124156545209,-0.0326392144882723,-0.0331968353061161,-0.0365047233468286,-0.0840117510418802,0.0371206796738712,0.057984792984793,0.0544927294927295,0.0544927294927295,0.0544927294927295,0.105708201925625,-0.0818268770923003,0.0403508771929825,0.0666666666666667,0.0428205128205128,0.0466666666666667,0.0351282051282051,0.0666666666666667,0,-0.0554343162804318,-0.183633206318552,-0.101818072891374,-0.0865361138962287,-0.185862068965517,0,0.202020202020202,0.221054452441314,0.217404817404817,0.25815873015873,0.104811771628967,0.0303571428571429,0.00308441558441558,0.0428571428571429,0.117327411940091,0.133333333333333,0.137333333333333,0.0197824690851951
"SNAI2",0.0228613876017014,-0.0240109421695099,-0.0252531781943547,-0.0226890756302521,-0.0274509803921569,-0.0435384615384615,0.0239852560742607,0.00335345405767941,0.0197599039615846,0.02,-0.0501229195583399,-0.0665004846974103,0.00721820373719108,0.00496068129570555,0.0333333333333333,0.0591679915209327,0.0686274509803922,0.0702524658201581,0.0246643497347723,0.023740356650313,0.0228086796316795,0.0246643497347723,-0.0818684707363121,-0.0714577884488417,-0.0700717913248413,-0.0677886863020103,-0.0677886863020103,-0.0677886863020103,-0.0290064440234943,-0.0946153846153846,-0.0148051948051948,-0.0290909090909091,-0.025199109093061,-0.0148051948051948,-0.0246643497347723,-0.0290909090909091,-0.02,-0.0807127974994534,-0.06817095763338,-0.092287287370315,-0.110153478721808,-0.0627450980392157,0.1,0.0302631578947368,0.0266860332649806,0.0214912280701754,-0.0429344151453685,0.0242370473973567,0.0666666666666667,0.0701149425287356,0.0666666666666667,-0.00670273635433013,0,-0.0258823529411765,0.0399165093350115
"RKIP",-0.151237842617153,-0.144076546506453,-0.158095238095238,-0.153333333333333,-0.133333333333333,0.0429971988795518,-0.135693989071038,-0.124860932819855,-0.137333333333333,-0.133333333333333,-0.198649659956846,-0.00308441558441558,-0.10572977158343,-0.137338086749851,0.21,0.192245047688922,0.185862068965517,-0.0374355368026254,-0.0403508771929825,-0.0331968353061161,-0.0365047233468286,-0.0288124156545209,-0.0816307986609278,0.034909377462569,0.0544927294927295,0.0587662337662338,0.0587662337662338,0.0587662337662338,0.103761729906161,-0.0916307986609278,0.0666666666666667,0,0.0351282051282051,0.0666666666666667,0.0466666666666667,0,0,-0.0520287435250138,-0.182587181213949,-0.104368163966055,-0.0833653821889116,-0.21,0,0.211111111111111,0.217404817404817,0.202020202020202,0.269269841269841,0.111369148678147,0.0428571428571429,0.0303571428571429,0,0.11991043777035,0.1,0.133333333333333,0.0150205643232903
"NFB",-0.106361164289451,-0.134892929292929,-0.134892929292929,-0.129292929292929,-0.111111111111111,-0.0324085750315258,-0.0785185185185185,-0.108140814081408,-0.0785185185185185,-0.06,-0.0551042211300498,-0.208266838266838,-0.104549977885891,-0.0152847805788982,0.0357142857142857,0.032812324929972,0.0321587301587302,0.155015197568389,0.112051282051282,0.114919285635466,0.114997717008015,0.110356366797045,-0.042487771152018,-0.0491682826976945,-0.0985004681864062,-0.0989979806242172,-0.0989979806242172,-0.0989979806242172,0.0875234843538336,-0.0450549450549451,-0.116666666666667,-0.116666666666667,-0.109804091040046,-0.116666666666667,-0.112051282051282,-0.116666666666667,-0.15,-0.0294436641776718,0.0538750437160812,-0.252587122925521,-0.23609895030845,-0.0477142857142857,0.3,0.00346320346320346,0.00440534376018247,0.00505050505050505,0.112629367536488,0.104294397659005,0.202380952380952,0.21048906048906,0.285714285714286,0.107769066869512,0.08,0.0785185185185185,0.0168963212629274
"IKK",-0.105165945165945,-0.134892929292929,-0.129292929292929,-0.111111111111111,-0.1,-0.0349726775956284,-0.0785185185185185,-0.111111111111111,-0.0785185185185185,-0.08,-0.0575699745547074,-0.21048906048906,-0.109907120743034,-0.0149673202614379,0.05,0.0321587301587302,0.0477142857142857,0.157142857142857,0.116666666666667,0.114997717008015,0.110356366797045,0.112051282051282,-0.0413383458646617,-0.0495604395604396,-0.0989979806242172,-0.101814882032668,-0.101814882032668,-0.101814882032668,0.0850844599635897,-0.0373626373626374,-0.116666666666667,-0.15,-0.112051282051282,-0.116666666666667,-0.116666666666667,-0.15,-0.1,-0.0261204013377926,0.054871721456945,-0.249216336408667,-0.233247841543931,-0.0357142857142857,0.2,0.0272727272727273,0.00505050505050505,0.00346320346320346,0.101050420168067,0.1064526710403,0.285714285714286,0.202380952380952,0.3,0.108140814081408,0.1,0.06,0.018812030075188
"ZEB2",-0.383675213675214,-0.359283996426853,-0.357167594310451,-0.353766233766234,-0.351948051948052,-0.269903381642512,-0.25132720937599,-0.251190476190476,-0.250418118466899,-0.25,-0.248224932101166,-0.232879023883697,-0.224882697947214,-0.220845257176938,-0.158333333333333,-0.152283393377227,-0.149844368986984,-0.101516704678291,-0.0733333333333333,-0.0719091315570189,-0.0712597809076682,-0.0705555555555556,-0.0410219289409727,-0.0233303378613099,0.0145400317027726,0.016038961038961,0.016038961038961,0.016038961038961,0.0192028387913831,0.0639093396224774,0.0733333333333333,0.08,0.0840542332285451,0.0842424242424242,0.0868065268065268,0.0909090909090909,0.1,0.113507397957569,0.132136576177296,0.135236961317683,0.141093146956141,0.153070175438596,0.2,0.205128205128205,0.205915090374107,0.206461538461538,0.209285714285714,0.213022779000433,0.220833333333333,0.231944444444444,0.233333333333333,0.249361207897793,0.25,0.252857142857143,0.291266771090195
"ZEB1",-0.326380042686543,-0.281178433659118,-0.27920992972211,-0.278702315508912,-0.271455938697318,-0.243439925644955,-0.264032992685913,-0.250598182034692,-0.261541889483066,-0.258333333333333,-0.217039420140191,-0.209178684415958,-0.224937437346764,-0.251521377043936,-0.133333333333333,-0.144607756759091,-0.15121568627451,-0.0946420075309599,0.00349851009822316,0.00471237828418402,0.00578869922351866,0.0041929545426676,-0.028635683774144,-0.0152450099260367,0.070254350898469,0.0694669493236658,0.0694669493236658,0.0694669493236658,-0.0116326055040614,-0.0213228793249621,-0.00938086303939963,0.00769230769230769,0.00456120863463081,-0.00278745644599303,0.00490485124631466,0.0142857142857143,0,0.127209232557873,0.113402726884184,0.157043423903967,0.219341052773499,0.145333333333333,0.166666666666667,0.195833333333333,0.200370685464268,0.203676470588235,0.155477582846004,0.195219389095526,0.20140350877193,0.206321541558815,0.206666666666667,0.250598182034692,0.258333333333333,0.267424242424242,0.292650378107649
"SOSGRB2",0.00556776556776557,0.013914737744525,0.000439560439560438,0.00428571428571428,0.0142857142857143,0.119517543859649,-0.036036036036036,-0.0232258064516129,-0.036036036036036,-0.0333333333333333,0.00853091684434968,0.174707602339181,-0.00861742424242424,0.0256231884057971,0.0761904761904762,0.0767637767637767,0.0797940797940798,-0.0528946644664467,-0.0583850931677019,-0.0498134979147095,-0.0519167483927209,-0.0424430641821946,0.00134085213032581,0.122219584996584,0.242778502100536,0.250470809792844,0.250470809792844,0.250470809792844,-0.00521500931132666,-0.0100877192982456,0.0714285714285714,0,0.0471532091097309,0.0714285714285714,0.0630952380952381,0,0,0.00119721107999697,-0.170168645672001,-0.056569750052572,-0.0504996684996685,-0.10952380952381,-0.1,0.290909090909091,0.285383630454053,0.275524475524476,0.100277777777778,0.00362510696342486,-0.144444444444444,-0.149707602339181,-0.2,0.0239251071509136,0,0.0333333333333333,-0.00692982456140351
"Csn",0.115058364414974,0.102537450853448,0.0999121525240928,0.102476255088195,0.115909090909091,0.0917678830841152,0.000329654480897209,-0.0132919254658385,0.00196899874319229,0.0142857142857143,0.0836595749444217,-0.0942666666666667,-0.0155675526024363,0.0897272868941873,0.0533333333333333,0.0367207792207792,0.0325541125541126,0.139358474976393,0.105117019803351,0.107990151411002,0.106847637881236,0.105561464247796,0.0234474772539289,0.0365343214206223,-0.0231994177566265,-0.0241591106548991,-0.0241591106548991,-0.0241591106548991,0.0221116601158578,0.0192357968828557,-0.10632183908046,-0.116666666666667,-0.105553701026059,-0.10632183908046,-0.105117019803351,-0.116666666666667,-0.133333333333333,0.019926542798005,0.130245337049632,0.00380700970634386,-0.0293348782164656,-0.0442424242424242,0.18,-0.0686868686868687,-0.0690240315240315,-0.06998556998557,-0.0772397094430993,0.0237634047286157,0.0966666666666667,0.0966666666666667,0.08,0.0135489948745789,-0.0142857142857143,-0.00519480519480519,-0.00351861042183623
"miR200",-0.346738356494454,-0.308053483959225,-0.306309297912713,-0.301470588235294,-0.291666666666667,-0.24534844929462,-0.259481287837094,-0.251149506016763,-0.263829113924051,-0.2575,-0.228157028157028,-0.21581784650305,-0.226694915254237,-0.281825618144637,-0.142857142857143,-0.149443413729128,-0.147402597402597,-0.131561794493423,-0.0829761175750153,-0.084153541898507,-0.0847596025045676,-0.0863469040918692,0.0695206093189964,-0.0176154522668058,0.0880757348878092,0.0893226176808266,0.0893226176808266,0.0893226176808266,-0.0389993033212182,0.0726363008971705,0.0956521739130435,0.1,0.0968184491564773,0.104,0.0913239436619718,0.1,0.1,0.124769967957198,0.153595895256821,0.250558995669911,0.229570848363782,0.142857142857143,0.2,0.191527093596059,0.203508391082909,0.198423645320197,0.177285622179239,0.19600736833693,0.216842105263158,0.208270676691729,0.18,0.250836026392938,0.22,0.2575,0.388835125448029
"RAF",0.151237842617153,0.144076546506453,0.158095238095238,0.153333333333333,0.133333333333333,-0.0429971988795518,0.135693989071038,0.124860932819855,0.137333333333333,0.133333333333333,0.198649659956846,0.00308441558441558,0.10572977158343,0.137338086749851,-0.21,-0.192245047688922,-0.185862068965517,0.0374355368026254,0.0403508771929825,0.0331968353061161,0.0365047233468286,0.0288124156545209,0.0816307986609278,-0.034909377462569,-0.0544927294927295,-0.0587662337662338,-0.0587662337662338,-0.0587662337662338,-0.103761729906161,0.0916307986609278,-0.0666666666666667,0,-0.0351282051282051,-0.0666666666666667,-0.0466666666666667,0,0,0.0520287435250138,0.182587181213949,0.104368163966055,0.0833653821889116,0.21,0,-0.211111111111111,-0.217404817404817,-0.202020202020202,-0.269269841269841,-0.111369148678147,-0.0428571428571429,-0.0303571428571429,0,-0.11991043777035,-0.1,-0.133333333333333,-0.0150205643232903
"KLF4",0.00311162644798459,0.0479364375461936,0.0484242424242424,0.0470909090909091,0.0590909090909091,0.0499381570810142,0.0196908602150538,-0.00666666666666667,0.0229166666666667,0.0333333333333333,0.0544596205289298,0.0810582010582011,-0.006585179526356,0.0258213507625272,-0.04,-0.061280114670048,-0.072620320855615,-0.0876575779210945,0.0106703146374829,0.00721979255682383,0.00759339156055982,0.00458335811574377,0.10952528379773,0.0956178816901289,0.0858559577677225,0.0821794871794872,0.0821794871794872,0.0821794871794872,-0.0181861583851975,0.118518518518519,-0.0176470588235294,0,-0.00377376291334497,-0.0176470588235294,-0.0106703146374829,0,-0.0333333333333333,0.0967236467236467,0.0892527028467797,0.278110060354459,0.224732164854116,0.0490909090909091,-0.1,-0.00727272727272727,0.000160805011591775,0.00325358851674641,0.0329616923956547,0.00535277815637636,-0.08,-0.0847619047619048,-0.1,0.0110144927536232,0,-0.0166666666666667,-0.0321310629514964
"FOXC2",0.00311162644798459,0.0479364375461936,0.0484242424242424,0.0470909090909091,0.0590909090909091,0.0499381570810142,0.0196908602150538,-0.00666666666666667,0.0229166666666667,0.0333333333333333,0.0544596205289298,0.0810582010582011,-0.006585179526356,0.0258213507625272,-0.04,-0.061280114670048,-0.072620320855615,-0.0876575779210945,0.0106703146374829,0.00721979255682383,0.00759339156055982,0.00458335811574377,0.10952528379773,0.0956178816901289,0.0858559577677225,0.0821794871794872,0.0821794871794872,0.0821794871794872,-0.0181861583851975,0.118518518518519,-0.0176470588235294,0,-0.00377376291334497,-0.0176470588235294,-0.0106703146374829,0,-0.0333333333333333,0.0967236467236467,0.0892527028467797,0.278110060354459,0.224732164854116,0.0490909090909091,-0.1,-0.00727272727272727,0.000160805011591775,0.00325358851674641,0.0329616923956547,0.00535277815637636,-0.08,-0.0847619047619048,-0.1,0.0110144927536232,0,-0.0166666666666667,-0.0321310629514964
"Ecadherin",0.00242512759214935,0.0488405966782009,0.0479364375461936,0.0484242424242424,0.0470909090909091,0.0503126889162202,0.0141790491914317,-0.0110144927536232,0.0196908602150538,0.0166666666666667,0.0550925319213348,0.0797594997594998,-0.0126254479827318,0.0289870863304974,-0.0490909090909091,-0.0632408989837735,-0.061280114670048,-0.0874513923540842,0.00458335811574377,0.00740653392003579,0.00721979255682383,0.00759339156055982,0.111421018394886,0.094514128930747,0.0858559577677225,0.0858559577677225,0.0858559577677225,0.0858559577677225,-0.0186075912569615,0.117252695733708,-0.0106703146374829,-0.0176470588235294,-0.0071070962466783,-0.0106703146374829,-0.00377376291334497,-0.0176470588235294,0,0.0987720638558627,0.0893458994917004,0.178110060354459,0.224988575110526,0.072620320855615,-0.1,0.00325358851674641,-0.00318491989547142,0.000160805011591775,0.029014323974602,0.00878527243555256,-0.0847619047619048,-0.0810582010582011,-0.08,0.0093195774993859,-0.0333333333333333,-0.0229166666666667,-0.0345007311979419
