"","GSK3","ZEB2","TGF","AXIN2","TGFR","FOXC2","miR200","PAK1","cMet","CD44","Wnt","GLI","SRC","TCFLEF","TWIST1","SHH","ILK","Csn","SMAD","PI3K","HEY1","NOTCHic","NFB","NOTCH","SOSGRB2","Csl","SNAI1","Jagged","TrCP","EGR1","IKK","ZEB1","SMO","DSH","KLF4","AKT","RAF","DELTA","STAT","MEK","RKIP","SNAI2","FUS","Patched","RAS","ERK","cfos","Frizzled","SUFU","LIV1","Destcompl","cateninnuc","CDC42","Ecadherin","cateninmemb"
"GSK3",-0.161504911357463,-0.107293941781804,-0.0182784271225417,0.184543221969718,-0.0280220168661314,-0.0275071888535781,-0.011311662918465,0.00463768115942029,0.14153886371558,0.147729339906057,0.141357069143447,0.147017446501937,0.127631578947368,0.146393631980856,0.0400527784601186,0.0287553685321556,0.0027464661787799,0.00583333333333332,-0.00160135990817662,-0.110038523189105,0.0103182184843859,0.0773021096550508,-0.0254166666666667,0.0760034083563495,-0.105001461008268,0.0710084033613445,0.0370307509589613,-0.0390401834051419,-0.00666666666666668,-0.0274509803921569,0.0357614942528736,0.008363218863914,-0.0128543499511241,-0.127631578947368,0.117142055814396,0.0246503831417625,0.110038523189105,0.110038523189105,-0.127631578947368,-0.0198423122571729,-0.028782007466218,0.171423160921352,-0.0257575757575758,-0.0220568039388542,0.110458691256331,-0.0243877668026275,-0.0311546840958606,-0.127631578947368,-0.0590909090909091,-0.175,0.124648768677931,-0.142380474086119,0.0248861283643892,-0.0904068831205412,-0.113164547218517
"ILK",-0.0591871091871092,-0.104499813363195,-0.0150181731229077,0.171238095238095,0.0199411764705882,-0.0192218350754936,-0.010129428981888,-0.025,0.132367149758454,0.127751765143069,0.132367149758454,0.127751765143069,0.188888888888889,0.14187605892838,0.0302944936587132,0.00747863247863248,-0.0181192476990796,0.0333333333333333,-0.00611924769907964,-0.0926753246753247,-0.0070561329162883,0.0673076923076923,0.1,0.0608560794044665,-0.106923076923077,0.075,0.0396497584541063,-0.0368421052631579,0,-0.0333333333333333,-0.105882352941176,0.0250729506467371,-0.05,-0.2,0.0861842105263158,-0.0828054298642534,0.0926753246753247,0.0926753246753247,-0.2,-0.0368186618909859,-0.0377666451195863,0.166481161130556,-0.05,-0.0269230769230769,0.0981547767301192,-0.0417366946778711,-0.0476190476190476,-0.188888888888889,0,-0.1,0.125465104117641,-0.151154409443844,-0.0279411764705882,-0.0842948345233389,-0.100607857013699
"miR200",-0.0496173393056084,-0.024923835125448,-0.0920827633378933,0.0717957126220776,-0.0816176470588235,-0.082464960513741,-0.0686170150219008,-0.0875,0.01473361910594,0.0113628325890861,0.0216901408450704,0.0161956353505649,0.0330434782608696,0.0149342611605146,0.0403357787406867,-0.0202788479178132,-0.0379407220115185,0.02,-0.0344924461494495,-0.0932988901645618,-0.0282485875706215,0.0247290640394089,-0.0168421052631579,0.0128646572597479,-0.0372791747259832,0.0281773399014778,-0.00689107189107189,-0.0321203867977304,0,0.0285714285714286,0.00255639097744361,-0.0875537634408602,0.0233333333333333,-0.02,0.0217908902691511,-0.00499077883387715,0.0932988901645618,0.0932988901645618,-0.02,0.0560791589363018,0.0211972142904262,0.127999601871682,0.03,0.00940928270042194,0.0970395385436142,0.0594805194805195,0.0185714285714286,-0.04,-0.02,0,-0.0721684384568941,-0.019328200554454,0.0816176470588235,-0.0462077529924921,-0.116543022370049
"RAS",-0.121188630490956,-0.0189212076583211,0.0107163657542225,0.092068511198946,0.0176470588235294,0.0107936507936508,-0.0516923076923077,-0.06,0.0823529411764706,0.0589486858573216,0.0823529411764706,0.0573529411764706,0.1,0.0620256089342447,0.0388761593016912,0.106079096045198,0.0987012987012987,0.1,0.106864564007421,-0.130512820512821,0.000592885375494071,-0.126315789473684,0.133333333333333,-0.124428997020854,0.164502164502164,-0.1,0.0658210422812192,0.0922846441947566,0.1,0.18,-0.166666666666667,-0.0392452135493373,-0.133333333333333,-0.1,0.00964285714285714,-0.155555555555556,0.130512820512821,0.130512820512821,-0.1,0.189932920536636,0.134874213836478,0.316490843042126,-0.1,-0.121333333333333,0.018974358974359,0.199736842105263,0.205,-0.1,-0.1,0,0.0444690758644247,-0.0679746174328283,0,0.0616382872868076,0.0176547951934877
"HEY1",-0.0612273316716719,-0.00618679050567596,-0.0543045084996305,-0.0907280043899762,-0.0440606060606061,-0.0728131791803903,-0.00595441595441596,-0.0227272727272727,-0.000592795257637943,0.0072332916988838,-0.000592795257637943,0.00802789439753447,0.0156862745098039,0.0142567030701213,-0.000113289760348582,0.00719086021505376,-0.0186666666666667,0,-0.0186666666666667,0.0216666666666667,-0.019755538579068,-0.0185645933014354,0.02,-0.0257810881467962,0.0253859348198971,-0.0290909090909091,0.000193793453543196,-0.018222706828404,-0.1,-0.04,0.0133333333333333,-0.000897832817337461,-0.0166666666666667,-0.0333333333333333,-0.00740740740740741,0.0133333333333333,-0.0216666666666667,-0.0216666666666667,-0.0333333333333333,-0.0656353712994101,-0.00202020202020202,-0.0735706206399412,-0.0333333333333333,-0.0104166666666667,-0.0143137254901961,-0.0790374331550802,-0.0672727272727273,-0.0156862745098039,0,-0.0333333333333333,0.0555883887325501,-0.0156265660838199,0.0267272727272727,0.196322079964075,0.189335178146154
"SNAI2",-0.103809715459378,-0.00253660583176002,-0.096930634015033,-0.141961884968462,-0.0869927458162752,-0.0993832330458281,-0.00332130128204574,-0.0823529411764706,-0.0907280043899762,-0.0907280043899762,-0.0907280043899762,-0.0901932450316874,-0.0780519480519481,-0.0863981074827597,-0.0951610267421051,-0.0962301540334444,-0.033869885982562,-0.0666666666666667,-0.0324344792839974,0.0671858542163042,-0.0390596745027125,-0.0666666666666667,-0.0416666666666667,-0.0692640692640693,0.0485463150777552,-0.0719298245614035,-0.00483771795847423,0.0807720582581012,-0.1,-0.0666666666666667,0.0589080459770115,-0.00115481434864695,0.0858823529411765,0.0709090909090909,-0.015,0.0649321423625537,-0.0671858542163042,-0.0671858542163042,0.0709090909090909,-0.0769475357710652,0.000717948717948718,0.225684332534773,0.08,0.0920048019207683,-0.0649027491934732,-0.0823529411764706,-0.0725490196078431,0.0780519480519481,0.1,0.08,0.101304339178182,0.0839136354330703,0.0775910364145658,0.385485998445514,0.281509055351527
"Ecadherin",-0.0561500689785151,-0.00239532131136316,-0.0490603855339885,-0.0863981074827597,-0.0543045084996305,-0.0684653530934338,-0.000554043514937372,-0.0267272727272727,0.0072332916988838,0.0142567030701213,0.00802789439753447,0.0146945610642011,-0.000592795257637943,0.0156265660838199,0.00640440111488419,0.0111278680890695,-0.0186666666666667,0.02,-0.0193930589184826,0.0143137254901961,-0.0204266795186653,-0.0257810881467962,-0.0133333333333333,-0.0216918688159412,0.018806987451476,-0.0185645933014354,0.00367480611177104,-0.0230281988192507,0,-0.0672727272727273,0.0133333333333333,0.00241970272768624,-0.0104166666666667,-0.0156862745098039,-0.00107829348335677,0.0146320346320346,-0.0143137254901961,-0.0143137254901961,-0.0156862745098039,-0.0683804693386258,-0.00913630688911588,-0.0713430468891886,-0.0166666666666667,-0.00719086021505376,-0.010682440573995,-0.0656353712994101,-0.0790374331550802,0.000592795257637943,-0.0333333333333333,-0.0333333333333333,0.0526992927400058,-0.0122652215460048,0.0440606060606061,0.0976852737323319,0.188053126864103
"cateninmemb",0.0561500689785151,0.00239532131136316,0.0490603855339885,0.0863981074827597,0.0543045084996305,0.0684653530934338,0.000554043514937372,0.0267272727272727,-0.0072332916988838,-0.0142567030701213,-0.00802789439753447,-0.0146945610642011,0.000592795257637943,-0.0156265660838199,-0.00640440111488419,-0.0111278680890695,0.0186666666666667,-0.02,0.0193930589184826,-0.0143137254901961,0.0204266795186653,0.0257810881467962,0.0133333333333333,0.0216918688159412,-0.018806987451476,0.0185645933014354,-0.00367480611177104,0.0230281988192507,0,0.0672727272727273,-0.0133333333333333,-0.00241970272768624,0.0104166666666667,0.0156862745098039,0.00107829348335677,-0.0146320346320346,0.0143137254901961,0.0143137254901961,0.0156862745098039,0.0683804693386258,0.00913630688911588,0.0713430468891886,0.0166666666666667,0.00719086021505376,0.010682440573995,0.0656353712994101,0.0790374331550802,-0.000592795257637943,0.0333333333333333,0.0333333333333333,-0.0526992927400058,0.0122652215460048,-0.0440606060606061,0.177406789049669,0.141620098328269
"CD44",0.0857142857142857,0.00317460317460318,-0.0222222222222222,0.15,-0.0333333333333333,-0.0275,0.0448792270531401,0.0666666666666667,0.2,0.133333333333333,0.1,0.133333333333333,0.2,0.135658914728682,-0.0235897435897436,-0.0609090909090909,-0.0722222222222222,0,-0.0497732426303855,-0.0476190476190476,-0.117543859649123,0.0142857142857143,0,0.0195488721804511,-0.183333333333333,0,-0.0523125996810207,-0.112167832167832,0.1,-0.2,0,0.0158730158730159,0.05,0,0.115873015873016,0.00666666666666667,0.0476190476190476,0.0476190476190476,-0.1,-0.165,-0.101481481481482,-0.133462093462093,0.1,0.07,0.0676190476190476,-0.145,-0.125,-0.1,0.1,-0.1,0.11713958310597,-0.12335122242099,0.0333333333333333,-0.179652589295408,-0.200018315018315
"cateninnuc",-0.1075679559523,0.00416367079656229,-0.0545686574631011,-0.158999508142629,-0.0661407098648478,-0.0699904467117582,0.0013079896443378,-0.0422857142857143,-0.0133188067970677,-0.00696960044786132,-0.0119869955337496,-0.00605814177880885,-0.0296231546231546,-0.0115252389840824,-0.0411091558192806,-0.0290776533944535,-0.0267041847041847,0.0625,-0.0284777181284685,-0.0429244629244629,-0.0249400095984642,0.00835194674374808,0.0412878787878788,0.0110792194710208,-0.0223136152411868,0.00602636534839925,0.0551198722873023,-0.0129847195557647,0.1,-0.0804347826086957,-0.0392878787878788,0.00761345517967814,0.0393078324225865,0.0324009324009324,-0.00811737688961888,-0.0463191287878788,0.0429244629244629,0.0429244629244629,0.0324009324009324,-0.0660213247391932,-0.0683999838044503,-0.133067783719733,0.0311111111111111,0.03496000633563,0.0424194124194124,-0.062351599968551,-0.0661490683229814,0.0282913433598365,0.0111111111111111,-0.00606060606060606,0.101530569770756,-0.0834761418499414,0.0684395604395604,-0.0866861863245563,0.0189665917699252
"KLF4",0.0612273316716719,0.00618679050567596,0.0543045084996305,0.0907280043899762,0.0440606060606061,0.0728131791803903,0.00595441595441596,0.0227272727272727,0.000592795257637943,-0.0072332916988838,0.000592795257637943,-0.00802789439753447,-0.0156862745098039,-0.0142567030701213,0.000113289760348582,-0.00719086021505376,0.0186666666666667,0,0.0186666666666667,-0.0216666666666667,0.019755538579068,0.0185645933014354,-0.02,0.0257810881467962,-0.0253859348198971,0.0290909090909091,-0.000193793453543196,0.018222706828404,0.1,0.04,-0.0133333333333333,0.000897832817337461,0.0166666666666667,0.0333333333333333,0.00740740740740741,-0.0133333333333333,0.0216666666666667,0.0216666666666667,0.0333333333333333,0.0656353712994101,0.00202020202020202,0.0735706206399412,0.0333333333333333,0.0104166666666667,0.0143137254901961,0.0790374331550802,0.0672727272727273,0.0156862745098039,0,0.0333333333333333,-0.0555883887325501,0.0156265660838199,-0.0267272727272727,-0.196322079964075,-0.189335178146154
"FOXC2",0.0612273316716719,0.00618679050567596,0.0543045084996305,0.0907280043899762,0.0440606060606061,0.0728131791803903,0.00595441595441596,0.0227272727272727,0.000592795257637943,-0.0072332916988838,0.000592795257637943,-0.00802789439753447,-0.0156862745098039,-0.0142567030701213,0.000113289760348582,-0.00719086021505376,0.0186666666666667,0,0.0186666666666667,-0.0216666666666667,0.019755538579068,0.0185645933014354,-0.02,0.0257810881467962,-0.0253859348198971,0.0290909090909091,-0.000193793453543196,0.018222706828404,0.1,0.04,-0.0133333333333333,0.000897832817337461,0.0166666666666667,0.0333333333333333,0.00740740740740741,-0.0133333333333333,0.0216666666666667,0.0216666666666667,0.0333333333333333,0.0656353712994101,0.00202020202020202,0.0735706206399412,0.0333333333333333,0.0104166666666667,0.0143137254901961,0.0790374331550802,0.0672727272727273,0.0156862745098039,0,0.0333333333333333,-0.0555883887325501,0.0156265660838199,-0.0267272727272727,-0.196322079964075,-0.189335178146154
"cMet",0.0921658986175115,0.0183261183261183,-0.00520094562647753,0.161111111111111,-0.0222222222222222,-0.0135759493670886,0.0370667270531401,-0.0333333333333333,0.133333333333333,0.135658914728682,0.133333333333333,0.137878787878788,0.2,0.12335122242099,-0.0179717660616537,-0.0359090909090909,-0.0497732426303855,0,-0.06431869717584,-0.0676190476190476,-0.0959752321981424,0.0195488721804511,0,0.0216765317549192,-0.19,0.0142857142857143,-0.0404481929013597,-0.101298266950441,0,-0.125,0.00666666666666667,0.0088023088023088,0.07,-0.1,0.0968253968253968,-0.00583333333333333,0.0676190476190476,0.0676190476190476,-0.2,-0.152272727272727,-0.112592592592593,-0.137841655505889,0.05,0.0609090909090909,0.0695058400718778,-0.165,-0.145,-0.1,0.1,-0.1,0.122544988511375,-0.119961391912515,0.0333333333333333,-0.176344701254695,-0.193256749182016
"Wnt",0.0581504702194357,0.0994261119081779,-0.00463768115942029,-0.182424242424242,-0.0133333333333333,0.00680161943319838,0.017979797979798,0.1,-0.175,-0.127631578947368,-0.175,-0.127631578947368,-0.2,-0.127631578947368,-0.0358823529411765,-0.0257575757575758,0.0162393162393162,0.1,0.0139137348439674,0.116541353383459,0.00512820512820513,-0.0857142857142857,0.0666666666666667,-0.0690476190476191,0.124242424242424,-0.1,-0.0223084886128364,0.0349509803921569,0.1,0,-0.00666666666666668,-0.00832137733142037,0.05,0,-0.0823529411764706,0.00583333333333332,-0.116541353383459,-0.116541353383459,0.1,0.0274509803921569,0.0366666666666667,-0.157931034482759,0,0.0590909090909091,-0.0938140806561859,0.0333333333333333,0.0333333333333333,0.1,0,0,-0.138392565264092,0.14153886371558,-0.0333333333333333,0.0855897118879023,0.0999152542372881
"PI3K",0.0591871091871092,0.104499813363195,0.0150181731229077,-0.171238095238095,-0.0199411764705882,0.0192218350754936,0.010129428981888,0.025,-0.132367149758454,-0.127751765143069,-0.132367149758454,-0.127751765143069,-0.188888888888889,-0.14187605892838,-0.0302944936587132,-0.00747863247863248,0.0181192476990796,-0.0333333333333333,0.00611924769907964,0.0926753246753247,0.0070561329162883,-0.0673076923076923,-0.1,-0.0608560794044665,0.106923076923077,-0.075,-0.0396497584541063,0.0368421052631579,0,0.0333333333333333,0.105882352941176,-0.0250729506467371,0.05,0.2,-0.0861842105263158,0.0828054298642534,-0.0926753246753247,-0.0926753246753247,0.2,0.0368186618909859,0.0377666451195863,-0.166481161130556,0.05,0.0269230769230769,-0.0981547767301192,0.0417366946778711,0.0476190476190476,0.188888888888889,0,0.1,-0.125465104117641,0.151154409443844,0.0279411764705882,0.0842948345233389,0.100607857013699
"AKT",0.0575742059613027,0.106554607883743,0.0213625839990406,-0.175209214371669,0.0150181731229077,0.0259887523687267,0.0047818353990003,-0.0279411764705882,-0.127751765143069,-0.14187605892838,-0.127751765143069,-0.141718245589997,-0.132367149758454,-0.151154409443844,-0.03610489121223,-0.0137944219523167,0.00611924769907964,-0.1,-0.000278058698226762,0.0981547767301192,-0.00271830317393726,-0.0608560794044665,-0.105882352941176,-0.0693926647703202,0.0958119658119658,-0.0673076923076923,-0.0499254476771639,0.0401533635413036,-0.0333333333333333,0.0476190476190476,0.0828054298642534,-0.0257578821535864,0.0269230769230769,0.188888888888889,-0.107551731893837,-0.0343662873074638,-0.0981547767301192,-0.0981547767301192,0.188888888888889,0.0355528391061758,0.0359032910823192,-0.174621864648144,0.05,0.00747863247863248,-0.108034294802408,0.0368186618909859,0.0417366946778711,0.132367149758454,0.05,0.2,-0.116780240594068,0.150077486366921,0.0199411764705882,0.0850524102809146,0.108864737747644
"NFB",0.0617226890756303,0.118079163425806,0.032880859225163,0.0147163120567376,0.0132606060606061,0.00599150296361453,0.0153857268437592,0.0333333333333333,0.0112820512820513,0.0118470230334637,0.0112820512820513,0.0124056467876693,-0.0179487179487179,0.000876558898442618,-0.00457049486461251,-0.113886349997692,-0.0988036303630363,0.114285714285714,-0.111814782779393,-0.0487240442047323,-0.104562877782692,-0.0105339105339105,-0.0523809523809524,-0.0150500395661686,-0.0002609464838567,-0.0216450216450216,-0.0245038748881685,-0.0610795861904666,0.1,0.0214285714285714,0.0604890604890605,-0.00934307031947685,0.151111111111111,0.0333333333333333,-0.108882783882784,0.0316001716001716,0.0487240442047323,0.0487240442047323,0.0333333333333333,0.010422035480859,0.00519826257531175,0.226207960185968,0.14,0.123524904214559,0.0447439447022448,0.00453968253968254,-0.00657142857142857,0.0179487179487179,0.08,0,-0.13385307082399,0.00265285286626326,-0.00606060606060607,0.0789554399845475,0.0204598861345246
"ZEB1",0.00134556558117198,0.121282427629107,0.0981890940962496,-0.0984182132918756,0.0993701964584544,0.0871633768728043,0.0655404518536393,0.0923371647509579,0.00254202994518633,-0.000235747832591449,-0.00209059233449477,-0.00449609061628171,0.00450281425891182,-0.00209744996025102,-0.0353727552899455,0.009805824626842,0.0327469270564575,0.00666666666666667,0.0293815424410729,0.0757205309730033,0.0199744555962173,-0.0299019607843137,0.00140350877192983,-0.0373399773132393,0.0363742690058479,-0.0416666666666667,0.00482204614994321,0.0522247796389658,-0.0333333333333333,-0.0333333333333333,0.0100719010641357,-0.0125896489376514,-0.00303030303030303,0.0142857142857143,-0.125920987456525,-0.00135667036443568,-0.0757205309730033,-0.0757205309730033,0.00769230769230769,-0.0612587025999827,-0.0226396041096234,-0.131282588395522,-0.0166666666666667,-0.010873440285205,-0.078397696327334,-0.0705098039215686,-0.0693333333333333,0.00209059233449477,-0.0166666666666667,0,0.0867612223442494,0.00102112902091639,-0.0937864401132767,0.161847227516473,0.224649831894383
