"","GLI","STAT","Wnt","Frizzled","DSH","LIV1","RAS","RAF","DELTA","Csl","ZEB2","EGR1","PAK1","cfos","NFB","miR200","HEY1","KLF4","ILK","TWIST1","FUS","SMO","Csn","RKIP","TrCP","SUFU","ZEB1","SNAI1","Patched","SHH","SMAD","MEK","cateninmemb","TGF","ERK","IKK","AKT","TGFR","FOXC2","CDC42","Jagged","GSK3","NOTCHic","NOTCH","PI3K","Ecadherin","SOSGRB2","SRC","cMet","CD44","TCFLEF","cateninnuc","SNAI2","AXIN2","Destcompl"
"SMAD",-0.118732706142778,-0.12,-0.111538461538462,-0.1,-0.1,-0.12,-0.081863772173586,-0.0739690353314807,-0.0739690353314807,-0.0961904761904762,-0.143876563853314,-0.2,-0.15,-0.183870967741935,-0.0888888888888889,-0.0113700652360329,-0.0907301632200861,-0.153248306386275,-0.0744700961139317,0.0508937204491822,0.0458333333333333,0.0358333333333333,-0.0555555555555556,-0.062165579651811,0,0.0333333333333333,-0.0192560821461832,0.0758457747449683,-0.0367507645259939,-0.0334050396189307,-0.021244189600354,0.167278838940504,0.0373242310210628,0.127910907318872,0.176894223555889,0.0869281045751634,0.0922614379084967,0.136277441183413,0.141977708441607,0.145774647887324,0.100894707443095,0.0249132210034466,0.0950410509031199,0.102183908045977,0.0739690353314807,0.0991196444905925,0.225495415557527,0.12,0.129803921568627,0.137440285204991,0.142732008407162,0.145062302226818,0.287983358203725,0.178416217049013,0.12527395787242
"ZEB2",-0.229627253480465,-0.22,-0.216783216783217,-0.209090909090909,-0.209090909090909,-0.2,-0.183236788193962,-0.172316017316017,-0.172316017316017,-0.143589743589744,-0.136315481318782,-0.133333333333333,-0.120779220779221,-0.107017543859649,-0.0611111111111111,-0.0603045867125887,-0.0530442138506655,-0.0483359683038269,-0.0415897951813445,-0.028194933320553,-0.0142857142857143,-0.0114285714285714,-0.0111111111111111,-0.00214170692431562,0,0,0.00267394957502931,0.00603911241650603,0.0138675958188153,0.0147766867279062,0.0428093073764664,0.0698027523568954,0.0805566108813662,0.0825712911427197,0.0844368986983588,0.0855555555555556,0.0920976116303219,0.0942115027829314,0.100775446775447,0.104415584415584,0.147329804093072,0.153144570490483,0.15825641025641,0.165360235393022,0.172316017316017,0.191543399604508,0.219157509157509,0.22,0.227894736842105,0.239931773879142,0.247326140076325,0.25200146475165,0.263478433023487,0.284538724171851,0.293804920923897
"cfos",-0.0967836257309942,-0.1,-0.0888888888888889,-0.1,-0.1,-0.1,-0.167647058823529,-0.167647058823529,-0.167647058823529,0.0166666666666667,-0.10764825704293,-0.08,-0.0571428571428571,-0.16,0.0166666666666667,-0.00101010101010101,0.00852073963018492,-0.124698412698413,0.00502645502645503,0.00919480519480519,-0.0523809523809524,-0.0190476190476191,0.0666666666666667,-0.0186013986013986,0.1,-0.0666666666666667,-0.00340136054421769,0.0204657789467916,0.0287250384024578,0.0299596063036923,-0.00663935825226149,0.129786293294031,0.0515449138086476,0.0608352431881844,0.138260869565217,0.0333333333333333,0.0333333333333333,0.0638655462184874,0.0683213773314204,0.0619047619047619,-0.0202777777777778,0.165205627705628,0.0141025641025641,0.00948717948717949,0.167647058823529,0.0696914352581557,0.175,0.1,0.0888888888888889,0.0942942942942943,0.101224987363601,0.106039802178416,0.246473915379025,0.123628899835796,0.164721676251486
"CDC42",-0.0967836257309942,-0.1,-0.0888888888888889,-0.1,-0.1,-0.1,-0.167647058823529,-0.167647058823529,-0.167647058823529,0.0166666666666667,-0.10764825704293,-0.18,-0.157142857142857,-0.16,0.0166666666666667,-0.00101010101010101,0.00852073963018492,-0.124698412698413,0.00502645502645503,0.00919480519480519,-0.0523809523809524,-0.0190476190476191,0.0666666666666667,-0.0186013986013986,0.1,-0.0666666666666667,-0.00340136054421769,0.0204657789467916,0.0287250384024578,0.0299596063036923,-0.00663935825226149,0.129786293294031,0.0515449138086476,0.0608352431881844,0.138260869565217,0.0333333333333333,0.0333333333333333,0.0638655462184874,0.0683213773314204,0.0619047619047619,-0.0202777777777778,0.165205627705628,0.0141025641025641,0.00948717948717949,0.167647058823529,0.0696914352581557,0.175,0.1,0.0888888888888889,0.0942942942942943,0.101224987363601,0.106039802178416,0.246473915379025,0.123628899835796,0.164721676251486
"NOTCH",-0.124662004662005,-0.1,-0.127692307692308,-0.12,-0.1,0,-0.197417654808959,-0.187272727272727,-0.187272727272727,-0.06,-0.101932367149758,-0.2,-0.1,-0.18,0.0666666666666667,-0.00164502164502164,-0.094927536231884,-0.101932367149758,-0.00238095238095237,-0.0170847457627119,-0.0666666666666667,-0.0666666666666667,0.1,-0.00680813439434129,0,-0.1,0.00450885668276973,-0.0147435897435897,0.0435897435897436,0.0553544494720965,-0.000952380952380961,0.118095238095238,0.0328094507070984,0.0227670250896057,0.146666666666667,-0.0111111111111111,0.0444444444444444,0.0324444444444444,0.0369387755102041,0.0444444444444444,0.00367484367484367,0.197953674677813,0.102857142857143,0.0383410138248848,0.187272727272727,0.0897142048670062,0.193684210526316,0.12,0.127692307692308,0.124662004662005,0.134552114552115,0.143939869654155,0.269892743422155,0.168517520215633,0.218235773824559
"Jagged",-0.127692307692308,0,-0.12,-0.1,0,0,-0.187272727272727,-0.16,-0.16,0,-0.101932367149758,-0.1,-0.2,-0.2,0.1,-0.0187878787878788,-0.116666666666667,-0.0888888888888889,-0.0166666666666667,-0.012,-0.1,-0.0666666666666667,0,-0.0102564102564103,0,0,-0.00289855072463768,0.00833333333333333,0.0666666666666667,0.0435897435897436,0.00238095238095237,0.146666666666667,0.0375214925919151,0.0324444444444444,0.18,-0.0666666666666667,-0.0111111111111111,0.0444444444444444,0.0471428571428571,0.1,0.0110822510822511,0.186590038314176,0.06,0.102857142857143,0.16,0.0824561403508772,0.22,0.1,0.12,0.127692307692308,0.124662004662005,0.134552114552115,0.266189039718451,0.162857142857143,0.200478764478765
"SNAI1",-0.107695473057877,-0.0888888888888889,-0.103125089145628,-0.0967836257309942,-0.0888888888888889,-0.1,-0.176095334685598,-0.172647058823529,-0.172647058823529,-0.00948717948717949,-0.101907935974125,-0.138260869565217,-0.0638655462184874,-0.129786293294031,-0.0333333333333333,-0.00708830578196719,0.00050253234727175,-0.104025311222492,0.00212322922000342,0.00275444845010062,-0.0287250384024578,-0.0299596063036923,-0.0333333333333333,-0.0185852169975705,0.0166666666666667,-0.0190476190476191,-0.00465747599926291,-0.0835265260668402,0.0339596063036923,0.0337654315464108,-0.00273823537006492,0.123556098974151,0.0473878791334782,0.0515401171525771,0.124452959960698,0.0296296296296296,0.0289351851851852,0.0553707623138674,0.060317171048285,0.0608352431881844,-0.0118909138297446,0.172604367579615,0.00948717948717949,0.0119361590790162,0.172647058823529,0.0694651355199216,0.166182514477863,0.0942942942942943,0.101224987363601,0.106039802178416,0.107005319419795,0.107676460359393,0.249595764992173,0.133555451271782,0.172453505825421
"TrCP",-0.103125089145628,-0.1,-0.0967836257309942,-0.0888888888888889,-0.1,-0.1,-0.172647058823529,-0.167647058823529,-0.167647058823529,-0.0141025641025641,-0.101538932284088,-0.16,-0.0619047619047619,-0.138260869565217,-0.0333333333333333,-0.00507101471568477,0.0070501513948908,-0.109944314337757,0.00663935825226149,0.0059339356295878,-0.0190476190476191,-0.0287250384024578,0.0166666666666667,-0.0202588571649345,0.0666666666666667,-0.0523809523809524,-0.00822451166961962,0.0173631536484622,0.0299596063036923,0.0339596063036923,-0.00212322922000342,0.124452959960698,0.0476987599624938,0.0553707623138674,0.129786293294031,0.0333333333333333,0.0296296296296296,0.0608352431881844,0.0634937911245238,0.0638655462184874,-0.0165967961826858,0.168841991341991,0.00948717948717949,0.00948717948717949,0.167647058823529,0.0700374560194013,0.168069306930693,0.0888888888888889,0.0942942942942943,0.101224987363601,0.106039802178416,0.107005319419795,0.248824729122244,0.128660346376677,0.169383330386825
"LIV1",-0.103125089145628,-0.1,-0.0967836257309942,-0.0888888888888889,-0.1,-0.1,-0.172647058823529,-0.167647058823529,-0.167647058823529,-0.0141025641025641,-0.101538932284088,-0.16,-0.0619047619047619,-0.138260869565217,-0.0333333333333333,-0.00507101471568477,0.0070501513948908,-0.109944314337757,0.00663935825226149,0.0059339356295878,-0.0190476190476191,-0.0287250384024578,0.0166666666666667,-0.0202588571649345,0.0666666666666667,-0.0523809523809524,-0.00822451166961962,0.0173631536484622,0.0299596063036923,0.0339596063036923,-0.00212322922000342,0.124452959960698,0.0476987599624938,0.0553707623138674,0.129786293294031,0.0333333333333333,0.0296296296296296,0.0608352431881844,0.0634937911245238,0.0638655462184874,-0.0165967961826858,0.168841991341991,0.00948717948717949,0.00948717948717949,0.167647058823529,0.0700374560194013,0.168069306930693,0.0888888888888889,0.0942942942942943,0.101224987363601,0.106039802178416,0.107005319419795,0.248824729122244,0.128660346376677,0.169383330386825
"EGR1",-0.103125089145628,-0.1,-0.0967836257309942,-0.0888888888888889,-0.1,-0.1,-0.172647058823529,-0.167647058823529,-0.167647058823529,-0.0141025641025641,-0.101538932284088,-0.16,-0.0619047619047619,-0.138260869565217,-0.0333333333333333,-0.00507101471568477,0.0070501513948908,-0.109944314337757,0.00663935825226149,0.0059339356295878,-0.0190476190476191,-0.0287250384024578,0.0166666666666667,-0.0202588571649345,0.0666666666666667,-0.0523809523809524,-0.00822451166961962,0.0173631536484622,0.0299596063036923,0.0339596063036923,-0.00212322922000342,0.124452959960698,0.0476987599624938,0.0553707623138674,0.129786293294031,0.0333333333333333,0.0296296296296296,0.0608352431881844,0.0634937911245238,0.0638655462184874,-0.0165967961826858,0.168841991341991,0.00948717948717949,0.00948717948717949,0.167647058823529,0.0700374560194013,0.168069306930693,0.0888888888888889,0.0942942942942943,0.101224987363601,0.106039802178416,0.107005319419795,0.248824729122244,0.128660346376677,0.169383330386825
"NOTCHic",-0.136489961651252,-0.12,-0.124662004662005,-0.127692307692308,-0.12,-0.1,-0.203821595695659,-0.197417654808959,-0.197417654808959,-0.102857142857143,-0.0819323671497584,-0.18,-0.0444444444444444,-0.146666666666667,0.0111111111111111,0.00933763731451593,-0.0964659977703456,-0.105503795721187,0.000952380952380961,-0.0315501545677433,-0.0666666666666667,-0.0435897435897436,0.0666666666666667,0.0115017247605883,0.1,-0.0666666666666667,0.00673107890499195,-0.0205636955636956,0.0553544494720965,0.0564297182893008,-0.00167180541281262,0.100952380952381,0.0317952519241369,0.0119389996118987,0.118095238095238,0.0444444444444444,0.051421188630491,0.0227670250896057,0.022422646477946,0.0324444444444444,0.00831060526424764,0.210350368892689,0.0383410138248848,0.0409725927722532,0.197417654808959,0.0868045570875269,0.184593301435407,0.127692307692308,0.124662004662005,0.134552114552115,0.143939869654155,0.150810098661789,0.274902763462235,0.176850853548967,0.230569107157892
"RKIP",0.202051282051282,0.1,0.186666666666667,0.166666666666667,0.1,0,0.302278277278277,0.286038961038961,0.286038961038961,0.233333333333333,-0.0781099952175992,0.03,-0.133333333333333,-0.02,0.214285714285714,-0.03338553212182,0.130778164924506,-0.0701099952175992,0.112419768934531,0.244818775995247,-0.1,-0.1,0.2,-0.232773109243697,0.2,-0.1,-0.0447680535628886,0.241485264796657,0.08,0.0685245901639344,-0.107469273885027,0.0452384446074835,-0.0668120221061398,0.201602136181575,0.0303448275862069,-0.239285714285714,-0.254437229437229,0.185714285714286,0.182463896257,0.166666666666667,-0.183759802732638,-0.313159968479117,-0.26969696969697,-0.288927738927739,-0.286038961038961,-0.183768005699771,-0.034031746031746,-0.166666666666667,-0.192982456140351,-0.208367071524966,-0.22165378481168,-0.231577448933817,-0.417127411552136,-0.239791373652133,-0.453313869101648
"SMO",-0.0736111111111111,-0.1,-0.0625,-0.05,0,-0.1,-0.338316189624329,-0.319711538461538,-0.319711538461538,-0.2,-0.0751412429378531,-0.1,-0.0666666666666667,-0.08,-0.1,-0.013170584689572,-0.0527472527472527,-0.0861111111111111,-0.0433333333333333,-0.119934640522876,0.0666666666666667,-0.0133333333333333,-0.1,0.0655555555555556,0,0.1,0.0353107344632768,-0.0787250384024578,0.00083333333333333,0.00083333333333333,0.0353968253968254,0.0203263403263403,-0.134256707380729,-0.00914414414414414,0.0415384615384615,0.142857142857143,0.178857142857143,0.00166666666666667,-0.0803448275862069,0.0266666666666667,0.159497354497355,0.342842917600199,0.245454545454545,0.275454545454545,0.319711538461538,0.0125354175871856,0.150877192982456,0.15,0.17,0.181111111111111,0.189848975188781,0.198871531579758,0.28200328407225,0.320704582773548,0.41215497680614
"FUS",-0.0832264957264957,-0.15,-0.0736111111111111,-0.0625,-0.05,-0.1,-0.35010658263743,-0.338316189624329,-0.338316189624329,-0.245454545454545,-0.065938788950123,-0.08,-0.0266666666666667,-0.0415384615384615,-0.142857142857143,0.00267099946884381,-0.0455008759356585,-0.0943078324225865,-0.0353968253968254,-0.133023645758478,-0.0133333333333333,-0.00083333333333333,-0.1,0.0768957617411226,-0.1,0.0666666666666667,0.0457401823160376,-0.0947627742515144,0.00083333333333333,0.00992424242424242,0.0321710189452125,0.0030849610159955,-0.137794882427284,-0.0229739313781867,0.0203263403263403,0.178857142857143,0.201934065934066,-0.00914414414414414,-0.0948185117967332,0.00166666666666667,0.161906993051571,0.356555292182139,0.275454545454545,0.293636363636364,0.338316189624329,0.013083362792665,0.135492577597841,0.17,0.181111111111111,0.189848975188781,0.198871531579758,0.206208488101498,0.286132547986074,0.332505825009573,0.428651327171103
"SUFU",-0.0925201760238935,-0.17,-0.0832264957264957,-0.0736111111111111,-0.0625,-0.15,-0.358650886434898,-0.35010658263743,-0.35010658263743,-0.275454545454545,-0.0499967599646158,-0.0415384615384615,-0.00166666666666667,-0.0203263403263403,-0.178857142857143,0.0093624492829702,-0.0455008759356585,-0.086523401284862,-0.0321710189452125,-0.144363851944045,-0.00083333333333333,-0.00083333333333333,-0.142857142857143,0.0879161699043879,-0.1,-0.0133333333333333,0.0462232741034772,-0.104132450571787,0.00992424242424242,0.0157157482157482,0.036097115942903,-0.0118086560052811,-0.141205523627829,-0.036583398833808,0.0030849610159955,0.201934065934066,0.209316616269636,-0.0229739313781867,-0.109458710307899,-0.00914414414414414,0.166420057184588,0.368894623801676,0.293636363636364,0.301572871572872,0.35010658263743,0.0117445368400389,0.127800269905533,0.181111111111111,0.189848975188781,0.198871531579758,0.206208488101498,0.211170124930142,0.289098929001235,0.342576082620814,0.440719376081257
"STAT",-0.243936210847976,-0.214285714285714,-0.231331168831169,-0.226785714285714,-0.214285714285714,-0.1,-0.308776141007123,-0.29907464846981,-0.29907464846981,-0.0745098039215686,-0.0495069033530572,-0.166666666666667,-0.0363636363636364,-0.126666666666667,-0.01,0.0298265913740657,-0.0113333333333333,0.0265102000396118,-0.00861513687600643,-0.159606019501072,-0.1,-0.08,0.05,0.07126287001287,0.1,-0.1,0.0272189349112426,-0.0919729225870047,0.0869767441860465,0.0914015229471085,0.00861513687600643,0.0687919038583175,0.0435703426998144,-0.012185499156323,0.0913725490196078,0.0623809523809524,0.077635189669088,0.00182416267942584,-0.00878663940013633,0.0176136363636364,0.0815283845338366,0.32636404094348,0.109644939056704,0.120324550707189,0.29907464846981,0.204709564382092,0.238587848932677,0.226785714285714,0.231331168831169,0.24244227994228,0.252852374579504,0.260361313792853,0.260773086250148,0.285735441029559,0.358453729940281
"IKK",-0.12957264957265,-0.1,-0.118803418803419,-0.111111111111111,-0.1,-0.1,0.0440164276645962,0.0510586811857229,0.0510586811857229,-0.00909090909090909,-0.0376190476190476,-0.05,-0.1,-0.0642857142857143,-0.114285714285714,-0.0200222965440357,-0.0900928792569659,-0.0501831501831502,-0.0888888888888889,0.0107843137254902,0.08,0.08,-0.1,-0.0718579234972678,0,0.1,-0.017047619047619,0.0850720949957591,-0.0688888888888889,-0.0654406130268199,0.0918591859185919,0.0660634920634921,0.0948135198135198,0.0977656565656566,0.0682857142857143,0.0142857142857143,0.0115830115830116,0.106565656565657,0.135670995670996,0.111111111111111,0.113883161512027,-0.177161172161172,0.0138528138528139,0.0154401154401154,-0.0510586811857229,0.187575662719441,0.154621848739496,0.111111111111111,0.118803418803419,0.12957264957265,0.134657395335361,0.138454863689792,0.366973468230519,0.154761904761905,-0.0858114918168472
"SOSGRB2",-0.15843685300207,-0.1,-0.151190476190476,-0.142857142857143,-0.1,0,-0.107619875416486,-0.0973634651600754,-0.0973634651600754,-0.209090909090909,-0.0043734335839599,0.019047619047619,-0.0142857142857143,0.00793650793650794,-0.188888888888889,0.00119721107999697,-0.102840909090909,-0.0100877192982456,0.00989247311827957,-0.0141449275362319,0,-0.0166666666666667,-0.2,0.0612207602339181,-0.3,0,0.00121553884711779,-0.00611442786069652,0.0301801801801802,0.0348313429708779,-0.00919317241897887,-0.00523380523380523,0.0853442533442533,-0.0112080118463097,-0.00523380523380523,0.194152046783626,0.194152046783626,-0.00340659340659341,0.00437118437118437,0.00428571428571428,0.0468239276122375,0.00806967070641685,0.224475524475524,0.228700876588201,0.0973634651600754,0.173616442420534,0.0105555555555556,0.142857142857143,0.155900621118012,0.163146997929607,0.169462787403291,0.173860492948224,0.28067748412401,0.193426842684268,0.196452131015889
"ZEB1",-0.280975591335159,-0.256410256410256,-0.272384526043063,-0.264692218350755,-0.247619047619048,-0.233333333333333,-0.268802767441044,-0.259196468228446,-0.259196468228446,-0.189583333333333,-0.000554422207125269,-0.0833333333333333,-0.0703065134099617,-0.0553333333333333,-0.123508771929825,0.0897380061941172,-0.0581268041112601,-0.0247225415389956,-0.0432659865835748,-0.121554637551211,0,0.00454545454545455,-0.0866666666666667,0.0126035151180219,-0.0666666666666667,0,-0.0989795809916632,-0.0259212141693968,0.00525846702317291,0.00774957022601988,0.043746755814344,0.0193240044916645,-0.0156798767873937,0.0262578454700598,0.0329803921568627,0.148098935864251,0.158098935864251,0.0396436722417133,0.0496098506171688,0.0543644844244544,0.168322732479901,0.236587616296963,0.211151960784314,0.220242869875223,0.259196468228446,0.165171554346859,0.14495126705653,0.273483427141964,0.281326564396866,0.288965453285755,0.296412261796393,0.302283103283673,0.292218889006879,0.329063125915301,0.372999076507262
