"","ZEB1","AXIN2","Ecadherin","LIV1","cateninmemb","CDC42","cMet","TCFLEF","CD44","TWIST1","Wnt","STAT","SRC","GLI","Frizzled","DSH","ERK","NFB","Csn","Patched","SNAI2","FUS","ZEB2","TrCP","SUFU","RKIP","SHH","SMO","SMAD","SNAI1","ILK","AKT","HEY1","IKK","Jagged","MEK","cfos","NOTCH","NOTCHic","Csl","EGR1","miR200","SOSGRB2","Destcompl","TGFR","cateninnuc","RAF","PI3K","DELTA","RAS","TGF","KLF4","PAK1","FOXC2","GSK3"
"Csn",0.0306236559139785,-0.161127636134718,0.00981466836504002,-0.133333333333333,0.0463889151837443,-0.126492537313433,-0.124193325024235,-0.126491288582649,-0.125526658357568,-0.00741857565840735,-0.124193325024235,-0.133333333333333,-0.122988505747126,-0.125503368692357,-0.122988505747126,-0.133333333333333,0.0210822510822511,-0.0966666666666667,-0.08,-0.000181538891216312,0.0692124849338665,0.0142857142857143,-0.0149958643507031,-0.02,0.0142857142857143,-0.101498421679246,-0.00391682176452139,-0.00519480519480519,0.0177161106143586,-0.107137880375005,0.0184873188405797,0.108366666666667,0.0249916943521595,0.109166666666667,0.0353012269962677,-0.0179572510822511,-0.0275757575757576,0.124098124098124,0.124098124098124,0.12020202020202,-0.0366666666666667,-0.0164007715640764,0.120544217687075,-0.136642975106459,0.121364332185228,0.12679195003785,0.0367639807183327,0.0367639807183327,0.0367639807183327,0.0365720421386782,0.122557649607662,-0.0177231918408389,0.125,-0.102185371266391,-0.0402502122713446
"AKT",-0.130329881386141,-0.182345538937597,0.00476550865775696,-0.2,0.0713419043946736,-0.130411764705882,-0.145930880713489,-0.150611409573644,-0.148755739470552,-0.095909989629869,-0.145930880713489,-0.166666666666667,-0.153623188405797,-0.148724176802875,-0.153623188405797,-0.166666666666667,-0.0151168664186986,-0.141176470588235,-0.1,0.0365384615384615,-0.0562782185008354,0.0833333333333333,-0.013338992463608,0.166666666666667,0.1,-0.0255986341024704,-0.0396963562753036,-0.0448717948717949,-0.030591989523082,-0.0157559962708704,-0.0215010804321729,0.0683714977832625,-0.0174830426889542,0.169381598793363,0.0248553502962705,0.0265092714819898,0.00364145658263306,0.0996293046057011,0.103287841191067,0.0903846153846154,0.00952380952380954,0.0131688144706467,0.0902991452991453,-0.122000607468502,0.123094691535151,0.150457563419798,0.00737686058234003,0.00737686058234003,0.00737686058234003,0.00809975214860509,0.124605265553278,-0.014451192082771,0.154411764705882,0.0892310043401186,-0.0416507626185046
"ZEB1",-0.128291293913483,0.110642578470155,0.146122371819168,0,0.0391543445865509,0.00801266033649842,0.0081705477688261,0.0115393420950672,0.0123372144354928,0.0263881292122297,0.0128785848298043,0.00769230769230769,0.0101313320825516,0.0173459387816944,0.0167247386759582,0.0142857142857143,-0.0438823529411765,0.00807017543859649,0.0133333333333333,-0.0464572192513369,-0.142712917031171,-0.0458333333333333,-0.0119505809474061,-0.0333333333333333,-0.0333333333333333,0.00621517747243086,0.0468130911374579,0.0503787878787879,0.0274715440389933,0.0209013368126971,0.028913851731301,-0.0154238054151773,0.0318437262219646,-0.00970951970089157,0.0406191492667402,0.0434418243068152,0.038,0.0080598768432993,0.0105392156862745,0.0125,0.05,0.0740703862342298,-0.0654191033138402,-0.0894279113123082,-0.0115659598288842,-0.0116371894531886,-0.08265512983704,-0.08265512983704,-0.08265512983704,-0.0828126101520006,-0.0103848574666795,-0.00853107163599223,-0.000766283524904214,0.105791893570628,-0.0128964876710846
"ZEB2",-0.130708079699074,-0.112700242238953,-0.104875670101882,-0.1,-0.0908121140266845,-0.0857142857142857,-0.0852631578947368,-0.0828374927930154,-0.0824853801169591,-0.0810586704581561,-0.0804195804195804,-0.08,-0.08,-0.0776672868415988,-0.0727272727272727,-0.0727272727272727,-0.0508771929824561,-0.0458333333333333,-0.0333333333333333,-0.0236933797909408,-0.015472510218963,-0.0142857142857143,-0.0107958640444849,0,0,0.00694041867954911,0.0218751979727589,0.0285714285714286,0.0351156784358433,0.0353694897046392,0.0363351906309653,0.0370690550363448,0.0427712609970674,0.0436111111111111,0.0450106276921919,0.0508771929824561,0.0508771929824561,0.053437578814628,0.0550769230769231,0.0564102564102564,0.0666666666666667,0.0742204129180938,0.078021978021978,0.0785598602184489,0.082312925170068,0.082447882403405,0.0826406926406927,0.0826406926406927,0.0826406926406927,0.0841396219768811,0.0870748299319728,0.0897247455905551,0.0948051948051948,0.108087024087024,0.151550617090792
"PI3K",-0.133069607413538,-0.183428571428571,0.00355338744563574,-0.1,0.070016726005275,-0.154411764705882,-0.153623188405797,-0.148755739470552,-0.145930880713489,-0.0980506624127437,-0.153623188405797,-0.2,-0.166666666666667,-0.145930880713489,-0.166666666666667,-0.2,-0.00364145658263306,-0.1,-0.166666666666667,0.0448717948717949,-0.0573837461390263,0.1,-0.0105992664362108,0.2,0,-0.0212508080155139,-0.0365384615384615,-0.0833333333333333,-0.0215010804321729,-0.0140016103059581,-0.0127010804321729,0.169381598793363,-0.00770860659872868,0.141176470588235,0.0268421052631579,0.0151168664186986,0.00952380952380954,0.103287841191067,0.0903846153846154,0.075,0.0666666666666667,0.0190511674118231,0.108076923076923,-0.124068432116972,0.130411764705882,0.150611409573644,0.0197056277056277,0.0197056277056277,0.0197056277056277,0.00737686058234003,0.123094691535151,-0.0135964912280702,0.125,0.091486643437863,-0.0456830206830207
"ILK",-0.133069607413538,-0.183428571428571,0.00355338744563574,-0.1,0.070016726005275,-0.154411764705882,-0.153623188405797,-0.148755739470552,-0.145930880713489,-0.0980506624127437,-0.153623188405797,-0.2,-0.166666666666667,-0.145930880713489,-0.166666666666667,-0.2,-0.00364145658263306,-0.1,-0.166666666666667,0.0448717948717949,-0.0573837461390263,0.1,-0.0105992664362108,0.2,0,-0.0212508080155139,-0.0365384615384615,-0.0833333333333333,-0.0215010804321729,-0.0140016103059581,-0.0127010804321729,0.169381598793363,-0.00770860659872868,0.141176470588235,0.0268421052631579,0.0151168664186986,0.00952380952380954,0.103287841191067,0.0903846153846154,0.075,0.0666666666666667,0.0190511674118231,0.108076923076923,-0.124068432116972,0.130411764705882,0.150611409573644,0.0197056277056277,0.0197056277056277,0.0197056277056277,0.00737686058234003,0.123094691535151,-0.0135964912280702,0.125,0.091486643437863,-0.0456830206830207
"SOSGRB2",0.023483709273183,-0.159144664466447,-0.13869945316313,0,-0.0883078663078663,-0.0628571428571429,-0.138509316770186,-0.116510842323199,-0.119668737060041,-0.0358840579710145,-0.142857142857143,-0.1,-0.142857142857143,-0.124016563146998,-0.142857142857143,-0.1,0.00682110682110681,-0.111111111111111,-0.1,-0.00315315315315315,0.209058426515536,-0.0333333333333333,-0.00979949874686717,0,0,0.0012061403508772,0.00780431594385083,0.0166666666666667,0.036614783066396,-0.0352814498933902,0.0331182795698925,0.110014619883041,0.0273674242424242,0.105847953216374,0.0551164524574053,0.00530010530010531,-0.00952380952380951,0.13637348566926,0.134965034965035,0.127272727272727,0.0238095238095238,-0.00614530512878731,0.103611111111111,-0.126753857626341,0.0628571428571429,0.119761320334672,0.196421845574388,0.196421845574388,0.196421845574388,0.195139794292337,0.0578926038500507,-0.0112280701754386,0.0428571428571429,-0.00932844932844933,0.0679960681363206
"FUS",0.165187515164119,-0.239661338162088,0.0197315933160662,-0.1,0.101987842741814,-0.205,-0.07,-0.0769202131542448,-0.0806796116504854,-0.00869349484994696,-0.175,-0.05,-0.07,-0.186538461538462,-0.175,-0.15,0.0906293706293706,-0.221428571428571,-0.15,0.116388888888889,0.228768468975737,0.106666666666667,-0.00970590274167273,0.1,0.266666666666667,-0.0630813287514318,-0.123459595959596,-0.0941666666666667,0.109318996415771,-0.073963133640553,0.102222222222222,0.201736263736264,0.119493549928333,0.209428571428571,0.140663606808185,-0.0871810947673017,-0.0815384615384615,0.256060606060606,0.260606060606061,0.260606060606061,-0.12,-0.0584600051325205,0.185222672064777,0.138322309162574,0.218513513513514,0.0774636914151144,0.226923076923077,0.226923076923077,0.226923076923077,0.234346657709103,0.223832662449684,-0.0178051001821494,0.213333333333333,-0.0842105263157895,0.153330952149019
"SUFU",0.166153698738998,-0.2403639142745,0.0192166602573638,-0.05,0.103488524870054,-0.218513513513514,-0.0806796116504854,-0.0774636914151144,-0.0769202131542448,-0.00766256701489541,-0.186538461538462,-0.07,-0.07,-0.182449242207607,-0.175,-0.175,0.0871810947673017,-0.209428571428571,-0.221428571428571,0.123459595959596,0.22909806686631,0.0941666666666667,-0.00873971916679351,0.15,0.106666666666667,-0.0618568389555135,-0.123845696345696,-0.116388888888889,0.11416888094233,-0.0737927758892753,0.109318996415771,0.197038277159083,0.127927284868092,0.201736263736264,0.140901136499397,-0.0969683288098549,-0.0906293706293706,0.257647907647908,0.256060606060606,0.260606060606061,-0.0815384615384615,-0.0558577746492491,0.190117776959882,0.137205881730357,0.223832662449684,0.0763895226171604,0.234346657709103,0.234346657709103,0.234346657709103,0.233713746316698,0.226396765013786,-0.0196015073677781,0.205,-0.0839623873579731,0.152045605105317
"Patched",0.141666666666667,-0.228138528138528,0.0176348435814455,-0.1,0.0972401433691756,-0.233333333333333,-0.05,-0.07,-0.07,-0.0111111111111111,-0.15,-0.1,-0.1,-0.175,-0.2,-0.2,0.12,-0.1,0,0.106666666666667,0.223233716475096,0.3,-0.00833333333333333,0,0.2,-0.04,-0.0941666666666667,-0.266666666666667,0.113333333333333,-0.0596774193548387,0.133333333333333,0.221428571428571,0.141025641025641,0.15,0.145396825396825,-0.0815384615384615,-0.1,0.260606060606061,0.233333333333333,0.2,-0.1,-0.0476190476190476,0.2,0.134985014985015,0.213333333333333,0.0806796116504854,0.226923076923077,0.226923076923077,0.226923076923077,0.226923076923077,0.205,-0.0111111111111111,0.233333333333333,-0.075,0.143589743589744
"Wnt",-0.0994261119081779,-0.209090909090909,-0.0434903150874827,0,0.0525,-0.133333333333333,-0.175,-0.162593984962406,-0.169736842105263,-0.107352941176471,-0.175,-0.1,-0.2,-0.169736842105263,-0.1,0,-0.00666666666666668,-0.0666666666666667,-0.1,0.0909090909090909,0.024051724137931,0,-0.00832137733142037,0.1,0,-0.0683333333333333,-0.0480519480519481,-0.1,-0.00584376863446632,-0.026656314699793,-0.0128205128205128,0.0441666666666667,-0.00615384615384615,0.00666666666666668,0.0379656862745098,0.000784313725490206,0.0666666666666667,0.102380952380952,0.0857142857142857,0.1,0.1,0.017979797979798,0.127272727272727,-0.126795248992045,0.166666666666667,0.165905243240552,0.0586466165413534,0.0586466165413534,0.0586466165413534,0.0541011619958988,0.149275362318841,-0.00588235294117647,0.1,0.0723076923076923,-0.0513322884012539
"DSH",-0.109935194312481,-0.204861687228481,-0.0424064706322598,-0.2,0.0559460710079085,-0.149275362318841,-0.162593984962406,-0.167333814669123,-0.165905243240552,-0.108791644317301,-0.162593984962406,-0.175,-0.169736842105263,-0.165861958818615,-0.169736842105263,-0.175,-0.00819172113289761,-0.0441666666666667,-0.00666666666666668,0.0416003351487222,0.026676741122687,0.0909090909090909,-0.00771328502612685,0.0666666666666667,0.1,-0.0468298368298368,-0.0446678198112989,-0.0480519480519481,-0.0214247949084921,-0.0334472049689441,-0.0142549835877373,0.076566091954023,-0.0085427972550033,0.0754166666666667,0.0354051976675096,0.0194699166216194,0.000784313725490206,0.11793010910658,0.120028011204482,0.102380952380952,0.00666666666666668,0.0131017491993102,0.105986696230599,-0.1241331111825,0.142608695652174,0.16777905064419,0.0438649415234579,0.0438649415234579,0.0438649415234579,0.0452655017475475,0.14435085593092,-0.00967338391667347,0.166666666666667,0.0826368979857352,-0.0472459493729195
"GSK3",-0.106517660880089,-0.205927136239136,-0.0427028157096388,-0.175,0.0568302443058749,-0.142608695652174,-0.165905243240552,-0.16777905064419,-0.167333814669123,-0.109431849182858,-0.165861958818615,-0.169736842105263,-0.162593984962406,-0.168220449384653,-0.162593984962406,-0.169736842105263,-0.0194699166216194,-0.0754166666666667,-0.0441666666666667,0.0446678198112989,0.0272807100614273,0.0480519480519481,-0.00637598933519075,0.00666666666666668,0.0909090909090909,-0.0495867290604133,-0.0504094466055573,-0.0416003351487222,-0.0218745700209358,-0.0364372381915355,-0.0214247949084921,0.0671643825523136,-0.0137331086736884,0.076566091954023,0.0335073874485315,0.0171971893488921,0.00819172113289761,0.113514524690995,0.11793010910658,0.120028011204482,0.000784313725490206,0.0122811161395212,0.10273088227711,-0.124027440171581,0.14435085593092,0.167121155907348,0.0452655017475475,0.0452655017475475,0.0452655017475475,0.0465260059492282,0.145376496956561,-0.0112001014739254,0.149275362318841,0.0808825120208229,-0.145914834564267
"Ecadherin",0.00605184902596609,0.12314291732396,0.115948286804145,0,0.094989529440749,0.0590909090909091,0.0214084339499197,0.0186012351927507,0.0177295041840334,0.0123868745511861,0.0222180291523185,0.0176470588235294,0.0153214774281806,0.0182180291523185,0.0153214774281806,0.0176470588235294,0.0786603451127405,0.115238095238095,0.12,-0.0135752688172043,-0.0977176588973032,0,-0.00581573811864481,-0.1,-0.0333333333333333,-0.00628099384118646,0.0151500719668106,0.0125,-0.025323086640699,-0.0092186040442329,-0.0255652173913043,-0.115045695045695,-0.0371700309165765,-0.118941798941799,-0.0197193269394011,-0.0719936784460738,-0.0714438502673797,-0.117574923850775,-0.117203176638879,-0.116172248803828,-0.0890909090909091,-0.00177772775538139,-0.127271222653546,-0.0710160019848016,-0.0634811529933481,-0.017387416331873,-0.108257918552036,-0.108257918552036,-0.108257918552036,-0.107419929725221,-0.0633003211669467,0.0112048757618378,-0.0550909090909091,-0.0755313619993122,-0.0761408163375008
"Frizzled",-0.112297399036891,-0.204439746300211,-0.0437234153205829,-0.1,0.0553571428571429,-0.166666666666667,-0.169736842105263,-0.165905243240552,-0.162593984962406,-0.110210084033613,-0.169736842105263,-0.2,-0.175,-0.162593984962406,-0.175,-0.1,-0.000784313725490206,-0.00666666666666668,-0.0666666666666667,0.0480519480519481,0.0256290112041771,0.1,-0.0053510803017174,0.1,0,-0.0433333333333333,-0.0416003351487222,-0.0909090909090909,-0.0142549835877373,-0.0314182194616977,-0.00584376863446632,0.0754166666666667,0.000229132569558101,0.0441666666666667,0.0369555852644088,0.00819172113289761,0.00666666666666668,0.120028011204482,0.102380952380952,0.0857142857142857,0.0666666666666667,0.017979797979798,0.118181818181818,-0.125468989045096,0.149275362318841,0.167333814669123,0.0541011619958988,0.0541011619958988,0.0541011619958988,0.0438649415234579,0.142608695652174,-0.0106442577030812,0.133333333333333,0.0839355992844365,-0.0507262277951933
"HEY1",0.00557791537667699,0.123761474024991,0.215071947953123,0.0333333333333333,0.0966561961074156,0.0550909090909091,0.0153214774281806,0.0177295041840334,0.0214084339499197,0.0129455337690632,0.0153214774281806,0,0.0176470588235294,0.0222180291523185,0.0176470588235294,0,0.0714438502673797,0.12,0.1,-0.0125,-0.0971758166336066,-0.0333333333333333,-0.00297213622291022,-0.1,0,-0.00141207998350855,0.0135752688172043,0,-0.0255652173913043,-0.0092186040442329,-0.0226666666666667,-0.118941798941799,-0.0351566080977846,-0.115238095238095,-0.0213211576030167,-0.0786603451127405,-0.0890909090909091,-0.117203176638879,-0.116172248803828,-0.110909090909091,-0.08,-0.0001017501017501,-0.129902801600915,-0.0716683784992471,-0.0590909090909091,-0.0186012351927507,-0.103846153846154,-0.103846153846154,-0.103846153846154,-0.108257918552036,-0.0634811529933481,0.00740740740740741,-0.0590909090909091,-0.0743871972395868,-0.0759200657856244
"FOXC2",0.00557791537667699,0.123761474024991,0.215071947953123,0.0333333333333333,0.0966561961074156,0.0550909090909091,0.0153214774281806,0.0177295041840334,0.0214084339499197,0.0129455337690632,0.0153214774281806,0,0.0176470588235294,0.0222180291523185,0.0176470588235294,0,0.0714438502673797,0.12,0.1,-0.0125,-0.0971758166336066,-0.0333333333333333,-0.00297213622291022,-0.1,0,-0.00141207998350855,0.0135752688172043,0,-0.0255652173913043,-0.0092186040442329,-0.0226666666666667,-0.118941798941799,-0.0351566080977846,-0.115238095238095,-0.0213211576030167,-0.0786603451127405,-0.0890909090909091,-0.117203176638879,-0.116172248803828,-0.110909090909091,-0.08,-0.0001017501017501,-0.129902801600915,-0.0716683784992471,-0.0590909090909091,-0.0186012351927507,-0.103846153846154,-0.103846153846154,-0.103846153846154,-0.108257918552036,-0.0634811529933481,0.00740740740740741,-0.0590909090909091,-0.0743871972395868,-0.0759200657856244
"SHH",-0.15,0.219047619047619,-0.0147222222222222,0,-0.102795698924731,0.233333333333333,0.1,0.07,0.05,0,0.2,0.1,0.1,0.15,0.2,0.2,-0.1,0,0,-0.266666666666667,-0.219233716475096,-0.2,0,0,-0.2,0.04,0.106666666666667,0.3,-0.133333333333333,0.05,-0.133333333333333,-0.15,-0.133333333333333,-0.1,-0.134285714285714,0.12,0.1,-0.233333333333333,-0.2,-0.1,0,0.0333333333333333,-0.2,-0.131688311688312,-0.233333333333333,-0.07,-0.25,-0.25,-0.25,-0.226923076923077,-0.213333333333333,0,-0.2,0.075,-0.143589743589744
"KLF4",-0.00557791537667699,-0.123761474024991,-0.215071947953123,-0.0333333333333333,-0.0966561961074156,-0.0550909090909091,-0.0153214774281806,-0.0177295041840334,-0.0214084339499197,-0.0129455337690632,-0.0153214774281806,0,-0.0176470588235294,-0.0222180291523185,-0.0176470588235294,0,-0.0714438502673797,-0.12,-0.1,0.0125,0.0971758166336066,0.0333333333333333,0.00297213622291022,0.1,0,0.00141207998350855,-0.0135752688172043,0,0.0255652173913043,0.0092186040442329,0.0226666666666667,0.118941798941799,0.0351566080977846,0.115238095238095,0.0213211576030167,0.0786603451127405,0.0890909090909091,0.117203176638879,0.116172248803828,0.110909090909091,0.08,0.0001017501017501,0.129902801600915,0.0716683784992471,0.0590909090909091,0.0186012351927507,0.103846153846154,0.103846153846154,0.103846153846154,0.108257918552036,0.0634811529933481,-0.00740740740740741,0.0590909090909091,0.0743871972395868,0.0759200657856244
