"","IKK","Patched","SMO","HEY1","NFB","TrCP","NOTCHic","Jagged","EGR1","ZEB1","Csl","Csn","SRC","TCFLEF","LIV1","cateninnuc","CD44","STAT","Ecadherin","CDC42","SOSGRB2","TGFR","TGF","PAK1","GSK3","DSH","RAF","PI3K","DELTA","RAS","cMet","AXIN2","GLI","Wnt","cateninmemb","SNAI2","Frizzled","Destcompl","TWIST1","ERK","cfos","MEK","SNAI1","NOTCH","RKIP","SUFU","FUS","AKT","SHH","ILK","SMAD","FOXC2","miR200","ZEB2","KLF4"
"Csn",0.08,-0.010180142438207,-0.0112554112554113,0.0116389811738649,0.08,0.18,0.0562770562770563,-0.0246545964384602,0.0233333333333333,-0.0119569892473118,0.0575757575757576,0.08,-0.136781609195402,-0.134232230544679,-0.133333333333333,-0.134773421164042,-0.1348753173614,-0.133333333333333,-0.0193639624820584,0.135583446404342,0.0136792344056267,0.135583446404342,0.135344782919855,0.134090909090909,-0.15124809956792,0.133333333333333,-0.00713435108870305,-0.00713435108870305,-0.00713435108870305,-0.0080940439869756,0.137986428472511,0.100239219389361,0.134929659913559,0.137986428472511,0.0550778860344436,-0.0767445278401693,0.136781609195402,0.234875998711207,-0.000321022284556646,-0.0363203463203463,-0.0324242424242424,-0.0352786796536797,-0.12857029819438,-0.0582001332001332,-0.117169726824899,0.0142857142857143,0.0142857142857143,-0.084,0.010180142438207,-0.0151746894409938,-0.0149176200322534,-0.119389176233354,-0.0432000455236517,-0.056014888337469,-0.0531078072254543
"ZEB1",-0.19451251078516,-0.141800356506239,-0.137878787878788,-0.200936688527362,-0.186315789473684,-0.2,-0.14718137254902,-0.147644697796927,-0.133333333333333,0.259888472053566,-0.135416666666667,-0.16,0.0393370856785491,0.0432734297197116,0.0333333333333333,0.0440562085846823,0.0467308765282223,0.0564102564102564,0.229326056693056,-0.0689072130601366,-0.0517738791423002,-0.0683995988469386,-0.0664310949099308,-0.0645593869731801,0.0962366328245746,-0.0476190476190476,-0.0298877647645736,-0.0298877647645736,-0.0298877647645736,-0.0306751663393767,-0.0432586543060001,-0.0416582368588663,-0.0374848142386488,-0.0343920307334941,-0.279047070677401,0.181953854140856,-0.0305458768873403,-0.0994780336911977,0.020375379273152,0.123450980392157,0.129333333333333,0.130939967176298,0.147177230632942,0.140569802301086,0.158939268339655,0.133333333333333,0.133333333333333,0.185941082213731,0.139309253303392,0.212434671006497,0.21628082485265,0.206585728806994,-0.14590009920028,-0.0235265996607385,-0.0251991268299521
"ERK",-0.0764228418640183,-0.0676215579127826,-0.0721967213114754,-0.0816911260996835,-0.0823051948051948,-0.0857142857142857,-0.0578335290014122,-0.0610788505768381,-0.133448275862069,-0.000905536377536738,-0.06002331002331,-0.0732142857142857,0.113697705802969,0.115382408814327,0.133333333333333,0.117049075480994,0.116683524055963,0.117543859649123,0.136519534519837,-0.0990654205607477,0.0950106333795654,-0.0968756395388499,-0.0966009142641246,-0.1,0.0767789099953283,-0.113333333333333,0.104405594405594,0.104405594405594,0.104405594405594,0.106275781424296,-0.119991412096675,-0.0903436811309611,-0.112522740417477,-0.115780885780886,-0.163649365701016,0.369163324987874,-0.109487179487179,-0.247123957198112,-0.137145372553711,0.0370652971386647,0.127065297138665,0.0373438486706981,0.00633172684448871,0.0536784043476726,0.169555843155324,0.06,0.064,0.0736705482860367,0.067138466125343,0.0869006328156038,0.0869006328156038,-0.0348746624608694,-0.007055682530281,-0.022408172077486,-0.022228153882086
"RKIP",-0.0732142857142857,-0.064,-0.06,-0.0833914053426249,-0.0857142857142857,-0.1,-0.0484848484848485,-0.0654438515643948,-0.08,0.00256527977044476,-0.0666666666666667,-0.1,0.133333333333333,0.119991412096675,0,0.116683524055963,0.113697705802969,0.1,0.135278817853076,-0.1,0.0991746031746032,-0.1,-0.0990654205607477,-0.0666666666666667,0.074113475177305,-0.1,0.113636363636364,0.113636363636364,0.113636363636364,0.111072261072261,-0.117543859649123,-0.090154711673699,-0.109487179487179,-0.113333333333333,-0.166820097408333,0.370245380894096,-0.133333333333333,-0.24715147382995,-0.134165181224005,0.133448275862069,0.13,0.127065297138665,0.011406513169275,0.06002331002331,0.174089635854342,0.1,0.1,0.0823051948051948,0.0721967213114754,0.0932284980744544,0.0843176069853455,-0.0333038608900678,-0.00527549677176707,-0.0210033476805356,-0.0230033476805356
"RAF",-0.0732142857142857,-0.064,-0.06,-0.0833914053426249,-0.0857142857142857,-0.1,-0.0484848484848485,-0.0654438515643948,-0.08,0.00256527977044476,-0.0666666666666667,-0.1,0.133333333333333,0.119991412096675,0,0.116683524055963,0.113697705802969,0.1,0.135278817853076,-0.1,0.0991746031746032,-0.1,-0.0990654205607477,-0.0666666666666667,0.074113475177305,-0.1,0.113636363636364,0.113636363636364,0.113636363636364,0.111072261072261,-0.117543859649123,-0.090154711673699,-0.109487179487179,-0.113333333333333,-0.166820097408333,0.370245380894096,-0.133333333333333,-0.24715147382995,-0.134165181224005,0.133448275862069,0.13,0.127065297138665,0.011406513169275,0.06002331002331,0.174089635854342,0.1,0.1,0.0823051948051948,0.0721967213114754,0.0932284980744544,0.0843176069853455,-0.0333038608900678,-0.00527549677176707,-0.0210033476805356,-0.0230033476805356
"MEK",-0.0823051948051948,-0.0721967213114754,-0.064,-0.0779368598880794,-0.0732142857142857,-0.1,-0.06002331002331,-0.058066802384067,-0.13,0.00177162897679397,-0.0484848484848485,-0.0857142857142857,0.117543859649123,0.116683524055963,0.1,0.115382408814327,0.119991412096675,0.133333333333333,0.136553863390417,-0.1,0.0969523809523809,-0.0990654205607477,-0.0968756395388499,-0.1,0.0763247773886072,-0.133333333333333,0.111072261072261,0.111072261072261,0.111072261072261,0.104405594405594,-0.113697705802969,-0.0937583152773026,-0.115780885780886,-0.109487179487179,-0.163649365701016,0.370245380894096,-0.113333333333333,-0.247988293913632,-0.136729283788107,0.127065297138665,0.133448275862069,0.0370652971386647,0.00563728240004426,0.0578335290014122,0.175405425328026,0.1,0.06,0.0764228418640183,0.0676215579127826,0.0843176069853455,0.0869006328156038,-0.0306011581873651,-0.00558509429498688,-0.019416046093234,-0.0230033476805356
"KLF4",-0.0152380952380952,0.0125,0,-0.0102215431627196,-0.02,0.1,-0.0420095693779904,0.00175457725682613,-0.08,-0.00431372549019608,-0.0472727272727273,0,0.00588235294117647,0.00817682287973134,0.0333333333333333,0.010293883900902,0.00851127104026646,0,-0.0143458310842331,0.0449090909090909,-0.0238421955403087,0.0435757575757576,0.0421123429416112,0.0409090909090909,-0.0640898148236798,0,0.000641025641025641,0.000641025641025641,0.000641025641025641,0.00211161387631976,-0.012859097127223,0.0237654076954395,-0.00768668333411953,-0.012859097127223,0.100484270697685,-0.0743865171662015,-0.00588235294117647,0.0661824037888305,-0.00553812636165578,0.052192513368984,0.0345454545454546,0.0573471525442417,-0.0108277676197205,0.0347930745326296,-0.0121830550401979,0,-0.0333333333333333,0.00783068783068783,-0.0135752688172043,0.0173333333333333,0.0158840579710145,0.0596698483117116,-0.00423687423687424,-0.00955108359133127,0.0037037037037037
"HEY1",-0.0152380952380952,0.0125,0,-0.0102215431627196,-0.02,0.1,-0.0420095693779904,0.00175457725682613,-0.08,-0.00431372549019608,-0.0472727272727273,0,0.00588235294117647,0.00817682287973134,0.0333333333333333,0.010293883900902,0.00851127104026646,0,-0.0143458310842331,0.0449090909090909,-0.0238421955403087,0.0435757575757576,0.0421123429416112,0.0409090909090909,-0.0640898148236798,0,0.000641025641025641,0.000641025641025641,0.000641025641025641,0.00211161387631976,-0.012859097127223,0.0237654076954395,-0.00768668333411953,-0.012859097127223,0.100484270697685,-0.0743865171662015,-0.00588235294117647,0.0661824037888305,-0.00553812636165578,0.052192513368984,0.0345454545454546,0.0573471525442417,-0.0108277676197205,0.0347930745326296,-0.0121830550401979,0,-0.0333333333333333,0.00783068783068783,-0.0135752688172043,0.0173333333333333,0.0158840579710145,0.0596698483117116,-0.00423687423687424,-0.00955108359133127,0.0037037037037037
"SOSGRB2",0.0941520467836257,-0.0193693693693694,-0.0166666666666667,0.000284090909090909,0.0888888888888889,0.2,0.0727272727272727,-0.0145781616693919,0.0142857142857143,0.00043859649122807,0.0727272727272727,0.1,-0.114285714285714,-0.0884581017761796,0,-0.0882668971872694,-0.0853002070393375,-0.1,-0.12558717569208,0.0442857142857143,-0.00138888888888889,0.0404395604395604,0.0326381419998441,0.0142857142857143,-0.0838520276668944,0.1,-0.016195856873823,-0.016195856873823,-0.016195856873823,-0.016195856873823,0.0925465838509317,0.0753987898789879,0.0820393374741201,0.0892857142857143,0.148354159354159,-0.220636880390584,0.114285714285714,0.0857941834451902,0.059768115942029,-0.0280995280995281,-0.0253968253968254,-0.019008619008619,-0.00257000710732054,-0.0825864276568502,-0.0688961988304094,0,0,-0.0983187134502924,0.00774146239262518,-0.00645161290322581,0.00124069478908189,0.0218070818070818,-0.00269289714674941,-0.00229323308270677,-0.00657894736842105
"NFB",-0.00617760617760618,-0.0876628352490422,-0.0911111111111111,-0.0975950906678461,-0.0142857142857143,0.1,0.0813852813852814,-0.0155647852851739,0.0142857142857143,8.42911877394638e-05,0.0766233766233766,0.0857142857142857,0.0666666666666667,0.069587136027814,0.1,0.0706067438709513,0.069587136027814,0.0666666666666667,0.201342392447709,0.0636363636363636,0.0827841662980982,0.0628363636363636,0.0622034522439586,0.05,-0.00696724843783667,-0.0666666666666667,0.0782307882382011,0.0782307882382011,0.0782307882382011,0.0787283006760121,-0.0712820512820513,-0.0702482269503546,-0.0690348602708153,-0.0712820512820513,-0.18649831478706,0.313197082225993,-0.0666666666666667,0.102119050434574,0.0178851540616247,-0.00717460317460318,-0.0182857142857143,-0.00390662931839402,0.00113965476508612,-0.0846110878368943,-0.000924758301807482,0.08,0.08,0.00395538395538395,0.0852531966948253,0.092759900990099,0.0961056258971622,0.0762763663958883,0.000632117127585406,0.00161685823754789,-0.000641025641025641
"IKK",-0.0142857142857143,-0.0911111111111111,-0.08,-0.0993808049535604,0.0857142857142857,0.2,0.0766233766233766,-0.0148453608247423,0,0.002,0.0909090909090909,0.1,0.0666666666666667,0.069587136027814,0.1,0.069587136027814,0.0712820512820513,0.1,0.20102136516039,0.05,0.0775210084033613,0.0636363636363636,0.0628363636363636,0.05,-0.00657509157509157,-0.1,0.0824561403508772,0.0824561403508772,0.0824561403508772,0.0782307882382011,-0.0666666666666667,-0.0716666666666667,-0.0712820512820513,-0.0666666666666667,-0.185759138440703,0.313400334258513,-0.0666666666666667,0.101620711564142,0.018202614379085,-0.0182857142857143,-0.0142857142857143,-0.00717460317460318,0.00141362736782584,-0.0813852813852814,0.00163934426229508,0.1,0.08,0.00617760617760618,0.0876628352490422,0.09375,0.092759900990099,0.0782683982683983,0.00153846153846154,0.002,-0.00256410256410256
"Ecadherin",0.00783068783068783,-0.0135752688172043,-0.0125,0.00686583846473305,0.0152380952380952,0,0.0347930745326296,-0.00198341020877121,0.0345454545454546,0.00478765913948518,0.0420095693779904,0.02,-0.012859097127223,-0.010293883900902,0,-0.00954691844805415,-0.00817682287973134,-0.00588235294117647,-0.0847778300647446,-0.0435757575757576,0.0185790376455719,-0.0421123429416112,-0.0433781657264214,-0.0449090909090909,0.0662973203424436,0.00588235294117647,-0.00211161387631976,-0.00211161387631976,-0.00211161387631976,-0.00211161387631976,0.00851127104026646,-0.022734479860388,0.00768668333411953,0.00768668333411953,-0.0990740142874289,0.0733630373347746,0.012859097127223,-0.0656232239193058,0.00535190662236341,-0.0573471525442417,-0.052192513368984,-0.0553863682305162,0.010511311923518,-0.0381387994396928,0.00956133219375595,0.0333333333333333,0,-0.0104280904280904,0.012000465667598,-0.0158840579710145,-0.0166104502228305,-0.0603563471675468,0.0044230939761666,0.00860321629275307,-0.0037037037037037
"FOXC2",0.0152380952380952,-0.0125,0,0.0102215431627196,0.02,-0.1,0.0420095693779904,-0.00175457725682613,0.08,0.00431372549019608,0.0472727272727273,0,-0.00588235294117647,-0.00817682287973134,-0.0333333333333333,-0.010293883900902,-0.00851127104026646,0,0.0143458310842331,-0.0449090909090909,0.0238421955403087,-0.0435757575757576,-0.0421123429416112,-0.0409090909090909,0.0640898148236798,0,-0.000641025641025641,-0.000641025641025641,-0.000641025641025641,-0.00211161387631976,0.012859097127223,-0.0237654076954395,0.00768668333411953,0.012859097127223,-0.100484270697685,0.0743865171662015,0.00588235294117647,-0.0661824037888305,0.00553812636165578,-0.052192513368984,-0.0345454545454546,-0.0573471525442417,0.0108277676197205,-0.0347930745326296,0.0121830550401979,0,0.0333333333333333,-0.00783068783068783,0.0135752688172043,-0.0173333333333333,-0.0158840579710145,-0.0596698483117116,0.00423687423687424,0.00955108359133127,-0.0037037037037037
"SNAI2",-0.0382183908045977,0.0956062424969988,0.0976470588235294,0.0155515370705244,-0.0416666666666667,-0.1,0.0842105263157895,0.0917927511202263,0.1,0.00417851898468639,0.0824561403508772,-0.0666666666666667,0.0890909090909091,0.0865593824964683,0.08,0.0854724259747291,0.0859408257954373,0.0890909090909091,0.212612735386632,-0.0941176470588235,0.0449628127112914,-0.0932629462041227,-0.092020710179278,-0.0941176470588235,0.109834841905161,-0.0890909090909091,-0.0492402992052361,-0.0492402992052361,-0.0492402992052361,-0.0501535412143685,-0.084865556978233,-0.0694230392063823,-0.0864698350530993,-0.084865556978233,-0.198664035825379,0.356863072443027,-0.0890909090909091,-0.110191007137007,-0.0886609851220569,-0.0725490196078431,-0.0705882352941176,-0.0766030736618972,0.007687179459697,-0.0803144224196856,0.00632051282051282,-0.1,-0.08,0.041832848635923,-0.0941977917927735,-0.0299798792756539,-0.0295014103761324,-0.0903283326763022,0.00660276457766405,0.00984518565135305,-0.0025
"cateninmemb",-0.0294179894179894,0.18635752688172,0.189583333333333,0.0199728262262806,-0.0257142857142857,-0.1,0.112644403886943,0.176799973219132,0.0745454545454545,0.00691950464396285,0.117799043062201,-0.04,0.165572275421797,0.165005087993382,0.166666666666667,0.164444863903746,0.166374951007081,0.172549019607843,0.0661488944097989,-0.135575757575758,0.0311900033101622,-0.133136733185514,-0.132955901359112,-0.136909090909091,0.168440178999988,-0.172549019607843,-0.0444193061840121,-0.0444193061840121,-0.0444193061840121,-0.0455366246197663,-0.164702710204405,-0.0865593824964683,-0.167572275421797,-0.165572275421797,-0.165470603421399,0.191108586128131,-0.165572275421797,-0.167015035892356,-0.17583741677925,-0.0699972435084624,-0.0627807486631016,-0.0727423415476781,0.0179707173797494,-0.111529162251255,0.0155466612930497,-0.166666666666667,-0.183333333333333,0.0307166907166907,-0.18635752688172,-0.04,-0.0402421307506053,-0.113580027724929,0.0102288524634893,0.0159466201047643,-0.00623534927332396
"cateninnuc",0.0448030303030303,0.125593795608051,0.124972677595628,0.0159558046871441,0.0428030303030303,0.0333333333333333,0.0676112060030074,0.133426533438949,0.0376811594202899,0.0132947632112609,0.0652856246076585,0.0458333333333333,0.119327894327894,0.117320354941714,0.124242424242424,0.0177898385097893,0.116946941946942,0.116550116550117,-0.00580608447285638,-0.107208791208791,-0.00944588920243211,-0.107783503852469,-0.107565163241116,-0.110285714285714,0.175303425624693,-0.116550116550117,0.0273225423225423,0.0273225423225423,0.0273225423225423,0.0288376938376938,-0.119327894327894,-0.0256099531561686,-0.118288164089236,-0.120659705591212,-0.108456474475336,0.207043209709032,-0.120659705591212,-0.17268249463872,-0.102247156942604,-0.0405342837924016,-0.0392684610075914,-0.0428278617740529,0.0736687296299876,-0.0657930241848255,0.0699685252712548,-0.133333333333333,-0.123333333333333,-0.0416780303030303,-0.126247390379293,-0.0296118326118326,-0.0302939608519418,-0.0972164392984065,0.00934494389042751,0.0225608367593197,-0.00996973568147945
"CD44",0.1,0.02,0,0.00584795321637427,0.2,0.1,0.128571428571429,0.0353379953379953,-0.1,0.0492063492063492,0.2,0.2,0.2,0.0682945736434108,0.1,0.0759868813357185,0.0566666666666667,0.1,0.120714363261318,-0.0466666666666667,0.130952380952381,-0.0716666666666667,-0.0438888888888889,-0.0666666666666667,-0.0440476190476191,0,-0.019047619047619,-0.019047619047619,-0.019047619047619,-0.00476190476190476,-0.15,-0.06,-0.0566666666666667,-0.05,-0.132985347985348,-0.110604950604951,-0.1,0.0107224708065044,0.12989010989011,0.08,0.1,0.08,0.0933014354066986,-0.112781954887218,0.0588888888888889,-0.1,-0.1,-0.0933333333333333,-0.0109090909090909,-0.0111111111111111,0.00317460317460317,0.139583333333333,0.122336407553799,0.141269841269841,0.0412698412698413
"AXIN2",0.0555555555555556,0.0559065934065934,0.0576923076923077,-0.0948402473757443,0.0599033816425121,0.0666666666666667,0.0768107769423559,0.0815975857280205,-0.0866666666666667,0.0589059211622367,0.0785964912280702,0.0555555555555556,0.108992248062016,0.106217754394947,0.1,0.105396310382842,0.105397121335158,0.106666666666667,0.0571661033969274,-0.122546296296296,0.0110057092665788,-0.124316207800721,-0.12299607578752,-0.12625,0.111295409650101,-0.106666666666667,0.0784037621407864,0.0784037621407864,0.0784037621407864,0.0773538933743822,-0.103819834268912,-0.102934739217218,-0.105706626721742,-0.103819834268912,-0.124691115985073,0.155686959711646,-0.108992248062016,-0.117490102519961,0.00150281391660702,0.0893108426411367,0.0939837398373984,0.0893108426411367,0.106445390186175,-0.0734323985639775,0.118266375201859,-0.05,-0.0576923076923077,-0.0533333333333333,-0.0562344622590524,0.0900621118012422,0.0912525879917184,0.104655313460934,0.126080008530902,0.149197580640301,0.143582195643944
