"","miR200","TGF","AXIN2","cateninmemb","cateninnuc","TCFLEF","CD44","ILK","GLI","FUS","DSH","RAF","PI3K","DELTA","RAS","AKT","ZEB1","Destcompl","RKIP","NOTCHic","GSK3","FOXC2","NOTCH","Jagged","Csl","ERK","MEK","cfos","EGR1","SNAI1","LIV1","SNAI2","IKK","SHH","NFB","Csn","SOSGRB2","SMO","Patched","TrCP","SUFU","STAT","Frizzled","SRC","Wnt","TWIST1","Ecadherin","cMet","SMAD","HEY1","PAK1","CDC42","TGFR","ZEB2","KLF4"
"RAS",0.103692307692308,0.106872451951077,0.142529644268775,0.0508551438315173,0.12446688236085,0.124750168479831,0.115519399249061,0.00519480519480519,0.117647058823529,0,0.1,-0.183589743589744,-0.183589743589744,-0.183589743589744,-0.287435897435897,0.0988888888888889,-0.0550073637702504,0.149860887070189,0.149459119496855,0.0447368421052632,0.317144702842377,0.0949206349206349,-0.042850049652433,0.0729785136999803,-0.05,-0.0502631578947368,-0.0483023735810114,-0.045,-0.02,-0.0950835791543756,0,-0.0151822502127265,-0.0933333333333333,0.0109717514124294,-0.1,0,0.0341991341991342,0.0166666666666667,0.0126666666666667,0.1,0.1,-0.1,-0.1,-0.1,-0.117647058823529,-0.0234369885433715,-0.0103790308393889,-0.117647058823529,-0.011317254174397,-0.00889328063241107,-0.06,-0.1,-0.105882352941176,-0.109683357879234,-0.110714285714286
"TGF",0.128641186399807,0.068015873015873,0.204497354497354,0.204380234645272,0.196163070626824,0.187072161535915,0.177861635220126,0.193636363636364,0.158814016172507,0.18,0.1,0.267261904761905,0.267261904761905,0.267261904761905,0.274404761904762,0.0304511278195489,-0.0217271109261956,0.0328950165417708,0.0207792207792208,0.02,0.0157114900754822,0.0875,-0.0096551724137931,-0.127902552773687,-0.04,-0.147117794486216,-0.13156223893066,-0.152380952380952,-0.166666666666667,-0.0307851239669422,0,-0.123358777322769,-0.0357142857142857,-0.163010057471264,-0.05,-0.1,-0.260526315789474,-0.163333333333333,-0.159885057471264,0,-0.2,-0.1,-0.114285714285714,-0.133333333333333,-0.134285714285714,-0.0848148148148148,-0.163152604337825,-0.153333333333333,-0.192023460410557,-0.210058027079304,-0.12,-0.164444444444444,-0.164444444444444,-0.104156438527148,-0.109610983981693
"ZEB1",0.161513880656754,-0.380491839695085,-0.489843797402127,-0.491733940624274,-0.46611823632664,-0.457311974095721,-0.447205591116997,-0.263160401698885,-0.435160805584492,-0.108333333333333,-0.342857142857143,-0.247799993496319,-0.247799993496319,-0.247799993496319,-0.257721253338838,-0.0972283166933728,0.258774578450917,-0.164830185344719,-0.104457785927805,0.0259803921568627,-0.0448185285453875,0.0996798609626849,-0.0433357640576892,-0.00474849945112558,-0.00833333333333333,0.0717647058823529,0.064275719098212,0.08,0.1,0.117906568006196,0.3,0.252743038173111,0.108656888121944,0.0854360540722274,0.107017543859649,0.133333333333333,0.144210526315789,0.103787878787879,0.0900623885918004,0.133333333333333,0.133333333333333,0.353846153846154,0.389198606271777,0.400187617260788,0.414198606271777,0.382190132607037,0.336705427787946,0.425677813339219,0.263160401698885,0.265410159788398,0.335057471264368,0.353898050974513,0.370649320010046,-0.0425069801879926,-0.0315770599269688
"Ecadherin",0.027848377569048,-0.257100732549328,-0.532269884384762,-0.542790429985552,-0.486029875697118,-0.48388235002018,-0.475289572934253,-0.0332173913043478,-0.476269698256207,0.316666666666667,-0.419607843137255,-0.18065233785822,-0.18065233785822,-0.18065233785822,-0.178417700986712,0.159037999037999,-0.0210538787727613,-0.156481939342134,0.0346668936556577,0.361075321856657,-0.168317675022648,0.233994455014208,-0.367395024458887,-0.436696866877566,-0.339425837320574,-0.158612933458294,-0.159005090321039,-0.147272727272727,-0.147272727272727,-0.0539371618690871,0.366666666666667,0.226528218501678,-0.164232804232804,-0.366467170434341,-0.145714285714286,-0.16,-0.0984690499834492,-0.347916666666667,-0.355443548387097,-0.1,-0.3,0.419607843137255,0.445189238486092,0.445189238486092,0.46760303158954,0.348460291379122,0.293877266696258,0.466928368920875,0.0353965680597958,-0.00758343117600915,0.223454545454545,0.243454545454545,0.250771618625277,-0.0408193329714026,-0.00253164556962025
"RKIP",0.0190175686533738,0.046648865153538,0.0500351617440225,0.147500441618089,0.0634581435706385,0.0560790087105877,0.0539811066126856,0.111649550706033,0.0487179487179487,0.1,0,0.200649350649351,0.200649350649351,0.200649350649351,0.211760461760462,-0.0169372294372294,-0.00632137733142037,-0.0216799611830795,-0.142086834733894,-0.0111111111111111,-0.162017336485422,-0.0624226348364279,0.0226495726495726,-0.0819468024900962,0.0111111111111111,-0.023448275862069,-0.025575935436537,-0.02,-0.07,-0.00959677345933594,0,-0.110091799265606,0.00178571428571429,-0.101639344262295,0.0142857142857143,0,-0.0768253968253968,-0.12,-0.1,0,-0.1,0,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0963844325609032,-0.146091218030291,-0.0385964912280702,-0.114619847735736,-0.111962833914053,-0.0333333333333333,-0.0266666666666667,-0.0457142857142857,-0.0396461023433764,-0.0396461023433764
"KLF4",0.0235653235653236,-0.250771618625277,-0.515981224590947,-0.535354532549654,-0.48388235002018,-0.475289572934253,-0.466928368920875,-0.0346666666666667,-0.46760303158954,0.3,-0.366666666666667,-0.172564102564103,-0.172564102564103,-0.172564102564103,-0.18065233785822,0.164232804232804,-0.0186842105263158,-0.153220056769907,0.0297979797979798,0.339425837320574,-0.169862928885783,0.22598530169613,-0.361075321856657,-0.430518377175049,-0.323636363636364,-0.147272727272727,-0.158612933458294,-0.147272727272727,-0.12,-0.0520384276918719,0.3,0.220929181776814,-0.145714285714286,-0.355443548387097,-0.16,-0.1,-0.101100628930818,-0.316666666666667,-0.347916666666667,-0.1,-0.2,0.366666666666667,0.419607843137255,0.419607843137255,0.445189238486092,0.34678431372549,0.39475360554728,0.445189238486092,0.0332173913043478,-0.00154316271963331,0.195454545454545,0.223454545454545,0.243454545454545,-0.0370278637770898,0
"HEY1",0.0235653235653236,-0.250771618625277,-0.515981224590947,-0.535354532549654,-0.48388235002018,-0.475289572934253,-0.466928368920875,-0.0346666666666667,-0.46760303158954,0.3,-0.366666666666667,-0.172564102564103,-0.172564102564103,-0.172564102564103,-0.18065233785822,0.164232804232804,-0.0186842105263158,-0.153220056769907,0.0297979797979798,0.339425837320574,-0.169862928885783,0.22598530169613,-0.361075321856657,-0.430518377175049,-0.323636363636364,-0.147272727272727,-0.158612933458294,-0.147272727272727,-0.12,-0.0520384276918719,0.3,0.220929181776814,-0.145714285714286,-0.355443548387097,-0.16,-0.1,-0.101100628930818,-0.316666666666667,-0.347916666666667,-0.1,-0.2,0.366666666666667,0.419607843137255,0.419607843137255,0.445189238486092,0.34678431372549,0.39475360554728,0.445189238486092,0.0332173913043478,-0.00154316271963331,0.195454545454545,0.223454545454545,0.243454545454545,-0.0370278637770898,0
"Csn",0.0216211536262081,0.13307180862216,0.139009580579163,0.0569117003512906,0.105479273169026,0.107824432519597,0.100428934127314,0.0202652691511387,0.100514329566421,0.00793650793650794,0.1,-0.0923571066764618,-0.0923571066764618,-0.0923571066764618,-0.103681482876078,0.1102,-0.000660049627791565,0.0570825836874036,0.0778864155188798,0.0847763347763348,0.100815740229335,0.0583631008444519,-0.0876609501609502,0.0123182279244455,-0.0964646464646465,-0.0698268398268398,-0.0760768398268398,-0.0815151515151515,-0.0633333333333333,-0.0902325484960269,-0.0666666666666667,-0.0346185829913706,-0.095,0.00573430917164392,-0.12,-0.095,-0.0485253084284561,0.00721500721500722,-0.00246241213983149,-0.02,0.0142857142857143,-0.1,-0.0896551724137931,-0.0896551724137931,-0.105317823016203,-0.099794296400187,-0.0237012841068081,-0.105317823016203,-0.026177865552167,-0.0241583610188261,-0.115909090909091,-0.129341926729986,-0.128059875447935,-0.0245591397849462,-0.0254154995331466
"SNAI2",0.0129857433010683,-0.145905898591321,-0.263368019309001,-0.229790452148893,-0.219458427067776,-0.214334203465292,-0.213715646764261,-0.0289067739771965,-0.214187155015655,0.16,-0.169090909090909,-0.106664807899198,-0.106664807899198,-0.106664807899198,-0.115797227990523,0.113010663343027,-0.00953534717851898,-0.0990398913580561,0.012525641025641,0.18640350877193,-0.110664520954899,0.143519049331248,-0.199390521758943,-0.19909628292036,-0.184649122807018,-0.111764705882353,-0.121224165341812,-0.117647058823529,-0.1,-0.0251022424200201,0.16,0.0496658594347621,-0.0925287356321839,-0.17374972524221,-0.116666666666667,-0.0666666666666667,-0.0819134550371873,-0.154117647058824,-0.17656662665066,-0.1,-0.1,0.169090909090909,0.197662337662338,0.197662337662338,0.201887689775014,0.169545876310113,0.143328693285878,0.201887689775014,0.0246005538815027,0.00394816154309825,0.129411764705882,0.134173669467787,0.145284780578898,-0.0204883574575205,0
"IKK",-0.00153846153846154,-0.00214141414141414,0.257857142857143,0.244600539125679,0.241663613508711,0.237866145154281,0.224871794871795,-0.09375,0.224871794871795,-0.12,0.15,-0.0843920145190563,-0.0843920145190563,-0.0843920145190563,-0.0858004652232816,-0.00508365508365508,0.002,0.15223113591289,-0.00491803278688525,-0.0329004329004329,0.232472527472528,0.0326984126984127,0.0471861471861472,0.168336457357076,0.00909090909090909,-0.00228571428571429,-6.34920634920631e-05,-0.0142857142857143,0,0.00446706248232966,-0.1,-0.0608896648461515,0.00238095238095238,0.161455938697318,0.0857142857142857,0.1,0.108403361344538,0.14,0.151111111111111,0,0.1,-0.15,-0.183333333333333,-0.183333333333333,-0.214102564102564,-0.0743137254901961,-0.187029012743016,-0.214102564102564,0.088799504950495,0.0947368421052632,0.05,0.0277777777777778,0.0141414141414141,0.002,-0.00256410256410256
"NFB",-0.00184057634208692,0.00102314282061117,0.273459979736575,0.246395681681117,0.246447927234201,0.241663613508711,0.237866145154281,-0.088799504950495,0.238354940939211,-0.14,0.183333333333333,-0.0858004652232816,-0.0858004652232816,-0.0858004652232816,-0.0788352910939284,-0.00952809952809953,0.00161685823754789,0.14957332860392,-0.00363598150483396,-0.0471861471861472,0.238354880413704,0.0307063808259028,0.0542829213796956,0.174811277500961,0.0329004329004329,-6.34920634920631e-05,0.00451167133520075,-0.00228571428571429,-0.0142857142857143,0.00693281590698719,-0.15,-0.0596701526510296,0.00508365508365508,0.162660757974426,0.00238095238095238,0.0857142857142857,0.113666519239275,0.151111111111111,0.161455938697318,0.1,0.12,-0.183333333333333,-0.214102564102564,-0.214102564102564,-0.224871794871795,-0.0816153127917834,-0.191202367478169,-0.224871794871795,0.089171252162391,0.0911654135338346,0.0277777777777778,0.0141414141414141,0.00214141414141414,0.00314942528735632,-0.00256410256410256
"FOXC2",-0.0235653235653236,0.250771618625277,0.515981224590947,0.535354532549654,0.48388235002018,0.475289572934253,0.466928368920875,0.0346666666666667,0.46760303158954,-0.3,0.366666666666667,0.172564102564103,0.172564102564103,0.172564102564103,0.18065233785822,-0.164232804232804,0.0186842105263158,0.153220056769907,-0.0297979797979798,-0.339425837320574,0.169862928885783,-0.22598530169613,0.361075321856657,0.430518377175049,0.323636363636364,0.147272727272727,0.158612933458294,0.147272727272727,0.12,0.0520384276918719,-0.3,-0.220929181776814,0.145714285714286,0.355443548387097,0.16,0.1,0.101100628930818,0.316666666666667,0.347916666666667,0.1,0.2,-0.366666666666667,-0.419607843137255,-0.419607843137255,-0.445189238486092,-0.34678431372549,-0.39475360554728,-0.445189238486092,-0.0332173913043478,0.00154316271963331,-0.195454545454545,-0.223454545454545,-0.243454545454545,0.0370278637770898,0
"MEK",-0.0180887760837144,-0.0502985001900344,-0.0563414680503288,-0.154085807471747,-0.0642016379944304,-0.0634581435706385,-0.0560790087105877,-0.114619847735736,-0.0508158508158508,-0.12,-0.0333333333333333,-0.211760461760462,-0.211760461760462,-0.211760461760462,-0.205093795093795,0.00870193531958238,0.0031467741568172,0.016031425618226,0.146034203154946,0.0226495726495726,0.165702840170925,0.0678280402418334,-0.0233794996568719,0.0819468024900962,-0.0111111111111111,0.025575935436537,-0.0727573978967963,0.023448275862069,0.02,0.0128019016644641,0,0.116417833328866,-0.0169372294372294,0.0983713704060859,-0.00178571428571429,-0.0142857142857143,0.0857142857142857,0.1,0.101639344262295,0,0.1,0.0333333333333333,0.0333333333333333,0.0385964912280702,0.0487179487179487,0.0952855314620021,0.143905425680564,0.0539811066126856,0.117202873565995,0.113781015732235,0.0266666666666667,0.0457142857142857,0.046648865153538,0.0388524515497256,0.0396461023433764
"RAF",-0.0190175686533738,-0.046648865153538,-0.0500351617440225,-0.147500441618089,-0.0634581435706385,-0.0560790087105877,-0.0539811066126856,-0.111649550706033,-0.0487179487179487,-0.1,0,-0.200649350649351,-0.200649350649351,-0.200649350649351,-0.211760461760462,0.0169372294372294,0.00632137733142037,0.0216799611830795,0.142086834733894,0.0111111111111111,0.162017336485422,0.0624226348364279,-0.0226495726495726,0.0819468024900962,-0.0111111111111111,0.023448275862069,0.025575935436537,0.02,0.07,0.00959677345933594,0,0.110091799265606,-0.00178571428571429,0.101639344262295,-0.0142857142857143,0,0.0768253968253968,0.12,0.1,0,0.1,0,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0963844325609032,0.146091218030291,0.0385964912280702,0.114619847735736,0.111962833914053,0.0333333333333333,0.0266666666666667,0.0457142857142857,0.0396461023433764,0.0396461023433764
"ERK",-0.0200495603974399,-0.0516721265636608,-0.063333337969028,-0.15334983691057,-0.067118304661097,-0.0642016379944304,-0.0634581435706385,-0.117202873565995,-0.058084021241916,-0.1,-0.0333333333333333,-0.205093795093795,-0.205093795093795,-0.205093795093795,-0.210704356149901,0.0132890912828851,0.00519401825130539,0.0188499149079666,0.143527239366645,0.0233794996568719,0.161252340625058,0.0656058180196111,-0.0269806076901129,0.078633549478048,-0.0226495726495726,-0.0727573978967963,-0.075821464749164,0.025575935436537,0.023448275862069,0.0114130127755753,0.0333333333333333,0.114343892841941,-0.00870193531958238,0.0993375539809652,-0.0169372294372294,-0.00178571428571429,0.0828016643550624,0.101639344262295,0.0983713704060859,-0.0142857142857143,0.12,0.0385964912280702,0.0487179487179487,0.0539811066126856,0.0508158508158508,0.100972077925248,0.14737264160916,0.0560790087105877,0.11598706809487,0.116170094230529,0.0457142857142857,0.046648865153538,0.0502985001900344,0.03995481375445,0.0396461023433764
"cateninmemb",-0.027848377569048,0.257100732549328,0.532269884384762,0.438034726469776,0.486029875697118,0.48388235002018,0.475289572934253,0.0332173913043478,0.476269698256207,-0.316666666666667,0.419607843137255,0.18065233785822,0.18065233785822,0.18065233785822,0.178417700986712,-0.159037999037999,0.0210538787727613,0.156481939342134,-0.0346668936556577,-0.361075321856657,0.168317675022648,-0.233994455014208,0.367395024458887,0.436696866877566,0.339425837320574,0.158612933458294,0.159005090321039,0.147272727272727,0.147272727272727,0.0539371618690871,-0.366666666666667,-0.226528218501678,0.164232804232804,0.366467170434341,0.145714285714286,0.16,0.0984690499834492,0.347916666666667,0.355443548387097,0.1,0.3,-0.419607843137255,-0.445189238486092,-0.445189238486092,-0.46760303158954,-0.348460291379122,-0.275014822048354,-0.466928368920875,-0.0353965680597958,0.00758343117600915,-0.223454545454545,-0.243454545454545,-0.250771618625277,0.0408193329714026,0.00253164556962025
"cateninnuc",-0.0270205452666263,0.177579939911516,0.48388235002018,0.248514868110318,0.216389174938213,0.312937089878838,0.31465478965479,0.0114675324675325,0.316119040776575,-0.228888888888889,0.286480186480187,0.0885842985842986,0.0885842985842986,0.0885842985842986,0.0963284063284063,-0.0963939393939394,0.0251140769640394,0.0384378813441828,-0.0888690986432922,-0.319394443714507,0.0621060243263249,-0.179241277847835,0.326667170987234,0.280119404005529,0.321720025109856,0.131421058608731,0.138301792553685,0.137750172532781,0.120289855072464,0.109498594956708,-0.278787878787879,-0.100783299869693,0.0838939393939394,0.234617820201653,0.101893939393939,0.0625,0.0621863711455921,0.223970856102004,0.237014334362873,0.1,0.188888888888889,-0.286480186480187,-0.307028131685666,-0.305924630924631,-0.307028131685666,-0.19244018007683,-0.0574428938455222,-0.305924630924631,-0.0072383373788558,0.0218527578633776,-0.173142857142857,-0.173142857142857,-0.178889983579639,0.0496726516497622,0.00491376950451684
"SOSGRB2",-0.0344039329952824,-0.0509188683656769,-0.0606848184818482,-0.146561834561835,-0.0720390176538695,-0.064199629508554,-0.0631469979296066,-0.0298924731182796,-0.0587991718426501,0,0,-0.0548022598870057,-0.0548022598870057,-0.0548022598870057,-0.0689048239895698,0.0750730994152047,0.0186591478696742,0.00180691791430047,0.0493055555555556,0.0832167832167832,-0.058514282974311,-0.0162026862026862,-0.0930759381463607,-0.0104218383306081,-0.0909090909090909,0.00652080652080652,0.00955110955110955,-0.00158730158730159,0.00952380952380952,0.0625550817341862,0,0.0207680729142031,-0.0625730994152047,0.0167399958097632,-0.0888888888888889,-0.1,-0.00416666666666667,0.0333333333333333,0.0144144144144144,-0.1,0,0,0.0428571428571429,0.0428571428571429,0.0428571428571429,0.0352463768115942,0.139841800922315,0.0472049689440994,0.0347875780133845,0.0298295454545455,0.0357142857142857,0.0257142857142857,0.0487912087912088,0.0574561403508772,0.0574561403508772
"TGFR",-0.127174910739983,-0.0807818304626815,-0.219518813724822,-0.210384853582916,-0.199263159200784,-0.196163070626824,-0.187072161535915,-0.192023460410557,-0.165910790366055,-0.163333333333333,-0.114285714285714,-0.274404761904762,-0.274404761904762,-0.274404761904762,-0.274989557226399,-0.0351022906102465,0.0198403184733654,-0.0361208229933837,-0.0264935064935065,-0.0096551724137931,-0.0159559888529884,-0.0835698689956332,0.00318035226990821,0.122105451324411,0.02,0.13156223893066,0.134301964958057,0.147117794486216,0.152380952380952,0.0287202272117799,0.1,0.129608777322769,0.0304511278195489,0.154535481200078,0.0357142857142857,0.05,0.254353476283301,0.159885057471264,0.163010057471264,0.1,0.18,0.133333333333333,0.134285714285714,0.153333333333333,0.158814016172507,0.0908646368788718,0.165878328358267,0.177861635220126,0.191667588524436,0.204087877825572,0.164444444444444,0.164444444444444,0.068015873015873,0.111326249847903,0.106039555410265
